EnemyWeak#0,"""不要看對手弱小就大意了<br>別鬆懈！"""
CondStan#18,"""無法行動？<br>沒差，就算讓對手一步吧"""
CondMirage#18,"""幻覺？\u3000滿有意思的嘛"""
Die#20,"""我也上了年紀了......"""
ThankHeal#20,"""謝謝你的幫忙"""
ThankBuff#18,"""很好的判斷"""
ThankCure#18,"""其實不用你管<br>我也不會有事的"""
DefeatEnemy#18,"""怎麼了，已經結束了嗎？"""
LevelUp#18,"""年輕真好"""
InvokeSkill1#18,"""讓我見識一下你的耐力"""
InvokeSkill2#14,"""擋我者死"""
InvokeSkill3#12,"""喂，快讓開"""
TechLight#6,"""我只是會用而已"""
TechDark#6,"""不太擅長就是了"""
PBFull#18,"""有點得意忘形了"""
PBRelease#18,"""輪到你表現了，快醒來"""
TacticsFree#20,"""我要像平常一樣，照我的想法來"""
TacticsGuard#20,"""這不符合我的作風就是了<br>好吧，我會聽你的"""
TacticsMassedAttack#20,"""集中攻擊同一個目標<br>很正確的戰術"""
TacticsAttack#20,"""乾脆全部交給我如何？"""
Avoid#18,"""你在看哪裡？"""
HealSelf#18,"""你太大意了"""
BuffSelf#18,"""能用的手段就盡量用"""
HealOther#18,"""不可以怠忽了恢復"""
BuffOther#18,"""可別忘了輔助"""
QuestStart1#18,"""讓我看看你的本事吧"""
QuestStart2#14,"""今天可要讓我盡興喔？"""
QuestEnd1#18,"""你的素質不錯"""
QuestEnd2#14,"""嗯，真不錯<br>跟你在一起真輕鬆"""
IncidentStart#20,"""哦，好像要發生什麼事了？"""
IncidentSuccess#20,"""我覺得成果還不錯"""
IncidentFailure#20,"""也別太放在心上了"""
PSE#20,"""光子正在騷動不安"""
PSELevelUp#20,"""看來還會持續下去喔"""
PSEBurst#20,"""好久沒看到上升這麼多的了"""
HP30#20,"""是不是有點太放水了？"""
HP10#20,"""不錯，好久沒有這種感覺了"""
ItemRare#20,"""哦，這東西不錯嘛"""
DamageSmall#20,"""嗚！"""
DamageMiddle#20,"""嗚啊！"""
DamageLarge#20,"""滿行的嘛"""
Trap#20,"""唉呀，這個陷阱<br>居然看漏了"""
ThankTrapRescue#20,"""呼，得救了"""
TrapRescueOther#18,"""還好嗎？"""
MemberDamaged#18,"""要不要先退後？"""
MemberDead#20,"""......膽子不小嘛！"""
AbilityExe#18,"""/toge 真是的，總算<br>恢復平常的實力了"""
AbilitySpecial#18,"""/toge 交給我吧"""
Resurrect#18,"""膽子不小嘛"""
PartyJoin#18,"""/ci1 1 來，讓我省點力吧"""
Marvelous#18,"""身手不錯嘛！"""
IncidentJsApcBegin#12,"""/ci2 1 真是的，看不下去了。<br>所謂有始有終嘛<br>就讓我幫你一把吧。"""
IncidentJsApcFailure#12,"""嗯......使不出平常的實力。<br>是不是應該先回去一趟，<br>確認一下身體的狀況呢......"""
IncidentJsApcSuccess#12,"""/ci2 3 哎，差不多就是這樣了吧<br>讓我省了不少力呢。<br>再會啦。"""
IncidentJsApcBeginEvo#10,"""/ci1 2 哎呀，都已經被打成這樣了<br>還是沒學乖啊。"""
EnemyWeak#19,"""雑魚に用はないよ"""
EnemyLarge#19,"""図体だけでかくてもねえ"""
EnemyBoss#19,"""少しは楽しませてくれるのかな？"""
EnemyRare#19,"""へぇ、こんなところにも<br>出てくるものなんだねぇ"""
EnemyBoost#19,"""この空気……<br>面倒なのが来たね"""
DestroyEnemy1#19,"""さて、次"""
DestroyEnemy2#19,"""物足りないね"""
DestroyEnemy3#19,"""次はどいつだい？"""
CondFreeze#19,"""凍結？\u3000いい涼しさだね"""
CondBurn#19,"""燃焼？\u3000温い温い"""
CondShock#19,"""感電？\u3000丁度良いマッサージさ"""
CondPoison#19,"""毒？\u3000大したことじゃない"""
CondPanic#19,"""混乱？\u3000気配がわかれば十分"""
CondStan#19,"""行動不能？<br>まあ、ちょうどいいハンデだ"""
CondMirage#19,"""幻惑？\u3000楽しいじゃないか"""
Die#21,"""あたしも年だね……"""
ThankHeal#21,"""助かるよ"""
ThankBuff#19,"""いい判断だ"""
ThankCure#19,"""ま、放っておいても<br>よかったんだけどね"""
DefeatEnemy#19,"""なんだい、もう終わりかい？"""
LevelUp#19,"""若いっていいねえ"""
InvokeSkill1#19,"""耐えてみせなさい"""
InvokeSkill2#15,"""立ち塞がるのなら砕くのみ"""
InvokeSkill3#13,"""そら、道を空けなさい"""
TechLight#7,"""使えるだけだよ"""
TechDark#7,"""苦手だけどね"""
PBFull#19,"""少し調子に乗りすぎだね"""
PBRelease#19,"""さあ、出番だ、目覚めなさい"""
TacticsFree#21,"""いつも通り、自由にやるよ"""
TacticsGuard#21,"""そういうタチじゃないんだけど<br>まあ、従うよ"""
TacticsMassedAttack#21,"""同一ターゲットに攻撃を集中<br>正しい戦術だね"""
TacticsAttack#21,"""なんなら全部引き受けようか？"""
Avoid#19,"""どこ見てるんだい？"""
HealSelf#19,"""詰めが甘いよ"""
BuffSelf#19,"""使える手は使うだけさ"""
HealOther#19,"""回復をおろそかにしちゃダメだよ"""
BuffOther#19,"""補助を忘れるもんじゃない"""
QuestStart1#19,"""お手並み拝見"""
QuestStart2#15,"""今日は楽させてもらうよ？"""
QuestEnd1#19,"""筋がいいね、あんたは"""
QuestEnd2#15,"""いやー、やっぱりいいね<br>あんたと一緒だと楽だ"""
IncidentStart#21,"""おや、何かが起こるかな？"""
IncidentSuccess#21,"""いい結果だと思うよ"""
IncidentFailure#21,"""気にしすぎるのもよくないよ"""
PSE#21,"""フォトンがざわついてるねえ"""
PSELevelUp#21,"""まだまだ続くよ、これはね"""
PSEBurst#21,"""久々に見たね、ここまでのは"""
HP30#21,"""ちょっと手を抜きすぎたかな？"""
HP10#21,"""いいねぇこの感覚、久々だよ"""
ItemRare#21,"""へぇ、いいものじゃない"""
DamageSmall#21,"""くっ"""
DamageMiddle#21,"""うあっ"""
DamageLarge#21,"""やるねぇ"""
Trap#21,"""あちゃ、こんな罠を<br>見落としちゃってたか"""
ThankTrapRescue#21,"""ふー、助かったよ"""
TrapRescueOther#19,"""大丈夫かい？"""
MemberDamaged#19,"""一旦下がるかい？"""
MemberDead#21,"""……やってくれるじゃないか！"""
AbilityExe#19,"""/toge やれやれ、やーっと調子が<br>出てきた感じだよ"""
AbilitySpecial#19,"""/toge アタシに任せときな"""
Resurrect#19,"""やってくれるじゃないか"""
PartyJoin#19,"""/ci1 1 さあ、楽させてよ"""
Marvelous#19,"""いいねぇ、その動き！"""
IncidentJsApcBegin#13,"""/ci2 1 やれやれ、見ちゃいられないね。<br>乗りかかった船ってやつだ<br>少しばかり手伝ってあげるよ。"""
IncidentJsApcFailure#13,"""うーん……調子が出ないね。<br>一度戻って、身体の調子を<br>確かめた方がいいか……"""
IncidentJsApcSuccess#13,"""/ci2 3 ま、こんなものかな。<br>それなりに楽しませてもらったよ。<br>それじゃあね。"""
IncidentJsApcBeginEvo#11,"""/ci1 2 おや、これだけやられても<br>こりないようだね。"""
EnemyWeak#20,"""我不喜歡欺負弱者耶"""
EnemyLarge#20,"""只是個子大的話，沒甚麼好怕的"""
EnemyBoss#20,"""看起來滿有挑戰性的呢"""
EnemyRare#20,"""哦，在這種地方<br>也會出現啊"""
EnemyBoost#20,"""看那個身影......發狂了嗎？"""
DestroyEnemy1#20,"""繼續往下一個地點吧"""
DestroyEnemy2#20,"""就這點本事？"""
DestroyEnemy3#20,"""結束了"""
CondFreeze#20,"""竟然凍結了......！"""
CondBurn#20,"""這點熱度......！"""
CondShock#20,"""嗚，就算麻痺了，我也......！"""
CondPoison#20,"""嗚......就算中毒，我也......！"""
CondPanic#20,"""嗚嗚，眼前一片昏花......<br>但是，就算如此......！"""
CondStan#20,"""動作被封住了......？<br>真是會找麻煩......！"""
CondMirage#20,"""視野被封鎖了......！"""
Die#22,"""反正......我就是......"""
ThankHeal#22,"""讓我跟你說聲謝謝吧"""
ThankBuff#20,"""很好的判斷"""
ThankCure#20,"""終於安靜下來了"""
DefeatEnemy#20,"""差不多都解決了吧？"""
LevelUp#20,"""......瑪麗亞應該會很開心"""
InvokeSkill1#20,"""我沒那麼天真"""
InvokeSkill2#16,"""誰敢妨礙我，我就把他打跑"""
InvokeSkill3#14,"""快給我滾一邊去"""
PBFull#20,"""真是，該說你有勇無謀嗎......"""
PBRelease#20,"""來，我們一起去吧"""
TacticsFree#22,"""我要照我的想法打了"""
TacticsGuard#22,"""要找機會進攻是吧"""
TacticsMassedAttack#22,"""集中攻擊......<br>很合理的戰術"""
TacticsAttack#22,"""你在看哪裡？<br>我在這裡"""
Avoid#20,"""太慢了"""
HealSelf#20,"""真可惜"""
BuffSelf#20,"""做好準備再上吧"""
HealOther#20,"""不要忘了恢復"""
BuffOther#20,"""別小看了輔助的重要性"""
QuestStart1#20,"""來，我們走吧"""
QuestStart2#16,"""我們又一起了<br>沒差，跟你一起，我<br>樂得輕鬆"""
QuestEnd1#20,"""就差不多是這樣吧？"""
QuestEnd2#16,"""畢竟你是跟我一起嘛<br>看你也算滿努力的了"""
IncidentStart#22,"""有什麼要來了嗎？"""
IncidentSuccess#22,"""哦，好像成功了呢"""
IncidentFailure#22,"""跟我無關"""
PSE#22,"""這就是所謂的PSE？"""
PSELevelUp#22,"""好像還在持續耶？"""
PSEBurst#22,"""哦......這就是爆發<br>光子的激發狀態，是吧"""
HP30#22,"""我要拿出真本事了"""
HP10#22,"""......竟然被逼到這種地步"""
ItemRare#22,"""我可沒說想要喔"""
DamageSmall#22,"""嗚......！"""
DamageMiddle#22,"""嗚嗚！"""
DamageLarge#22,"""......啊嗚！"""
Trap#22,"""竟然落入這種小陷阱......<br>真夠蠢的"""
ThankTrapRescue#22,"""就跟你道聲謝吧"""
TrapRescueOther#20,"""別給我惹麻煩"""
MemberDamaged#20,"""千萬不可以硬撐<br>我看你還是先後退吧？"""
MemberDead#22,"""......跟我無關<br>可是......！"""
AbilityExe#20,"""/toge 照目前這樣......行得通"""
AbilitySpecial#20,"""/toge 交給我吧"""
Resurrect#20,"""......我還不能死"""
PartyJoin#20,"""/ci1 1 因為我很閒"""
Marvelous#20,"""......瑪麗亞應該會很開心"""
IncidentJsApcBegin#14,"""/toge /ci3 1 ......真是，我看不下去了！<br>我來幫你，快點<br>把這些傢伙解決掉吧！"""
IncidentJsApcFailure#14,"""唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcSuccess#14,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
EnemyWeak#21,"""弱い者いじめは嫌いなんだけど"""
EnemyLarge#21,"""大きいだけなら怖くない"""
EnemyBoss#21,"""歯応えがありそうね"""
EnemyRare#21,"""ふうん、こんなところに<br>いるものなのね"""
EnemyBoost#21,"""あの形は……狂化？"""
DestroyEnemy1#21,"""次、いきましょう"""
DestroyEnemy2#21,"""この程度なの？"""
DestroyEnemy3#21,"""終わりよ"""
CondFreeze#21,"""凍結なんて……！"""
CondBurn#21,"""多少の熱は……！"""
CondShock#21,"""くっ、痺れてても……！"""
CondPoison#21,"""う……毒であっても……！"""
CondPanic#21,"""うう、視界がぐるぐる……<br>でも……！"""
CondStan#21,"""動き封じ……？<br>面倒なことを……！"""
CondMirage#21,"""視覚を封じてきた……！"""
Die#23,"""しょせん……あたしは……"""
ThankHeal#23,"""礼は言っておくわ"""
ThankBuff#21,"""いい判断ね"""
ThankCure#21,"""やっと落ち着いたわ"""
DefeatEnemy#21,"""一通りは片付いたかしら？"""
LevelUp#21,"""ま、いいんじゃない"""
InvokeSkill1#21,"""あたしは甘くない"""
InvokeSkill2#17,"""邪魔なものは蹴散らすのみ"""
InvokeSkill3#15,"""さっさとそこをどきなさい"""
PBFull#21,"""本当、無謀というかなんというか……"""
PBRelease#21,"""さ、一緒に行きましょう"""
TacticsFree#23,"""好きにやらせてもらうわ"""
TacticsGuard#23,"""攻めの機会をうかがうのね"""
TacticsMassedAttack#23,"""集中して狙う……<br>合理的な戦術ね"""
TacticsAttack#23,"""どこ見てるのかしら？<br>あたしはここよ"""
Avoid#21,"""遅いわ"""
HealSelf#21,"""残念だったわね"""
BuffSelf#21,"""手抜かりなくいくわよ"""
HealOther#21,"""回復を忘れないように"""
BuffOther#21,"""補助も馬鹿にできないわよ"""
QuestStart1#21,"""さあ、行きましょう"""
QuestStart2#17,"""また一緒なのね<br>ま、あたしは貴方と一緒なら<br>楽できるから、いいけど"""
QuestEnd1#21,"""こんなものでしょう？"""
QuestEnd2#17,"""ま、あたしと一緒だったからね<br>それなりに頑張ったとは思うけど"""
IncidentStart#23,"""何か、くる？"""
IncidentSuccess#23,"""ふうん、成功みたいね"""
IncidentFailure#23,"""あたしには関係ないし"""
PSE#23,"""これって、ＰＳＥってやつ？"""
PSELevelUp#23,"""なんか続いてるんじゃない？"""
PSEBurst#23,"""ふうん……これがバースト<br>フォトンの励起した状態、ね"""
HP30#23,"""ここから本気よ"""
HP10#23,"""……ここまで追い詰められるなんて"""
ItemRare#23,"""あたしは別に欲しくないわよ"""
DamageSmall#23,"""くっ！"""
DamageMiddle#23,"""ううっ"""
DamageLarge#23,"""うあっ！"""
Trap#23,"""こんな罠程度に……<br>馬鹿みたい"""
ThankTrapRescue#23,"""感謝はするわ"""
TrapRescueOther#21,"""手間をかけさせないで"""
MemberDamaged#21,"""無理は禁物<br>一旦下がったらどう？"""
MemberDead#23,"""……あたしには関係ない<br>けど……！"""
AbilityExe#21,"""/toge この調子なら……行ける"""
AbilitySpecial#21,"""/toge 私に任せなさい"""
Resurrect#21,"""……まだ、死ねないの"""
PartyJoin#21,"""/ci1 1 暇だったからね"""
Marvelous#21,"""ま、いいんじゃない"""
IncidentJsApcBegin#15,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcFailure#15,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcSuccess#15,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
EnemyWeak#22,"""如果是弱小的傢伙，那我OK"""
EnemyLarge#22,"""攻擊的對象最好大一點<br>對我來說比較方便就是了......"""
EnemyBoss#22,"""好啦，差不多該認真點了<br>不然會有點危險喔？"""
EnemyRare#22,"""啊，那傢伙很少見喔<br>那個可是很稀奇的呢"""
EnemyBoost#22,"""嗯......有種不太好的感覺耶"""
DestroyEnemy1#22,"""如何？"""
DestroyEnemy2#22,"""差不多就這樣吧？"""
DestroyEnemy3#22,"""應該打贏了吧？"""
CondFreeze#22,"""結凍了啊─"""
CondBurn#22,"""好燙，燙燙燙！"""
CondShock#22,"""觸電的感覺<br>還滿不可思議的呢"""
CondPoison#22,"""唉呀，這下好像是中毒了？"""
CondPanic#22,"""嗯─，暈頭轉向的<br>眼前轉個不停呢"""
CondStan#22,"""動作被封鎖了啊"""
CondMirage#22,"""唉喲，眼前景象<br>變得相當有趣呢"""
Die#24,"""或許有點太鬆懈了吧"""
ThankHeal#24,"""多謝─"""
ThankBuff#22,"""謝謝啦"""
ThankCure#22,"""哎呀，真是救了我一命"""
DefeatEnemy#22,"""解決了吧？"""
LevelUp#22,"""感覺不錯呢"""
InvokeSkill1#22,"""這招怎麼樣？"""
InvokeSkill2#18,"""給你最後一擊吧"""
InvokeSkill3#16,"""速戰速決"""
TechFire#4,"""我還有這招哦？"""
TechIce#10,"""你想往哪裡去？"""
TechThunder#10,"""哎，算是有練過啦"""
TechWind#4,"""來做點有趣的事吧"""
PBFull#22,"""哦，擺出這種態度啊"""
PBRelease#22,"""好啦，輪到壓軸登場囉"""
TacticsFree#24,"""自由行動囉"""
TacticsGuard#24,"""鞏固一下防禦吧"""
TacticsMassedAttack#24,"""集中砲火是我的拿手好戲"""
TacticsAttack#24,"""來來來，看這邊─"""
Avoid#22,"""你看不見嗎？"""
HealSelf#22,"""好了，到此為止"""
BuffSelf#22,"""我要稍為耍詐一下囉"""
HealOther#22,"""別忘了恢復喔"""
BuffOther#22,"""我來支援你吧，來"""
QuestStart1#22,"""好了，作戰開始囉"""
QuestEnd1#22,"""嗯，辛苦囉"""
IncidentStart#24,"""哦，看來好像要發生什麼事囉"""
IncidentSuccess#24,"""看來是成功了呢？"""
IncidentFailure#24,"""唉呀呀......"""
PSE#24,"""哦，光子變得活躍起來了<br>是不是要開始了？"""
PSELevelUp#24,"""好，繼續試試看吧"""
PSEBurst#24,"""很好，這樣就很完美了<br>瞧，很厲害吧？"""
HP30#24,"""我開始覺得累了"""
HP10#24,"""......差不多該準備回去了啦"""
ItemRare#24,"""喔，恭喜你啦"""
DamageSmall#24,"""嗚！"""
DamageMiddle#24,"""嗚！"""
DamageLarge#24,"""好痛！"""
Trap#24,"""哦，是陷阱啊"""
ThankTrapRescue#24,"""啊，謝啦"""
TrapRescueOther#22,"""沒事吧？"""
MemberDamaged#22,"""好好好，接下來就交給我"""
MemberDead#24,"""其實我這人不太愛動怒的"""
AbilityExe#22,"""/toge 好，已經取回平常的步調了<br>再稍微加把勁吧？"""
AbilitySpecial#22,"""/toge 要交給我嗎？"""
Resurrect#22,"""呼，得救了"""
PartyJoin#22,"""/ci1 1 我盡量啦"""
Marvelous#22,"""身手不錯嘛"""
IncidentJsApcBegin#16,"""/ci2 2 哦，來得正好<br>可以請你幫我一下嗎？"""
IncidentJsApcFailure#16,"""那裡吧......<br>再打下去有點吃力<br>我要撤退囉"""
IncidentJsApcSuccess#16,"""/ci2 2 好，結束了<br>謝啦，幫了我一個大忙"""
IncidentJsApcBeginEvo#12,"""/ci4 5 哎喲？<br>好像還有敵人要來呢"""
EnemyWeak#23,"""弱いやつなら大歓迎"""
EnemyLarge#23,"""的としてはでかくて<br>助かるんだけどねぇ……"""
EnemyBoss#23,"""さて、そろそろ本気でいかないと<br>ちょーっと、危ないかな？"""
EnemyRare#23,"""あぁ、あいつはレアモノだね<br>珍しいんだよー、あれ"""
EnemyBoost#23,"""んー……なんかやな雰囲気"""
DestroyEnemy1#23,"""どうだい？"""
DestroyEnemy2#23,"""こんなものかい？"""
DestroyEnemy3#23,"""決まったんじゃないかな？"""
CondFreeze#23,"""凍っちゃったかー"""
CondBurn#23,"""あっち、あちちっ！"""
CondShock#23,"""感電というのも<br>なかなか不思議な感覚だね"""
CondPoison#23,"""あっちゃあ、こりゃ毒かな？"""
CondPanic#23,"""うーん、なんともぐるぐる<br>視界が回るねえ"""
CondStan#23,"""動き、封じられちゃったかあ"""
CondMirage#23,"""おーっと、視界が<br>なかなか面白いことに"""
Die#25,"""手抜きすぎたかな"""
ThankHeal#25,"""どーうも"""
ThankBuff#23,"""ありがとねー"""
ThankCure#23,"""いやー、助かるよ"""
DefeatEnemy#23,"""片付いちゃったかな？"""
LevelUp#23,"""いい感じだね"""
InvokeSkill1#23,"""こういうのはどうだい？"""
InvokeSkill2#19,"""決めちゃおうか"""
InvokeSkill3#17,"""ほいさっさっと"""
TechFire#5,"""こういうのもあるよ？"""
TechIce#11,"""どこに行く気だい？"""
TechThunder#11,"""まあ、たしなむ程度はね"""
TechWind#5,"""面白いことをしようか"""
PBFull#23,"""ふうん、そういう態度かぁ"""
PBRelease#23,"""さて、真打ち登場だ"""
TacticsFree#25,"""自由自由っと"""
TacticsGuard#25,"""守りを固めようか"""
TacticsMassedAttack#25,"""集中砲火はお手の物"""
TacticsAttack#25,"""ほらほら、こっちだよー"""
Avoid#23,"""見えてないのかな？"""
HealSelf#23,"""はい、そこまで"""
BuffSelf#23,"""ちょっとズルするよー"""
HealOther#23,"""回復は忘れずにね"""
BuffOther#23,"""援護するよ、ほらほら"""
QuestStart1#23,"""さて、状況開始かな"""
QuestEnd1#23,"""はーい、お疲れー"""
IncidentStart#25,"""おや、こりゃなにか起きるね"""
IncidentSuccess#25,"""うまくいったかな？"""
IncidentFailure#25,"""あっちゃっちゃー……"""
PSE#25,"""おや、フォトンが活発に<br>こりゃ始まったかな？"""
PSELevelUp#25,"""さ、どんどん続けてみよう"""
PSEBurst#25,"""いいね、これでカンペキだ<br>ほら、すごいだろう？"""
HP30#25,"""かったるくなってきたなあ"""
HP10#25,"""……そろそろ帰ろうよ"""
ItemRare#25,"""おっ、おめでとさん"""
DamageSmall#25,"""うっ"""
DamageMiddle#25,"""くうっ"""
DamageLarge#25,"""あいたっ！"""
Trap#25,"""へー、罠かー"""
ThankTrapRescue#25,"""あ、ありがとねー"""
TrapRescueOther#23,"""大丈夫かな？"""
MemberDamaged#23,"""はいはい、後は任せて"""
MemberDead#25,"""怒るとか、ガラじゃないけどさ"""
AbilityExe#23,"""/toge さーて、調子も出てきたし<br>ちょっとがんばるかな？"""
AbilitySpecial#23,"""/toge 私に任せちゃうかい？"""
Resurrect#23,"""ふー、助かったよ"""
PartyJoin#23,"""/ci1 1 ほどほどに頑張るよ"""
Marvelous#23,"""いい動きだねえ"""
IncidentJsApcBegin#17,"""/ci2 2 おっ、丁度良いところに<br>少し手伝って貰えるかな？"""
IncidentJsApcFailure#17,"""あっちゃあ……<br>これ以上は厳しいね<br>撤退させてもらうよ"""
IncidentJsApcSuccess#17,"""/ci2 2 よーし、終わったっと<br>ありがとね、助かったよ"""
IncidentJsApcBeginEvo#13,"""/ci4 5 おやおや？<br>まだ来るみたいだねえ"""
EnemyWeak#24,"""......好像很弱"""
EnemyLarge#24,"""......好大"""
EnemyBoss#24,"""......有點麻煩"""
EnemyRare#24,"""......啊，真稀奇"""
EnemyBoost#24,"""......這是什麼感覺"""
DestroyEnemy1#24,"""......結束"""
DestroyEnemy2#24,"""......下一個"""
DestroyEnemy3#24,"""......完畢"""
CondFreeze#24,"""......嗚，凍結<br>不能動了......"""
CondBurn#24,"""......好熱"""
CondShock#24,"""......身體麻了"""
CondPoison#24,"""......嗚，中毒了"""
CondPanic#24,"""......頭好暈，眼花"""
CondStan#24,"""......快動，我的身體"""
CondMirage#24,"""......眼前，一片模糊"""
Die#26,"""我不要......這樣......"""
ThankHeal#26,"""......謝謝"""
ThankBuff#24,"""......很好的判斷"""
ThankCure#24,"""......謝了"""
DefeatEnemy#24,"""......告一段落"""
LevelUp#24,"""......努力的成果"""
TechFire#6,"""......燒吧"""
TechIce#12,"""......結凍吧"""
TechThunder#12,"""......麻痺吧"""
TechWind#6,"""......飛出去吧"""
TechLight#8,"""......光啊"""
TechDark#8,"""......黑暗啊"""
PBFull#24,"""......別得寸進尺"""
PBRelease#24,"""......解放"""
TacticsFree#26,"""......我要自由行動了"""
TacticsGuard#26,"""......鞏固防禦"""
TacticsMassedAttack#26,"""......我要集中攻擊了"""
TacticsAttack#26,"""......我來當誘餌"""
Avoid#24,"""......真危險"""
HealSelf#24,"""......恢復"""
BuffSelf#24,"""......該做的就要做"""
HealOther#24,"""......別忘了恢復"""
BuffOther#24,"""......我來做輔助"""
QuestStart1#24,"""......走吧"""
QuestStart2#18,"""......跟你一起就放心了"""
QuestEnd1#24,"""......辛苦了"""
QuestEnd2#18,"""......這種安心感就是不一樣"""
IncidentStart#26,"""......好像要發生什麼事了"""
IncidentSuccess#26,"""......好像成功了"""
IncidentFailure#26,"""......對不起"""
PSE#26,"""......有什麼開始了"""
PSELevelUp#26,"""......繼續下去吧"""
PSEBurst#26,"""......想不到有如此大的效果"""
HP30#26,"""......我還能打"""
HP10#26,"""......這樣下去是不行的"""
ItemRare#26,"""......那是好東西喲"""
DamageSmall#26,"""......嗚"""
DamageMiddle#26,"""......嗚"""
DamageLarge#26,"""......啊嗚！"""
Trap#26,"""......竟然中了陷阱"""
ThankTrapRescue#26,"""............謝謝"""
TrapRescueOther#24,"""......小心"""
MemberDamaged#24,"""......還好嗎？"""
MemberDead#26,"""......饒不了你"""
AbilityExe#24,"""/toge ......開始上手了"""
AbilitySpecial#24,"""/toge ......讓我來"""
Resurrect#24,"""......我還能打"""
PartyJoin#24,"""/ci1 1 ......拜託了"""
Marvelous#24,"""......真佩服"""
IncidentJsApcBegin#18,"""/ci4 5 ......來得正是時候。<br>敵人數量有點多，幫幫我。"""
IncidentJsApcFailure#18,"""......對不起，我不能再<br>打了。我撤退了。"""
IncidentJsApcSuccess#18,"""/ci1 5 ……如果只有我一個人的話<br>我想一定很危險。<br>所以呢，我想好好道謝。<br>……謝謝你。"""
IncidentJsApcBeginEvo#14,"""/ci4 5 ......新的敵人要來了。<br>小心，做好準備。"""
IncidentJsMultiApcBegin#12,"""/ci4 1 ......又沒有人<br>拜託你保護我"""
IncidentJsMultiApcSuccess#12,"""/ci1 2  ......這附近敵人的數量<br>似乎比想像中還要多，<br>小心前進。"""
EnemyWeak#25,"""……弱そう"""
EnemyLarge#25,"""……おっきいわね"""
EnemyBoss#25,"""……ちょっと、面倒"""
EnemyRare#25,"""……あ、珍しい"""
EnemyBoost#25,"""……何、この雰囲気"""
DestroyEnemy1#25,"""……終わり"""
DestroyEnemy2#25,"""……次"""
DestroyEnemy3#25,"""……おしまい"""
CondFreeze#25,"""……く、凍結<br>動けない……"""
CondBurn#25,"""……すごく、熱い"""
CondShock#25,"""……身体が、しびれる"""
CondPoison#25,"""……くっ、これ、毒"""
CondPanic#25,"""……ふらふらして、視界が"""
CondStan#25,"""……動いて、私の身体"""
CondMirage#25,"""……目が、かすんでる"""
Die#27,"""こんなの……いやだ……"""
ThankHeal#27,"""……ありがと"""
ThankBuff#25,"""……いい判断ね"""
ThankCure#25,"""……感謝する"""
DefeatEnemy#25,"""……一段落ね"""
LevelUp#25,"""……努力の結果ね"""
TechFire#7,"""……燃えて"""
TechIce#13,"""……凍って"""
TechThunder#13,"""……痺れて"""
TechWind#7,"""……吹き飛べ"""
TechLight#9,"""……光よ"""
TechDark#9,"""……闇よ"""
PBFull#25,"""……いい加減にして"""
PBRelease#25,"""……解き放つわ"""
TacticsFree#27,"""……自由にやるわね"""
TacticsGuard#27,"""……守りをしっかり"""
TacticsMassedAttack#27,"""……集中的に狙うわ"""
TacticsAttack#27,"""……私が囮になる"""
Avoid#25,"""……危ないわね"""
HealSelf#25,"""……回復、っと"""
BuffSelf#25,"""……手抜きはなしよ"""
HealOther#25,"""……回復、忘れないで"""
BuffOther#25,"""……補助、するから"""
QuestStart1#25,"""……行きましょう"""
QuestStart2#19,"""……あなたが一緒なら安心"""
QuestEnd1#25,"""……お疲れ様"""
QuestEnd2#19,"""……安心感が違うわね"""
IncidentStart#27,"""……何か、起きそう"""
IncidentSuccess#27,"""……成功したみたい"""
IncidentFailure#27,"""……ごめんなさい"""
PSE#27,"""……何か、始まったわ"""
PSELevelUp#27,"""……続けていきましょう"""
PSEBurst#27,"""……これほどの効果があるなんて"""
HP30#27,"""……まだ"""
HP10#27,"""……このままじゃあ"""
ItemRare#27,"""……それ、いいものよ"""
DamageSmall#27,"""……うっ"""
DamageMiddle#27,"""……くうっ"""
DamageLarge#27,"""……あうっ！"""
Trap#27,"""……罠にひっかかるなんて"""
ThankTrapRescue#27,"""……ありがとう"""
TrapRescueOther#25,"""……気をつけて"""
MemberDamaged#25,"""……大丈夫？"""
MemberDead#27,"""……許さない"""
AbilityExe#25,"""/toge ……調子、出てきた"""
AbilitySpecial#25,"""/toge ……私に任せて"""
Resurrect#25,"""……まだ、いけるから"""
PartyJoin#25,"""/ci1 1 ……よろしく"""
Marvelous#25,"""……さすがね"""
IncidentJsApcBegin#19,"""/ci4 5 ……丁度良いところに来たわね。<br>少し敵の数が多いの、手伝って。"""
IncidentJsApcFailure#19,"""……ごめんなさい、これ以上は<br>戦えない。撤退します。"""
IncidentJsApcSuccess#19,"""/ci1 5 ……私一人じゃ危なかったと思う。<br>だから、ちゃんとお礼は言うわ。<br>……ありがとう。"""
IncidentJsApcBeginEvo#15,"""/ci4 5 ……新手が来そう。<br>注意して、しっかり準備を。"""
IncidentJsMultiApcBegin#13,"""/ci4 1 ……誰も守ってなんて<br>お願いしてないのに"""
