Title_DeadMenu#0,"""無法戰鬥狀態菜單"""
BouncerZondeClad#0,"""對敵人命中一定次數的<br>非蓄力雷屬性法術後，<br>自身變為帶電狀態。<br>且再次命中蓄力的同屬性法術，<br>則帶電會解除，並強化該法術。"""
HealTank#1,"""治療光晶"""
RecoveryMoonAtomizer#1,"""復活光晶"""
HunterWarCry#1,"""戰爭咆哮"""
HunterIronWill#1,"""鋼鐵意志"""
HunterMassiveHunter#1,"""霸體獵人"""
HunterParryingPa#1,"""獵人PA<br>復仇"""
HunterSwordGuardCounterPlus#1,"""大劍防禦<br>反擊+"""
HunterSwordNormalAttackPlus#1,"""大劍攻擊<br>額外段數"""
HunterSwordAttackExtra#1,"""大劍攻擊<br>額外段數"""
HunterWeakHitAdvance#1,"""弱點命中<br>進階Hu"""
HunterParryingCritical#1,"""格擋暴擊"""
HunterCounterBoost#1,"""反擊增強"""
HunterJustGuardDownBoost#1,"""完美防禦<br>應激增強"""
HunterSwordGuardCounter#1,"""大劍防禦<br>反擊"""
HunterFlashGuard#1,"""閃光防禦"""
HunterAllGuard#1,"""全面防禦"""
HunterParryingPPHeal#1,"""獵人PA<br>復仇PP獲得"""
HunterParryingPaJustGuard#1,"""獵人PA<br>完美格擋"""
HunterSlowFallCharge#1,"""蓄力緩落Hu"""
HunterTecArtsSkipAttack#1,"""異PA<br>略過攻擊Hu"""
HunterSameArtsSkipAttack#1,"""同PA<br>略過攻擊Hu"""
HunterPartisanVolgraptor#1,"""猛禽獵殺"""
HunterPartisanAssaultCharge#1,"""突進蓄力"""
HunterPartisanParryingAssaultCharge#1,"""突進蓄力<br>復仇"""
HunterWLanceAttackExtra#1,"""自在槍攻擊<br>額外段數"""
HunterWLanceWAPlus#1,"""自在槍射錨<br>進階"""
HunterWLanceWAGuardPointPlus#1,"""自在槍射錨<br>完美格擋"""
RangerGaugeShotGun#1,"""擴散射擊"""
RangerGaugeShotGunAway#1,"""擴散射擊<br>快速迴避"""
RangerWeakBullet#1,"""脆化彈"""
RangerWeakBulletParse#1,"""脆化彈<br>補強"""
RangerWeaponActionAvoid#1,"""滑行射擊<br>進階"""
RangerGrenadeTrap#1,"""步槍榴彈"""
RangerRangeBonus#1,"""適合距離<br>應激加成"""
RangerDownChain#1,"""應激連鎖"""
RangerWeakHitAdvance#1,"""弱點命中<br>進階Ra"""
RangerWeakBlastBonus#1,"""弱點命中<br>光子爆發加成"""
RangerFallSlowAttack#1,"""攻擊緩落Ra"""
RangerFallSlowCharge#1,"""蓄力緩落Ra"""
RangerClusterBombRecastReduce#1,"""黏性炸彈<br>快速裝填"""
RangerLauncherChargeConvergence#1,"""大炮蓄力<br>集束"""
RangerConditionBadGuard#1,"""異常狀態<br>抵抗"""
RangerConditionBadEase#1,"""異常狀態<br>縮短"""
ForcePhotonFlare#1,"""光子閃耀"""
ForcePpConvert#1,"""PP轉換"""
ForcePpConvertReCharge#1,"""PP轉換<br>備彈增加"""
ForceChargePpRevival#1,"""法術蓄力<br>PP奔湧"""
ForceChargeEscape#1,"""長杖法術<br>維持"""
ForceHeal#1,"""治療領域Fo"""
ForceOverFlow#1,"""オーバーフロー"""
ForcePhotonFlareTecShortCharge#1,"""光子閃耀<br>短蓄力"""
ForcePhotonFlareAfterBurst#1,"""光子閃耀<br>後力爆發"""
ForcePhotonFlareBoost#1,"""光子閃耀<br>增強"""
ForceRodCounterTechnic#1,"""長杖應招<br>進階"""
ForcePhotonFlarePpRefrain#1,"""光子閃耀<br>後力PP獲得"""
ForceNightmare#1,"""殺戮機器<br>PP獲得"""
ForceReflectCounterShot#1,"""元素彈"""
ForceRodCounterTecBonus#1,"""長杖反擊<br>進階"""
ForceRodAbsorption#1,"""不動如山<br>PP獲得"""
ForceTalisConcentrate#1,"""導具展開<br>激勵"""
ForceTalisQuickMarkShot#1,"""浮游炮壘<br>多目標鎖定"""
ForceTalisSetRevok#1,"""導具展開<br>解除"""
ForcePpRestorate#1,"""PP恢復提升"""
ForceSlowFallCharge#1,"""蓄力緩落Fo"""
ForceBartaBlot#1,"""冰牙刻印"""
ForceZondeClad#1,"""雷迅電繞"""
FighterLimitBreak#1,"""極限解放"""
FighterLimitBreakPhotonCharge#1,"""極限解放<br>PP恢復"""
FighterLimitBreakInsurance#1,"""極限解放<br>劫後餘生"""
KnuckleDodgeHeatRevenge#1,"""鋼拳攻擊<br>切換段數"""
FighterKnuckleSwayCounterPlus#1,"""鋼拳閃身<br>反擊+"""
FighterKnuckleNormalAttackPlus#1,"""鋼拳攻擊<br>額外段數"""
FighterKnuckleAttackExtra#1,"""鋼拳攻擊<br>額外段數"""
FighterPhotonFlood#1,"""光子氾濫"""
FighterUnFlatBonus#1,"""アンフラット<br>ボーナス"""
FighterTecArtsJABonus#1,"""法術PA加成"""
FighterPPSlayer#1,"""PP屠殺者"""
FighterKnuckleSwayCounter#1,"""鋼拳閃身<br>反擊"""
FighterChaseAdvance#1,"""倒地優勢"""
FighterChaseAdvancePPRecovery#1,"""倒地PP恢復"""
FighterTecArtsSkipAttack#1,"""異PA<br>略過攻擊Fi"""
FighterSameArtsSkipAttack#1,"""同PA<br>略過攻擊Fi"""
FighterSkipArts#1,"""鬥士<br>略過PA"""
FighterTDAnotherDerive#1,"""突進猛驅"""
FighterTDSpinCounter#1,"""雙小劍急旋<br>反擊"""
FighterTDAttackExtra#1,"""雙小劍攻擊<br>額外段數"""
FighterDSDodgeWindCounter#1,"""雙頭劍格擋<br>反擊"""
FighterDSDodgeWindWACounter#1,"""雙頭劍格擋<br>異式反擊"""
FighterDSDeadlyArcher#1,"""致命投手"""
FighterDSEnhanceAttack#1,"""螺旋猛驅"""
GunnerChainTrigger#1,"""連鎖起射"""
GunnerChainFinish#1,"""連鎖終結"""
GunnerChainFinishTimeBonus#1,"""連鎖起射<br>快速裝彈"""
GunnerSRollArts#1,"""瀟灑翻滾<br>PA"""
GunnerCounterPABurst#1,"""瀟灑翻滾<br>奮力回擊"""
GunnerChainBoost#1,"""連鎖增強"""
GunnerNeutralDeadApproach#1,"""瀟灑翻滾<br>猛攻"""
GunnerPerfectKeeper#1,"""完美維持者"""
GunnerChainFinishBonus#1,"""連鎖終結<br>加成"""
GunnerNeoTime#1,"""新生時刻"""
GunnerNeoTimeBlastBonus#1,"""新生時刻<br>光子爆發加成"""
GunnerNeoTimePPRefresh#1,"""新生時刻<br>PP刷新"""
GunnerAirAttackBonus#1,"""空中攻擊<br>加成"""
GunnerReactionWeak#1,"""應激弱點"""
GunnerFallSlowAttack#1,"""攻擊緩落Gu"""
GunnerFallSlowCharge#1,"""蓄力緩落Gu"""
GunnerGaugeShotGun#1,"""擴散射擊"""
GunnerGaugeShotGunAway#1,"""擴散射擊<br>快速迴避"""
GunnerAttackPPRestraint#1,"""攻擊<br>PP恢復"""
GunnerOverWhelm#1,"""以強凌弱"""
TechterShiftaDeband#1,"""攻擊・防禦結界"""
TechterPartyAssist#1,"""攻擊・防禦結界<br>隊伍共享"""
TechterWandElementChange#1,"""短杖屬性<br>變換"""
TechterWandElementDiscard#1,"""短杖屬性<br>解除"""
TechterHeal#1,"""治療領域Te"""
TechterWandGuardCounter#1,"""短杖格擋<br>反擊"""
TechterAssistField#1,"""攻擊・防禦結界<br>領域"""
TechterWandLovers#1,"""短杖熱愛"""
TechterWandCounterReflection#1,"""短杖防禦<br>反射"""
TechterShiftaStrike#1,"""攻擊結界效果<br>增幅"""
TechterShiftaAdvance#1,"""攻擊結界效果<br>優勢"""
TechterDebandCut#1,"""防禦結界抵抗<br>異常狀態"""
TechterDebandPpReStraight#1,"""防禦結界<br>PP恢復提升"""
TechterExtendAssist#1,"""攻擊・防禦結界<br>延長"""
TechterElementWeakBonus#1,"""弱點屬性<br>增幅"""
TechterAwakeYell#1,"""覺醒咆哮"""
TechterReverseBonus#1,"""重生補貼"""
TechterWandGuardCounterEdge#1,"""短杖格擋<br>反擊進階"""
TechterFallSlowCharge#1,"""蓄力緩落Te"""
TechterBartaBlot#1,"""冰牙刻印"""
TechterZondeClad#1,"""雷迅電繞"""
ForceTalisTecBurst#1,"""詭術蓄能"""
TechterTalisTecBurst#1,"""詭術蓄能"""
TechterTalisQuickMarkShot#1,"""浮游炮壘<br>多目標鎖定"""
TechterTalisSetRevok#1,"""導具展開<br>解除"""
BraverGuardRelief#1,"""剛毅防禦"""
BraverRestaHealUp#1,"""治療效果<br>增幅"""
BraverJustReversalCover#1,"""擊飛<br>HP獲得"""
BraverCombat#1,"""武勇戰技"""
BraverBraveCombatShortTime#1,"""武勇戰技<br>短循環"""
BraverCombatCountAfterBonus#1,"""武勇戰技<br>終結獎勵"""
Katana:LockonChase#1,"""武勇戰技<br>拉近距離"""
BraverCompoundbowPaArmor#1,"""武勇戰技<br>箭矢之友"""
BraverKatanaGuardCounter#1,"""拔劍防禦<br>反擊"""
Katana:CounterEdge#1,"""拔劍防禦<br>反擊進階"""
Katana:ComboCountSkill#1,"""拔劍PA連擊<br>保留"""
Katana:Ambition#1,"""無畏架勢"""
BraverCounterArrow#1,"""強弓躲避<br>反擊"""
BraverCompoundbowHoming#1,"""追蹤箭矢"""
BraverCompoundbowSlideDodge#1,"""強弓躲避<br>擴展"""
BouncerDownRateUp#1,"""倒地增幅"""
BouncerNakedKiller#1,"""部位破壞<br>優勢"""
BouncerDefeatPpGain#1,"""倒地PP獲得"""
BouncerFrailPointUp#1,"""衰弱增幅"""
BouncerPhysicFrail#1,"""物理衰弱"""
BouncerElementFrail#1,"""屬性衰弱"""
BouncerPhotonBladeFever#1,"""高亢飛刃"""
BouncerPhotonBladeFeverUp#1,"""高亢飛刃<br>數量增加"""
BouncerPhotonBladePpGain#1,"""光子飛刃<br>PP恢復"""
BouncerElementBurst#1,"""風暴躍舞曲"""
BouncerJetBootsElementChange#1,"""魔裝腳<br>屬性附加"""
BouncerJetBootsAttackExtra#1,"""魔裝腳攻擊<br>額外段數"""
BouncerJetBootsJetAttack#1,"""噴射加劇"""
BouncerJetBootsEnhancePA#1,"""魔裝腳PA<br>動作變化"""
BouncerJetBootsWeaponActionCounter#1,"""魔裝腳靈閃<br>凌躍反擊"""
BouncerJetBootsBlink#1,"""滑行飛馳"""
BouncerBartaBlot#1,"""冰牙刻印"""
BouncerZondeClad#1,"""雷迅電繞"""
YesText#0,"""是"""
NoText#0,"""否"""
CloseText#0,"""關閉"""
OpenText#0,"""打開"""
MaxText#0,"""最大化"""
MinText#0,"""最小化"""
Sort#0,"""排序"""
Copy#0,"""複製"""
Peaste#0,"""粘貼"""
NextText#0,"""下一頁"""
PrevText#0,"""上一頁"""
DecideText#0,"""確定"""
CancelText#0,"""取消"""
OKText#0,"""OK"""
ReturnText#0,"""返回"""
TitleText#0,"""訊息"""
CheckText#0,"""以後不再顯示此視窗"""
NoneText#0,"""無"""
Preview#0,"""預覽"""
SimplePreview#0,"""簡易預覽"""
Skip#0,"""略過過場動畫並跳到下一個選項<br>或過場動畫結束的時間點。<br><br>是否要略過？"""
SkipMovie#0,"""退出視頻播放。<br><br>確定麼？"""
SymbolArt_BANtext#0,"""無法儲存此塗鴉。"""
TimeText#0,"""$(0)分$(1)秒$(2)"""
NumItem#0,"""持有$(0) $(1)個"""
NumItem2#0,"""$(0)×$(1)"""
Bracket#0,"""（$(0)）"""
SquareBracket#0,"""「$(0)」"""
SkipNaviKey#0,"""按<yellow>【[Esc]鍵】<c>跳過"""
SkipNaviButton#0,"""按<yellow>【<c><%AllWindowClose><yellow>鍵】<c>跳過"""
PreviewZoom#0,"""按<pict 4space><%Exception><pict 4space>切換模式（<c cfcfcf>回轉擴大<c>/<yellow>平行移動<c>）"""
PreviewZoom_mouse#0,"""按<pict 4space><pict mouse_right><pict 4space>切換模式（<c cfcfcf>回轉擴大<c>/<yellow>平行移動<c>）"""
PreviewMove#0,"""按<pict 4space><%Exception><pict 4space>切換模式（<yellow>回轉擴大<c>/<c cfcfcf>平行移動<c>）"""
PreviewMove_mouse#0,"""按<pict 4space><pict mouse_right><pict 4space>切換模式（<yellow>回轉擴大<c>/<c cfcfcf>平行移動<c>）"""
CBT_BillingRestrictions#0,"""クローズドベータテストでは、<br>ACを購入できません。"""
TargetInfo_Level#0,"""Lv.$(0)"""
TargetInfo_Name#0,"""$(0) $(1)"""
TargetInfo_WeekAndResist#0,"""$(0)"""
TargetInfo_WeakPoint#0,"""弱點"""
TargetInfo_Resist#0,"""抗性"""
Title#0,"""簡易資料"""
StatusLabePower#0,"""戰鬥力"""
StatusLabeJob#0,"""$(0) """
StatusLabelLevel#0,"""Lv."""
StatusLabelExp#0,"""經驗值"""
MainStatusLabelExp#0,"""經驗值"""
StatusLabelNextExp#0,"""主職業:升級所需EXP"""
MainStatusLabelNextExp#0,"""主職業:升級所需EXP"""
SubStatusLabelNextExp#0,"""副職業:升級所需EXP"""
StatusLabelMeseta#0,"""<pict reb_meseta><pict 4space>美賽達"""
StatusLabelSeasonPoint#0,"""9周年季節點數"""
StatusLabelSeasonPoint_1#0,"""9周年季節點數"""
StatusLabelSeasonPoint_3#0,"""賞月季節點數"""
StatusLabelSeasonPoint_4#0,"""萬聖季節點數"""
StatusLabelSeasonPointValue#0,"""$(1) /$(0)"""
StatusLabelFun#0,"""FUN"""
StatusLabelAc#0,"""ARKS貨幣(AC)"""
StatusLabelTicket#0,"""VIP有效期限"""
StatusLabeMainClass#0,"""主職業"""
StatusLabelSubClass#0,"""副職業"""
MiKakin#0,"""未使用"""
IsPremium#0,"""<yellow>「VIP」生效中<c>"""
NonPremium#0,"""<red>「VIP」過期<c>"""
KakinGire#0,"""<red>過期<c>"""
NetCafe#0,"""<green>網咖VIP<c>"""
NoJob#0,"""無"""
Excube#0,"""到獲得肝塊為止"""
MainExcube#0,"""到獲得肝塊為止"""
SubExcube#0,"""到獲得肝塊為止（副職業）"""
ExpBlank#0,"""－"""
StatusLabelSg#0,"""星鑽(SG)"""
LevelMax#0,"""（$(0)）"""
LevelMaxHide#0,"""（－）"""
RemainingDaysUp#0,"""剩餘超過$(0)日"""
RemainingDays#0,"""剩餘$(0)日"""
RemainingHour#0,"""剩餘約$(0)小時"""
RemainingHourLess#0,"""剩餘不足$(0)小時"""
StatusLabePowerAndMaxPower#0,"""戰鬥力"""
StatusLabePowerAndMaxPowerNumber#0,"""$(0)"""
GoToTask#0,"""按下<%Function>打開委託一覽"""
RemainingDayHourMin#0,"""剩餘$(0)日$(1)小時$(2)分"""
StatusLabelSeasonPointPossession#0,"""持有點數"""
StatusLabelSeasonPointWeeklyLimit#0,"""毎週獲得點數"""
HateTime#0,"""效果時間"""
HateEffectValue#0,"""效果量"""
HealRate#0,"""回復量"""
DownRateAll#0,"""傷害減輕率"""
AtpDownRate#0,"""威力降低率"""
PpUseUpRate#0,"""PP消耗増加率"""
PpUseDownRate#0,"""PP消耗降低率"""
CriticalRate#0,"""会心距離時槽積蓄量"""
AtpAndDownRate#0,"""威力・倒地值上升率"""
Range#0,"""效果範圍"""
AtpRateLow#0,"""HP75％或以上時威力"""
DownRateLow#0,"""HP75％或以上時倒地值"""
AtpRateHigh#0,"""HP100％時威力"""
DownRateHigh#0,"""HP100％時倒地值"""
AtpRateProper#0,"""会心距離暴擊威力"""
AtpRateMiss#0,"""非適合距離暴擊威力"""
CriticalInstantProper#0,"""会心距離暴擊率"""
CriticalInstantMiss#0,"""非適合距離暴擊率"""
AttackSpeedRateLv1#0,"""50連鎖或以下時攻擊速度"""
AttackSpeedRateLv2#0,"""80連鎖或以下時攻擊速度"""
AttackSpeedRateLv3#0,"""81連鎖或以上時攻擊速度"""
AttackSpeedRateMax#0,"""攻擊速度上升上限"""
AddPpMax#0,"""増加PP"""
MulMaxHpRate#0,"""HP消耗率"""
PpRate#0,"""基準PP"""
RecoveryEffectRateOther#0,"""回復威力上升率"""
RecoveryEffectRateSelf#0,"""回復威力上升率"""
AtpRateDown#0,"""威力降低率"""
DownRateDown#0,"""倒地值降低率"""
DfpRate#0,"""所受傷害降低率"""
MaxTime#0,"""最大效果時間"""
CriticalInstantNeoTimeM#0,"""75～99%時暴擊率"""
PpHealRateNeoTimeM#0,"""75～99%時PP自動回復量"""
CriticalInstantNeoTimeH#0,"""100%時暴擊率"""
PpHealRateNeoTimeH#0,"""100%時PP自動回復量"""
DamageRate#0,"""所受傷害率"""
BasePoint#0,"""基準值"""
PlusHealRate#0,"""追加回復量"""
SkillPpRate#0,"""基準PP"""
AttackDownRate#0,"""物理倒地時威力"""
Count#0,"""最大備彈數"""
PhotonBlastGaugeAddValue#0,"""光子爆發槽上升率"""
PreCount#0,"""初期備彈數"""
AddRate#0,"""脆化彈強化後威力"""
AddTime#0,"""脆化彈延長時間"""
PbBonus#0,"""光子爆發槽上升率"""
PPRecover#0,"""PP回復量"""
GrenadeAtpRate#0,"""手雷威力"""
TrapAtpRate#0,"""陷阱威力"""
ForcePhotonFlareTecShortChargeRate#0,"""蓄力時間縮短率"""
StatusEffectValueMain#0,"""異常狀態積蓄值(主職業)"""
StatusEffectValueSub#0,"""異常狀態積蓄值(副職業)"""
StatusEffectDurationMain#0,"""異常狀態時間(主職業)"""
StatusEffectDurationSub#0,"""異常狀態時間(副職業)"""
DecreaseHP#0,"""消耗HP"""
PPRecoverRateMain#0,"""PP回復速度(主職業)"""
PPRecoverRateSub#0,"""PP回復速度(副職業)"""
ChargeDuration#0,"""蓄力時間"""
PPRecoverRate#0,"""PP回復率"""
MaxPPRecover#0,"""最大PP回復量"""
KillingPPRecover#0,"""擊敗時PP回復量"""
DownPPRecover#0,"""倒地時PP回復量"""
EffectRange#0,"""效果範圍"""
PPRecoverValue#0,"""PP回復量"""
DurationDecreaseRate#0,"""持續時間減少率"""
PPRecoverValueMain#0,"""PP回復量(主職業)"""
PPRecoverValueSub#0,"""PP回復量(副職業)"""
PhysicalDownAtpRateMain#0,"""物理倒地時威力(主職業)"""
PhysicalDownAtpRateSub#0,"""物理倒地時威力(副職業)"""
ElementDownAtpRateMain#0,"""属性倒地時威力(主職業)"""
ElementDownAtpRateSub#0,"""属性倒地時威力(副職業)"""
PhysicalDownPPRecoverRateMain#0,"""物理倒地時PP回復(主職業)"""
PhysicalDownPPRecoverRateSub#0,"""物理倒地時PP回復(副職業)"""
ElementDownPPRecoverRateMain#0,"""属性倒地時PP回復(主職業)"""
ElementDownPPRecoverRateSub#0,"""属性倒地時PP回復(副職業)"""
DamageRateMain#0,"""所受傷害率(主職業)"""
DamageRateSub#0,"""所受傷害率(副職業)"""
DamageStoreRate#0,"""傷害積蓄率"""
DownRate#0,"""倒地值増加"""
ElementDownRate#0,"""属性倒地值増加"""
DonwAtpRate#0,"""倒地時威力"""
StatusEffectValue#0,"""異常狀態積蓄值"""
PPRecoverSpeed#0,"""PP自然回復速度"""
MaxDuration#0,"""最大效果時間"""
EffectTime#0,"""效果時間"""
PBRateMain#0,"""PB槽上升量(主職業)"""
PBRateSub#0,"""PB槽上升量(副職業)"""
DecreaseTime#0,"""減少時間"""
ReduceRecast#0,"""冷卻時間縮短"""
DamageReductionMainRate#0,"""傷害減輕率(主職業)"""
DamageReductionSubRate#0,"""傷害減輕率(副職業)"""
PPHealPoint#0,"""PP回復量"""
AddPP#0,"""PP回復量"""
AttackDownSubRate#0,"""物理倒地時威力(副職業)"""
ElementDownSubRate#0,"""属性倒地時威力(副職業)"""
AttackDownPPRate#0,"""物理倒地時PP回復率"""
ElementDownPPRate#0,"""属性倒地時PP回復率"""
AttackDownPPSubRate#0,"""物理倒地時PP回復率(副職業)"""
ElementDownPPSubRate#0,"""属性倒地時PP回復率(副職業)"""
GuardRateMain#0,"""異常狀態積蓄率(主職業)"""
GuardRateSub#0,"""異常狀態積蓄率(副職業)"""
GuardRate#0,"""異常狀態積蓄率"""
EaseRateMain#0,"""異常狀態時間(主職業)"""
EaseRateSub#0,"""異常狀態時間(副職業)"""
ForceTalisConcentrateRate#0,"""持續時間"""
ActionPpRate#0,"""PP消耗降低率"""
PpActionRateAccumulation#0,"""消耗PP變換率"""
PpHealMaxVolume#0,"""PP回復量"""
PpHealValue#0,"""PP回復量"""
PpRecoveryDeathState#0,"""擊敗敵人時PP回復量"""
MainRecoveryRate#0,"""PP自然回復量(主職業)"""
SubRecoveryRate#0,"""PP自然回復量(副職業)"""
Stock#0,"""最大備彈數"""
PpHealVal#0,"""PP回復量"""
PpRecoveryRateMain#0,"""PP自然回復量(主職業)"""
PpRecoveryRateSub#0,"""PP自然回復量(副職業)"""
PBGaugeAddValueMain#0,"""PB槽上升量(主職業)"""
PBGaugeAddValueSub#0,"""PB槽上升量(副職業)"""
NumberRequired#0,"""必要次數"""
PhysicalDownRate#0,"""物理倒地值増加"""
ElementDownAtpRate#0,"""属性倒地時威力"""
AttackDownRateMain#0,"""物理倒地時威力(主職業)"""
AttackDownPPRateMain#0,"""物理倒地時PP回復率(主職業)"""
ElementDownPPRateMain#0,"""属性倒地時PP回復率(主職業)"""
PpUse#0,"""PP消耗量"""
HealRateMain#0,"""回復威力上升率(主職業)"""
HealRateSub#0,"""回復威力上升率(副職業)"""
HpRecoveryRateMain#0,"""HP回復率(主職業)"""
HpRecoveryRateSub#0,"""HP回復率(副職業)"""
HpConversionRate#0,"""每次命中的HP回復率"""
HpHealLimit#0,"""HP回復率上限"""
PpConversionRate#0,"""每次命中的PP回復率"""
PpHealLimit#0,"""PP回復率上限"""
HomingAngularVelocity#0,"""追蹤性能"""
HomingEndTime#0,"""追蹤時間"""
PhysicRateMain#0,"""物理倒地值增加(主職業)"""
PhysicRateSub#0,"""物理倒地值増加(副職業)"""
ElementRateMain#0,"""属性倒地值増加(主職業)"""
ElementRateSub#0,"""属性倒地值増加((副職業)"""
PhysicDownRateLv1#0,"""物理倒地值増加(1層)"""
PhysicDownRateLv2#0,"""物理倒地值増加(2層)"""
PhysicDownRateLv3#0,"""物理倒地值増加(3層)"""
ElementDownRateLv1#0,"""属性倒地值増加(1層)"""
ElementDownRateLv2#0,"""属性倒地值増加(2層)"""
ElementDownRateLv3#0,"""属性倒地值増加(3層)"""
FrailRate#0,"""衰弱上升量"""
AtpRateMain#0,"""每次的造成傷害増加"""
AtpRateSub#0,"""每次的造成傷害増加(副職業)"""
DmgReductionRateMain#0,"""每次的造成傷害減輕"""
DmgReductionRateSub#0,"""每次的造成傷害減輕(副職業)"""
RegionNumLimit#0,"""有效部位破壞次數上限"""
ShotInterval#0,"""發射間隔"""
PhotonBladeNum#0,"""發射數量"""
PATitle#0,"""光子技能詳情"""
TechnicTitle#0,"""法術詳情"""
OverloadTitle#0,"""複合法術詳情"""
SkillTitle#0,"""技能詳情"""
NoSelectPAMessage#0,"""未選擇光子技能"""
NoSelectTechnicMessage#0,"""未選擇法術"""
NoSelectOverloadMessage#0,"""未選擇複合法術"""
Power#0,"""威力"""
Dex#0,"""技量調整"""
NeedPp#0,"""消耗PP"""
PowerValue#0,"""$(0)"""
DexValue#0,"""$(0)％"""
EffectValue#0,"""$(0)％"""
Burn#0,"""燃燒"""
Shock#0,"""麻痺"""
Freeze#0,"""凍結"""
Bind#0,"""束縛"""
Silence#0,"""沉默"""
Poison#0,"""中毒"""
Break#0,"""撃破"""
Injury#0,"""創傷"""
Curse#0,"""詛咒"""
Stun#0,"""眩暈"""
Panic#0,"""混亂"""
Mirage#0,"""幻視"""
TechnicCustomize#0,"""自定義性能"""
Merit#0,"""有利"""
Demerit#0,"""不利"""
Special#0,"""特殊效果"""
Custom1#0,"""自定義類型1"""
Custom2#0,"""自定義類型2"""
ActionChange#0,"""舉動変化"""
PetTitle#0,"""寵物詳情"""
NeedGauge#0,"""消耗備彈數"""
NeedGaugeValue#0,"""$(0) (備彈數上限 $(1))"""
NotFoundGaugeValue#0,"""現在装備している武器では<br>解式PAは使用できません。"""
MyshopTitle#0,"""出品確認"""
MyshopMessage#0,"""將沒有獲取星鑽的衣服<br>進行登錄。<br>確定麼？"""
TradeTitle#0,"""登錄確認"""
TradeMessage#0,"""將沒有獲取星鑽的衣服<br>進行登錄。<br>確定麼？"""
TeamWarehouseTitle#0,"""訊息"""
TeamWarehouseMessage#0,"""將存放沒有獲取星鑽的衣服<br>進公會倉庫。<br><br>放入公會倉庫之後愛著度將會重置。<br><br>確定麼？"""
TeamWarehouseTitle2#0,"""訊息"""
TeamWarehouseMessage2#0,"""將此道具移動到公會倉庫。<br>確定麼？<br><br>放入公會倉庫中的衣服的<br>愛著度將會被重置。<br><br><yellow>※其他玩家也可使用公會倉庫<br>　請注意。<c>"""
PresentBoxTitle#0,"""訊息"""
PresentBoxMessage#0,"""有未獲取星鑽的衣服<br>將被放入禮物盒。<br>確定麼？"""
GachaTitle#0,"""訊息"""
GachaMessage#0,"""有未獲取星鑽的衣服<br>將被放入光子轉蛋。<br>確定麼？"""
RecycleTitle#0,"""確認"""
RecycleMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>交換選中道具。<br><yellow>※不會消耗以下項目之外的道具。<c><br><red>※選擇的道具中<br>含有未獲得星鑽的衣服。<c><br>確定麼？"""
RecycleMessageVita#0,"""<c f0df60>$(0)<c>×$(1)<br>交換選中道具。<br><yellow>※不會消耗以下項目之外的道具。<c><br><red>※選擇的道具中<br>含有未獲得星鑽的衣服。<c><br>確定麼？"""
RewardPopupMenu#0,"""獲取星鑽"""
RewardTitle#0,"""確認星鑽獲取"""
RewardMessage#0,"""該服裝愛著度已經達到上限，<br>可獲取該服裝的星鑽。<br><br>確認獲取星鑽麼？"""
RewardGetFailed#0,"""未能獲取星鑽。"""
CharaMenu_Party00#0,"""隊伍"""
CharaMenu_Party01#0,"""邀請加入隊伍"""
CharaMenu_Party02#0,"""變更隊長"""
CharaMenu_Party03#0,"""從隊伍中除名"""
CharaMenu_Party04#0,"""加入隊伍"""
CharaMenu_Bl01#0,"""加入黑名單"""
CharaMenu_Bl02#0,"""從黑名單中移除"""
CharaMenu_Guild00#0,"""公會"""
CharaMenu_Guild01#0,"""邀請加入公會"""
CharaMenu_Guild02#0,"""讓出公會會長的位子"""
CharaMenu_Guild03#0,"""從公會中除名"""
CharaMenu_Guild04#0,"""升格為管理員"""
CharaMenu_Guild05#0,"""升格為一般成員"""
CharaMenu_Guild06#0,"""調降為一般成員"""
CharaMenu_Guild07#0,"""調降為訪客"""
CharaMenu_Guild08#0,"""申請合併公會"""
CharaMenu_Chat01#0,"""發送密語"""
CharaMenu_Chat02#0,"""-"""
CharaMenu_Mail01#0,"""發送信件"""
CharaMenu_Item01#0,"""-"""
CharaMenu_Item02#0,"""提出交易申請<pict Arcscash>"""
CharaMenu_Friend01#0,"""申請添加好友"""
CharaMenu_Friend02#0,"""從好友列表刪除"""
CharaMenu_Friend03#0,"""接收登入通知"""
CharaMenu_Friend04#0,"""不接收登入通知"""
CharaMenu_Friend05#0,"""移動到相同線路"""
CharaMenu_Friend06#0,"""查看ARKS名片"""
CharaMenu_Friend07#0,"""設定顯示優先度"""
CharaMenu_Friend08#0,"""群組設定"""
CharaMenu_MyRoom01#0,"""從小屋内移除"""
CharaMenu_MyRoom02#0,"""移動到個人小屋"""
CharaMenu_Chara01#0,"""送出鼓勵"""
CharaMenu_Chara02#0,"""查看角色情報"""
CharaMenu_Chara03#0,"""査看裝扮情報"""
CharaMenu_Chara04#0,"""査看大家的穿搭"""
CharaMenu_Chara05#0,"""登録其他裝扮"""
CharaMenu_Apc01#0,"""從隊伍中除名"""
CharaMenu_Action01#0,"""模倣"""
CharaMenu_Action02#0,"""反應"""
ClickCharaName#0,"""選擇了$(0)。"""
CharaMenu_Error01#0,"""不可選擇自己的帳號。"""
CharaMenu_Message_Delete01#0,"""刪除訊息"""
CharaMenu_GuildRoom01#0,"""進入公會小屋"""
CharaMenu_GuildRoom02#0,"""退出公會小屋"""
