MySpaceCommonLabel_EditMode#0,"""編集モード"""
SendPlaySE#0,"""SEを再生する"""
SendCountOverValue#0,"""コネクトを指定回数以上受信する"""
SendReceiveChannel#0,"""送信条件1と2を受信する"""
SendByReceiveChannel#0,"""指定した時間の経過後に送信する"""
ReceiveChannel1#0,"""受信元のコネクトIDの指定1"""
ReceiveChannel2#0,"""受信元のコネクトIDの指定2"""
ResetReceiveChannel#0,"""受信内容をリセットする"""
CountToByReceiveChannel#0,"""カウント数を1増やす"""
CountResetByReceiveChannel#0,"""カウント数をリセットする"""
ActiveConnect#0,"""機能の使用/コネクトID"""
ActiveCollision#0,"""ビルドパーツの接触判定を有効にする"""
InactiveCollision#0,"""ビルドパーツの接触判定を無効にする"""
ActiveAccess#0,"""ビルドパーツのアクセス判定を有効にする"""
InactiveAccess#0,"""ビルドパーツのアクセス判定を無効にする"""
ActiveTransLock#0,"""コネクトの送受信を無効にする"""
InactiveTransLock#0,"""コネクトの送受信を有効にする"""
ActiveChannel#0,"""機能の使用/コネクトID"""
GraphicsAppear#0,"""ビルドパーツを表示する"""
GraphicsDisappear#0,"""ビルドパーツを非表示にする"""
MessageAppear#0,"""メッセージを表示する"""
DesplayCountBySpeechBubble#0,"""現在のカウント数を表示する"""
ConfigInit#0,"""基本設定"""
ConfigSend#0,"""コネクトの送信条件"""
ConfigRecieve#0,"""コネクト受信後の動作"""
LabelCapacityGauge#0,"""設置容量"""
DelayUntilSend#0,"""次のビルドパーツに送信するまでの時間"""
IncrementalTimerValueByReceiveChannel#0,"""コネクト受信時のタイマーの秒数増加"""
DecrementalTimerValueByReceiveChannel#0,"""コネクト受信時のタイマーの秒数減少"""
TimerValueSended#0,"""コネクトを送信する秒数"""
CountValueSended#0,"""次のビルドパーツに送信するまでのコネクト受信回数"""
StartCountUp#0,"""カウントアップを開始する"""
StopCountUp#0,"""カウントアップを停止する"""
IncrementTimer#0,"""タイマーの秒数を増やす"""
DecrementTimer#0,"""タイマーの秒数を減らす"""
ResetTimer#0,"""タイマーをリセットする"""
DesplayTimeBySpeechBubble#0,"""時間を表示する"""
StartCountDown#0,"""カウントダウンを開始する"""
StopCountDown#0,"""カウントダウンを停止する"""
SEPlayingByReceiveChannel#0,"""再生するSE"""
PlaySEByReceiveChannel#0,"""SEを再生する"""
DefaultTimer#0,"""タイマーの初期秒数"""
SwitchState#0,"""スイッチの初期状態"""
MySpaceObjectSE_000#0,"""再生しない"""
MySpaceObjectSE_001#0,"""正解"""
MySpaceObjectSE_002#0,"""ハズレ"""
MySpaceObjectSE_003#0,"""クエストクリア"""
MySpaceObjectSE_004#0,"""歓声"""
MySpaceObjectSE_005#0,"""拍手"""
MySpaceObjectSE_006#0,"""ブーイング"""
MessagePack_Cancel#0,"""他のプレイヤーによってビルドパーツが編集されたため、入力をキャンセルしました。"""
MessagePack_Title#0,"""メッセージ編集"""
MessagePack_Headline_Message#0,"""メッセージの設定"""
MessagePack_Headline_Balloon#0,"""フキダシの設定"""
MessagePack_Headline_Symbol#0,"""漫符の設定"""
MySpaceSettingForm_Title#0,"""ビルドパーツ設定"""
MessagePack_NGWord_Title#0,"""メッセージ"""
MessagePack_NGWord#0,"""メッセージに使用できないことばが含まれています。"""
MessagePack_Confirm_Title#0,"""入力内容の確認"""
MessagePack_Confirm#0,"""入力した内容を反映しますか？"""
PlayingCutin#0,"""再生するテキスト演出"""
SendPlayCutin#0,"""テキスト演出を再生する"""
PlayCutinReceiveChannel#0,"""テキスト演出を再生する"""
MySpaceObjectCutin_000#0,"""再生しない"""
MySpaceObjectCutin_001#0,"""GOAL!"""
MySpaceObjectCutin_002#0,"""CLEAR!"""
MySpaceObjectCutin_003#0,"""GAME OVER"""
MySpaceObjectCutin_004#0,"""SUCCESS!"""
MySpaceObjectCutin_005#0,"""FAILURE"""
MySpaceObjectCutin_006#0,"""START!"""
MySpaceObjectCutin_007#0,"""TIME UP!"""
MoveType#0,"""オブジェクトの移動"""
MoveType_01#0,"""移動しない"""
MoveType_02#0,"""左から右に移動する"""
MoveType_03#0,"""右から左に移動する"""
MoveType_04#0,"""下から上に移動する"""
MoveType_05#0,"""上から下に移動する"""
MoveTime#0,"""移動時に元の位置に戻るまでの時間"""
MoveRange#0,"""移動距離"""
SendTouchBomb#0,"""接触する"""
Teleporter_NotFound#0,"""同じ番号のテレポーターが見つかりません。"""
Teleporter_TimeOut#0,"""通信エラーにより転送されませんでした。"""
Turnon_ConnectRecieved#0,"""オンにする"""
Turnoff_ConnectRecieved#0,"""オフにする"""
MessagePack_Headline_Username#0,"""名前の設定"""
SpeedUp_Time#0,"""移動速度上昇の効果時間"""
ActionTypeSended#0,"""送信条件になるアクション"""
ActionType_01#0,"""設定しない"""
ActionType_02#0,"""ジャンプ"""
ActionType_03#0,"""攻撃"""
ActionType_04#0,"""ステップ"""
SendAction#0,"""アクションを行う"""
SendHatchOpen#0,"""開ける"""
SendHatchClose#0,"""閉める"""
OpenHatch#0,"""開ける"""
CloseHatch#0,"""閉める"""
SendByReceiveRandomChannel#0,"""指定したコネクトIDのいずれかに送信する"""
TeamSpace_IndependentError#0,"""現在入室中のスペースの所有チームに所属していないため、アクセスできません。"""
EditPermission_Assignment#0,"""編集権限が付与されました。"""
EditPermission_Deprivation#0,"""編集権限を失いました。"""
Guild_mag_level_up#0,"""チームマグが大きくなりました。"""
Guild_mag_level_down#0,"""チームマグが小さくなりました。"""
GPTree_GetPoint_Title#0,"""本日分の獲得GP"""
GPTree_GetPoint_Caption#0,"""本日分の獲得GP"""
GPTree_GetPoint#0,"""$(0)/$(1)"""
GPTree_GetPointMax#0,"""<yellow>$(0)/$(1)<c>"""
GPTree_Menu_Title#0,"""GPツリーメニュー"""
GPTree_Menu_SendGJ#0,"""グッジョブを送る"""
GPTree_Menu_Favorite#0,"""お気に入り登録"""
GPTree_Info_Title#0,"""GPツリー情報"""
GPTree_Info_Title_Caption#0,"""満開度"""
GPTree_Info_Advice#0,"""<yellow>本日分のジェネシスポイントは獲得済みです。<c>"""
GPTree_Info_Lv1#0,"""Rank.1"""
GPTree_Info_Lv2#0,"""Rank.2"""
GPTree_Info_Lv3#0,"""Rank.3"""
GPTree_Info_Lv4#0,"""Rank.4"""
GPTree_Info_Lv5#0,"""Rank.5"""
GPTree_Info_Lv6#0,"""Rank.MAX"""
GPTree_Error_Myself#0,"""この機能は、自分のクリエイティブスペースでは使用できません。"""
GPTree_Error_NoMenuOpen#0,"""現在、GPツリーにアクセスできません。"""
GPTree_Error_Common#0,"""現在、この機能は使用できません。"""
GPTree_Error_GJ#0,"""グッジョブを送れませんでした。"""
GPTree_Error_Favorite#0,"""すでに登録済みか、登録できないクリエイティブスペースです。"""
DefaultBlueprintName#0,"""設計図"""
SlotSelect#0,"""保存スロットの選択"""
SlotSelectSaveGuideText#0,"""設計図を保存するスロットを選択してください。"""
SlotSelectPublishGuideText#0,"""設計図を公開するスロットを選択してください。"""
RegionSelect#0,"""設計図の範囲指定"""
RegionView#0,"""範囲指定の確認"""
RegionSelectExitGuide#0,"""長押しで範囲指定を終了"""
RegionViewExitGuide#0,"""長押しで公開範囲の確認を終了"""
RegionSelectStartingPoint#0,"""起点"""
RegionSelectRight#0,"""右側の幅"""
RegionSelectLeft#0,"""左側の幅"""
RegionSelectHeight#0,"""高さ"""
RegionSelectDepth#0,"""奥行き"""
RegionSelectFraction#0,"""$(0)（最大選択数：$(1)）"""
RegionSelectCaption1#0,"""設計図の起点"""
RegionSelectCaption2#0,"""設計図の範囲"""
RegionSelect_FarAway#0,"""設計図端末から一定距離以上離れたため、自動転送されました。"""
LockFailed1#0,"""設計図の範囲内を、他のプレイヤーが編集中のため、<br>メニューを開けません。"""
LockFailed2#0,"""範囲内にビルドパーツがありません。<br>ビルドパーツのある場所を指定してください。"""
LockFailed3#0,"""範囲内のビルドパーツ数が、<br>設計図の上限を超えています。<br><br>範囲内のビルドパーツ数：$(0)個<br>設計図のビルドパーツ数上限：$(1)個"""
LockFailed4#0,"""以下のビルドパーツは、<br>設計図に含むことができません。<br><br>$(0)"""
LockFailed5#0,"""この設計図端末の指定範囲が、<br>他の設計図端末の公開範囲と重複しています。<br><br>いずれかの端末の<br>指定範囲を変更してください。"""
LockFailed6#0,"""別の設計図で再現された建物などは、<br>この設計図に含むことができません。"""
ConfirmEdit_Title#0,"""編集終了の確認"""
ConfirmEdit#0,"""保存または公開をせずに終了した場合、<br>編集内容が破棄されます。<br>よろしいですか？"""
LockFailedConfirm_Title#0,"""編集内容の確認"""
LockFailedConfirm1#0,"""設計図の範囲内を、他のプレイヤーが編集中のため、<br>設定を適用できません。<br><br>編集内容を破棄して、<br>編集メニューに戻ってもよろしいですか？"""
LockFailedConfirm2#0,"""範囲内にビルドパーツがないため、<br>設定を適用できません。<br><br>編集内容を破棄して、<br>編集メニューに戻ってもよろしいですか？"""
LockFailedConfirm3#0,"""範囲内のビルドパーツ数が、<br>設計図の上限を超えているため、<br>設定を適用できません。<br><br>範囲内のビルドパーツ数：$(0)個<br>設計図のビルドパーツ数上限：$(1)個<br><br>編集内容を破棄して、<br>編集メニューに戻ってもよろしいですか？"""
LockFailedConfirm4#0,"""設計図に含むことができない<br>ビルドパーツが含まれているため、<br>設定を適用できません。<br><br>$(0)<br><br>編集内容を破棄して、<br>編集メニューに戻ってもよろしいですか？"""
LockFailedConfirm5#0,"""他の設計図端末と指定範囲が重複しているため、<br>設定を適用できません。<br><br>編集内容を破棄して、<br>編集メニューに戻ってもよろしいですか？"""
LockFailedConfirm6#0,"""別の設計図で再現された構築物と指定範囲が<br>重複しているため、設定を適用できません。<br><br>編集内容を破棄して、<br>編集メニューに戻ってもよろしいですか？"""
DownloadFailed_Title#0,"""メッセージ"""
DownloadFailed#0,"""設計図がダウンロードできませんでした。"""
ConfirmDelete_Title#0,"""設計図削除の確認"""
ConfirmDelete1#0,"""この設計図を削除します。<br>よろしいですか？<br><br>削除すると、前の設計図の公開が中止されます。<br><br><yellow>※公開を中止すると、<br>\u3000“注目の設計図”の集計はリセットされます。<c>"""
ConfirmDelete2#0,"""この設計図を削除します。<br>よろしいですか？"""
ConfirmDelete3#0,"""この設計図を削除します。<br>よろしいですか？"""
NoticeLoseConnect#0,"""設計図の編集と保存、公開ができます。<br><yellow>※コネクトの設定は設計図に含まれません。<c>"""
ConfirmOverwrite_Title#0,"""上書き保存確認"""
ConfirmOverwrite1#0,"""設計図を上書き保存します。<br>よろしいですか？<br><br>上書き保存すると、前の設計図の公開が停止されます。<br><br><yellow>※公開を中止すると、<br>\u3000“注目の設計図”の集計はリセットされます。<c>"""
ConfirmOverwrite2#0,"""設計図を上書き保存します。<br>よろしいですか？"""
ConfirmOverwrite3#0,"""設計図を上書き保存します。<br>よろしいですか？"""
ConfirmPublish_Title#0,"""設計図公開の確認"""
ConfirmPublish#0,"""設計図を公開すると、<br>他のプレイヤーが設計図端末から、<br>その設計図をダウンロードできるようになります。<br><br>また、公開中は以下の編集ができなくなります。<br>・設計図の範囲内でのビルドパーツ編集<br>・設計図情報および設計図の範囲設定の編集<br><br>公開してもよろしいですか？"""
ConfirmUnpublish_Title#0,"""設計図公開停止の確認"""
ConfirmUnpublish#0,"""この設計図の公開を停止しますか？<br><br><yellow>※公開を停止すると、<br>\u3000“注目の設計図”の集計はリセットされます。<c>"""
ConfirmDownload_Title#0,"""上書き保存確認"""
ConfirmDownload1#0,"""この設計図には、<br>所持していないビルドパーツが含まれます。<br>保存してもよろしいですか？"""
ConfirmDownload2#0,"""設計図を上書き保存します。<br>よろしいですか？<br><br>上書き保存すると、前の設計図の公開が停止されます。<br><br><yellow>※公開を停止すると、<br>\u3000“注目の設計図”の集計はリセットされます。<c>"""
ConfirmDownload3#0,"""設計図を上書き保存します。<br>よろしいですか？"""
ConfirmDownload4#0,"""設計図を上書き保存します。<br>よろしいですか？"""
SavedMessage_Text#0,"""メッセージ"""
SavedMessage#0,"""設計図を保存しました。"""
PublishedMessage_Text#0,"""メッセージ"""
PublishedMessage#0,"""設計図を公開しました。"""
PermissonChange_Title#0,"""メッセージ"""
PermissonChange_Text#0,"""クリエイティブスペースの公開情報が、<br>非公開になっています。<br>入室設定を“誰でも可能”に変更しますか？<br><br><yellow>※“Ｃスペースメニュー”の“公開情報の設定”で、<br>\u3000より細かく入室設定ができます。<c>"""
PermissonChangeFix_Text#0,"""入室設定を変更しました。"""
UnpublishedMessage_Text#0,"""メッセージ"""
UnpublishedMessage#0,"""設計図の公開を停止しました。"""
NoBlueprint_Text#0,"""設計図"""
NoBlueprint#0,"""設計図が公開されていません。<br><br>設計図の登録、編集は、スペースオーナーのみができます。"""
DownloadedMessage_Text#0,"""メッセージ"""
DownloadedMessage#0,"""設計図をダウンロードしました。"""
EditFormTitle#0,"""設計図の編集"""
DownloadFormTitle#0,"""設計図のダウンロード"""
BlueprintInfo_Edit#0,"""設計図情報の編集"""
SaveButtonText#0,"""保存"""
PublishButtonText#0,"""公開"""
DownloadButtonText#0,"""設計図をダウンロード"""
UnpublishGuideText#0,"""設計図が公開されています。<br>編集するには、公開を停止してください。"""
UnpublishButtonText#0,"""公開を停止"""
MySpace_Notice_NoReplaceBlueprintEditing#0,"""設計図の範囲内のため編集できません。"""
MySpace_Notice_NoReplaceBlueprintPublic#0,"""設計図の範囲内のため編集できません。"""
MySpace_Notice_NoEditBlueprintEditing#0,"""設計図の範囲内のため編集できません。"""
MySpace_Notice_NoEditBlueprintPublic#0,"""設計図の範囲内のため編集できません。"""
Guide_Brueprint_RangeSet#0,"""移動：<swguidetype ActionLStick>\u3000\u3000ジャンプ：<%Jump>\u3000\u3000ズームアウト：<%Function>\u3000\u3000ズームイン：<%NextWidget>\u3000\u3000範囲の表示切り替え：<%TabForward>\u3000\u3000範囲指定を終了：<swguidetype BluePrintEscMenu>"""
Guide_Brueprint_RangeView#0,"""移動：<swguidetype ActionLStick>\u3000\u3000ジャンプ：<%Jump>\u3000\u3000ズームアウト：<%Function>\u3000\u3000ズームイン：<%NextWidget>\u3000\u3000範囲の表示切り替え：<%TabForward>\u3000\u3000公開範囲の確認を終了：<swguidetype BluePrintEscMenu>"""
Guide_Brueprint_Save#0,"""決定：<%Decide>\u3000\u3000削除：<%Exception>\u3000\u3000キャンセル：<%Cancel>\u3000\u3000操作項目の移動：<%NextWidget>\u3000\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
MySpaceBlueprintError_InvalidSlotNumber#0,"""設計図が保存されていません。"""
MySpaceBlueprintError_ObjectListEmpty#0,"""ビルドパーツの読み込み中に問題が発生しました。"""
MySpaceBlueprintError_BlueprintIsPSOnly#0,"""この設計図は、現在のクリエイティブスペースの設定により利用できません。"""
MySpaceBlueprintError_BlueprintIsBan_Title#0,"""メッセージ"""
MySpaceBlueprintError_BlueprintIsBan#0,"""この設計図は、現在使用が停止されています。"""
MySpaceBlueprintError_DisableBlueprint_Title#0,"""メッセージ"""
MySpaceBlueprintError_DisableBlueprint#0,"""この設計図は、現在使用が停止されています。<br>設計図を削除しますか？"""
MySpaceBlueprintError_ErrorOther#0,"""この設計図を利用する際に、問題が発生しました。"""
MySpaceBlueprintError_PartsNumberOver#0,"""設置制限数を超えるため、これ以上は設置できません。"""
MagMenuTitle#0,"""チームマグ"""
MagMenu_Item_Boost#0,"""チームマグブーストを受ける<pict 4space><pict myspace_point>"""
MagMenu_Item_Energy#0,"""チームマグブーストのレベルアップ<pict 4space><pict reb_team>"""
MagMenu_Item_Appearance#0,"""チームマグのフォルム変更<pict 4space><pict reb_team>"""
MagMenu_SupEnergy_Title#0,"""チームマグブースト"""
MagMenu_SupEnergy_Info#0,"""支援レベルは毎朝$(1)時にレベルが1段階下がります。<br>（最低支援レベル1）<br><br>効果を選択し、ジェネシスポイントを効果一つにつき<br>$(0)ptを消費することでプレイヤーを強化できます。"""
MagMenu_buff_LV#0,"""ブースト$(0)"""
MagMenu_buff_info#0,"""ブースト効果"""
MagMenu_Reward_Title#0,"""ブースト付与報酬"""
MagMenu_Reward_Info_Saving#0,"""いずれかのプレイヤーがブースト効果を受けると<br>ゲージが増え、最大時に報酬が受け取れます。"""
MagMenu_Reward_Info_Received#0,"""報酬は受け取り済みです。<br>次回更新まで：あと$(0)"""
MagMenu_Reward_Info_Stop#0,"""チームに加入した週は、<br>報酬を受け取れません。"""
MagMenu_Reward_Info_Joining#0,"""報酬は受け取り済みです。<br>次回更新まで：あと$(0)"""
MagMenu_Reward_to#0,"""報酬獲得まであと："""
MagMenu_UnusedBoost#0,"""無し"""
MagMenu_PossessInfo_Title#0,"""所持ポイント"""
MagMenu_PossessInfo_GeneratePoint#0,"""ジェネシスポイント"""
MagMenu_Boost_Title#0,"""チームマグブーストの選択"""
MagMenu_Boost_Info#0,"""受けたいチームマグブーストを選んでください。<br>効果ごとに$(0)ptを消費します。"""
MagMenu_UseGeneratePoint_Title#0,"""メッセージ"""
MagMenu_UseGeneratePoint_Info#0,"""$(1)GPを消費して、<br>チームマグブーストの効果を受けます。<br>よろしいですか？<br><br>（所持GP：$(0)）<br><br><yellow>※発生中の同じ効果のブーストは上書きされます。<c>"""
MagMenu_Mag_Title#0,"""チームマグブーストのレベルアップ"""
MagMenu_Give_Title#0,"""レベルの決定"""
MagMenu_Give_Info#0,"""N-チームポイントを消費して、<br>チームマグブーストのレベルを上げます。"""
MagMenu_Give_LV#0,"""ブーストLv."""
MagMenu_Give_Buff#0,"""ブースト効果"""
MagMenu_NTeamPoint#0,"""N-チームポイント"""
MagMenu_Give_TeamPoint#0,"""必要N-チームポイント"""
MagMenu_Give_Confirm#0,"""N-チームポイントを$(2)ポイント消費し、<br>ブースト効果を$(1)に強化します。<br>よろしいですか？<br><br>（所持N-チームポイント：$(0)）"""
MagMenu_Appearance_Title#0,"""チームマグのフォルム変更"""
MagMenu_Appearance_SubTitle_L#0,"""マグフォルム"""
MagMenu_Appearance_SubTitle_R#0,"""必要N-チームポイント"""
MagMenu_Appearance_Preview_Title#0,"""変更後のフォルム"""
MagMenu_Appearance_Confirm#0,"""マグの見た目を$(1)<pict 4space><pict reb_team>TPで変更します。<br>よろしいですか？<br><br>（所持N-チームポイント：$(0)<pict 4space><pict reb_team>TP）<br><br><yellow>※変更するたびに、N-チームポイントを消費します。<c>"""
MagMenu_Message_Loading#0,"""読み込み中…"""
MagMenu_Message_Busy#0,"""通信中…"""
MagMenu_Success_Boost#0,"""チームマグブーストの効果が発生しました。"""
MagMenu_Success_Give#0,"""チームマグブーストがレベルアップしました。"""
MagMenu_Success_Appearance#0,"""チームマグのフォルムを変更しました。"""
MagMenu_Success_Reward#0,"""ブースト付与報酬を入手しました。"""
MagMenu_Failed_Reward#0,"""ブースト付与報酬を受け取れませんでした。"""
MagMenu_Error_Generic#0,"""チームマグの処理に失敗しました。"""
MagMenu_Error_Generic_Error#0,"""エラーが発生したため、実行できませんでした。"""
MagMenu_Error_Generic_Authority#0,"""権限がないため、利用できません。"""
MagMenu_Error_Boost#0,"""チームマグブーストを受けられませんでした。"""
MagMenu_Error_UseGeneratePoint#0,"""ジェネシスポイントが足りないため、実行できません。"""
MagMenu_Error_Diff#0,"""チームマグブーストのレベルが変更されたため、キャンセルしました。"""
MagMenu_Error_Appearance#0,"""チームマグのフォルムを変更できませんでした。"""
MagMenu_Error_Appearance_TP#0,"""N-チームポイントが足りないため、変更できません。"""
MagMenu_Error_Appearance_Equal#0,"""現在設定中のフォルムです。"""
MagMenu_Error_Appearance_Simultaneous#0,"""他のプレイヤーによってチームマグのフォルムが変更されたため、キャンセルしました。"""
MagMenu_Error_Give#0,"""チームマグブーストのレベルアップに失敗しました。"""
MagMenu_Error_Give_Full#0,"""レベルが最大のため、これ以上レベルアップできません。"""
MagMenu_Error_Give_Diff#0,"""他のプレイヤーによってチームマグブーストのレベルが変更されたため、キャンセルしました。"""
0000#0,"""チームマグ"""
0001#0,"""チームマグCV"""
0002#0,"""チームマグCV2"""
0003#0,"""チームマグCV3"""
0004#0,"""チームマグUC"""
0005#0,"""チームマグUC2"""
0006#0,"""チームマグUC3"""
