CorrectionAssignMapTitle#0,"""操作設定の修復"""
CtrlPadBehaviorConfirmApplyTitle#0,"""設定の反映"""
CtrlPadBehaviorConfirmInitMessage#0,"""設定を初期化します。"""
CtrlPadBehaviorConfirmApplyMessage#0,"""設定を反映します。"""
CtrlPadBehaviorHelpSetting#0,"""ゲームパッドのスティック、トリガーの認識、<br>各ボタンの割り当て設定を順に行います。"""
CtrlPadBehaviorHelpInitialize#0,"""ゲームパッドごとに用意された推奨設定に<br>自動で変更します。"""
CtrlPadBehaviorHelpInitializeDisable#0,"""このパッドは自動設定に対応していません。"""
CtrlPadBehaviorHelpTrigger#0,"""トリガーの動作設定を行います。"""
CtrlPadBehaviorButtonDefTitle#0,"""ボタン表示設定"""
CtrlPadBehaviorButtonDefMessage2#0,"""最後に、ゲーム内で表示するボタンのマークが<br>ご利用中のゲームパッドの、どのボタンなのかを設定します。<br><br>リストの上から順に「変更」を押して、<br><c ff007f>「ボタン表示」<c>に合うゲームパッドのボタンを押してください。"""
CtrlPadBehaviorButtonDefCaptionDef#0,"""<c ff007f>ボタン表示<c>"""
CtrlPadBehaviorButtonDefCaptionAssign#0,"""実際のボタン割り当て"""
CtrlPadBehaviorButtonDefApply#0,"""反映して戻る"""
CtrlPadBehaviorButtonDefDisapply#0,"""破棄して戻る"""
CtrlPadBehaviorButtonDefMessage#0,"""$(0)として使用するボタンを入力してください。"""
CtrlPadBehaviorButtonDefDisable#0,"""<gray>設定不要(アナログ)<c>"""
CtrlPadCtrlTitle#0,"""ゲームパッド操作設定"""
CtrlPadInitToast#0,"""ゲームパッドの自動設定を行いました。ゲームパッド初期設定で手動設定も可能です。"""
RadioButtonEnable#0,"""使用する"""
RadioButtonDisable#0,"""使用しない"""
RadioButtonShow#0,"""表示する"""
RadioButtonHide#0,"""表示しない"""
RadioButtonAllow#0,"""送る"""
RadioButtonDisallow#0,"""送らない"""
RadioButtonCtrlNormal#0,"""ノーマル"""
RadioButtonCtrlCustom#0,"""カスタム（<pict Sign_TRIANGLE>カスタム設定変更）"""
RadioButtonCtrlType1#0,"""タイプ1"""
RadioButtonCtrlType2#0,"""タイプ2"""
RadioButtonCtrlType3#0,"""タイプ3"""
RadioButtonSave#0,"""保存する"""
RadioButtonNotSave#0,"""保存しない"""
RadioButtonButtonResetOn#0,"""表示する"""
RadioButtonButtonResetOff#0,"""表示しない"""
Number0#0,"""0"""
Number50#0,"""50"""
Number100#0,"""100"""
VITA_CustomWindow#0,"""<pict Sign_TRIANGLE>カスタム設定変更"""
VITA_CustomTitle#0,"""カスタム設定"""
VITA_PushButton#0,"""ボタン入力"""
VITA_CustomToast1#0,"""カスタム設定が変更されました。各操作タイプを「カスタム」にすることで有効になります。"""
VITA_CustomToast2#0,"""重要な操作が未設定になっています。"""
VITA_AutoRun#0,"""オートラン/サブパレット切替左"""
VITA_ChangeView#0,"""視点切替/サブパレット切替右"""
VITA_CustomInfo#0,"""カスタム設定はボタン以外にも<br>背面タッチパッドの左上<pict Sign_BACK_L>と右上<pict Sign_BACK_R>を設定できます。<br><br>変更したい項目名を選んでから、ボタンまたは<br>背面タッチパッドを押して、設定を変更してください。"""
DrawFilterText#0,"""画面フィルター<pict Arcscash>"""
DrawFilterUsually#0,"""通常"""
DrawFilterGrayScale#0,"""モノクロ"""
DrawFilterSepia#0,"""セピア"""
DrawFilterFading#0,"""ビンテージ"""
DrawFilter8bit#0,"""ドット"""
DrawFilter#0,"""画面に適用するフィルターを選択してください。"""
DrawFilterMessageText#0,"""「プレミアムセット」の有効期間中のみご利用いただけます。<br><yellow>ゲームランチャーの環境設定「描画/シェーダー品質」が<br>「高品質」の時のみ適用されます。<c><br>画面フィルターを以下から選択してください。"""
xx_DrawFilterMessageText#0,"""「プレミアムセット」の有効期間中のみご利用いただけます。<br>画面フィルターを以下から選択してください。"""
cc_DrawFilterMessageText#0,"""「プレミアムセット」の有効期間中のみご利用いただけます。<br>画面フィルターを以下から選択してください。"""
DrawFilterMessagePremiumOn#0,"""<yellow>プレミアム有効期間中<c>"""
DrawFilterMessagePremiumOff#0,"""<red>プレミアム有効期限切れ<c>"""
DetailPolluteOthers#0,"""-"""
AuraSlider_Text_0#0,"""透明度"""
AuraSlider_Text_1#0,"""-"""
CtrlFuncNameOpenTotalScoreBoost#0,"""クエスト連動ブースト"""
CtrlFuncNameStartChatGroup#0,"""グループチャット起動"""
Title_DetailInfo#0,"""詳細情報"""
FloatTextItemVita#0,"""ドロップアイテムの取得表示"""
Config_Padinput01#0,"""ゲームパッドの入力形式"""
Config_Padinput02#0,"""<%GamePad>の振動"""
Config_Padinput03#0,"""非アクティブ時のゲームパッド操作"""
Config_Padinput01_Select01#0,"""DirectInput"""
Config_Padinput01_Select02#0,"""XInput"""
Config_Padinput02_Select01#0,"""振動する"""
Config_Padinput02_Select02#0,"""振動しない"""
Config_Padinput03_Select01#0,"""操作する"""
Config_Padinput03_Select02#0,"""操作しない"""
Config_PadInput04#0,"""ゲームパッドの入力形式選択"""
Config_PadInput05#0,"""ゲームパッドのタイプに合わせて入力形式を選択します。<br><yellow>※“XInput”に変更して、正常に動作しなくなった場合は、<br>\u3000キーボードやマウスで“DirectInput”に戻してください。<c>"""
Config_PadInput06#0,"""<%GamePad>の振動設定"""
Config_PadInput07#0,"""“XInput”選択時にのみ、振動機能が設定できます。<br>※<%GamePad>によっては、振動しない場合があります。"""
Config_PadInput07_PS4#0,"""<yellow>※コントローラーによっては、振動しない場合があります。<c>"""
Config_PadInput07_pad#0,"""“XInput”選択時にのみ、振動機能が設定できます。<br><yellow>※ゲームパッドによっては、振動しない場合があります。<c>"""
Config_PadInput07_con#0,"""“XInput”選択時にのみ、振動機能が設定できます。<br><yellow>※コントローラーによっては、振動しない場合があります。<c>"""
Config_PadInput12#0,"""非アクティブ時のゲームパッド操作設定"""
Config_PadInput13#0,"""ゲーム画面がアクティブになっていない時に、<br>ゲームパッドの入力を受け付けるかを設定します。"""
Config_PadInput17#0,"""ゲームパッドの初期設定"""
Config_PadInput18#0,"""“DirectInput”選択時にのみ、初期設定（キャリブレーション）が行えます。"""
SubCategory_ToonTitle#0,"""キャラクターのトゥーン表示設定"""
SubCategory_ToonDetail#0,"""キャラクターやコスチュームなどの表示を、<br>トゥーン（アニメ）調で描写するかを設定します。<br><br>この設定は、作成済みの<yellow>すべてのキャラクター<c>に<br>反映されます。<br><br><yellow>※『NGS』ブロックでのみ、表示が適用されます。<br><br>※後から各キャラクターごとに、<br>\u3000“エステ”や“オプション”で<br>\u3000設定の変更や調整ができます。<c>"""
SubCategory_ToonDetail2#0,"""キャラクターやコスチュームなどの表示を、<br>トゥーン（アニメ）調で描写するかを設定します。<br><br><yellow>※『NGS』ブロックでのみ、表示が適用されます。<br><br>※後からエステ”や“オプション”で<br>\u3000設定の変更や調整ができます。<c>"""
SubCategory_ToonSelect1#0,"""トゥーン調にする"""
SubCategory_ToonSelect2#0,"""変更しない"""
Subject_000#0,"""アクション機能設定"""
Subject_001#0,"""HUD設定"""
Subject_002#0,"""メニュー設定"""
Subject_003#0,"""ドロップアイテム自動取得機能"""
Subject_004#0,"""その他の設定"""
Subject_005#0,"""カメラ設定"""
Subject_006#0,"""カメラ左右回転速度"""
Subject_007#0,"""カメラ上下回転速度"""
Subject_008#0,"""与ダメージ表示"""
Subject_009#0,"""回復／被ダメージ表示"""
Subject_010#0,"""EXPなどの表示"""
Subject_011#0,"""ドロップアイテムの取得表示"""
Subject_012#0,"""確認通知"""
Subject_013#0,"""メッセージ通知"""
Subject_014#0,"""その他の通知"""
Subject_015#0,"""会話設定"""
Subject_016#0,"""他者のオートワード表示設定"""
Subject_017#0,"""ログウィンドウの「すべて表示」に表示するチャンネル"""
Subject_018#0,"""スクリーンショット設定"""
Subject_019#0,"""エステ設定"""
Subject_020#0,"""ライドロイド設定"""
Subject_021#0,"""ダークブラスト設定"""
Subject_022#0,"""BGM音量"""
Subject_023#0,"""SE音量"""
Subject_024#0,"""ボイス音量"""
Subject_025#0,"""ゲーム内再生動画音量"""
Subject_026#0,"""再生機能"""
Subject_027#0,"""描画機能"""
Subject_028#0,"""詳細に描写するキャラクター表示数"""
Subject_029#0,"""フォトンブラスト表示数"""
Subject_030#0,"""映り込み品質"""
Subject_031#0,"""影品質"""
Subject_032#0,"""画面の明るさ"""
Subject_033#0,"""カメラライト"""
Subject_034#0,"""マウス使用時補正"""
Subject_035#0,"""ボイスチャット機能ON/OFF"""
Subject_036#0,"""ウィッシュリスト、プレゼントリスト"""
Config_000_Name#0,"""ロックオンの切り替え"""
Config_000_Choices_0#0,"""ワンプッシュ"""
Config_000_Choices_1#0,"""ホールド"""
Config_000_Hint#0,"""ロックオン操作で、<br>ボタンやキーを押すたびに<br>ロックオンのON/OFFを切り替えるか、<br>押している間のみロックオンするかを選択します。"""
Config_001_Name#0,"""<%RStick>によるロックオン対象の切り替え"""
Config_001_Choices_0#0,"""使用する"""
Config_001_Choices_1#0,"""使用しない"""
Config_001_Hint#0,"""ロックオン中に、<br><%RStick>で対象を切り替える機能を<br>使用するかを設定します。"""
Config_002_Name#0,"""裏パレットの切り替え"""
Config_002_Hint#0,"""裏パレットの切り替え操作で、<br>ボタンやキーを押すたびに切り替えるか、<br>押している間のみ切り替えるかを選択します。"""
Config_003_Name#0,"""回避操作の移動キー２回押し間隔"""
Config_003_Choices_0#0,"""長間隔"""
Config_003_Choices_1#0,"""中間隔"""
Config_003_Choices_2#0,"""短間隔"""
Config_003_Choices_3#0,"""２回押し無効"""
Config_003_Hint#0,"""キーボードのキャラクター移動キー<br>（初期設定で[W]/[A]/[S]/[D]キー）を<br>２回押しして、“回避アクション”をする時の<br>入力受け付け間隔を設定します。"""
Config_004_Name#0,"""レーダーマップの回転"""
Config_004_Choices_0#0,"""回転しない"""
Config_004_Choices_1#0,"""回転する"""
Config_004_Hint#0,"""レーダーマップを、カメラの向きに合わせて<br>回転させるかを設定します。"""
Config_005_Name#0,"""Eトライアル発生時のマップ切り替え"""
Config_005_Choices_0#0,"""広域表示に切り替え"""
Config_005_Choices_1#0,"""切り替えをしない"""
Config_005_Hint#0,"""レーダーマップを拡大表示している時に<br>Ｅトライアルが発生した際、<br>自動で一時的にレーダーマップを広域表示に<br>切り替えるかを設定します。"""
Config_006_Name#0,"""選択中のサブパレット内容"""
Config_006_Choices_0#0,"""表示しない"""
Config_006_Choices_1#0,"""切り替え時のみ表示する"""
Config_006_Choices_2#0,"""常に表示する"""
Config_006_Hint#0,"""選択中のサブパレット内容の表示方法を設定します。"""
Config_007_Name#0,"""ペットのパラメーター情報"""
Config_007_Choices_0#0,"""表示する"""
Config_007_Choices_1#0,"""表示しない"""
Config_007_Hint#0,"""ペットのHPバーと状態を表すアイコンを<br>表示させるか設定します。"""
Config_008_Name#0,"""他パーティーのキャラクター名表示色"""
Config_008_Choices_0#0,"""白"""
Config_008_Choices_1#0,"""青"""
Config_008_Hint#0,"""他パーティーのキャラクター名を、<br>何色で表示するかを設定します。"""
Config_009_Name#0,"""攻撃属性によるHPバーのカラー"""
Config_009_Choices_0#0,"""攻撃属性に依存しない"""
Config_009_Choices_1#0,"""攻撃属性に依存する"""
Config_009_Hint#0,"""ダメージを受けた際に表示されるHPバーの色を<br>攻撃属性（打撃、射撃、法撃）に依存した色で<br>表示するかしないか設定します。"""
Config_010_Name#0,"""復帰プレイヤーアイコン"""
Config_010_Hint#0,"""復帰プレイヤーアイコンを<br>表示するかしないかを設定します。<br>※アイコンを表示しなくても<br>\u3000\u3000各ボーナスは受けられます。"""
Config_011_Name#0,"""倉庫の初期カーソル位置"""
Config_011_Choices_0#0,"""すべての倉庫"""
Config_011_Choices_1#0,"""基本倉庫"""
Config_011_Choices_2#0,"""キャラ倉庫"""
Config_011_Choices_3#0,"""プレミアム倉庫"""
Config_011_Choices_4#0,"""ＯＴＰ倉庫"""
Config_011_Choices_5#0,"""PSO2es倉庫"""
Config_011_Hint#0,"""倉庫端末やマイショップ出品時<br>NPCショップでのアイテム売買において<br>倉庫UIが表示された時の<br>初期カーソル位置を設定します。"""
Config_012_Name#0,"""簡易ギャザリング情報"""
Config_012_Hint#0,"""メインメニューを表示する時に<br>簡易ギャザリング情報を<br>表示するかしないか設定をします。"""
Config_013_Name#0,"""キャラクターメニューの表示形式"""
Config_013_Choices_0#0,"""カテゴリー"""
Config_013_Choices_1#0,"""一覧"""
Config_013_Hint#0,"""周囲のキャラクターを選択した時などに表示される<br>キャラクターメニューの形式を設定します。"""
Config_014_Name#0,"""クエストカウンターの表示形式"""
Config_014_Hint#0,"""クエストカウンターの表示形式を設定します。"""
Config_015_Name#0,"""パーティー情報入力メニューの表示形式"""
Config_015_Choices_0#0,"""詳細形式"""
Config_015_Choices_1#0,"""通常形式"""
Config_015_Hint#0,"""パーティー情報入力メニューの<br>表示形式を設定します。"""
Config_016_Name#0,"""パーティー設定の保存"""
Config_016_Choices_0#0,"""保存する"""
Config_016_Choices_1#0,"""保存しない"""
Config_016_Hint#0,"""パーティー設定を一時的に保存し、<br>ブロック移動やログアウトを行っても<br>設定を維持するかを設定します。<br><br><yellow>※保存されたパーティー設定は<br>\u3000ゲームを終了するまで有効です。<c><br><br><yellow>※“保存しない”を選択した場合でも、<br>\u3000パスワードの設定はログアウトするまで有効です。<c>"""
Config_017_Name#0,"""クエスト受注時のパーティー名"""
Config_017_Choices_0#0,"""クエスト名"""
Config_017_Choices_1#0,"""キャラクター名"""
Config_017_Hint#0,"""パーティー名を入力せずにクエストを受注した時に<br>自動的につけられるパーティー名を選択します。 <br><br>【クエスト名】<br>受注したクエスト名を表示します。<br><br>【キャラクター名】<br>受注したキャラクター名を表示します。"""
Config_018_Name#0,"""クエスト受注時の初期カーソル位置"""
Config_018_Choices_0#0,"""複数のブロックを検索"""
Config_018_Choices_1#0,"""現在のブロックで受注"""
Config_018_Hint#0,"""複数ブロックマッチング可能なクエストの受注時<br>カーソル位置をどちらのボタンにするか設定します。<br><br>※一部クエストを除きます。"""
Config_019_Name#0,"""メセタの自動拾い"""
Config_019_Choices_0#0,"""使用しない"""
Config_019_Choices_1#0,"""使用する"""
Config_019_Hint#0,"""メセタを自動で拾う機能を<br>使用するかしないか設定します。"""
Config_020_Name#0,"""武器の即時取得"""
Config_020_Choices_0#0,"""使用しない"""
Config_020_Choices_1#0,"""★13以上で使用"""
Config_020_Hint#0,"""レアリティの高い武器がドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
Config_021_Name#0,"""ユニットの即時取得"""
Config_021_Choices_0#0,"""使用しない"""
Config_021_Choices_1#0,"""★12以上で使用"""
Config_021_Hint#0,"""レアリティの高いユニットがドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
Config_022_Name#0,"""素材アイテムの即時取得"""
Config_022_Hint#0,"""『オーダーアイテム／素材』カテゴリーの<br>アイテムがドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
Config_023_Name#0,"""その他のアイテムの即時取得"""
Config_023_Hint#0,"""武器、ユニット、素材以外のアイテムを対象として<br>レアリティの高いアイテムがドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
Config_024_Name#0,"""レアアイテムのドロップ演出表示"""
Config_024_Choices_0#0,"""★7以上"""
Config_024_Choices_1#0,"""★10以上"""
Config_024_Choices_2#0,"""★13以上"""
Config_024_Hint#0,"""レアアイテムがドロップした際に表示される演出を<br>どのレアリティから表示するか設定します。"""
Config_025_Name#0,"""イベント注目機能"""
Config_025_Hint#0,"""イベント発生時にアクセスボタンをホールドして<br>イベント注目をする機能を使用するか設定します。"""
Config_026_Name#0,"""ゲーム内モニターの動画再生"""
Config_026_Choices_0#0,"""再生する"""
Config_026_Choices_1#0,"""再生しない"""
Config_026_Hint#0,"""シティなどに設置されたモニターで<br>動画を再生するかを設定します。"""
Config_027_Name#0,"""ビギナーブロック優先ログイン"""
Config_027_Choices_0#0,"""優先する"""
Config_027_Choices_1#0,"""優先しない"""
Config_027_Hint#0,"""レベル20以下のキャラクターでログインする時、<br>優先的にビギナーブロックへ入るか選択します。"""
Config_028_Name#0,"""フォトンブラスト表示数"""
Config_028_Choices_0_VITA#0,"""全員分を表示"""
Config_028_Choices_1_VITA#0,"""自分の分だけを表示"""
Config_028_Hint_VITA#0,"""他プレイヤーのフォトンブラストを<br>表示するか設定します。"""
Config_029_Name#0,"""マウスによるカメラ操作"""
Config_029_Choices_0#0,"""カメラ操作を優先"""
Config_029_Choices_1#0,"""カーソル操作を優先"""
Config_029_Hint#0,"""マウスを操作した時にカメラ操作を優先するか、<br>マウスカーソル操作を優先するかを設定します。"""
Config_030_Name#0,"""カメラ左右回転方向"""
Config_030_Choices_0#0,"""標準"""
Config_030_Choices_1#0,"""反転"""
Config_030_Hint#0,"""カメラの左右回転方向を設定します。"""
Config_031_Name#0,"""カメラ上下回転方向"""
Config_031_Hint#0,"""カメラの上下回転方向を設定します。"""
Config_032_Hint#0,"""カメラの左右回転の速さを設定します。"""
Config_033_Hint#0,"""カメラの上下回転の速さを設定します。"""
Config_034_Name#0,"""マウスによるカメラ操作"""
Config_035_Name#0,"""カメラ左右回転方向"""
Config_036_Name#0,"""カメラ上下回転方向"""
Config_039_Name#0,"""プレイヤーキャラクター"""
Config_039_Choices_0#0,"""大（標準）"""
Config_039_Choices_1#0,"""中"""
Config_039_Choices_2#0,"""小"""
Config_039_Choices_3#0,"""表示しない"""
Config_039_Hint#0,"""ダメージを与えた時に表示される<br>演出のサイズを設定します。"""
Config_040_Name#0,"""パーティーメンバー"""
Config_041_Name#0,"""その他のキャラクター"""
Config_042_Name#0,"""プレイヤーキャラクター"""
Config_042_Hint#0,"""回復効果やダメージを受けた時に表示される<br>演出のサイズを設定します。"""
Config_043_Name#0,"""パーティーメンバー"""
Config_044_Name#0,"""その他のキャラクター"""
Config_045_Name#0,"""EXP／その他"""
Config_045_Hint#0,"""EXPを獲得した時などに表示される<br>演出のサイズを設定します。"""
Config_046_Name#0,"""アイテムの取得"""
Config_046_Choices_0#0,"""キャラクター横に表示"""
Config_046_Choices_1#0,"""アイテムの位置に表示"""
Config_046_Choices_2#0,"""表示しない"""
Config_046_Hint#0,"""アイテムを取得した時に表示される<br>演出の表示位置を設定します。"""
Config_047_Name#0,"""パーティーの招待通知"""
Config_047_Hint#0,"""パーティーに招待された時に、<br>新着通知のウィンドウを表示するかを設定します。"""
Config_048_Name#0,"""フレンド登録の通知"""
Config_048_Hint#0,"""フレンド登録を申し込まれた時に、<br>新着通知のウィンドウを表示するかを設定します。"""
Config_049_Name#0,"""チームスカウトの通知"""
Config_049_Hint#0,"""チームにスカウトされた時に、<br>新着通知のウィンドウを表示するかを設定します。"""
Config_050_Name#0,"""グループチャット招待"""
Config_050_Hint#0,"""グループチャットに招待された時、<br>参加選択ウィンドウを表示するかを設定します。"""
Config_051_Name#0,"""トレード申し込み"""
Config_051_Hint#0,"""トレードを提案された時、<br>返答選択ウィンドウを表示するかを設定します。"""
Config_052_Name#0,"""おすすめオーダーの通知"""
Config_052_Hint#0,"""おすすめクエストを受注した時<br>おすすめオーダーの受注メニューを<br>表示するかを設定します。"""
Config_053_Name#0,"""複数ブロックマッチングの受注確認"""
Config_053_Hint#0,"""パーティーリーダーが複数ブロックマッチングで<br>クエストを受注した時、受注確認のウィンドウを<br>自動で開くかを設定します。"""
Config_054_Name#0,"""<%GamePad>の割り当て通知"""
Config_054_Hint#0,"""<%GamePad>の設定で<br>重要な機能の割り当てに問題があった時に、<br>割り当ての自動修復の通知を<br>受信するかを設定します。"""
Config_055_Name#0,"""通知メッセージ表示件数"""
Config_055_Choices_0#0,"""1件"""
Config_055_Choices_1#0,"""3件"""
Config_055_Hint#0,"""通知メッセージを<br>同時に最大何件まで表示するか設定します。"""
Config_056_Name#0,"""アイテム取得時のログ表示"""
Config_056_Hint#0,"""アイテムを取得した時に、<br>ログに表示するかを設定します。"""
Config_057_Name#0,"""パーティー内のレアアイテム取得通知"""
Config_057_Hint#0,"""パーティーメンバーが<br>レアアイテムを取得した時に、<br>通知をするかを設定します。"""
Config_058_Name#0,"""プレミアムセットの有効期限切れ通知"""
Config_058_Hint#0,"""プレミアムセットの<br>有効期限が切れる７日より前に、<br>ログイン時にその旨を通知するかを設定します。"""
Config_059_Name#0,"""ログインコールの送信"""
Config_059_Choices_0#0,"""送る"""
Config_059_Choices_1#0,"""送らない"""
Config_059_Hint#0,"""自分がログインした時に、<br>フレンドにログインコールを送るかを設定します。"""
Config_060_Name#0,"""他プレイヤーの戦闘不能通知"""
Config_060_Hint#0,"""パーティーメンバーを含め、<br>他プレイヤーの戦闘不能通知を<br>表示するかを設定します。"""
Config_061_Name#0,"""自分の戦闘不能通知"""
Config_061_Hint#0,"""自分が戦闘不能になった時に、<br>周囲のプレイヤーに戦闘不能アイコンを<br>表示するかを設定します。<br><br><yellow>※相手側の表示設定がOFFの場合、<br>\u3000相手に戦闘不能アイコンは表示されません。<c>"""
Config_062_Name#0,"""ダイレクトチャット"""
Config_062_Hint#0,"""「使用する」を選ぶと、キーボードを<br>キャラクター移動などのアクション用ではなく<br>直接チャット入力が出来るように設定します。"""
Config_063_Name#0,"""ダイレクトチャットの切り替えキー"""
Config_063_Hint#0,"""ダイレクトチャットのON/OFFを<br>Scroll Lockキーで切り替えられる機能を<br>使用するかどうか設定します。<br><br>ダイレクトチャットが正しく動作しない場合、<br>この設定をONにすることで、正しく動くように<br>なる可能性があります。"""
Config_064_Name#0,"""メール返信時の引用"""
Config_064_Choices_0#0,"""引用する"""
Config_064_Choices_1#0,"""引用しない"""
Config_064_Hint#0,"""メール返信時に、引用するかを設定します。"""
Config_065_Name#0,"""シンボルアートの発言表示"""
Config_065_Hint#0,"""シンボルアートの発言を表示するか設定します。"""
Config_066_Name#0,"""他プレイヤーのチームチャット表示"""
Config_066_Choices_0#0,"""すべて表示する"""
Config_066_Choices_1#0,"""同じエリアの発言のみ"""
Config_066_Choices_2#0,"""表示しない"""
Config_066_Hint#0,"""他プレイヤーのチームチャットを<br>表示するかを設定します。"""
Config_067_Name#0,"""グループチャット吹き出し表示"""
Config_067_Hint#0,"""グループチャット吹き出しの表示条件を<br>設定します。"""
Config_068_Name#0,"""グループ、チーム、ウィスパーの発言者名"""
Config_068_Choices_0#0,"""プレイヤーIDネーム"""
Config_068_Choices_1#0,"""キャラクター名"""
Config_068_Hint#0,"""グループチャット、チームチャット、<br>ウィスパーチャットの発言者名を<br>プレイヤーIDネームとキャラクター名<br>どちらで表示するか設定します。"""
Config_069_Name#0,"""チャット入力欄の背景色"""
Config_069_Choices_0#0,"""発言先の色にしない"""
Config_069_Choices_1#0,"""発言先の色にする"""
Config_069_Hint#0,"""チャット入力の背景の色を発言先にしたがって<br>変化するようにするか設定します。"""
Config_070_Name#0,"""グループチャットの招待可否"""
Config_070_Choices_0#0,"""招待を受ける"""
Config_070_Choices_1#0,"""招待を受けない"""
Config_070_Hint#0,"""グループチャットの招待を受けるか設定を行います。<br>受けない設定にした場合、招待が届かなくなります。"""
Config_071_Name#0,"""オートワードの使用"""
Config_071_Hint#0,"""オートワードを使用するかを設定します。<br><br><yellow>“使用しない”を選ぶと、<br>\u3000オートワードを設定していても<br>\u3000発言しなくなります。<c>"""
Config_072_Name#0,"""オートワードをログに表示"""
Config_072_Hint#0,"""オートワードをログに表示するかを設定します。"""
Config_073_Name#0,"""ログウィンドウ表示順"""
Config_073_Choices_0_VITA#0,"""最新を上から表示する"""
Config_073_Choices_1_VITA#0,"""最新を下から表示する"""
Config_073_Hint_VITA#0,"""ログを表示する順序を設定します。"""
Config_074_Name#0,"""イベント"""
Config_074_Hint#0,"""画面に表示する他者のオートワードカテゴリーを<br>設定します。"""
Config_075_Name#0,"""メンバー"""
Config_076_Name#0,"""アクション"""
Config_077_Name#0,"""周囲"""
Config_077_Hint#0,"""ログウィンドウの「すべて表示」タブに<br>表示する内容を選択します。"""
Config_078_Name#0,"""パーティー"""
Config_079_Name#0,"""チーム"""
Config_080_Name#0,"""ウィスパー"""
Config_081_Name#0,"""システム"""
Config_082_Name#0,"""キャラクター"""
Config_083_Name#0,"""グループチャット"""
Config_084_Name#0,"""スクリーンショット保存形式"""
Config_084_Choices_0#0,"""JPEG"""
Config_084_Choices_1#0,"""PNG"""
Config_084_Choices_2#0,"""BMP"""
Config_084_Hint#0,"""スクリーンショットを保存する際の<br>保存形式を選択します。"""
Config_085_Name#0,"""スクリーンショット撮影時のUI表示設定"""
Config_085_Choices_0#0,"""すべて表示"""
Config_085_Choices_1#0,"""フキダシのみ表示"""
Config_085_Choices_2#0,"""表示なし"""
Config_085_Hint#0,"""スクリーンショット撮影時に、<br>UI（ウィンドウなどのインターフェイス）を<br>表示するかを設定します。<br>※ゲーム内の撮影機能を利用時のみ有効。"""
Config_085_Choices_0_Switch#0,"""ウィンドウ表示あり"""
Config_085_Choices_1_Switch#0,"""ウィンドウ表示なし"""
Config_085_Hint_Switch#0,"""スクリーンショット撮影時に、<br>UI（ウィンドウなどのインターフェイス）を<br>表示するかを設定します。<br>※ゲーム内の撮影機能を利用時のみ有効。"""
Config_086_Name#0,"""エステでの体型変更の同期設定１"""
Config_086_Choices_0#0,"""自動的に切り替える"""
Config_086_Choices_1#0,"""個別に編集する"""
Config_086_Hint#0,"""エステで、コスチュームや<br>キャストのパーツなどを変更する時に、<br><yellow>ヒト型とキャスト型の体型<c>を<br>自動的に切り替えるか、<br>個別に編集するかを設定します。"""
Config_087_Name#0,"""操作設定"""
Config_087_Choices_0#0,"""マニュアルタイプ"""
Config_087_Choices_1#0,"""オートタイプ"""
Config_087_Hint#0,"""ライドロイドの操作設定を選択します。 <br> <br>マニュアルタイプ： 手動で前進します。<br>オートタイプ： 自動で前進します。 <br><br>※ライドロイドの操作は<br>\u3000\u3000「<yellow>肩越し視点<c>」が基本です。"""
Config_088_Name#0,"""通常視点：カメラ左右回転方向"""
Config_088_Hint#0,"""ライドロイドカメラの左右回転方向を設定します。"""
Config_089_Name#0,"""通常視点：カメラ上下回転方向"""
Config_089_Hint#0,"""ライドロイドカメラの上下回転方向を設定します。"""
Config_090_Name#0,"""通常視点：左右旋回方向"""
Config_090_Hint#0,"""ライドロイド操作の左右旋回方向を設定します。"""
Config_091_Name#0,"""通常視点：上下移動方向"""
Config_091_Hint#0,"""ライドロイド操作の上下移動方向を設定します。"""
Config_092_Name#0,"""肩越し視点：カメラ左右回転方向"""
Config_093_Name#0,"""肩越し視点：カメラ上下回転方向"""
Config_094_Name#0,"""肩越し視点：左右旋回方向"""
Config_095_Name#0,"""肩越し視点：上下移動方向"""
Config_096_Name#0,"""ダークブラスト時の専用ボイス"""
Config_096_Hint#0,"""ダークブラストの発動中、<br>専用ボイスを再生するかどうか設定します。"""
Config_097_Name#0,"""他者のダークブラスト表示タイプ"""
Config_097_Choices_0#0,"""他者の設定に従う"""
Config_097_Choices_1#0,"""オーラ表示"""
Config_097_Choices_2#0,"""キャラクター表示"""
Config_097_Hint#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。<br><br>ゲームランチャーの環境設定からシェーダー品質を<br>「簡易」以外に設定することで適用されます。"""
