MYROOM#0,"""My Room"""
RoomGoods_CameraGuideMove04_key#1,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_key#1,"""<%NextTabDetails>"""
RoomGoods_CameraGuideCancel_key#1,"""<%Cancel>/Esc"""
RoomGoods_CameraGuideShoot_pad#1,"""<%Decide>"""
RoomGoods_CameraGuideMove01_pad#1,"""右スティック"""
RoomGoods_CameraGuideMove02_pad#1,"""左スティック(上下)"""
RoomGoods_CameraGuideMove03_pad#1,"""左スティック(左右)"""
RoomGoods_CameraGuideMove04_pad#1,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_pad#1,"""<%NextTabDetails>"""
RoomGoods_CameraGuideResetVita_pad#1,"""<%AllWindowClose>"""
RoomGoods_CameraGuideCancel_pad#1,"""<%Cancel>"""
RoomGoods_RaceMachine_Entry#1,"""レースに参加する"""
RoomGoods_RoomRunnerRunning#1,"""ランニングをする"""
RoomGoods_CraftCommonOwner#1,"""クラフトメニュー"""
RoomGoods_CraftCommonGuest#1,"""発注書を見る"""
RoomGoods_CraftOrderOwner#1,"""依頼リストを見る"""
RoomGoods_CraftOrderGuest#1,"""発注書を見る"""
RoomGoods_Shower#1,"""シャワーを浴びる"""
RoomGoods_StopShower#1,"""シャワーを止める"""
PresentBox#0,"""เฉพาะเจ้าของห้องเท่านั้นที่สามารถใช้งาน Present Box ได้<br>โดย Present Box จะหายไปหลังจากถูกเปิดแล้ว<br>ผู้เล่นสามารถใส่ไอเทมเพื่อมอบให้กับคนที่ต้องการได้<br><br>ต้องการวาง Present Box หรือไม่ ?"""
Common#0,"""มีเพียงเจ้าของห้องเท่านั้นที่สามารถใช้งาน Room Goods ชนิดนี้ได้<br><br>ต้องการติดตั้ง Room Goods หรือไม่ ?"""
PresentBox#1,"""プレゼントボックスはそのルームの<br>所有権を持つプレイヤーのみ開ける権利を持ちます。<br>開けられたプレゼントボックスはなくなり、<br>入れられていたアイテムが、開けたプレイヤーに<br>与えられます。<br><br>プレゼントボックスを設置しますか?"""
Common#1,"""このグッズはそのルームの<br>所有権を持つプレイヤー以外<br>展示する機能を使用できません。<br><br>グッズを設置しますか?"""
ob_1001_0000#0,"""Basic Theme"""
ob_1001_0001#0,"""Basic Theme"""
ob_1002_0000#0,"""Modern Theme"""
ob_1002_0001#0,"""Modern Theme"""
ob_1003_0000#0,"""Gothic Theme/R"""
ob_1003_0001#0,"""Gothic Theme/R"""
ob_1004_0000#0,"""Classic Theme"""
ob_1004_0001#0,"""Classic Theme"""
ob_1005_0000#0,"""Basic Theme/B"""
ob_1005_0001#0,"""Basic Theme/B"""
ob_1006_0000#0,"""Basic Theme/P"""
ob_1006_0001#0,"""Basic Theme/P"""
ob_1007_0000#0,"""Modern Theme/Y"""
ob_1007_0001#0,"""Modern Theme/Y"""
ob_1008_0000#0,"""Modern Theme/B"""
ob_1008_0001#0,"""Modern Theme/B"""
ob_1009_0000#0,"""Gothic Theme/B"""
ob_1009_0001#0,"""Gothic Theme/B"""
ob_1010_0000#0,"""Gothic Theme"""
ob_1010_0001#0,"""Gothic Theme"""
ob_1011_0000#0,"""Classic Theme/P"""
ob_1011_0001#0,"""Classic Theme/P"""
ob_1012_0000#0,"""Classic Theme/C"""
ob_1012_0001#0,"""Classic Theme/C"""
ob_1013_0000#0,"""Sweet Theme"""
ob_1013_0001#0,"""Sweet Theme"""
ob_1014_0000#0,"""Sweet Theme/B"""
ob_1014_0001#0,"""Sweet Theme/B"""
ob_1015_0000#0,"""Sweet Theme/C"""
ob_1015_0001#0,"""Sweet Theme/C"""
ob_1016_0000#0,"""China Theme"""
ob_1016_0001#0,"""China Theme"""
ob_1017_0000#0,"""China Theme/G"""
ob_1017_0001#0,"""China Theme/G"""
ob_1018_0000#0,"""China Theme/B"""
ob_1018_0001#0,"""China Theme/B"""
ob_1019_0000#0,"""Country Style"""
ob_1019_0001#0,"""Country Style"""
ob_1020_0000#0,"""Playing Cards"""
ob_1020_0001#0,"""Playing Cards"""
ob_1021_0000#0,"""Spaceship"""
ob_1021_0001#0,"""Spaceship"""
ob_1022_0000#0,"""Remodel 3"""
ob_1022_0001#0,"""Remodel 3"""
ob_1023_0000#0,"""Fun Time"""
ob_1023_0001#0,"""Fun Time"""
ob_1024_0000#0,"""Fun Time"""
ob_1024_0001#0,"""Fun Time"""
ob_1027_0000#0,"""Orient Theme/B"""
ob_1027_0001#0,"""Orient Theme/B"""
ob_1028_0000#0,"""Orient Theme/C"""
ob_1028_0001#0,"""Orient Theme/C"""
ob_1029_0000#0,"""Retro Theme"""
ob_1029_0001#0,"""Retro Theme"""
ob_1030_0000#0,"""Old Theme"""
ob_1030_0001#0,"""Old Theme"""
ob_1031_0000#0,"""Fancy Theme"""
ob_1031_0001#0,"""Fancy Theme"""
ob_1032_0000#0,"""Prepared Frame"""
ob_1032_0001#0,"""Prepared Frame"""
ob_1033_0000#0,"""Retro Theme/B"""
ob_1033_0001#0,"""Retro Theme/B"""
ob_1034_0000#0,"""Prepared Frame"""
ob_1034_0001#0,"""Prepared Frame"""
ob_1035_0000#0,"""Prepared Frame"""
ob_1035_0001#0,"""Prepared Frame"""
ob_1036_0000#0,"""Fancy Theme/B"""
ob_1036_0001#0,"""Fancy Theme/B"""
ob_1037_0000#0,"""Prepared Frame"""
ob_1037_0001#0,"""Prepared Frame"""
ob_1038_0000#0,"""Prepared Frame"""
ob_1038_0001#0,"""Prepared Frame"""
ob_1039_0000#0,"""Prepared Frame"""
ob_1039_0001#0,"""Prepared Frame"""
ob_1040_0000#0,"""Prepared Frame"""
ob_1040_0001#0,"""Prepared Frame"""
ob_1041_0000#0,"""Prepared Frame"""
ob_1041_0001#0,"""Prepared Frame"""
ob_1042_0000#0,"""Prepared Frame"""
ob_1042_0001#0,"""Prepared Frame"""
ob_1043_0000#0,"""Prepared Frame"""
ob_1043_0001#0,"""Prepared Frame"""
ob_1044_0000#0,"""Prepared Frame"""
ob_1044_0001#0,"""Prepared Frame"""
ob_1045_0000#0,"""Prepared Frame"""
ob_1045_0001#0,"""Prepared Frame"""
ob_1046_0000#0,"""Prepared Frame"""
ob_1046_0001#0,"""Prepared Frame"""
ob_1001_0000#1,"""ベーシック・テーマ"""
ob_1001_0001#1,"""ベーシック・テーマ"""
ob_1002_0000#1,"""モダン・テーマ"""
ob_1002_0001#1,"""モダン・テーマ"""
ob_1003_0000#1,"""ゴシック・テーマ／Ｒ"""
ob_1003_0001#1,"""ゴシック・テーマ／Ｒ"""
ob_1004_0000#1,"""クラシック・テーマ"""
ob_1004_0001#1,"""クラシック・テーマ"""
ob_1005_0000#1,"""ベーシック・テーマ／Ｂ"""
ob_1005_0001#1,"""ベーシック・テーマ／Ｂ"""
ob_1006_0000#1,"""ベーシック・テーマ／Ｐ"""
ob_1006_0001#1,"""ベーシック・テーマ／Ｐ"""
ob_1007_0000#1,"""モダン・テーマ／Ｙ"""
ob_1007_0001#1,"""モダン・テーマ／Ｙ"""
ob_1008_0000#1,"""モダン・テーマ／Ｂ"""
ob_1008_0001#1,"""モダン・テーマ／Ｂ"""
ob_1009_0000#1,"""ゴシック・テーマ／Ｂ"""
ob_1009_0001#1,"""ゴシック・テーマ／Ｂ"""
ob_1010_0000#1,"""ゴシック・テーマ"""
ob_1010_0001#1,"""ゴシック・テーマ"""
ob_1011_0000#1,"""クラシック・テーマ／Ｐ"""
ob_1011_0001#1,"""クラシック・テーマ／Ｐ"""
ob_1012_0000#1,"""クラシック・テーマ／Ｃ"""
ob_1012_0001#1,"""クラシック・テーマ／Ｃ"""
ob_1013_0000#1,"""スイーツ・テーマ"""
ob_1013_0001#1,"""スイーツ・テーマ"""
ob_1014_0000#1,"""スイーツ・テーマ／Ｂ"""
ob_1014_0001#1,"""スイーツ・テーマ／Ｂ"""
ob_1015_0000#1,"""スイーツ・テーマ／Ｃ"""
ob_1015_0001#1,"""スイーツ・テーマ／Ｃ"""
ob_1016_0000#1,"""チャイナ・テーマ"""
ob_1016_0001#1,"""チャイナ・テーマ"""
ob_1017_0000#1,"""チャイナ・テーマ／G"""
ob_1017_0001#1,"""チャイナ・テーマ／G"""
ob_1018_0000#1,"""チャイナ・テーマ／Ｂ"""
ob_1018_0001#1,"""チャイナ・テーマ／Ｂ"""
ob_1019_0000#1,"""ウェスタン・テーマ"""
ob_1019_0001#1,"""ウェスタン・テーマ"""
ob_1020_0000#1,"""ウェスタン・テーマ／Ｂ"""
ob_1020_0001#1,"""ウェスタン・テーマ／Ｂ"""
ob_1021_0000#1,"""ウェスタン・テーマ／Ｃ"""
ob_1021_0001#1,"""ウェスタン・テーマ／Ｃ"""
ob_1022_0000#1,"""オリエント・テーマ"""
ob_1022_0001#1,"""オリエント・テーマ"""
ob_1023_0000#1,"""予備枠"""
ob_1023_0001#1,"""予備枠"""
ob_1024_0000#1,"""予備枠"""
ob_1024_0001#1,"""予備枠"""
ob_1027_0000#1,"""オリエント・テーマ／Ｂ"""
ob_1027_0001#1,"""オリエント・テーマ／Ｂ"""
ob_1028_0000#1,"""オリエントテーマ／Ｃ"""
ob_1028_0001#1,"""オリエントテーマ／Ｃ"""
ob_1029_0000#1,"""レトロ・テーマ"""
ob_1029_0001#1,"""レトロ・テーマ"""
ob_1030_0000#1,"""オールド・テーマ"""
ob_1030_0001#1,"""オールド・テーマ"""
ob_1031_0000#1,"""ファンシー・テーマ"""
ob_1031_0001#1,"""ファンシー・テーマ"""
ob_1032_0000#1,"""予備枠"""
ob_1032_0001#1,"""予備枠"""
ob_1033_0000#1,"""レトロ・テーマ／Ｂ"""
ob_1033_0001#1,"""レトロ・テーマ／Ｂ"""
ob_1034_0000#1,"""予備枠"""
ob_1034_0001#1,"""予備枠"""
ob_1035_0000#1,"""予備枠"""
ob_1035_0001#1,"""予備枠"""
ob_1036_0000#1,"""ファンシー・テーマ／Ｂ"""
ob_1036_0001#1,"""ファンシー・テーマ／Ｂ"""
ob_1037_0000#1,"""予備枠"""
ob_1037_0001#1,"""予備枠"""
ob_1038_0000#1,"""予備枠"""
ob_1038_0001#1,"""予備枠"""
ob_1039_0000#1,"""予備枠"""
ob_1039_0001#1,"""予備枠"""
ob_1040_0000#1,"""予備枠"""
ob_1040_0001#1,"""予備枠"""
ob_1041_0000#1,"""予備枠"""
ob_1041_0001#1,"""予備枠"""
ob_1042_0000#1,"""予備枠"""
ob_1042_0001#1,"""予備枠"""
ob_1043_0000#1,"""予備枠"""
ob_1043_0001#1,"""予備枠"""
ob_1044_0000#1,"""予備枠"""
ob_1044_0001#1,"""予備枠"""
ob_1045_0000#1,"""予備枠"""
ob_1045_0001#1,"""予備枠"""
ob_1046_0000#1,"""予備枠"""
ob_1046_0001#1,"""予備枠"""
ob_1000_0001#0,"""ยินดีต้อนรับ!"""
ob_1000_0068_greeting#0,"""โปรดส่ง Good job!"""
ob_1000_0068_thanks#0,"""ขอบคุณ!"""
ob_1000_0444_dice_1#0,"""1 ค่ะ"""
ob_1000_0444_dice_2#0,"""2 ค่ะ"""
ob_1000_0444_dice_3#0,"""3 ค่ะ"""
ob_1000_0444_dice_4#0,"""4 ค่ะ"""
ob_1000_0444_dice_5#0,"""5 ค่ะ"""
ob_1000_0444_dice_6#0,"""6 ค่ะ"""
ob_1000_0001#1,"""いらっしゃいませ"""
ob_1000_0068_greeting#1,"""グッジョブよろしくお願いします！"""
ob_1000_0068_thanks#1,"""ありがとうございました！"""
ob_1000_0444_dice_1#1,"""１です"""
ob_1000_0444_dice_2#1,"""２です"""
ob_1000_0444_dice_3#1,"""３です"""
ob_1000_0444_dice_4#1,"""４です"""
ob_1000_0444_dice_5#1,"""５です"""
ob_1000_0444_dice_6#1,"""６です"""
Title#0,"""ตั้งค่าการเข้า"""
If_All_OK#0,"""ทุกคน"""
If_Friend_Guild_Member#0,"""เพื่อนและสมาชิกในทีมเท่านั้น"""
If_Guild_Member#0,"""สมาชิกในทีมเท่านั้น"""
If_Friend_Member#0,"""เพื่อนเท่านั้น"""
If_All_Not#0,"""ส่วนตัว (เจ้าของเท่านั้น)"""
PasswardInfo#0,"""ตั้ง Password ในการเข้า (สูงสุด 16 ตัวอักษร)"""
Enter#0,"""โอเค"""
Enter_Hint#0,"""คลิกที่ โอเค เพื่อยืนยันการตั้งค่า"""
Title#1,"""入室可能なグループ設定"""
If_All_OK#1,"""だれでも可能"""
If_Friend_Guild_Member#1,"""フレンドとチームメンバーのみ可能"""
If_Guild_Member#1,"""チームメンバーのみ可能"""
If_Friend_Member#1,"""フレンドのみ可能"""
If_All_Not#1,"""非公開（自分のみ入室可能）"""
PasswardInfo#1,"""入室パスワードを設定する(16文字以内)"""
Enter#1,"""決定"""
Enter_Hint#1,"""決定を押すと設定が反映されます"""
Title#2,"""ตั้งข้อความ"""
MenuMessage#0,"""ข้อความ"""
MenuFukidashi#0,"""ประเภทกรอบข้อความ (Balloon)"""
MenuManpu#0,"""การแสดงอารมณ์"""
Title#3,"""メッセージを設定できます"""
MenuMessage#1,"""表示するメッセージ"""
MenuFukidashi#1,"""フキダシの形状"""
MenuManpu#1,"""表示する漫符"""
Title_Edit#0,"""ตั้งค่าของขวัญ"""
MenuItem#0,"""ใส่ไอเทมลงไป"""
MenuMeseta#0,"""ใส่ Meseta ลงไป"""
Title_Meseta#0,"""จำนวน"""
Meseta_Message#0,"""ใส่จำนวนที่ต้องการมอบให้"""
Result_Title#0,"""ได้รับของขวัญ"""
Result_MesseaeItem#0,"""ท่านได้รับไอเทมของขวัญ<br>$(0)"""
Result_MesseaeMeseta#0,"""ท่านได้รับ $(0) meseta"""
Result_None#0,"""ไม่ได้ใส่อะไรเข้าไป"""
Title_Check#0,"""ยืนยันของขวัญ"""
Check_MesseaeItem#0,"""ท่านต้องการใส่<br>$(0) ลงในกล่องของขวัญใช่ไหม?"""
Check_MesseaeMeseta#0,"""ท่านต้องการใส่<br>$(0) meseta ลงในกล่องของขวัญใช่ไหม?"""
Check_MesseaeNone#0,"""จะให้ติดตั้งกล่องของขวัญเปล่าหรือไม่?"""
Title_Edit#1,"""プレゼント設定"""
MenuItem#1,"""アイテムを入れる"""
MenuMeseta#1,"""メセタを入れる"""
Title_Meseta#1,"""金額設定"""
Meseta_Message#1,"""プレゼントする金額を入力してください"""
Result_Title#1,"""プレゼントの獲得"""
Result_MesseaeItem#1,"""プレゼントアイテム<br>$(0)を手に入れました。"""
Result_MesseaeMeseta#1,"""$(0)メセタを手に入れました。"""
Result_None#1,"""何も入っていませんでした。"""
Title_Check#1,"""プレゼント確認"""
Check_MesseaeItem#1,"""$(0)を<br>プレゼントボックスに入れます。<br>よろしいですか?"""
Check_MesseaeMeseta#1,"""$(0)メセタを<br>プレゼントボックスに入れます。<br>よろしいですか?"""
Check_MesseaeNone#1,"""空のプレゼントボックスを設置します。<br>よろしいですか？"""
Title#4,"""ทางเข้า Room"""
Menu_Main#0,"""<c f0df60>ติดตั้งของตกแต่ง การรีฟอร์ม (เปลี่ยนธีมและพัฒนาห้องของท่าน) เคลื่อนย้าย หรือปรับแต่งค่าการเข้า<c>"""
Menu_Main_v#0,"""<c f0df60>สามารถจัดวางของตกแต่ง รีฟอร์มห้อง (เปลี่ยนธีม, เพิ่มลดขนาดห้อง)ได้<c>"""
Menu_RoomGoods#0,"""<c f0df60>เลือกและติดตั้งของตกแต่ง ตรวจสอบค่าใช้จ่ายในการติดตั้ง และขนาดของไอเทมที่ด้านล่างของไอเทมก่อนจะติดตั้ง<c>"""
Menu_RoomGoods_v#0,"""<c f0df60>สามารถเลือกของตกแต่ง และจัดวางได้<c>"""
Menu_RoomSelect#0,"""<c f0df60>กรุณาเลือกห้องที่ท่านต้องการรีฟอร์ม การต่อเติมห้องนั้นท่านจำเป็นจะต้องมีบัตรสำหรับเปลี่ยนโฉมประเภท [Theme] หรือ [Remodel Room]<c>"""
Menu_RoomSelect_v#0,"""<c f0df60>กรุณาเลือกห้องที่ท่านต้องการรีฟอร์ม<c>"""
Menu_Reform#0,"""<c f0df60>การเปลี่ยนธีมจำเป็นต้องใช้บัตรประเภท [Theme] สำหรับการเปลี่ยนขนาดห้องจำเป็นต้องใช้บัตรประเภท [Remodel Room] โดยการต่อเติมนั้นสามารถใช้ได้ทั้งคู่<c>"""
Menu_Reform_v#0,"""<c f0df60>การเปลี่ยนธีมจำเป็นต้องใช้บัตรประเภท [Theme] สำหรับการเปลี่ยนขนาดห้องจำเป็นต้องใช้บัตรประเภท [Remodel Room]<c>"""
Menu_MovePass#0,"""<c f0df60>เลือกบัตร Scenery pass สำหรับสถานที่ๆท่านต้องการไป (ท่านสามารถหาบัตร Scenery passes ผ่านทาง Scratch tickets)<c>"""
Menu_BGM#0,"""<c f0df60>เพิ่มเพลงจากดิสก์เพลง โดยท่านสามารถใช้ของตกแต่ง Jukebox ในการเล่นเพลง<c>"""
Menu_BGMEntry#0,"""<c f0df60>เพิ่มเพลงจากดิสก์เพลง เลือกดิสก์เพลงที่ท่านต้องการเพิ่ม<c>"""
Menu_BGMCheck#0,"""<c f0df60>เปลี่ยนเพลงที่เล่นในห้องของท่าน เลือกเพลงที่ต้องการ<c>"""
Menu_RoomLock#0,"""<c f0df60>เปลี่ยนการตั้งค่าการเข้ามายังห้องของท่าน เลือกบุคคลที่ท่านต้องการให้เข้า<c>"""
Menu_PresentBoxMain#0,"""<c f0df60>ใส่ไอเทมหรือ Meseta ในกล่องของขวัญ<c>"""
Menu_PresentBoxItem#0,"""<c f0df60>เลือกไอเทมที่ท่านต้องการใส่ในกล่องของขวัญ<c>"""
Menu_PresentBoxMeseta#0,"""<c f0df60>เลือกจำนวน Meseta ที่ต้องการใส่ในกล่องของขวัญ<c>"""
Menu_WeaponDisplay#0,"""<c f0df60>แสดงโฮโรแกรมอาวุธของท่าน โปรดเลือกอาวุธที่ต้องการแสดง<c>"""
Menu_WeaponDisplayInfo#0,"""<c f0df60>ดูรายละเอียดของอาวุธที่แสดง<c>"""
Menu_WeaponAvatarDisplay#0,"""<c f0df60>แสดงภาพโฮโลแกรมอาวุธปลอมแปลงของท่าน โปรดเลือกอาวุธที่ต้องการแสดง<c>"""
Menu_WeaponAvatarDisplayInfo#0,"""<c f0df60>ดูรายละเอียดของอาวุธปลองแปลงที่แสดงอยู่<c>"""
Menu_RoomGoodsAccess#0,"""<c f0df60>เข้าถึงระบบของตกแต่ง เจ้าของห้องสามารถย้ายหรือนำของตกแต่งออกได้<c>"""
Menu_RoomGoodsAccess_v#0,"""<c f0df61>สามารถใช้สอยการทำงานของของตกแต่งได้ ผู้เป็นเจ้าของมายรูมสามารถจัดการเคลื่อนย้ายหรือถอดออกได้<c>"""
Menu_DecoGoods#0,"""<c f0df60>ติดตั้งของตกแต่ง 1 x 1 ในพื้นที่ๆกำหนด เลือกของตกแต่งที่ท่านต้องการติดตั้ง<c>"""
Menu_DecoGoods_v#0,"""<c f0df60>สามารถติดตั้งของตกแต่งขนาด 1×2ลงในพื้นที่ว่างที่เลือกไว้ กรุณาเลือกของตกแต่ง<c>"""
Menu_Message#0,"""<c f0df60>ใส่ข้อความที่จะแสดงที่ของตกแต่ง<c>"""
Menu_GoodJob#0,"""<c f0df60>ส่ง Good job ไปให้เจ้าของห้อง<c>"""
Menu_GoodJob_Greeting#0,"""<c f0df60>ใส่ข้อความที่ต้องการให้แสดงเมื่อไปถึงเคาท์เตอร์ Good job<c>"""
Menu_GoodJob_Thanks#0,"""<c f0df60>ใส่ข้อความที่ต้องการให้แสดงเมื่อท่านได้รับ Good job<c>"""
Menu_SetTimer#0,"""<c f0df60>เมื่อตั้งไทมเมอร์ จะมีข้อความแจ้งหลังจากผ่านไปหลายนาที<c>"""
Menu_PhotoGachan_Line_Up#0,"""<c f0df60>ดูรายชื่อของรางวัลจาก Photon Gacha<c>"""
Menu_PhotoGachan_Play#0,"""<c f0df60>หมุน Photon Gacha 1 ครั้ง<c>"""
Menu_PhotoGachan_Management#0,"""<c f0df60>ปรับระบบการทำงานของ Photon Gacha<c>"""
Menu_Ceilling_RoomSelect#0,"""<c f0df60>เพื่อติดตั้งบนเพดาน ขอให้เลือกห้องที่ต้องการติดตั้ง<c>"""
Menu_Ceilling_SetPointSelect#0,"""<c f0df60>ระบุตำแหน่งติดตั้ง แล้วจัดการเลือกสถานที่ติดตั้งหรือถอด<c>"""
Menu_Symbolart#0,"""<c f0df60>สามารถตั้งค่าซิมโบลอาร์ทที่แสดงอยู่ในของตกแต่ง<c>"""
Menu_LayoutChange#0,"""<c f0df60>สับเปลี่ยนมายรูมเลย์เอาท์<c>"""
Menu_DeleteRoomGoods_SelectRoom#0,"""<c f0df60>เลือกห้องที่จะถอดของตกแต่งออกทั้งหมด<c>"""
Menu_SupportPartnerList#0,"""<c f0df60>แสดงสารบัญSupport Partner<c>"""
Menu_Dice#0,"""<c f0df60>รวมข้อความ<c>"""
Menu_Explain_Order#0,"""<c f0df60>คุณสามารถให้ช่วยออเดอร์ที่รับมาบางส่วนได้  ที่เหลือ<c ff4f3f>$(0)สามรถเลือกเงื่อนไข<c f0df60> ได้<c>"""
Menu_Explain_Status#0,"""<c f0df60>ตรวจสอบข้อมูลสถานะหรือการสวมใส่ของSupport Partner<c>"""
Menu_Camera_Shoot#0,"""<c f0df60>สามารถตั้งเวลาในการถ่ายภาพได้ ขณะที่เวลากำลังนับถอยหลังจะไม่สามารถใช้งาน Room Goods อื่นๆได้<c>"""
Menu_PhotoGachanMain#0,"""<c f0df60> เลือกได้ถึงสามรายการที่คุณต้องการที่จะแนะนำรายการที่เลือกจะปรากฏบนรายการดูแนะนำ. <c>"""
Menu_CloseoutMoment#0,"""<c f0df60>เล่นเกมกดปุ่ม<c><%Access><c f0df60>อย่างรวดเร็วให้ตรงกับจังหวะ โหมด Hi-Score จะเป็นการทำคะแนนให้ได้สูงที่สุดแข่งกับเวลา<c>"""
Menu_Craft#0,"""<c f0df60>สามารถตั้งค่าป้ายโฆษณา หรือดูรายการจ้างวานได้<c>"""
Menu_EventChronicle#0,"""<c f0df60>ดูรายละเอียดของ Event<c>"""
Title#5,"""マイルーム端末"""
Menu_Main#1,"""<c f0df60>ルームグッズを設置したり、ルームリフォーム（テーマ変更や部屋の増改築）、引っ越し、ルームロック設定が可能です。<c>"""
Menu_Main_v#1,"""<c f0df60>ルームグッズを設置したり、ルームリフォーム（テーマ変更や部屋の増改築）、などが可能です。<c>"""
Menu_RoomGoods#1,"""<c f0df60>ルームグッズを選択し、設置できます。設置時は、アイテム詳細の「必要コスト」と「サイズ」をご確認ください。<c>"""
Menu_RoomGoods_v#1,"""<c f0df60>ルームグッズを選択し、設置できます。<c>"""
Menu_RoomSelect#1,"""<c f0df60>リフォームする部屋を選択してください。部屋の増改築には「テーマ」系か、「リモデルーム」系のリフォーム用パスが必要です。<c>"""
Menu_RoomSelect_v#1,"""<c f0df60>リフォームする部屋を選択してください。<c>"""
Menu_Reform#1,"""<c f0df60>部屋のテーマ変更には「テーマ」系、サイズ変更には「リモデルーム」系パスが必要です。増築にはどちらのパスも使用できます。<c>"""
Menu_Reform_v#1,"""<c f0df60>部屋のテーマ変更には「テーマ」系、サイズ変更には「リモデルーム」系パスが必要です。<c>"""
Menu_MovePass#1,"""<c f0df60>引っ越し先のシーナリーパスを選択してください。（シーナリーパスは、スクラッチなどで入手可能です）<c>"""
Menu_BGM#1,"""<c f0df60>持っているMusicDiscから、BGMを登録できます。登録したBGMは、ルームグッズ「ジュークボックス」で再生できます。<c>"""
Menu_BGMEntry#1,"""<c f0df60>所持しているMusicDiscをBGMとして登録することができます。登録したいMusicDiscを選択してください。<c>"""
Menu_BGMCheck#1,"""<c f0df60>マイルームで再生されているBGMを変更することができます。再生したいBGMを選択してください。<c>"""
Menu_RoomLock#1,"""<c f0df60>ルームロック（入室制限）を設定できます。この部屋に入室可能なグループを選択してください。<c>"""
Menu_PresentBoxMain#1,"""<c f0df60>プレゼントボックスにアイテムか、メセタを入れることができます。<c>"""
Menu_PresentBoxItem#1,"""<c f0df60>プレゼントボックスに入れるアイテムを選択してください。<c>"""
Menu_PresentBoxMeseta#1,"""<c f0df60>プレゼントボックスに入れるメセタを所持金から設定してください。<c>"""
Menu_WeaponDisplay#1,"""<c f0df60>所持している武器のホログラムを展示します。展示する武器を選択してください。<c>"""
Menu_WeaponDisplayInfo#1,"""<c f0df60>展示されている武器の詳細を確認します。<c>"""
Menu_WeaponAvatarDisplay#1,"""<c f0df60>所持している武器迷彩のホログラムを展示します。展示する武器を選択してください。<c>"""
Menu_WeaponAvatarDisplayInfo#1,"""<c f0df60>展示されている武器迷彩の詳細を確認します。<c>"""
Menu_RoomGoodsAccess#1,"""<c f0df60>ルームグッズの機能を利用できます。また、マイルームの持ち主はルームグッズの移動、撤去を行うことができます。<c>"""
Menu_RoomGoodsAccess_v#1,"""<c f0df61>ルームグッズの機能を利用できます。マイルームの持ち主は移動、撤去を行うことができます。<c>"""
Menu_DecoGoods#1,"""<c f0df60>選択した箇所に1×1のルームグッズを設置することができます。設置したいルームグッズを選択してください。<c>"""
Menu_DecoGoods_v#1,"""<c f0df60>選択した箇所に1×1のルームグッズを設置できます。ルームグッズを選択してください。<c>"""
Menu_Message#1,"""<c f0df60>ルームグッズから表示されるメッセージを設定できます。<c>"""
Menu_GoodJob#1,"""<c f0df60>このマイルームの持ち主にグッジョブを送ります。<c>"""
Menu_GoodJob_Greeting#1,"""<c f0df60>グッジョブカウンターに近づいた際に表示されるメッセージを設定できます。<c>"""
Menu_GoodJob_Thanks#1,"""<c f0df60>グッジョブしてくれた際に表示されるメッセージを設定できます。<c>"""
Menu_SetTimer#1,"""<c f0df60>タイマーをセットすると、数分後メッセージが発動します<c>"""
Menu_PhotoGachan_Line_Up#1,"""<c f0df60>フォトガチャンに登録されている景品を確認します。<c>"""
Menu_PhotoGachan_Play#1,"""<c f0df60>フォトガチャンを１回プレイします。<c>"""
Menu_PhotoGachan_Management#1,"""<c f0df60>フォトガチャンの設定を変更します。<c>"""
Menu_Ceilling_RoomSelect#1,"""<c f0df60>天井に設置するため、設置したい部屋を選択します<c>"""
Menu_Ceilling_SetPointSelect#1,"""<c f0df60>設置ポイントを指定し、設置場所を選択・撤去を行います<c>"""
Menu_Symbolart#1,"""<c f0df60>ルームグッズから表示されるシンボルアートを設定できます。<c>"""
Menu_LayoutChange#1,"""<c f0df60>マイルームのレイアウトを入れ替えます<c>"""
Menu_DeleteRoomGoods_SelectRoom#1,"""<c f0df60>ルームグッズの全撤去を行う部屋を選択します<c>"""
Menu_SupportPartnerList#1,"""<c f0df60>サポートパートナー一覧を表示します<c>"""
Menu_Dice#1,"""<c f0df60>メッセージを編集します<c>"""
Menu_Explain_Order#1,"""<c f0df60>あなたが受注しているオーダーの一部を手伝わせることができます。あと <c ff4f3f>$(0)件<c f0df60> 選択できます。<c>"""
Menu_Explain_Status#1,"""<c f0df60>サポートパートナーのステータスや装備情報を確認できます。<c>"""
Menu_Camera_Shoot#1,"""<c f0df60>撮影を行うまでの時間を指定できます。タイマー中はマイルームグッズにアクセスすることはできません。<c>"""
Menu_PhotoGachanMain#1,"""<c f0df60>「オススメアイテムを見る」に表示するアイテムを3つまで選択することができます。<c>"""
Menu_CloseoutMoment#1,"""<c f0df60>合図に合わせて素早く<c><%Access><c f0df60>を押すゲームをプレイします。ハイスコアモードは最高タイムとの勝負になります。<c>"""
Menu_Craft#1,"""<c f0df60>依頼リストの確認や、看板の設定が可能です。<c>"""
Menu_EventChronicle#1,"""<c f0df60>イベントの確認が行えます。<c>"""
Title#6,"""เซ็ตไทมเมอร์"""
Menu_Select01#0,"""1 นาที"""
Menu_Select02#0,"""3 นาที"""
Menu_Select03#0,"""5 นาที"""
Menu_Cancel#0,"""ยกเลิก"""
