ErrorMember#0,"""$(0)並非<br>公會成員。"""
SearchResultNoneAccount#0,"""並未檢索到條件相符的玩家。"""
Unspecified#0,"""不指定"""
EntryTeamStyle_Success#0,"""更新了公會入會意願。"""
EntryTeamStyle_Failed#0,"""公會入會意願更新失敗。"""
test#0,"""一二三四五六七八九〇一二三四五六七八九〇一二三四五"""
TeamShopTitle#0,"""公會專用商店"""
SgShopGuide#0,"""<c f0df60>請選擇要購買的道具。　價格會根據購買的對象成員數量進行調整。<c>"""
TeamShopListTitle#0,"""商品列表"""
TeamShopListRemarks#0,"""購買的道具將發送給所有對象成員，<br>並可從公會櫃台領取。<br><yellow>購買對象成員：$(0)人（$(1)％ＯＦＦ）<c><br><red>入會後7天以內，或30天或以上沒有登入的成員<br>不會成為購買對象。<c>"""
Buy#0,"""購買"""
Back#1,"""返回"""
NumberTitle#0,"""現在的持有數"""
InventoryTitle#0,"""道具背包"""
InformationTitle#0,"""商品情報"""
NumberLimitation#0,"""<yellow>可購買數<c>"""
ResetTime#0,"""<yellow>(<utcdow>星期三4:00</utcdow>重置)<c>"""
ResetTime_Vita#0,"""(星期三13時重置)"""
LimitedItemText1#0,"""可購買$(0)個"""
LimitedItemText2#0,"""還有$(0)個"""
ReplacementDue#0,"""<yellow>購買期限<c>"""
LimitedItemText3#0,"""持有ＴＰ"""
LimitedItemText4#0,"""合計ＴＰ"""
Detailed#0,"""道具詳情"""
Slash#0,"""/"""
TeamShopNotGet#0,"""未獲得公會專用商店，現在無法使用。<br><br>消耗公會點數獲得公會專用商店後<br>即可進行使用。"""
TeamShopBuyCheck#0,"""以$(3)$(1)購買下列道具。<br>確定麼？<br><yellow>價格已根據購買的對象成員數量打折。<br>購買對象成員：$(0)人（$(2)％ＯＦＦ）<c>"""
TeamShopBuyLoginCheck#0,"""<red>入會後7天以內，或30天或以上沒有登入的成員<br>不會成為購買對象。<c>"""
TeamShopBuyError_00#0,"""公會點數不足。"""
TeamShopBuyError_01#0,"""未能購買道具。"""
TeamShopBuyError_02#0,"""入會後未過7天，無法購買。"""
TeamShopBuyError_Title_01#0,"""購買道具"""
ReceiptTitle#0,"""領取公會專用商店購買的道具"""
ReceiptGuide#0,"""<c f0df60>可在公會專用商店，領取公會會長或管理員購買的道具。<c>"""
ReceiptListTitle#0,"""道具領取菜單"""
ReceiptMenuTab1#0,"""購買歷史"""
ReceiptMenuTab2#0,"""領取期限"""
ReceiptMenuNoItem#0,"""沒有道具。"""
ReceiptInfoTitle#0,"""購買的道具內容"""
ReceiptInfoTitle2#0,"""領取有效期限"""
ReceiptInfoTitle3#0,"""購買人"""
ReceiptInfoTitle4#0,"""支付TP"""
ReceiptConfirmTitle#0,"""確認領取"""
ReceiptConfirmCharaMessage#0,"""確定要領取以下的道具麼？"""
ReceiptError1#0,"""發生未知錯誤<br>因此取消領取。"""
ReceiptError2#0,"""道具背包空間不足，<br>或是擁有的數量超過限制，<br>因此未能領取。"""
ReceiptError3#0,"""超過了領取有效期限，<br>因此未能領取。"""
ReceiptSuccess#0,"""領取了$(0)<br>的道具。"""
ReceiptNum#0,"""$(0)×$(1)個"""
UseTp#0,"""$(0)"""
BuyDay#0,"""$(0)年$(1)月$(2)日$(3)時$(4)分　購買"""
