OrderList#0,"""Daily Craft List"""
GetCraftRecipeMessage#0,"""คุณได้เรียนรู้ Recipe ดังต่อไปนี้แล้ว"""
Rarity#0,"""Rarity"""
Element#0,"""Augmentation"""
ReviseParameter#0,"""Parameter Adjustment"""
FullSizeTitleExtend#0,"""Equipment Extend"""
FullSizeTitleTechnicCustomize#0,"""Technic Customize"""
FullSizeTitleMaterialComp#0,"""-----"""
FullSizeTitleDecomp#0,"""Item Disassembly"""
FullSizeTitleFarm#0,"""-----"""
FullSizeTitleMakePotion#0,"""-----"""
FullSizeTitleEnchant#0,"""Ability Install"""
FullSizeTitleCreateStamp#0,"""Update Data Drive"""
FullSizeTitleCreateStampItem#0,"""Make Ability Data"""
RecipeSelectItemErrorMessage#0,"""มีวัตถุดิบไม่เพียงพอ<br><br>คุณสามารถหาวัตถุดิบได้จากการ Disassembly Weapon/Unit ระดับ Rare 7 ขึ้นไป<br>หรือ PA/Photon Magic Disc Lv.11 ขึ้นไป"""
RecipeSelectItemErrorMessage2#0,"""มีวัตถุดิบไม่เพียงพอ"""
RecipeSelectMesetaErrorMessage#0,"""มี Meseta ไม่เพียงพอ"""
MenuTitleRecipe#0,"""เรียนรู้ Craft Recipe"""
TabTitleWeapon1_3#0,"""Weapon Rare 1 - Rare 3"""
TabTitleWeapon4_6#0,"""Weapon Rare 4 - Rare 6"""
TabTitleWeapon7_9#0,"""Weapon Rare 7 - Rare 9"""
TabTitleWeapon10#0,"""Weapon Rare 10"""
TabTitleWeapon11#0,"""Weapon Rare 11"""
TabTitleWeapon12#0,"""Weapon Rare 12"""
TabTitleWeapon13#0,"""Weapon Rare 13"""
TabTitleWeapon14#0,"""Weapon Rare 14"""
TabTitleWeapon15#0,"""Weapon Rare 15"""
TabTitleAddonDFStrike#0,"""Unit Melee Defense ที่ต้องการ"""
TabTitleAddonDFFirearm#0,"""Unit Range Defense ที่ต้องการ"""
TabTitleAddonDFTechnic#0,"""Unit Magic Defense ที่ต้องการ"""
EquipTypeWeaponStrike#0,"""Weapon ประเภท Melee"""
EquipTypeWeaponFirearm#0,"""Weapon ประเภท Range"""
EquipTypeWeaponTechnic#0,"""Weapon ประเภท Magic"""
EquipTypeAddonBack#0,"""Rear Unit"""
EquipTypeAddonArm#0,"""Arms Unit"""
EquipTypeAddonLeg#0,"""Legs Unit"""
RemoveNoEffectSupportItemMessage#0,"""ไม่สามารถใช้ Boost Item ที่ไม่มีประโยชน์ได้"""
AchieveAll#0,"""ไม่ตั้งเงื่อนไข"""
AchieveWeapon#0,"""ประเภท: Weapon"""
AchieveWeaponStrike#0,"""ประเภท: Melee Weapon"""
AchieveWeaponFirearm#0,"""ประเภท: Range Weapon"""
AchieveWeaponTechnic#0,"""ประเภท: Magic Weapon"""
AchieveAddonUnit#0,"""ประเภท: Unit"""
AchieveAddonBack#0,"""ประเภท: Rear Unit"""
AchieveAddonArm#0,"""ประเภท: Arms Unit"""
AchieveAddonLeg#0,"""ประเภท: Legs Unit"""
AchieveRecipeNoLevel#0,"""ไม่ตั้งเงื่อนไข"""
AchieveRecipeLevel#0,"""เป็น Recipe ที่สามารถเรียนรู้ได้เมื่อมี Craft Level ถึงระดับ $(0)"""
AchieveExtendNoLevel#0,"""ไม่ตั้งเงื่อนไข"""
AchieveExtendLevel#0,"""Perfect Extend Level: $(0) ขึ้นไป"""
AchieveWeaponRareAll#0,"""ไม่ตั้งเงื่อนไข"""
AchieveWeapon1_3#0,"""Rarity Rare 1 - Rare 3"""
AchieveWeapon4_6#0,"""Rarity Rare 4 - Rare 6"""
AchieveWeapon7_9#0,"""Rarity Rare 7 - Rare 9"""
AchieveWeapon10#0,"""Rarity Rare 10"""
AchieveWeapon11#0,"""Rarity Rare 11"""
AchieveWeapon12#0,"""Rarity Rare 12"""
AchieveWeapon13#0,"""Rarity Rare 13"""
AchieveWeapon14#0,"""Rarity Rare 14"""
AchieveWeapon15#0,"""Rarity Rare 15"""
AchieveAddonAll#0,"""ไม่ตั้งเงื่อนไข"""
AchieveAddonStrike#0,"""ประเภท: Melee Defense"""
AchieveAddonFirearm#0,"""ประเภท: Range Defense"""
AchieveAddonTechnic#0,"""ประเภท: Magic Defense"""
AchieveResultAll#0,"""ไม่ตั้งเงื่อนไข"""
AchieveResultSuccess#0,"""เงื่อนไข: เฉพาะ Great Success !"""
AchieveMakeAll#0,"""ไม่ตั้งเงื่อนไข"""
AchieveMakeReceive#0,"""Craft ตามคำจ้างวาน"""
AchieveNumber#0,"""สำเร็จ: $(0)/ $(1)"""
CategoryTabForwardText#0,"""สลับไปยัง"""
CategoryTabForward#0,"""<pict Sign_SQUARE>"""
DetailTabForward#0,"""<%NextTabDetails>"""
AchieveIconLevel#0,"""Lv. $(0)"""
LevelCheckTitle#0,"""โปรดตรวจสอบให้แน่ใจก่อนทำการ Extend ไอเทมที่มีมูลค่าสูง"""
LevelCheckMessage#0,"""อุปกรณ์ที่ถูกเลือกนี้ มีค่าความสามารถสูงกว่าระดับปกติอย่างมาก<br>แม้นำไปผ่านการ Extend เพื่อเพิ่มระดับ Extend Level<br>มีความเป็นไปได้ที่สุดท้ายค่าความสามารถ<yellow>จะไม่สูงไปกว่าปัจจุบัน<c><br><br>ทว่า การ Extend จะช่วยให้ค่าพลังที่ต้องการสำหรับสวมใส่อุปกรณ์ลดลง<br>ช่วยให้สามารถสวมใส่ได้โดยต้องการค่าพลังน้อยกว่าปกติ<br><br>ยืนยันที่จะดำเนินการ Extend อุปกรณ์ชิ้นนี้หรือไม่?"""
Craft#1,"""クラフト"""
MenuExtend#1,"""武装エクステンド"""
MenuCustomize#1,"""テクニックカスタマイズ"""
MenuMaterialComp#1,"""-----"""
MenuItemDecomp#1,"""アイテム分解"""
MenuFarm#1,"""-----"""
MenuMakePotion#1,"""-----"""
MenuEnchant#1,"""時限能力インストール"""
MenuStampCreate#1,"""データドライブを更新"""
MenuStampItemCreate#1,"""時限能力データ作成"""
MenuRemoveRecipe#1,"""登録を解除"""
Item#1,"""アイテム"""
ItemDetails#1,"""アイテム詳細"""
RecipeSelect#1,"""クラフトレシピ選択"""
Material#1,"""必要素材"""
ItemExtend#1,"""武装エクステンド"""
CraftsmanDetails#1,"""クラフター詳細"""
SupportItem1#1,"""補助アイテム1"""
SupportItem2#1,"""補助アイテム2"""
SupportItem3#1,"""補助アイテム3"""
ExtendContents#1,"""武装エクステンド内容"""
Chapter#1,"""変化ステータス"""
Before#1,"""補助使用前"""
After#1,"""補助使用後"""
CharacterName#1,"""キャラクター名"""
OrderReceivedRecipe#3,"""受注できるクラフトレシピ"""
Advertisement#3,"""広告"""
ExtendLevel#1,"""エクステンドレベル"""
EquipClass#1,"""装備可能クラス"""
EquipCondition#1,"""装備可能条件"""
Result#1,"""武装エクステンド結果"""
CraftLineReturn#1,"""クラフトライン選択に戻る"""
OrderListReturn#3,"""依頼リストに戻る"""
ExplainTop#1,"""<c f0df60>装備品やテクニックの性能を調整したり、アイテム分解で素材を得ることができます。<c>"""
ExplainLineSelect#1,"""<c f0df60>クラフトの実行には「クラフトライン」を１つ使用します。最大９ライン使用できます。<c>"""
ExplainExtendItemSelect#1,"""<c f0df60>武装エクステンドで性能を調整したい武器、またはユニットを選択してください。<c>"""
ExplainExtendRecipeSelect#1,"""<c f0df60>高レベルレシピでエクステンドレベルを上げるか、同レベルで装備条件緩和を狙えます。<c>"""
ExplainExtendConfirm#1,"""<c f0df60>武装エクステンドの最終確認画面です。補助アイテムで装備条件緩和などが可能です。<c>"""
FriendRegistration#3,"""フレンド登録済み"""
TeamMember#1,"""チームメンバー"""
MaterialListItem#1,"""$(0) × $(1)\u3000（現在：$(2)）"""
MaterialListItemOrder#1,"""$(0) × $(1)"""
MaterialListMeseta#1,"""$(0)メセタ\u3000（現在：$(1)）"""
MaterialListMesetaOrder#1,"""$(0)メセタ"""
ExtendConfirmNeedStatus#1,"""$(0)$(1)"""
ExtendNoRecipe#1,"""クラフトレシピがありません"""
ExtendConfirmMessage#1,"""武装エクステンドを実行します。よろしいですか？<br><br>※未登録時は自動的に<yellow>オーナー登録<c>が行われ、<br>\u3000他のプレイヤーと取り引き不可になります。<br>※装備条件の緩和状態は<yellow>リセットされます。<c><br><br>発生クールタイム：$(0)"""
ExtendConfirmMessageSameLevel#1,"""武装エクステンドを実行します。<br>よろしいですか？<br><br>※エクステンドレベルが同じであるため、<br>\u3000<c ff007f>「大成功！」<c>の発生確率が上昇します。<br><br>発生クールタイム：$(0)"""
ExtendSuccessMessage#1,"""武装エクステンドに <green>成功<c> しました。"""
ExtendSuccessOwnerMessage#1,"""武装エクステンドに <green>成功<c> しました。<br><yellow>オーナー登録が完了<c>しました。"""
ExtendSpecialSuccessMessage#1,"""武装エクステンドに <c ff007f>大成功！<c> しました。<br>以下の制限が緩和されました。"""
ExtendSpecialSuccessOwnerMessage#1,"""武装エクステンドに <c ff007f>大成功！<c> しました。<br><yellow>オーナー登録が完了<c>しました。<br>以下の制限が緩和されました。"""
ExtendResetConfirmMessage#1,"""エクステンドレベルをリセットして<br>アイテムが本来持つ元のステータスに戻します。<br>よろしいですか？<br><br><yellow>※リセットしても使用した素材や費用は戻りません。<br>※エクステンド時に発生したオーナー登録は<br>\u3000解除されません。ご注意ください。<br>※クラフト実績にカウントされません。<c><br><br>発生クールタイム：$(0)"""
ExtendResetConfirmMessage2#1,"""選択したアイテムを本当にリセットしても<br>よろしいですか？"""
ExtendResetMessage#1,"""武装エクステンドをリセットしました。"""
ExtendResetTitle#1,"""武装エクステンドリセット"""
CraftAchievementTitle#1,"""実績解除"""
CraftAchievementMessage#1,"""$(0)の実績が<br>$(1)個解除されました。<br><br>マイルーム端末かビジフォンの<br>「クラフト」＞「クラフト実績」から<br>次のクラフトレベルアップに必要な実績数を<br>確認することができます。"""
CraftLevelUpMessage#1,"""<yellow>$(0)<c>のクラフトレベルが <yellow>$(1)<c> になりました。"""
GetCraftRecipeMessage#1,"""以下のレシピを習得しました。"""
Rarity#1,"""レアリティ"""
Element#1,"""特殊能力"""
ReviseParameter#1,"""パラメーター補正"""
FullSizeTitleExtend#1,"""武装エクステンド"""
FullSizeTitleTechnicCustomize#1,"""テクニックカスタマイズ"""
FullSizeTitleMaterialComp#1,"""-----"""
FullSizeTitleDecomp#1,"""アイテム分解"""
FullSizeTitleFarm#1,"""-----"""
FullSizeTitleMakePotion#1,"""-----"""
FullSizeTitleEnchant#1,"""時限能力インストール"""
FullSizeTitleCreateStamp#1,"""データドライブを更新"""
FullSizeTitleCreateStampItem#1,"""時限能力データ作成"""
RecipeSelectItemErrorMessage#1,"""必要素材が不足しています。<br><br>素材アイテムは、クラフトの「アイテム分解」で<br>レアリティ★７以上の武器やユニット、または<br>Lv.11以上のＰＡ／テクニックディスクを<br>分解することで入手できます。"""
RecipeSelectItemErrorMessage2#1,"""必要素材が不足しています。"""
RecipeSelectMesetaErrorMessage#1,"""必要メセタが不足しています。"""
MenuTitleRecipe#1,"""習得クラフトレシピ"""
TabTitleWeapon1_3#1,"""武器 ★1～★3"""
TabTitleWeapon4_6#1,"""武器 ★4～★6"""
TabTitleWeapon7_9#1,"""武器 ★7～★9"""
TabTitleWeapon10#1,"""武器 ★10"""
TabTitleWeapon11#1,"""武器 ★11"""
TabTitleWeapon12#1,"""武器 ★12"""
TabTitleWeapon13#1,"""武器 ★13"""
TabTitleWeapon14#1,"""武器 ★14"""
TabTitleWeapon15#1,"""武器 ★15"""
TabTitleAddonDFStrike#1,"""ユニット 必要打撃防御"""
TabTitleAddonDFFirearm#1,"""ユニット 必要射撃防御"""
TabTitleAddonDFTechnic#1,"""ユニット 必要法撃防御"""
EquipTypeWeaponStrike#1,"""打撃系武器"""
EquipTypeWeaponFirearm#1,"""射撃系武器"""
EquipTypeWeaponTechnic#1,"""法撃系武器"""
EquipTypeAddonBack#1,"""リアユニット"""
EquipTypeAddonArm#1,"""アームユニット"""
EquipTypeAddonLeg#1,"""レッグユニット"""
RemoveNoEffectSupportItemMessage#1,"""効果のない補助アイテムは使用しませんでした。"""
AchieveAll#1,"""条件なし"""
AchieveWeapon#1,"""カテゴリ： 武器"""
AchieveWeaponStrike#1,"""カテゴリ： 打撃系武器"""
AchieveWeaponFirearm#1,"""カテゴリ： 射撃系武器"""
AchieveWeaponTechnic#1,"""カテゴリ： 法撃系武器"""
AchieveAddonUnit#1,"""カテゴリ： ユニット"""
AchieveAddonBack#1,"""カテゴリ： リアユニット"""
AchieveAddonArm#1,"""カテゴリ： アームユニット"""
AchieveAddonLeg#1,"""カテゴリ： レッグユニット"""
AchieveRecipeNoLevel#1,"""条件なし"""
AchieveRecipeLevel#1,"""クラフトレベル$(0)以上で解放されるクラフトレシピ"""
AchieveExtendNoLevel#1,"""条件なし"""
AchieveExtendLevel#1,"""完成品エクステンドレベル： $(0)以上"""
AchieveWeaponRareAll#1,"""条件なし"""
AchieveWeapon1_3#1,"""レアリティ： ★1～★3"""
AchieveWeapon4_6#1,"""レアリティ： ★4～★6"""
AchieveWeapon7_9#1,"""レアリティ： ★7～★9"""
AchieveWeapon10#1,"""レアリティ： ★10"""
AchieveWeapon11#1,"""レアリティ： ★11"""
AchieveWeapon12#1,"""レアリティ： ★12"""
AchieveWeapon13#1,"""レアリティ： ★13"""
AchieveWeapon14#1,"""レアリティ： ★14"""
AchieveWeapon15#1,"""レアリティ： ★15"""
AchieveAddonAll#1,"""条件なし"""
AchieveAddonStrike#1,"""装備条件： 打撃防御"""
AchieveAddonFirearm#1,"""装備条件： 射撃防御"""
AchieveAddonTechnic#1,"""装備条件： 法撃防御"""
AchieveResultAll#1,"""条件なし"""
AchieveResultSuccess#1,"""結果条件： 大成功！ のみ"""
AchieveMakeAll#1,"""条件なし"""
AchieveMakeReceive#1,"""依頼からクラフトする"""
AchieveNumber#1,"""達成数： $(0)/ $(1)"""
CategoryTabForwardText#1,"""で切替"""
CategoryTabForward#1,"""<pict Sign_SQUARE>"""
DetailTabForward#1,"""<%NextTabDetails>"""
AchieveIconLevel#1,"""レベル$(0)"""
LevelCheckTitle#1,"""高性能な装備品の武装エクステンドに関する注意"""
LevelCheckMessage#1,"""選択された装備品は、本来の性能が非常に高いため<br>武装エクステンドでエクステンドレベルを上げても、<br>最終的な威力が<yellow>本来の性能を上回らない<c>可能性が<br>あります。<br><br>ただし、最終的な装備条件の必要値については<br>本来の必要値より緩和されますので、<br>武装エクステンドにより、装備しやすくなります。<br><br>この装備品を武装エクステンドしてよろしいですか？"""
CraftInfo#0,"""ข้อมูลการ Craft"""
Search#0,"""เลือกวิธีการค้นหา"""
SearchConstituent#0,"""เลือกตัวช่วยค้นหา"""
SearchOrderWorkman#0,"""เลือกตัวละครที่สั่ง Craft"""
Technic#0,"""เลือก Photon Magic"""
CustomizeType#0,"""เลือกรูปแบบการ Customize"""
SearchExtend#0,"""ค้นหา Equipment Extend"""
SearchCustomize#0,"""ค้นหา Technic Custommize"""
SearchMaterialComp#0,"""-----"""
SearchItemDecomp#0,"""-----"""
SearchFarm#0,"""-----"""
SearchMakePotion#0,"""-----"""
SearchEnchant#0,"""ค้นหา Ability Install"""
SearchItem#0,"""ค้นหาจากของที่มี"""
SearchRecipe#0,"""ค้นหาจาก Craft Recipe"""
CharacterName#2,"""ชื่อตัวละคร"""
Acquire#0,"""เฉพาะที่เรียนรู้แล้ว"""
AcquireVita#0,"""เฉพาะที่เรียนรู้แล้ว <pict Sign_Square>"""
FullSize_Title_CraftSearchTarget#0,"""ค้นหา Crafter"""
FullSize_Title_CraftSearchType#0,"""ค้นหา Crafter"""
FullSize_Title_CraftSearchExtend#0,"""ค้นหา Equipment Extend"""
FullSize_Title_CraftSearchTechnic#0,"""ค้นหา Technic Custommize"""
FullSize_Title_CraftSearchMaterial#0,"""ค้นหา Crafter"""
FullSize_Title_CraftSearchPotion#0,"""ค้นหา Crafter"""
FullSize_Title_CraftSearchEnchant#0,"""ค้นหา Crafter"""
FullSize_Title_CraftSearchRecipe#0,"""ดูข้อมูล Recipe ที่เรียนรู้"""
FullSize_Title_CraftSearchAchievement#0,"""ยอดการผลิต"""
FullSize_Title_CraftSearchBonus#0,"""Craft License"""
FullSize_Title_CraftSearchStampList#0,"""ดูข้อมูล Data Drive"""
FullSize_Help_CraftSearchTarget#0,"""<c f0df61>ค้นหาตัวละครที่มี Craft Recipe ตรงตามเงื่อนไข<c>"""
FullSize_Help_CraftSearchType#0,"""<c f0df61>ค้นหาตัวละครที่มี Craft Recipe ตรงตามเงื่อนไข<c>"""
FullSize_Help_CraftSearchExtend#0,"""<c f0df61>ค้นหาตัวละครที่มี Equipment Extend ตรงตามเงื่อนไข<c>"""
FullSize_Help_CraftSearchTechnic#0,"""<c f0df61>ค้นหาตัวละครที่มี Technic Customize ตรงตามเงื่อนไข<c>"""
FullSize_Help_CraftSearchMaterial#0,"""<c f0df61>ค้นหาตัวละครที่มี Craft Recipe ตรงตามเงื่อนไข<c>"""
FullSize_Help_CraftSearchPotion#0,"""<c f0df61>ค้นหาตัวละครที่มี Craft Recipe ตรงตามเงื่อนไข<c>"""
FullSize_Help_CraftSearchEnchant#0,"""<c f0df61>ค้นหาตัวละครที่มี Craft Recipe ตรงตามเงื่อนไข<c>"""
FullSize_Help_CraftSearchRecipe#0,"""<c f0df61>สามารถดูข้อมูล Recipe ที่เรียนรู้แล้วได้เรียนรู้ Recipe ได้จากการปลดล็อคยอดการผลิต<c>"""
FullSize_Help_CraftSearchAchievement#0,"""<c f0df61>สามารถเพิ่มระดับ Craft Level ได้จากการปลดล็อคยอดการผลิตในหมวดต่างๆ<c>"""
FullSize_Help_CraftSearchBonus#0,"""<c f0df61>สามารถดูข้อมูลโบนัสจาก Craft License ที่ได้รับเมื่อเพิ่มระดับ Craft Level สำเร็จได้<c>"""
FullSize_Help_CraftSearchStampList#0,"""<c f0df61>สามารถดูข้อมูลของ Data Drive ที่ครอบครองได้<c>"""
Craft_List_Nothing#0,"""ไม่พบตัวละครที่ตรงตามเงื่อนไข"""
Craft_List_Error#0,"""ไม่สามารถเรียกข้อมูลตัวละครที่ตรงตามเงื่อนไข"""
RoomMove_Title#0,"""ยืนยันการเคลื่อนย้ายสู่ My Room"""
RoomMove_Cant#0,"""ขณะนี้ ได้อยู่ใน My Room ของเป้าหมายแล้ว<br><br>ไปยัง <yellow>My Room Console<c> ในห้องและเลือกหัวข้อ <yellow>[Craft]<c> เพื่อดำเนินการสั่ง Craft<br>เมื่อเลือก [ใบสั่ง Craft] ที่ยังไม่ถูกใช้งาน<br>จะสามารถเลือกตัวละครที่จะสั่ง Craft ได้"""
RoomMove_Message#0,"""ไปยัง My Room ของ [$(0)] เพื่อดำเนินการสั่ง Craft<br>ต้องการดำเนินการต่อหรือไม่?<br><br>ในกรณีที่ต้องทำการย้าย Block<br>ตัวละครจะออกจากปาร์ตี้โดยอัตโนมัติ<br>และภารกิจที่ปฏิบัติอยู่จะถูกยกเลิกทันที<br><br>และในกรณีที่ได้รับสถานะพิเศษจากภารกิจ<br>สถานะพิเศษนั้นจะหายไป<br><br>*หลังทำการเคลื่อนย้าย สามารถไปยัง <yellow>My Room Console<c> ในห้องนั้น เพื่อดำเนินการสั่ง Craft ได้"""
RoomMoveInMyRoom_Message#0,"""ไปยัง My Room ของ [$(0)] เพื่อดำเนินการสั่ง Craft<br>ต้องการดำเนินการต่อหรือไม่?<br><br>*หลังทำการเคลื่อนย้าย สามารถไปยัง <yellow>My Room Console<c> ในห้องนั้น เพื่อดำเนินการสั่ง Craft ได้"""
RoomMove_Result_Title#0,"""ผลการเคลื่อนย้ายไปยัง My Room"""
RoomMove_Result_OK#0,"""เคลื่อนย้ายไปยัง My Room สำเร็จ"""
RoomMove_Result_DB#0,"""เคลื่อนย้ายไปยัง My Room ล้มเหลว<br>เนื่องจากเกิดข้อผิดพลาดจากฐานข้อมูล"""
RoomMove_Result_SystemError#0,"""เคลื่อนย้ายไปยัง My Room ล้มเหลว<br>เนื่องจากเกิดข้อผิดพลาดจากระบบ"""
RoomMove_Result_Error#0,"""เคลื่อนย้ายไปยัง My Room ล้มเหลว"""
CraftInfo#1,"""クラフト情報"""
Search#1,"""検索方法の選択"""
SearchConstituent#1,"""検索対象の選択"""
SearchOrderWorkman#1,"""発注キャラクター選択"""
Technic#1,"""テクニック選択"""
CustomizeType#1,"""カスタマイズタイプ選択"""
SearchExtend#1,"""武装エクステンドで探す"""
SearchCustomize#1,"""テクニックカスタマイズで探す"""
SearchMaterialComp#1,"""-----"""
SearchItemDecomp#1,"""-----"""
SearchFarm#1,"""-----"""
SearchMakePotion#1,"""-----"""
SearchEnchant#1,"""時限能力インストールで探す"""
SearchItem#1,"""所持品から検索"""
SearchRecipe#1,"""クラフトレシピから検索"""
CharacterName#3,"""キャラクター名"""
Acquire#1,"""習得済のみ"""
AcquireVita#1,"""<pict Sign_SQUARE>習得済のみ"""
FullSize_Title_CraftSearchTarget#1,"""クラフター検索"""
FullSize_Title_CraftSearchType#1,"""クラフター検索"""
FullSize_Title_CraftSearchExtend#1,"""武装エクステンド検索"""
FullSize_Title_CraftSearchTechnic#1,"""テクニックカスタマイズ検索"""
FullSize_Title_CraftSearchMaterial#1,"""クラフター検索"""
FullSize_Title_CraftSearchPotion#1,"""クラフター検索"""
FullSize_Title_CraftSearchEnchant#1,"""クラフター検索"""
FullSize_Title_CraftSearchRecipe#1,"""習得クラフトレシピ確認"""
FullSize_Title_CraftSearchAchievement#1,"""クラフト実績"""
FullSize_Title_CraftSearchBonus#1,"""クラフトライセンス"""
FullSize_Title_CraftSearchStampList#1,"""データドライブを確認"""
FullSize_Help_CraftSearchTarget#1,"""<c f0df61>条件に合うクラフトレシピを登録しているキャラクターを検索します。<c>"""
FullSize_Help_CraftSearchType#1,"""<c f0df61>条件に合うクラフトレシピを登録しているキャラクターを検索します。<c>"""
FullSize_Help_CraftSearchExtend#1,"""<c f0df61>武装エクステンドのクラフトレシピを登録しているキャラクターを検索します。<c>"""
FullSize_Help_CraftSearchTechnic#1,"""<c f0df61>テクニックカスタマイズのクラフトレシピを登録しているキャラクターを検索します。<c>"""
FullSize_Help_CraftSearchMaterial#1,"""<c f0df61>条件に合うクラフトレシピを登録しているキャラクターを検索します。<c>"""
FullSize_Help_CraftSearchPotion#1,"""<c f0df61>条件に合うクラフトレシピを登録しているキャラクターを検索します。<c>"""
FullSize_Help_CraftSearchEnchant#1,"""<c f0df61>条件に合うクラフトレシピを登録しているキャラクターを検索します。<c>"""
FullSize_Help_CraftSearchRecipe#1,"""<c f0df61>習得したクラフトレシピを確認できます。レシピはクラフト実績の解除で習得します。<c>"""
FullSize_Help_CraftSearchAchievement#1,"""<c f0df61>クラフトレベルは、様々な種類のクラフト実績を解除することで上げることができます。<c>"""
FullSize_Help_CraftSearchBonus#1,"""<c f0df61>クラフトレベルアップで得たクラフトライセンスと、そのボーナス効果を確認できます。<c>"""
FullSize_Help_CraftSearchStampList#1,"""<c f0df61>所持しているデータドライブを確認できます。<c>"""
Craft_List_Nothing#1,"""該当キャラクターがいません"""
Craft_List_Error#1,"""該当キャラクターを取得できません"""
RoomMove_Title#1,"""マイルーム移動確認"""
RoomMove_Cant#1,"""現在、目的のマイルームにいます。<br><br>クラフトを発注するためには、この部屋の<br><yellow>マイルーム端末<c>から<yellow>「クラフト」<c>を選択し、<br>あなたが未使用の「発注書」を選ぶと、<br>発注するキャラクターを選択できます。"""
RoomMove_Message#1,"""発注を行うため、<br>「$(0)」の<br>マイルームに移動します。よろしいですか？<br><br>ブロックを移動すると、参加している<br>パーティーから自動的に脱退し、<br>受注中のクエストも破棄されます。<br><br>また、クエストを受けている場合、<br>クエスト内で得られる効果も<br>消えてしまいます。<br><br>※移動後、<yellow>その部屋のマイルーム端末<c>から<br>\u3000各種クラフトの発注を行うことができます。"""
RoomMoveInMyRoom_Message#1,"""発注を行うため、<br>「$(0)」の<br>マイルームに移動します。よろしいですか？<br><br>※移動後、<yellow>その部屋のマイルーム端末<c>から<br>\u3000各種クラフトの発注を行うことができます。"""
RoomMove_Result_Title#1,"""マイルーム移動結果"""
RoomMove_Result_OK#1,"""マイルームの移動に成功しました。"""
RoomMove_Result_DB#1,"""データベースエラーにより、<br>マイルームの移動に失敗しました。"""
RoomMove_Result_SystemError#1,"""システムエラーにより、<br>マイルームの移動に失敗しました。"""
RoomMove_Result_Error#1,"""マイルームの移動に失敗しました。"""
ResultInfo#0,"""ข้อมูลยอดการผลิต"""
CraftResult#0,"""ยอดการผลิต"""
CraftLine#0,"""เลือก Craft Line ที่ต้องการใช้"""
CraftRecipe#0,"""ดูข้อมูล Recipe ที่เรียนรู้"""
ResultFavor#0,"""โบนัสปลดล็อคยอดการผลิต"""
ResultCondition#0,"""เงื่อนไขปลดล็อคยอดการผลิต"""
Level#0,"""จำนวนที่ต้องการเพื่อ Level Up:"""
ResultNum#0,"""ยอดการผลิตที่ปลดล็อคเสร็จสิ้น:"""
Charge#0,"""อยู่ระหว่าง Cooldown"""
Line#0,"""สามารถสร้างได้"""
Lock#0,"""ยังไม่สามารถใช้งานได้"""
Expire#0,"""หมดระยะเวลา"""
Line01#0,"""Basic Line 01"""
Line02#0,"""Basic Line 02"""
Line03#0,"""Basic Line 03"""
PremiumLine01#0,"""Premium Line 04"""
PremiumLine02#0,"""Premium Line 05"""
PremiumLine03#0,"""Premium Line 06"""
ExpansionLine01#0,"""Ex Line 07"""
ExpansionLine02#0,"""Ex Line 08"""
ExpansionLine03#0,"""Ex Line 09"""
PremiumRelease#0,"""สามารถเปิดใช้ด้วย Premium"""
ACRelease#0,"""สามารถเปิดใช้ด้วย AC"""
ConditionRelease#0,"""ดูเงื่อนไขในการเปิดใช้"""
Shortening#0,"""สามารถย่นระยะเวลา"""
NotReleaseMessage#0,"""Craft Line นี้ไม่สามารถใช้งานได้<br>เนื่องจากยังไม่ได้ทำการเปิดใช้"""
NotReleaseConditionMessage#0,"""Basic Line นี้ไม่สามารถใช้งานได้<br>เนื่องจากยังไม่เปิดให้ใช้<br>สามารถเปิดใช้ได้เมื่อ Craft Level ถึงระดับ $(0)"""
ChargeMessage#0,"""ไม่สามารถลด Cooldownได้<br>เนื่องจากไม่มี [Lilipalium]<br><br>[Lilipalium] สามารถหาได้จากเควสท์หรือ AC Shop<br>ยิ่งมีขนาดใหญ่ ยิ่งลด Cooldown ได้มาก"""
AddLineDisableMessage#0,"""ไม่สามารถใช้ Craft Line นี้ได้<br>สามารถทำการซื้อเพื่อใช้งาน $(0)"""
LineChargeTimeRemain#0,"""ใช้เวลาอีก: $(0)"""
LineChargeTimeSecond#0,"""อีก 1 นาที"""
ChargeItemUseConfirmMessage#0,"""<pict Arcscash><c 5fdf00>ใช้งานไอเทมที่ซื้อแล้ว<c><br>เมื่อใช้ [Lilipalium] จะสามารถลด Cooldown ได้<br><br>[Lilipalium] สามารถหาได้จากเควสท์หรือ AC Shop<br>ยิ่งมีขนาดใหญ่ ยิ่งลด Cooldown ได้มาก<br><br>ต้องการเลือกขนาดของ [Lilipalium] เพื่อลด Cooldown หรือไม่?"""
ChargeItemSelectTitle#0,"""เลือกไอเทมเพื่อลด Cooldown"""
ChargeItemSelectMessage#0,"""เลือก [Lilipalium] ที่ต้องการใช้งาน"""
SelectChargeItemUseConfirmMessage#0,"""ดำเนินการใช้ $(0) เพื่อลด Cooldown<br>ยืนยันการใช้งานหรือไม่?"""
