HELLO_FAV4#0,"""กำลังรออยู่เลย"""
GOTOEXP_FAV3#16,"""เข้าใจแล้ว <br>ข้าจะพยายาม!"""
GOTOEXP_FAV2#16,"""อือ รับทราบ<br>งั้นไปก่อนล่ะนะ"""
GOTOEXP_FAV1#16,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#16,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#16,"""อ่า กำลังรออยู่เลย!<br>มีรายงานที่อยากจะรีบแจ้งท่านน่ะ!"""
HELLO_REPORT_FAV3#16,"""ช่วยฟังรายงานของข้าหน่อยได้ไหม?"""
HELLO_REPORT_FAV2#16,"""ขอแจ้งรายงานหน่อยได้ไหม?"""
HELLO_REPORT_FAV1#16,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#16,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#16,"""ยินดีต้อนรับ"""
GOODBYE_OTHER#16,"""แล้วมาได้อีกทุกเมื่อเลยนะ"""
HELLO_FAV4#17,"""ふふっ、待ってたよ。<br>今日はどんな話をする？"""
HELLO_FAV3#17,"""大丈夫？\u3000ケガとかしてない？"""
HELLO_FAV2#17,"""ボクは元気だよ"""
HELLO_FAV1#17,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#17,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#17,"""え、もう行っちゃうの？<br>……でも、しょうがないか。<br>うん、頑張ってきてね！"""
GOODBYE_FAV3#17,"""ボクのことなら心配いらないよ。<br>気をつけて、いってらっしゃい"""
GOODBYE_FAV2#17,"""いってらっしゃい"""
GOODBYE_FAV1#17,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#17,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#17,"""きみのためになるなら……<br>ボク、なんだってやってみせるよ！"""
GOTOEXP_FAV3#17,"""わかった。<br>ボク、がんばる！"""
GOTOEXP_FAV2#17,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
GOTOEXP_FAV1#17,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#17,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#17,"""あ、待ってたよ！<br>きみに早く報告したかったんだ！"""
HELLO_REPORT_FAV3#17,"""ボクの報告、聞いてくれる？"""
HELLO_REPORT_FAV2#17,"""報告、してもいい？"""
HELLO_REPORT_FAV1#17,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#17,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#17,"""ようこそ"""
GOODBYE_OTHER#17,"""また、いつでもどうぞ"""
