Category_All#0,"""すべて"""
Label_EstheOptionCharaHRotate#0,"""キャラクター回転方向の反転"""
Label_DiamondSlider_Guide#0,"""\""$(0)\""の頂点を選択することで調整できます。"""
Label_LayeringWearHem#0,"""腰回りの衣服の広がり"""
Label_Toon_DisplayTitle#0,"""キャラクターのトゥーン表示"""
Label_Toon_Display#0,"""現在のキャラクターのトゥーン表示"""
Label_Toon_Outline#0,"""輪郭の強調"""
Label_Toon_DepthSadow#0,"""影の濃度"""
Label_EstheOptionCoordinate#0,"""表示設定"""
Label_EstheOptionCoordinateText#0,"""調整項目の数値表示"""
Label_EstheOptionCameraZoom#0,"""編集時のカメラ設定"""
Label_EstheOptionCameraZoomText#0,"""自動的にカメラ位置を変更しない"""
Label_Next#0,"""決定"""
Label_Back#0,"""戻る"""
Label_EditCheck#0,"""編集内容確認"""
Label_FixedChange#0,"""変更を確定"""
Label_CancelChange#0,"""変更せず戻る"""
Label_OK#0,"""決定"""
Label_Cancel#0,"""キャンセル"""
Label_Next_NoTag#0,"""決定"""
Label_Back_NoTag#0,"""戻る"""
Label_EditCheck_NoTag#0,"""編集内容確認"""
Label_FixedChange_NoTag#0,"""変更を確定"""
Label_CancelChange_NoTag#0,"""変更せず戻る"""
Label_OK_NoTag#0,"""決定"""
Label_Cancel_NoTag#0,"""キャンセル"""
Label_NotFoundItems#0,"""選択できる項目がありません"""
Tab_All#0,"""すべて"""
Tab_ItemPack#0,"""アイテムパック"""
Tab_Warehouse#0,"""キャラ倉庫"""
Tab_Favorite#0,"""お気に入り"""
Tab_Accessory_All#0,"""すべてのアクセサリー"""
Tab_Accessory_New#0,"""新規入手"""
Tab_Accessory_History#0,"""選択したアクセサリーの履歴"""
Tab_Accessory_00#0,"""頭部上段"""
Tab_Accessory_01#0,"""頭部中段"""
Tab_Accessory_02#0,"""頭部小物"""
Tab_Accessory_03#0,"""その他"""
Tab_Accessory_Head#0,"""頭"""
Tab_Accessory_Hair#0,"""髪・耳"""
Tab_Accessory_Face#0,"""顔"""
Tab_Accessory_Body#0,"""首・胴"""
Tab_Accessory_Back#0,"""背"""
Tab_Accessory_Arm#0,"""腕"""
Tab_Accessory_Leg#0,"""脚"""
Message_DifferentBodyType#0,"""現在の体型タイプでは設定できないアイテムが選択されました。<br>体型タイプごと変更してよろしいですか？<br><yellow>※体型タイプを変更すると、以下の項目の中で<br>タイプに合わない項目は初期化されます。<c><br>・肌<br>・ボディペイント1、2<br>・レイヤリングウェア（ベース、アウター、インナー）<br>・キャストパーツ（ボディ、アーム、レッグ）<br>・コスチューム"""
Message_UnableEdit#0,"""選択中のファッションアイテムは、この編集項目に対応していません。"""
Button_Skip_ClassSelect#0,"""スキップしてクラス選択へ"""
Sort_Esthetic1#0,"""標準ソート"""
Sort_Esthetic2#0,"""体型タイプ1のみ"""
Sort_Esthetic3#0,"""体型タイプ2のみ"""
Sort_Esthetic4#0,"""キャストタイプ1のみ"""
Sort_Esthetic5#0,"""キャストタイプ2のみ"""
Sort_Esthetic6#0,"""『NGS』モデルのみ"""
Sort_Esthetic7#0,"""『PSO2』モデルのみ"""
Sort_Esthetic8#0,"""体型タイプ1：ベースウェアのみ"""
Sort_Esthetic9#0,"""体型タイプ1：セットウェアのみ"""
Sort_Esthetic10#0,"""体型タイプ2：ベースウェアのみ"""
Sort_Esthetic11#0,"""体型タイプ2：セットウェアのみ"""
Sort_Esthetic12#0,"""フルセットウェアのみ"""
Hint_Common#0,"""選択中の項目を編集できます"""
Effect_Normal#0,"""通常"""
Effect_Cast#0,"""キャスト"""
Popup_HairOFF#0,"""<%TabBack>でヘアスタイルの表示/非表示を切り替えます。"""
Popup_CostumeOFF#0,"""<%TabForward>でコスチュームの表示/非表示を切り替えます。"""
Popup_Redo#0,"""<swguidetype Redo>で１つ次の状態に進みます。"""
Popup_Undo#0,"""<swguidetype Undo>で１つ前の状態に戻します。"""
Headparts#0,"""ヘッドパーツ"""
Legparts#0,"""レッグパーツ"""
Bodyparts#0,"""ボディーパーツ"""
Armparts#0,"""アームパーツ"""
Key_Reset#0,"""リセット"""
Key_Normal#0,"""通常"""
Key_Smile#0,"""笑顔"""
Key_Anger#0,"""怒り"""
Key_Sad#0,"""悲しみ"""
Key_Distrust#0,"""不信感"""
Key_CloseEye#0,"""目閉じ"""
Key_Smile2#0,"""笑顔2"""
Key_Wink#0,"""ウインク"""
Title_BodyTypeSelect#0,"""体型タイプ選択"""
Label_BodyType_Male#0,"""ヒト型タイプ１"""
Label_BodyType_Female#0,"""ヒト型タイプ２"""
Label_BodyType_CastMale#0,"""キャストタイプ１"""
Label_BodyType_CastFemale#0,"""キャストタイプ２"""
Label_Notice#0,"""<yellow>※体型タイプを変更すると、以下の項目の中で<br>タイプに合わない項目は初期化されます。<c><br>・肌<br>・ボディペイント1、2<br>・レイヤリングウェア（ベース、アウター、インナー）<br>・キャストパーツ（ボディ、アーム、レッグ）<br>・コスチューム"""
Title_CheckEditItem#0,"""編集内容確認"""
Label_Notice#1,"""編集した内容の一覧です。<br>チェックをはずすことで<br>編集を取り消すことができます。"""
Label_NotEdited#0,"""編集した項目はありません"""
Label_Reflect#0,"""反映"""
Label_Cancel#1,"""キャンセル"""
Label_Red#0,"""R"""
Label_Green#0,"""G"""
Label_Blue#0,"""B"""
Button_Slider_Left#0,"""<%ChangeCtrlWindowForward>"""
Button_Slider_Right#0,"""<%MultiSelect>"""
Label_Preference#0,"""フィールドの設定"""
Label_Field#0,"""フィールド"""
Label_Weather#0,"""天候"""
Label_TimePreference#0,"""時間設定"""
Label_TimeCount#0,"""$(0):$(1)"""
Label_TimeGuide#0,"""1時間単位で変更：<%Decide>を押しながら<swguidetype T_ItemWarehouse>"""
Esthe#0,"""エステ画面"""
CentralCity#0,"""セントラルシティ"""
AelioGrassland#0,"""ハルファナ平原"""
AelioMarshland#0,"""ハルファナ湿原"""
RetemCentral#0,"""中央リテム"""
Fine#0,"""晴れ"""
Cloudy#0,"""曇り"""
Rainy#0,"""雨"""
Fog#0,"""霧"""
Title_VoiceSelect#0,"""ボイス選択"""
Label_NowVoice#0,"""$(0)"""
Label_PlayVoice#0,"""$(0)<pict 4space>再生"""
Label_Pitch#0,"""ピッチ変更"""
Label_Effect#0,"""ボイスエフェクト"""
Tag_Voice1#0,"""ヒト型タイプ1"""
Tag_Voice2#0,"""ヒト型タイプ2"""
Tag_Voice3#0,"""キャストタイプ1"""
Tag_Voice4#0,"""キャストタイプ2"""
Operation_Decide#0,"""選択：<%Decide>"""
Operation_Decide_Cancel#0,"""選択：<%Decide>\u3000戻る：<%Cancel>"""
Operation_Default#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_Pantograph#0,"""選択/解除：<%Decide>\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_CheckBox#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_Slider#0,"""10段階移動：<%Decide>＋左右\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_FaceCustom#0,"""選択：<%Decide>\u300010段階移動：<%Decide>＋左右\u3000戻る：<%Cancel>"""
Help_FaceVariation#0,"""顔バリエーションHelp"""
Help_AdjustFaceOutline#0,"""輪郭調整"""
Help_AdjustFaceParts#0,"""顔パーツ調整"""
Help_HairAndHeadparts#0,"""ヘアスタイル・ヘッドパーツ"""
Help_HairArrange#0,"""髪型のアレンジ"""
Help_HairColor#0,"""ヘアカラー設定"""
Help_EyePattern_Right#0,"""瞳パターン右"""
Help_EyePattern_Left#0,"""瞳パターン左"""
Help_SyncEye#0,"""右目と左目の同期"""
Help_SyncEyeText#0,"""右目の瞳カラーに左目を同期させる"""
Help_EyeColor#0,"""瞳カラー設定"""
Help_AdjustEye#0,"""目の調整"""
Help_Eyebrows#0,"""まゆの選択"""
Help_SyncEyebrows#0,"""まゆのカラー同期設定"""
Help_SyncEyebrowsText#0,"""ヘアカラー１の色に同期させる"""
Help_EyebrowsColor#0,"""まゆのカラー設定"""
Help_EyebrowsAlpha#0,"""まゆの濃さ"""
Help_EyeLashes#0,"""まつげの選択"""
Help_SyncEyeLashes#0,"""まつげのカラー同期設定"""
Help_SyncEyeLashesText#0,"""ヘアカラー１の色に同期させる"""
Help_EyeLashesColor#0,"""まつげのカラー設定"""
Help_AdjustNoseSize#0,"""鼻のサイズ調整"""
Help_AdjustNoseHeight#0,"""鼻の高さ調整"""
Help_Tooth#0,"""歯の選択"""
Help_Mouth#0,"""口の調整"""
Help_Ear#0,"""耳の選択"""
Help_AdjustEar#0,"""耳の形を調整"""
Help_Horn#0,"""角の選択"""
Help_AdjustHorn#0,"""角の形の調整"""
Help_MakePattern1#0,"""メイクパターン選択1"""
Help_MakePattern2#0,"""メイクパターン選択2"""
Help_AdjustLineOfSight#0,"""目線の調整"""
Help_AdjustEyeSize#0,"""黒目のサイズ調整"""
Help_AdjustEyePosition#0,"""黒目の位置調整"""
Help_AdjustNeckAngle#0,"""首の角度調整"""
Help_AdjustBody#0,"""体型の調整"""
Help_AdjustNeck#0,"""首回りの調整"""
Help_AdjustBust#0,"""胸部の調整"""
Help_UpperArm#0,"""肩のボリューム"""
Help_AdjustArm#0,"""腕の調整"""
Help_AdjustHand#0,"""手の調整"""
Help_AdjustWaist#0,"""腰の調整"""
Help_AdjustLeg#0,"""脚の調整"""
Help_Skin#0,"""スキン選択"""
Help_SkinColor#0,"""肌カラー設定"""
Help_SSS#0,"""肌サブカラー強度"""
Help_SkinGloss#0,"""ツヤの調整"""
Help_Muscle#0,"""筋肉量の調整"""
Help_BodyPaint1#0,"""ボディペイント1の選択"""
Help_BodyPaint2#0,"""ボディペイント2の選択"""
Help_BodyPaintLayer#0,"""ボディペイント表示順の変更"""
Help_LayerPriority1#0,"""優先度1"""
Help_LayerPriority2#0,"""優先度2"""
Help_LayerPriority3#0,"""優先度3"""
Help_DropdownItem_BodyPaint1#0,"""ボディペイント1"""
Help_DropdownItem_BodyPaint2#0,"""ボディペイント2"""
Help_DropdownItem_Inner#0,"""インナーウェア"""
Help_Costume#0,"""コスチューム選択"""
Help_CostumeColor#0,"""コスチュームカラー設定"""
Help_OuterWear#0,"""アウターウェア選択"""
Help_OuterWearColor#0,"""アウターウェアカラー設定"""
Help_BaseWear#0,"""ベースウェア選択"""
Help_BaseWearColor#0,"""ベースウェアカラー設定"""
Help_InnerWear#0,"""インナーウェア選択"""
Help_InnerWearColor#0,"""インナーウェアカラー設定"""
Help_BodyParts#0,"""ボディパーツ選択"""
Help_ArmParts#0,"""アームパーツ選択"""
Help_LegParts#0,"""レッグパーツ選択"""
Help_PartsColor#0,"""パーツカラー設定"""
Help_Sticker#0,"""ステッカー選択"""
Operation_DropDown#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000キャラクター回転：<swguidetype CharaTurn>"""
Operation_BodyPaint#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_SideSlider#0,"""10段階調整：<%Decide>＋左右\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_DiamondSlider#0,"""選択/解除：<%Decide>\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_Morphing#0,"""選択/解除：<%Decide>\u3000戻る：<%Cancel>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>"""
Operation_ItemSelect#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_ItemWindow#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000操作項目の移動：<%NextWidget>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>"""
Operation_ColorPicker#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000項目のピン留め：<swguidetype Pinned>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>"""
Operation_ColorPickerWindow#0,"""選択/解除：<%Decide>\u3000戻る：<%Cancel>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラリセット：<swguidetype CameraReset>"""
Operation_BodyType#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>\u3000キャラクター回転：<swguidetype CharaTurn>"""
Operation_ColorPickerAll#0,"""選択：<%Decide>\u3000戻る：<%Cancel>\u3000カメラ距離：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下：<swguidetype CameraUpDown>\u3000カメラリセット：<swguidetype CameraReset>"""
Disable_Reason_Synchronized#0,"""$(0)<pict 4space><yellow>※同期中<c>"""
Disable_Reason_Unsupported#0,"""$(0)<pict 4space><yellow>※非対応<c>"""
Message_Face_Variation_Unsupported#0,"""現在の顔バリエーションは、この編集項目に対応していません"""
Message_Base_Wear_Unsupported#0,"""現在のベースウェアは、この編集項目に対応していません"""
Coordinate_X#0,"""X：$(0)"""
Coordinate_Y#0,"""Y：$(0)"""
Coordinate_Z#0,"""Z：$(0)"""
Coordinate_Slider#0,"""$(0)"""
ChangeToRebootBody#0,"""体型タイプが変更されたため、一部の編集項目を変更しました。"""
ChangeToClassicBody#0,"""体型タイプが変更されたため、一部の編集項目を変更しました。"""
ChangeToFigureType#0,"""体型タイプが変更されたため、一部の編集項目を変更しました。"""
ChangeToSetWear#0,"""セットウェア表示に切り替えました。"""
ChangeToLayeringWear#0,"""レイヤリングウェア表示に切り替えました。"""
Erro_Message_FaceType#0,"""現在の顔バリエーションは、この編集項目に対応していません。"""
Erro_Message_HairStyle#0,"""現在のヘアスタイルでは、この編集項目に対応していません。"""
Erro_Message_HairParts#0,"""現在のヘッドパーツでは、この編集項目に対応していません。"""
Erro_Message_BodyType#0,"""現在の体型では、この編集項目に対応していません。"""
Erro_Message_BaseWear#0,"""現在のベースウェア・セットウェアでは、この編集項目に対応していません。"""
Erro_Message_OuterWear#0,"""現在のアウターウェアでは、この編集項目に対応していません。"""
Erro_Message_InnerWear#0,"""現在のインナーウェアでは、この編集項目に対応していません。"""
Erro_Message_CastParts#0,"""現在のキャストパーツでは、この編集項目に対応していません。"""
Erro_Message_Costume#0,"""現在のコスチュームでは、この編集項目に対応していません。"""
Erro_Message_Accessory#0,"""現在のヘアスタイル・アクセサリーでは、この編集項目に対応していません。"""
Change_To_Edit_items#0,"""指定した項目と連動する項目があるため、あわせて編集内容を変更しました。"""
Title_CheckHasEsthePass#0,"""必要アイテムの所持確認"""
Error_CheckHasEsthePass#0,"""カラーを変更するためのアイテムを所持していません。<br>退店するには、カラー設定の編集を取り消す必要があります。"""
Error_ChangeInvalidParts#0,"""体型タイプが変更されたため、選択中の項目を適用できなくなりました。"""
Error_AccessoryCost#0,"""コストオーバーのためアクセサリーが適用できません。"""
Error_MotionCost#0,"""コストオーバーのためモーションが適用できません。"""
Error_ChangeColor#0,"""異なるコスチュームなどでカラーが連動した状態のため適用できません。"""
ChangeColorInner1#0,"""インナーカラー１を変更しました。"""
ChangeColorInner2#0,"""インナーカラー２を変更しました。"""
ChangeColorBasewear1#0,"""ベースウェアカラー１を変更しました。"""
ChangeColorBasewear2#0,"""ベースウェアカラー２を変更しました。"""
ChangeColorSetwear1#0,"""セットウェアカラー１を変更しました。"""
ChangeColorSetwear2#0,"""セットウェアカラー２を変更しました。"""
ChangeColorOuter1#0,"""アウターカラー１を変更しました。"""
ChangeColorOuter2#0,"""アウターカラー２を変更しました。"""
ChangeColorSkin1#0,"""肌カラーを変更しました。"""
ChangeColorSkin2#0,"""肌の血色を変更しました。"""
ChangeColorCastMain#0,"""キャストメインカラーを変更しました。"""
ChangeColorCastSub1#0,"""キャストサブカラー１を変更しました。"""
ChangeColorCastSub2#0,"""キャストサブカラー２を変更しました。"""
ChangeColorCastSub3#0,"""キャストサブカラー３を変更しました。"""
ChangeColorEye1#0,"""右の瞳カラーを変更"""
ChangeColorEye2#0,"""左の瞳カラーを変更"""
ChangeColorEyebrow#0,"""まゆカラーを変更しました。"""
ChangeColorEyelash#0,"""まつげカラーを変更しました。"""
ChangeColorHair1#0,"""ヘアカラー１を変更しました。"""
ChangeColorHair2#0,"""ヘアカラー２を変更しました。"""
Label_Wait#0,"""待機"""
Label_Run#0,"""移動"""
Label_Jump#0,"""ジャンプ"""
Label_Dush#0,"""ダッシュ"""
Label_Glide#0,"""グライド"""
Label_Swim#0,"""泳ぐ"""
Label_SubTitle#0,"""モーション変更"""
Label_Landing#0,"""着地"""
Label_SelectedMotion#0,"""現在の設定"""
Label_Cost#1,"""コスト"""
Button_ResetDefault#0,"""初期状態に戻す"""
Label_Title#0,"""ランダム設定"""
Label_Race#0,"""種族"""
Label_Type#0,"""タイプ"""
Label_Make#0,"""<pict random_box_1><pict 4space>生成"""
Selection_Human#0,"""人型"""
Selection_Cast#0,"""キャスト"""
Selection_Male#0,"""タイプ１"""
Selection_Female#0,"""タイプ２"""
Message_SaveFailed#0,"""クリエイトデータの保存に失敗しました。"""
Message_SaveSuccess#0,"""クリエイトデータを保存しました。"""
Message_Confirmation#0,"""同名のクリエイトデータが存在します。上書きしますか？"""
Message_Title#0,"""上書き確認"""
Message_LoadFailed#0,"""クリエイトデータの読み込みに失敗しました。"""
Tag_HumanMale#0,"""ヒューマンタイプ1"""
Tag_HumanFemale#0,"""ヒューマンタイプ2"""
Tag_NewmanMale#0,"""ニューマンタイプ1"""
Tag_NewmanFemale#0,"""ニューマンタイプ2"""
Tag_CastMale#0,"""キャストタイプ1"""
Tag_CastFemale#0,"""キャストタイプ2"""
Tag_DewmanMale#0,"""デューマンタイプ1"""
Tag_DewmanFemale#0,"""デューマンタイプ2"""
Label_TestButton#1,"""モーションの確認"""
Label_Pause#1,"""ストップ"""
Message#0,"""<yellow>メインストーリー”1章”<c>から開始しますか？<br><br>メインストーリー”序章”<br>（チュートリアルストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”最初の試練”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<c>"""
Message_Playgo#0,"""<yellow>メインストーリー”1章”<c>から開始しますか？<br><br>メインストーリー”序章”<br>（チュートリアルストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”最初の試練”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
Message_No#0,"""<yellow>メインストーリー”序章”<c><br>（チュートリアルストーリー）から開始しますか？"""
Message_1#0,"""<yellow>メインストーリー“2章”<c>から開始しますか？<br><br>メインストーリー“1章”<br>（エアリオリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”新たな任務”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
Message_2#0,"""<yellow>メインストーリー“3章”<c>から開始しますか？<br><br>メインストーリー“2章”<br>（リテムリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク\""クヴァリスでの任務\""<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
Message_1_Playgo#0,"""<yellow>メインストーリー“2章”<c>から開始しますか？<br><br>メインストーリー“1章”<br>（エアリオリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”新たな任務”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
Message_2_Playgo#0,"""<yellow>メインストーリー“3章”<c>から開始しますか？<br><br>メインストーリー“2章”<br>（リテムリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク\""クヴァリスでの任務\""<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
SkipCheck_Title#0,"""メインストーリースキップの確認"""
SkipCheck_MainText#0,"""他のキャラクターで、<yellow>クリア済みのメインストーリー<c>を<br>スキップできます。<br>ストーリーの開始地点を選択してください。"""
SkipCheck_Text#0,"""序章から開始"""
SkipCheck_Text1#0,"""１章から開始"""
SkipCheck_Text2#0,"""２章から開始"""
SkipCheck_Text3#0,"""３章から開始"""
ScenarioSelectText_0_0#0,"""序章から開始"""
ScenarioSelectText_1_1#0,"""１章から開始"""
ScenarioSelectText_1_2#0,"""２章から開始"""
ScenarioSelectText_1_3#0,"""３章から開始"""
ScenarioSelectText_1_4#0,"""４章から開始"""
ScenarioSelectText_1_5#0,"""５章から開始"""
ScenarioSelectText_1_6#0,"""６章から開始"""
ScenarioSelectText_1_7#0,"""７章から開始"""
ScenarioSelectConfirmText_1_4#0,"""<yellow>メインストーリー“4章”<c>から開始しますか？<br><br>メインストーリー“3章”<br>（クヴァリスリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“新たな戦いの始まり”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_1_5#0,"""<yellow>メインストーリー“5章”<c>から開始しますか？<br><br>メインストーリー“4章”<br>（スティアリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“決戦の前に”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_1_6#0,"""<yellow>メインストーリー“6章”<c>から開始しますか？<br><br>メインストーリー“5章”<br>（浮島“ルシエル”を舞台にしたメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“つくられたセカイ”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_1_7#0,"""<yellow>メインストーリー“7章”<c>から開始しますか？<br><br>メインストーリー“6章”を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“イルマからの緊急連絡”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_1_4_Playgo#0,"""<yellow>メインストーリー“4章”<c>から開始しますか？<br><br>メインストーリー“3章”<br>（クヴァリスリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“新たな戦いの始まり”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_1_5_Playgo#0,"""<yellow>メインストーリー“5章”<c>から開始しますか？<br><br>メインストーリー“4章”<br>（スティアリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“決戦の前に”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_1_6_Playgo#0,"""<yellow>メインストーリー“6章”<c>から開始しますか？<br><br>メインストーリー“5章”<br>（浮島“ルシエル”を舞台にしたメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“つくられたセカイ”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_1_7_Playgo#0,"""<yellow>メインストーリー“7章”<c>から開始しますか？<br><br>メインストーリー“6章”を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“イルマからの緊急連絡”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c><br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_0_0#0,"""<yellow>メインストーリー“序章”<c><br>（チュートリアルストーリー）から開始しますか？"""
ScenarioSelectConfirmText_1_1#0,"""<yellow>メインストーリー“1章”<c>から開始しますか？<br><br>メインストーリー“序章”<br>（チュートリアルストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“最初の試練”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<c>"""
