EnemyWeak#0,"""こ、このぐらいの敵なら<br>わたしでもなんとか……"""
IncidentSuccess#17,"""上手くいったようです<br>見事なお手前でした"""
IncidentFailure#17,"""不甲斐ない結果……<br>申し訳ございません"""
PSE#17,"""これは、フォトンが<br>騒いでいるのですか？"""
PSELevelUp#17,"""まだまだ続けましょう"""
PSEBurst#17,"""これがＰＳＥバースト……<br>なんて美しいのでしょう"""
HP30#17,"""まだ、諦めません"""
HP10#17,"""南無三……！"""
ItemRare#17,"""あら、それは希少品ではありませんか？"""
DamageSmall#17,"""つっ"""
DamageMiddle#17,"""このままでは……"""
DamageLarge#17,"""きゃあっ！"""
Trap#17,"""こんなところに罠なんて……"""
ThankTrapRescue#17,"""助かりました"""
TrapRescueOther#17,"""ご無事ですか？"""
MemberDamaged#17,"""無理をなさらぬよう"""
MemberDead#17,"""……謝っても、許しません"""
AbilityExe#17,"""私に任せていただけますか"""
AbilitySpecial#16,"""今が攻め時です！"""
Resurrect#17,"""二度は繰り返しませんわ"""
PartyJoin#17,"""/ci1 1 よろしくお願いいたします"""
Marvelous#17,"""お見事です！"""
IncidentJsApcBegin#17,"""/ci1 1 敵の対応に苦慮しております。<br>しばし、手伝っていただければと"""
IncidentJsApcFailure#17,"""申し訳ありません……<br>先に退かせていただきます"""
IncidentJsApcSuccess#17,"""/ci2 1 ありがとうございます。<br>大変助かりましたわ"""
IncidentJsApcBeginEvo#17,"""/ci1 2 これで終わり……というわけには<br>いかないようですわね"""
EnemyWeak#18,"""僕たちの敵じゃあないね！"""
EnemyLarge#18,"""おやおや、ずいぶん大きいやつだ<br>だが、僕たちにかかれば！"""
EnemyBoss#18,"""強さが全てじゃない……<br>僕たちがそれを教えてあげよう！"""
EnemyRare#18,"""見たまえ！<br>あれは珍しいやつだよ！"""
EnemyBoost#18,"""ずいぶんやる気のようだけど<br>僕たちの絆に勝てるかな？"""
DestroyEnemy1#18,"""美しい！"""
DestroyEnemy2#18,"""よくやったね！"""
DestroyEnemy3#18,"""信じていたよ！"""
CondFreeze#18,"""身体は凍ってしまったが<br>僕の愛情は燃えたぎっている！"""
CondBurn#18,"""ははは、なんて熱さなんだ……<br>まるで、僕の愛情のようだね！"""
CondShock#18,"""この程度の痺れでは<br>僕たちの絆は止められない！"""
CondPoison#18,"""この身に毒を受けたとしても<br>愛する子達は守り抜くよ！"""
CondPanic#18,"""世界がぐるぐる回っているが<br>この子達がいてくれるから、問題ない！"""
CondStan#18,"""動けないとしても……<br>僕の側には、この子がいる！"""
CondMirage#18,"""ふふ、幻覚とは無駄なこと……<br>元より、この子達しか見ていない！"""
Die#18,"""僕の愛する子達……だけは……！"""
ThankHeal#18,"""感謝するよ！"""
ThankBuff#18,"""助かるよ！"""
ThankCure#18,"""ふう、落ち着いてきたよ"""
DefeatEnemy#18,"""さあ、進もうじゃないか！"""
LevelUp#18,"""/toge 頼もしいね、マイフレンド！"""
InvokeSkill1#16,"""任せたよ、僕の愛する子！"""
InvokeSkill2#16,"""絆の力を示すんだ！"""
InvokeSkill3#16,"""さあ、決めてしまおう！"""
PBFull#18,"""さあ、準備は整ったよ！"""
PBRelease#18,"""/toge 全身全霊のアンサンブルを届けよう！"""
TacticsFree#6,"""自由にやらせてもらうよ、マイフレンド！"""
TacticsGuard#6,"""今は耐え時だね、マイフレンド！"""
TacticsMassedAttack#6,"""集中攻撃か、わかったよマイフレンド！"""
TacticsAttack#5,"""囮は僕に任せてくれ！"""
Avoid#18,"""はっ！"""
HealSelf#18,"""やられるわけにはいかないんだ"""
BuffSelf#18,"""状況を万全にして挑もうかな"""
HealOther#18,"""大丈夫かい？"""
BuffOther#18,"""油断は禁物、だよ"""
QuestStart1#18,"""さあ始まるよ、僕の愛する子たち"""
QuestEnd1#18,"""やったねマイフレンド！<br>僕たちの絆の勝利だ！"""
QuestEnd2#6,"""流石だね、マイフレンド！"""
IncidentStart#18,"""マイフレンド、何かが起こるようだよ！"""
IncidentSuccess#18,"""やれやれ、びっくりしたけど<br>なんとかなったね！"""
IncidentFailure#18,"""……僕の対応が悪かったね"""
PSE#18,"""僕の子たちが騒いでる……<br>これは、ＰＳＥかな？"""
PSELevelUp#18,"""さらに続けていこうじゃないか"""
PSEBurst#18,"""見えるかい、みんな……<br>なんて美しい、ＰＳＥバースト……！"""
HP30#18,"""こんな無様な様子じゃ<br>僕の子達に見放されてしまうな……"""
HP10#18,"""僕の愛する子達のために<br>まだ倒れるわけにはいかない！"""
ItemRare#18,"""おや、それはいいものじゃないか！<br>おめでとう、マイフレンド！"""
DamageSmall#18,"""うっ"""
DamageMiddle#18,"""やるね"""
DamageLarge#18,"""そんなっ！"""
Trap#18,"""しまった！\u3000僕の子達を見ることに<br>集中するあまり、罠が見えず……！"""
ThankTrapRescue#18,"""助かったよ、マイフレンド！"""
TrapRescueOther#18,"""マイフレンド！\u3000大丈夫かい？"""
MemberDamaged#18,"""下がっていたまえマイフレンド！"""
MemberDead#18,"""……よくも、僕のフレンドを！"""
AbilityExe#18,"""はははっ！\u3000僕も僕の子達も<br>テンションマックス！\u3000絶好調さ！"""
AbilitySpecial#17,"""今なら何でも出来そうだ！"""
Resurrect#18,"""……ふう、心配をかけたねマイフレンド！"""
PartyJoin#18,"""/toge /ci2 1 よろしくマイフレンド！"""
Marvelous#18,"""/toge 僕たちも負けていられないな！"""
IncidentJsApcBegin#18,"""/ci2 2 やあ、マイフレンド！<br>僕の愛する子供達が頑張っているんだ！<br>良ければ、手を貸してくれないかい？"""
IncidentJsApcFailure#18,"""すまないマイフレンド……<br>僕は先に下がらせてもらうよ"""
IncidentJsApcSuccess#18,"""/ci2 1 ありがとう、マイフレンド！<br>僕の子供達も、すごく喜んでいるよ！"""
IncidentJsApcBeginEvo#18,"""/ci1  ……どうやら、まだ来るみたいだね。"""
EnemyWeak#19,"""おっ、こいつは弱そうだな"""
EnemyLarge#19,"""うわー、でっけぇ……"""
EnemyBoss#19,"""おいおいおい<br>こんなのいるなんて聞いてねえよ！"""
EnemyRare#19,"""んー、なんだありゃ<br>あんまり見ないヤツじゃないか？"""
EnemyBoost#19,"""……なんかやばい雰囲気だぞ！"""
DestroyEnemy1#19,"""よっしゃ！"""
DestroyEnemy2#19,"""やったぜ！"""
DestroyEnemy3#19,"""決まったあっ！"""
CondFreeze#19,"""さささささ寒っ！"""
CondBurn#19,"""あちっ、あちちっ！"""
CondShock#19,"""し、しびびびびび！"""
CondPoison#19,"""うう……毒……？<br>気持ち悪い……"""
CondPanic#19,"""せ、世界が回ってるううう"""
CondStan#19,"""身体が動かねえ……<br>なんだよこれ！"""
CondMirage#19,"""なんだあ？<br>世界がぼやけてるぞ？"""
Die#19,"""やっと見つけられたってのに……"""
ThankHeal#19,"""ふー、助かったぁ"""
ThankBuff#19,"""よっしゃ、頑張るぜ！"""
ThankCure#19,"""スッキリしたぜ<br>ありがとな"""
DefeatEnemy#19,"""ふー、なんとかなったか？"""
LevelUp#19,"""おれも負けてられねえな！"""
InvokeSkill1#17,"""動くなよっ！"""
InvokeSkill2#17,"""おれだってなぁ！"""
InvokeSkill3#17,"""見えた、そこだっ！"""
TechThunder#8,"""牽制程度にはなるだろ！"""
PBFull#19,"""いい加減にしろよなっ！"""
PBRelease#19,"""奥の手発動ッ！"""
TacticsFree#7,"""自由にやっていいんだよな！"""
TacticsGuard#7,"""逃げ足には自信あるぜ！"""
TacticsMassedAttack#7,"""集中砲火だっ！"""
TacticsAttack#6,"""お、おれがひきつける！<br>……早めに助けてくれよ？"""
Avoid#19,"""うわっと！"""
HealSelf#19,"""死ぬかと思った"""
BuffSelf#19,"""準備はしっかりと！"""
HealOther#19,"""おいおい、大丈夫か？"""
BuffOther#19,"""補助、忘れんなよ！"""
QuestStart1#19,"""よっしゃ行こうぜ！"""
QuestStart2#4,"""一緒に頑張ろうぜ、相棒！"""
QuestEnd1#19,"""終わったあ！"""
QuestEnd2#7,"""やったな相棒！<br>カンペキだろ！"""
IncidentStart#19,"""な、なんだなんだぁ？"""
IncidentSuccess#19,"""よーっし！"""
IncidentFailure#19,"""げげっ……"""
PSE#19,"""よっしゃ始まった！"""
PSELevelUp#19,"""どんどん続けようぜ！"""
PSEBurst#19,"""きたきたきたきた！"""
HP30#19,"""待て待て、落ち着けって！<br>マジ痛いんだから！"""
HP10#19,"""もう逃げたい……"""
ItemRare#19,"""おれも欲しいなぁ"""
DamageSmall#19,"""くっ"""
DamageMiddle#19,"""ぐっ"""
DamageLarge#19,"""やべっ……！"""
Trap#19,"""罠かよっ！？"""
ThankTrapRescue#19,"""さ、サンキュー"""
TrapRescueOther#19,"""危ないところだったな！"""
MemberDamaged#19,"""無理すんなよ！"""
MemberDead#19,"""……どういうことだよ<br>クソッ！"""
AbilityExe#19,"""/toge へへっ、調子がよくなってきた！"""
AbilitySpecial#18,"""/toge 任せとけって！"""
Resurrect#19,"""……まだまだ、ここからだっての！"""
PartyJoin#19,"""/ci1 1 いつも通り頼むぜ、相棒"""
Marvelous#19,"""流石だな！"""
IncidentJsApcBegin#19,"""/ci2 1 相棒、良かったちょうどいい所に！<br>のんびりしてたら囲まれちゃってさ。<br>悪い、手伝ってくれ。"""
IncidentJsApcFailure#19,"""いててて……<br>相棒、これ以上は厳しいみたいだ。<br>悪いけど、先に帰らせてもらうな。"""
IncidentJsApcSuccess#19,"""/mn38 /ci2 1 やったな！<br>これでビーチを満喫できるぜ！<br>それじゃまたな、相棒！"""
IncidentJsApcBeginEvo#19,"""/toge /ci3 2 ななっ、なんだよ！<br>すっげー巨大な敵性反応！？<br>相棒、気をつけろよ！"""
EnemyWeak#20,"""よーし、まとめて<br>やっちゃいますか！"""
EnemyLarge#20,"""で、でかいな……"""
EnemyBoss#20,"""強敵登場、ってとこか！"""
EnemyRare#20,"""ん？\u3000あれ、なんだ？<br>なんか珍しいのがいる。"""
EnemyBoost#20,"""こいつ……何か違う！"""
DestroyEnemy1#20,"""よしっ！"""
DestroyEnemy2#20,"""やったっ！"""
DestroyEnemy3#20,"""どんなもんだっ！"""
CondFreeze#20,"""げっ、凍結か！"""
CondBurn#20,"""うわっ、燃焼！？"""
CondShock#20,"""し、しびびびれてててて……"""
CondPoison#20,"""ぐっ……毒かよ……！"""
CondPanic#20,"""頭がぐわんぐわんする……"""
CondStan#20,"""か、身体が動かない……ッ！"""
CondMirage#20,"""な、なんだ、視界が……！"""
Die#20,"""あーあ、やられちゃったか……"""
ThankHeal#20,"""ありがとう！"""
ThankBuff#20,"""サンキューな！"""
ThankCure#20,"""ふー、助かった……！"""
DefeatEnemy#20,"""これで全部だよな！"""
LevelUp#20,"""おめでとう！"""
InvokeSkill1#18,"""くらえーっ！"""
InvokeSkill2#18,"""こいつでどうだっ！"""
InvokeSkill3#18,"""これでどう！"""
TechFire#9,"""いけっ！"""
TechIce#8,"""これでどう！"""
TechThunder#9,"""これならっ！"""
TechWind#8,"""させるかよっ！"""
TechLight#8,"""くらえーっ！"""
TechDark#8,"""こいつでどうだっ！"""
PBFull#20,"""好き勝手しすぎだろ！"""
PBRelease#20,"""おぉ……いい感じじゃん！"""
Avoid#20,"""はっ！"""
HealSelf#20,"""危ない危ない！"""
BuffSelf#20,"""補助も重要、っと"""
HealOther#20,"""危ないよ！"""
BuffOther#20,"""助け合わないと！"""
QuestStart1#20,"""よーっし、頑張るぞ！"""
QuestEnd1#20,"""ふー、なんとかクリアできたか"""
IncidentStart#20,"""な、なんか変な感じ"""
IncidentSuccess#20,"""上手くいって良かったぁ"""
IncidentFailure#20,"""あっちゃあ……失敗かぁ……"""
PSE#20,"""な、なんだかフォトンがすごいぞ！"""
PSELevelUp#20,"""もっと続けていこうよ！"""
PSEBurst#20,"""うわぁ……<br>これが、PSEバーストか……"""
HP30#20,"""ま、まずい……"""
HP10#20,"""これ以上は無理ッ！"""
ItemRare#20,"""あっ、それ<br>レアなやつじゃないですか？"""
DamageSmall#20,"""くっ"""
DamageMiddle#20,"""まずっ！"""
DamageLarge#20,"""うわわっ！"""
Trap#20,"""なっ、罠！？"""
ThankTrapRescue#20,"""ふぃーっ、ありがとう！"""
TrapRescueOther#20,"""だ、大丈夫！？"""
MemberDamaged#20,"""下がってて！"""
MemberDead#20,"""……よくも、やったな！"""
AbilityExe#20,"""この調子なら、いける！"""
AbilitySpecial#19,"""今ならなんでも出来る！"""
Resurrect#20,"""ふぅ、次はやられないように、っと！"""
PartyJoin#20,"""/ci2 1 よろしくお願いします！"""
Marvelous#20,"""さっすが！"""
IncidentJsApcBegin#20,"""/ci2 1 あっ、ちょうどいいところに！<br>ちょっと敵が多くて<br>手伝ってもらえないかな！"""
IncidentJsApcFailure#20,"""ったぁ……やっちゃった……<br>ごめん、先に退かせてもらうね。"""
IncidentJsApcSuccess#20,"""/ci2 1 よーっし、大成功！<br>ありがとうございましたっ！"""
IncidentJsApcBeginEvo#20,"""/ci5 2 これで終わり……って、感じの<br>空気じゃなさそうだな……！"""
EnemyWeak#21,"""この程度のヤツなら！"""
EnemyLarge#21,"""ちっ、大型かよ！"""
EnemyBoss#21,"""たとえ強敵が相手でも！"""
EnemyRare#21,"""おっ、珍しいやつじゃん！"""
EnemyBoost#21,"""こいつ……ただものじゃない！"""
DestroyEnemy1#21,"""まずひとつ！"""
DestroyEnemy2#21,"""邪魔をするなっ！"""
DestroyEnemy3#21,"""次っ！"""
CondFreeze#21,"""ぐっ……凍結か……！"""
CondBurn#21,"""燃焼……！？"""
CondShock#21,"""身体がしびれて……ッ！"""
CondPoison#21,"""こんな毒なんかに……！"""
CondPanic#21,"""ダメだ。頭が混乱して……"""
CondStan#21,"""ぐっ、身体が……動かない……"""
CondMirage#21,"""視界がおかしい……！？"""
Die#21,"""なんて様だよ……<br>俺がやるしかない、だって……はは"""
ThankHeal#21,"""ありがとな！"""
ThankBuff#21,"""サンキュー！"""
ThankCure#21,"""ふー、助かったぁ！"""
DefeatEnemy#21,"""さあ、次に行こう！"""
LevelUp#21,"""おめでとう！"""
InvokeSkill1#19,"""これならっ！"""
InvokeSkill2#19,"""甘いっ！"""
InvokeSkill3#19,"""どうだっ！"""
TechFire#10,"""そらっ！"""
TechIce#9,"""いけっ！"""
TechThunder#10,"""これならっ！"""
TechWind#9,"""どうだっ！"""
TechLight#9,"""させるか！"""
TechDark#9,"""甘いっ！"""
PBFull#21,"""このチャンスは逃さない！"""
PBRelease#21,"""うぉーー！！"""
Avoid#21,"""はっ！"""
HealSelf#21,"""危ないところだった！"""
BuffSelf#21,"""万全の状態で挑まないと！"""
HealOther#21,"""無理をしちゃダメだ！"""
BuffOther#21,"""今、援護するから！"""
QuestStart1#21,"""よーっし、頑張るぞ！"""
QuestEnd1#21,"""上手く出来たんじゃないかな！"""
IncidentStart#21,"""この気配……何か、来る！"""
IncidentSuccess#21,"""ふぅ、よかった。<br>なんとかなったみたいだ。"""
IncidentFailure#21,"""……うーん、何が悪かったんだろう。"""
PSE#21,"""これって……PSE？"""
PSELevelUp#21,"""もっと続けていこう！"""
PSEBurst#21,"""来た……！<br>PSEバーストだ！"""
HP30#21,"""このままじゃ……まずい"""
HP10#21,"""まだ、やられるわけには……"""
ItemRare#21,"""お、いいもの見つけたね！"""
DamageSmall#21,"""うっ"""
DamageMiddle#21,"""ぐうっ！"""
DamageLarge#21,"""うわあっ！"""
Trap#21,"""なっ、罠！？"""
ThankTrapRescue#21,"""あ、ありがとう、助かったよ"""
TrapRescueOther#21,"""気をつけていこう！"""
MemberDamaged#21,"""無理しちゃダメだ！"""
MemberDead#21,"""……よくも、俺の仲間を！"""
AbilityExe#21,"""調子出てきたって感じだな！"""
AbilitySpecial#20,"""この勢いで、押し切る！"""
Resurrect#21,"""……すまない、油断した"""
PartyJoin#21,"""/ci2 1 よろしくお願いします！"""
Marvelous#21,"""さっすが！"""
IncidentJsApcBegin#21,"""/ci2 1 あっ、すみません！<br>ちょっと敵が多いので<br>手伝ってもらえないでしょうか！"""
IncidentJsApcFailure#21,"""ったぁ……やっちゃった……<br>先に退きます、すみません！"""
IncidentJsApcSuccess#21,"""/ci2 1 よーっし、大成功！<br>ありがとうございましたっ！"""
IncidentJsApcBeginEvo#21,"""/ci5 2 これで終わり……って、感じの<br>空気じゃなさそうだな……！"""
EnemyWeak#22,"""一気に蹴散らすぞ"""
EnemyLarge#22,"""なかなかの大きさだな"""
EnemyBoss#22,"""強敵登場、といったところか"""
EnemyRare#22,"""ふむ、珍しいエネミーだな"""
EnemyBoost#22,"""気をつけろ。<br>今までのとは一味違うぞ"""
DestroyEnemy1#22,"""次だ"""
DestroyEnemy2#22,"""終わりだな"""
DestroyEnemy3#22,"""仕留めたぞ"""
CondFreeze#22,"""ちっ、凍結か……！"""
CondBurn#22,"""ぐっ、燃焼状態か……！"""
CondShock#22,"""身体の痺れが……！"""
CondPoison#22,"""毒が回っているのか……！"""
CondPanic#22,"""むぅ……思考がまとまらん……"""
CondStan#22,"""身体が、動かん……！"""
CondMirage#22,"""視覚阻害か……！"""
Die#22,"""未熟なのは、私自身か……"""
ThankHeal#22,"""すまないな"""
ThankBuff#22,"""助かったぞ"""
ThankCure#22,"""よし、これで大丈夫だ"""
DefeatEnemy#22,"""さあ、次へ進もう"""
LevelUp#22,"""おめでとう！"""
InvokeSkill1#20,"""吹き飛べっ！"""
InvokeSkill2#20,"""トドメだっ！"""
InvokeSkill3#20,"""邪魔をするなっ！"""
TechFire#11,"""炎よ！"""
TechIce#10,"""氷よ！"""
TechThunder#11,"""雷よ！"""
TechWind#10,"""風よ！"""
TechLight#10,"""光よ！"""
TechDark#10,"""闇よ！"""
PBFull#22,"""ここからは手加減なしだ！"""
PBRelease#22,"""いでよ、フォトンブラスト！"""
Avoid#22,"""はっ！"""
HealSelf#22,"""甘いな"""
BuffSelf#22,"""万全の体勢を整える"""
HealOther#22,"""油断するな"""
BuffOther#22,"""待て、補助も必要だ"""
QuestStart1#22,"""パーティー……久しぶりだな"""
QuestEnd1#22,"""すばらしい結果だな"""
IncidentStart#22,"""この気配……何かが来るぞ！"""
IncidentSuccess#22,"""うまくいったようだな"""
IncidentFailure#22,"""すまない、私の未熟だ……"""
PSE#22,"""このフォトンの励起……<br>PSEというやつか！"""
PSELevelUp#22,"""続けていくぞ！"""
PSEBurst#22,"""これが、PSEバーストなんだな……！"""
HP30#22,"""このままでは……"""
HP10#22,"""まだ、倒れるわけには……！"""
ItemRare#22,"""それは、いいものだ"""
DamageSmall#22,"""ちっ"""
DamageMiddle#22,"""ぐあっ！"""
DamageLarge#22,"""しまった！"""
Trap#22,"""何！\u3000トラップだと！"""
ThankTrapRescue#22,"""助かったぞ！"""
TrapRescueOther#22,"""罠には気をつけろ！"""
MemberDamaged#22,"""無理をするな！"""
MemberDead#22,"""……あまり調子に乗るなよ！"""
AbilityExe#22,"""今ならば、敵はない！"""
AbilitySpecial#21,"""この調子を維持したいものだ"""
Resurrect#22,"""自分でまいた種は、自ら刈り取る！"""
PartyJoin#22,"""/ci2 1 私と組んでくれるのか"""
Marvelous#22,"""見事だ！"""
IncidentJsApcBegin#22,"""/ci2 1 む、いいところに来てくれた！<br>敵の数が多くてな<br>手伝ってもらえると助かる！"""
IncidentJsApcFailure#22,"""未熟を言い訳にはしたくないが……<br>すまん、先に退かせてもらう"""
IncidentJsApcSuccess#22,"""/ci2 1 よし、なんとかなったな。<br>突然の申し出を受けてくれて<br>ありがとう。感謝する。"""
IncidentJsApcBeginEvo#22,"""/ci2 2 この場はしのげたか……？<br>いや、まだ何か来るようだ。<br>注意しろ！"""
EnemyWeak#23,"""この程度の敵なら<br>まとめて蹴散らすでござる！"""
EnemyLarge#23,"""むむっ、なかなかの大物でござるな！"""
EnemyBoss#23,"""強敵登場、でござるか……<br>気を引き締めねば！"""
EnemyRare#23,"""ややっ、珍しい気配！"""
EnemyBoost#23,"""異質な気配……油断めさるな！"""
DestroyEnemy1#23,"""切り捨て御免！"""
DestroyEnemy2#23,"""終わりでござる！"""
DestroyEnemy3#23,"""仕留めたでござる！"""
CondFreeze#23,"""むうっ、凍結でござるか……！"""
CondBurn#23,"""むうっ、燃焼でござるか……！"""
CondShock#23,"""むむっ、感電でござるな……！"""
CondPoison#23,"""むうっ……毒でござるか……！"""
CondPanic#23,"""これは……何が何だか<br>わからないでござるな……！"""
CondStan#23,"""身体が、動かないでござる……！"""
CondMirage#23,"""視界が……おかしいでござる……"""
Die#23,"""やられてしまったでござる……"""
ThankHeal#23,"""かたじけないでござる！"""
ThankBuff#23,"""恩に着るでござる！"""
ThankCure#23,"""手間をかけたでござる！"""
DefeatEnemy#23,"""片付いた、でござるな"""
LevelUp#23,"""めでたい！"""
InvokeSkill1#21,"""一閃！"""
InvokeSkill2#21,"""仕留める！"""
InvokeSkill3#21,"""そこでござるな！"""
PBFull#23,"""全力でやらせてもらうでござる！"""
PBRelease#23,"""真打ち登場というやつでござる！"""
Avoid#23,"""はっ！"""
HealSelf#23,"""甘いでござるよ！"""
BuffSelf#23,"""補助を忘れていたでござる"""
HealOther#23,"""油断は禁物でござるよ"""
BuffOther#23,"""まずは補助でござる"""
QuestStart1#23,"""いざ、参らん！"""
QuestEnd1#23,"""流石でござるな！"""
IncidentStart#23,"""この気配……何か来るでござるか？"""
IncidentSuccess#23,"""上手く立ち回れて<br>よかったでござるよ"""
IncidentFailure#23,"""かたじけない、未熟でござった……<br>先に退かせてもらうでござる"""
PSE#23,"""フォトンが反応しているでござるか？"""
PSELevelUp#23,"""まだまだ！<br>続けていくでござるよ！"""
PSEBurst#23,"""なんと美しい状態……！"""
HP30#23,"""まだまだでござる！"""
HP10#23,"""こ、これ以上はまずいでござる……！"""
ItemRare#23,"""おや、それは希少なものでござるな"""
DamageSmall#23,"""つっ！"""
DamageMiddle#23,"""ぐあっ！"""
DamageLarge#23,"""なんと……！"""
Trap#23,"""何！\u3000罠でござるか！？"""
ThankTrapRescue#23,"""助かったでござる"""
TrapRescueOther#23,"""気をつけるでござる！"""
MemberDamaged#23,"""大丈夫でござるか！？"""
MemberDead#23,"""……仇は取るでござるよ！"""
AbilityExe#23,"""身体が軽いでござるな！"""
AbilitySpecial#22,"""調子が出てきたでござる！"""
Resurrect#23,"""やれやれ、酷い目にあったでござるよ"""
PartyJoin#23,"""/toge /ci2 1 よろしく頼むでござる！"""
Marvelous#23,"""お見事っ！"""
IncidentJsApcBegin#23,"""/ci1 1 おや、良いところに！<br>すまぬが、敵を散らすのを<br>手伝ってもらえないでござるか？"""
IncidentJsApcFailure#23,"""全ては拙者の力不足が原因……<br>先に退かせてもらうでござる"""
IncidentJsApcSuccess#23,"""/ci2 1 これにて一件落着、でござるな。<br>助太刀感謝するでござるよ"""
IncidentJsApcBeginEvo#23,"""/ci1 2 これにて終了……とは<br>いかないようでござるな"""
EnemyWeak#24,"""ふふふ……このぐらいの相手なら<br>私一人でも十分ですわ！"""
EnemyLarge#24,"""大きければいいというものでは<br>ないんですからね！"""
EnemyBoss#24,"""うう……なんだか強そう……<br>見なかったことにしたいですわ"""
EnemyRare#24,"""あら？\u3000あちらにいらっしゃるのは<br>希少種というやつでは？"""
EnemyBoost#24,"""むむむ……<br>なんとも気味悪い気配をした<br>エネミーですわね……"""
WeatherChange#2,"""環境変化もなんのその、ですわ！"""
DestroyEnemy1#24,"""やりましたわ！"""
DestroyEnemy2#24,"""いかがです！"""
DestroyEnemy3#24,"""見ていただけました？"""
CondFreeze#24,"""水もしたたるいい女……<br>って違っ、これ凍ってる！\u3000冷たっ！"""
CondBurn#24,"""燃え上がるような情熱……<br>じゃなくてすっごく熱いんですけど！"""
CondShock#24,"""痺れるほどに、刺激的……<br>というか本当に痺れが……！"""
CondPoison#24,"""ふふっ、美女は毒を隠し持つ……<br>……私、美女じゃなくていいから<br>解毒を、解毒をー！"""
CondPanic#24,"""ふふふ……<br>今なら何にも出来なさそうな<br>そんな気がしますわ！"""
CondStan#24,"""なんと言われようとも<br>私この場を一歩も動きませんわ！<br>というか動けませんわ！"""
CondMirage#24,"""いつも夢見がちな私に幻覚なんて！<br>……あら？\u3000あそこに<br>とってもおいしそうなケーキが……"""
Die#24,"""もうだめ……休ませてください……"""
ThankHeal#24,"""感謝しますわ！"""
ThankBuff#24,"""強くなった気分ですわ！"""
ThankCure#24,"""気分爽快、というやつですわ！"""
DefeatEnemy#24,"""これにて一件落着、ですわ！<br>ささ、次の場所へ行きましょう"""
LevelUp#24,"""私にも分けていただけません？"""
InvokeSkill1#22,"""見とれてもいいですよ？"""
InvokeSkill2#22,"""これで、終わりですわ！"""
InvokeSkill3#22,"""やるときはやります！"""
PBFull#24,"""こちらは準備オッケーですわ！"""
PBRelease#24,"""力を貸してくださいね"""
TacticsFree#8,"""おまかせあれ！<br>今以上に自由に動いて<br>みせますわ！"""
TacticsGuard#8,"""おまかせあれ！<br>しっかり耐えてみせますわ！"""
TacticsMassedAttack#8,"""おまかせあれ！<br>集中攻撃といきましょう！"""
TacticsAttack#7,"""おまかせあれ！<br>って、私が囮なのですか！？"""
Avoid#24,"""華麗に回避！"""
HealSelf#24,"""まだ死にたくありませんので"""
BuffSelf#24,"""足りない力は補助でフォロー！"""
HealOther#24,"""無理はなさらないで！"""
BuffOther#24,"""能力強化もお忘れなく！"""
QuestStart1#24,"""よろしくお願いいたします"""
QuestStart2#5,"""貴方様と一緒なら<br>私、何でも出来そうな気がします！<br>まあたぶん気のせいですけど！"""
QuestEnd1#24,"""ずっと、貴方様に<br>おんぶにだっこでしたけど……<br>終わりよければ、です！"""
QuestEnd2#8,"""これにて任務完了、ですわね！"""
IncidentStart#24,"""障害を乗り越えてこその成長！<br>どんなものでもどんとこい、ですわ！"""
IncidentSuccess#24,"""やりましたね！<br>貴方様と一緒だったから楽……<br>じゃなくて、貴方様のおかげですわ！"""
IncidentFailure#24,"""うう……<br>私、足を引っ張っちゃいましたね……"""
PSE#24,"""むむっ、むむむっ！<br>これはPSEの感じですよ！"""
PSELevelUp#24,"""やりました！<br>どんどん続けていきましょう！"""
PSEBurst#24,"""お見事ですわ！<br>これが、PSEバーストです！"""
HP30#24,"""なんだかすっごく集中的に<br>狙われている気が……"""
HP10#24,"""戦力分析、出来ていますわね。<br>もっとも弱い私を叩いてくるなんて<br>……た、助けてくださーい！"""
ItemRare#24,"""いいもの拾えましたか？"""
DamageSmall#24,"""痛っ！"""
DamageMiddle#24,"""わわわっ！"""
DamageLarge#24,"""ひどいですわ……"""
Trap#24,"""ちょっ、罠とか！<br>なんでそんなのあるんです！？"""
ThankTrapRescue#24,"""た、助かりましたわ……"""
TrapRescueOther#24,"""罠に気をつけてくださいね！<br>私もさっきひっかかりそうに<br>なりましたから！"""
MemberDamaged#24,"""無理はなさらないで！"""
MemberDead#24,"""……許せません。<br>絶対に、許せませんわ！"""
AbilityExe#24,"""ふふふ、ここからが<br>私のターン、ですわ！"""
AbilitySpecial#23,"""私におまかせ、ですわ！"""
Resurrect#24,"""そろそろ起きましょうか"""
PartyJoin#24,"""/ci1 1 私、参上ですわ！"""
Marvelous#24,"""素晴らしいお手前です！"""
IncidentJsApcBegin#24,"""/ci2 2 ああ、貴方様ではありませんか！<br>特訓から逃げ……じゃなく特訓終了後の<br>私に、どうかお力添えを……！"""
IncidentJsApcFailure#24,"""こ、これ以上は無理ですわ……<br>私、撤退させていただきます。"""
IncidentJsApcSuccess#24,"""/mn15 /ci2 もう片を付けてしまうなんて<br>流石は、貴方様ですわ！<br>ありがとうございました！"""
IncidentJsApcBeginEvo#24,"""/ci1 2 ふー、なんとかなって一安心……<br>……とは、いかないようですわね。<br>もう少しお付き合いいただけます？"""
EnemyWeak#25,"""ザコに用はないんだけど"""
EnemyLarge#25,"""大きいな……首が疲れる"""
EnemyBoss#25,"""やれやれ……<br>面倒なのが出てきたな"""
