f2#0,"""Emergency Trial [$(0)] ล้มเหลว!"""
arks_begin_30060#0,"""กำจัด Carthagos!"""
arks_begin_30070#0,"""กำจัด Caterdrans!"""
arks_begin_30080#0,"""กำจัด Automata เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30090#0,"""รวบรวมแร่หายากกันก่อน!"""
arks_begin_30100#0,"""ไปขุดแร่กันก่อน!"""
arks_begin_30110#0,"""กำจัด Native Species เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30120#0,"""ค้นหา ARKS ที่สูญหาย!"""
arks_begin_30130#0,"""กำจัด De Marmoths!"""
arks_begin_30140#0,"""กำจัด Automata เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30150#0,"""ช่วยเหลือผู้ที่ต้องการความช่วยเหลือ"""
arks_begin_30160#0,"""กำจัด Tranmizers!"""
arks_begin_30170#0,"""กำจัด Dragorii เพื่อเก็บ $(0) Quest Points!"""
arks_begin_30180#0,"""นำแร่พิเศษกลับมา!"""
arks_begin_30190#0,"""กำจัด Caterdransas!"""
arks_begin_30200#0,"""กำจัด D-arkers  เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30210#0,"""Destroy the D-arkeim!"""
arks_begin_30220#0,"""กำจัด Wolgahda!"""
arks_begin_30230#0,"""กำจัด Dragorii! เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30240#0,"""กำจัด Sol Dylandahl."""
arks_begin_30250#0,"""กำจัด Goronzoran!"""
arks_begin_30260#0,"""กำจัด Sea Kings เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30270#0,"""กำจัด Cannon Blossoms ในพื้นที่สุดท้าย!"""
arks_begin_30280#0,"""กำจัด Orgbran!"""
arks_begin_30290#0,"""กำจัด Automata  เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30300#0,"""ปกป้องหมู่บ้านในพื้นที่สุดท้าย!"""
arks_begin_30310#0,"""กำจัด Varder Soma!"""
arks_begin_30320#0,"""กำจัด Sea Kings เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30330#0,"""ช่วยชาวพื้นเมืองบนดาว Wopal!"""
arks_begin_30340#0,"""กำจัด Dekor Maryuda !"""
time_begin_40010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_begin_40020#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_begin_40030#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_begin_40040#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_begin_40050#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_begin_40060#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_begin_50010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_begin_50020#0,"""กำจัด D-arkers เพื่อสะสม Quest Point ให้ถึง $(0)!"""
urgency_begin_50030#0,"""ไปยังพื้นที่สุดท้าย"""
urgency_begin_50035#0,"""ไปยังพื้นที่สุดท้าย"""
urgency_begin_50040#0,"""กำจัด Big Varders!"""
urgency_begin_50050#0,"""กำจัดศัตรูก่อนหมดเวลา"""
urgency_begin_50060#0,"""ค้นหา Naura's Confectionary!"""
urgency_begin_50070#0,"""กำจัดศัตรูให้ได้มากที่สุดก่อนหมดเวลา"""
urgency_begin_50080#0,"""กำจัด Falz Arm!"""
urgency_begin_50090#0,"""กำจัด Dark Falz Elder"""
urgency_begin_50100#0,"""ค้นหา Naura's Confectionary!"""
urgency_begin_50110#0,"""เก็บ Valentine Points ให้ถึง $(0)!"""
urgency_begin_50120#0,"""เก็บ White Day Point ให้ถึง $(0)!"""
urgency_begin_50130#0,"""ไปยังพื้นที่สุดท้าย"""
urgency_begin_50140#0,"""ไปยังพื้นที่สุดท้าย"""
urgency_begin_50160#0,"""ช่วยเหลือผู้คนเพื่อสะสม Quest Point ให้ถึง $(0)!"""
escape_begin_030010#0,"""ไปให้ถึงจุดช่วยเหลือ!"""
escape_begin_030020#0,"""ไปให้ถึงจุดช่วยเหลือ!"""
tgs2013_begin_00000#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_010010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_020010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_030010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_040010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_050010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_060010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_070010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_080010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_090010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_100010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_110010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_begin_120010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
event_begin_80010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
event_begin_80020#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
event_begin_80030#0,"""ทำลาย Dark Falz the Elder"""
event_begin_80040#0,"""กำจัดศัตรู<br>และเก็บ Quest Point ให้ครบ $(0) !"""
event_begin_80060#0,"""กำจัดศัตรู<br>และเก็บ Quest Point ให้ครบ $(0) !"""
event_begin_80070#0,"""ไปยังพื้นที่สุดท้าย"""
event_begin_80080#0,"""กำจัดศัตรูให้หมดทุกตัว !"""
event_begin_80100#0,"""กำจัดศัตรู<br>และเก็บ Quest Point ให้ครบ $(0) !"""
event_begin_80110#0,"""กำจัดศัตรู<br>และเก็บ Quest Point ให้ครบ $(0) !"""
tower_begin_90010#0,"""พิชิตสเตจทั้ง 5 ให้ได้!"""
tower_begin_90020#0,"""พิชิตสเตจทั้ง 5 ให้ได้!"""
tower_begin_90030#0,"""พิชิตสเตจทั้ง 5 ให้ได้!"""
defense_begin_010010#0,"""ปกป้อง Mining Post !"""
defense_begin_010030#0,"""ปกป้อง Mining Post !"""
urgency_begin_100010#0,"""สะสม Beach Point ให้ครบ $(0)!"""
urgency_begin_100015#0,"""สะสม Beach Point ให้ครบ $(0)!"""
urgency_begin_060020#0,"""ทำลายจักรกลศัตรูปริศนา"""
urgency_begin_50210#0,"""หาร้านเค้กของพี่น้อง Naura ให้พบ!"""
urgency_begin_50200#0,"""ไปยังพื้นที่สุดท้าย"""
urgency_begin_50220#0,"""หาร้านเค้กของพี่น้อง Naura ให้พบ!"""
urgency_begin_50230#0,"""กำจัดศัตรู<br>และเก็บ Quest Point ให้ครบ $(0) !"""
urgency_begin_50240#0,"""เก็บ Valentine Point ให้ครบ $(0) !"""
urgency_begin_50250#0,"""เก็บ White Day Point ให้ครบ $(0) !"""
urgency_begin_50260#0,"""เปิดสวิตช์และกำจัดศัตรูให้หมด"""
urgency_begin_50270#0,"""กำจัด Apos Dorios !"""
urgency_begin_50280#0,"""กำจัด Dark Falz Luther"""
urgency_begin_50290#0,"""กำจัด Dark Falz Luther"""
urgency_begin_50300#0,"""กำจัดศัตรู<br>และเก็บ Quest Point ให้ครบ $(0) !"""
urgency_begin_50310#0,"""ไปยังพื้นที่สุดท้าย"""
urgency_begin_100020#0,"""สะสม Beach Point ให้ครบ $(0)!"""
Title#1,"""「$(0)」"""
InterruptIncident#1,"""Dummy0"""
Enemy#1,"""$(0)を討伐せよ！"""
InterruptIncidentSpecifiedEnemyAnnihilation#1,"""Dummy1"""
InterruptIncidentSpecifiedEnemyAnnihilation_A#1,"""ザウーダンを撃退せよ！"""
InterruptIncidentSpecifiedEnemyAnnihilation_B#1,"""ロックベアを撃退せよ！"""
InterruptIncidentSpecifiedEnemyAnnihilation_C#1,"""ブリアーダを撃退せよ！"""
InterruptIncidentSpecifiedEnemyAnnihilation_D#1,"""カルターゴを殲滅せよ！"""
InterruptIncidentEscapeEnemyAnnihilation#1,"""ナヴ・ラッピーを昏倒させ<br>データを収集せよ！"""
InterruptIncidentBossAnnihilation#1,"""Dummy3"""
InterruptIncidentBossAnnihilation_A#1,"""ヴォル・ドラゴンを倒せ！"""
InterruptIncidentFirewall#1,"""Dummy4"""
InterruptIncidentHeliDefense#1,"""Dummy5"""
InterruptIncidentDoorAndKey#1,"""Dummy6"""
InterruptIncidentEnemybomb#1,"""最深部に向かい、異常を調査せよ！"""
InterruptIncidentP#1,"""Dummy8"""
EnemyBossSpider#1,"""ボスグモを討伐せよ！"""
EnemyBossDragon#1,"""ドラゴンを討伐せよ！"""
BeginQuestPointMsg#1,"""クエストポイントを$(0)ためろ！"""
BeginQuestPointMsg_A#1,"""ナベリウス原生種を撃退し<br>クエストポイントを$(0)ためろ！"""
BeginQuestPointMsg_B#1,"""ダーカーを撃退し<br>クエストポイントを$(0)ためろ！"""
BeginQuestPointMsg_C#1,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
InterruptIncidentBossAnnihilation_B#1,"""キャタドランを倒せ！"""
BeginFreeFieldMsg_A#1,"""最深部を目指せ！"""
story_begin_10010#1,"""ダーカーの群れを突破せよ！"""
story_begin_10020_01#1,"""ダーカーの群れを突破せよ！"""
story_begin_10020_02#1,"""声の正体を確かめろ！"""
story_begin_10020_03#1,"""声の正体を確かめろ！"""
story_begin_10030_01#1,"""地質サンプルを採取せよ！"""
story_begin_10030_02#1,"""謎の人影を追え！"""
story_begin_10040_01#1,"""リリーパ族を探し出せ！"""
story_begin_10040_02#1,"""リリーパ族を探し出せ！"""
story_begin_10050_01#1,"""龍族とコンタクトせよ！"""
story_begin_10050_02#1,"""龍族とコンタクトせよ！"""
story_begin_10060_01#1,"""最深部まで探索せよ！"""
story_begin_10060_02#1,"""リリーパ族を守りながら進め！"""
story_begin_10070_01#1,"""浮遊大陸を探索せよ！"""
story_begin_10070_02#1,"""待ち人に会いに行け！"""
story_begin_10080#1,"""侵入したダーカーを殲滅せよ！"""
story_begin_10080_2#1,"""居住地区へと向かえ！"""
story_begin_10090_01#1,"""遺跡の秘密を探れ！"""
story_begin_10090_02#1,"""遺跡の秘密を探れ！"""
story_begin_10090_03#1,"""遺跡の秘密を探れ！"""
story_begin_10090_04#1,"""歴史改変を成し遂げろ！"""
story_begin_10100_01#1,"""造龍ハドレッドを捕捉しろ！"""
story_begin_10100_02#1,"""造龍ハドレッドを捕捉しろ！"""
story_begin_10110_01#1,"""奥にいるクーナと合流せよ！"""
story_begin_10120#1,"""エネミーを撃破し<br>スコアポイントを$(0)稼げ！"""
story_begin_10130_01#1,"""カブラカンの仲間を探せ！"""
story_begin_10130_02#1,"""テオドールと共に奥へ進め！"""
story_begin_10140_01#1,"""ロ・カミツを探せ！"""
story_begin_10140_02#1,"""サラと共に進め！"""
story_begin_10150_01#1,"""採掘場跡を警らせよ"""
story_begin_10150_02#1,"""アフィンと共に探索せよ"""
story_begin_10160_01#1,"""海底の施設を調査せよ！"""
story_begin_10160_02#1,"""海底エリアを調査せよ！"""
story_begin_10170_01#1,"""メルフォンシーナと共に進め"""
story_begin_10180_01#1,"""シオンのもとへ急げ！"""
story_begin_10175_01#1,"""最奥で一人戦う彼女のもとへ急げ！"""
freefield_begin_20010#1,"""最深部を目指せ！"""
freefield_begin_20020#1,"""最深部を目指せ！"""
freefield_begin_20030#1,"""最深部を目指せ！"""
freefield_begin_20040#1,"""最深部を目指せ！"""
freefield_begin_20050#1,"""最深部を目指せ！"""
freefield_begin_20060#1,"""最深部を目指せ！"""
freefield_begin_20070#1,"""最深部を目指せ！"""
freefield_begin_20080#1,"""最深部を目指せ！"""
freefield_begin_20090#1,"""最深部を目指せ！"""
freefield_begin_20100#1,"""最深部を目指せ！"""
freefield_begin_20110#1,"""最深部を目指せ！"""
arks_begin_30010#1,"""ザウーダンを討伐せよ！"""
arks_begin_30015#1,"""フォンガルフを討伐せよ！"""
arks_begin_30020#1,"""ナヴ・ラッピーを昏倒させ<br>データを収集せよ！"""
arks_begin_30030#1,"""ダガンを撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30040#1,"""ファングバンサーを討伐せよ！"""
arks_begin_30050#1,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30060#1,"""カルターゴを殲滅せよ！"""
arks_begin_30070#1,"""キャタドランを討伐せよ！"""
arks_begin_30080#1,"""機甲種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30090#1,"""稀少鉱物を回収せよ！"""
arks_begin_30100#1,"""鉱石を採掘せよ！"""
arks_begin_30110#1,"""原生種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30120#1,"""連絡途絶のアークスを捜索せよ！"""
arks_begin_30130#1,"""デ・マルモスを鎮圧せよ！"""
arks_begin_30140#1,"""機甲種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30150#1,"""要救助者を救助せよ！"""
arks_begin_30160#1,"""トランマイザーを撃破せよ！"""
arks_begin_30170#1,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30180#1,"""特殊鉱物を回収せよ！"""
arks_begin_30190#1,"""キャタドランサを討伐せよ！"""
arks_begin_30200#1,"""ダーカーを撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30210#1,"""ダーカイムを破壊せよ！"""
arks_begin_30220#1,"""ウォルガーダを殲滅せよ！"""
arks_begin_30230#1,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30240#1,"""ソル・ディランダールの討伐"""
arks_begin_30250#1,"""ゴロンゾランを鎮圧せよ！"""
arks_begin_30260#1,"""海王種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30270#1,"""最深部の砲仙花を駆除せよ！"""
arks_begin_30280#1,"""オルグブランを討伐せよ！"""
arks_begin_30290#1,"""機甲種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30300#1,"""最深部の集落を防衛せよ！"""
arks_begin_30310#1,"""ヴァーダーソーマを討伐せよ！"""
arks_begin_30320#1,"""海王種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30330#1,"""ウォパル原生住民を救助せよ！"""
arks_begin_30340#1,"""デコル・マリューダを討伐せよ！"""
time_begin_40010#1,"""最深部を目指せ！"""
time_begin_40020#1,"""最深部を目指せ！"""
time_begin_40030#1,"""最深部を目指せ！"""
time_begin_40040#1,"""最深部を目指せ！"""
time_begin_40050#1,"""最深部を目指せ！"""
time_begin_40060#1,"""最深部を目指せ！"""
urgency_begin_50010#1,"""最深部を目指せ！"""
urgency_begin_50020#1,"""ダーカーを撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50030#1,"""最深部を目指せ！"""
urgency_begin_50035#1,"""最深部を目指せ！"""
urgency_begin_50040#1,"""ビッグヴァーダーを撃破せよ！"""
urgency_begin_50050#1,"""時間一杯エネミーを撃退せよ！"""
urgency_begin_50060#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_begin_50070#1,"""時間一杯エネミーを撃退せよ！"""
urgency_begin_50080#1,"""ファルス・アームを撃破せよ！"""
urgency_begin_50090#1,"""ダークファルス・エルダーの撃破"""
urgency_begin_50100#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_begin_50110#1,"""バレンタインPtを$(0)ためろ！"""
urgency_begin_50120#1,"""ホワイトデーPtを$(0)ためろ！"""
urgency_begin_50130#1,"""最深部を目指せ！"""
urgency_begin_50140#1,"""最深部を目指せ！"""
urgency_begin_50160#1,"""要救助者を救助し<br>クエストポイントを$(0)ためろ！"""
escape_begin_030010#1,"""回収ポイントを目指せ！"""
escape_begin_030020#1,"""回収ポイントを目指せ！"""
tgs2013_begin_00000#1,"""最深部を目指せ！"""
cost_begin_010010#1,"""最深部を目指せ！"""
cost_begin_020010#1,"""最深部を目指せ！"""
cost_begin_030010#1,"""最深部を目指せ！"""
cost_begin_040010#1,"""最深部を目指せ！"""
cost_begin_050010#1,"""最深部を目指せ！"""
cost_begin_060010#1,"""最深部を目指せ！"""
cost_begin_070010#1,"""最深部を目指せ！"""
cost_begin_080010#1,"""最深部を目指せ！"""
cost_begin_090010#1,"""最深部を目指せ！"""
cost_begin_100010#1,"""最深部を目指せ！"""
cost_begin_110010#1,"""最深部を目指せ！"""
cost_begin_120010#1,"""最深部を目指せ！"""
event_begin_80010#1,"""最深部を目指せ！"""
event_begin_80020#1,"""最深部を目指せ！"""
event_begin_80030#1,"""ダークファルス・エルダーの撃破"""
event_begin_80040#1,"""エネミーを撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80060#1,"""エネミーを撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80070#1,"""最深部を目指せ！"""
event_begin_80080#1,"""エネミーを全滅させろ！"""
event_begin_80100#1,"""エネミーを撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80110#1,"""エネミーを撃退し<br>クエストポイントを$(0)ためろ！"""
tower_begin_90010#1,"""５つのステージを制覇せよ！"""
tower_begin_90020#1,"""５つのステージを制覇せよ！"""
tower_begin_90030#1,"""５つのステージを制覇せよ！"""
defense_begin_010010#1,"""採掘基地を防衛せよ！"""
defense_begin_010030#1,"""採掘基地を防衛せよ！"""
urgency_begin_100010#1,"""ビーチPtを$(0)ためろ！"""
urgency_begin_100015#1,"""ビーチPtを$(0)ためろ！"""
urgency_begin_060020#1,"""謎の敵性機械エネミーの撃破"""
urgency_begin_50210#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_begin_50200#1,"""最深部を目指せ！"""
urgency_begin_50220#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_begin_50230#1,"""エネミーを撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50240#1,"""バレンタインPtを$(0)ためろ！"""
urgency_begin_50250#1,"""ホワイトデーPtを$(0)ためろ！"""
urgency_begin_50260#1,"""スイッチを起動しエネミーを殲滅せよ！"""
urgency_begin_50270#1,"""アポス・ドリオスを撃破せよ！"""
urgency_begin_50280#1,"""ダークファルス・ルーサーの撃破"""
urgency_begin_50290#1,"""ダークファルス・ルーサーの撃破"""
urgency_begin_50300#1,"""エネミーを撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50310#1,"""最深部を目指せ！"""
urgency_begin_100020#1,"""ビーチPtを$(0)ためろ！"""
BeginMsgTemplate#0,"""<yellow>เป้าหมายของเควส $(0)<c>"""
SuccessMsg_1#0,"""<yellow>เควสท์เคลียร์!<c>"""
SuccessMsg_2#0,"""<yellow>กลับด้วย Telepipe<c>"""
FailureMsg#0,"""<yellow>เควสล้มเหลว!<c>"""
RemainPoint#0,"""แต้มที่ต้องการ: $(0)"""
IncidentQuestPoint#0,"""แต้มที่ได้รับ: $(0)"""
QuestOpenMsg#0,"""เควสเหล่านี้ถูกปลดล็อกแล้ว"""
QuestOpenOther#0,"""อื่นๆ"""
TimeLimitRemainingSec#0,"""เหลือเวลาอีก $(0) วินาที!"""
TimeLimitRemainingMin#0,"""เหลือเวลาอีก $(0) นาที!"""
QuotationMarks#0,"""[$(0)]"""
AchieveQuestPointMin#0,"""Quest Point ถึงที่กำหนด! สะสมแต้มต่อไปเพื่อเลื่อนขั้น!"""
AchieveQuestPointMax#0,"""Quest Point ถึงเป้าสูงสุด!"""
BeginMsgTemplate#1,"""<yellow>クエスト目標\u3000$(0)<c>"""
SuccessMsg_1#1,"""<yellow>クエストクリア！<c>"""
SuccessMsg_2#1,"""<yellow>出現したテレパイプで帰還せよ<c>"""
FailureMsg#1,"""<yellow>クエスト失敗！<c>"""
RemainPoint#1,"""残り$(0)ポイント"""
IncidentQuestPoint#1,"""$(0)ポイントを得た"""
QuestOpenMsg#1,"""以下のクエストが解放されました。"""
QuestOpenOther#1,"""他"""
TimeLimitRemainingSec#1,"""制限時間まであと$(0)秒！"""
TimeLimitRemainingMin#1,"""制限時間まであと$(0)分！"""
QuotationMarks#1,"""「$(0)」"""
AchieveQuestPointMin#1,"""クエストポイント目標達成！\u3000更にためるとリザルトランクＵＰのチャンス！"""
AchieveQuestPointMax#1,"""最大クエストポイント達成！"""
RepopDisabledMsg#0,"""กำจัดศัตรูในแอเรียนี้"""
QuestRetireSelectedInEscape#0,"""กลับไปที่ ARKS Ship"""
RepopDisabledMsg#1,"""このエリアの敵性存在の消失を確認"""
QuestRetireSelectedInEscape#1,"""アークスシップへ帰還します"""
first_on_success#0,"""Dummy1"""
first_on_bossdead#0,"""Dummy2"""
first_on_bosswarp#0,"""Dummy3"""
first_on_login#0,"""Dummy4"""
first_on_begin#0,"""Dummy5"""
success_clear_incident#0,"""Dummy6"""
fourth_on_success#0,"""Dummy7"""
first_on_success#1,"""Dummy1"""
first_on_bossdead#1,"""Dummy2"""
first_on_bosswarp#1,"""Dummy3"""
first_on_login#1,"""Dummy4"""
first_on_begin#1,"""Dummy5"""
success_clear_incident#1,"""Dummy6"""
fourth_on_success#1,"""Dummy7"""
dummy_caption#0,"""Dummy"""
dummy_text#0,"""Dummy"""
null_caption#0,"""Dummy"""
lobby_caption#0,"""Lobby"""
myroom_caption#0,"""My Room"""
dummy_caption#1,"""Dummy"""
dummy_text#1,"""Dummy"""
null_caption#1,"""Dummy"""
lobby_caption#1,"""ロビー"""
myroom_caption#1,"""マイルーム"""
StartMsg#0,"""เริ่มทำเควสในสภาพ Advance Risk + $(0)"""
EndMsg#0,"""Advance Risk ของท่าน + $(0) แล้ว"""
ResetMsg#0,"""Advance Risk ของ [$(0)($(1))] ถูกรีเซ็ตแล้ว"""
StartMsg#1,"""アドバンスリスクが＋$(0)状態のクエストを開始します。"""
EndMsg#1,"""あなたのアドバンスリスクが＋$(0)になりました。"""
ResetMsg#1,"""「$(0)($(1))」のアドバンスリスクがリセットされました。"""
WaveReward#0,"""ท่านได้รับรางวัล Wave<br>$(0)"""
SizeDisp#0,"""x"""
NpcCom00#0,"""พบปฏิกริยาจากศัตรู! พวกมันเข้ามาใกล้ถึงฐานแล้วค่ะ!<br>รวบรวม Crystal และเตรียมรับการโจมตี!"""
NpcCom01#0,"""ฐานทั้งหมดถูกทำลายลงแล้ว...ช่วยไม่ได้ กลับมาก่อนเถอะค่ะ"""
NpcCom02#0,"""ขอบคุณมากค่ะ ยอดเยี่ยมอะไรอย่างนี้ !<br>ถอนกำลังกลับมาได้แล้วค่ะ"""
NpcCom03#0,"""ขอบคุณมากค่ะ ถึงจะได้รับความเสียหายนิดหน่อย แต่ไม่มีปัญหาอะไร<br>กลับมาได้แล้วค่ะ"""
NpcCom04#0,"""ขอบคุณมากค่ะ ถึงต้องใช้เวลาซ่อมแซมมากสักหน่อย แต่ไม่มีปัญหาอะไร<br>กลับมาได้แล้วค่ะ"""
NpcCom05#0,"""จบแล้วค่ะ<br>ไว้คราวหน้าพยายามปกป้องให้ได้ทีนะคะ !"""
NpcCom06#0,"""ตรวจพบปฏิกริยาจากศัตรูที่ร้ายกาจ! โปรดระวังตัวด้วยนะคะ!"""
NpcCom07#0,"""ฐาน $(0) กำลังถูกโจมตี! รีบมุ่งหน้าไปช่วยทีเถอะค่ะ!"""
NpcCom08#0,"""ฐาน $(0) จะต้านไว้ไม่ไหวแล้วค่ะ! ขอกำลังเสริมด่วนที่สุดค่ะ!"""
NpcCom09#0,"""ดูเหมือนศัตรูจะมีพลังเพิ่มขึ้น! โปรดระวังตัวด้วยนะคะ!"""
NpcCom10#0,"""ตอนนี้จำนวนพวกมันเหลือไม่มากแล้ว !<br>อดทนกันอีกนิดเดียวนะคะ สู้ๆ !"""
NpcCom11#0,"""อีกอึดใจเดียวเท่านั้น !<br>สู้ตายนะค้า !"""
NpcCom12#0,"""อ๊า อันตรายค่ะ ! หนีเร็ว !<br>พวก Goldrahda จะระเบิดตัวเองแล้วค่ะ !"""
NpcCom12_Last#0,"""สำเร็จแล้ว ไชโย้ !<br>พวก D-arker มันยอมแพ้เราแล้วค่า !"""
NpcCom13#0,"""ถูกมันทำลายได้อีกแล้ว !<br>ตอนนี้เหลืออีกแค่ 1 ฐาน<br>ปกป้องสุดชีวิตเลยนะค้า !"""
NpcCom14#0,"""หวา !? ถูกพวกมันทำลายได้อีกแล้ว !<br>ตอนนี้เหลืออีก 2 ฐาน<br>ปกป้องให้ได้นะค้า !"""
NpcCom15#0,"""เหลือแค่ 3 ฐานแล้ว...<br>สู้ๆค่ะ ! อย่าให้มันทำลายได้อีกนะค้า !"""
NpcCom16#0,"""อ๊า !<br>ฐานของเราถูกทำลายแล้ว !<br>เหลืออีก 4 ฐาน ! กันไว้ให้ได้นะคะ !"""
barricade0#0,"""แนวป้องกันที่ 1 ถูกตีแตกแล้วค่ะ !<br>พวกศัตรูบุกเข้ามาด้านในแล้ว !"""
barricade1#0,"""แนวป้องกันที่ 2 ถูกตีแตกแล้วค่ะ !<br>ทำยังไงก็ได้หยุดพวกมันให้ทีนะค้า !"""
barricade2#0,"""แนวป้องกันสุดท้ายแตกแล้วค่า !<br>อย่าปล่อยให้พวกมันเข้าไปลึกกว่านี้ได้นะค้า !"""
UITimerExplanation00#0,"""Wave $(0) จะเริ่มภายในเวลา"""
UITimerExplanation01#0,"""Wave $(0) จะจบภายในเวลา"""
UITimerExplanation02#0,"""Wave สุดท้ายจะเริ่มภายในเวลา"""
UITimerExplanation03#0,"""Wave สุดท้ายจะจบภายในเวลา"""
EnemyCondition00#0,"""HP 20% up"""
EnemyCondition01#0,"""HP 40% up"""
EnemyCondition02#0,"""HP 60% up"""
EnemyCondition03#0,"""Attack 20% up"""
EnemyCondition04#0,"""Attack 40% up"""
EnemyCondition05#0,"""Attack 60% up"""
LineMsgEnemyConditionNum1#0,"""ศัตรูได้รับความสามารถเพิ่มขึ้น!<br>$(0)"""
LineMsgEnemyConditionNum2#0,"""ศัตรูได้รับความสามารถเพิ่มขึ้น!<br>$(0) $(1)"""
LineMsgBase00#0,"""ฐาน $(0) ถูกทำลาย !"""
BaseColorOrange#0,"""ส้ม"""
BaseColorPurple#0,"""ม่วง"""
BaseColorWhite#0,"""ขาว"""
BaseColorBlue#0,"""ฟ้า"""
BaseColorGreen#0,"""เขียว"""
Terminal_ActionToastOwn_1#0,"""กางบาเรียที่ $(0) แล้วค่ะ"""
Terminal_ActionToastOwn_2#0,"""ฟื้นฟูความทนทานที่ $(0) แล้วค่ะ"""
Terminal_ActionToastOwn_3#0,"""ส่งหุ่นยนต์ไปที่ $(0) แล้วค่ะ"""
Terminal_ActionToastOwn_4#0,"""ส่งป้อมปืนไปที่ $(0) แล้วค่ะ"""
Terminal_ActionToastOwn_5#0,"""ส่งป้อมปืนประสิทธิภาพสูงไปที่ $(0) แล้วค่ะ"""
Terminal_ActionToastOwn_6#0,"""กำจัดการกัดกินที่ฐาน $(0) แล้วค่ะ"""
Terminal_ActionToastMember_1#0,"""$(0) กางบาเรียที่ฐาน $(1)"""
Terminal_ActionToastMember_2#0,"""$(0) ฟื้นฟูความทนทานที่ฐาน $(1)"""
Terminal_ActionToastMember_3#0,"""$(0) เรียกหุ่นยนต์ไปที่ฐาน $(1)"""
Terminal_ActionToastMember_4#0,"""$(0) เรียกป้อมปืนไปที่ฐาน $(1)"""
Terminal_ActionToastMember_5#0,"""$(0) เรียกป้อมปืนประสิทธิภาพสูงไปที่ฐาน $(1)"""
Terminal_ActionToastMember_6#0,"""$(0) กำจัดการกัดกินที่ฐาน $(1)"""
TitleNone#0,"""Newbie Post Defender"""
Title0#0,"""Galactic Guardian"""
Title1#0,"""Superior Guardian"""
Title2#0,"""Professional Guardian"""
Title3#0,"""Luminous Healer"""
Title4#0,"""Genius Healer"""
Title5#0,"""Expertise Healer"""
