CardSelect_Title#0,"""เลือก Bingo Card """
00000220#0,"""「ギルナッチ撃破」"""
00000221#0,"""「サイクロネーダ撃破」"""
00000222#0,"""「任意のドリンクを飲む」"""
00000223#0,"""「ディンゲール撃破」"""
00000224#0,"""「ヴィントバルガー撃破」"""
00000225#0,"""「ファルス・ヒューナル撃破」"""
00000226#0,"""「狡猾なる黒翼の尖兵」"""
00000227#0,"""「特務先遣調査：海岸」"""
00000228#0,"""「ティラルーダ撃破」"""
00000229#0,"""「シュタークガン撃破」"""
00000230#0,"""「ジャストアタック特訓・Ⅰ」"""
00000231#0,"""「ヴィド・ギロス撃破」"""
00000232#0,"""「任意のプレイヤーにグッジョブを送信する」"""
00000233#0,"""「ソルダ・カピタ撃破」"""
00000234#0,"""「ティフリスに話しかける」"""
00000235#0,"""「極限訓練：遺跡と海王」"""
00000236#0,"""「ヴィドルーダ撃破」"""
00000237#0,"""「マターボード：【未来を迎えるため】の入手」"""
00000238#0,"""「」"""
00000239#0,"""「ダーカーの系統別分類調査」"""
00000240#0,"""「ドゥエ・ソルダ撃破」"""
00000241#0,"""「アークスGP2014予選」"""
00000242#0,"""「パーティー演習・Ⅰ」"""
00000243#0,"""「ブリュンダール撃破」"""
00000244#0,"""「赤色のコンテナを破壊する」"""
00000245#0,"""「ゴルドラーダ撃破」"""
00000246#0,"""「リューダソーサラー撃破」"""
00000247#0,"""「シュトゥラーダ撃破」"""
00000248#0,"""「デコル・マリューダ撃破」"""
00000249#0,"""「トランマイザー撃破」"""
00000250#0,"""「ドリュアーダ撃破」"""
00000251#0,"""「マザーシップに平穏を！\u3000Ⅰ」"""
00000252#0,"""「カルターゴ撃破」"""
00000253#0,"""「混乱誘うダーカーたち！」"""
00000254#0,"""「任意のアイテムの強化を成功させる」"""
00000255#0,"""「マザーシップに平穏を！\u3000Ⅱ」"""
00000256#0,"""「シル・ディーニアン撃破」"""
00000257#0,"""「ブルメガーラ撃破」"""
00000258#0,"""「リューダソーサラー撃破」"""
00000259#0,"""「アクルプス撃破」"""
00000260#0,"""「ディーニアン撃破」"""
00000261#0,"""「ダガン撃破」"""
00000262#0,"""「緑色のコンテナを破壊する」"""
00000263#0,"""「」"""
00000264#0,"""「ディッグ撃破」"""
00000265#0,"""「クラーダ撃破」"""
00000266#0,"""「スパルザイル撃破」"""
00000267#0,"""「ブリアーダ撃破」"""
00000268#0,"""「ガロンゴ撃破」"""
00000269#0,"""「エル・アーダ撃破」"""
00000270#0,"""「シグノビート撃破」"""
00000271#0,"""「マザーシップに平穏を！\u3000Ⅲ」"""
00000272#0,"""「ＦＵＮスクラッチを引く」"""
00000273#0,"""「静寂に生まれし混沌」"""
00000274#0,"""「ディカーダ撃破」"""
00000275#0,"""「マザーシップに平穏を！\u3000Ⅳ」"""
00000276#0,"""「ジャストアタック特訓・Ⅶ」"""
00000277#0,"""「ダブリュンダ撃破」"""
00000278#0,"""「ブラック・スローター・Ⅰ」"""
00000279#0,"""「マターボード：【未来を迎えるため】の入手」"""
00000280#0,"""「新規任務模擬訓練・火山洞窟」"""
00000281#0,"""「ダブリューネ撃破」"""
00000282#0,"""「ギルナスの装甲の調達」"""
00000283#0,"""「黄色のコンテナを破壊する」"""
00000284#0,"""「トランマイザー撃破」"""
00000285#0,"""「アークスＧＰ２０１４予選」"""
00000286#0,"""「ブラック・スローター・Ⅱ」"""
00000287#0,"""「PSEバーストを発生させる」"""
00000288#0,"""「」"""
00000289#0,"""「ファイナに話しかける」"""
00000290#0,"""「ブラック・スローター・Ⅲ」"""
00000291#0,"""「ランズ・ヴァレーダ撃破」"""
00000292#0,"""「クォーツ・ドラゴン撃破」"""
00000293#0,"""「赤色のコンテナを破壊する」"""
00000294#0,"""「ガーディンのフレームの調達」"""
00000295#0,"""「ファルス・アンゲル撃破」"""
00000296#0,"""「ドラゴン・エクス撃破」"""
00000297#0,"""「ブリュー・リンガーダ撃破」"""
00000298#0,"""「ロックベア撃破」"""
00000299#0,"""「ヴィドルーダ撃破」"""
00000300#0,"""「ジャストアタック特訓・Ⅷ」"""
00000301#0,"""「ブルトルボン撃破」"""
00000302#0,"""「キャタドランサ撃破」"""
00000303#0,"""「ゴロンゾラン撃破」"""
00000304#0,"""「マグにアイテムを与える」"""
00000305#0,"""「ディガーラ撃破」"""
00000306#0,"""「お宝探して三千里・その壱」"""
00000307#0,"""「ベンドラン撃破」"""
00000308#0,"""「緑色のコンテナを破壊する」"""
00000309#0,"""「ラケシスに話しかける」"""
00000310#0,"""「お宝探して三千里・その参」"""
00000311#0,"""「シル・サディニアン撃破」"""
00000312#0,"""「ディランダール撃破」"""
00000313#0,"""「」"""
00000314#0,"""「ガルフル撃破」"""
00000315#0,"""「ファンガルフル撃破」"""
00000316#0,"""「お宝が呼んでいる」"""
00000317#0,"""「ファイナに話しかける」"""
00000318#0,"""「青色のコンテナを破壊する」"""
00000319#0,"""「シグノガン撃破」"""
00000320#0,"""「お宝探して三千里・その弐」"""
00000321#0,"""「ヤクトバルガー撃破」"""
00000322#0,"""「ヴァーダーソーマ撃破」"""
00000323#0,"""「オルグブラン撃破」"""
00000324#0,"""「デ・マルモス撃破」"""
00000325#0,"""「イエーデ撃破」"""
00000326#0,"""「パーティー演習・Ⅰ」"""
00000327#0,"""「任意のエクストリームクエスト」"""
00000328#0,"""「ダガッチャ撃破」"""
00000329#0,"""「ファルス・ヒューナル撃破」"""
00000330#0,"""「ビーチウォーズ２！」"""
00000331#0,"""「新規任務模擬訓練・砂漠」"""
00000332#0,"""「サマーリゾート計画！」"""
00000333#0,"""「熾烈な浮遊大陸探索」"""
00000334#0,"""「まずは海岸の安全確保！」"""
00000335#0,"""「ビオル・メデューナ撃破」"""
00000336#0,"""「ブリュンダール撃破」"""
00000337#0,"""「タロベッコ撃破」"""
00000338#0,"""「」"""
00000339#0,"""「セグレズン撃破」"""
00000340#0,"""「クラバーダ撃破」"""
00000341#0,"""「ゼッシュレイダ撃破」"""
00000342#0,"""「ビーチの必需品！」"""
00000343#0,"""「熾烈な龍祭壇探索」"""
00000344#0,"""「バル・ロドスを追っ払え！」"""
00000345#0,"""「オルグブラン撃破」"""
00000346#0,"""「プリンに話しかける」"""
00000347#0,"""「ブリュー・リンガーダ撃破」"""
00000348#0,"""「ダーガッシュ撃破」"""
00000349#0,"""「ナイトギア撃破」"""
00000350#0,"""「赤色のコンテナを破壊する」"""
09000326#1,"""「ビンゴオーダー1」"""
09000327#1,"""「ビンゴオーダー2」"""
09000328#1,"""「ビンゴオーダー3」"""
09000329#1,"""「ビンゴオーダー4」"""
09000330#1,"""「ビンゴオーダー5」"""
09000331#1,"""「ビンゴオーダー6」"""
09000332#1,"""「ビンゴオーダー7」"""
09000333#1,"""「ビンゴオーダー8」"""
09000334#1,"""「ビンゴオーダー9」"""
09000335#1,"""「ビンゴオーダー10」"""
09000336#1,"""「ビンゴオーダー11」"""
09000337#1,"""「ビンゴオーダー12」"""
09000338#1,"""「ビンゴオーダー13」"""
09000339#1,"""「ビンゴオーダー14」"""
09000340#1,"""「ビンゴオーダー15」"""
09000341#1,"""「ビンゴオーダー16」"""
09000342#1,"""「ビンゴオーダー17」"""
09000343#1,"""「ビンゴオーダー18」"""
09000344#1,"""「ビンゴオーダー19」"""
09000345#1,"""「ビンゴオーダー20」"""
09000346#1,"""「ビンゴオーダー21」"""
09000347#1,"""「ビンゴオーダー22」"""
09000348#1,"""「ビンゴオーダー23」"""
09000349#1,"""「ビンゴオーダー24」"""
09000350#1,"""「ビンゴオーダー25」"""
09000351#1,"""「ビンゴオーダー1」"""
09000352#1,"""「ビンゴオーダー2」"""
09000353#1,"""「ビンゴオーダー3」"""
09000354#1,"""「ビンゴオーダー4」"""
09000355#1,"""「ビンゴオーダー5」"""
09000356#1,"""「ビンゴオーダー6」"""
09000357#1,"""「ビンゴオーダー7」"""
09000358#1,"""「ビンゴオーダー8」"""
09000359#1,"""「ビンゴオーダー9」"""
09000360#1,"""「ビンゴオーダー10」"""
09000361#1,"""「ビンゴオーダー11」"""
09000362#1,"""「ビンゴオーダー12」"""
09000363#1,"""「ビンゴオーダー13」"""
09000364#1,"""「ビンゴオーダー14」"""
09000365#1,"""「ビンゴオーダー15」"""
09000366#1,"""「ビンゴオーダー16」"""
09000367#1,"""「ビンゴオーダー17」"""
09000368#1,"""「ビンゴオーダー18」"""
09000369#1,"""「ビンゴオーダー19」"""
09000370#1,"""「ビンゴオーダー20」"""
09000371#1,"""「ビンゴオーダー21」"""
09000372#1,"""「ビンゴオーダー22」"""
09000373#1,"""「ビンゴオーダー23」"""
09000374#1,"""「ビンゴオーダー24」"""
09000375#1,"""「ビンゴオーダー25」"""
