TitleMenu#0,"""Events / Chronicles"""
StoryDetail2-9#1,"""凍土に踏み入ったところで<br>噂に聞いていた人影を目撃する。<br><br>それと同時に聞こえた<br>心拍音のような、謎の音。<br>この先に何があるというのだろうか……"""
StoryDetail2-10#1,"""凍土の最奥、辿り着いた先にあったのは<br>氷に包まれた何らかの人工物だった。<br>それを手に取った瞬間、仮面が姿を見せ<br>強奪を狙い襲いかかってくる。<br>ゼノの援護によって事なきを得るが<br>仮面の人物に退く様子はなく<br>強烈な敵意と共に襲いかかってくる。"""
StoryDetail2-11#1,"""唐突に響いた心拍のような音に<br>仮面の人物の動きが一瞬止まる。<br>その隙を見逃さなかったゼノの攻撃が<br>仮面を捉え、破片が散る。<br>仮面の人物は顔を押さえ<br>忌々しげに撤退していった……"""
StoryDetail3-1#1,"""シオンは言う。「貴方が得たものは<br>貴方にしか得られぬものとなった」と。<br>凍土で見つけたものが一体何なのか<br>仔細はまだわからない。だが、シオンは<br>それもやがてわかること、とだけ告げ<br>新たなマターボードを差し出してきた。"""
StoryDetail3-2#1,"""惑星リリーパの砂漠で、小さな人影に<br>助けられたというフーリエ。<br>彼女の依頼のもと、ともに小さな人影を<br>探しにリリーパの砂漠へ向かう。"""
StoryDetail3-3#1,"""任務記録をつけ忘れていたフーリエは<br>あわててデータを記入し始める。<br><br>時間を問われ、認識している時間を答える。<br><br>彼女はデータの記入を終え、ふうと一息。<br>気を取り直して、先に進むことに。"""
StoryDetail3-4#1,"""小さな足跡などの痕跡を見つけるが<br>慌てて逃げ出したような痕跡でもあった。<br>まるで、怯えてるかのように。<br>もうこの辺りにはいないのかなあ、と<br>不安に駆られるフーリエだが<br>すぐに気持ちを切り替えて<br>さらに奥へと進んでいく。"""
StoryDetail3-5#1,"""とうとう小さな人影を確認するが<br>彼らは怯えたように逃げ去ってしまった。<br>怖がらせるつもりなんてないのに<br>ショックを隠しきれないフーリエ。<br>……だが、フーリエの落胆は一瞬だった。<br>まだまだ諦めませんと、彼女は宣言する。"""
StoryDetail3-6#1,"""道中、ぼろぼろに破壊された機甲種を<br>発見する。こんな乱暴な戦い方をする<br>アークスがいるなんて、ぞっとしないと<br>フーリエは言う。<br>小さな人影にとっても、こういう存在は<br>きっと怖いんだろうな、と慮る。"""
StoryDetail3-7#1,"""辿り着いた先では、ゲッテムハルトが<br>機甲種を相手に大暴れしていた。<br>周囲をうろつく小さな人影も敵とみなし<br>攻撃を仕掛けるが、フーリエが身を挺して<br>ゲッテムハルトから彼らをかばう。<br>小さな人影は、怯えながらもフーリエを<br>心配し、そっとその傍に寄りそってきた。"""
StoryDetail4-1#1,"""シオンは言う。「起こったことから<br>決して目を逸らしてはならない」と。<br>ゲッテムハルトの言、フーリエの思い<br>どちらも間違いではないからこそ<br>どちらも知っておくべきなのだろう。<br>ただ、シオンはいつも通り変わらぬ表情で<br>新たなマターボードを提示するのみだった。"""
StoryDetail4-2#1,"""アークスであり、研究者でもあるアキの<br>誘いを受けて、惑星アムドゥスキアの<br>火山洞窟へ赴く。<br>そこに棲む龍族の生態調査を行いたい<br>というのが、アキの依頼であった。"""
StoryDetail4-3#1,"""ちょうど話の通じそうな龍族を発見し<br>アキは意気揚々と声をかけるが<br>完全に無視をされてしまう。<br>自分が無視されるということ自体が<br>かなり珍しいことだったのだろう。<br>アキは不気味に笑いながら、歩みを進めた。"""
StoryDetail4-4#1,"""ダーカーの数が聞いていたものより<br>多いことに、アキは危機感を抱く。<br><br>龍族自身は、ダーカーを独自に撃退できる<br>からこそ、アークスの助力を拒むが<br>フォトンの力でなければ、撃退は<br>出来ていないのだと、アキは言う。"""
StoryDetail4-5#1,"""火山洞窟の最奥で、猛り狂っている<br>巨大な龍族に遭遇する。<br>怒っているような、泣いているような<br>その様子に、アキは怪訝そうな表情を作る。"""
StoryDetail4-6#1,"""猛り狂った巨大な龍族の撃退後<br>別の龍族が姿をあらわす。<br>間に合わなかったかと呟くその龍族は<br>さらなる交流を求めるアキに対し<br>語る言葉を持たないと突き放す。<br>目の前で同胞を倒してしまったのだ<br>龍族の言葉も当然のものだろう……"""
StoryDetail4-7#1,"""話の通じそうな龍族を発見し<br>アキは意気揚々と声をかけるが<br>なにやら様子がおかしい。<br>いきなり錯乱したような声を張り上げ<br>襲いかかってくる龍族。<br>反応が以前とまるで違うのは<br>何が変わったからなのか……"""
StoryDetail4-8#1,"""龍族の死骸を発見し、アキはその<br>体内組織を調査し始める。<br>分析結果を見て、やはりとばかりに<br>表情をこわばらせた。そこに残されていた<br>データが表すのは、体内からダーカーの<br>侵食を受けているということの証明だった。"""
StoryDetail4-9#1,"""猛り狂った巨大な龍族ヒ・ロガを諫めようと<br>龍族ヒ・エンが説得を繰り返している所に<br>遭遇する。アキはその説得の無意味さを訴え<br>自分たちに任せろとヒ・エンに進言する。<br>アークスの力ならば救えると<br>そう、断言してみせた。"""
StoryDetail4-10#1,"""体内に残されたダーカーの残滓を<br>アークスの用いるフォトンで滅ぼせば<br>正常に戻る。果たしてアキの言葉通り<br>ヒ・ロガは正常な思考を取り戻した。<br>だが、これははじまりに過ぎないと<br>アキは告げる。被害を広めないためにも<br>アークスと龍族の交流を強く訴える。"""
CharacterTitle1-1#0,"""Your First Client Request"""
CharacterTitle1-2#0,"""Finding the Other Parts"""
CharacterTitle1-3#0,"""Always Helpful"""
CharacterTitle1-4#0,"""Zeno and Echo"""
CharacterTitle1-5#0,"""A Strong Resemblance"""
CharacterTitle1-6#0,"""A Ranger at Heart"""
CharacterTitle1-7#0,"""Where is Echo?"""
CharacterTitle1-8#0,"""Stick Together"""
CharacterTitle1-9#0,"""Deja Vu"""
CharacterTitle1-10#0,"""Too Nice?"""
CharacterTitle1-11#0,"""Peace at Last"""
CharacterTitle1-12#0,"""An Inseverable Bond"""
CharacterTitle1-13#0,"""Motivations"""
CharacterTitle1-14#0,"""A Promising Future"""
CharacterTitle2-1#0,"""Where is Zeno?"""
CharacterTitle2-2#0,"""A Little Nervous"""
CharacterTitle2-3#0,"""Her Greatest Fear"""
CharacterTitle3-1#0,"""A Figure on the White Summit"""
CharacterTitle3-2#0,"""Traces of Existence"""
CharacterTitle3-3#0,"""Searching"""
CharacterTitle3-4#0,"""Working Alone"""
CharacterTitle3-5#0,"""D-arkers Mysteries"""
CharacterTitle3-6#0,"""ARKS Mysteries"""
CharacterTitle3-7#0,"""Jacks of all Trades"""
CharacterTitle3-8#0,"""Just Speak Up!"""
CharacterTitle3-9#0,"""Afin's Quest Part 2"""
CharacterTitle6-1#0,"""An Unexpected Encounter"""
CharacterTitle6-2#0,"""The Weak are Worthless"""
CharacterTitle6-3#0,"""Bait or Prey"""
CharacterTitle6-4#0,"""Wipe Out the D-arkers"""
CharacterTitle6-5#0,"""Poor Excuse for a Soldier"""
CharacterTitle6-6#0,"""Hatred Manifest"""
CharacterTitle6-7#0,"""Where's that Persona?"""
CharacterTitle6-8#0,"""A Little Bit of History"""
CharacterTitle6-9#0,"""The Indiscriminate Threat"""
CharacterTitle7-1#0,"""I'll Only Cause Trouble"""
CharacterTitle7-2#0,"""The Silent One"""
CharacterTitle7-3#0,"""An Unfathomable Relationship"""
CharacterTitle8-1#0,"""Saved by Tiny People"""
CharacterTitle8-2#0,"""Proof of Existence"""
CharacterTitle8-3#0,"""Looking for Her Saviors"""
CharacterTitle8-4#0,"""A Long Way to Go"""
CharacterTitle8-5#0,"""Dilemma"""
CharacterTitle8-6#0,"""A Reason to Fear"""
CharacterTitle9-1#0,"""Truth-Seeker"""
CharacterTitle9-2#0,"""Substitute Data Collector"""
CharacterTitle9-3#0,"""Seeing for Herself"""
CharacterTitle9-4#0,"""Not My Thing"""
CharacterTitle9-5#0,"""Now's Not the Time"""
CharacterTitle9-6#0,"""Amduskia's Allure"""
CharacterTitle10-1#0,"""The Missing Professor"""
CharacterTitle10-2#0,"""Peculiar Parameters"""
CharacterTitle11-1#0,"""The Discouraged Weapon-Maker"""
CharacterTitle11-2#0,"""Renewed Zeal"""
CharacterTitle11-3#0,"""Two More Pieces"""
CharacterTitle12-1#0,"""Survey on Naberius"""
CharacterTitle12-2#0,"""They Don't Match Up"""
CharacterTitle12-3#0,"""From Green to White"""
CharacterTitle12-4#0,"""The Naberian Enigma"""
CharacterTitle12-5#0,"""Something is Not Right"""
CharacterTitle13-1#0,"""Two ARKS in a Pod"""
CharacterTitle13-2#0,"""More Powerful D-arkers?"""
CharacterTitle13-3#0,"""The Armageneses of Legend"""
CharacterTitle13-4#0,"""Good ARKS? Bad ARKS?"""
CharacterTitle13-5#0,"""Rumors of Strange Shadows"""
CharacterTitle13-6#0,"""The Dragorii of the Cauldron"""
CharacterTitle13-7#0,"""Research!"""
CharacterTitle13-8#0,"""You Know the Six Pillars?"""
CharacterTitle13-9#0,"""You Know the Three Victors?"""
CharacterTitle13-10#0,"""The Mysterious Power of Photons"""
CharacterTitle13-11#0,"""The Link Between Class and Photons"""
CharacterTitle13-12#0,"""Gathering Intel"""
CharacterTitle13-13#0,"""Watch Out for D-arkers!"""
CharacterTitle15-1#0,"""Drawn in by Something"""
CharacterTitle15-2#0,"""The Insular Dragorii"""
CharacterTitle16-1#0,"""What's it to Me?"""
CharacterTitle17-1#0,"""About Matoi"""
CharacterTitle18-1#0,"""What the D-arker Seek"""
CharacterTitle18-2#0,"""Who Could the Culprit Be?"""
CharacterTitle18-3#0,"""D-arkers are Dangerous"""
CharacterTitle18-4#0,"""More and More D-arkers"""
CharacterTitle18-5#0,"""What Changed Them?"""
CharacterTitle18-6#0,"""It's Too Hot!"""
CharacterTitle18-7#0,"""It's Too Cold!"""
CharacterTitle18-8#0,"""A Top Team Lost"""
CharacterTitle19-1#0,"""Being an ARKS Operative"""
CharacterTitle19-2#0,"""A Wizard Loyalist"""
CharacterTitle19-3#0,"""Who Needs Hunters?"""
CharacterTitle19-4#0,"""A Tough Spot for Wizards"""
CharacterTitle19-5#0,"""A Balanced Party"""
CharacterTitle20-1#0,"""The Presence of the ARKS"""
CharacterTitle20-2#0,"""A Proud Hunter"""
CharacterTitle20-3#0,"""Wizards Can Take a Hike"""
CharacterTitle20-4#0,"""A Tough Spot for Hunters"""
CharacterTitle20-5#0,"""Forming a Balanced Party"""
CharacterTitle21-1#0,"""The Sudden D-arker Outbreak"""
CharacterTitle21-2#0,"""Rekindling the Fire"""
CharacterTitle21-3#0,"""The ARKS Way"""
CharacterTitle21-4#0,"""Do Not Hesitate"""
CharacterTitle21-5#0,"""Reminiscing"""
CharacterTitle21-6#0,"""Those Who Stand Above"""
CharacterTitle22-1#0,"""A Figure Among the D-arkers"""
CharacterTitle22-2#0,"""The Weapon-Maker's Help"""
CharacterTitle22-3#0,"""The Word on the Ground"""
CharacterTitle22-4#0,"""Amazing ARKS"""
CharacterTitle22-5#0,"""An Eerie Shadow"""
CharacterTitle22-6#0,"""Skills Rock!"""
CharacterTitle26-1#0,"""Risa the Sharpshooter"""
CharacterTitle26-2#0,"""Death From Afar"""
CharacterTitle26-3#0,"""I Wonder What it's Like...?"""
CharacterTitle26-4#0,"""Suffering"""
CharacterTitle26-5#0,"""You Have a Death Wish Too?"""
CharacterTitle26-6#0,"""Even More than People"""
CharacterTitle27-1#0,"""Ending Up ARKS"""
CharacterTitle27-2#0,"""No Other Choice"""
CharacterTitle27-3#0,"""What is Aptitude Anyway?"""
CharacterTitle27-4#0,"""Getting in Trouble"""
CharacterTitle27-5#0,"""The Bare Minimum"""
CharacterTitle28-1#0,"""Disappointment"""
CharacterTitle28-2#0,"""Using Photons"""
CharacterTitle28-3#0,"""Life Outside ARKS"""
CharacterTitle28-4#0,"""Motivation and Talent"""
CharacterTitle28-5#0,"""Never Give Up"""
CharacterTitle30-1#0,"""The Show-Off Pillar"""
CharacterTitle33-1#0,"""Call Me Huey!"""
CharacterTitle33-2#0,"""What the Six Pillars Do"""
CharacterTitle33-3#0,"""Toning it Down"""
CharacterTitle33-4#0,"""Fate is our Master"""
CharacterTitle4-1#0,"""Finding the Words"""
CharacterTitle4-2#0,"""Just Be Careful"""
CharacterTitle4-3#0,"""Can't Remember"""
CharacterTitle4-4#0,"""I Don't Talk with Anyone Else"""
CharacterTitle4-5#0,"""Talking to Others"""
CharacterTitle4-6#0,"""My Head Hurts"""
CharacterTitle4-7#0,"""Asking About the Lost Sea"""
CharacterTitle4-8#0,"""Asking About the Underworks"""
CharacterTitle4-9#0,"""Asking About the Cauldron"""
CharacterTitle4-10#0,"""It Takes All Kinds"""
CharacterTitle4-11#0,"""Something New at Every Turn"""
CharacterTitle4-12#0,"""The Enormous ARKS Ship"""
CharacterTitle34-1#0,"""An Unsettling Presence"""
CharacterTitle37-1#0,"""The Fierce Dragorii"""
CharacterTitle1-1#1,"""はじめてのクライアントオーダー"""
CharacterTitle1-2#1,"""他のパーツは一体何所に？"""
CharacterTitle1-3#1,"""おせっかいな先輩"""
CharacterTitle1-4#1,"""ゼノとエコー"""
CharacterTitle1-5#1,"""師匠に似ている"""
CharacterTitle1-6#1,"""本来はレンジャー"""
CharacterTitle1-7#1,"""エコーは何所だ？"""
CharacterTitle1-8#1,"""仲間と共に歩んでけ"""
CharacterTitle1-9#1,"""見たことあるような……"""
CharacterTitle1-10#1,"""おせっかいの理由"""
CharacterTitle1-11#1,"""ようやくの平和"""
CharacterTitle1-12#1,"""腐れ縁は腐れ縁"""
CharacterTitle1-13#1,"""アークスになった理由"""
CharacterTitle1-14#1,"""嘱望された未来"""
CharacterTitle2-1#1,"""ゼノは何所？"""
CharacterTitle2-2#1,"""実におっかなびっくり"""
CharacterTitle2-3#1,"""いちばん怖いこと"""
CharacterTitle3-1#1,"""凍土にたたずむ人影"""
CharacterTitle3-2#1,"""存在の痕跡"""
CharacterTitle3-3#1,"""探しものはどこですか"""
CharacterTitle3-4#1,"""なるべく一人で動くように"""
CharacterTitle3-5#1,"""ダーカーってなんだろな"""
CharacterTitle3-6#1,"""アークスってなんだろな"""
CharacterTitle3-7#1,"""なんでも使えるのはなんで？"""
CharacterTitle3-8#1,"""ダーカーへの不満"""
CharacterTitle3-9#1,"""アフィンの探しもの\u3000その２"""
CharacterTitle6-1#1,"""不意の遭遇"""
CharacterTitle6-2#1,"""弱いヤツに価値はない"""
CharacterTitle6-3#1,"""撒き餌か主食か"""
CharacterTitle6-4#1,"""ダーカーは全て殺せ"""
CharacterTitle6-5#1,"""甘々な戦い方"""
CharacterTitle6-6#1,"""憎しみの発露"""
CharacterTitle6-7#1,"""仮面野郎は何処に居る"""
CharacterTitle6-8#1,"""深き因縁"""
CharacterTitle6-9#1,"""気に入らなければ外敵"""
CharacterTitle7-1#1,"""不幸にしてしまうから"""
CharacterTitle7-2#1,"""無言の子"""
CharacterTitle7-3#1,"""よくわからない関係"""
CharacterTitle8-1#1,"""小さな人影に救われたんです"""
CharacterTitle8-2#1,"""恩人の忘れ物"""
CharacterTitle8-3#1,"""恩人に逢いたくて"""
CharacterTitle8-4#1,"""逢えたけどまだ遠い"""
CharacterTitle8-5#1,"""臆病者のジレンマ"""
CharacterTitle8-6#1,"""怯える理由"""
CharacterTitle9-1#1,"""真実の探求者"""
CharacterTitle9-2#1,"""代理の情報収集"""
CharacterTitle9-3#1,"""やはり自分で見なければ"""
CharacterTitle9-4#1,"""いまいち興味がわかないね"""
CharacterTitle9-5#1,"""話すべきは今ではない"""
CharacterTitle9-6#1,"""アムドゥスキアの魅力"""
CharacterTitle10-1#1,"""先生が行方不明なんです！"""
CharacterTitle10-2#1,"""おかしなパラメータ"""
CharacterTitle11-1#1,"""やる気をなくした刀匠"""
CharacterTitle11-2#1,"""情熱の再燃"""
CharacterTitle11-3#1,"""ひとつでは足りない"""
CharacterTitle12-1#1,"""惑星ナベリウスの地質について"""
CharacterTitle12-2#1,"""何かちょっとおかしいような……"""
CharacterTitle12-3#1,"""森林の先の凍土"""
CharacterTitle12-4#1,"""ナベリウスの疑問"""
CharacterTitle12-5#1,"""こんなことはありえない"""
CharacterTitle13-1#1,"""仲良し姉妹アークス"""
CharacterTitle13-2#1,"""強化されたダーカー？"""
CharacterTitle13-3#1,"""栄光の創世器"""
CharacterTitle13-4#1,"""いいアークス？\u3000悪いアークス？"""
CharacterTitle13-5#1,"""不思議でちいさな影の噂！"""
CharacterTitle13-6#1,"""火山洞窟の龍族はすっごいよ！"""
CharacterTitle13-7#1,"""調査中！"""
CharacterTitle13-8#1,"""六芒均衡って知ってるかい？"""
CharacterTitle13-9#1,"""三英雄って知ってるかい？"""
CharacterTitle13-10#1,"""ふしぎふかしぎフォトンのちから！"""
CharacterTitle13-11#1,"""クラスとフォトンの関係は？"""
CharacterTitle13-12#1,"""情報収集まっさい中！"""
CharacterTitle13-13#1,"""ダーカーはほんとにやっばい！"""
CharacterTitle15-1#1,"""何かに引き寄せられている？"""
CharacterTitle15-2#1,"""龍族のしきたり"""
CharacterTitle16-1#1,"""あたしには関係ないけど"""
CharacterTitle17-1#1,"""マトイについて"""
CharacterTitle18-1#1,"""ダーカーは何を探す"""
CharacterTitle18-2#1,"""犯人は誰だろうねえ"""
CharacterTitle18-3#1,"""ダーカーは危険なんだよ"""
CharacterTitle18-4#1,"""ダーカーが増えてきたねえ"""
CharacterTitle18-5#1,"""凶暴化の原因は？"""
CharacterTitle18-6#1,"""あついところは苦手"""
CharacterTitle18-7#1,"""さむいところは苦手"""
CharacterTitle18-8#1,"""有名チームの全滅"""
CharacterTitle19-1#1,"""アークスであること"""
CharacterTitle19-2#1,"""フォース至上主義"""
CharacterTitle19-3#1,"""ハンターなんて嫌い"""
CharacterTitle19-4#1,"""フォースにとって辛いこと"""
CharacterTitle19-5#1,"""バランスの良いパーティ"""
CharacterTitle20-1#1,"""アークスがいること"""
CharacterTitle20-2#1,"""ハンター至上主義"""
CharacterTitle20-3#1,"""フォースなんて大嫌い"""
CharacterTitle20-4#1,"""ハンターにとって辛いこと"""
CharacterTitle20-5#1,"""バランスのいいパーティとは"""
CharacterTitle21-1#1,"""突然すぎるダーカー発生"""
CharacterTitle21-2#1,"""やる気を取り戻させたいが……"""
CharacterTitle21-3#1,"""アークスとしての心得"""
CharacterTitle21-4#1,"""ダーカーには注意せよ"""
CharacterTitle21-5#1,"""勝手に懐古"""
CharacterTitle21-6#1,"""規格外の存在"""
CharacterTitle22-1#1,"""人影を見たような……"""
CharacterTitle22-2#1,"""刀匠を頼る！"""
CharacterTitle22-3#1,"""噂話？\u3000当たり前？"""
CharacterTitle22-4#1,"""すっげえアークスじゃん？"""
CharacterTitle22-5#1,"""やっべえ人影じゃん？"""
CharacterTitle22-6#1,"""スキルマジすげえって"""
CharacterTitle26-1#1,"""狙撃手リサちゃん"""
CharacterTitle26-2#1,"""銃はサイコーですねえ"""
CharacterTitle26-3#1,"""人の手応えはどんなもの"""
CharacterTitle26-4#1,"""いっぱいいっぱい苦しめないと"""
CharacterTitle26-5#1,"""あなたも死にたがり？"""
CharacterTitle26-6#1,"""人間よりも嫌いなもの"""
CharacterTitle27-1#1,"""なんとなくアークス"""
CharacterTitle27-2#1,"""それしかなかったから"""
CharacterTitle27-3#1,"""適性ってなんなんだろう"""
CharacterTitle27-4#1,"""怒られちゃいました"""
CharacterTitle27-5#1,"""戦っているふり"""
CharacterTitle28-1#1,"""残念無念！"""
CharacterTitle28-2#1,"""フォトンの使い方"""
CharacterTitle28-3#1,"""アークス以外の生活"""
CharacterTitle28-4#1,"""やる気と才能"""
CharacterTitle28-5#1,"""落ちこぼれは落ちこぼれ？"""
CharacterTitle30-1#1,"""目立ちたがり六芒均衡"""
CharacterTitle33-1#1,"""オレの名はヒューイ！"""
CharacterTitle33-2#1,"""六芒均衡って何するの？"""
CharacterTitle33-3#1,"""スタンボイス！"""
CharacterTitle33-4#1,"""すべては運命？"""
CharacterTitle4-1#1,"""何を喋ればいいんだろう"""
CharacterTitle4-2#1,"""無理はしないでね"""
CharacterTitle4-3#1,"""わからないことばかり"""
CharacterTitle4-4#1,"""他の人とは話さない"""
CharacterTitle4-5#1,"""他の人とはこんな感じ"""
CharacterTitle4-6#1,"""ちょっと頭が痛いかも"""
CharacterTitle4-7#1,"""砂漠ってどんなところ？"""
CharacterTitle4-8#1,"""坑道ってどういう感じ？"""
CharacterTitle4-9#1,"""火山洞窟って暑そうだね"""
CharacterTitle4-10#1,"""いろんな人がいるんだね"""
CharacterTitle4-11#1,"""あたらしいこと、めいっぱい"""
CharacterTitle4-12#1,"""アークスシップはおおきいな"""
CharacterTitle34-1#1,"""不穏な人影"""
CharacterTitle37-1#1,"""圧倒的な龍族"""
MessagePackCategory1#0,"""ศัตรู"""
MessagePackCategory2#0,"""แผนที่"""
MessagePackCategory3#0,"""วัตถุ"""
MessagePackCategory4#0,"""อื่นๆ"""
MessagePackCategory1#1,"""エネミー"""
MessagePackCategory2#1,"""マップ"""
MessagePackCategory3#1,"""オブジェクト"""
MessagePackCategory4#1,"""その他"""
MessagePackTitle1-1#0,"""Aerial Mines"""
MessagePackTitle1-2#0,"""Trap Mines"""
MessagePackTitle1-3#0,"""Wave Lasers"""
MessagePackTitle1-4#0,"""Corrupted Sentries"""
MessagePackTitle1-5#0,"""Spiked Pillars"""
MessagePackTitle1-6#0,"""Bulffs"""
MessagePackTitle1-7#0,"""Look Out for Energy Tanks"""
MessagePackTitle1-8#0,"""Watch for Spiked Floors"""
MessagePackTitle1-9#0,"""Using Gatling Turrets"""
MessagePackTitle1-10#0,"""Useful Containers"""
MessagePackTitle1-11#0,"""Voice Activated Switches"""
MessagePackTitle1-12#0,"""Catapults"""
MessagePackTitle1-13#0,"""Using Accelerators"""
MessagePackTitle1-14#0,"""Watch for Laser Sensors"""
MessagePackTitle1-15#0,"""Socket Switches"""
MessagePackTitle1-16#0,"""Target Switches"""
MessagePackTitle1-17#0,"""Synchro Switches"""
MessagePackTitle1-18#0,"""Weight Switches"""
MessagePackTitle1-19#0,"""Combo Switches"""
MessagePackTitle1-20#0,"""Safety Switches"""
MessagePackTitle1-21#0,"""Using Recoilers"""
MessagePackTitle1-22#0,"""Rejuve Pods"""
MessagePackTitle1-23#0,"""Using Rejuve Stations"""
MessagePackTitle1-24#0,"""When You Find Energizer Crystals"""
MessagePackTitle1-25#0,"""Watch for Fire Traps"""
MessagePackTitle1-26#0,"""Using Emergency Cannons"""
MessagePackTitle1-27#0,"""Mech Factory Data"""
MessagePackTitle1-28#0,"""Conveyor Belts"""
MessagePackTitle1-29#0,"""Isolated Islands"""
MessagePackTitle1-30#0,"""Magnetic Rods"""
MessagePackTitle1-31#0,"""Watch for Tornados"""
MessagePackTitle1-32#0,"""When You See Dragorii"""
MessagePackTitle1-33#0,"""The Properties of the Grim Monolith"""
MessagePackTitle1-34#0,"""D-arkime Data"""
MessagePackTitle1-35#0,"""Naberius - The Greenscape 1"""
MessagePackTitle1-36#0,"""Naberius - The Greenscape 2"""
MessagePackTitle1-37#0,"""Naberius - The Greenscape 3"""
MessagePackTitle1-38#0,"""Naberius - The Greenscape 4"""
MessagePackTitle1-39#0,"""Amduskia - The Cauldron 1"""
MessagePackTitle1-40#0,"""Amduskia - The Cauldron 2"""
MessagePackTitle1-41#0,"""Amduskia - The Cauldron 3"""
MessagePackTitle1-42#0,"""Amduskia - The Cauldron 4"""
MessagePackTitle1-43#0,"""Naberius - The White Summit 1"""
MessagePackTitle1-44#0,"""Naberius - The White Summit 2"""
MessagePackTitle1-45#0,"""Naberius - The White Summit 3"""
MessagePackTitle1-46#0,"""Naberius - The White Summit 4"""
MessagePackTitle1-47#0,"""ARKS Ship - The Residential Area 1"""
MessagePackTitle1-48#0,"""ARKS Ship - The Residential Area 2"""
MessagePackTitle1-49#0,"""ARKS Ship - The Residential Area 3"""
MessagePackTitle1-50#0,"""ARKS Ship - The Residential Area 4"""
MessagePackTitle1-51#0,"""Lilipur - The Lost Sea 1"""
MessagePackTitle1-52#0,"""Lilipur - The Lost Sea 2"""
MessagePackTitle1-53#0,"""Lilipur - The Lost Sea 3"""
MessagePackTitle1-54#0,"""Lilipur - The Lost Sea 4"""
MessagePackTitle1-55#0,"""Lilipur - The Underworks 1"""
MessagePackTitle1-56#0,"""Lilipur - The Underworks 2"""
MessagePackTitle1-57#0,"""Lilipur - The Underworks 3"""
MessagePackTitle1-58#0,"""Lilipur - The Underworks 4"""
MessagePackTitle1-59#0,"""Amduskia - The Skyscape 1"""
MessagePackTitle1-60#0,"""Amduskia - The Skyscape 2"""
MessagePackTitle1-61#0,"""Amduskia - The Skyscape 3"""
MessagePackTitle1-62#0,"""Amduskia - The Skyscape 4"""
MessagePackTitle1-63#0,"""Naberius - The Ruins 1"""
MessagePackTitle1-64#0,"""Naberius - The Ruins 2"""
MessagePackTitle1-65#0,"""Naberius - The Ruins 3"""
MessagePackTitle1-66#0,"""Naberius - The Ruins 4"""
MessagePackTitle1-67#0,"""Content for Future Update - Not Yet Required"""
MessagePackTitle1-68#0,"""Content for Future Update - Not Yet Required"""
MessagePackTitle1-69#0,"""Content for Future Update - Not Yet Required"""
MessagePackTitle1-70#0,"""Content for Future Update - Not Yet Required"""
MessagePackTitle1-71#0,"""Krada Data"""
MessagePackTitle1-72#0,"""Dagan Data"""
MessagePackTitle1-73#0,"""Dagan Nero Data"""
MessagePackTitle1-74#0,"""El Dagan Data"""
MessagePackTitle1-75#0,"""El Arda Data"""
MessagePackTitle1-76#0,"""Carthago Data"""
MessagePackTitle1-77#0,"""Briada Data"""
MessagePackTitle1-78#0,"""Gwanada Data"""
MessagePackTitle1-79#0,"""Dark Ragne Data"""
MessagePackTitle1-80#0,"""Dark Agrahni Data"""
MessagePackTitle1-81#0,"""Micta Data"""
MessagePackTitle1-82#0,"""Ahl Micta Data"""
MessagePackTitle1-83#0,"""Dhargash Data"""
MessagePackTitle1-84#0,"""Dhargacha Data"""
MessagePackTitle1-85#0,"""Mee Micta Data"""
MessagePackTitle1-86#0,"""Gawonda Data"""
MessagePackTitle1-87#0,"""Guwonda Data"""
MessagePackTitle1-88#0,"""Crabahta Data"""
MessagePackTitle1-89#0,"""Quchronada Data"""
MessagePackTitle1-90#0,"""Cycloneda Data"""
MessagePackTitle1-91#0,"""Wolgardha Data"""
MessagePackTitle1-92#0,"""Arngardha"""
MessagePackTitle1-93#0,"""Gardeen Data"""
MessagePackTitle1-94#0,"""Gardinan Data"""
MessagePackTitle1-95#0,"""Spardan A Data"""
MessagePackTitle1-96#0,"""Spargan Data"""
MessagePackTitle1-97#0,"""Sparzile Data"""
MessagePackTitle1-98#0,"""Signo Beat Data"""
MessagePackTitle1-99#0,"""Signogan Data"""
MessagePackTitle1-100#0,"""Signo Red Data"""
MessagePackTitle1-101#0,"""Gilnas Data"""
MessagePackTitle1-102#0,"""Gilnach Data"""
MessagePackTitle1-103#0,"""Tranmizer Data"""
MessagePackTitle1-104#0,"""Tranzexia Data"""
MessagePackTitle1-105#0,"""Big Varder Data"""
MessagePackTitle1-106#0,"""King Varder Data"""
MessagePackTitle1-107#0,"""Deeg Data"""
MessagePackTitle1-108#0,"""Deegnacht Data"""
MessagePackTitle1-109#0,"""Sil Dinian Data"""
MessagePackTitle1-110#0,"""Sol Dinian Data"""
MessagePackTitle1-111#0,"""Dinian Data"""
MessagePackTitle1-112#0,"""Sil Sadinian Data"""
MessagePackTitle1-113#0,"""Sol Sadinian Data"""
MessagePackTitle1-114#0,"""Sadinian Data"""
MessagePackTitle1-115#0,"""Baridran Data"""
MessagePackTitle1-116#0,"""Fordran Data"""
MessagePackTitle1-117#0,"""Nordiran Data"""
MessagePackTitle1-118#0,"""Fordransa Data"""
MessagePackTitle1-119#0,"""Nordiransa Data"""
MessagePackTitle1-120#0,"""Wyndila Data"""
MessagePackTitle1-121#0,"""Caterdran Data"""
MessagePackTitle1-122#0,"""Caterdrahl Data"""
