IncidentJsApcBegin#0,"""APC共鬥開始"""
IncidentJsApcBegin#62,"""/toge /ci3 1 ......真是，我看不下去了！<br>我來幫你，快點<br>把這些傢伙解決掉吧！"""
IncidentJsApcSuccess#62,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
IncidentJsApcFailure#62,"""唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcBeginEvo#52,"""/ci3 1 ……還會來的樣子。<br>吶，趕快清一清吧！"""
IncidentJsApcBegin#63,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcSuccess#63,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcFailure#63,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcBeginEvo#53,"""/ci3 1 ……まだ来るみたいね。<br>ほら、さっさと片付けるわよ！"""
IncidentJsApcBegin#64,"""啊，前輩！<br>抱歉，請你幫我個忙！"""
IncidentJsApcSuccess#64,"""前輩......那個，幸虧你救了我<br>謝謝你來幫助我"""
IncidentJsApcFailure#64,"""......我無法再戰了<br>抱歉，前輩，我要撤退了"""
IncidentJsApcBeginEvo#54,""" """
IncidentJsApcBegin#65,"""/ci2 2 あ、センパイ！<br>悪い、ちょっと手伝ってくれ！"""
IncidentJsApcSuccess#65,"""/ci2 1 センパイ……その、助かった<br>来てくれて、ありがとな"""
IncidentJsApcFailure#65,"""……これ以上は、無理だ<br>悪いセンパイ、おれは撤退する"""
IncidentJsApcBeginEvo#55,"""/ci2 2 ちぇっ、まだ来るみたいだ"""
IncidentJsApcBegin#66,"""/ci1 3 ......還有很多敵人呢<br>我來幫您殲滅他們吧。"""
IncidentJsApcSuccess#66,"""/ci1 5 那麼，我要前往下一個<br>戰場了......"""
IncidentJsApcFailure#66,"""......我，竟然如此慘敗......？<br>實在太難看了......"""
IncidentJsApcBegin#67,"""/ci1 3 ……敵がたくさん居ますね。<br>手伝いますよ、殲滅を。"""
IncidentJsApcSuccess#67,"""/ci1 5 それでは、僕は次の<br>戦場に向かいますので……"""
IncidentJsApcFailure#67,"""……こんな、僕が……？<br>なんて、無様な……"""
IncidentJsApcBegin#68,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#68,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#68,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#56,"""啊啦，難道是新面孔嗎？"""
IncidentJsApcBegin#69,"""/ci3 2 あら、もしよかったら<br>手伝ってくれると<br>うれしいのだけれど"""
IncidentJsApcSuccess#69,"""/ci2 2 ありがとう<br>また、ロビーで会いましょう"""
IncidentJsApcFailure#69,"""ごめんなさい、限界みたい<br>撤退させてもらうわ"""
IncidentJsApcBeginEvo#57,"""あら、新手かしら？"""
IncidentJsApcBegin#70,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#70,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#70,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#58,"""好像還會來呢"""
IncidentJsApcBegin#71,"""/ci3 2 悪いが、手伝って貰えるか<br>想像以上に手間がかかっている"""
IncidentJsApcSuccess#71,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcFailure#71,"""くっ……こんな無様な真似を……<br>撤退する、後を頼む"""
IncidentJsApcBeginEvo#59,"""まだ来るようだな"""
IncidentJsApcBegin#72,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#72,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#72,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#60,"""好像還會來的樣子<br>真想稍微休息一下"""
IncidentJsApcBegin#73,"""/ci3 2 ちょうどいいところに！<br>手間取ってるの、協力して！"""
IncidentJsApcSuccess#73,"""/ci2 2 おかげで助かったわ<br>その……ありがとう"""
IncidentJsApcFailure#73,"""……ここまでなの？<br>ごめんなさい、撤退します"""
IncidentJsApcBeginEvo#61,"""まだ来るみたいね<br>少しは休ませてほしいわ"""
IncidentJsApcBegin#74,"""/ci3 2 你好像被包圍了呢<br>我來幫你吧"""
IncidentJsApcSuccess#74,"""/ci2 2 好像結束了呢<br>那麼，我走了"""
IncidentJsApcFailure#74,"""我竟然連這點程度都應付不來......？<br>對不起，我要撤退了"""
IncidentJsApcBeginEvo#62,"""……還會再來的樣子呢"""
IncidentJsApcBegin#75,"""/ci3 2 すみません<br>少々手間取っているので<br>協力してもらえませんか？"""
IncidentJsApcSuccess#75,"""/ci2 2 ありがとうございます<br>助かりました"""
IncidentJsApcFailure#75,"""ここまで、なんですね……<br>すみません、撤退します"""
IncidentJsApcBeginEvo#63,"""……まだ来るみたいですね"""
IncidentJsApcBegin#76,"""/toge /ci2 1 熱到受不了？ 錯，這才是夏天真正的樣貌！<br>夏天的六芒均衡的修伊，華麗的登場！<br>之後就交給我吧！"""
IncidentJsApcSuccess#76,"""/toge /ci2 1 算上我一份的話，<br>這種程度根本算不了什麼！<br>還有什麼事情的話儘管叫上我！<br>我隨時都會，在你身邊哦！"""
IncidentJsApcFailure#76,"""/toge /ci2 1 輸了…我竟然輸了…！？<br>對不起，先讓我撤退吧！"""
IncidentJsApcBeginEvo#64,"""/toge /ci2 這個是……帶有惡意的光子的氣息！<br>那好吧！ 就由我來當對手吧！<br>儘管放馬過來！"""
IncidentJsApcBegin#77,"""/toge /ci2 1 暑苦しい？\u3000否、これが夏の正しい姿！<br>夏の六芒均衡ヒューイ、華麗に参上！<br>後はオレに任せておけ！"""
IncidentJsApcSuccess#77,"""/toge /ci2 1 オレにかかればこの程度造作もない！<br>また困ったことがあれば呼んでくれ！<br>オレはいつでも、そばにいるぞ！"""
IncidentJsApcFailure#77,"""/toge /ci2 1 オレが負ける……オレが敗北……！？<br>申し訳ない、先に退かせてもらう！"""
IncidentJsApcBeginEvo#65,"""/toge /ci2 これは……悪意あるフォトンの気配！<br>いいだろう！\u3000オレが相手だ！<br>かかってくるがいい！"""
IncidentJsApcBegin#78,"""/ci2 2 唷，這還真是相當大咖的對手呢！<br>穿成這樣說這些也有點那啥的<br>讓我來幫忙吧！"""
IncidentJsApcSuccess#78,"""/ci2 1 好，完成了！<br>也許是我多管閒事<br>算了，結果最重要啦"""
IncidentJsApcFailure#78,"""/ci1 1 被弄成這樣還真是有點慘呢……<br>對不起吶先讓我回去吧。"""
IncidentJsApcBeginEvo#66,"""/mn18 /ci2 1 哦，來了個看起來很強的傢伙呢。<br>那麼，有辦法阻止正在勢頭上的我們嗎？"""
IncidentJsApcBegin#79,"""/ci2 2 よっ、ずいぶん大物相手じゃねえか！<br>こんな格好で言うのもなんだが<br>手伝わせてもらうぜ！"""
IncidentJsApcSuccess#79,"""/ci2 1 よっし、終了っと！<br>ま、こんなもんかな<br>終わりよければなんとやら、だ。"""
IncidentJsApcFailure#79,"""/ci1 1 っとと、ここまでやりこまれちまうと<br>ちょっと厳しいな……<br>すまんが俺は帰還させてもらうぜ。"""
IncidentJsApcBeginEvo#67,"""/mn18 /ci2 1 お、強そうなヤツが来そうだな。<br>さーって、ノッてるオレたちを<br>止められるかな？"""
IncidentJsApcBegin#80,"""啊，前輩！<br>抱歉，請你幫我個忙！"""
IncidentJsApcSuccess#80,"""/mn38 /ci2 1 如果沒有前輩的話<br>到底會變成怎麼樣我也不清楚……<br>你能夠來，真的謝謝。"""
IncidentJsApcFailure#80,"""/ci4 5 ……我沒辦法再繼續戰鬥了<br>對不起前輩，我先撤退了。"""
IncidentJsApcBeginEvo#68,"""/ci2 2 切，好像還會過來的樣子<br>……可是，好像跟平常的不一樣？"""
IncidentJsApcBegin#81,"""/mn24 /ci2 2 あ、センパイ！<br>悪い、ちょっと手伝ってくれ！<br>……あと、あんまり見ないでくれよ？"""
IncidentJsApcSuccess#81,"""/mn38 /ci2 1 センパイがいなかったら<br>どうなってたのかわからないな……<br>助けてくれて、ありがとな。"""
IncidentJsApcFailure#81,"""/ci4 5 ……これ以上は、無理だ<br>悪いセンパイ、おれは撤退する。"""
IncidentJsApcBeginEvo#69,"""/mn31 /ci2 2 ちぇっ、まだ来るみたいだ。<br>……けど、なんだかいつもと違う？"""
IncidentJsApcBegin#82,"""來得剛好！<br>可以幫我個忙嗎─！"""
IncidentJsApcSuccess#82,"""/mn38 /toge /ci2 1 呀，真的謝謝！<br>遇到強敵的實感真的很夠嗆呢<br>感謝感謝，大感謝！"""
IncidentJsApcFailure#82,"""被打敗了......！<br>對不起，我要撤退了......"""
IncidentJsApcBeginEvo#70,"""/ci4 5 哦哦，還會再來的氣息呢？<br>這次是，跟剛才不一樣的氣氛呢。"""
IncidentJsApcBegin#83,"""/mn38 /ci2 1 いいところに！\u3000いやはや、こんな<br>ジョークグッズもってるところを<br>襲われてね、ちょっと手伝ってくれる？"""
IncidentJsApcSuccess#83,"""/mn38 /toge /ci2 1 いやー、どうもありがとー！<br>強敵だと歯ごたえあって大変だったね<br>感謝感謝、大感謝！"""
IncidentJsApcFailure#83,"""やられたーっ……！<br>ごめん、撤退するね……"""
IncidentJsApcBeginEvo#71,"""/ci4 5 おおっとぉ、まだ来る気配だね？<br>今度は、さっきとは違う雰囲気だね。"""
IncidentJsApcBegin#84,"""/mn6 /ci2 2 前、前輩！ 請幫我一下！<br>但是，請盡量不要看我這裡！<br>……嗚嗚，好害羞哦。"""
IncidentJsApcSuccess#84,"""/mn15 /ci2 1 呼，非常謝謝！<br>多虧了前輩<br>總算是做到了呢……"""
IncidentJsApcFailure#84,"""/mn7 嗚嗚......抱歉......<br>沒辦法再繼續下去了......"""
IncidentJsApcBeginEvo#72,"""/mn35 /ci1 1 哇哇、哇哇哇……！<br>不覺得好像，又有出來的氣息……<br>而且是，非常不好的預感"""
IncidentJsApcBegin#85,"""/mn6 /ci2 2 せ、先輩っ！\u3000助けて下さい！<br>でも、あんまり見ないでください！<br>……うう、恥ずかしいです。"""
IncidentJsApcSuccess#85,"""/mn15 /ci2 1 ふぅ、ありがとうございました！<br>先輩のおかげで<br>なんとかなりました……"""
IncidentJsApcFailure#85,"""/mn7 うう……すみません……<br>これ以上は無理です……"""
IncidentJsApcBeginEvo#73,"""/mn35 /ci1 1 わわっ、わわわっ……！<br>また出てくる気配が……<br>しかも、とっても嫌な予感ですっ！"""
IncidentJsApcBegin#86,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙嗎？"""
IncidentJsApcSuccess#86,"""/mn15 /ci2 3 呼，總算做到了吶……<br>一個人真的沒辦法呢<br>謝謝，幫大忙了。"""
IncidentJsApcFailure#86,"""/ci2 3 嗚嗚……沒辦法再繼續下去了……<br>對不起，先讓我撤退吧……"""
IncidentJsApcBeginEvo#74,"""/mn18 /ci3 1 哇……不覺得<br>是相當糟糕的氣氛嗎。<br>小心點！"""
IncidentJsApcBegin#87,"""/ci2 1 もー、どうしてこういうときにゼノは<br>いないのよっ！\u3000……あっ、きみ！<br>いいところに、手伝って！"""
IncidentJsApcSuccess#87,"""/mn15 /ci2 3 ふう、なんとかなったぁ……<br>さすがに一人では無理だったわ<br>ありがとね、助かったよ。"""
IncidentJsApcFailure#87,"""/ci2 3 うう……これ以上はムリ……<br>ごめんなさい、あたしは先に<br>撤退させてもらうわね……"""
IncidentJsApcBeginEvo#75,"""/mn18 /ci3 1 うわっ……なんだか<br>相当やばそーな雰囲気。<br>気をつけて！"""
