YesText#0,"""はい"""
ForcePpRestorate#1,"""PPの自然回復量が増加する。"""
ForceSlowFallCharge#1,"""テクニックチャージ中、<br>落下速度が緩やかになる。<br><yellow>※フォース武器専用<c>"""
ForceBartaBlot#1,"""チャージしていない氷属性テクニックを、<br>エネミーに当てることで、その回数に応じて、<br>最大２段階まで強化される氷の紋章を刻む。<br>そこに、チャージした<br>同属性のテクニックを当てると、<br>紋章が起爆して、<br>強化段階に応じた追加ダメージを与える。"""
ForceZondeClad#1,"""チャージしていない雷属性テクニックを、<br>一定回数エネミーに当てることで、自身が<br>帯電状態になる。さらに、チャージした<br>同属性のテクニックを使用すると、帯電が<br>解除され、そのテクニックを強化する。"""
FighterPhotonFlood#1,"""仮テキスト"""
FighterUnFlatBonus#1,"""仮テキスト"""
FighterTecArtsJABonus#1,"""仮テキスト"""
FighterPPSlayer#1,"""仮テキスト"""
FighterKnuckleSwayCounter#1,"""武器アクションによる回避成功時に、<br>自動的にカウンターが発生する。<br><yellow>※ナックル専用<c>"""
FighterLimitBreakPPRestraint#1,"""リミットブレイク中、<br>PPの自然回復量と<br>攻撃時のPP回復量が増加する。<br><yellow>※メインクラス／ファイター武器専用<c>"""
FighterKnucklePARush#1,"""PAを連続して発動したときに、<br>その回数に応じてPP消費量が減少する。<br><yellow>※メインクラス／ナックル専用<c>"""
FighterTDSpinDerive#1,"""武器アクション発動後に、<br>特定タイミングで<br>通常攻撃ボタンを押すことでも、<br>アクセルドライブが使用可能になる。<br><yellow>※メインクラス／ツインダガー専用<c>"""
FighterKamaitachiLv2PPHeal#1,"""２段階目のカマイタチがヒットしたときに、<br>PPが回復するようになる。<br><yellow>※メインクラス／ダブルセイバー専用<c>"""
FighterChaseAdvance#1,"""ダウン中のエネミーに、<br>与えるダメージが増加する。"""
FighterChaseAdvancePPRecovery#1,"""ダウン中のエネミーを、<br>攻撃したときのPP回復量が増加する。"""
FighterTecArtsSkipAttack#1,"""同一武器で、異なるPAを連続で使用した後の<br>通常攻撃が４段目に変化する。<br>最大段数が３段階以下の場合は、<br>最終段に変化する。<br><yellow>※ファイター武器専用<c>"""
FighterSameArtsSkipAttack#1,"""同一武器で、同じPAを連続で使用した後の<br>通常攻撃が３段目に変化する。<br><yellow>※ファイター武器専用<c>"""
FighterSkipArts#1,"""方向入力を行わずにPAを使用すると、<br>そのPAの後半部分から発動する。<br><yellow>※ファイター武器専用<c>"""
FighterTDAnotherDerive#1,"""PA発動後に、特定のタイミングで、<br>通常攻撃ボタンを押すことで、<br>エネミーに突撃を行う。<br><yellow>※ツインダガー専用<c>"""
FighterTDAttackExtra#1,"""通常攻撃段数が、最大４段階に増加する。<br><yellow>※ツインダガー専用<c>"""
FighterDSDeadlyArcher#1,"""２段階目のカマイタチをまとった状態で、<br>武器アクションボタンを長押しすることで、<br>すべてのカマイタチをエネルギーに換えて、<br>エネミーに武器を投擲する。<br><yellow>※ダブルセイバー専用<c>"""
FighterDSEnhanceAttack#1,"""２段階目のカマイタチをまとった状態で、<br>通常攻撃ボタンを長押しすることで、<br>すべてのカマイタチをエネルギーに換えて、<br>つむじ風を発生させる。<br><yellow>※ダブルセイバー専用<c>"""
GunnerChainFinish#1,"""チェインフィニッシュ発生後に、<br>チェイントリガー中のチェイン数に応じて、<br>再発動が可能になるまでの<br>時間が短縮される。<br><yellow>このスキルはメインクラスのみ適用される。"""
GunnerPerfectKeeper#1,"""仮テキスト"""
GunnerChainFinishBonus#1,"""仮テキスト"""
GunnerNeoTime#1,"""仮テキスト"""
GunnerNeoTimeBlastBonus#1,"""仮テキスト"""
GunnerNeoTimePPRefresh#1,"""仮テキスト"""
GunnerAirAttackBonus#1,"""仮テキスト"""
GunnerReactionWeak#1,"""仮テキスト"""
GunnerFallSlowAttack#1,"""通常攻撃中、落下速度が緩やかになる。<br><yellow>※ガンナー武器専用<c>"""
GunnerFallSlowCharge#1,"""PAチャージ中、落下速度が緩やかになる。<br><yellow>※ガンナー武器専用<c>"""
GunnerGaugeShotGunAway#1,"""スプレッドショット発動時に、<br>無敵時間が発生する。<br>また、方向入力時の退避距離が延びる。"""
WeaponAction#1,"""武器アクション説明テキスト(仮)"""
NormalAttack#1,"""通常攻撃説明テキスト(仮)"""
Step#1,"""軽快な動作で踏み込み短距離を素早く移動する"""
StepAdvance#1,"""ステップ中の無敵時間を延長する"""
StepAttack#1,"""ステップ中の攻撃アクションが可能となる"""
HunterJustReversal#1,"""吹き飛ばされてダウンしたときにジャンプ操作で素早く起き上がる"""
HunterHPUp1#1,"""ＨＰ最大値が上昇する"""
GuardStance#1,"""エネミーへの打撃、射撃ダメージを低下させ、自分への打撃ダメージを軽減するアクティブスタンススキル。発動中フューリースタンス無効"""
GuardStanceUp1#1,"""ガードスタンス中の打撃耐性をアップ"""
HunterHPUp2#1,"""ＨＰ最大値が上昇する。ＨＰアップ１より効果が高い"""
HunterHPUp3#1,"""ＨＰ最大値が上昇する。ＨＰアップ２より効果が高い"""
AutoMateHalfline#1,"""ダメージを受けてHPが50%未満になったとき、自動でメイト系アイテムを使用する"""
MaterialDefence1#1,"""打撃、射撃ダメージを軽減する"""
TechDefence#1,"""法撃ダメージを軽減する"""
MaterialDefence2#1,"""打撃、射撃ダメージを軽減する"""
GuardStancePoison#1,"""ガードスタンス使用時に状態異常ポイズンを回復する"""
GuardStanceBurn#1,"""ガードスタンス使用時に状態異常バーンを回復する"""
HunterDfpStrikeUp1#1,"""打撃防御力が上昇する"""
WarCry#1,"""エネミーの注意を引き付ける"""
IronWill#1,"""戦闘不能となるダメージを受けたとき、ＨＰが１残ることがある。発動時に無敵時間が発生する"""
HunterAtpStrikeUp1#1,"""打撃力が上昇する"""
HunterAtpStrikeUp2#1,"""打撃力が上昇する。打撃アップ１より効果が高い"""
FuryStance#1,"""エネミーへの打撃、射撃ダメージを上昇させ、自分への打撃ダメージを上昇させるパッシブスタンススキル"""
FuryStanceUp1#1,"""フューリースタンス中にエネミーへの打撃、射撃ダメージを上昇する"""
FuryStanceUp2#1,"""フューリースタンス中にエネミーへの打撃、射撃ダメージを上昇する"""
FuryStanceCritical#1,"""フューリースタンス中のクリティカルヒット率をアップ"""
SwordGear#1,"""ギアゲージを溜めることで、ＰＡの種類に応じて攻撃範囲、ヒット数、チャージ速度が変化する"""
WiredlanceGear#1,"""ホールドＰＡ使用時にギアゲージを１つ消費して威力が上昇する"""
PartisanGear#1,"""ＰＡ使用時にギアゲージを１つ消費して攻撃範囲を広げ威力が上昇する"""
JustAttackBonus1#1,"""テクニック以外のジャストアタックにダメージボーナスを得る"""
JustAttackBonus2#1,"""テクニック以外のジャストアタックにダメージボーナスを得る"""
Guard#2,"""武器を正面に構えて、エネミーの攻撃を防ぐ"""
HunterDfpFirearmUp1#1,"""射撃防御力が上昇する"""
JustGuard#1,"""攻撃を受ける直前にガードをすることで、ダメージを無効にする"""
JustCounter#1,"""ジャストガード成功直後の攻撃がジャストアタックになる"""
Rare10Hunter#1,"""クラフト武器かレアリティ☆１０以上の武器を装備していると、与えるダメージが上昇する。<yellow>このスキルはメインクラスのみ適用される"""
FuryComboUp#1,"""フューリースタンス状態のとき、ジャストアタックに成功する度にダメージボーナスを得る。ダメージボーナスの上限は１０％"""
PrettyGood#1,"""自分が受けた状態異常の時間を短縮する"""
Sacrifice#1,"""ガードスタンス中に一定範囲内でエネミーが死亡すると、ＨＰが回復する"""
HunterAtpStrikeUp3#1,"""打撃力が上昇する。打撃アップ２より効果が高い"""
JustGuardAdvance#1,"""ジャストガードアドバンス"""
FuryGearBoost#1,"""フューリースタンスまたはガードスタンス中、ハンター武器のギアゲージの上昇率にボーナスを得る。<yellow>このスキルはメインクラスのみ適用される"""
NeverGiveup#1,"""アイアンウィル発動後、60秒間打撃力が増加し、無敵時間を延長する。レベルが上がると打撃力と無敵時間が増加する"""
MassiveHunter#1,"""ダメージを減少させ、さらに打ち上げや吹き飛ばしも防ぐ"""
AdvanceGuard#1,"""ジャストガード成功時、自分と周囲にいるキャラクターのＨＰを回復する"""
WarBrave#1,"""ウォークライ発動時、対象エネミー数に応じてPPが回復し、60秒ダメージボーナスを得る。<yellow>このスキルはメインクラスのみ適用される"""
HunterDexUp1#1,"""技量が上昇する"""
AllGuard#1,"""ハンター武器のみ全方向にガードが可能になる。<yellow>このスキルはメインクラスのみ適用される"""
GuardStanceJustGuradAttack#1,"""ガードスタンス時にジャストガードを成功させると、一定時間ダメージボーナスを得る。<yellow>このスキルはメインクラスのみ適用される"""
JustGuardPpSave#1,"""ハンター武器でジャストガードを成功させるとPPが回復する。<yellow>このスキルはメインクラスのみ適用される"""
ChargeParrying#1,"""ハンター武器のチャージＰＡ開始時にジャストガードが可能になる"""
WarCryJellen#1,"""ウォークライの効果が強化され、ジェルンの効果が追加される。<yellow>このスキルはメインクラスのみ適用される"""
HunterHighLevelBonus#1,"""プレイヤーが与えるダメージにボーナスを得る"""
HunterNextJump#1,"""２段ジャンプが可能になる"""
HunterFirstArtsJAAddition#1,"""最初に放つ攻撃が、ジャストアタックになる。発動後にリキャストが発生する。タクトやペットの攻撃とテクニックは無効"""
HunterAirReversal#1,"""空中で受け身がとれるようになる"""
HunterDushJump#1,"""回避アクション中にジャンプを行うことでダッシュ状態へ移行する"""
HunterStepJACombo#1,"""ステップ時にＪＡタイミングが発生するようになる"""
HunterJustReversalJACombo#1,"""ジャストリバーサル後にジャストアタックタイミングが発生"""
FighterStep#1,"""軽快な動作で踏み込み短距離を素早く移動する"""
FighterStepAdvance#1,"""ステップ中の無敵時間を延長する"""
FighterStepAttack#1,"""ステップ中の攻撃アクションが可能となる"""
FighterJustReversal#1,"""吹き飛ばされてダウンしたときにジャンプ操作で素早く起き上がる"""
FighterAtpStrikeUp1#1,"""打撃力が上昇する"""
BraveStanceUp1#1,"""ブレイブスタンス中、エネミーの正面からダメージを与えたときにボーナスを得る"""
BraveCritical#1,"""ブレイブスタンス中、エネミーの正面からダメージを与えたときのクリティカルヒット確率が上昇する"""
BraveStance#1,"""正面から与えるダメージが上昇するパッシブスタンススキル"""
FighterHPUp1#1,"""ＨＰ最大値が上昇する"""
KnuckleGear#1,"""連続攻撃の段数に応じて、ギアが溜まり、ギア数に応じて攻撃速度が上昇する"""
TwindaggerGear#1,"""ジャンプ回数に応じて、ギアが溜まり、ギア数に応じてPAの威力が上昇する"""
FighterAtpStrikeUp2#1,"""打撃力が上昇する。打撃アップ１より効果が高い"""
FighterDfpStrikeUp1#1,"""打撃防御が上昇する"""
AbnormalAdvance#1,"""状態異常を受けているエネミーに対して打撃攻撃を行うとダメージボーナスを得る"""
AbnormalBind#1,"""状態異常を受けているエネミーに対して打撃攻撃を行うとバインド状態にすることがある"""
WiseStanceUp1#1,"""ワイズスタンス中、エネミーの背後からダメージを与えたときにボーナスを得る"""
WiseCritical#1,"""ワイズスタンス中、エネミーの背後からダメージを与えたときのクリティカルヒット確率が上昇する"""
WiseStance#1,"""背後から与えるダメージが上昇するアクティブスタンススキル。発動中ブレイブスタンス無効"""
FighterHPUp2#1,"""ＨＰ最大値が上昇する"""
FighterAtpStrikeUp3#1,"""打撃力が上昇する。打撃アップ１より効果が高い"""
DoublesaverGear#1,"""攻撃を当てるとギアが溜まり、武器アクションで解放。ギアの段階に応じて、ダメージを与える風を周囲にまとう"""
HalflineSlayer#1,"""HPが５０％以下になったとき、打撃力と射撃力と法撃力が上昇する"""
DeadlineSlayer#1,"""HPが２５％以下になったとき、打撃力と射撃力と法撃力が上昇する"""
Rare10Fighter#1,"""クラフト武器かレアリティ☆１０以上の武器を装備していると、与えるダメージが上昇する。<yellow>このスキルはメインクラスのみ適用される"""
PPSlayer#1,"""ＰＰが５０％以下になったとき、打撃力と射撃力と法撃力が上昇する"""
HalflineAbnormal#1,"""HPが５０％未満になったとき、状態異常の付与確率が上昇する"""
Adrenalin#1,"""自分が受けるシフタ、デバンド1回あたりの効果時間を増加する"""
CrazyHeart#1,"""自分が状態異常の間、ＰＰ自動回復量と攻撃によるＰＰ回復量が上昇する"""
CrazyBeat#1,"""自分が状態異常の間、打撃力が上昇する"""
AbnormalAdvance2#1,"""状態異常を受けているエネミーに対して攻撃を行うとダメージボーナスを得る"""
CriticalStrike#1,"""クリティカルヒット確率が上昇し、クリティカル時にダメージボーナスを得る。<yellow>このスキルはメインクラスのみ適用される"""
LimitBreak#1,"""一時的に打撃威力にダメージボーナスを得るが、最大ＨＰが減少する。<yellow>このスキルはメインクラスのみ適用される"""
TecArtsJABonus#1,"""異なるＰＡやテクニックを連続でジャストアタックするとダメージボーナスを得る"""
FighterDexUp1#1,"""技量が上昇する"""
DoubleSaberTwister#1,"""ダブルセイバーでかまいたちを発生させた瞬間にジャストガードが可能になる"""
KnuckleGearKeep#1,"""ナックルギアが通常の倍、増加するようになる"""
TwinDaggerSpinMove#1,"""ツインダガーのスピン中に任意の方向に移動が可能になる"""
LimitBreakPhotonCharge#1,"""リミットブレイク終了時にPPが全回復する。<yellow>このスキルはメインクラスのみ適用される"""
TecArtsJAPPSave#1,"""異なるＰＡやテクニックを連続でジャストアタックするとＰＰ消費が軽減される"""
LimitBreakInsurance#1,"""ＬＢ中に戦闘不能となるダメージを受けてもＬＢが解除され、ＨＰが１残る。効果が適用される度に発動時のリキャスト時間が延びる。<yellow>メインクラス限定"""
FighterHighLevelBonus#1,"""プレイヤーが与えるダメージにボーナスを得る"""
FighterNextJump#1,"""２段ジャンプが可能になる"""
FighterFirstArtsJAAddition#1,"""最初に放つ攻撃が、ジャストアタックになる。発動後にリキャストが発生する。タクトやペットの攻撃とテクニックは無効"""
FighterAirReversal#1,"""空中で受け身がとれるようになる"""
FighterDushJump#1,"""回避アクション中にジャンプを行うことでダッシュ状態へ移行する"""
FighterStepJACombo#1,"""ステップ時にＪＡタイミングが発生するようになる"""
FighterJustReversalJACombo#1,"""ジャストリバーサル後にジャストアタックタイミングが発生"""
Diveroll#1,"""飛び込むような挙動で短距離を素早く移動する"""
DiverollAdvance#1,"""ダイブロール中の無敵時間を延長する"""
RangerJustReversal#1,"""吹き飛ばされてダウンしたときにジャンプ操作で素早く起き上がる"""
RangerDexUp1#1,"""技量が上昇する"""
WeakSnipeBonus1#1,"""射撃で弱点部位を攻撃したときのダメージが上昇する"""
ReloadWeak#1,"""アサルトライフル専用スキル\u3000エネミーの防御力を低下させる脆弱化弾を装填する"""
RangerDexUp2#1,"""技量が上昇する。技量アップ１より効果が高い"""
RangerDexUp3#1,"""技量が上昇する。技量アップ２より効果が高い"""
WeakSnipeBonus2#1,"""射撃で弱点部位を攻撃したときのダメージが上昇する"""
StandUpSnipe1#1,"""静止した状態で射撃したときのダメージが上昇する"""
RangerDfpFirearmUp1#1,"""射撃防御力が上昇する"""
StandUpSnipe2#1,"""静止した状態で射撃したときのダメージが上昇する"""
ToolMastery#1,"""ツール系スキルの威力が増加する"""
TrapPoizon#1,"""ポイズントラップを設置する"""
TrapPoizonCustom#1,"""ポイズントラップのポイズン確率が上昇する"""
TrapUpper#1,"""エネミーを打ち上げるトラップを設置する"""
TrapUpperCustom#1,"""アッパートラップの威力が上昇する"""
TrapFlash#1,"""エネミーをスタン状態にする閃光弾を投擲する。スタン無効なエネミーには効果が無い"""
TrapSearch#1,"""隠されたトラップを発見する"""
RangerAtpFirearmUp1#1,"""射撃力が上昇する"""
ReloadBind#1,"""アサルトライフル専用スキル\u3000バインド効果を与えるバインド弾を装填する"""
RangerAtpFirearmUp2#1,"""射撃力が上昇する。射撃アップ１より効果が高い"""
ReloadJellen#1,"""ランチャー専用スキル\u3000エネミーの攻撃力を低下させるジェルン弾を装填する"""
ReloadMirage#1,"""ランチャー専用スキル\u3000ミラージュ効果を与えるミラージュ弾を装填する"""
ReloadPanic#1,"""ランチャー専用スキル\u3000パニック効果を与えるパニック弾を装填する"""
Rare10Ranger#1,"""クラフト武器かレアリティ☆１０以上の武器を装備していると、与えるダメージが上昇する。<yellow>このスキルはメインクラスのみ適用される"""
KillingBonus#1,"""一定範囲内でエネミーが死亡すると、ＰＰが回復する"""
FirstHit#1,"""ＨＰが減っていないエネミーに対して攻撃を行うとダメージボーナスを得る"""
BulletPPSave#1,"""特殊弾を装填した武器を装備中、ＰＡとテクニックのＰＰ消費量が減少する"""
TacticsTrap#1,"""トラップでダメージを与えると、ＰＰが回復する"""
PowerBullet#1,"""特殊弾を装填した際に、一定時間射撃力が上昇する"""
WeakSnipeAddPB#1,"""射撃で弱点部位を攻撃したときのＰＢゲージ増加率にボーナスを得る"""
SniperPride#1,"""遠距離で攻撃をヒットさせるとダメージが上昇する。<yellow>このスキルはメインクラスのみ適用される"""
GravityBom#1,"""周囲のエネミーを吸い寄せる特殊な爆弾を投擲する"""
BulletKeep#1,"""特殊弾を装填した時、アサルトライフル、ランチャーに切り替えても弾が消えなくなる。<yellow>このスキルはメインクラスのみ適用される"""
MovingSnipe#1,"""移動した状態で射撃したときのダメージが上昇する"""
DiverollShoot#1,"""ダイブロール中の攻撃アクションが可能となる"""
BulletKeepGs#1,"""特殊弾を装填した時、ガンスラッシュに切り替えても弾が消えなくなる。<yellow>このスキルはメインクラスのみ適用される"""
MassiveBullet#1,"""特殊弾を装填する時、打ち上げや吹き飛ばしを防ぐ。<yellow>このスキルはメインクラスのみ適用される"""
BulletDiverollShoot#1,"""特殊弾装填中のダイブロールシュートが通常攻撃になる"""
ExTrapMode#1,"""全てのツール系スキルの発生速度や爆発範囲などの効果が強化される。<yellow>このスキルはメインクラスのみ適用される"""
RangerHighLevelBonus#1,"""プレイヤーが与えるダメージにボーナスを得る"""
RangerNextJump#1,"""２段ジャンプが可能になる"""
RangerFirstArtsJAAddition#1,"""最初に放つ攻撃が、ジャストアタックになる。発動後にリキャストが発生する。タクトやペットの攻撃とテクニックは無効"""
RangerAirReversal#1,"""空中で受け身がとれるようになる"""
RangerDushJump#1,"""回避アクション中にジャンプを行うことでダッシュ状態へ移行する"""
RangerStepJACombo#1,"""ステップ時にＪＡタイミングが発生するようになる"""
RangerJustReversalJACombo#1,"""ジャストリバーサル後にジャストアタックタイミングが発生"""
GunnerDiveroll#1,"""飛び込むような挙動で短距離を素早く移動する"""
GunnerDiverollAdvance#1,"""ダイブロール中の無敵時間を延長する"""
GunnerDfpFirearmUp1#1,"""射撃防御力が上昇する"""
GunnerJustReversal#1,"""吹き飛ばされてダウンしたときにジャンプ操作で素早く起き上がる"""
GunnerAtpFirearmUp1#1,"""射撃力が上昇する"""
GunnerAtpFirearmUp2#1,"""射撃力が上昇する。射撃アップ１より効果が高い"""
GunnerAtpFirearmUp3#1,"""射撃力が上昇する。射撃アップ１より効果が高い"""
GunnerZeroRangeBonus1#1,"""近距離で射撃攻撃をヒットするとダメージが上昇する"""
GunnerZeroRangeBonus2#1,"""近距離で射撃攻撃をヒットするとダメージが上昇する"""
GunnerOverWhelm#1,"""ボス以外のエネミーを攻撃したときの<br>PP回復量が増加する。"""
TechterAssistField#1,"""仮テキスト"""
TechterWandLovers#1,"""<yellow>【アクティブスキル】<c><br>一定時間、通常攻撃に、<br>エネミーの攻撃をはじく効果を追加し、<br>打ち上げや吹き飛ばしを防ぐ。<br><yellow>※ウォンド専用<c>"""
TechterShiftaStrike#1,"""シフタ・デバンドに、<br>エネミーに与えるダウン値が<br>増加する効果を追加する。<br><yellow>※メインクラス専用<c>"""
TechterShiftaAdvance#1,"""シフタ・デバンドに、<br>ダウン中のエネミーに与えるダメージが<br>増加する効果を追加する。<br><yellow>※メインクラス専用<c>"""
TechterDebandCut#1,"""シフタ・デバンドに、<br>状態異常になりにくくする効果を追加する。<br><yellow>※メインクラス専用<c>"""
TechterDebandPpReStraight#1,"""シフタ・デバンドに、<br>PPの自然回復量が増加する効果を追加する。<br><yellow>※メインクラス専用<c>"""
TechterExtendAssist#1,"""シフタ・デバンドの効果時間を延長する。<br><yellow>※メインクラス専用<c>"""
TechterReverseBonus#1,"""復活させた味方に<br>シフタ・デバンドの効果を付与する。<br><yellow>※メインクラス専用<c>"""
TechterWandGuardCounterEdge#1,"""ウォンドパリィカウンター発動時に、<br>衝撃波が発生する。"""
TechterFallSlowCharge#1,"""PAとテクニックチャージ中、<br>落下速度が緩やかになる。<br><yellow>※テクター武器専用<c>"""
TechterBartaBlot#1,"""チャージしていない氷属性テクニックを、<br>エネミーに当てることで、その回数に応じて、<br>最大２段階まで強化される氷の紋章を刻む。<br>そこに、チャージした<br>同属性のテクニックを当てると、<br>紋章が起爆して、<br>強化段階に応じた追加ダメージを与える。"""
TechterZondeClad#1,"""チャージしていない雷属性テクニックを、<br>一定回数エネミーに当てることで、自身が<br>帯電状態になる。さらに、チャージした<br>同属性のテクニックを使用すると、帯電が<br>解除され、そのテクニックを強化する。"""
TechterTalisQuickMarkShot#1,"""武器アクション発動時に、<br>方向入力を行わないことで、<br>一定時間、断続的に、<br>複数のエネミーを攻撃する。<br><yellow>※タリス専用<c>"""
TechterTalisSetRevok#1,"""武器アクションボタンを長押しすることで、<br>PAによるタリスの展開状態を解除する。<br><yellow>※タリス専用<c>"""
BraverGuardRelief#1,"""武器アクションによるガード時に、<br>受けるダメージとPP消費量を軽減する。"""
BraverRestaHealUp#1,"""レスタサイン使用時の<br>自分のHP回復量が増加する。"""
BraverJustReversalCover#1,"""エネミーの攻撃による<br>打ち上げや吹き飛ばしを、<br>受け身でしのいだときにHPが回復する。"""
BraverCombat#1,"""<yellow>【アクティブスキル】<c><br>一定時間、PP消費量が減少し、攻撃時の<br>PP回復量が増加する。スキル発動中に<br>再度使用することで強力な一撃を放つ。<br><yellow>※ブレイバー武器専用<c>"""
BraverBraveCombatShortTime#1,"""ブレイブコンバットの<br>効果時間が減少するかわりに、<br>再使用が可能になるまでの時間を短縮する。"""
BraverCombatCountAfterBonus#1,"""ブレイブコンバット終了時に、<br>スキル発動中の攻撃ヒット数に応じて<br>HPとPPが回復する。<br><yellow>※メインクラス／ブレイバー武器専用<c>"""
Katana:LockonChase#1,"""ブレイブコンバット中、<br>ロックオン状態での通常攻撃に、<br>一定範囲内にいるエネミーに<br>接近する挙動を追加する。<br><yellow>※カタナ専用<c>"""
BraverCompoundbowPaArmor#1,"""ブレイブコンバット中、<br>PAによる攻撃発動時の特定タイミングに、<br>エネミーの攻撃による打ち上げや<br>吹き飛ばしを防ぐ効果を追加する。<br><yellow>※バレットボウ専用<c>"""
BraverKatanaGuardCounter#1,"""武器アクションによる<br>ジャストガード成功時に、<br>自動的にカウンターが発生する。<br><yellow>※カタナ専用<c>"""
Katana:CounterEdge#1,"""カタナガードカウンター発動時に、<br>衝撃波を追加する。"""
Katana:ComboCountSkill#1,"""異なるPAを使用しても<br>カタナPAのコンボ段数が<br>維持されるようになる。<br><yellow>※カタナ専用<c>"""
Katana:Ambition#1,"""通常攻撃後やPA発動後の特定タイミングに、<br>エネミーの攻撃を無効化し、<br>自動的にカウンターが発生する。<br><yellow>※カタナ専用<c>"""
BraverCounterArrow#1,"""武器アクションによる回避成功時に、<br>通常攻撃を行うことで、<br>カウンターが発生する。<br><yellow>※バレットボウ専用<c>"""
BraverCompoundbowHoming#1,"""通常攻撃で放つ矢が、<br>エネミーを追尾するようになる。<br><yellow>※バレットボウ専用<c>"""
BraverCompoundbowSlideDodge#1,"""PA発動後に、特定タイミングで<br>方向入力を行いながら武器アクションを<br>発動すると、スライドしながら<br>攻撃する挙動に変化する。<br><yellow>※バレットボウ専用<c>"""
BouncerDownRateUp#1,"""エネミーに与えるダウン値が増加する。"""
BouncerNakedKiller#1,"""エネミー単体に対する<br>部位破壊回数に応じて、<br>与えるダメージが増加し、<br>受けるダメージを軽減する。"""
BouncerDefeatPpGain#1,"""自分の周囲でエネミーが<br>ダウンしたときに、PPが回復する。<br><yellow>※メインクラス専用<c>"""
BouncerFrailPointUp#1,"""フィジカルディクラインと<br>エレメンタルディクラインの<br>ダウン値増加の段階が上がりやすくなる。<br><yellow>※メインクラス専用<c>"""
BouncerPhysicFrail#1,"""PAを当てたエネミーを<br>物理ダウンしやすい状態にする。<br>さらにPAを当てることで、<br>最大３段階まで効果が上昇する。<br><yellow>※メインクラス／デュアルブレード専用<c>"""
BouncerElementFrail#1,"""PAを当てたエネミーを<br>属性ダウンしやすい状態にする。<br>さらにPAを当てることで、<br>最大３段階まで効果が上昇する。<br><yellow>※メインクラス／ジェットブーツ専用<c>"""
BouncerPhotonBladeFever#1,"""<yellow>【アクティブスキル】<c><br>一定時間、フォトンブレードの<br>威力が低下するかわりに、<br>発射頻度が増加する。<br><yellow>※デュアルブレード専用<c>"""
BouncerPhotonBladeFeverUp#1,"""ファナティックブレード中に、<br>フォトンブレードの発射本数が増加する。<br><yellow>※デュアルブレード専用<c>"""
BouncerPhotonBladePpGain#1,"""フォトンブレードが刺さった状態の<br>エネミーに、通常攻撃を当てたときの<br>PP回復量が増加する。<br><yellow>※デュアルブレード専用<c>"""
BouncerElementBurst#1,"""<yellow>【アクティブスキル】<c><br>攻撃や、武器アクションの回避により、<br>蓄積したゲージを消費することで、<br>強力な一撃を放つ。<br><yellow>※ジェットブーツ専用<c>"""
BouncerJetBootsElementChange#1,"""エネミーにPAを当てたときに、<br>最後に使用したテクニックの<br>属性に応じた追加攻撃が<br>発生するようになる。<br><yellow>※ジェットブーツ専用<c>"""
BouncerJetBootsAttackExtra#1,"""通常攻撃段数が、最大４段階に増加する。<br><yellow>※ジェットブーツ専用<c>"""
BouncerJetBootsJetAttack#1,"""一定距離内にエネミーがいるときに、<br>通常攻撃ボタンを長押しすることで、<br>徐々に攻撃速度が上昇する<br>連続攻撃が発生する。<br><yellow>※ジェットブーツ専用<c>"""
BouncerJetBootsEnhancePA#1,"""PAボタンを長押しすることで、<br>攻撃の挙動が変化するようになる。<br><yellow>※ジェットブーツ専用<c>"""
BouncerJetBootsWeaponActionCounter#1,"""武器アクションによる回避成功時に、<br>自動的にカウンターが発生する。<br>さらに通常攻撃を行うことで、<br>追加でカウンターが発生する。<br><yellow>※ジェットブーツ専用<c>"""
BouncerJetBootsBlink#1,"""テクニック発動後に、特定のタイミングで、<br>通常攻撃ボタンを押すことで、<br>エネミーに突撃を行う。<br><yellow>※ジェットブーツ専用<c>"""
BouncerBartaBlot#1,"""チャージしていない氷属性テクニックを、<br>エネミーに当てることで、その回数に応じて、<br>最大２段階まで強化される氷の紋章を刻む。<br>そこに、チャージした<br>同属性のテクニックを当てると、<br>紋章が起爆して、<br>強化段階に応じた追加ダメージを与える。"""
BouncerZondeClad#1,"""チャージしていない雷属性テクニックを、<br>一定回数エネミーに当てることで、自身が<br>帯電状態になる。さらに、チャージした<br>同属性のテクニックを使用すると、帯電が<br>解除され、そのテクニックを強化する。"""
BouncerPhotonBladeGuard#1,"""PA発動中に、<br>武器アクションボタンを押すことで、<br>エネミーからの攻撃を１度だけ無効化する。<br><yellow>※メインクラス／デュアルブレード専用<c>"""
BouncerElementBurstPPSave#1,"""シュツルムジーカー発動後に、<br>一定時間、PP消費量が減少する。<br><yellow>※メインクラス／ジェットブーツ専用<c>"""
TwinmachinegunGear#1,"""攻撃を当てるとギアが溜まり、攻撃の威力が上昇する"""
ShowTime#1,"""ツインマシンガン専用スキル\u3000一定時間エネミーの自分に対するヘイト効果を上昇する代わりに、ギアの上昇率を大きく上げる"""
GunnerHPUp1#1,"""ＨＰ最大値が上昇する"""
ChainTrigger#1,"""スキル発動後に通常攻撃をヒットさせるとチェインを開始する"""
ChainFinish#1,"""ツインマシンガン装備時、打撃と射撃によるチェインフィニッシュダメージが上昇する。<yellow>このスキルはメインクラスのみ適用される"""
GunnerDexUp1#1,"""技量が上昇する"""
AerialAdvance#1,"""空中にいるエネミーに攻撃をヒットさせたときダメージが上昇する"""
GunnerDexUp2#1,"""技量が上昇する。技量アップ１より効果が高い"""
