f2#0,"""이머전시 트라이얼 「$(0)」 발생!"""
InterruptIncidentSpecifiedEnemyAnnihilation#0,"""Dummy1"""
InterruptIncidentSpecifiedEnemyAnnihilation_A#0,"""ザウーダンを 격퇴하라!"""
InterruptIncidentSpecifiedEnemyAnnihilation_B#0,"""ロックベアを 격퇴하라!"""
InterruptIncidentSpecifiedEnemyAnnihilation_C#0,"""ブリアーダを 격퇴하라!"""
InterruptIncidentSpecifiedEnemyAnnihilation_D#0,"""카르타고를 섬멸하라!"""
InterruptIncidentEscapeEnemyAnnihilation#0,"""ナヴ・ラッピーを昏倒させ<br>データを収集せよ！"""
InterruptIncidentBossAnnihilation#0,"""Dummy3"""
InterruptIncidentBossAnnihilation_A#0,"""볼 드래곤을쓰러뜨려라！"""
InterruptIncidentFirewall#0,"""Dummy4"""
InterruptIncidentHeliDefense#0,"""Dummy5"""
InterruptIncidentDoorAndKey#0,"""Dummy6"""
InterruptIncidentEnemybomb#0,"""最深部に向かい、異常を 조사하라!"""
InterruptIncidentP#0,"""Dummy8"""
EnemyBossSpider#0,"""ボスグモを 토벌하라!"""
EnemyBossDragon#0,"""ドラゴンを 토벌하라!"""
BeginQuestPointMsg#0,"""クエストポイントを$(0)ためろ！"""
BeginQuestPointMsg_A#0,"""ナベリウス原生種を撃退し<br>クエストポイントを$(0)ためろ！"""
BeginQuestPointMsg_B#0,"""ダーカーを撃退し<br>クエストポイントを$(0)ためろ！"""
BeginQuestPointMsg_C#0,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
InterruptIncidentBossAnnihilation_B#0,"""キャタドランを 쓰러뜨려라！"""
BeginFreeFieldMsg_A#0,"""최심부로 향해라!"""
story_begin_10010#0,"""다커 무리를 돌파하라!"""
story_begin_10020_01#0,"""다커 무리를 돌파하라!"""
story_begin_10020_02#0,"""목소리의 정체를 확인하라!"""
story_begin_10020_03#0,"""목소리의 정체를 확인하라!"""
story_begin_10030_01#0,"""지질 샘플을 채취하라!"""
story_begin_10030_02#0,"""수수께끼의 사람 형태를 쫓아라!"""
story_begin_10040_01#0,"""리리파족을 찾아라!"""
story_begin_10040_02#0,"""리리파족을 찾아라!"""
story_begin_10050_01#0,"""용족과 접촉하라!"""
story_begin_10050_02#0,"""용족과 접촉하라!"""
story_begin_10060_01#0,"""최심부까지 탐색하라!"""
story_begin_10060_02#0,"""리리파족을 지키며 나아가라!"""
story_begin_10070_01#0,"""부유대륙을 탐색하라!"""
story_begin_10070_02#0,"""기다리는 사람을 만나라!"""
story_begin_10080#0,"""침입한 다커를 섬멸하라!"""
story_begin_10080_2#0,"""거주 지구로 가라!"""
story_begin_10090_01#0,"""유적의 비밀을 알아내라!"""
story_begin_10090_02#0,"""유적의 비밀을 알아내라!"""
story_begin_10090_03#0,"""유적의 비밀을 알아내라!"""
story_begin_10090_04#0,"""역사개변을 이뤄라!"""
story_begin_10100_01#0,"""조룡 하드레드를 붙잡아라!"""
story_begin_10100_02#0,"""조룡 하드레드를 붙잡아라!"""
story_begin_10110_01#0,"""안쪽에 있는 쿠나와 합류하라!"""
story_begin_10120#0,"""에너미를  격파し<br>スコアポイントを$(0)稼げ！"""
story_begin_10130_01#0,"""카브라칸의 동료를 찾아라!"""
story_begin_10130_02#0,"""테오도어와 함께 안쪽으로 가라!"""
story_begin_10140_01#0,"""로 카미츠를 찾아라!"""
story_begin_10140_02#0,"""사라와 함께 가라!"""
story_begin_10150_01#0,"""옛 채굴장을 순찰하라!"""
story_begin_10150_02#0,"""아핀과 함께 탐색하라!"""
story_begin_10160_01#0,"""해저의 시설을 조사하라!"""
story_begin_10160_02#0,"""헤저 에어리어를 조사하라!"""
story_begin_10170_01#0,"""멜폰시나와 함께 가라!"""
story_begin_10180_01#0,"""서둘러 시온에게 가라!"""
story_begin_10175_01#0,"""서둘러 최심부에서 혼자 싸우는 그녀에게 가라!"""
freefield_begin_20010#0,"""최심부로 향해라!"""
freefield_begin_20020#0,"""최심부로 향해라!"""
freefield_begin_20030#0,"""최심부로 향해라!"""
freefield_begin_20040#0,"""최심부로 향해라!"""
freefield_begin_20050#0,"""최심부로 향해라!"""
freefield_begin_20060#0,"""최심부로 향해라!"""
freefield_begin_20070#0,"""최심부로 향해라!"""
freefield_begin_20080#0,"""최심부로 향해라!"""
freefield_begin_20090#0,"""최심부로 향해라!"""
freefield_begin_20100#0,"""최심부로 향해라!"""
freefield_begin_20110#0,"""최심부로 향해라!"""
arks_begin_30010#0,"""자우단을 토벌하라!"""
arks_begin_30015#0,"""폰 갈프를 토벌하라!"""
arks_begin_30020#0,"""ナヴ・ラッピーを昏倒させ<br>データを収集せよ！"""
arks_begin_30030#0,"""ダガンを撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30040#0,"""팡 밴시를 토벌하라!"""
arks_begin_30050#0,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30060#0,"""카르타고를 섬멸하라!"""
arks_begin_30070#0,"""캐터드란을 토벌하라!"""
arks_begin_30080#0,"""機甲種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30090#0,"""稀少鉱物を 회수하라!"""
arks_begin_30100#0,"""광석을 채굴하라!"""
arks_begin_30110#0,"""原生種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30120#0,"""연락이 두절된 아크스를 찾아라!"""
arks_begin_30130#0,"""데 마루모스를 진압하라!"""
arks_begin_30140#0,"""機甲種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30150#0,"""구조대상자를 구하라!"""
arks_begin_30160#0,"""트랜마이저를 격파하라!"""
arks_begin_30170#0,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30180#0,"""특수 광물을 회수하라!"""
arks_begin_30190#0,"""캐터드란사를 토벌하라!"""
arks_begin_30200#0,"""ダーカーを撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30210#0,"""ダーカイムを 파괴하라!"""
arks_begin_30220#0,"""ウォルガーダ를 섬멸하라!"""
arks_begin_30230#0,"""龍族を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30240#0,"""ソル・ディランダールの토벌"""
arks_begin_30250#0,"""고론 조란을 진압하라!"""
arks_begin_30260#0,"""海王種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30270#0,"""최심부의 포선화를 제거하라!"""
arks_begin_30280#0,"""오그 블랑을 토벌하라!"""
arks_begin_30290#0,"""機甲種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30300#0,"""""최심부 취락을 방어하라!"""""
arks_begin_30310#0,"""버더 소마를 토벌하라!"""
arks_begin_30320#0,"""海王種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30330#0,"""워파루 원주민을 구하라!"""
arks_begin_30340#0,"""데콜 마류다를 토벌하라!"""
time_begin_40010#0,"""최심부로 향해라!"""
time_begin_40020#0,"""최심부로 향해라!"""
time_begin_40030#0,"""최심부로 향해라!"""
time_begin_40040#0,"""최심부로 향해라!"""
time_begin_40050#0,"""최심부로 향해라!"""
time_begin_40060#0,"""최심부로 향해라!"""
urgency_begin_50010#0,"""ダーカーを撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50020#0,"""ダーカーを撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50030#0,"""최심부로 향해라!"""
urgency_begin_50035#0,"""최심부로 향해라!"""
urgency_begin_50040#0,"""빅 버더를 격파하라!"""
urgency_begin_50050#0,"""시간이 되는대로 에너미를 격퇴하라!"""
urgency_begin_50060#0,"""나우라 케이크 가게를 찾아라!"""
urgency_begin_50070#0,"""시간이 되는대로 에너미를 격퇴하라!"""
urgency_begin_50080#0,"""펄스 암을 격파하라!"""
urgency_begin_50090#0,"""다크 펄스 엘더의 격파"""
urgency_begin_50100#0,"""나우라 케이크 가게를 찾아라!"""
urgency_begin_50110#0,"""バレンタインPtを$(0)ためろ！"""
urgency_begin_50120#0,"""ホワイトデーPtを$(0)ためろ！"""
urgency_begin_50130#0,"""최심부로 향해라!"""
urgency_begin_50140#0,"""최심부로 향해라!"""
urgency_begin_50160#0,"""要救助者を救助し<br>クエストポイントを$(0)ためろ！"""
escape_begin_030010#0,"""회수 포인트를 목표로 하라!"""
escape_begin_030020#0,"""회수 포인트를 목표로 하라!"""
tgs2013_begin_00000#0,"""최심부로 향해라!"""
cost_begin_010010#0,"""최심부로 향해라!"""
cost_begin_020010#0,"""최심부로 향해라!"""
cost_begin_030010#0,"""최심부로 향해라!"""
cost_begin_040010#0,"""최심부로 향해라!"""
cost_begin_050010#0,"""최심부로 향해라!"""
cost_begin_060010#0,"""최심부로 향해라!"""
cost_begin_070010#0,"""최심부로 향해라!"""
cost_begin_080010#0,"""최심부로 향해라!"""
cost_begin_090010#0,"""최심부로 향해라!"""
cost_begin_100010#0,"""최심부로 향해라!"""
cost_begin_110010#0,"""최심부로 향해라!"""
cost_begin_120010#0,"""최심부로 향해라!"""
event_begin_80010#0,"""최심부로 향해라!"""
event_begin_80020#0,"""최심부로 향해라!"""
event_begin_80030#0,"""다크 펄스 엘더의 격파"""
event_begin_80040#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80060#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80070#0,"""최심부로 향해라!"""
event_begin_80080#0,"""에너미를 100마리 쓰러뜨려라！"""
event_begin_80100#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80110#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
tower_begin_90010#0,"""다섯 개의 스테이지를 제패하라!"""
tower_begin_90020#0,"""다섯 개의 스테이지를 제패하라!"""
tower_begin_90030#0,"""다섯 개의 스테이지를 제패하라!"""
defense_begin_010010#0,"""채굴 기지를 방어하라!"""
defense_begin_010030#0,"""채굴 기지를 방어하라!"""
urgency_begin_100010#0,"""ビーチPtを$(0)ためろ！"""
urgency_begin_100015#0,"""ビーチPtを$(0)ためろ！"""
urgency_begin_060020#0,"""수수께끼의 적성 기계 적 격파"""
urgency_begin_50210#0,"""나우라 케이크 가게를 찾아라!"""
urgency_begin_50200#0,"""최심부로 향해라!"""
urgency_begin_50220#0,"""나우라 케이크 가게를 찾아라!"""
urgency_begin_50230#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50240#0,"""バレンタインPtを$(0)ためろ！"""
urgency_begin_50250#0,"""ホワイトデーPtを$(0)ためろ！"""
urgency_begin_50260#0,"""스위치를 기동하여 에너미를 섬멸하라!"""
urgency_begin_50270#0,"""아포스 도리오스를 격파하라!"""
urgency_begin_50280#0,"""다크 펄스 루서 격파"""
urgency_begin_50290#0,"""다크 펄스 루서 격파"""
urgency_begin_50300#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50310#0,"""최심부로 향해라!"""
urgency_begin_100020#0,"""ビーチPtを$(0)ためろ！"""
story_begin_10190_01#0,"""コトシロのもとに向かえ！"""
story_begin_10200_01#0,"""부상 시설을 조사하라!"""
story_begin_10210_01#0,"""봉인의 장소로 향해라!"""
story_begin_10220_01#0,"""【어프렌티스】를 찾아라!"""
story_begin_10230#0,"""【더블】의 내적 우주를 탈출하라!"""
story_begin_10240_01#0,"""【더블】의 근원을 향해라!"""
story_begin_10250_01#0,"""【페르소나】와 결말을 내라!"""
story_begin_10250_02#0,"""마토이를 격파하라!"""
story_begin_10250_03#0,"""マトイの元に向かえ！"""
story_begin_10270_01#0,"""괴세 구역을 조사하라!"""
story_begin_10280_01#0,"""ヒツギと行動をともにせよ！"""
story_begin_10290_01#0,"""ハギトの軍勢を 격퇴하라!"""
story_begin_10300_01#0,"""ヒツギと共に状況を打開せよ！"""
story_begin_10310_01#0,"""迅速に幻創種を 격파하라!"""
story_begin_10320_01#0,"""베토르를 멈춰라!"""
story_begin_10330_01#0,"""魔人・ファレグを 격퇴하라!"""
story_begin_10330_02#0,"""全ての幻創種を殲滅しろ！"""
story_begin_10340#0,"""行く手を阻む幻創種を 격파하라!"""
story_begin_10350_99#0,"""魔人・ファレグを 격퇴하라!"""
story_begin_10350_01#0,"""捕らわれたヒツギを救出せよ！"""
story_begin_10350_02#0,"""아크스 쉽에 침입한 적을 격퇴하라!"""
story_begin_10380_99#0,"""ダーカーのような幻創種を 쓰러뜨려라！"""
story_begin_10390_99#0,"""ヒツギたちと共に学校を守れ！"""
story_begin_10400_01#0,"""아라토론을 격퇴하라!"""
story_begin_10400_02#0,"""アルを救出せよ！"""
story_begin_10400_03#0,"""マザーを止めろ！"""
story_begin_10410_99#0,"""異常進化した幻創種を 쓰러뜨려라！"""
story_begin_10430_01#0,"""世界再編を阻止せよ！"""
story_begin_10420_99#0,"""魔人・ファレグを 쓰러뜨려라！"""
story_begin_10440_01#0,"""【페르소나】를 구해라!"""
story_begin_10440_02#0,"""적을 모두 쓰러뜨려라!"""
story_begin__300020_01#0,"""마신성을 파괴하라!"""
story_begin__300020_02#0,"""マナを回収して開戦準備を行え！"""
story_begin__300020_03#0,"""敵部隊の攻撃から破界塔を守れ！"""
story_begin__300020_04#0,"""破界鎚を護衛し敵結界を攻撃せよ！"""
story_begin__300020_05#0,"""魔神城の腹部のコアを 파괴하라!"""
story_begin__303310_01#0,"""다커를 섬멸하라! """
story_begin__300410_01#0,"""魔人兵を全て 격퇴하라!"""
story_begin_300430_01#0,"""オメガ・ヒューナルを 격파하라!"""
story_begin_300650_01#0,"""마신성을 격파하라!"""
story_begin_300700_01#0,"""オメガ・アンゲルを 격파하라!"""
story_begin_300870_01#0,"""마신성을 격파하라!"""
story_begin_300880_01#0,"""다크 엠페 랍피를 격파하라!"""
story_begin_300900_01#0,"""SOROKING・Dを 격파하라!"""
story_begin_300940_01#0,"""オメガ・アプレジナを 격파하라!"""
story_begin_300890_01#0,"""逃げ遅れた市民を救助せよ！"""
story_begin_300890_02#0,"""市街地の平和を取り戻せ！"""
story_begin_301130_01#0,"""마신성을 격파하라!"""
story_begin_301160_01#0,"""오메가 다릴을 격파하라!"""
story_begin_301180_01#0,"""오메가 더럼블을 격파하라!"""
story_begin_301300_01#0,"""검은 고치로 향해라!"""
story_begin_301310_01#0,"""검은 고치로 향해라!"""
story_begin_301350_01#0,"""エルミルを 쓰러뜨려라！"""
tutorial_begin_699999_01#0,"""회수 포인트를 목표로 하라!"""
omnibus_outline_15000_01#1,"""히 로가를 진정시켜라!"""
omnibus_outline_15010_01#1,"""【仮面】を 격퇴하라!"""
omnibus_outline_15020_01#1,"""트랜마이저를 격파하라!"""
omnibus_outline_15030_01#1,"""코 레라를 격퇴하라!"""
omnibus_outline_15040_01#1,"""침입한 다커를 섬멸하라!"""
omnibus_outline_15050_01#1,"""유적의 비밀을 알아내라!"""
omnibus_outline_15060_01#1,"""다크 펄스 엘더を 격파하라!"""
omnibus_outline_15070_01#1,"""하드레드를 격퇴하라!"""
omnibus_outline_15080_01#1,"""하드레드를 격퇴하라!"""
omnibus_outline_15080_02#1,"""안쪽에 있는 쿠나와 합류하라!"""
omnibus_outline_15090_01#1,"""멜폰시나와 함께 가라!"""
omnibus_outline_15100_01#1,"""스코어 포인트를 벌어라!"""
omnibus_outline_15110_01#1,"""브류 링가다를 격퇴하라!"""
omnibus_begin_15120_02#0,"""오그 블랑을 격퇴하라!"""
omnibus_begin_15130_02#0,"""데콜 마류다를 격퇴하라!"""
omnibus_begin_15140_02#0,"""펄스 휴날을 격퇴하라!"""
omnibus_begin_15150_02#0,"""비올 메듀나를 격퇴하라!"""
omnibus_begin_15160_02#0,"""거주 지구로 가라!"""
omnibus_begin_15170_02#0,"""서둘러 시온에게 가라!"""
omnibus_begin_15180_02#0,"""아포스 도리오스를 격파하라!"""
omnibus_begin_15180_03#0,"""다크 펄스 루서 격파"""
omnibus_begin_15190_02#0,"""서둘러 최심부에서 혼자 싸우는 그녀에게 가라!"""
omnibus_begin_15200_02#0,"""【어프렌티스】를 찾아라!"""
omnibus_begin_15210_02#0,"""부상 시설을 조사하라!"""
omnibus_begin_15220_03#0,"""기구르 군네감을격파하라!"""
omnibus_begin_15230_03#0,"""봉인된 장소를방어하라!"""
omnibus_begin_15240_03#0,"""『마가츠』를 격파하라!"""
omnibus_begin_15250_03#0,"""【더블】의 내적 우주를 탈출하라!"""
omnibus_begin_15260_03#0,"""【더블】을 격파하라!"""
omnibus_begin_15270_03#0,"""【페르소나】와 결말을 내라!"""
omnibus_begin_15280_03#0,"""마토이를 격파하라!"""
omnibus_begin_15290_03#0,"""마토이를 구해라!"""
omnibus_begin_15300_03#0,"""【심원의 어둠】의 격파"""
omnibus_begin_15310_03#0,"""괴세 구역을 조사하라!"""
omnibus_begin_15320_03#0,"""DF 어프렌티스 지아를 격파하라!"""
freefield_begin_20120#0,"""최심부로 향해라!"""
freefield_begin_20130#0,"""최심부로 향해라!"""
freefield_begin_20140#0,"""퀘스트 포인트를 모아라!"""
freefield_begin_20160#0,"""퀘스트 포인트를 모아라!"""
freefield_begin_20170#0,"""최심부로 향해라!"""
arks_begin_30350#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30360#0,"""안쟈두리리를 토벌하라!"""
arks_begin_30370#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30380#1,"""레오마두라드를 토벌하라!"""
arks_begin_30390#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30400#0,"""코닷타 이뎃타를 토벌하라!"""
time_begin_40070#0,"""에너미를 100마리 쓰러뜨려라！"""
time_begin_40080#0,"""최심부로 향해라!"""
time_begin_40090#0,"""최심부로 향해라!"""
time_begin_40100#0,"""최심부로 향해라!"""
training_begin_00010#0,"""1개의 과제를 달성하라!"""
training_begin_00020#0,"""2개의 과제를 달성하라!"""
training_begin_00030#0,"""3개의 과제를 달성하라!"""
training_begin_00040#0,"""４つの課題を達成せよ！"""
training_begin_00050#0,"""5개의 과제를 달성하라!"""
training_begin_00060#0,"""6개의 과제를 달성하라!"""
training_begin_00080#0,"""8개의 과제를 달성하라!"""
training_begin_00090#0,"""9개의 과제를 달성하라!"""
training_begin_00100#0,"""10개의 과제를 달성하라!"""
urgency_begin_50360#0,"""최심부로 향해라!"""
tgs2015_begin_00000#0,"""최심부로 향해라!"""
cost_begin_140010#0,"""최심부로 향해라!"""
cost_begin_150010#0,"""최심부로 향해라!"""
cost_begin_170010#0,"""최심부로 향해라!"""
event_begin_80090#0,"""다크 펄스 루서 격파"""
defense_begin_010040#0,"""채굴 기지를 방어하라!"""
challenge_begin_120000#0,"""VRエネルギーが無くなる前に<br>5가지 미션을 클리어 하라!"""
challenge_begin_121000#0,"""制限時間内に가능한 많은 ミッションをクリアし<br>より多くのスコアを獲得せよ！"""
riding_begin_180010#0,"""制限時間内に가능한 많은 에너미를  격파し<br>より多くのスコアを獲得せよ！"""
riding_begin_180020#0,"""制限時間内に가능한 많은 에너미를  격파し<br>より多くのスコアを獲得せよ！"""
riding_begin_180030#0,"""制限時間内に가능한 많은 에너미를  격파し<br>より多くのスコアを獲得せよ！"""
riding_begin_180040#0,"""制限時間内に가능한 많은 에너미를  격파し<br>より多くのスコアを獲得せよ！"""
riding_begin_180050#0,"""制限時間内に가능한 많은 에너미를  격파し<br>より多くのスコアを獲得せよ！"""
riding_begin_180060#0,"""制限時間内に가능한 많은 에너미를  격파し<br>より多くのスコアを獲得せよ！"""
urgency_begin_50330#0,"""暴走せしパジャドゥリンと<br>ギグル・グンネガムを토벌せよ!"""
urgency_begin_50350#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50340#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50370#0,"""クリスマスPtを$(0)ためろ！"""
urgency_begin_50390#0,"""『마가츠』를 격파하라!"""
ultimate_begin_130000#0,"""최심부로 향해라!"""
event_begin_80120#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50380#0,"""バレンタインPtを$(0)ためろ！"""
urgency_begin_50400#0,"""ホワイトデーPtを$(0)ためろ！"""
urgency_begin_50430#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50410#0,"""장애물을 제거하며 최심부를 향해라!"""
urgency_begin_50420#0,"""『마가츠』를 격파하라!"""
event_begin_80140#0,"""이변을 일으키는 원흉을 격파하라!"""
urgency_begin_50450#0,"""다크 펄스 두 녀석을 격파하라!"""
urgency_begin_50460#0,"""ビーチPtを$(0)ためろ！"""
event_begin_80130#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50470#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
challenge_begin_120010#0,"""VRエネルギーが無くなる前に<br>5가지 미션을 클리어 하라!"""
urgency_begin_50490#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50480#0,"""【심원의 어둠】의 격파"""
urgency_begin_50500#0,"""クリスマスPtを$(0)ためろ！"""
event_begin_80150#0,"""최심부로 향해라!"""
contest_begin_140010#0,"""에너미를 100마리 쓰러뜨려라！"""
contest_begin_140020#0,"""【심원의 어둠】의 격파"""
event_begin_80180#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80190#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
bonusgame_begin_150010#0,"""시간 내로 에너미를 모두 격퇴하라!"""
bonusgame_begin_150030#0,"""시간 내로 에너미를 모두 격퇴하라!"""
bonusgame_begin_150040#0,"""시간 내로 에너미를 모두 격퇴하라!"""
arks_begin_30410#0,"""幻創種を撃退し<br>クエストポイントを$(0)ためろ！"""
arks_begin_30420#0,"""트레인 기도란을 토벌하라!"""
freefield_begin_20150#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50520#0,"""ホワイトデーPtを$(0)ためろ！"""
tower_begin_90040#0,"""다섯 개의 스테이지를 제패하라!"""
urgency_begin_50540#0,"""환창전함 야마토를 격퇴하라!"""
urgency_begin_50530#0,"""장애물을 제거하며 최심부를 향해라!"""
urgency_begin_50510#0,"""バレンタインPtを$(0)ためろ！"""
urgency_begin_50550#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
time_begin_40110#0,"""최심부로 향해라!"""
escape_begin_030030#0,"""회수 포인트를 목표로 하라!"""
urgency_begin_50570#0,"""【심원의 어둠】의 격파"""
urgency_begin_50560#0,"""ビーチPtを$(0)ためろ！"""
urgency_begin_50700#0,"""최심부로 향해라!"""
event_begin_80200#0,"""이변을 일으키는 원흉을 격파하라!"""
event_begin_80210#0,"""クエストポイントを$(0)ためろ！"""
time_begin_40120#0,"""최심부로 향해라!"""
urgency_begin_50580#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50590#0,"""에너미를 撃退し<br>할로윈 Ptを$(0)ためろ！"""
event_begin_80220#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50610#0,"""クリスマスPtを$(0)ためろ！"""
ultimate_begin_130020#0,"""용족을 진압하여 최심부로 도달하라!"""
urgency_begin_50600#0,"""에스카 펄스 마더를 격파하라!"""
tower_begin_90050#0,"""다섯 개의 스테이지를 제패하라!"""
urgency_begin_50620#0,"""최심부로 향해라!"""
urgency_begin_50650#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
event_begin_80230#0,"""각 행성에 나타난 적을 격퇴하라!"""
bonusgame_begin_150060#0,"""시간 내로 에너미를 모두 격퇴하라!"""
basnet_begin_9674#0,"""마신성을 격파하라!"""
urgency_begin_50660#0,"""데우스・에스카를 격퇴하라!"""
urgency_begin_50690#0,"""데우스・에스카를 격퇴하라!"""
event_begin_80250#0,"""각 행성에 나타난 적을 격퇴하라!"""
urgency_begin_50670#0,"""환창전함 야마토를 격퇴하라!"""
urgency_begin_50680#0,"""환창전함 야마토를 격퇴하라!"""
event_begin_80260#0,"""각 행성에 나타난 적을 격퇴하라!"""
event_begin_80270#0,"""각 행성에 나타난 적을 격퇴하라!"""
event_begin_80280#0,"""각 행성에 나타난 적을 격퇴하라!"""
event_begin_80290#0,"""각 행성에 나타난 적을 격퇴하라!"""
urgency_begin_50710#0,"""장애물을 제거하며 최심부를 향해라!"""
urgency_begin_50730#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50720#0,"""クリスマスPtを$(0)ためろ！"""
urgency_begin_50750#0,"""마신성을 격파하라!"""
urgency_begin_50740#0,"""制限時間内に가능한 많은 에너미를  격파し<br>より多くのスコアを獲得せよ！"""
event_begin_80300#0,"""마신성을 격파하라!"""
event_begin_80310#0,"""하리엣을 구출하라!"""
urgency_begin_50760#0,"""ドラゴンを 격퇴하라!"""
urgency_begin_50770#0,"""ドラゴンを 격퇴하라!"""
urgency_begin_50780#0,"""최심부로 향해라!"""
urgency_begin_50790#0,"""최심부로 향해라!"""
urgency_begin_50800#0,"""오메가 펄스 루서를 격파하라!"""
urgency_begin_50810#0,"""오메가 펄스 루서를 격파하라!"""
bonusgame_begin_150070#0,"""시간 내로 에너미를 모두 격퇴하라!"""
urgency_begin_50820#0,"""시간 내로 에너미를 모두 격퇴하라!"""
ultimate_begin_130010#0,"""최심부로 향해라!"""
urgency_begin_50830#0,"""최심부로 향해라!"""
tower_begin_90060#0,"""다섯 개의 스테이지를 제패하라!"""
tower_begin_90070#0,"""다섯 개의 스테이지를 제패하라!"""
urgency_begin_50840#0,"""時間内に가능한 많은 에너미를 격퇴하라!"""
urgency_begin_50850#0,"""【어프렌티스】를 격퇴하라!"""
trigger_begin_170440#0,"""작령룡 엘제리온을 토벌하라!"""
urgency_begin_50930#0,"""장애물을 제거하며 최심부를 향해라!"""
urgency_begin_50860#0,"""【어프렌티스】를 격퇴하라!"""
urgency_begin_50920#0,"""최심부로 향해라!"""
urgency_begin_50870#0,"""마신성을 격파하라!"""
ultimate_begin_130030#0,"""オメガ・マスカレーダを 토벌하라!"""
urgency_begin_50950#0,"""최심부로 향해라!"""
urgency_begin_50960#0,"""최심부로 향해라!"""
event_begin_80350#0,"""적성반응을 섬멸하라!"""
event_begin_80360#0,"""최심부로 향해라!"""
event_begin_80370#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
urgency_begin_50900#0,"""다크 펄스 페르소나を 격파하라!"""
urgency_begin_50910#0,"""다크 펄스 페르소나を 격파하라!"""
urgency_begin_50980#0,"""최심부로 향해라!"""
story_begin_130010#0,"""최심부로 향해라!"""
story_begin_390010#0,"""磁獄龍墓最奥を目指せ！"""
urgency_begin_51060#0,"""敵艦隊旗艦を撃沈せよ！"""
urgency_begin_51040#0,"""敵旗艦の周囲を固める戦艦群を突破せよ！"""
urgency_begin_51050#0,"""動力炉を 파괴하라!"""
event_begin_80390#0,"""仮想標的を 파괴하라!"""
urgency_begin_51030#0,"""敵艦を襲撃し、Ａ．Ｉ．Ｓ妨害装置を 파괴하라!"""
urgency_begin_51010#0,"""前方の航行不能な味方艦を救助しろ！"""
urgency_begin_51000#0,"""甲板上の敵を排除し、味方艦を救援せよ！"""
urgency_begin_51020#0,"""敵艦を追撃し、Ａ．Ｉ．Ｓ妨害装置を 파괴하라!"""
event_begin_80380#0,"""各エリアに現れた敵を 격퇴하라!"""
training_begin_161500#0,"""５回ダメージ測定をせよ！"""
urgency_begin_250040#0,"""에너미를 撃退し<br>クエストポイントを$(0)ためろ！"""
ultimate_begin_410010#0,"""최심부로 향해라!"""
event_begin_140040#0,"""ハルコタンを구해라!"""
urgency_begin_51070#0,"""최심부로 향해라!"""
freefield_begin_20250#0,"""최심부로 향해라!"""
