EnemyWeak#0,"""단숨에 쓸어 버린다"""
IncidentSuccess#20,"""좋아, 대성공!<br>느낌 좋았지!"""
IncidentFailure#20,"""으으으……미안해"""
PSE#20,"""공기가 술렁거리지 않아?"""
PSELevelUp#20,"""계속 쭉쭉 가자!"""
PSEBurst#20,"""우와, 엄청난 일이<br>돼 버렸네!\u3000아하하!"""
HP30#20,"""으엑, 조금 위험한가……?"""
HP10#20,"""자, 잠깐만!"""
ItemRare#20,"""앗, 레어 아이템이다!<br>잘됐다!"""
DamageSmall#20,"""큭!"""
DamageMiddle#20,"""와와왓!?"""
DamageLarge#20,"""꺄악!"""
Trap#20,"""헉, 함정!?"""
ThankTrapRescue#20,"""후우, 살았다……!"""
TrapRescueOther#20,"""괜찮아!?"""
MemberDamaged#20,"""위험해, 물러서!"""
MemberDead#20,"""……절대 용서 안 해!"""
AbilityExe#20,"""감이 살아났어!"""
AbilitySpecial#20,"""텐션 최고조!"""
Resurrect#20,"""기운 회복!\u3000힘내 볼게!"""
PartyJoin#20,"""/ci2 1 힘낼게!"""
Marvelous#20,"""질 수 없지!"""
IncidentJsApcBegin#20,"""/ci2 2 앗, 마침 잘 왔어!<br>적에게 포위당했거든!<br>도와줄 수 있을까!"""
IncidentJsApcFailure#20,"""으으으……한심해.<br>미안해, 난 먼저<br>퇴각할게……"""
IncidentJsApcSuccess#20,"""/ci8 1 좋아, 잘 해냈다!<br>도와준 덕분이야!<br>고마워!"""
IncidentJsApcBeginEvo#20,"""/ci3 2 끝……인 줄 알았지!<br>적이 다가오는 기척이야!<br>미안, 조금만 더 함께해 줘!"""
EnemyWeak#21,"""하찮은 상대네요"""
EnemyLarge#21,"""덩치만 크네요"""
EnemyBoss#21,"""조금은 강해 보이는 게<br>나온 모양이네요"""
EnemyRare#21,"""저건……!<br>보기 드문 녀석이에요, 보세요!"""
EnemyBoost#21,"""이건……<br>위험한 느낌이 듭니다"""
DestroyEnemy1#21,"""시시하네요"""
DestroyEnemy2#21,"""기대에 못 미치네요"""
DestroyEnemy3#21,"""자, 가시죠"""
CondFreeze#21,"""과연, 이것이 동결인가요<br>딱히 차갑지는 않습니다, 네"""
CondBurn#21,"""과연, 이것이 연소인가요<br>딱히 뜨겁지는 않습니다, 네"""
CondShock#21,"""과연, 이것이 감전인가요<br>딱히 저리지는 않습니다, 네"""
CondPoison#21,"""과연, 이것이 독인가요<br>딱히 기분 나쁘진 않습니다, 네"""
CondPanic#21,"""과연, 이것이 혼란인가요<br>그런데 당신은 적인가요?"""
CondStan#21,"""과연, 몸이 움직이지 않네요<br>딱히 곤란하진 않습니다, 네"""
CondMirage#21,"""과연, 시야가 이상하네요<br>뭐, 적당히 공격해 볼까요"""
Die#21,"""이런 결말도 나름의 운치"""
ThankHeal#21,"""감사합니다."""
ThankBuff#21,"""지원, 감사합니다."""
ThankCure#21,"""도움이 됐습니다"""
DefeatEnemy#21,"""청소가 끝났네요"""
LevelUp#21,"""성장은 아름다운 법입니다"""
InvokeSkill1#20,"""저항은 무의미합니다"""
InvokeSkill2#20,"""이미 늦었습니다"""
InvokeSkill3#20,"""끈질기네요, 죽으세요"""
TechFire#7,"""불꽃이여, 가라"""
TechIce#9,"""얼음이여, 춤춰라"""
TechThunder#7,"""번개여, 내달려라"""
TechWind#7,"""바람이여, 불어라"""
TechLight#7,"""빛이여, 빛나라"""
TechDark#7,"""어둠이여, 좀먹어라"""
PBFull#21,"""참회하시겠어요?<br>뭐, 이미 늦었지만요"""
PBRelease#21,"""자, 줄을 서 주세요<br>차례로 죽여 드리겠습니다"""
Avoid#21,"""핫!"""
HealSelf#21,"""안일하네요"""
BuffSelf#21,"""방심은 금물이네요"""
HealOther#21,"""회복하죠"""
BuffOther#21,"""엄호하겠습니다"""
QuestStart1#21,"""그럼, 가시죠"""
QuestEnd1#21,"""그래야죠"""
IncidentStart#21,"""이 기척……<br>무슨 일이 생길 것 같네요"""
IncidentSuccess#21,"""잘돼서 다행이네요"""
IncidentFailure#21,"""……실패 원인을<br>빨리 규명해야 합니다"""
PSE#21,"""이 기척은……<br>PSE라는 걸까요"""
PSELevelUp#21,"""계속 가시죠"""
PSEBurst#21,"""아름답네요……"""
HP30#21,"""곤란하네요……"""
HP10#21,"""……위험합니다"""
ItemRare#21,"""보기 드문 걸 얻으셨네요<br>……나중에 보여 주시겠어요?"""
DamageSmall#21,"""어라?"""
DamageMiddle#21,"""꺄악"""
DamageLarge#21,"""제법이네요……"""
Trap#21,"""함정이라니……고전적이군요……!"""
ThankTrapRescue#21,"""…수고를 끼쳤습니다."""
TrapRescueOther#21,"""조심하세요"""
MemberDamaged#21,"""무리하지 마세요"""
MemberDead#21,"""……원수는 갚겠습니다"""
AbilityExe#21,"""감이 살아났습니다"""
AbilitySpecial#21,"""지금이라면……적수가 없습니다"""
Resurrect#21,"""자, 다음엔 어떻게 죽어 볼까요"""
PartyJoin#21,"""/ci2 2 그 힘을 보여 주세요"""
Marvelous#21,"""잘 부탁드려요"""
IncidentJsApcBegin#21,"""/ci2 3 마침 잘 오셨습니다<br>번거롭게 해 드려 죄송하지만<br>도움을 부탁드려도 될까요?"""
IncidentJsApcFailure#21,"""죄송합니다, 퇴각하겠습니다<br>……이 어긋남의 원인은 대체"""
IncidentJsApcSuccess#21,"""/ci2 1 충분한 결과입니다<br>도와주셔서 감사합니다"""
IncidentJsApcBeginEvo#21,"""/ci3 2 끝난 줄 알았습니다만……<br>아무래도 아직 더 올 모양입니다"""
EnemyWeak#22,"""어떤 상대라도 방심하지 않아요!"""
EnemyLarge#22,"""상대로 부족함은 없습니다!"""
EnemyBoss#22,"""이런 상대를 이겨야 가치가 있죠!"""
EnemyRare#22,"""응?\u3000어라?<br>엄청 보기 드문 녀석 아닌가요……?"""
EnemyBoost#22,"""……이 기운, 위험합니다!"""
DestroyEnemy1#22,"""다음!"""
DestroyEnemy2#22,"""한 건 해결했습니다!"""
DestroyEnemy3#22,"""아직 더 할 수 있어요!"""
CondFreeze#22,"""머리도 조금 식히겠습니다!"""
CondBurn#22,"""후후후, 불타오릅니다!<br>그런데 정말 불타고 있어요!"""
CondShock#22,"""적당한 저림은<br>몸에도 좋다고 들었어요!<br>……이건 다르지만요"""
CondPoison#22,"""이독제독!<br>……그런 능력은 없지만요"""
CondPanic#22,"""괜찮아요, 혼란해도 압니다!<br>말하는 건 전부 적이에요!"""
CondStan#22,"""몸이 안 움직여……!?<br>쉬라는 뜻일까요!"""
CondMirage#22,"""시야를 봉쇄당해도……!<br>기척을 때리면 어떻게든 됩니다!"""
Die#22,"""이래서는<br>그분의 등을 따라잡을 수 없어……"""
ThankHeal#22,"""황송합니다!"""
ThankBuff#22,"""감사합니다!"""
ThankCure#22,"""번거롭게 해 드려 죄송해요!"""
DefeatEnemy#22,"""자, 다음으로 가시죠!"""
LevelUp#22,"""뒤처지지 않도록 힘내겠습니다!"""
InvokeSkill1#21,"""일의전심!"""
InvokeSkill2#21,"""단숨에 몰아붙이겠습니다!"""
InvokeSkill3#21,"""언제나 전력입니다!"""
TechFire#8,"""폭염!"""
TechIce#10,"""빙아!"""
TechThunder#8,"""신뢰!"""
TechWind#8,"""질풍!"""
TechLight#8,"""광창!"""
TechDark#8,"""암탄!"""
PBFull#22,"""봐주는 건 못 합니다!<br>전 언제나 전력이니까요!"""
PBRelease#22,"""그분을 따라잡을 때까지……<br>전 멈추지 않습니다!"""
Avoid#22,"""흥!"""
HealSelf#22,"""빈틈은 보이지 않아요!"""
BuffSelf#22,"""방심하지 않아요!"""
HealOther#22,"""회복하겠습니다!"""
BuffOther#22,"""엄호하겠습니다!"""
QuestStart1#22,"""히어로 클래스의 전투법을<br>보여 드리겠습니다!"""
QuestEnd1#22,"""이렇게, 이렇게……인가?<br>그보다 먼저, 수고하셨습니다!"""
IncidentStart#22,"""무슨 일이 생길 듯한 기척입니다……!"""
IncidentSuccess#22,"""역시 대단합니다!<br>잘 해냈네요!"""
IncidentFailure#22,"""이, 이럴 리가<br>없었는데요……"""
PSE#22,"""포톤이 술렁이는 건가……?<br>조심해서 가시죠!"""
PSELevelUp#22,"""계속 이어 가자!"""
PSEBurst#22,"""이것이, PSE 버스트군요!"""
HP30#22,"""밀리고 있습니다……!"""
HP10#22,"""사지에서 활로를……!"""
ItemRare#22,"""앗, 레어 아이템이네요!"""
DamageSmall#22,"""아얏!"""
DamageMiddle#22,"""크윽!"""
DamageLarge#22,"""아직……포기하지 않아요!"""
Trap#22,"""함정!?\u3000이런 곳에!?"""
ThankTrapRescue#22,"""살았습니다……황송합니다!"""
TrapRescueOther#22,"""괜찮으세요!?"""
MemberDamaged#22,"""무리하지 말고 물러나세요!"""
MemberDead#22,"""……동료조차 지키지 못하는<br>제 한심함이 가장 용서가 안 돼요!"""
AbilityExe#22,"""좋아, 감이 살아났어요!"""
AbilitySpecial#22,"""지금이라면 뭐든 할 수 있습니다!"""
Resurrect#22,"""이루고 싶은 목표가 있어요!<br>그러니 쉴 수 없습니다!"""
PartyJoin#22,"""/ci2 2 전투부 소속, 스트라토스!<br>등장했습니다!"""
Marvelous#22,"""움직임을 눈에 새기고 있습니다!"""
IncidentJsApcBegin#22,"""/ci2 3 <%me> 님!<br>번거로우시겠지만<br>도와주시겠습니까!"""
IncidentJsApcFailure#22,"""으으……이 얼마나 한심한 모습인지……<br>죄송합니다, 먼저 물러나겠습니다……!"""
IncidentJsApcSuccess#22,"""/ci8 1 감사합니다!<br>협력해 주셔서, 뭐랄까<br>정말 황송합니다!"""
IncidentJsApcBeginEvo#22,"""/ci1 3 <%me> 님<br>눈치채셨겠지만<br>아직 더 올 것 같습니다!\u3000경계를!"""
EnemyWeak#23,"""우리 적수가 못 되는군"""
EnemyLarge#23,"""뭐, 덩치만 클 뿐이지"""
EnemyBoss#23,"""상대로 부족함이 없구나"""
EnemyRare#23,"""허허, 보기 드문 상대구나"""
EnemyBoost#23,"""흠……불길한 상대구나"""
DestroyEnemy1#23,"""별것 아닌 상대였나"""
DestroyEnemy2#23,"""싱겁구나!"""
DestroyEnemy3#23,"""방해하게 두지 않겠다"""
CondFreeze#23,"""동결이라니……!"""
CondBurn#23,"""연소로 나오는가……!"""
CondShock#23,"""감전은 힘들구나……"""
CondPoison#23,"""음……독인가……"""
CondPanic#23,"""시야가 잡히지 않아!"""
CondStan#23,"""자유를 빼앗겼나!"""
CondMirage#23,"""시야를 빼앗다니 제법이군……!"""
Die#23,"""이런……나를 부술 셈인가……"""
ThankHeal#23,"""신세를 졌군"""
ThankBuff#23,"""살았다"""
ThankCure#23,"""오오, 한결 편해졌어"""
DefeatEnemy#23,"""다음으로 가자"""
LevelUp#23,"""허허, 강해졌구나"""
InvokeSkill1#22,"""깨어나라, 파괴의 뇌추!"""
InvokeSkill2#22,"""부술 뿐이다!"""
InvokeSkill3#22,"""내 힘을 보여 주마!"""
PBFull#23,"""내 의지와 오기를 받아 보아라!"""
PBRelease#23,"""멀리 있는 자는 소문으로 듣고!<br>가까이 있는 자는 눈으로 보아라!"""
Avoid#23,"""안일하구나!"""
HealSelf#23,"""아직 쓰러질 수는 없지"""
BuffSelf#23,"""방심은 목숨을 앗아가니 말이야"""
HealOther#23,"""무리는 금물이다"""
BuffOther#23,"""보조도 필요하단다"""
QuestStart1#23,"""가 볼까"""
QuestEnd1#23,"""음, 무사히 끝난 모양이군"""
IncidentStart#23,"""오오, 무슨 일이 생길 것 같구나"""
IncidentSuccess#23,"""음, 좋은 결과구나"""
IncidentFailure#23,"""반성할 수밖에 없군"""
PSE#23,"""허허, 이것이 PSE인가"""
PSELevelUp#23,"""이 기세로 가자"""
PSEBurst#23,"""과연 훌륭하구나……!<br>눈부시게 아름답군"""
HP30#23,"""아직은 괜찮다"""
HP10#23,"""늙은 몸에는 조금 힘겹구나"""
ItemRare#23,"""귀한 물건이군, 잘됐구나"""
DamageSmall#23,"""호오!"""
DamageMiddle#23,"""음!"""
DamageLarge#23,"""제법이구나!"""
Trap#23,"""함정이라니 잔꾀를 부리는군!"""
ThankTrapRescue#23,"""수고를 끼쳤구나"""
TrapRescueOther#23,"""조심하거라"""
MemberDamaged#23,"""물러서 있거라!"""
MemberDead#23,"""이런……!<br>내가 반드시 원수를 갚으마!"""
AbilityExe#23,"""허허, 몸이 가볍구나!"""
AbilitySpecial#23,"""늙은이에게 뒤처지지 마라!"""
Resurrect#23,"""허허, 나는 아직 건재하다네?"""
PartyJoin#23,"""잘 부탁하네"""
Marvelous#23,"""역시 대단하구나!"""
IncidentJsApcBegin#23,"""/ci2 2 /mn18 ……오, 자네인가. 내 가짜를<br>찾고 있었더니 이 녀석이 나타났네.<br>한번 힘을 빌려주지 않겠나?"""
IncidentJsApcFailure#23,"""유감스러운 결과지만<br>이럴 때도 있는 법이지."""
IncidentJsApcSuccess#23,"""/ci2 1 음, 고맙네. 계속 부탁해 미안하지만<br>내 가짜를 함께 찾아주지 않겠나?<br>난 저쪽을 볼 테니, 이 앞을 부탁하네."""
IncidentJsApcBeginEvo#23,"""/ci1 3 이런, 아직 끝나지 않은 모양이군.<br>조금만 더 어울려 주게."""
EnemyWeak#24,"""좋아, 한꺼번에<br>해치울까!"""
EnemyLarge#24,"""크, 크다……"""
EnemyBoss#24,"""강적 등장, 이란 건가!"""
EnemyRare#24,"""응?\u3000저건 뭐지?<br>뭔가 희귀한 게 있어."""
EnemyBoost#24,"""이 녀석……뭔가 달라!"""
DestroyEnemy1#24,"""좋아!"""
DestroyEnemy2#24,"""해냈다!"""
DestroyEnemy3#24,"""어떠냐!"""
CondFreeze#24,"""헉, 동결인가!"""
CondBurn#24,"""우왓, 연소!?"""
CondShock#24,"""저, 저려어어어……"""
CondPoison#24,"""큭……독이냐……!"""
CondPanic#24,"""머리가 빙빙 돌아……"""
CondStan#24,"""모, 몸이 안 움직여……!"""
CondMirage#24,"""뭐, 뭐야, 시야가……!"""
Die#24,"""아, 당해 버렸나……"""
ThankHeal#24,"""고마워!"""
ThankBuff#24,"""고맙다!"""
ThankCure#24,"""후우, 살았다……!"""
DefeatEnemy#24,"""이걸로 전부지!"""
LevelUp#24,"""축하한다!"""
InvokeSkill1#23,"""받아라!"""
InvokeSkill2#23,"""이건 어떠냐!"""
InvokeSkill3#23,"""이건 어때!"""
TechFire#9,"""가라!"""
TechIce#11,"""이건 어때!"""
TechThunder#9,"""이거라면!"""
TechWind#9,"""그렇게 둘까 보냐!"""
TechLight#9,"""받아라!"""
TechDark#9,"""이건 어떠냐!"""
PBFull#24,"""너무 제멋대로잖아!"""
PBRelease#24,"""오……느낌 좋잖아!"""
Avoid#24,"""흥!"""
HealSelf#24,"""위험해, 위험해!"""
BuffSelf#24,"""보조도 중요하지"""
HealOther#24,"""위험해!"""
BuffOther#24,"""서로 도와야지!"""
QuestStart1#24,"""좋아, 힘내자!"""
QuestEnd1#24,"""후우, 어떻게든 클리어했나"""
IncidentStart#24,"""뭔가 이상한 느낌이야"""
IncidentSuccess#24,"""잘돼서 다행이다"""
IncidentFailure#24,"""이런……실패인가……"""
PSE#24,"""뭐, 뭔가 포톤이 엄청나!"""
PSELevelUp#24,"""좀 더 계속해 보자!"""
PSEBurst#24,"""우와……<br>이게 PSE 버스트인가……"""
HP30#24,"""위, 위험해……"""
HP10#24,"""더는 무리야!"""
ItemRare#24,"""앗, 그거<br>희귀한 거 아니에요?"""
DamageSmall#24,"""큭"""
DamageMiddle#24,"""위험해!"""
DamageLarge#24,"""우와앗!"""
Trap#24,"""뭐, 함정!?"""
ThankTrapRescue#24,"""후우, 고마워!"""
TrapRescueOther#24,"""괘, 괜찮아!?"""
MemberDamaged#24,"""물러나 있어!"""
MemberDead#24,"""……감히 이런 짓을!"""
AbilityExe#24,"""이 기세라면 할 수 있어!"""
AbilitySpecial#24,"""지금이라면 뭐든 할 수 있어!"""
Resurrect#24,"""후우, 다음엔 당하지 말아야지!"""
PartyJoin#24,"""/ci2 1 잘 부탁드립니다!"""
Marvelous#24,"""역시 대단해!"""
IncidentJsApcBegin#24,"""/ci2 1 /mn9 아, 안녕하세요!\u3000누가 싸우나<br>했더니 당신이었군요!<br>저도 돕겠습니다!"""
IncidentJsApcFailure#24,"""아야……저질렀다……<br>먼저 물러날게요, 죄송합니다!"""
IncidentJsApcSuccess#24,"""/ci8 1 /mn15 좋아, 격파 성공!\u3000……네?<br>금빛 거인이요?\u3000보진 못했지만<br>찾으면 연락드릴게요!"""
IncidentJsApcBeginEvo#24,"""/ci5 2 이걸로 끝……날 것 같은<br>분위기는 아닌 것 같아……!"""
EnemyWeak#25,"""이 정도 에너미라면!"""
EnemyLarge#25,"""대형이네……!"""
EnemyBoss#25,"""만만치 않은 상대 같네!"""
EnemyRare#25,"""어라, 저건 뭘까?<br>희귀한 에너미 같아"""
EnemyBoost#25,"""정말……위험한 느낌이야"""
DestroyEnemy1#25,"""우선 하나!"""
DestroyEnemy2#25,"""잘 가"""
DestroyEnemy3#25,"""방해하니까!"""
CondFreeze#25,"""큭……동결 상태야……!"""
CondBurn#25,"""윽, 이건……연소 상태……!"""
CondShock#25,"""모, 몸이 저려서……!"""
CondPoison#25,"""기분 나빠……이거, 독……?"""
CondPanic#25,"""뭐, 뭐가 어떻게 된 거야?"""
CondStan#25,"""몸을 마음대로 움직일 수 없어……!"""
CondMirage#25,"""환각?\u3000시야가 이상해……!"""
Die#25,"""쓰러져 있을……수는 없는데……"""
ThankHeal#25,"""고마워!"""
ThankBuff#25,"""살았어!"""
ThankCure#25,"""미안해!"""
DefeatEnemy#25,"""자, 가자!"""
LevelUp#25,"""믿고 있으니까"""
InvokeSkill1#24,"""받아라!"""
InvokeSkill2#24,"""어림없어!"""
InvokeSkill3#24,"""맡겨!"""
TechFire#10,"""타올라라!"""
TechIce#12,"""얼어붙어라!"""
TechThunder#10,"""번개여!"""
TechWind#10,"""바람이여!"""
TechLight#10,"""빛이여!"""
TechDark#10,"""어둠이여!"""
PBFull#25,"""이번엔 이쪽 차례야!"""
PBRelease#25,"""여긴 나에게 맡겨!"""
Avoid#25,"""흥!"""
HealSelf#25,"""유감이네"""
BuffSelf#25,"""이걸로 만전이야"""
HealOther#25,"""방심하지 마"""
BuffOther#25,"""신중하게 가자"""
QuestStart1#25,"""그럼, 가 볼까"""
QuestEnd1#25,"""이걸로 끝, 이란 거지"""
IncidentStart#25,"""뭔가 이상한 기척이……"""
IncidentSuccess#25,"""어떻게든 해결돼서 다행이야"""
IncidentFailure#25,"""미안해……내 실수야"""
PSE#25,"""포톤이 술렁이고 있어<br>……이건!"""
PSELevelUp#25,"""계속 이어 가자!"""
PSEBurst#25,"""대단해……포톤이 이렇게나<br>활성화되다니……!"""
HP30#25,"""이대로는……"""
HP10#25,"""어떻게든……어떻게든 해야 해……!"""
ItemRare#25,"""앗!<br>그, 그거 희귀한 거……맞지?"""
DamageSmall#25,"""윽!"""
DamageMiddle#25,"""꺄악!"""
DamageLarge#25,"""꺄아악!"""
Trap#25,"""트랩!?"""
ThankTrapRescue#25,"""……수고를 끼쳐서 미안해"""
TrapRescueOther#25,"""괜찮아?"""
MemberDamaged#25,"""너무 앞으로 나가지 마!"""
MemberDead#25,"""절대로……절대로 용서 못 해!"""
AbilityExe#25,"""몸이 가벼워……!"""
AbilitySpecial#25,"""이거라면……할 수 있어!"""
Resurrect#25,"""내가 좀 더 정신 차려야 해……!"""
PartyJoin#25,"""/ci2 1 함께 힘내자!"""
Marvelous#25,"""그래, 그 기세야!"""
IncidentJsApcBegin#25,"""/mn9 /ci2 1 당신도 오셨군요!<br>운 좋게 만났으니<br>여기선 저도 돕겠습니다!"""
IncidentJsApcFailure#25,"""...여기까지인 거야?<br>미안해, 후퇴할게."""
IncidentJsApcSuccess#25,"""/mn19 /ci2 1 쓰러뜨렸네요!<br>네, 금빛 거인을 찾는다고요?\u3000안쪽에서<br>본 것 같으니, 다시 보면 알려드릴게요!"""
IncidentJsApcBeginEvo#25,"""/ci3 2 아직 더 오는 것 같네.<br>조금은 쉬게 해 줘."""
IncidentJsMultiApcBegin#0,"""둘만으로는 손이 모자라!<br>조금 도와줄래?"""
IncidentJsMultiApcSuccess#0,"""도와줘서 고마워!<br>……누구 씨도 이만큼<br>든든하면 좋을 텐데?"""
EnemyWeak#26,"""우리의 적은 아니군"""
EnemyLarge#26,"""대형인가"""
EnemyBoss#26,"""강적인 것 같군"""
EnemyRare#26,"""저 유형은……희귀한 녀석인가"""
EnemyBoost#26,"""……조심해.<br>불길한 포톤이다"""
DestroyEnemy1#26,"""다음."""
DestroyEnemy2#26,"""별것 아니군요."""
CondFreeze#26,"""동결 상태라고……"""
CondBurn#26,"""아무래도 뜨겁군……"""
CondShock#26,"""흐음……<br>이렇게 감전되면 성가시군"""
CondPoison#26,"""쳇, 독인가……!"""
CondPanic#26,"""의식이 혼탁해진다……"""
CondStan#26,"""움직임이 봉쇄됐어……!?"""
CondMirage#26,"""조준이 흔들리는군……"""
Die#26,"""이런 곳에서 쓰러질 수는……"""
ThankHeal#26,"""도움이 되는군"""
ThankBuff#26,"""고맙다."""
ThankCure#26,"""번거롭게 했군."""
DefeatEnemy#26,"""이 일대는 정리됐나"""
LevelUp#26,"""느낌 좋군"""
InvokeSkill1#25,"""놓치지 않는다"""
InvokeSkill2#25,"""단숨에 끝낸다!"""
InvokeSkill3#25,"""라피, 부탁한다!"""
TechFire#11,"""불타라."""
TechIce#13,"""얼음이여"""
TechThunder#11,"""번개여."""
TechWind#11,"""바람이여."""
TechLight#11,"""빛이여."""
TechDark#11,"""어둠이여."""
PBFull#26,"""힘을 쓸 때가 왔나"""
PBRelease#26,"""모두를 지킨다. 그것이 내 사명이다"""
Avoid#26,"""핫!"""
HealSelf#26,"""아슬아슬했군."""
BuffSelf#26,"""봐주지 않는다"""
HealOther#26,"""방심하지 마라"""
BuffOther#26,"""태세를 정비해라"""
QuestStart1#26,"""임무를 시작한다."""
QuestEnd1#26,"""역시 대단하군."""
IncidentStart#26,"""이 기척……무엇이 오지"""
IncidentSuccess#26,"""적절한 대응이었군"""
IncidentFailure#26,"""……반성할 점이 많군"""
PSE#26,"""이건……PSE인가"""
PSELevelUp#26,"""포톤이 활성화되고 있다"""
PSEBurst#26,"""이것이 PSE의 최종 단계인가"""
HP30#26,"""대미지를 너무 많이 받았나"""
HP10#26,"""이 이상은 아무래도 위험해……"""
ItemRare#26,"""흐음, 희귀한 물건인 듯하군"""
DamageSmall#26,"""큿"""
DamageMiddle#26,"""위험해"""
DamageLarge#26,"""흐읍!"""
Trap#26,"""함정이라고!"""
ThankTrapRescue#26,"""번거롭게 했군."""
TrapRescueOther#26,"""괜찮나?"""
MemberDamaged#26,"""무리하지 마라."""
MemberDead#26,"""……내가 한심한 탓에"""
AbilityExe#26,"""흐음, 몸이 가볍군"""
AbilitySpecial#26,"""포톤이 몸에 익는군"""
Resurrect#26,"""……멈춰 설 수는 없어"""
PartyJoin#26,"""/ci2 1 잘 부탁한다"""
Marvelous#26,"""이것이 네 힘인가"""
IncidentJsApcBegin#26,"""/ci1 1 당신인가.<br>성가신 에너미에게 고전 중이다.<br>미안하지만 힘을 빌려주겠나?"""
IncidentJsApcFailure#26,"""……나도 참 꼴사납군.<br>미안하지만 먼저 물러나겠다."""
IncidentJsApcSuccess#26,"""/mn18 /ci1 2 에너미의 침묵을 확인. 지원에 감사한다.<br>흠, 금빛 거인을 못 봤냐고?<br>못 봤지만, 찾으면 연락하지."""
IncidentJsApcBeginEvo#26,"""/ci1 1 끝났나……?<br>……아니, 아직 더 오는군.<br>조금만 더 어울려 주겠나?"""
EnemyWeak#27,"""한꺼번에 쓸어 버린다!"""
EnemyLarge#27,"""덩치만 큰 녀석 따위!"""
EnemyBoss#27,"""아무리 강대한 상대라도<br>난 절대 포기하지 않아!"""
EnemyRare#27,"""저거, 희귀한 녀석이지!"""
EnemyBoost#27,"""정말 불길한 기운이야……<br>내가 정화하겠어!"""
DestroyEnemy1#27,"""다음!"""
DestroyEnemy2#27,"""이 정도론 멈추지 않아!"""
DestroyEnemy3#26,"""고마워, 아메노무라쿠모!"""
CondFreeze#27,"""차, 차가워!\u3000잠깐, 이게 뭐야!"""
CondBurn#27,"""부, 불타고 있어!?\u3000불 꺼, 불 꺼!"""
CondShock#27,"""저, 저려어어어……!"""
CondPoison#27,"""도, 독……?\u3000기분 나빠……"""
CondPanic#27,"""아하하하!<br>저기가 여기고 여기가 어디지?"""
CondStan#27,"""모, 몸이 안 움직여……!"""
CondMirage#27,"""누, 눈이……번쩍거려서……!"""
Die#27,"""실수했어……모두 미안해……!"""
ThankHeal#27,"""고마워!"""
ThankBuff#27,"""살았어!"""
ThankCure#27,"""후우, 진정됐어."""
DefeatEnemy#27,"""자, 다음 장소로 가자!"""
LevelUp#27,"""질 수 없지!"""
InvokeSkill1#26,"""망설임을 끊어 낸다!"""
InvokeSkill2#26,"""나와 아메노무라쿠모라면!"""
InvokeSkill3#26,"""일섬!"""
PBFull#27,"""난 이제 자신을 속이지 않아!"""
PBRelease#27,"""이것이 나의……선택이다!"""
Avoid#27,"""흥!"""
HealSelf#27,"""회복은 제대로 해야지"""
BuffSelf#27,"""봐주기도, 사정도 일절 없어!"""
HealOther#27,"""괜찮아?\u3000회복할게!"""
BuffOther#27,"""만전의 상태로 맞서자!"""
QuestStart1#27,"""가자, 아메노무라쿠모"""
QuestEnd1#27,"""제법 잘된 것 같아?"""
IncidentStart#27,"""이 기척……뭔가 올 것 같아!"""
IncidentSuccess#27,"""좋아, 잘됐네!"""
IncidentFailure#27,"""으음……안 됐나"""
PSE#27,"""이 느낌……PSE 아니야?"""
PSELevelUp#27,"""계속 가자!"""
PSEBurst#27,"""우와, 예뻐……!<br>이게 PSE 버스트구나……"""
HP30#27,"""이 정도론 꺾이지 않아!"""
HP10#27,"""아직 난 포기하지 않아!"""
ItemRare#27,"""레어 드롭이다, 좋겠다!"""
DamageSmall#27,"""큭!"""
DamageMiddle#27,"""아직 멀었어!"""
DamageLarge#27,"""위험한가……!"""
Trap#27,"""헉, 함정!?"""
ThankTrapRescue#27,"""살았다, 고마워!"""
TrapRescueOther#27,"""함정이라니 고전적이네……!<br>금방 도와줄게!"""
MemberDamaged#27,"""무리하지 마!"""
MemberDead#27,"""……지키지 못했지만<br>아직 끝이 아니야!"""
AbilityExe#27,"""힘이 넘쳐흘러……<br>이건 에테르?\u3000포톤?"""
AbilitySpecial#27,"""지금이라면 뭐든 일도양단!<br>농담이야!"""
Resurrect#27,"""……쉬고 있을 때가 아니라니까!"""
PartyJoin#27,"""/ci2 1 좋아, 힘내 볼까."""
Marvelous#27,"""여전하네!"""
IncidentJsApcBegin#27,"""/mn18 /ci2 2 아, <%me>!<br>전투 중인 것 같네!<br>그럼 나도 도와줄게!"""
IncidentJsApcFailure#27,"""/ci4 2 아차……익숙해졌다고<br>우쭐댄 탓일까……<br>미안해, 먼저 물러날게."""
IncidentJsApcSuccess#27,"""/mn15 /ci8 1 좋아, 격파!<br>아라트론 씨의 가짜를 찾는 거야?<br>보이면 연락할게!"""
IncidentJsApcBeginEvo#27,"""/ci5 2 이 기척은……<br>아직 더 올 것 같아, 조심해!"""
EnemyWeak#28,"""이 정도 상대는<br>얼른 해치우죠!"""
EnemyLarge#28,"""우와……조금 클지도……"""
EnemyBoss#28,"""가, 강해 보여……<br>그래도 어떻게든 되겠죠!"""
EnemyRare#28,"""앗, 보세요!<br>희귀한 게 있어요!"""
EnemyBoost#28,"""뭔가 위험해 보이는 분위기가<br>엄청나게 느껴지는데요……"""
DestroyEnemy1#28,"""잘됐나요?"""
DestroyEnemy2#28,"""해냈다!\u3000해냈다!"""
DestroyEnemy3#27,"""후우, 어떻게든!"""
CondFreeze#28,"""코오리가 꽁꽁 얼었어……<br>아니, 이럴 때가 아니지!"""
