01_MainLobby_001#0,"""Пока премиум активен, вы можете хранить до 40 клиентских заказов."""
15_ChallengeCommon_100#0,"""チャレンジクエスト専用クラス「チャレンジャー」は<br>あらゆる武器・ユニット・PA・テクニックを使用することができる。"""
15_ChallengeCommon_101#0,"""チャレンジクエスト専用クラス「チャレンジャー」は<br>種族・性別によるパラメーターの違いがない。"""
15_ChallengeCommon_102#0,"""チャレンジクエスト専用クラス「チャレンジャー」は<br>別のクラスのスタンススキルを２つまで同時に発動できる。"""
15_ChallengeCommon_200#0,"""チャレンジ・ロビーに移動すると、<br>一時的にアイテム、メセタ、カジノコインを預けた状態になる。"""
15_ChallengeCommon_201#0,"""チャレンジ・ロビーではメインメニューの「ファッション編集」が利用できない。"""
15_ChallengeCommon_202#0,"""チャレンジ・ロビーでも、公認ネットカフェからの接続で<br>カフェポイントの時間毎特典は有効となる。"""
15_ChallengeCommon_203#0,"""チャレンジ・ロビーに移動すると、「ブースト＆予告イベント情報！」による<br>獲得経験値やレアドロップ倍率、レアエネミー出現率は無効となる。"""
15_ChallengeCommon_204#0,"""チャレンジ・ロビーに移動すると、マターボード、アークスロードおよび、<br>アークスビンゴカードの進行は対象外となる。"""
15_ChallengeCommon_205#0,"""チャレンジ・ロビーに移動すると、ログインスタンプが行われない。<br>通常ブロックに戻ることで、スタンプが押される。"""
15_ChallengeCommon_206#0,"""所属シップと共通シップそれぞれで「グッジョブ」を送ることができる。<br>なお、FUNを得られる回数はあわせて10回である。"""
15_ChallengeCommon_207#0,"""チャレンジ・ロビーに移動すると、<br>アイテムパックの最大所持数が一時的に100個まで拡張される。"""
15_ChallengeCommon_208#0,"""チャレンジ・ロビーに移動すると、<br>武器パレットおよびサブパレットの最大数は一時的に6個となる。"""
15_ChallengeCommon_209#0,"""チャレンジクエストでは、デイリーブースト効果、支援フォトン効果、<br>時限効果、ステージライブ効果、クエスト達成ブースト効果は無効となる。"""
15_ChallengeCommon_210#0,"""チャレンジクエストでは、各種ブーストアイテムは無効となる。<br>また、使用による効果時間のカウントも行われない。"""
15_ChallengeCommon_211#0,"""所属シップと共通シップでは、アークスカードの内容を別々に保存できる。"""
15_ChallengeCommon_212#0,"""所属シップと共通シップでは、<br>「コミュニケーション履歴」の内容が、それぞれ別の履歴として記録される。"""
15_ChallengeCommon_213#0,"""自己最高記録タグはチャレンジクエストごとに最高到達位置が保存される。"""
15_ChallengeCommon_214#0,"""チャレンジクエストでは獲得マイルにボーナスが付与される。<br>また、ボーナスが付与されるクエストは一定の周期で変更される。"""
15_ChallengeCommon_215#0,"""チャレンジ・ロビーではメインメニューの「納刀位置調整」が利用できない。"""
16_ChallengeBlock_001#0,"""所属シップのチャレンジブロックでは、<br>フレンド・メール・シンボルアートは普段のものを使用できる。"""
16_ChallengeBlock_002#0,"""所属シップのチャレンジブロックでは、<br>公認ネットカフェからの接続でチームポイントの時間毎特典は有効である。"""
16_ChallengeBlock_003#0,"""所属シップのチャレンジブロックでは、<br>緊急警報は発せられるが、クエストカウンターからの受注はできない。"""
16_ChallengeBlock_004#0,"""所属シップのチャレンジブロックでは、<br>チームチャット以外のチーム機能の利用ができない。"""
17_ChallengeShip_001#0,"""共通シップでは所属していたシップの<br>フレンド・メール・シンボルアートとは別のリストを使用する。"""
17_ChallengeShip_002#0,"""共通シップでは、チームアクセサリーが一時的に外れた状態になる。"""
17_ChallengeShip_003#0,"""共通シップでは、所属シップで発生中の緊急警報が発令されない。"""
17_ChallengeShip_004#0,"""共通シップでは、チームを組むことができない。<br>また、所属シップのチームと連絡が一時的に不通になる。"""
17_ChallengeShip_005#0,"""共通シップでは、クイックメニューの「キャラクター頭上表示切り替え」から<br>どこの所属シップであるかを知ることができる。"""
17_ChallengeShip_006#0,"""共通シップでは、公認ネットカフェからの接続でも<br>チームポイントの時間毎特典が加算されない。"""
18_PokaShip_001#0,"""ランクマッチの勝利で獲得できる「アリーナポイント」で、<br>ランクがD5からLEGENDまで順に上昇する。"""
18_PokaShip_002#0,"""ランクマッチで獲得できる「バトルコイン」を集めたら、<br>所属シップの「バトルコイン交換ショップ」でアイテムを入手しよう。"""
18_PokaShip_003#0,"""ルール「エンブレム争奪戦」では、<br>チャット発言は味方ユニオンにしか届かない。"""
18_PokaShip_004#0,"""相手の背後を取れば有利に戦える。<br>通路などを活用して、相手の背後を取ろう！"""
18_PokaShip_005#0,"""「ライジングエッジ」\u3000（バトルアリーナ版）<br>前方範囲を切り上げるソード用ＰＡ！"""
18_PokaShip_006#0,"""「ノヴァストライク」\u3000（バトルアリーナ版）<br>瞬時に周囲を攻撃できるソード用ＰＡ！"""
18_PokaShip_007#0,"""「ピアッシングシェル」\u3000（バトルアリーナ版）<br>最大HP低下の状態異常を与えるアサルトライフル用ＰＡ！"""
18_PokaShip_008#0,"""「ワンポイント」\u3000（バトルアリーナ版）<br>移動しながら射撃できるアサルトライフル用ＰＡ！"""
18_PokaShip_009#0,"""「フォイエ」\u3000（バトルアリーナ版）<br>火球を飛ばして攻撃する高火力テクニック！"""
18_PokaShip_010#0,"""「ゾンデ」\u3000（バトルアリーナ版）<br>上空から攻撃できるため居場所がバレづらいテクニック！"""
18_PokaShip_011#0,"""「メギド」\u3000（バトルアリーナ版）<br>追尾弾がゆっくりと相手を追い詰めるテクニック！"""
18_PokaShip_012#0,"""「エンブレム争奪戦」では、復活した直後は<br>しばらくの間、受けるダメージ量が軽減される。"""
18_PokaShip_013#0,"""「エンブレム争奪戦」では、エンブレムポイントが１位～３位のキャラクターは<br>頭上にマークがつく。積極的に狙ってポイントを奪おう。"""
18_PokaShip_014#0,"""「虹色のエンブレム」を取ると、大量のポイントをゲット！<br>出現したら急いで取りにいこう！"""
18_PokaShip_015#0,"""「ピックアップスポット」で武器を入手できる。<br>敵ユニオンのピックアップスポットを減らす戦略も！"""
18_PokaShip_016#0,"""バトルアリーナでは、すべてのバトルブロックを対象に<br>マッチングが行われるので、どのブロックにいてもよい。"""
18_PokaShip_017#0,"""バトルアリーナの対戦中は、<br>ロビーアクションを実行することはできない。"""
18_PokaShip_018#0,"""「ＶＲアリーナ（森林）」は、シンプルな地形で<br>もっとも戦いやすく、中央が激戦区となるのが特徴。"""
18_PokaShip_019#0,"""「ＶＲアリーナ（火山）」は、時間経過で溶岩が上昇する地形。<br>溶岩に落ちると即ダウンとなるので、注意が必要だ。"""
18_PokaShip_020#0,"""「ＶＲアリーナ（東京）」は、複雑な立体構造の地形だ。<br>思わぬ方向から攻撃されることもあり、注意が必要。"""
18_PokaShip_021#0,"""バトルアリーナ専用クラス「バトルウォリアー」は<br>種族・性別による能力差がなく、公平な条件で対戦できる。"""
18_PokaShip_022#0,"""「エンブレム争奪戦」では、敵ユニオンのキャラクターを倒すと<br>相手が持っているポイントの一部を奪うことができる。"""
18_PokaShip_023#0,"""バトルロビーにいるバトルアリーナ管理官「ラベルナ」に<br>話しかけると、バトルアリーナのことを色々教えてくれる。"""
19_PokaBlock_001#0,"""ランクマッチの勝利で獲得できる「アリーナポイント」で、<br>ランクがD5からLEGENDまで順に上昇する。"""
19_PokaBlock_002#0,"""ランクマッチで獲得できる「バトルコイン」を集めたら、<br>所属シップの「バトルコイン交換ショップ」でアイテムを入手しよう。"""
19_PokaBlock_003#0,"""ルール「エンブレム争奪戦」では、<br>チャット発言は味方ユニオンにしか届かない。"""
01_MainLobby_032#1,"""ビジフォンの「ポートレート用データ保存」でデータを保存すると、<br>「キャラクターポートレート」で保存したキャラクターを呼び出せる。"""
01_MainLobby_040#1,"""武器パレットをタッチすると、「武器アクション」、<br>または「裏パレット切り替え」を実行することができる。"""
01_MainLobby_043#1,"""チャットアイコンは、タッチでショートカットワード選択、<br>ロングタッチでチャット入力画面の呼び出しが実行される。"""
01_MainLobby_044#1,"""メインメニューのシステムにある「インフォメーション」では、<br>チュートリアルやメニューヘルプを確認することができる。"""
01_MainLobby_045#1,"""チャット入力画面の「ログ」を選択すると、<br>過去に受信したメッセージログが表示される。"""
01_MainLobby_046#1,"""画面上にいる他プレイヤーをタッチすると<br>そのプレイヤーに行えるメニューが表示される。"""
01_MainLobby_047#1,"""“PC”、“PS Vita”の共用ブロックでは、<br>“PC”でプレイしているプレイヤーと一緒に遊ぶことができる。"""
01_MainLobby_048#1,"""ゲーム内で特定の条件を満たすと、<br>“PlayStation Network”に対応するトロフィーを獲得できる。"""
01_MainLobby_067#1,"""メインメニューのシステムにあるインフォメーションの「メニューヘルプ」から、<br>「はじめに」を選択すると、便利なチャット代入コマンドの紹介がある。"""
01_MainLobby_100#1,"""武器、ユニットのメニューにある「能力確認」で、<br>付与されている潜在能力や特殊能力を確認できる。"""
01_MainLobby_111#1,"""ロビーでマップをロングタッチするとNPCやショップを確認することができる。"""
01_MainLobby_114#1,"""クエスト選択で<%MultiSelect>を押すとクエストブースト内容を確認できる。"""
01_MainLobby_116#1,"""オプションで背面タッチパッドに武器切り替えや<br>回避アクションを割り当てられる。"""
01_MainLobby_121#1,"""“PS Vita”専用ブロックでウィークリータイムアタックに挑戦すると<br>“PS Vita”専用のランキングにエントリーされる。"""
01_MainLobby_133#1,"""クイックメニューの表示内容は、<br><pict Sign_TRIANGLE>でパターンを変更できる。"""
Dead_BigBeastA_001#0,"""ロックベアは顔が弱点だ。ロックオンをうまく利用して攻撃しよう。"""
Dead_BigBeastA_002#0,"""怒り状態のロックベアはボディプレスを連続して行う。<br>背後に回りこむように回避して、ボディプレスを止めよう。"""
Dead_BigBeastA_003#0,"""ロックベアのつかみ攻撃は強力だが、<br>移動キーを連続入力することで振りほどくことができる。"""
Dead_BigBeastA_004#0,"""ロックベアの背後に回るとバックブロー攻撃をしてくる。<br>片足をあげたら攻撃を行うので注意しよう。"""
Dead_MammothA_001#0,"""デ・マルモスが足を上げて鳴いたときは衝撃波攻撃の合図。<br>距離を取り、タイミングよくジャンプすると回避できる。"""
Dead_MammothA_002#0,"""デ・マルモスの弱点は背中のコブだ。<br>足場を使って背中の上に乗れば、直接攻撃することができる。"""
Dead_MammothA_003#0,"""デ・マルモスの鼻なぎ攻撃は攻撃範囲が広いが、<br>側面にピッタリと張り付くと回避しやすい。"""
Dead_MammothA_004#0,"""デ・マルモスには「バーン」が有効だ。<br>炎系テクニックや特殊能力「バーン」のついた武器で攻撃しよう。"""
Dead_PantherA_001#0,"""ファングバンサーの爪を全て破壊すると、突進攻撃後に<br>大きくバランスを崩すようになる。"""
Dead_PantherA_002#0,"""怒り状態のファングバンサーは突進攻撃を連続で行う。<br>攻撃はせず、回避に専念しよう。"""
Dead_PantherA_003#0,"""ファングバンサーが止まって前足を右、左と踏んだら<br>咆哮の合図だ。攻撃範囲が広いので、距離をとるようにしよう。"""
Dead_PantherA_004#0,"""ファングバンサーには「バーン」が有効だ。<br>木の上にいる時も、地面に落とすことができる。"""
Dead_PantherB_001#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherB_002#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherB_003#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherB_004#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherBRare_001#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherBRare_002#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherBRare_003#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherBRare_004#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowA_001#0,"""スノウバンサーの爪を全て破壊すると、突進攻撃後に<br>大きくバランスを崩すようになる。"""
Dead_PantherSnowA_002#0,"""怒り状態のスノウバンサーは突進攻撃を連続で行う。<br>攻撃はせず、回避に専念しよう。"""
Dead_PantherSnowA_003#0,"""スノウバンサーが止まって前足を右、左と踏んだら<br>咆哮の合図だ。攻撃範囲が広いので、距離をとるようにしよう。"""
Dead_PantherSnowA_004#0,"""スノウバンサーには「バーン」が有効だ。<br>火を消そうともがくので、大きな隙が生まれる。"""
Dead_PantherSnowB_001#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowB_002#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowB_003#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowB_004#0,"""バンシー専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowBRare_001#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowBRare_002#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowBRare_003#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_PantherSnowBRare_004#0,"""レア専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonWorm_001#0,"""キャタドランの側面にいるときは、後頭部を叩きつけてくる<br>攻撃に気をつけよう。頭を高く持ち上げるのが攻撃の合図だ。"""
Dead_DragonWorm_002#0,"""キャタドランの弱点は体を伸ばした時に露出する。<br>攻撃を避けたら狙ってみよう。"""
Dead_DragonWorm_003#0,"""怒り状態のキャタドランは頭突き攻撃の後に、体を一回転させる<br>攻撃を行う。頭突き攻撃を回避した後も距離を取るようにしよう。"""
Dead_DragonWorm_004#0,"""キャタドランには「ポイズン」が有効だ。<br>闇系テクニックや特殊能力「ポイズン」のついた武器で攻撃しよう。"""
Dead_DragonWorm_005#0,"""キャタドランの尻尾についている水晶を破壊すると弱点になる。<br>側面から攻撃して破壊しよう。"""
Dead_DragonWormB_001#0,"""キャタドランサの側面にいるときは、後頭部を叩きつけてくる<br>攻撃に気をつけよう。頭を高く持ち上げるのが攻撃の合図だ。"""
Dead_DragonWormB_002#0,"""キャタドランサの弱点は体を伸ばした時に露出する。<br>攻撃を避けたら狙ってみよう。"""
Dead_DragonWormB_003#0,"""怒り状態のキャタドランサは頭突き攻撃の後に、体を一回転させる<br>攻撃を行う。頭突き攻撃を回避した後も距離を取るようにしよう。"""
Dead_DragonWormB_004#0,"""キャタドランサには「ポイズン」が有効だ。<br>闇系テクニックや特殊能力「ポイズン」のついた武器で攻撃しよう。"""
Dead_DragonWormB_005#0,"""キャタドランサの尻尾についている水晶を破壊すると弱点になる。<br>側面から攻撃して破壊しよう。"""
Dead_DragonWormRare_001#0,"""カタドラールには「ポイズン」が効かない。<br>弱点属性の氷系のテクニックや氷属性の武器で攻撃しよう。"""
Dead_DragonWormRare_002#0,"""カタドラールの側面にいるときは、後頭部を叩きつけてくる<br>攻撃に気をつけよう。頭を高く持ち上げるのが攻撃の合図だ。"""
Dead_DragonWormRare_003#0,"""カタドラールの弱点は体を伸ばした時に露出する。<br>攻撃を避けたら狙ってみよう。"""
Dead_DragonWormRare_004#0,"""怒り状態のカタドラールは頭突き攻撃の後に、体を一回転させる<br>攻撃を行う。頭突き攻撃を回避した後も距離を取るようにしよう。"""
Dead_DragonWormRare_005#0,"""カタドラールの尻尾についている水晶を破壊すると弱点になる。<br>側面から攻撃して破壊しよう。"""
Dead_DragonMagma_001#0,"""ヴォル・ドラゴンの炎攻撃は、炎耐性の高いユニットを装備することで、<br>ダメージを軽減することができる。"""
Dead_DragonMagma_002#0,"""ヴォル・ドラゴンが空中に高く飛んだら火球攻撃の合図だ。<br>真下に移動して回避しよう。"""
Dead_DragonMagma_003#0,"""ヴォル・ドラゴンの尻尾についている水晶を破壊することで、<br>大きな隙を作ることができる。"""
Dead_DragonMagma_004#0,"""ヴォル・ドラゴンの足には「フリーズ」が有効だ。<br>足が凍りつき、一定時間動きを止めることができる。"""
Dead_DragonMagma_005#0,"""ヴォル・ドラゴンの弱点は、顔、頭の角、背中の角、尻尾の水晶だ。"""
Dead_DragonMagmaUniq_001#0,"""ヒ・ロガ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonMagmaUniq_002#0,"""ヒ・ロガ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonMagmaUniq_003#0,"""ヒ・ロガ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonMagmaUniq_004#0,"""ヒ・ロガ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonCrystal_001#0,"""怒り状態のクォーツ・ドラゴンは空中からの突き刺し攻撃を<br>2回行う事がある。左右に移動して回避しよう。"""
Dead_DragonCrystal_002#0,"""クォーツ・ドラゴンの攻撃は「パニック」の効果を持っている。<br>状態異常を回復するアイテムやテクニックを使おう。"""
Dead_DragonCrystal_003#0,"""翼を破壊されたクォーツ・ドラゴンは、長距離からの突撃後に<br>着陸に失敗して大きな隙が発生する。"""
Dead_DragonCrystal_004#0,"""クォーツ・ドラゴンの頭、翼、尻尾には「ポイズン」が有効だ。<br>ポイズンがかかると、その部位にダメージを与えやすくなる。"""
Dead_DragonCrystal_005#0,"""怒り状態のクォーツ・ドラゴンがその場で甲高い鳴き声をあげたら、<br>周囲レーザー攻撃の合図。すぐに距離をとって回避しよう。"""
Dead_DragonCrystalUniq_001#0,"""コ・レラ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonCrystalUniq_002#0,"""コ・レラ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonCrystalUniq_003#0,"""コ・レラ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonCrystalUniq_004#0,"""コ・レラ専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkA_001#0,"""クローム・ドラゴンはダーカーを捕食することで強くなる。<br>変化した部位はすぐに破壊しよう。"""
Dead_DragonBerserkA_002#0,"""腕が変化したクローム・ドラゴンのブロック投げ攻撃は<br>連続で行われる。向かって左側に走って避けよう。"""
Dead_DragonBerserkA_003#0,"""腹部が変化したクローム・ドラゴンの誘導弾攻撃は<br>しつこく追いかけてくるので、消えるまで逃げ続けよう。"""
Dead_DragonBerserkA_004#0,"""腹部が変化したクローム・ドラゴンのレーザー攻撃は<br>威力が極めて高い。側面に回りこんで回避しよう。"""
Dead_DragonBerserkA_005#0,"""翼が生えたクローム・ドラゴンは空中から黒い結晶を飛ばす攻撃を行う。<br>クローム・ドラゴンの周囲を回るようにして攻撃を回避しよう。"""
Dead_DragonBerserkAUniq1_001#0,"""ハドレッド（パーツなし）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkAUniq1_002#0,"""ハドレッド（パーツなし）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkAUniq1_003#0,"""ハドレッド（パーツなし）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkAUniq1_004#0,"""ハドレッド（パーツなし）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkAUniq2_001#0,"""ハドレッド（フルパーツ）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkAUniq2_002#0,"""ハドレッド（フルパーツ）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkAUniq2_003#0,"""ハドレッド（フルパーツ）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonBerserkAUniq2_004#0,"""ハドレッド（フルパーツ）専用TIPSがある場合は記入してluaファイルも更新"""
Dead_DragonSummoner_001#0,"""ゴロンゾランの周りに浮いている4つのクリスタルを壊すと<br>ゴロンゾランのバリアが解除され、大きな隙が生まれる。"""
Dead_DragonSummoner_002#0,"""ゴロンゾランが杖を高く掲げたら周囲攻撃の合図だ。<br>ゴロンゾランに近づいて攻撃を回避しよう。"""
Dead_DragonSummoner_003#0,"""召喚されたヴォル・ドラゴンが一度後ろに下がったら突進の合図。<br>回避アクションを使って回避しよう。"""
Dead_DragonSummoner_004#0,"""召喚されたヴォル・ドラゴンは空中から火球を連射する。<br>ヴォル・ドラゴンの真下に移動して回避しよう。"""
Dead_DragonSummoner_005#0,"""ゴロンゾランの周りのクリスタルには「ポイズン」が有効だ。<br>ポイズンがかかると、クリスタルにダメージを与えやすくなる。"""
Dead_DragonGladiator_001#0,"""ドラゴン・エクスが両手を高く掲げたら強力な攻撃の合図。<br>ドラゴン・エクスの側面に回りこんで回避しよう。"""
Dead_DragonGladiator_002#0,"""ドラゴン・エクスが剣を地面に突き刺すと、地面からの攻撃が<br>発生する。走り続けることで回避することができる。"""
Dead_DragonGladiator_003#0,"""ドラゴン・エクスの左右の盾は破壊することができる。<br>破壊すると、剣を使用した攻撃時に大きな隙が生まれる。"""
Dead_DragonGladiator_004#0,"""ドラゴン・エクスの頭、盾、尻尾には「ポイズン」が有効だ。<br>ポイズンがかかると、その部位にダメージを与えやすくなる。"""
Dead_TransformMechaA_001#0,"""トランマイザーは両腕で叩きつける攻撃の後、<br>弱点のコアが露出する。背後を狙って攻撃しよう。"""
Dead_TransformMechaA_002#0,"""トランマイザーのミサイル攻撃はこちらを追いかけてくる。<br>攻撃を行わず、移動し続けて回避しよう。"""
Dead_TransformMechaA_003#0,"""トランマイザーはミサイルによる攻撃の後、<br>弱点のコアが露出する。ミサイルを回避したら攻撃のチャンスだ。"""
Dead_TransformMechaA_004#0,"""トランマイザーのマシンガン攻撃は、ジャンプしながら<br>左右に回りこんで回避しよう。"""
Dead_BossMechaA_001#0,"""ビッグヴァーダーの甲板に上がる前に、側面の砲台を全て破壊しよう。"""
Dead_BossMechaA_002#0,"""ビッグヴァーダーの後方にある火炎放射器は正面に立つと危険なので<br>側面から破壊するようにしよう。"""
Dead_BossMechaA_003#0,"""ビッグヴァーダーの甲板に登った後は、後方のミサイルポッドと<br>本体肩のミサイルポッドを破壊しよう。"""
Dead_BossMechaA_004#0,"""ビッグヴァーダー本体が放つ赤い電撃はジャンプでかわそう。"""
Dead_MachineLittleBoss_001#0,"""ヴァーダーソーマはメインブースターと3つのサブブースターを使って浮遊する。<br>サブブースターを全て破壊して、空中からの攻撃を阻止しよう。"""
Dead_MachineLittleBoss_002#0,"""ヴァーダーソーマは3つのサブブースター、両肩のミサイルポッド<br>正面の副砲、そして主砲を破壊することができる。"""
Dead_MachineLittleBoss_003#0,"""ヴァーダーソーマのメインブースターが青白く光ったら電撃攻撃の合図。<br>急いで離れて攻撃を回避しよう。"""
Dead_MachineLittleBoss_004#0,"""ヴァーダーソーマは主砲からビームを放ちながら1回転する。<br>攻撃範囲は広いが、足元は安全なので近づいて回避しよう。"""
Dead_UltMachineLittleBoss_001#0,"""膝部分にある機銃を破壊すると、ゼータ・グランゾはバランスをくずし、<br>一定時間ダウンする。積極的に膝部分を狙って攻撃しよう。"""
Dead_UltMachineLittleBoss_002#0,"""ゼータ・グランゾの膝部分にある２つの機銃を破壊すると、<br>腰部分を守る装甲がはがれ、弱点部位が露出するようになる。"""
Dead_UltMachineLittleBoss_003#0,"""ゼータ・グランゾは４つの盾のような装甲から多数のミサイルを発射する。<br>ミサイルポッドを破壊し、発射されるミサイルの数を減らそう。"""
Dead_UltMachineLittleBoss_004#0,"""ゼータ・グランゾには「バーン」が有効だ。<br>一定時間動きを止め、攻撃を中断させることができる。"""
Dead_UltMechaPanthBlade_001#0,"""ファルケ・レオーネの脚部を破壊することで<br>破壊した脚部の引っ掻き攻撃の範囲が狭くなる。"""
Dead_UltMechaPanthBlade_002#0,"""ファルケ・レオーネの両翼を破壊することで<br>突進攻撃の最後に転倒が発生し、隙が生じる。"""
Dead_UltMechaPanthBlade_003#0,"""ファルケ・レオーネの頭部を破壊することで<br>頭部に弱点部位が露出するようになる。"""
Dead_UltMechaPanthBlade_004#0,"""ファルケ・レオーネには「バーン」が有効だ。<br>一定時間動きを止め、攻撃を中断させることができる。"""
Dead_UltMechaPanthBuster_001#0,"""ヴリマ・レオパードの脚部を破壊することで<br>破壊した脚部からミサイルが発射されなくなる。"""
Dead_UltMechaPanthBuster_002#0,"""ヴリマ・レオパードの翼を破壊することで<br>破壊した翼からミサイルと爆弾が発射されなくなる。"""
Dead_UltMechaPanthBuster_003#0,"""ヴリマ・レオパードの頭部を破壊することで<br>頭部に弱点部位が露出するようになる。"""
Dead_UltMechaPanthBuster_004#0,"""ヴリマ・レオパードには「バーン」が有効だ。<br>一定時間動きを止め、攻撃を中断させることができる。"""
Dead_Cougar_001#0,"""クーガーNXのダッシュ斬り攻撃は、動きが早いので<br>タイミングよく回避アクションを使おう。"""
Dead_Cougar_002#0,"""クーガーNXの衛星砲攻撃は、クーガーNXが設置する誘導装置を<br>破壊することで止めることができる。"""
Dead_Cougar_003#0,"""クーガーNXのマシンガン攻撃は回避が難しい。<br>攻撃は行わず、移動し続けて回避しよう。"""
Dead_Cougar_004#0,"""クーガーNXには「ショック」が有効だ。<br>ショックがかかると一定時間動きを止めることができる。"""
Dead_GG_001#0,"""ガル・グリフォンが空中を飛んでいる間に、翼の部位を破壊をすると<br>バランスを崩して地上に落下し、大きな隙が生まれる。"""
Dead_GG_002#0,"""ガル・グリフォンの翼を両方破壊すると、空を飛ぶ力が減退し<br>飛び立った際の高度が低下する。"""
Dead_GG_003#0,"""ガル・グリフォンの蹄は破壊することが可能だ。<br>足にある４つの蹄を全て破壊すると、一定時間ダウンする。"""
Dead_GG_004#0,"""ガル・グリフォンには「ショック」が有効だ。<br>ショックがかかると、一定時間動きを止めることができる。"""
Dead_DK_001#0,"""オーディンには「ショック」が有効だ。<br>ショックがかかると、一定時間動きを止めることができる。"""
Dead_DK_002#0,"""オーディンが作るダメージを発生させるフィールドは<br>地面に刺さっているグングニルの槍を破壊する事で消滅する。"""
Dead_DK_003#0,"""オーディンの行う攻撃には地面に予兆が出るものがある。<br>予兆の範囲に入らないように、うまく回避して攻撃しよう。"""
Dead_DK_004#0,"""オーディンが剣を空高く掲げると、斬鉄剣の発動合図だ。<br>全力で攻撃を行い、発動される前に撃破しよう。"""
Dead_MarineOrca_001#0,"""オルグブランの両手を叩きつける攻撃は隙が大きいので、<br>背後に回りこんで攻撃しよう。"""
Dead_MarineOrca_002#0,"""オルグブランは腹部が弱点になっている。両手の叩きつけと<br>ジャンプ攻撃に注意して攻撃しよう。"""
Dead_MarineOrca_003#0,"""地中に潜ったオルグブランは、顔を出してレーザー攻撃を行う。<br>遠距離では避けるのが難しいので、地中にいる時は近づくようにしよう。"""
Dead_MarineOrca_004#0,"""地中に潜ったオルグブランに大きなダメージを与えると、<br>地面から飛び出し大きな隙が生まれる。"""
Dead_MarineOarfish_001#0,"""バル・ロドスが背中から発射する水泡は、<br>銃座で狙って破壊することができる。"""
Dead_MarineOarfish_002#0,"""バル・ロドスの頭に拘束用銃座を当てると、<br>バル・ロドスを船に引き上げることができる。"""
Dead_MarineOarfish_003#0,"""バル・ロドスの体の装甲を破壊することで弱点部位が露出する。"""
Dead_MarineOarfish_004#0,"""バル・ロドスが左右に飛びながら船に接近したときは、<br>噛み付き攻撃の合図。左右に移動して回避しよう。"""
Dead_MarineOarfish_005#0,"""バル・ロドスが口から放つ巨大なエネルギー弾は、銃座で狙って<br>破壊することができる。船に着弾する前に壊してしまおう。"""
Dead_AbyssFlower_001#0,"""ビオル・メデューナは触手が破壊されると、地面に触手を刺して<br>体を固定する。背面から体に乗り、弱点の頭部を直接攻撃しよう。"""
Dead_AbyssFlower_002#0,"""ビオル・メデューナの巨大なハサミが光った時はレーザー攻撃の合図。<br>正面は危険なので、左右に大きく動いて回避しよう。"""
Dead_AbyssFlower_003#0,"""ビオル・メデューナが触手をまとめ、ふわりと浮き上がったら<br>回転攻撃の合図。急いで離れるか、回避アクションを使って回避しよう。"""
Dead_AbyssFlower_004#0,"""ビオル・メデューナの触手には「フリーズ」が有効だ。<br>触手が凍りつくので、一定時間動きを止めることができる。"""
Dead_Wop3Sleigh_001#0,"""ネプト・キャサドーラの武器を破壊すると特定の攻撃後、ダウンが発生する。<br>ダウン中は弱点である頭部を狙って攻撃しよう。"""
