OrderList#0,"""Ежедневный крафт лист"""
PaCustomizeDetails#0,"""Информация (После кастомизации)"""
ConditionDetails#0,"""Сведения, после крафта"""
Category#0,"""Категория"""
ConditionStrike#0,"""требуют. S-ATK"""
ConditionFirearm#0,"""требуют. R-ATK"""
ConditionTechnic#0,"""требуют. T-ATK"""
ConditionAbility#0,"""требуют. DEX"""
ConditionStrikeDefence#0,"""требуют. S-DEF"""
ConditionFirearmDefence#0,"""требуют. R-DEF"""
ConditionTechnicDefence#0,"""требуют. T-DEF"""
Class#0,"""Класс"""
Extend#1,"""При крафте Ур."""
ParamDetails#0,"""Информация после крафта"""
TechnicCustomize#1,"""Детали кастомизации техники"""
Merit#0,"""メリット"""
Demerit#0,"""デメリット"""
Effect#0,"""Специальный эффект"""
NeedLevel#0,"""Крафт Ур."""
NeedRarity#0,"""Редкость"""
NoSelectMessage#0,"""Рецепт не выбран"""
Range#0,"""$(0)～$(1)"""
RarityValue#0,"""★$(0)"""
ExtendLevelValue#0,"""Ур.$(0)"""
NeedNone#0,"""Все"""
ExtendResetRecipe#0,"""Вернуть оружие в исходное состояние."""
Customize1#0,"""Кастомизация Тип 1"""
Customize2#0,"""Кастомизация Тип 2"""
PAExplanation#0,"""Описание"""
CraftAnalyzeSelect#0,"""Разобрать выбранный предмет"""
CraftAnalyzeGet#0,"""Получаемые предметы (просмотр)"""
CraftAnalyzeSuccess#0,"""<green>Успешно<c>"""
CraftAnalyzeHugeSuccess#0,"""В случае <c ff007f>Большого успеха<c>"""
CraftAnalyzeResult#0,"""Подтверждение предмета на разбор"""
CraftAnalyze#0,"""Предмет разобран"""
CraftAnalyzeExplain#0,"""<c f0df60>７★ + оружие и диски 11+ увеличат количество материалов во время разбора.<c>"""
CraftAnalyzeConfirm#0,"""$(0) будет разложен.<br>вы хотите продолжить?<br>※обратите внимание на то что выбранные предметы будут<br><c ff0000>уничтожены<c>."""
CraftSuccess#0,"""Разложение было <green>Успешно<c>.<br>вы получили следующие предметы:"""
CraftBigSuccess#0,"""Разложение было <c ff007f>Очень успешно<c>.<br>вы получили следующие предметы:"""
CraftAnalyzeDisable#0,"""Разложение невозможно <br>недостаточно места."""
CraftAnalyzeLock#0,"""Поскольку этот элемент заблокирован пользователем, его нельзя использовать."""
CraftAnalyzeEquip#0,"""Поскольку этот предмет экипирован, его нельзя использовать."""
CraftAnalyzeComError#0,"""Ошибка соединения, предмет не будет разложен."""
CraftAnalyzeNoItem#0,"""Предмет не может быть выбран."""
CraftAnalyzeItemInfo#0,"""\u3000× $(0)"""
CraftAnalyzeTogetherSelectItem#0,"""Выбранные предметы"""
CraftAnalyzeTogetherSlash#0,"""\\"""
CraftAnalyzeTogetherDenominator#0,"""\"-\"10"""
CraftAnalyzeTogetherAnalyze#0,"""Разобрать"""
CraftAnalyzeTogetherConfirm#0,"""Эти устройства будут разобраны<br>в количестве $(0) штук.<br>Хотите продолжить?<br>※Разобранные предметы будут <c ff0000>Уничтожены<c>."""
CraftAnalyzeTogetherDisable#0,"""Эти устройства не могут быть<br>разобраны, потому что <br>недостаточно места в инвентаре."""
CraftAnalyzeTogetherToast#0,"""Невозможно разложить предметы которые заблокированы пользователем."""
CraftAnalyzeTogetherSuccess#0,"""Разбор устройств был завершён.<br> \u3000<green>Успешно: $(0)<c><br>Были получены следующие предметы: """
CraftAnalyzeTogetherBigSuccess#0,"""Разбор устройств был завершён.<br> \u3000<c ff007f>Очень успешно: $(0)<c><br>Были получены следующие предметы: """
CraftAnalyzeTogetherSuccessAndBigSuccess#0,"""Разбор устройств был завершён.<br> \u3000<green>Успешно: $(0)<c><br> \u3000<c ff007f>Удачное разложение: $(1)<c><br>Были получены следующие предметы: """
CraftAnalyzeTogetherFailedListMessage#0,"""Невозможно выполнить разбор устройств.<br>Соединение потеряно.<br><c ff0000>※Устройства не разобраны.<c>"""
TechnicSelect#0,"""Выбор техник"""
CustomizeContent#0,"""Кастомизация Эффектов"""
MakeMaterial#0,"""Необходимые материалы"""
TechnicCustomizeResult#0,"""Результат кастомизации техник"""
TechnicDetail#0,"""Детальная информация"""
LearnCheck#0,"""Кастомизационный диск подтверждение"""
CustomizeAbility#0,"""Кастомизация Способностей"""
Level#1,"""Ур."""
Power#0,"""Сила"""
Cost#0,"""Расход PP"""
ExplainTechnicSelect#0,"""<c f0df60>Пожалуйста, выберете настраиваемую технику.<c>"""
ExplainCustomizeTypeSelect#0,"""<c f0df60>Выберете, какую технику вы хотите кастомизировать из рецептов крафта.<c>"""
ExplainTechnicCustomizeConfirm#0,"""<c f0df60>Кастомизация техники подтверждение<c>"""
TechnicCustomizeConfirmMessage#0,"""Выполнить кастомизацию техники.<br>после этого будет создан диск<br>（Вы можете использовать устройство）<br>Охлаждение машины<yellow> $(0)<c>"""
TechnicCustomizeSuccessMessage#0,"""Кастомизация техники выполнена <green>Успешно<c>."""
TechnicCustomizeSpecialSuccessMessage#0,"""Кастомизация техники выполнена <c ff007f>Очень успешна<c>."""
AchieveAll#1,"""Любой Атрибут"""
AchieveAttrFire#0,"""Атрибут: Огненные Техники"""
AchieveAttrIce#0,"""Атрибут: Ледяные Техники"""
AchieveAttrThunder#0,"""Атрибут: Электрические Техники"""
AchieveAttrWind#0,"""Атрибут: Ветреные Техники"""
AchieveAttrLight#0,"""Атрибут: Световые Техники"""
AchieveAttrDark#0,"""Атрибут: Тёмные Техники"""
AchieveRecipeNoLevel#1,"""Нет условий"""
AchieveRecipeLevel#1,"""Рецепт разблокируется на уровне $(0) и выше."""
AchieveCustomNoRank#0,"""Нет условий"""
AchieveCustomRank1#0,"""Рецепт Ранг: Рецепт 1"""
AchieveCustomRank2#0,"""Рецепт Ранг: Рецепт 2"""
AchieveCustomRank3#0,"""Рецепт Ранг: Рецепт 3"""
AchieveResultAll#1,"""Нет условий"""
AchieveResultSuccess#1,"""Условие: Только Большой Успешно"""
AchieveMakeAll#1,"""Нет условий"""
AchieveMakeReceive#1,"""Запросы на крафт"""
AchieveNumber#1,""" $(0)/ $(1)"""
AchieveTec_00#0,"""対象： フォイエ"""
AchieveTec_01#0,"""対象： ギ・フォイエ"""
AchieveTec_02#0,"""対象： ラ・フォイエ"""
AchieveTec_03#0,"""対象： サ・フォイエ"""
AchieveTec_04#0,"""対象： シフタ"""
AchieveTec_05#0,"""対象： ナ・フォイエ"""
AchieveTec_06#0,"""対象： イル・フォイエ"""
AchieveTec_07#0,"""対象： バータ"""
AchieveTec_08#0,"""対象： ギ・バータ"""
AchieveTec_09#0,"""対象： ラ・バータ"""
AchieveTec_10#0,"""対象： サ・バータ"""
AchieveTec_11#0,"""対象： デバンド"""
AchieveTec_12#0,"""対象： ナ・バータ"""
AchieveTec_13#0,"""対象： イル・バータ"""
AchieveTec_14#0,"""対象： ゾンデ"""
AchieveTec_15#0,"""対象： ギ・ゾンデ"""
AchieveTec_16#0,"""対象： ラ・ゾンデ"""
AchieveTec_17#0,"""対象： サ・ゾンデ"""
AchieveTec_18#0,"""対象： ゾンディール"""
AchieveTec_19#0,"""対象： ナ・ゾンデ"""
AchieveTec_20#0,"""対象： イル・ゾンデ"""
AchieveTec_21#0,"""対象： ザン"""
AchieveTec_22#0,"""対象： ギ・ザン"""
AchieveTec_23#0,"""対象： ラ・ザン"""
AchieveTec_24#0,"""対象： サ・ザン"""
AchieveTec_25#0,"""対象： ナ・ザン"""
AchieveTec_26#0,"""対象： ザンバース"""
AchieveTec_27#0,"""対象： イル・ザン"""
AchieveTec_28#0,"""対象： グランツ"""
AchieveTec_29#0,"""対象： ギ・グランツ"""
AchieveTec_30#0,"""対象： ラ・グランツ"""
AchieveTec_31#0,"""対象： レスタ"""
AchieveTec_32#0,"""対象： アンティ"""
AchieveTec_33#0,"""対象： ナ・グランツ"""
AchieveTec_34#0,"""対象： イル・グランツ"""
AchieveTec_35#0,"""対象： メギド"""
AchieveTec_36#0,"""対象： ギ・メギド"""
AchieveTec_37#0,"""対象： ラ・メギド"""
AchieveTec_38#0,"""対象： サ・メギド"""
AchieveTec_39#0,"""対象： メギバース"""
AchieveTec_40#0,"""対象： ナ・メギド"""
AchieveTec_41#0,"""対象： イル・メギド"""
TechnicCustomizeDisable#0,"""Кастомизация невозможна так как нет места в инвентаре"""
CraftErrorTitle#0,"""Крафт"""
CraftErrorServerBug#0,"""Ошибка данные не получены<br>[No.2400]"""
CraftErrorClientBug#0,"""Ошибка в данный момент крафт невозможен.<br>пожалуйста попробуйте ещё раз.<br>[No.2401]"""
CraftErrorCraftTypeInvalid#0,"""Ошибка в данный момент крафт невозможен.<br>пожалуйста попробуйте ещё раз.<br>[No.2402]"""
CraftErrorNotInMyRoom#0,"""Ошибка в данный момент крафт невозможен.<br>пожалуйста попробуйте ещё раз.<br>[No.2403]"""
CraftErrorBatteryInvalid#0,"""Ошибка в данный момент крафт невозможен.<br>пожалуйста попробуйте ещё раз.<br>[No.2404]"""
CraftErrorBatteryNotReleased#0,"""Выбранная крафт машина все ещё занята.<br>крафт был отменен."""
CraftErrorBatteryNotPremium#0,"""Выбранная крафт машина только для премиума.<br>крафт был отменен."""
CraftErrorBatteryNotPaid#0,"""Выбранная крафт машина ещё не приобретена.<br>крафт был отменен."""
CraftErrorBatteryNotCharged#0,"""Выбранная крафт машина ещё на охлаждении.<br>крафт был отменен."""
CraftErrorBatteryNotForSale#0,"""Крафт машина которую вы выбрали<br>не может быть приобретена."""
CraftErrorBatteryAlreadyPaid#0,"""Крафт машина которую вы выбрали<br>уже приобретена."""
CraftErrorBatteryAlreadyCharged#0,"""Крафт машина которую вы выбрали<br>ещё на охлаждении, и вы<br>не можете сократить время охлаждения."""
CraftErrorRecipeInvalid#0,"""Ошибка объединении рецептов."""
CraftErrorRecipeNotLearned#0,"""Вы не можете выполнять крафт без выученных рецептов."""
CraftErrorMaterialInvalid#0,"""Необходимые материалы недействительны."""
CraftErrorMaterialLack#0,"""У вас нет необходимых материалов."""
CraftErrorMaterialInpossibleAdd#0,"""Не удалось добавить или удалить необходимый материал."""
CraftErrorSupportInvalid#0,"""Недопустимые вспомогательные предметы."""
CraftErrorSupportLack#0,"""Вспомогательные предметы отсутствуют."""
CraftErrorMesetaLack#0,"""Недостаточно месета."""
CraftErrorArksCashLack#0,"""Недостаточно AC."""
CraftErrorPaidItemNotFound#0,"""Выбранный элемент не найден."""
CraftErrorPaidItemInvalid#0,"""Элемент, который вы пытались использовать, недействителен."""
CraftErrorExtendInvalid#0,"""Крафт был недействительным действие отменено.<br>пожалуйста попробуйте ещё раз.<br>[No.2405]"""
CraftErrorExtendTargetNon#0,"""Элемент отсутствует"""
CraftErrorExtendTargetInvalid#0,"""Крафт недоступен для этого предмета."""
CraftErrorExtendParameterInvalid#0,"""Недопустимые параметры крафта."""
CraftErrorTechnicInvalid#0,"""Произошла ошибка при попытке кастомизации техники."""
CraftErrorTechnicParameterInvalid#0,"""Недопустимые параметры кастомизации техники."""
CraftErrorOrderBlack#0,"""Выбранный крафт не удалось выполнить.<br>пожалуйста попробуйте ещё раз.<br>[No.2406]"""
CraftErrorOrderNotMyRoom#0,"""Вы не в Моей комнате,<br>попытка не удалась."""
CraftErrorOrderSlotNotEmpty#0,"""Выбранный заказ используется."""
CraftErrorOrderSlotNotFound#0,"""Поскольку характеристика заказа изменились, операция была прервана."""
CraftErrorOrderSlotInvalidState#0,"""Нам не удалось сделать заказ<br>пожалуйста, попробуйте ещё раз.<br>[No.2407]"""
CraftErrorOrderDBAccess#0,"""Нам не удалось сделать заказ<br>Пожалуйста, попробуйте ещё раз.<br>[No.2408]"""
CraftErrorOrderReceiveMax#0,"""Крафтер принял максимальное количество заказов и больше не может принимать."""
CraftErrorOrderBackpackFull#0,"""Вы не можете предмет так как у вас полон инвентарь или превышен лимит предметов."""
CraftErrorGeneral#0,"""Ошибка в данный момент крафт невозможен.<br>пожалуйста попробуйте ещё раз.<br>[No.2409]"""
CraftErrorNoData#0,"""Ошибка в данный момент крафт невозможен.<br>пожалуйста попробуйте ещё раз.<br>[No.2410]"""
CraftErrorMesetaExceedMax#0,"""Недостаточно месета、<br>Нам не удалось сделать заказ"""
CraftErrorParameter#0,"""Не удалось получить актуальную информацию.<br>Пожалуйста, попробуйте ещё раз."""
CraftErrorExecuteParamCheck#0,"""Не удалось выполнить крафт<br>Пожалуйста, попробуйте ещё раз.<br>[No.2411]"""
CraftErrorNpcOrderExpire#0,"""Заказ просрочен.<br>невозможно выполнить крафт."""
CraftErrorNpcOrderInvalidOrderId#0,"""Нам не удалось сделать заказ<br>[No.2412]"""
CraftErrorNpcOrderAlreadyCrafted#0,"""Заказ, который был выбран уже выполнен."""
CraftErrorNpcOrderBackpackFull#0,"""Недостаточно свободного места на складе<br>или превышен лимит предмета<br>невозможно выполнить крафт."""
CraftErrorEnchantInvalid#0,"""Невозможно выполнить крафт.<br>[No.2413]"""
CraftErrorEnchantParameterInvalid#0,"""Невозможно выполнить крафт.<br>Пожалуйста, повторите попытку позже.<br>[No.2414]"""
CraftErrorEnchantNoStamp#0,"""настройки не найдены."""
CraftErrorEnchantTemporaryStampExists#0,"""Не удалось создать новую временную способность<br>так как<br>ожидается ещё одно сохранение."""
CraftErrorEnchantNoTemporaryStamp#0,"""Нет настроек с временными способностями<br>ожидание сохранения.."""
CraftErrorEnchantExpire#0,"""Настройки временных способностей не могут быть обновлены из-за<br> [Основного эффекта] ."""
CraftErrorPaCustomizeInvalid#0,"""Кастомизация Фотон Артов произошла ошибка"""
CraftErrorPaCustomizeParameterInvalid#0,"""Параметры Кастомизации Фотон Артов недействительны."""
YesText#0,"""Да"""
NoText#0,"""Нет"""
CloseText#0,"""Закрыть"""
OpenText#0,"""Открыть"""
Sort#0,"""Сортировать"""
Copy#0,"""Копировать"""
Peaste#0,"""Вставить"""
NextText#0,"""Далее"""
PrevText#0,"""Предыдущий"""
DecideText#0,"""Подтвердить"""
CancelText#0,"""Отменить"""
OKText#0,"""OK"""
ReturnText#0,"""Вернуться"""
Switch_Vita#0,"""<pict Sign_TRIANGLE>Сменить"""
Undistribution#0,"""Не доставлено"""
BuyChargeAll#0,"""Используйте АС магазин для покупки<pict Arcscash>"""
EnchantDetails#1,"""Сведения рецепта (Временные способности)"""
TodayEffect#0,"""Вероятная основная способность"""
EnchantRecipeMake#0,"""Обновить настройки"""
EnchantResult#0,"""Результат установки временных способностей"""
EnchantSavedMenu#0,"""Подтвердить запрос на крафт в меню регистрации"""
Recipe#1,"""Рецепт"""
RecipeResult#0,"""Настройки обновлены итог"""
RecipeSave#0,"""Настройки подтверждение сохранения"""
UnitType#0,"""Выбор настроек"""
ChipMake#0,"""Создать временные способности"""
ChipSupport#0,"""Подтверждение вспомогательных предметов"""
ChipResult#0,"""Настройки временных способностей результат"""
EnchantSaved01#0,"""Сохранить настройки 1"""
EnchantSaved02#0,"""Сохранить настройки 2"""
EnchantSaved03#0,"""Сохранить настройки 3"""
Item#1,"""Предметы"""
Before#1,"""Текущие настройки"""
After#1,"""Новые настройки"""
TypeRear#0,"""Юниты на тело \""рецепт"""
TypeArm#0,"""Юниты на руки \""рецепт"""
TypeLeg#0,"""Юниты на ноги \""рецепт"""
TypeAddon#0,"""Совместимость"""
Effect01#0,"""Эффект"""
Effect02#0,"""Вторичный"""
Effect03#0,"""Бонус"""
Effect01_Announce#0,"""Случайный"""
EffectScope#0,"""Условия"""
EffectUpData#0,"""Дата продления"""
Rise#0,"""Увеличение значения"""
Area#0,"""Состояние эффекта"""
Days#0,"""Продолжительность эффекта"""
EnchantSaved#0,"""Сохранить"""
Save#0,"""Сохранить"""
Destroy#0,"""Уничтожить"""
Return#0,"""Вернутся к крафт машинам"""
ReturnMenu#0,"""Вернутся"""
ReturnRecipeRegister#0,"""Вернутся к выбору рецептов"""
ExplainEnchantMenu#0,"""<c f0df60>Вы можете создавать настройки временных способностей и диски, а также просматривать принадлежащие вам диски настроек.<c>"""
ExplainRecipeSelect#0,"""<c f0df60>Пожалуйста выберете рецепт для обновления ваших настроек.<c>"""
ExplainEnchantStampConfirm#0,"""<c f0df60>Окончательное окно подтверждения обновления. Вы можете прикрепить различные эффекты с предметами поддержки.<c>"""
ExplainStampSelect#0,"""<c f0df60>Пожалуйста выберете настройки для создания временных способностей.<c>"""
ExplainEnchantStampItemConfirm#0,"""<c f0df60>Это заключительное окно создания временных способностей. Вы можете увеличить продолжительность эффекта с помощью предметов поддержки.<c>"""
TabItemAll#0,"""Юниты"""
TabItemRear#0,"""Тело"""
TabItemArm#0,"""Руки"""
TabItemLeg#0,"""Ноги"""
EffectRateUpdateText#0,"""Ежедневное обновление (13:00 по японскому времени)"""
CompareItemRandom#0,"""Случайный"""
CompareItemRandomLevel#0,"""Случайный (Ур.$(0))"""
CompareItemRate#0,"""Вероятность"""
RecipeParam#0,"""$(0)$(1)"""
RecipeParamRange#0,"""$(0)$(1)～$(2)"""
StampConfirmMessage#0,"""Выполните обновление данных.<br>Вы продолжить?<br>результаты могут быть случайные<br>они не будут автоматически обновляться<br>Охлаждение машины <yellow>$(0)<c>"""
StampItemConfirmMessage#0,"""Создание временных способностей.<br>Вы продолжить?<br>результат соответствует каждому юниту<br>（вы можете их использовать в инвентаре）<br>Охлаждение машины<yellow> $(0)<c>"""
EnchantStampSuccessMessage#0,"""Успешные установки обновлены <green>успешно<c>."""
EnchantStampSpecialSuccessMessage#0,"""Успешные установки обновлены <c ff007f>очень успешно<c>.<br>появились следующие эффекты"""
StampNoData#0,"""Нет успешных установок"""
StampSaveConfirmWindowMessage#0,"""Успешные установки будут сохранены<br>Продолжить?"""
StampSaveConfirmMessage#0,"""Успешные установки будут сохранены.<br>вы действительно хотите Продолжить?"""
StampSaveCancelConfirmMessage#0,"""Успешные установки будут сброшены.<br>вы действительно хотите Продолжить?"""
StampSaveResultTitle#0,"""Настройки Storage Results"""
StampSaveResultMessage#0,"""Настройки сохранены."""
StampSaveCancelResultMessage#0,"""Установки сброшены."""
EnchantStampItemSuccessMessage#0,"""Временные способности успешных установок были <green>успешны<c>."""
EnchantStampItemSpecialSuccessMessage#0,"""Временные способности успешных установок были <c ff007f>очень успешны<c>.<br>>появились следующие эффекты"""
StampGreatSuccessSubParamMax#0,"""Доп.эффект максимизирован"""
StampGreatSuccessAddEffect#0,"""Добавлен эффект"""
ItemGreatSuccessAddTime#0,"""Время эффекта увеличено"""
CreateStampItemDisable#0,"""Недостаточно места в инвентаре.<br>невозможно создать временные способности."""
RecipeSelectItemErrorMessage#1,"""У вас нет необходимых материалов.<br>Материалы можно получить из дропа врагов, а также разбирая 7★ или<br>выше юниты, либо обменивать их<br>в магазине переработки отдел крафт."""
StampSelectItemErrorMessage#0,"""У вас нет необходимых материалов.<br>Материалы можно получить из дропа врагов, а также разбирая 7★ или<br>выше юниты, либо обменивать их<br>в магазине переработки отдел крафт.."""
StampSaveSignboardUpdateMessage#0,"""Настройки были обновлены"""
AchieveEnchantTypeAll#0,"""Нет условий"""
AchieveEnchantTypeStampCreate#0,"""Выполнить: Обновление настроек"""
AchieveEnchantTypeItemCreate#0,"""Создать: Временные способности"""
AchieveEnchantEffectLevel#0,"""Основной эффект Уровень: $(0)+"""
AchieveEnchantEffectRange#0,"""Требование: $(0)"""
AchieveEnchantEffectQuestTypeStory#0,"""Сюжетный квест"""
StampSwapNo#0,"""$(0).$(1)"""
StampSwapNew#0,"""Новый сет"""
StampSwapConfirmTitle#0,"""Сохранить резервные настройки"""
StampSwapConfirmTitle2#0,"""Загрузить резервные настройки"""
StampSwapConfirmMessage#0,"""Сохранить резервную копию диска настроек.<br>продолжить?<br><yellow>※Данные резервного диска будут удалены.<br>\u3000Обратите внимание на это.<c>"""
StampSwapConfirmMessage2#0,"""Изменение дисков с настройками, которые установлены в рецепте.<br>продолжить?<br><yellow>※Диски настроек, которые в настоящее время установлены в рецепте на резервный диск<br>\u3000Если вы ещё их не сохранили данные будут изменены автоматически、<br>\u3000Обратите внимание на это.<c>"""
StampSwapConfirmDecide#0,"""Да"""
StampSwapConfirmCancel#0,"""Нет"""
StampSwapBefore#0,"""Текущие сохранённые данные"""
StampSwapBefore2#0,"""Текущие настройки"""
StampSwapAfter#0,"""Данные после перезаписи"""
StampSwapAfter2#0,"""Настройки после изменения"""
StampSwapSuccessTitle#0,"""Сохранены"""
StampSwapSuccessTitle2#0,"""Открыты"""
StampSwapSuccess#0,"""Резервный диск настроек был сохранен вы можете использовать его из пункта резервные настройки."""
StampSwapBack#0,"""Рецепт был заменён на резервные настройки"""
StampSwapArm#0,"""Настройки рецепта юнитов рук<br>замена настроек"""
StampSwapLeg#0,"""Настройки рецепта юнитов ног<br>замена настроек"""
StampSwapFailed#0,"""Это не удалось сохранить диск настроек рецепта юнитов ног.<br>Пожалуйста, попробуйте ещё раз."""
StampSwapFailed2#0,"""Сбой при вызове диска настроек.<br>Пожалуйста, попробуйте ещё раз."""
Fullsize_StampSwapTitle#0,"""Сохранить настройки"""
Fullsize_StampSwapTitle2#0,"""Открыть настройки"""
Fullsize_StampSwapSrc#0,"""<c f0df60>Вы можете сделать настройки, делается для резервного копирования диска с настройками.<c>"""
Fullsize_StampSwapDst#0,"""<c f0df60>Пожалуйста выберете настройки для сохранения.<c>"""
Fullsize_StampSwapDst2#0,"""<c f0df60>Вы можете установить данные на диск резервного копирования настроек в рецепте.<c>"""
PaSelect#0,"""Выберите Фотон Арт"""
CustomizeContent#1,"""Кастомизация"""
MakeMaterial#1,"""Необходимые материалы"""
PaCustomizeResult#0,"""Результат кастомизация Фотон Артов"""
PaDetail#0,"""Детали Фотон Артов"""
LearnCheck#1,"""Кастомизация Фотон Артов финальное подтверждение"""
CustomizeAbility#1,"""Кастомизация способностей"""
Level#2,"""Lv."""
Power#1,"""威力"""
Cost#1,"""消費PP"""
ExplainPaSelect#0,"""<c f0df60>Пожалуйста выберете Фотон Арт для кастомизаци.<c>"""
ExplainCustomizeTypeSelect#1,"""<c f0df60>В настройках крафта выберете настройки для любого Фотон Арта<c>"""
ExplainPaCustomizeConfirm#0,"""<c f0df60>Это окончательное подтверждение экран настройки Фотон Арта.<c>"""
PaCustomizeConfirmMessage#0,"""Выполняется настройка Фотон Арта<br>Вы продолжить?<br>по завершению будет создан загрузочный диск<br>（Его можно использовать в вашем инвентаре）<br>Охлаждение машины <yellow>$(0)<c>"""
PaCustomizeSuccessMessage#0,"""Кастомизация Фотон Артов выполнена <green>успешна<c>."""
PaCustomizeSpecialSuccessMessage#0,"""Кастомизация \""Фотон Артов\"" <c ff007f>Очень успешно<c>."""
AchieveAll#2,"""Нет условий"""
AchievePaType#0,"""Требуется: $(0)"""
AchievePaWeaponType#0,"""Требуется: $(0)-Тип Фотон Артов"""
AchieveRecipeNoLevel#2,"""Нет условий"""
AchieveRecipeLevel#2,"""Рецепт недоступен требуется уровень $(0) ."""
AchieveCustomNoRank#1,"""Нет условий"""
AchieveCustomRank1#1,"""Рецепт Ранг: Рецепт 1"""
AchieveCustomRank2#1,"""Рецепт Ранг: Рецепт 2"""
AchieveCustomRank3#1,"""Рецепт Ранг: Рецепт 3"""
AchieveResultAll#2,"""Нет условий"""
AchieveResultSuccess#2,"""Состояние: только \""Очень успешно"""
AchieveMakeAll#2,"""Нет условий"""
AchieveMakeReceive#2,"""Запросы на крафт"""
AchieveNumber#2,""" $(0)/ $(1)"""
PaCustomizeDisable#0,"""Кастомизация \""Фотон Артов\"" невозможна<br>Инвентарь полон."""
