Category_All#0,"""Всё"""
Label_SyncBodyCast#0,"""Синхронизация глобального типа"""
Label_SyncBodyCastExplain#0,"""Даже если форма тела одинакова,<br>останется разница внеш-го пар-а.<br>Включив этот параметр, вы сможете<br>синхронизировать форму тела."""
Label_SyncBodyClassic#0,"""Синхронизация обеих моделей"""
Label_SyncBodyClassicExplain#0,"""У моделей PSO2 и PSO2:NGS части<br>доступные для ред-я отличаются.<br>Включив эту настройку, вы сможете<br>синхр-ть элем-ы ред-я формы тела."""
Label_SetWearColor#0,"""Настройка цвета слоя Se"""
Label_FullsetWearColor#0,"""Настройка цвета полного Se"""
Label_AccessorySelect#0,"""Выбран аксессуар $(0)"""
Label_AccessoryPosition#1,"""Позиция аксессуара $(0)"""
Label_AccessoryAngle#0,"""Угол аксессуара $(0)"""
Label_AccessorySize#1,"""Размер аксессуара $(0)"""
Label_AccessoryAttach#1,"""Закреплён аксессуар $(0)"""
Label_AccessoryColor#0,"""Синхронизирован цвет $(0)"""
Label_MotionChangeSelectRun#0,"""Движение: Перемещение"""
Label_MotionChangeSelectSwim#0,"""Движение: Плавание"""
Label_MotionChangeSelectDash#0,"""Движение: Рывок"""
Label_MotionChangeSelectGlide#0,"""Движение: Парение"""
Label_MotionChangeSelectLanding#0,"""Движение: Приземление"""
Label_MotionChangeSelectWait#0,"""Движение: Ожидание"""
Label_MotionChangeSelectJump#0,"""Движение: Прыжок"""
Label_EstheOption#0,"""Камера: Направление"""
Label_EstheOptionCameraHRotate#0,"""Камера: вращение влево/вправо"""
Label_EstheOptionCameraVRotate#0,"""Камера: вращение вверх/вниз"""
Label_EstheOptionCharaHRotate#0,"""Инверсия вращения персонажа"""
Label_DiamondSlider_Guide#0,"""Выберите вершину \""$(0)\"" для дальнейшей настройки с помощью аналогового джойстика."""
Label_LayeringWearHem#0,"""Расширение одежды у талии"""
Label_Toon_DisplayTitle#0,"""Мультяшное отображение персонажа"""
Label_Toon_Display#0,"""Активировать мульт. отображение"""
Label_Toon_Outline#0,"""Улучшение контура"""
Label_Toon_DepthSadow#0,"""Глубина тени"""
Label_EstheOptionCoordinate#0,"""Настройки отображения"""
Label_EstheOptionCoordinateText#0,"""Числовое отображение настраиваемого"""
Label_Next#0,"""Принять"""
Label_Back#0,"""Отменить"""
Label_EditCheck#0,"""Подтвержд-е отред-й части"""
Label_FixedChange#0,"""Подт изменение"""
Label_CancelChange#0,"""Вернуться"""
Label_OK#0,"""Принять"""
Label_Cancel#0,"""Отменить"""
Label_Next_NoTag#0,"""Принять"""
Label_Back_NoTag#0,"""Отменить"""
Label_EditCheck_NoTag#0,"""Подтвержд-е отред-й части"""
Label_FixedChange_NoTag#0,"""Подт изменение"""
Label_CancelChange_NoTag#0,"""Вернуться"""
Label_OK_NoTag#0,"""Принять"""
Label_Cancel_NoTag#0,"""Отменить"""
Label_NotFoundItems#0,"""Нет предметов для выбора"""
Tab_All#0,"""Всё"""
Tab_ItemPack#0,"""Инвентарь"""
Tab_Warehouse#0,"""Хранилище персонажа"""
Tab_Favorite#0,"""Любимое"""
Tab_Accessory_All#0,"""Все аксессуары"""
Tab_Accessory_New#0,"""Новые"""
Tab_Accessory_History#0,"""История выбранных аксессуаров"""
Tab_Accessory_00#0,"""Верхняя часть головы"""
Tab_Accessory_01#0,"""Верхняя часть головы"""
Tab_Accessory_02#0,"""Нижняя часть головы"""
Tab_Accessory_03#0,"""Другое"""
Tab_Accessory_Head#0,"""Голова"""
Tab_Accessory_Hair#0,"""Волосы/Уши"""
Tab_Accessory_Face#0,"""Лицо"""
Tab_Accessory_Body#0,"""Шея/Торс"""
Tab_Accessory_Back#0,"""Спина"""
Tab_Accessory_Arm#0,"""Руки"""
Tab_Accessory_Leg#0,"""Ноги"""
Message_DifferentBodyType#0,"""Выбрана часть, которую нельзя установить с текущим типом тела.<br>Вы уверены, что хотите изменить всё телосложение?<br>※С изменением типа тела, указанное ниже, не соответствующее типу, сбросится.<br>・Кожа<br>・Рисунок на теле 1,2<br>・ Послойная одежда (Ou, Ba, In)<br>・Части (тело, руки, ноги)<br>・Костюм."""
Message_UnableEdit#0,"""Эту часть нельзя редактировать"""
Button_Skip_ClassSelect#0,"""Перейти к выбору класса"""
Sort_Esthetic1#0,"""Стандартная сортировка"""
Sort_Esthetic2#0,"""Только для мужчин"""
Sort_Esthetic3#0,"""Только для женщин"""
Sort_Esthetic4#0,"""Только для CAST'ов М"""
Sort_Esthetic5#0,"""Только для CAST'ов Ж"""
Sort_Esthetic6#0,"""Только 『PSO2:NGS』"""
Sort_Esthetic7#0,"""Только 『PSO2』"""
Sort_Esthetic8#0,"""1 тип тела: Только Ba"""
Sort_Esthetic9#0,"""1 тип тела: Только Se"""
Sort_Esthetic10#0,"""2 тип тела: Только Ba"""
Sort_Esthetic11#0,"""2 тип тела: Только Se"""
Sort_Esthetic12#0,"""Только полный Se"""
Hint_Common#0,"""Вы можете редактировать выбранную часть"""
Effect_Normal#0,"""Нормальный"""
Effect_Cast#0,"""CAST'овский"""
Popup_HairOFF#0,"""Отображение волос: <%TabBack>"""
Popup_CostumeOFF#0,"""Отображение костюма: <%TabForward>"""
Popup_Redo#0,"""Отменить: <swguidetype Redo>"""
Popup_Undo#0,"""Повторить: <swguidetype Undo>"""
Headparts#0,"""Части головы"""
Legparts#0,"""Части ног"""
Bodyparts#0,"""Части тела"""
Armparts#0,"""Части рук"""
Key_Reset#0,"""Сброс"""
Key_Normal#0,"""Нормальная"""
Key_Smile#0,"""Улыбка"""
Key_Anger#0,"""Злость"""
Key_Sad#0,"""Печаль"""
Key_Distrust#0,"""Недоверие"""
Key_CloseEye#0,"""Закрыть глаза"""
Key_Smile2#0,"""Улыбка 2"""
Key_Wink#0,"""Подмигивание"""
Title_BodyTypeSelect#0,"""Выбор типа тела"""
Label_BodyType_Male#0,"""Человеческий тип 1"""
Label_BodyType_Female#0,"""Человеческий тип 2"""
Label_BodyType_CastMale#0,"""Тип для CAST'ов 1"""
Label_BodyType_CastFemale#0,"""Тип для CAST'ов 2"""
Label_Notice#0,"""<yellow>※С изменением типа тела, указанное ниже,<br>не соответствующее типу, сбросится.<br>・Кожа<br>・Рисунок на теле 1,2<br>・ Послойная одежда (Ou, Ba, In)<br>・Части (тело, руки, ноги)<br>・Костюм."""
Title_CheckEditItem#0,"""Подтверждение отред-х частей"""
Label_Notice#1,"""Это список отредактированых частей.<br>Вы можете отменить редактирование, <br>сняв флажок."""
Label_NotEdited#0,"""Нет отредактированных частей"""
Label_Reflect#0,"""Отражение"""
Label_Cancel#1,"""Отмена"""
Label_Red#0,"""R"""
Label_Green#0,"""G"""
Label_Blue#0,"""B"""
Button_Slider_Left#0,"""<%ChangeCtrlWindowForward>"""
Button_Slider_Right#0,"""<%MultiSelect>"""
Label_Preference#0,"""Настройка области"""
Label_Field#0,"""Область"""
Label_Weather#0,"""Погода"""
Label_TimePreference#0,"""Настройка времени"""
Label_TimeCount#0,"""$(0):$(1)"""
Label_TimeGuide#0,"""Изменение по часам: <%Decide> при нажатии ←/→"""
Esthe#0,"""Окно салона"""
CentralCity#0,"""Централ-Сити"""
AelioGrassland#0,"""Луг Эарио"""
AelioMarshland#0,"""Болото Эарио"""
RetemCentral#0,"""Центр Ритема"""
Fine#0,"""Солнечно"""
Cloudy#0,"""Облачно"""
Rainy#0,"""Дождливо"""
Fog#0,"""Туман"""
Title_VoiceSelect#0,"""Выбор голоса"""
Label_NowVoice#0,"""$(0)"""
Label_PlayVoice#0,"""Проиграть $(0)"""
Label_Pitch#0,"""Изменение высоты тона"""
Label_Effect#0,"""Эффект голоса"""
Tag_Voice1#0,"""Мужчина"""
Tag_Voice2#0,"""Женщина"""
Tag_Voice3#0,"""CAST М"""
Tag_Voice4#0,"""CAST Ж"""
Operation_Decide#0,"""Выбор: <%Decide>"""
Operation_Decide_Cancel#0,"""Выбор: <%Decide>\u3000Отмена: <%Cancel>"""
Operation_Default#0,"""Выбор: <%Decide>\u3000Отмена: <%Cancel>\u3000Закрепить: <swguidetype Pinned>"""
Operation_Pantograph#0,"""Выбор/удал.: <%Decide>\u3000Отмена: <%Cancel>\u3000Закрепить: <swguidetype Pinned>"""
Operation_CheckBox#0,"""Выбор: <%Decide>\u3000Отмена: <%Cancel>\u3000Закрепить: <swguidetype Pinned>\u3000Расстояние до камеры:<swguidetype CameraLength>\u3000Поворот камеры:<swguidetype CameraTurn>\u3000Камера верх/низ: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>"""
Operation_Slider#0,"""На 10 шагов: <%Decide>＋лево/право\u3000Отмена: <%Cancel>\u3000Закрепить: <swguidetype Pinned>"""
Operation_FaceCustom#0,"""Выбор: <%Decide>\u3000На 10 шагов: <%Decide>＋лево/право\u3000Отмена: <%Cancel>"""
Help_FaceVariation#0,"""Помощь по вариациям лица"""
Help_AdjustFaceOutline#0,"""Настройка контура"""
Help_AdjustFaceParts#0,"""Настройка частей лица"""
Help_HairAndHeadparts#0,"""Прическа и части головы"""
Help_HairArrange#0,"""Расположение прически"""
Help_HairColor#0,"""Настройка цвета волос"""
Help_EyePattern_Right#0,"""Рисунок глаз справа"""
Help_EyePattern_Left#0,"""Рисунок глаз слева"""
Help_SyncEye#0,"""Синхронизация глаз"""
Help_SyncEyeText#0,"""Синхронизируйте левый глаз с цветом правого глаза"""
Help_EyeColor#0,"""Настройка цвета глаз"""
Help_AdjustEye#0,"""Регулировка глаз"""
Help_Eyebrows#0,"""Выбор бровей"""
Help_SyncEyebrows#0,"""Синхронизация цвета бровей"""
Help_SyncEyebrowsText#0,"""Синхр-я с цветом волос (1)"""
Help_EyebrowsColor#0,"""Настройка цвета бровей"""
Help_EyebrowsAlpha#0,"""Густота бровей"""
Help_EyeLashes#0,"""Выбор ресниц"""
Help_SyncEyeLashes#0,"""Синхронизация цвета ресниц"""
Help_SyncEyeLashesText#0,"""Синхр-я с цветом волос (1)"""
Help_EyeLashesColor#0,"""Настройка цвета ресниц"""
Help_AdjustNoseSize#0,"""Регулировка размера носа"""
Help_AdjustNoseHeight#0,"""Регулировка высоты носа"""
Help_Tooth#0,"""Выбор зубов"""
Help_Mouth#0,"""Регулировка рта"""
Help_Ear#0,"""Выбор уха"""
Help_AdjustEar#0,"""Отрегулировка формы ушей"""
Help_Horn#0,"""Выбор рогов"""
Help_AdjustHorn#0,"""Регулировка формы рогов"""
Help_MakePattern1#0,"""Выбор рисунка макияжа 1"""
Help_MakePattern2#0,"""Выбор рисунка макияжа 2"""
Help_AdjustLineOfSight#0,"""Регулировка глаз"""
Help_AdjustEyeSize#0,"""Регулировка радужной оболочки глаза"""
Help_AdjustEyePosition#0,"""Регулировка положения радужной оболочки"""
Help_AdjustNeckAngle#0,"""Регулировка угла шеи"""
Help_AdjustBody#0,"""Регулировка формы тела"""
Help_AdjustNeck#0,"""Регулировка окружности шеи"""
Help_AdjustBust#0,"""Регулировка груди"""
Help_UpperArm#0,"""Ширина плеч"""
Help_AdjustArm#0,"""Регулировка рук"""
Help_AdjustHand#0,"""Регулировка кисти"""
Help_AdjustWaist#0,"""Регулировка талии"""
Help_AdjustLeg#0,"""Регулировка ног"""
Help_Skin#0,"""Выбор кожи"""
Help_SkinColor#0,"""Настройка цвета кожи"""
Help_SSS#0,"""Прозрачность подцвета кожи"""
Help_SkinGloss#0,"""Регулировка блеска"""
Help_Muscle#0,"""Регулировка мышечной массы"""
Help_BodyPaint1#0,"""Выбор рисунок на теле 1"""
Help_BodyPaint2#0,"""Выбор рисунок на теле 2"""
Help_BodyPaintLayer#0,"""Изменения приоритета отображения рисунка на теле"""
Help_LayerPriority1#0,"""1-й приоритет"""
Help_LayerPriority2#0,"""2-й приоритет"""
Help_LayerPriority3#0,"""3-й приоритет"""
Help_DropdownItem_BodyPaint1#0,"""Рисунок на теле 1"""
Help_DropdownItem_BodyPaint2#0,"""Рисунок на теле 2"""
Help_DropdownItem_Inner#0,"""Внутренняя одежда"""
Help_Costume#0,"""Выбор костюма"""
Help_CostumeColor#0,"""Настройка цвета костюма"""
Help_OuterWear#0,"""Выбор внешней одежды"""
Help_OuterWearColor#0,"""Настройка цвета внешней одежды"""
Help_BaseWear#0,"""Выбор верхней одежды"""
Help_BaseWearColor#0,"""Настройки цвета верхней одежды"""
Help_InnerWear#0,"""Выбор внутренней одежды"""
Help_InnerWearColor#0,"""Настройка цвета внутренней одежды"""
Help_BodyParts#0,"""Выбор частей тела"""
Help_ArmParts#0,"""Выбор частей рук"""
Help_LegParts#0,"""Выбор частей ног"""
Help_PartsColor#0,"""Настройка цвета частей"""
Help_Sticker#0,"""Выбор стикера"""
Operation_DropDown#0,"""Выбрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>\u3000Вращение персонажа: <swguidetype CharaTurn>"""
Operation_BodyPaint#0,"""Выбрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Закрепление части: <swguidetype Pinned>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>"""
Operation_SideSlider#0,"""Регулировка: <%Decide>\u3000На 10 шагов: <%Decide>＋лево/право\u3000Отмена: <%Cancel>\u3000Закрепление части: <swguidetype Pinned>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>"""
Operation_DiamondSlider#0,"""Выбрать/ убрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Закрепление части: <swguidetype Pinned>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>"""
Operation_Morphing#0,"""Выбрать/ убрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Расстояние до камеры: <<swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>"""
Operation_ItemSelect#0,"""Выбрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Закрепление части: <swguidetype Pinned>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>"""
Operation_ItemWindow#0,"""Выбрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Движение курсора: <pict switch_y>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>\u3000Назад: <swguidetype Undo>"""
Operation_ColorPicker#0,"""Выбрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Закрепление части: <swguidetype Pinned>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>"""
Operation_ColorPickerWindow#0,"""Выбрать/ убрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>\u3000Назад: <swguidetype Undo>"""
Operation_BodyType#0,"""Выбрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Расстояние до камеры: <<swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>\u3000Вращение персонажа: <swguidetype CharaTurn>\u3000Назад: <swguidetype Undo>"""
Operation_ColorPickerAll#0,"""Выбрать: <%Decide>\u3000Отмена: <%Cancel>\u3000Расстояние до камеры: <<swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера верх/вниз: <swguidetype CameraUpDown>\u3000Сброс камеры: <swguidetype CameraReset>\u3000Назад: <swguidetype Undo>"""
Disable_Reason_Synchronized#0,"""$(0)\u3000<yellow>※В синхронизации<c>"""
Disable_Reason_Unsupported#0,"""$(0)\u3000<yellow>※Несовместимо<c>"""
Message_Face_Variation_Unsupported#0,"""Текущий тип лица не поддерживает этот элемент редактирования"""
Message_Base_Wear_Unsupported#0,"""Текущая верхняя одежда (Ba) не поддерживает этот элемент редактирования"""
Coordinate_X#0,"""X：$(0)"""
Coordinate_Y#0,"""Y：$(0)"""
Coordinate_Z#0,"""Z：$(0)"""
Coordinate_Slider#0,"""$(0)"""
ChangeToRebootBody#0,"""Из-за изменения типа тела были изменены некоторые элементы редактирования."""
ChangeToClassicBody#0,"""Из-за изменения типа тела были изменены некоторые элементы редактирования."""
ChangeToFigureType#0,"""Из-за изменения типа тела были изменены некоторые элементы редактирования."""
ChangeToSetWear#0,"""Переключение на набор одежды (Se)."""
ChangeToLayeringWear#0,"""Переключение на отображение многослойной одежды."""
Erro_Message_FaceType#0,"""Текущий тип лица не поддерживает этот элемент редактирования."""
Erro_Message_HairStyle#0,"""Текущая причёска не поддерживает этот элемент редактирования."""
Erro_Message_HairParts#0,"""Текущая часть головы не поддерживают этот элемент редактирования."""
Erro_Message_BodyType#0,"""Текущий тип тела не поддерживает этот элемент редактирования."""
Erro_Message_BaseWear#0,"""Текущая верхняя одежда(Ba)/набор одежды (Se) не поддерживает этот элемент редактирования."""
Erro_Message_OuterWear#0,"""Текущая внешняя одежда (Ou) не поддерживает этот элемент редактирования."""
Erro_Message_InnerWear#0,"""Текущая внутренняя одежда (In) не поддерживает этот элемент редактирования."""
Erro_Message_CastParts#0,"""Текущие литые части не поддерживают этот элемент редактирования."""
Erro_Message_Costume#0,"""Текущий костюм не поддерживает этот элемент редактирования."""
Erro_Message_Accessory#0,"""Текущие причёски и аксессуары не поддерживают этот элемент настройки."""
Change_To_Edit_items#0,"""Поскольку есть части, связанные с указанными элементами внешнего вида, редактируемое содержимое соответствующим образом изменено."""
Title_CheckHasEsthePass#0,"""Подтвреждения наличия необходимых предметов."""
Error_CheckHasEsthePass#0,"""У вакс нет предмета для изменения цвета. Перед выходом, вам придётся отменить редактирование настроек цвета."""
Error_ChangeInvalidParts#0,"""Выбранный элемент больше нельзя применить, поскольку изменён тип тела."""
Error_AccessoryCost#0,"""Достигнут предел доступной общей стоимости аксессуаров."""
Error_MotionCost#0,"""*Стоимость движения исчерпана. Нельзя адаптировать."""
Error_ChangeColor#0,"""Нельзя применить, так как цвета связаны в разных костюмах."""
ChangeColorInner1#0,"""Изменён 1-й цвет In."""
ChangeColorInner2#0,"""Изменён 2-й цвет In."""
ChangeColorBasewear1#0,"""Изменён 1-й цвет Ba."""
ChangeColorBasewear2#0,"""Изменён 2-й цвет Ba."""
ChangeColorSetwear1#0,"""Изменён 1-й цвет Se."""
ChangeColorSetwear2#0,"""Изменён 2-й цвет Se."""
ChangeColorOuter1#0,"""Изменён 1-й цвет Ou."""
ChangeColorOuter2#0,"""Изменён 2-й цвет Ou."""
ChangeColorSkin1#0,"""Изменён цвет кожи."""
ChangeColorSkin2#0,"""Изменён цвет кожи."""
ChangeColorCastMain#0,"""Изменён основной цвет CAST'a."""
ChangeColorCastSub1#0,"""Изменён 1-й цвет CAST'a."""
ChangeColorCastSub2#0,"""Изменён 2-й цвет CAST'a."""
ChangeColorCastSub3#0,"""Изменён 3-й цвет CAST'a."""
ChangeColorEye1#0,"""Изменён цвет правого глаза."""
ChangeColorEye2#0,"""Изменён цвет левого глаза."""
ChangeColorEyebrow#0,"""Изменён цвет бровей."""
ChangeColorEyelash#0,"""Изменён цвет ресниц."""
ChangeColorHair1#0,"""Изменён 1-й цвет волос."""
ChangeColorHair2#0,"""Изменён 2-й цвет волос."""
Label_Wait#0,"""Ожидание"""
Label_Run#0,"""Бег"""
Label_Jump#0,"""Прыжок"""
Label_Dush#0,"""Рывок"""
Label_Glide#0,"""Парение"""
Label_Swim#0,"""Плаванье"""
Label_SubTitle#0,"""Изменить движение"""
Label_Landing#0,"""Приземление"""
Label_SelectedMotion#0,"""Установлено"""
Label_Cost#1,"""Стоим."""
Button_ResetDefault#0,"""Сброс"""
Label_Title#0,"""Случайная настройка"""
Label_Race#0,"""Раса"""
Label_Type#0,"""Пол"""
Label_Make#0,"""Генерировать <pict random_box_1>"""
Selection_Human#0,"""Человек"""
Selection_Cast#0,"""*CAST"""
Selection_Male#0,"""Мужчина"""
Selection_Female#0,"""Женщина"""
Message_SaveFailed#0,"""Не удалось сохранить данные создания."""
Message_SaveSuccess#0,"""Данные создания сохранены."""
Message_Confirmation#0,"""Присутствуют созданные данных<br>с таким же названием.<br>Желаете перезаписать?"""
Message_Title#0,"""Подтверждение перезаписи"""
Message_LoadFailed#0,"""Не удалось загрузить данные создания."""
Tag_HumanMale#0,"""Хьюман тип 1"""
Tag_HumanFemale#0,"""Хьюман тип 2"""
Tag_NewmanMale#0,"""Ньюман тип 1"""
Tag_NewmanFemale#0,"""Ньюман тип 2"""
Tag_CastMale#0,"""CAST тип 1"""
Tag_CastFemale#0,"""CAST тип 2"""
Tag_DewmanMale#0,"""Дьюман тип 1"""
Tag_DewmanFemale#0,"""Дьюман тип 2"""
Label_TestButton#1,"""Подтверждение движения"""
Label_Pause#1,"""Пауза"""
Message#0,"""<yellow>Желаете пропустить “Пролог”<c>?<br><br>Пройдя “Пролог” другим персонажем, вы сможете сразу перейти к <yellow> основной задаче “Первое испытание”<c>."""
Message_Playgo#0,"""<yellow>Желаете пропустить “Пролог”<c>?<br><br>Пройдя “Пролог” другим персонажем, вы сможете сразу перейти к <yellow> основной задаче “Первое испытание”<c>.<br><br><yellow>※Если загрузка не окончена, то вы отправитесь на титульный экран.<c>"""
Message_No#0,"""<yellow>Желаете начать с основного<br>сюжета ”Пролог”<c>?"""
Message_1#0,"""<yellow>Желаете начать с основного<br>сюжета “Глава 2”<c>?<br><br>Пройдя первую главу другим персонажем,<br>вы можете начать игру с <yellow>основной<br>задачи ”Новое задание”<c>.<br><br><yellow>※Нельзя будет получить награду<br>за пропущенные задачи.<c>"""
Message_2#0,"""<yellow>Желаете начать с основного<br>сюжета “Глава 3”<c>?<br><br>Пройдя первую главу другим персонажем,<br>вы можете начать игру с <yellow>основной<br>задачи ”Миссия в Кварис”<c>.<br><br><yellow>※Нельзя будет получить награду<br>за пропущенные задачи.<c>"""
Message_1_Playgo#0,"""<yellow>Желаете начать с основного<br>сюжета “Глава 2”<c>?<br><br>Пройдя первую главу другим персонажем,<br>вы можете начать игру с <yellow>основной<br>задачи ”Новое задание”<c>.<br><br><yellow>※Нельзя будет получить награду<br>за пропущенные задачи.<br>※Если загрузка не завершена, вы<br>вернётесь на главный экран.<c>"""
Message_2_Playgo#0,"""<yellow>Желаете начать с основного<br>сюжета “Глава 3”<c>?<br><br>Пройдя первую главу другим персонажем,<br>вы можете начать игру с <yellow>основной<br>задачи ”Миссия в Кварис”<c>.<br><br><yellow>※Нельзя будет получить награду<br>за пропущенные задачи.<br>※Если загрузка не завершена, вы<br>вернётесь на главный экран.<c>"""
SkipCheck_Title#0,"""Пропуск основной истории"""
SkipCheck_MainText#0,"""Начиная играть другим персонажем,<br>можно пропустить <yellow>уже<br>пройденную часть сюжета<c>.<br>Выберите отправнуюб точку."""
SkipCheck_Text#0,"""Пролог"""
SkipCheck_Text1#0,"""1-я глава"""
SkipCheck_Text2#0,"""2-я глава"""
SkipCheck_Text3#0,"""3-я глава"""
ScenarioSelectText_0_0#0,"""Пролог"""
ScenarioSelectText_1_1#0,"""1-я глава"""
ScenarioSelectText_1_2#0,"""2-я глава"""
ScenarioSelectText_1_3#0,"""3-я глава"""
ScenarioSelectText_1_4#0,"""4-я глава"""
ScenarioSelectText_1_5#0,"""5-я глава"""
ScenarioSelectText_1_6#0,"""6-я глава"""
ScenarioSelectText_1_7#0,"""７章から開始"""
ScenarioSelectConfirmText_1_4#0,"""Желаете начать с <yellow>“4-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже сюжетный квест “3-й главы” （основная история региона Кварис）, то можете начать игру на новом персонаже с <yellow>основной задачи “新たな戦いの始まり”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<c>"""
ScenarioSelectConfirmText_1_5#0,"""Желаете начать с <yellow>“5-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже сюжетный квест “4-й главы” （основная история региона Стиа）, то можете начать игру на новом персонаже с <yellow>основной задачи “決戦の前に”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<c>"""
ScenarioSelectConfirmText_1_6#0,"""Желаете начать с <yellow>“6-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже сюжетный квест “5-й главы” （основная история Люсиэля）, то можете начать игру на новом персонаже с <yellow>основной задачи “つくられたセカイ”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<c>"""
ScenarioSelectConfirmText_1_7#0,"""<yellow>メインストーリー“7章”<c>から開始しますか？<br><br>メインストーリー“6章”を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“イルマからの緊急連絡”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_1_4_Playgo#0,"""Желаете начать с <yellow>“4-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже сюжетный квест “3-й главы” （основная история региона Кварис）, то можете начать игру на новом персонаже с <yellow>основной задачи “新たな戦いの始まり”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<br>※Вы вернётесь на стартовый экран, если загрузка ещё не завершена.<c>"""
ScenarioSelectConfirmText_1_5_Playgo#0,"""Желаете начать с <yellow>“5-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже сюжетный квест “4-й главы” （основная история региона Стиа）, то можете начать игру на новом персонаже с <yellow>основной задачи “決戦の前に”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<br>※Вы вернётесь на стартовый экран, если загрузка ещё не завершена.<c>"""
ScenarioSelectConfirmText_1_6_Playgo#0,"""Желаете начать с <yellow>“6-й главы”<c>?<br><br>Если вы ранее завершили на другом персонаже сюжетный квест “5-й главы” （основная история Люсиэля）, то можете начать игру на новом персонаже с <yellow>основной задачи “つくられたセカイ”<c>.<br><br><yellow>※За пропущенные таким образом задачи вы не получите никаких наград, а уровень будет скорректирован в соответствии с регионом.<br>※Вы вернётесь на стартовый экран, если загрузка ещё не завершена.<c>"""
ScenarioSelectConfirmText_1_7_Playgo#0,"""<yellow>メインストーリー“7章”<c>から開始しますか？<br><br>メインストーリー“6章”を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“イルマからの緊急連絡”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c><br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
