Title#0,"""Настройки"""
CtrlFuncNameOpenMyMenu#0,"""Открыть быстрое меню"""
CtrlFuncNameOpenCommunicationLog#0,"""История общения"""
CtrlFuncNameOpenProfile#0,"""Карта ARKS"""
CtrlFuncNameOpenLibrary#0,"""Энциклопедия"""
CtrlFuncNameOpenMutterBoard#0,"""Открыть карту событий"""
CtrlFuncNameOpenClientOrder#0,"""Открыть клиентские заказы"""
CtrlFuncNameOpenQuestInfo#0,"""Открыть информацию о квесте"""
CtrlFuncNameOpenSymbolArt#0,"""Символ Арты"""
CtrlFuncNameOpenMacro#0,"""Макросы"""
CtrlFuncNameOpenConfig#0,"""Настройки"""
CtrlFuncNameOpenPayShop#0,"""Открыть магазин AC"""
CtrlFuncNameOpenACGacha#0,"""Использовать скретч"""
CtrlFuncNameOpenPayLog#0,"""История покупок"""
CtrlFuncNameOpenRentalLimit#0,"""Окончание аренды"""
CtrlFuncNameOpenLogOut#0,"""Открыть меню выхода"""
CtrlFuncNameOpenBingo#0,"""ARKS Бинго"""
CtrlFuncNameOpenInformation#0,"""Информация"""
CtrlFuncNameOpenArksRoad#0,"""Путь ARKS"""
CtrlFuncNameOpenCraftAchievement#0,"""Достижения крафта"""
CtrlFuncNameOpenShipBattle#0,"""Гран при ARKS"""
CtrlFuncNameOpenRecycle#0,"""Магазин переработки"""
CtrlFuncNameOpenFashion#0,"""Изменение стиля"""
CtrlFuncNameOpenGatStatus#0,"""Статус добычи"""
CtrlFuncNameOpenGatAchieve#0,"""Получаемые достижения за собирание"""
CtrlFuncNameOpenEquipNote#0,"""Коллекция файлов"""
CtrlFuncNameOpenBuySG#0,"""Купить Star Gems"""
CtrlFuncNameOpenPokaRecord#0,"""Подробности рекорда"""
CtrlFuncNameOpenPokaRankMatch#0,"""Подробности рагна боёв"""
CtrlFuncNameOpenFashionCat#0,"""Каталог преображения"""
CtrlFuncNameOpenArksLeague#0,"""ARKS лига"""
CtrlFuncNameWinShortcut#0,"""Командные окна"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
CtrlFuncNameWinShortcutF2#0,"""F2"""
CtrlFuncNameWinShortcutF3#0,"""F3"""
CtrlFuncNameWinShortcutF4#0,"""F4"""
CtrlFuncNameWinShortcutF5#0,"""F5"""
CtrlFuncNameWinShortcutF6#0,"""F6"""
CtrlFuncNameWinShortcutF7#0,"""F7"""
CtrlFuncNameWinShortcutF8#0,"""F8"""
CtrlFuncNameWinShortcutF9#0,"""F9"""
CtrlFuncNameWinShortcutF10#0,"""F10"""
CtrlFuncNameWinShortcutN1#0,"""Num1"""
CtrlFuncNameWinShortcutN2#0,"""Num2"""
CtrlFuncNameWinShortcutN3#0,"""Num3"""
CtrlFuncNameWinShortcutN4#0,"""Num4"""
CtrlFuncNameWinShortcutN5#0,"""Num5"""
CtrlFuncNameWinShortcutN6#0,"""Num6"""
CtrlFuncNameWinShortcutN7#0,"""Num7"""
CtrlFuncNameWinShortcutN8#0,"""Num8"""
CtrlFuncNameWinShortcutN9#0,"""Num9"""
CtrlFuncNameWinShortcutN10#0,"""Num0"""
CtrlLobbyActionAssignName#0,"""Alt+$(0)"""
CtrlAssignButtonInput#0,"""Изменить"""
CtrlAssignButtonWaiting#0,"""Подождать"""
CtrlAssignHint#0,"""Пожалуйста, нажмите желаемую кнопку. <br>([Esc] для отмены)"""
CtrlCtrlAssignTypeT#0,"""1～0"""
CtrlCtrlAssignTypeF#0,"""F1～F10"""
CtrlCtrlAssignTypeN#0,"""Num1～Num0"""
CtrlCtrlAssignTypeCtrlT#0,"""Ctrl+1～0"""
CtrlCtrlAssignTypeCtrlF#0,"""Ctrl+F1～F10"""
CtrlCtrlAssignTypeCtrlN#0,"""Ctrl+Num1～Num0"""
CtrlCtrlSwapMessage#0,"""[$(0)] выбрано."""
CtrlCtrlCaptionFuncName#0,"""Название функции"""
CtrlCtrlCaptionAssign#0,"""Настройки"""
CtrlPartition#0,""" / """
CtrlVitaAccessEscape#0,"""<pict Sign_L3> ＋ <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""武器パレット切り替えの操作が一部制限されます"""
CtrlVitaSubPalletinfo#0,"""サブパレット切り替えの操作が一部制限されます"""
CtrlAnnounceTitle#0,"""Настройки отображения"""
CtrlAnnounceMessage#0,"""Пожалуйста, выберите желаемое<br>отображение кнопок."""
CtrlAnnounceSelSymbol#0,"""Символы кнопок (тип PlayStation контроллера)"""
CtrlAnnounceSelAlphabet#0,"""Алфавит (тип X-Box контроллера)"""
CtrlAnnounceSelNumber#0,"""Числа"""
CtrlAnnounceSelKeyboard#0,"""Клавиатура"""
CtrlAnnounceExample#0,"""Пример: """
CtrlAnnounceExampleKey#0,"""<pict Key_ENTER> [Esc] [↑] <pict Key_SPACE>"""
CtrlAnnounceExampleAlpha#0,"""<pict Alpha_A><pict Alpha_B><pict Alpha_RB><pict Alpha_UP>"""
CtrlAnnounceExampleSign#0,"""<pict Sign_CIRCLE><pict Sign_CROSS><pict Sign_R1><pict Sign_UP>"""
CtrlAnnounceExampleNumber#0,"""<pict Number_1><pict Number_2><pict Number_5><pict Number_UP>"""
CtrlAnnounceHint#0,"""Ожидание."""
CtrlPadBehaviorTitle#0,"""Быстрая настройка джойстика"""
CtrlPadBehaviorSetting#0,"""Настройки"""
CtrlPadBehaviorInitialize#0,"""Вернуть к начальным"""
CtrlPadBehaviorStickTitle#0,"""Настройка движения аналогового стика."""
CtrlPadBehaviorStickSubTitleLU#0,"""1. Калибровка левого стика: Вверх"""
CtrlPadBehaviorStickMessageLU#0,"""Начинаем калибровку левого стика.<br>Удерживая <c ff007f>ВВЕРХ<c> левый стик,<green> нажмите <c>$(0).<br><br><yellow>※Если контроллер не отвечает, попробуйте переключиться в <c ff007f>[АНАЛОГОВЫЙ РЕЖИМ]<c><yellow> нажимая<br>кнопку или переключатель, отмеченный [ANALOG MODE]<c>"""
CtrlPadBehaviorStickSubTitleLL#0,"""2. Калибровка левого стика: Влево"""
CtrlPadBehaviorStickMessageLL#0,"""Теперь удерживая <c ff007f>ВЛЕВО<c> левый стик,<green> нажмите <c>$(0)."""
CtrlPadBehaviorStickSubTitleRU#0,"""3. Калибровка правого стика: Вверх"""
CtrlPadBehaviorStickMessageRU#0,"""Начинаем калибровку правого стика.<br>Удерживая <c ff007f>ВВЕРХ<c> правый стик,<green> нажмите <br><c>$(0)."""
CtrlPadBehaviorStickSubTitleRL#0,"""4. Калибровка правого стика: Влево"""
CtrlPadBehaviorStickMessageRL#0,"""Теперь удерживая <c ff007f>ВЛЕВО<c>правый стик,<green> нажмите <c>$(0)."""
CtrlPadBehaviorTriggerTitle#0,"""Настройки триггеров"""
CtrlPadBehaviorTriggerMessageL#0,"""Сейчас будет определён [Задняя левая кнопка] если она - триггер.<br>(Работает только на аналоговых контроллерах)<br>Пожалуйста, нажмите на кнопку, изображённую на фигуре снизу.<br><br><yellow>Если ничего не происходит, когда вы её нажимаете, то контроллер не аналоговый.<br>Нажмите <c>$(0)<yellow>, чтобы перейти к настройке кнопок.<c>"""
CtrlPadBehaviorTriggerMessageR#0,"""Сейчас будет определён [Задняя правая кнопка] если она - триггер.<br>(Работает только на аналоговых контроллерах)<br>Пожалуйста, нажмите на кнопку, изображённую на фигуре снизу.<br><br><yellow>Если ничего не происходит, когда вы её нажимаете, то контроллер не аналоговый.<br>Нажмите <c>$(0)<yellow>, чтобы перейти к настройке кнопок.<c>"""
CtrlPadBehaviorConfirmInitTitle#0,"""Сбросить все"""
CtrlPadBehaviorConfirmApplyTitle#0,"""Подтвердить"""
CtrlPadBehaviorConfirmInitMessage#0,"""Настройки контроллера будут сброшены.<br>Продолжить?"""
CtrlPadBehaviorConfirmApplyMessage#0,"""Сохранить настройки."""
CtrlPadBehaviorHelpSetting#0,"""Начать настройку."""
CtrlPadBehaviorHelpInitialize#0,"""Автоматическая настройка"""
CtrlPadBehaviorHelpInitializeDisable#0,"""Этот геймпад не поддерживает автоматическую настройку."""
CtrlPadBehaviorHelpTrigger#0,"""Установить действия триггеров."""
CtrlPadBehaviorButtonDefTitle#0,"""Назначение кнопок"""
CtrlPadBehaviorButtonDefMessage2#0,"""Здесь вы можете сопоставить кнопки вашего контроллера с<br>кнопками, отображаемым в игре, в случае,<br>если они были определены некорректно.<br><br>Нажмите кнопку [Изменить], затем сопоставьте <br><c ff007f>[Отображаемую кнопку]<c> с кнопкой на вашем контроллере."""
CtrlPadBehaviorButtonDefCaptionDef#0,"""<c ff007f>Отображаемая кнопка<c>"""
CtrlPadBehaviorButtonDefCaptionAssign#0,"""Установить кнопку."""
CtrlPadBehaviorButtonDefApply#0,"""Вернуться"""
CtrlPadBehaviorButtonDefDisapply#0,"""Отменить и вернуться"""
CtrlPadBehaviorButtonDefMessage#0,"""Нажмите кнопку, используемую вместо $(0)."""
CtrlPadBehaviorButtonDefDisable#0,"""<gray>Автоматически(Аналоговая)<c>"""
CtrlPadCtrlTitle#0,"""Настройки геймпада"""
CtrlPadInitToast#0,"""Геймпад будет настроен автоматически. Вы можете вручную настроить геймпад."""
RadioButtonOnepush#0,"""Нажать"""
RadioButtonHold#0,"""Держать"""
RadioButtonNormal#0,"""Обычное"""
RadioButtonReverse#0,"""Инвертированное"""
RadioButtonRadarMapDirectionChara#0,"""Не вращать"""
RadioButtonRadarMapDirectionCamera#0,"""Вращается"""
RadioButtonMoviePlayOn#0,"""Видео включены"""
RadioButtonMoviePlayOff#0,"""Видео выключены"""
RadioButtonShowDialog#0,"""Отображать окно выбора"""
RadioButtonNotice#0,"""Только уведомления"""
RadioButtonEnable#0,"""Включить"""
RadioButtonDisable#0,"""Выключить"""
RadioButtonShow#0,"""Показать"""
RadioButtonHide#0,"""Скрыть"""
RadioButtonShootDisplayAll#0,"""Показывать окна"""
RadioButtonShootDisplayNoUiChat#0,"""Скрыть окна (показывать чат)"""
RadioButtonShootDisplayNoUiAll#0,"""Скрыть окна"""
RadioButtonEnableQuote#0,"""Цитировать"""
RadioButtonDisableQuote#0,"""Не цитировать"""
RadioButtonScreenShotTypeBmp#0,"""BMP"""
RadioButtonScreenShotTypePng#0,"""PNG"""
RadioButtonScreenShotTypeJpeg#0,"""JPEG"""
RadioButtonAllow#0,"""Позволять"""
RadioButtonDisallow#0,"""Запрещать"""
RadioButtonCtrlNormal#0,"""Обычная"""
RadioButtonCtrlCustom#0,"""Своя (<pict Sign_TRIANGLE> Change custom settings)"""
RadioButtonCtrlType1#0,"""Тип 1"""
RadioButtonCtrlType2#0,"""Тип 2"""
RadioButtonCtrlType3#0,"""Тип 3"""
RadioButtonKeyMoveEscapeLong#0,"""Нажать кнопку движения дважды (Долгая задержка)"""
RadioButtonKeyMoveEscapeMiddle#0,"""Нажать кнопку движения дважды (Средняя задержка)"""
RadioButtonKeyMoveEscapeShort#0,"""Нажать кнопку движения дважды (Короткая задержка)"""
RadioButtonKeyMoveEscapeUnuseKey#0,"""Использовать кнопку уклонения (Двойное нажатие для уклонения отключено)"""
RadioButtonSave#0,"""Сохранить"""
RadioButtonNotSave#0,"""Не сохранять"""
RadioButtonAccessHold#0,"""Для предложения удерживать<%Access>"""
RadioButtonNotEvent#0,"""Не предлагать"""
RadioButtonNameWhite#0,"""Белое"""
RadioButtonNameBlue#0,"""Синее"""
RadioButtonPopUpMessageOne#0,"""Показывать только последнее сообщение"""
RadioButtonPopUpMessageThree#0,"""Показывать последние 3 сообщения"""
RadioButtonRecommendedNotice#0,"""Показывать рекомендованные заказы"""
RadioButtonRecommendedNotNotice#0,"""Не показывать рекомендованные заказы"""
RadioButtonAttackPropertyOff#0,"""Не показывать цвет типа урона"""
RadioButtonAttackPropertyOn#0,"""Показывать цвет типа урона"""
RadioButtonPartyNameChara#0,"""Использовать имя лидера"""
RadioButtonPartyNameQuest#0,"""Использовать название квеста/сложность (кратко)"""
RadioButtonBeginnerBlockSelect#0,"""Предпочитать начальные блоки"""
RadioButtonBeginnerAutoSelect#0,"""Автоматический выбор"""
RadioButtonSubActionPalletNameOn#0,"""Всегда показывать"""
RadioButtonSubActionPalletNameChangeOnly#0,"""Показывать при переключении"""
RadioButtonSubActionPalletNameOff#0,"""Отсутствует"""
RadioButtonBattleImpossibleIconOn#0,"""Показывать иконки выведенных из строя игроков"""
RadioButtonBattleImpossibleIconOff#0,"""Не показывать иконки выведенных из строя игроков"""
RadioButtonMyBattleImpossibleIconOn#0,"""Позволять другим видеть иконку, когда выведен из строя"""
RadioButtonMyBattleImpossibleIconOff#0,"""Не позволять другим видеть иконку, когда выведен из строя"""
RadioButtonAllPB#0,"""Показывать все Фотон Бласты"""
RadioButtonMyPB#0,"""Показывать только мой Фотон Бласт"""
RadioButtonRareDrop7Over#0,"""Показывать для предметов редкостью 7 и выше"""
RadioButtonRareDrop10Over#0,"""Показывать для предметов редкостью 10 и выше"""
RadioButtonRareDrop13Over#0,"""Показывать для предметов редкостью 13 и выше"""
RadioButtonRareautoget13#0,"""Автоматически подбирать предметы редкостью в 13★ или выше."""
RadioButtonRareautogetoff#0,"""Не использовать"""
RadioButtonCameraOperate#0,"""Приоритет клавишам управления камерой"""
RadioButtonCursorOperate#0,"""Приоритет управлению камерой курсором"""
RadioButtonWarehouseCursorAll#0,"""Все склады"""
RadioButtonWarehouseCursorBase#0,"""Базовый склад"""
RadioButtonWarehouseCursorCharacter#0,"""Склад персонажа"""
RadioButtonWarehouseCursorPremium#0,"""Прем. склад"""
RadioButtonWarehouseCursorOTP#0,"""OTP склад"""
RadioButtonWarehouseCursorPSO2es#0,"""PSO2es склад"""
RadioButtonAType#0,"""Ручной режим"""
RadioButtonBType#0,"""Автоматический режим"""
RadioButtonEtrialON#0,"""Изменить всю карту"""
RadioButtonEtrialOFF#0,"""Не менять"""
Number0#0,"""0"""
Number50#0,"""50"""
Number100#0,"""100"""
VITA_CustomWindow#0,"""<pict Sign_TRIANGLE>カスタム設定変更"""
VITA_CustomTitle#0,"""カスタム設定"""
VITA_PushButton#0,"""ボタン入力"""
VITA_CustomToast1#0,"""カスタム設定が変更されました。各操作タイプを「カスタム」にすることで有効になります。"""
VITA_CustomToast2#0,"""重要な操作が未設定になっています。"""
VITA_AutoRun#0,"""オートラン/サブパレット切替左"""
VITA_ChangeView#0,"""視点切替/サブパレット切替右"""
VITA_CustomInfo#0,"""カスタム設定はボタン以外にも<br>背面タッチパッドの左上<pict Sign_BACK_L>と右上<pict Sign_BACK_R>を設定できます。<br><br>変更したい項目名を選んでから、ボタンまたは<br>背面タッチパッドを押して、設定を変更してください。"""
RideroidNormalCtrlTextRotateX#0,"""Горизонтальное вращение камеры"""
RideroidNormalCtrlTextRotateY#0,"""Вертикальное вращение камеры"""
RideroidNormalCtrlTextMovementX#0,"""Горизонтальное направление поворота"""
RideroidNormalCtrlTextMovementY#0,"""Вертикальное направление движения"""
RideroidNormalCtrlTextRotateX_v#0,"""Горизонтальное вращение камеры"""
RideroidNormalCtrlTextRotateY_v#0,"""Вертикальное вращение камеры"""
RideroidNormalCtrlTextMovementX_v#0,"""Горизонтальное направление поворота"""
RideroidNormalCtrlTextMovementY_v#0,"""Вертикальное направление движения"""
RideroidNormalCtrlHintRotateX#0,"""Задать Горизонтальное вращение камеры"""
RideroidNormalCtrlHintRotateY#0,"""Задать Вертикальное вращение камеры"""
RideroidNormalCtrlHintMovementX#0,"""Задать Горизонтальное направление поворота"""
RideroidNormalCtrlHintMovementY#0,"""Задать Вертикальное направление движения"""
RideroidNormalCtrlHintRotateX_v#0,"""Задать Горизонтальное вращение камеры"""
RideroidNormalCtrlHintRotateY_v#0,"""Задать Вертикальное вращение камеры"""
RideroidNormalCtrlHintMovementX_v#0,"""Задать Горизонтальное направление поворота"""
RideroidNormalCtrlHintMovementY_v#0,"""Задать Вертикальное направление движения"""
RideroidShoulderCtrlTextRotateY#0,"""Задать Вертикальное вращение камеры"""
RideroidShoulderCtrlTextRotateX#0,"""Задать Горизонтальное вращение камеры"""
RideroidShoulderCtrlTextMovementX#0,"""Горизонтальное направление движения"""
RideroidShoulderCtrlTextMovementY#0,"""Вертикальное направление движения"""
RideroidShoulderCtrlTextRotateY_v#0,"""Задать Вертикальное вращение камеры"""
RideroidShoulderCtrlTextRotateX_v#0,"""Горизонтальное направление поворота"""
RideroidShoulderCtrlTextMovementX_v#0,"""Горизонтальное направление движения"""
RideroidShoulderCtrlTextMovementY_v#0,"""Вертикальное направление движения"""
RideroidShoulderCtrlHintRotateY#0,"""Задать Вертикальное вращение камеры"""
RideroidShoulderCtrlHintRotateX#0,"""Задать Горизонтальное направление поворота"""
RideroidShoulderCtrlHintMovementX#0,"""Задать Горизонтальное направление движения"""
RideroidShoulderCtrlHintMovementY#0,"""Задать Вертикальное направление движения"""
RideroidShoulderCtrlHintRotateY_v#0,"""Задать Вертикальное вращение камеры"""
RideroidShoulderCtrlHintRotateX_v#0,"""Задать Горизонтальное направление поворота"""
RideroidShoulderCtrlHintMovementX_v#0,"""Задать Горизонтальное направление движения"""
RideroidShoulderCtrlHintMovementY_v#0,"""Задать Вертикальное направление движения"""
RideroidOperationSettings#0,"""Настройки управления"""
RideroidOperationSettingsType#0,"""Ваши настройки райд-роида."""
RideroidOperationSettingsText#0,"""Ваши настройки райд-роида.<br> <br>Ручной режим: полностью ручное управление.<br>Автоматический режим: полностью автоматический режим.<br><br>※Вы можете настроить камеру Райд-роида<br> выбрав [Обычный вид] или [Вид через плечо].<br>※В настройках райд-роида по умолчанию выбрано<br>[<yellow>Вид через плечо<c>]."""
title#0,"""Выберите основной метод ввода"""
button1#0,"""Клавиатура & Мышь"""
button2#0,"""Геймпад"""
message#0,"""Если для игры используется геймпад, клавиатура<br>все ещё может использоваться для общения. Также другие функции управления<br>все еще будут доступны. <br><br><green>Эти настройки могут быть изменены в любое время<br>при помощи \""Вернуться к начальным настройкам\"" в меню настроек.<c><br><br>Какое устройство вы будете использовать?"""
title#1,"""Настройки изображения"""
Title#1,"""Тип палитры действий"""
Message#0,"""В игре два типа палитры действий,<br>обычная 2-х кнопочная и новая 3-х кнопочная.<br>С 3-х кнопочной Палитрой вам доступны более интуитивные действия.<br><br><green>Эти настройки могут быть изменены в любое время<br>при помощи \""Вернуться к начальным настройкам\"" в меню настроек.<c><br><br>Какой тип палитры действий вы будете использовать?"""
Button_2Button#0,"""2-х кнопочный тип"""
Button_3Button#0,"""3-х кнопочный тип"""
