MYROOM#0,"""Ваша комната"""
Menu_Ceilling_SetPointSelect#0,"""<c f0df60>Выберите место для добавление/удаления оформления.<c>"""
Menu_Symbolart#0,"""<c f0df60>Вы можете установить отображаемый Символ Арт.<c>"""
Menu_LayoutChange#0,"""<c f0df60>Пожалуйста, выберите макет для изменения<c>"""
Menu_DeleteRoomGoods_SelectRoom#0,"""<c f0df60>Удаление всех предметов в текущей комнате<c>"""
Menu_SupportPartnerList#0,"""<c f0df60>Список партнёров поддержки<c>"""
Menu_Dice#0,"""<c f0df60>Редактирование сообщения<c>"""
Menu_Explain_Order#0,"""<c f0df60>Ваш партнёр может помогать вам с полученными заказами. Вы можете выбрать до <c ff4f3f>$(0)<c f0df60> заказов.<c>"""
Menu_Explain_Status#0,"""<c f0df60>Просмотреть статус и снаряжение вашего партнёра.<c>"""
Menu_Camera_Shoot#0,"""<c f0df60>撮影を行うまでの時間を指定できます。タイマー中はマイルームグッズにアクセスすることはできません。<c>"""
Menu_PhotoGachanMain#0,"""<c f0df60>「オススメアイテムを見る」に表示するアイテムを3つまで選択することができます。<c>"""
Menu_CloseoutMoment#0,"""<c f0df60>合図に合わせて素早く<c><%Access><c f0df60>を押すゲームをプレイします。ハイスコアモードは最高タイムとの勝負になります。<c>"""
Menu_Craft#0,"""<c f0df60>Вы можете проверить свой список запросов и создать объявление.<c>"""
Menu_EventChronicle#0,"""<c f0df60>Просмотр старых событий<c>"""
Menu_Tanzaku#0,"""<c f0df60>Редактирование желания на Танзаку<c>"""
Menu_PosterBoard#0,"""<c f0df60>Можно установить постер. Пожалуйста, выберите плакат.<c>"""
Menu_PosterBoard_v#0,"""<c f0df60>Можно установить постер. Пожалуйста, выберите плакат.<c>"""
Title#3,"""Установка таймера"""
Menu_Select01#0,"""1 минута"""
Menu_Select02#0,"""3 минуты"""
Menu_Select03#0,"""5 минут"""
Menu_Cancel#0,"""Отмена"""
Info_SetTimer#0,"""Таймер установлен на: $(0):$(1):$(2) по серверному времени."""
Info_TimeUp#0,"""Прошло $(0) минут(а/ы)!"""
Info_ClockPickUp#0,"""Сейчас время: $(0):00 по JST."""
Cancel#0,"""Вернуться"""
ItemAdd#0,"""Добавить предмет"""
ItemDelete#0,"""Убрать предмет"""
MesetaEdit#0,"""Установить цену"""
PlayInfo_Title#0,"""Крутить Photogachan"""
PlayInfo#0,"""Желаете использовать $(0)<br>за одну прокрутку?<br>У вас в наличии $(1) месеты."""
GetItem#0,"""Вы получили: $(0)."""
ErrorItemMax#0,"""У вас не достаточно места для получения предмета."""
AddSetItem#0,"""Добавлено: $(0)."""
DeleteSetItem#0,"""Убрано: $(0)."""
EditMesetaInfo#0,"""Пожалуйста, установите цену для гачи.<br>※Нельзя сделать ниже минимальной цены.<br>(Цена с учётом налога: $(1)$(0))"""
Title_Check#1,"""Подтверждение гачи"""
Check_Title#0,"""Подтверждение"""
EmptyItem#0,"""Незарегистрированный"""
Check_AddItem_Message#0,"""Желаете добавить $(0) в гачу?"""
Check_Delete_Message#0,"""Желаете убрать $(0) с гачи?"""
AddIten_ResultMessage#0,"""$(0) добавлен в Photogachan.<br><br>Вы можете получать доход<br>с Photogachan. Для этого перейдите<br>в меню управления магазином<br>и подтвердите доход."""
DeleteIten_ResultMessage#0,"""Убрано: $(0)."""
GetIten_ResultTtile#0,"""Результат Photogachan"""
GetIten_ResultMessage#0,"""Вы получили: $(0)."""
MoveItem_Title#1,"""Информация"""
MoveItem_Message#1,"""Поскольку у вас много предметов,<br>предметы из Photogachan<br>отправились в ваше хранилище."""
Title#4,"""Установка на потолок"""
Title_Left#0,"""Очки"""
Title_Right#0,"""Товары для комнаты"""
MenuPoint1#0,"""1-я точка крепления"""
MenuPoint2#0,"""2-я точка крепления"""
MenuPoint3#0,"""3-я точка крепления"""
MenuPoint4#0,"""4-я точка крепления"""
None#0,"""Ничего"""
Select_Set#0,"""Установка крепления"""
Select_Delete#0,"""Убрать"""
Adaptive_Tune0#0,"""チューンA"""
Adaptive_Tune1#0,"""チューンB"""
Adaptive_Tune2#0,"""チューンC"""
Adaptive_Tune3#0,"""チューンD"""
Adaptive_Tune4#0,"""チューンE"""
Adaptive_Tune5#0,"""チューンF"""
Adaptive_Tune6#0,"""チューンG"""
Adaptive_Tune7#0,"""チューンH"""
Adaptive_Tune8#0,"""チューンI"""
Adaptive_Tune9#0,"""チューンJ"""
Adaptive_Tune10#0,"""チューンK"""
Adaptive_Tune11#0,"""チューンL"""
Adaptive_Tune12#0,"""チューンM"""
Adaptive_Tune13#0,"""チューンN"""
Adaptive_Tune14#0,"""チューンO"""
Adaptive_Tune15#0,"""チューンP"""
Adaptive_Tune16#0,"""チューンQ"""
Adaptive_Tune17#0,"""チューンR"""
Adaptive_Tune18#0,"""チューンS"""
Adaptive_Tune19#0,"""チューンT"""
Adaptive_Tune20#0,"""チューンU"""
Adaptive_Tune21#0,"""チューンV"""
Adaptive_Tune22#0,"""チューンW"""
Adaptive_Tune23#0,"""チューンX"""
Adaptive_Tune24#0,"""チューンY"""
Adaptive_Tune25#0,"""チューンZ"""
Entry_BGM#0,""" зарегистрировано."""
Empty_BGM#0,"""Нет зарегистрированных BGM"""
Tab_Category_0#0,"""0. Всё"""
Tab_Category_1#0,"""１．ファンタシースターオンライン"""
Tab_Category_2#0,"""２．ファンタシースターシリーズ"""
Tab_Category_3#0,"""３．セガコラボ"""
Tab_Category_4#0,"""4. Коллаборации"""
LayoutChangeCheckTitle#0,"""Смена планировки комнаты"""
LayoutChecge_MenuBase#0,"""Изменение на комнату: $(0)<pict Arcscash>"""
LayoutChecge_MenuBase2#0,"""Изменение на комнату: $(0)"""
LayoutChecge_Pattern_0#0,"""Мини-комната"""
LayoutChecge_Pattern_1#0,"""A"""
LayoutChecge_Pattern_2#0,"""B"""
LayoutChecge_CheckInfo#0,"""Этим самым вы измените планировку комнаты на:<br>「$(0)」.<br>Вы уверены?"""
LayoutChecge_IfMyRoom#0,"""Ваша комната на данный момент доступна для использования. Используйте терминал для изменения планировки."""
Info_Weight#0,"""Вес $(0) составляет $(1) кг."""
StrongBox_Input#0,"""Пожалуйста, введите пароль."""
StrongBox_PinCode#0,"""Установлен пароль: $(0)."""
StrongBox_PinCodeTitle#0,"""Подтверждение пароля"""
CashBox_Num4#0,"""4-я цифра"""
CashBox_Num5#0,"""5-я цифра"""
CashBox_Num6#0,"""6-я цифра"""
CashBox_Num7#0,"""7-я цифра"""
CashBox_Num8#0,"""8-я цифра"""
CashBox_Num9#0,"""9-я цифра"""
CashBox_InputNum#0,"""пожалуйста, введите установленный вами пароль.<br>Количество совпадений и число цифр будет отображаться в качестве подсказки."""
CashBox_ChangeDigit#0,"""Изменение настроек"""
SelectSP_Title#0,"""Выбор партнёра"""
SelectSP_Cancel#0,"""Назад"""
SetSP#0,"""Вызван(а): $(0)."""
Error_NotSP#0,"""Вы не можете вызвать партнёра<br>поддержки, поскольку у вас<br>такового нет."""
Dice_Text_Title#0,"""Редактирование сообщения"""
Enter#1,"""Подтвердить"""
Cancel#1,"""Отмена"""
DiceMenu_Title#0,"""Меню куба"""
DiceMenu_Play#0,"""Бросить куб"""
DiceMenu_Edit#0,"""Отред-ть сообщение"""
DiceMenu_Move#0,"""Переместить предметы"""
DiceMenu_Remove#0,"""Убрать"""
DiceMenu_Back#0,"""Назад"""
Shower_1_1#0,"""Низкое давление"""
Shower_1_2#0,"""Нормальное давление"""
Shower_1_3#0,"""Сильное давление"""
Shower_2_1#0,"""Холодно"""
Shower_2_2#0,"""Тепло"""
Shower_2_3#0,"""Горячо"""
ShowerTitle_1#0,"""Регулировка напора воды"""
ShowerTitle_2#0,"""Регулировка температуры воды"""
Timer_1#0,"""Сделать фото"""
Timer_2#0,"""Сделать фото через 5 секунд"""
Timer_3#0,"""Сделать фото через 10 секунд"""
Timer_4#0,"""Сделать фото через 15 секунд"""
Back#0,"""Назад"""
ErrorShootTitle#0,"""Ошибка стрельбы"""
ErrorShootMessage#0,"""Снимок сделан"""
ErrorSettingTitle#0,"""Ошибка стрельбы"""
ErrorSettingMessage#0,"""Снимок сделан, не удалось<br>изменить настройки."""
TimerTitle#0,"""Меню камеры"""
OrgelOn#0,"""Играет музыкальная шкатулка."""
OrgelOff#0,"""Музыкальная шкатулка перестала играть."""
KeyAssign#0,"""Атакуйте нажатием на <%NormalAttack>"""
PlayResult#0,"""Ваша дистанция: $(0)"""
PlayResultRecord#0,"""/toge Обновлён результат<br>лучшей дистанции.<br>Ваша дистанция: $(0)"""
PlayResultFailed#0,"""/moya Из-за возникшей ошибки<br>не удалось измерить<br>дистанцию."""
HighScoreExistRecord#0,"""Текущая лучшая дистанция: $(0)<br>Держателем лучшего рекорда<br>является $(1)"""
HighScoreEmptyRecord#0,"""Пока нет лучшего рекорда"""
HitEarly#0,"""Слишком рано"""
HitLate#0,"""Слишком поздно"""
Paper_Strips_Text_Title#0,"""Запишите ваше желание на Танзаку"""
Enter#2,"""Подтвердить"""
Cancel#2,"""Отменить"""
ColorPickerTitle#0,"""Настройки цвета"""
