Coin#0,"""Монет казино"""
RouletteNpc_Name#2,"""Зелёный лилипанец"""
RouletteNpc_ChanceSelectStart#5,"""チャンスマスを決定するよ"""
RouletteNpc_ChanceSelectEnd#5,"""チャンスマスが決定したわ"""
RouletteNpc_RouletteStart#5,"""Запустить рулетку!"""
RouletteNpc_BetStart#5,"""Пора делать ставки!"""
RouletteNpc_BetEndNearly#5,"""BETタイムが終了するよ"""
RouletteNpc_BetEnd#5,"""BETタイムが終了したわ"""
RouletteNpc_ChanceStart#5,"""$(0)よ！"""
RouletteNpc_BonusStart#5,"""$(0)に停止したわ！"""
RouletteNpc_RouletteEnd#5,"""ルーレット：結果は$(0)$(1)$(2)$(3)よ"""
RouletteNpc_ResultHit01#5,"""$(0)が<br>$(1)枚当てたわ！"""
RouletteNpc_ResultHit02#5,"""$(0)枚、当てた人が$(1)人よ！"""
RouletteNpc_ResultNoHit01#5,"""お祈りが足りなかったわ"""
RouletteNpc_ResultNoHit02#5,"""次こそ、神の祝福があるわ"""
RouletteNpc_ResultNoHit03#5,"""まだ、神に見放されていないわ"""
RouletteNpc_Response01#5,"""ステキよ！"""
RouletteNpc_Response02#5,"""カッコいいわ！"""
RouletteNpc_TalkOne01#5,"""色賭けが一番当てやすいよ"""
RouletteNpc_TalkOne02#5,"""クラッシュだけは出て欲しくないわ"""
RouletteNpc_TalkOne03#5,"""BETは１箇所に１００枚迄よ"""
RouletteNpc_TalkOne04#5,"""BETは最大２箇所迄よ"""
RouletteNpc_TalkOne05#5,"""BETタイム中はBETのキャンセルができるわ"""
RouletteNpc_TalkOne06#5,"""過去の履歴が参考になるわ"""
RouletteNpc_TalkOne07#5,"""当たるように祈りを捧げるわ"""
RouletteNpc_TalkOne08#5,"""運を味方にするのよ"""
RouletteNpc_TalkOne09#5,"""欲の出し過ぎは良くないわ"""
RouletteNpc_TalkOne10#5,"""クラッシュだけは出て欲しくないわ"""
RouletteNpc_ChanceResponse01#5,"""チャンスルーレットよ！"""
RouletteNpc_ChanceResponse02#5,"""祈りましょう"""
RouletteNpc_Explosion#5,"""いやあぁぁぁぁ！"""
BlackjackFullScreenTitle#0,"""Блэк Няк"""
BlackjackGide#0,"""<c f0df60>Играем в Блэк Няк.<c>"""
BlackjackTitle#0,"""Блэк Няк"""
BlackjackMenuItem#0,"""$(0) <pict AmusementCoin> за игру"""
BlackjackBasicInfoTitle#0,"""Информация о Блэк Няке"""
BlackjackBasicInfoHead#0,"""Базовая информация"""
BlackjackBasicInfoRate#0,"""Первая ставка: $(0) <pict AmusementCoin>"""
BlackjackBasicInfoCoinNum#0,"""(У вас <pict AmusementCoin>: $(0))"""
BlackjackBasicInfoSeatColor#0,"""Цвет сидения"""
BlackjackMenuMessage#0,"""За партию в Блэк Няк<br>нужно заплатить $(0) <pict AmusementCoin>.<br>Продолжить?<br><br>(У вас <pict AmusementCoin>: $(1))<br><br>Когда ставка сделана, монеты казино<br>не возвращаются."""
Help_00#1,"""Изменить выражение лица"""
Help_01#1,"""Изменить угол"""
Help_02#1,"""Информация о выигрыше"""
Help_02a#0,"""Показать общий счёт"""
Help_02b#0,"""Не показывать общий счёт"""
Help_03#1,"""Ещё (взять карту)"""
Help_04#1,"""Хватит (не брать карту)"""
Help_05#0,"""Бросить кубы"""
Help_06#0,"""Ещё"""
Help_07#0,"""Хватит"""
Help_08#0,"""Удвоить ставку"""
Help_09#0,"""Выйти"""
Help_20#0,"""Чат"""
Help_10#1,"""Клавища [←]"""
Help_10a#1,"""<pict Alpha_LEFT>"""
Help_10b#1,"""<pict Sign_LEFT>"""
Help_10c#1,"""<pict Number_LEFT>"""
Help_11#1,"""Клавиши [↑][↓]"""
Help_11a#0,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_11b#0,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_11c#0,"""<pict Number_UP><pict Number_DOWN>"""
Help_12#1,"""Клавиша [←]"""
Help_12a#1,"""<pict Alpha_LEFT>"""
Help_12b#1,"""<pict Sign_LEFT>"""
Help_12c#1,"""<pict Number_LEFT>"""
Help_13#1,"""<%Decide>"""
Help_14#1,"""<%Cancel>"""
Help_15#0,"""[ENTER]"""
Help_16#0,"""<%MultiSelect>"""
Help_19#0,"""[Esc]"""
Help_19b#0,"""<%MainMenu>"""
Help_40#0,"""<%SelectMenu>"""
WinCoin#0,"""Выигрыш: $(0)<pict AmusementCoin>"""
BlackjackActionTitle#0,"""Ваш ход"""
BlackjackHitTitle#0,"""Подтверждение"""
BlackjackHitMessage#0,"""Взять карту?"""
BlackjackStayTitle#0,"""Подтверждение"""
BlackjackStayMessage#0,"""Не брать карту?"""
BlackjackDoubleDownTitle#0,"""Подтверждение"""
BlackjackDoubleDownMessage#0,"""Удвоить ставку?<br>Ваша ставка <pict AmusementCoin> будет удвоена,<br>вы получите одну карту<br>и передадите ход."""
BlackjackEndGameTitle#0,"""Подтверждение выхода из Блэк Няка"""
BlackjackEndGameMessage#0,"""Вы выйдете из игры Блэк Няк.<br>Ставки не будут возвращены.<br>Продолжить?"""
BlackjackResultWinTitle#0,"""ВЫ ПОБЕДИЛИ"""
BlackjackResultLoseTitle#0,"""ВЫ ПРОИГРАЛИ"""
BlackjackResultDrawTitle#0,"""НИЧЬЯ"""
BlackjackResultWinInfo1#0,"""ТРИ SP"""
BlackjackResultWinInfo2#0,"""5 КАРТ"""
BlackjackResultWinInfo3#0,"""СТАВКА УДВОЕНА"""
BlackjackResultWinInfo4#0,"""SP В РУКЕ"""
BlackjackResultWinInfo5#0,"""НЯУ-ШАНС"""
BlackjackResultWinInfo6#0,"""БЛЭК НЯК"""
BlackjackResultWinInfo7#0,"""ВЫ ПОБЕДИЛИ"""
BlackjackResultWinInfo8#0,"""SP $(0)$(1)"""
BlackjackResultWinInfo9#0,"""БОНУС"""
BlackjackResultHyphen#0,"""--"""
BlackjackResultMultiply#0,"""×"""
BlackjackResultLoseInfo1#0,"""Ставка ушла"""
BlackjackResultDrawInfo1#0,"""Ставка возвращена"""
BlackjackContinueTitle#0,"""Итоги Блэк Няка"""
AcquisitionCC#0,"""<pict AmusementCoin> получено"""
PossessionCC#0,"""У вас <pict AmusementCoin>"""
BlackjackContinueMessage#0,"""Желаете продолжить играть в Блэк Няк?"""
cc_with_icon#1,"""$(0)<pict AmusementCoin>"""
cc_with_bet#0,"""СТАВКА $(0)"""
BlackjackBonusMessage#0,"""<c ffff00>Боевой боняс!<br>Бонус за самую сильную руку!<c>"""
BlackjackWaitGameMessage#0,"""Текущая игра ещё не окончена.<br>Пожалуйста, подождите немного."""
CampaignText#3,"""Повышена вероятность боевого боняса!<br>Увеличена награда за боевой боняс!"""
SuperCampaignText#3,"""<yellow>Супер-усиление<c> множителя боевого боняса!<br><yellow>Супер-повышение<c> награды за боевой боняс!"""
title_slot#1,"""Акума слотс"""
2gide_slot#1,"""<c f0df60>アークマスロットを遊ぶことができます。<c>"""
content_slot#1,"""Акума слотс"""
bet_maisu#1,"""Размер ставки"""
Coin#2,"""Монеты казино"""
slot_tonyu#1,"""Менять ставку"""
slot_help#1,"""Менять ставк\u3000\u3000\u3000\u3000\u3000/← →<br>Старт\u3000\u3000\u3000/Enter<br>Получить награду/Esc<br>Посмотреть список\u3000/End<br>Помощь\u3000\u3000\u3000\u3000/Home"""
slot_haitohyo#1,"""О выигрыше"""
SlotInfo#1,"""Базовая информация"""
WaveAverageTitle#0,"""Средняя достигнутая стадия"""
SlotBonus#1,"""Кол-во бонусных побед"""
SlotMeter#1,"""Акума-шкала"""
SlotJackpot#1,"""ДЖЕКПОТ"""
SlotMenuPlay#1,"""Играть"""
SlotMenuBack#1,"""Вернуться"""
SlotMenuExplanation#0,"""Посмотреть описание"""
SlotMenuTitle#1,"""Информация об Акума слотс"""
BasicInfo#1,"""1 игра $(0)<pict AmusementCoin>"""
WaveAverage#0,"""Стадия $(0)"""
BonusNum#1,"""$(0) раз(а)"""
EndConfirmTitle#1,"""Информация о выигрыше"""
EndConfirm#1,"""Выйти из Акума слотс и вывести ваш выигрыш?"""
CoinNum#1,"""$(0)<pict AmusementCoin>"""
InfoCoinNum#1,"""x $(0)"""
InfoStr00#1,"""+ бонусная игра"""
InfoStr01#1,"""+1 к шкале"""
InfoCoin_01#1,"""x 100"""
InfoCoin_02#1,"""x 30"""
InfoCoin_03#1,"""x 15"""
InfoCoin_04#1,"""x 10"""
InfoCoin_05#1,"""x 8"""
InfoCoin_06#1,"""x 5"""
InfoCoin_07#1,"""x 3"""
Help_00#2,"""Ставка"""
Help_01#2,"""Старт"""
Help_02#2,"""Комбинации"""
Help_03#2,"""Вывести выигрыш"""
Help_04#2,"""Чат"""
Help_05#1,"""Выбрать"""
Help_06#1,"""Подтвердить"""
Help_07#1,"""Акумами"""
Help_10#2,"""Клавиши [↑][↓]"""
Help_10a#2,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_10b#2,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_10c#2,"""<pict Number_UP><pict Number_DOWN>"""
Help_11#2,"""<%Decide>"""
Help_12#2,"""Клавиши [←][End]"""
Help_12a#2,"""<pict Alpha_LEFT>"""
Help_12b#2,"""<pict Sign_LEFT>"""
Help_12c#2,"""<pict Number_LEFT>"""
Help_13#2,"""<%Cancel>/[ESC]"""
Help_13a#1,"""<%Cancel>"""
Help_14#2,"""<pict Sign_SELECT>"""
Help_14a#1,"""<pict Sign_START>"""
Help_15#1,"""[↑][↓][←][→]"""
Help_15a#0,"""<pict Alpha_UP><pict Alpha_DOWN><pict Alpha_LEFT><pict Alpha_RIGHT>"""
Help_15b#0,"""<pict Sign_UP><pict Sign_DOWN><pict Sign_LEFT><pict Sign_RIGHT>"""
Help_15c#0,"""<pict Number_UP><pict Number_DOWN><pict Number_LEFT><pict Number_RIGHT>"""
Help_16#1,"""<%MultiSelect>"""
SlotInitMsg#1,"""-,---,---"""
NoCoinTitle#1,"""Ошибка монет казино"""
NoCoinMessage#1,"""У вас недостаточно монет казино."""
PlayCountLimit#0,"""本日のプレイ可能数を超えています。<br>（毎日朝５時にリセットされます）"""
PushButtonToPlay#0,"""<%Decide>でスロットを回します。"""
PushKeyToSelect#0,"""$(0)で選択します。"""
WaitLongMsg#1,"""一定時間アークマスロットがプレイされなかったため退席しました。"""
CampaignText#4,"""通常ゲーム図柄払い出し150％UP"""
SuperCampaignText#4,"""通常ゲーム図柄払い出し<yellow>200％UP！<c>"""
ArkumaBetWindowTitle#0,"""アークマスロットBET確認"""
ArkumaBetWindowText2#0,"""$(0)<pict AmusementCoin>でアークマスロットを遊びます。<br>よろしいですか？<br><br>※あと<yellow>$(2)回<c>プレイすることができます。<br>※プレイ可能数は毎日朝５時にリセットされます。<br><br>（所持<pict AmusementCoin>：$(1)）"""
ArkumaBetWindowMenuText#0,"""$(0)でプレイ"""
ArkumaBetWindowButtonText#0,"""Выход"""
ArkumaResultTitle#0,"""Итоги Акума слотс"""
AcquisitionCC#1,"""Получено <pict AmusementCoin>"""
PossessionCC#1,"""У вас <pict AmusementCoin>"""
ArkumaRateNumberText#0,"""$(0)%"""
ArkumaPointPlusCoinText#0,"""$(0) + $(1)"""
toast_auto_exit#0,"""一定時間アークマスロットがプレイされなかったため退席しました。"""
toast_no_coin#0,"""У вас недостаточно монет казино."""
ArkumaLiquidationTitle#0,"""Подтверждение вывода монет"""
ArkumaLiquidationText#0,"""獲得したコインを精算して、<br>今回のプレイを終了します。<br>よろしいですか？"""
bubbleStartGame#0,"""準備はよろしいでしょうか？<br>それでは宇宙の果てまで参りましょう。"""
bubbleRest1#0,"""順調な滑り出しですわ。<br>この調子でお進みくださいませ。"""
bubbleRest2#0,"""目的地までは、あと１０ステージです。<br>この調子で参りましょう。"""
bubbleRest3#0,"""目的地まで、残り５ステージですわ。<br>ゴールは目前です、ご武運を。"""
bubbleHitSpecialPanels#0,"""ダークファルスの反応がございます。<br>ご注意くださいませ。"""
bubbleToBattleBonus#0,"""攻撃を防ぐ偽物がいるようです。<br>本物を見つけだし、攻撃くださいませ。"""
bubbleToElderBonus#0,"""ダークファルスが現れました。<br>御身の全てを賭けた一撃を！"""
bubbleWinBattle#0,"""作戦は上手くいきましたね。<br>わたくしたちの勝利でございます。"""
bubbleLoseBattle#0,"""被害が甚大でございます……<br>残念ですが、ここまでですわ。"""
bubbleWinElder1#0,"""おめでとうございます。<br>素晴らしい成果でございましょう！"""
bubbleWinElder2#0,"""大変素晴らしい成果ですわ！<br>大当たりでございます。"""
bubbleWinElder3#0,"""歴史に残る成果です！<br>この時に立ち会えたことを<br>わたくしは光栄に思いますわ。"""
wave_average#0,"""Вы достигли текущей средней стадии"""
slot2_result#0,"""Итоги Акума слотс"""
playable_number#0,"""プレイ可能数"""
reset#0,"""<yellow>※Сброс ежедневно в 05:00 JST.<c>"""
player_info#0,"""本日のプレイ可能数 （現在/最大）"""
toast_no_playable#0,"""本日のプレイ可能数を超えています。"""
