r01_gd_flo_wi#0,"""Fuwan"""
SwordPA04#1,"""“大剣（ソード）”用のフォトンアーツ。<br>勢いよく斬り下ろし、敵を両断する。<br>チャージすることで攻撃範囲が拡大し、威力が上昇する。"""
WlancePA04#1,"""“自在槍（ワイヤードランス）”用のフォトンアーツ。<br>刃をエネミーに突き刺すと、大きく飛び上がり、<br>その勢いを利用した叩きつけ攻撃を行う。<br>チャージすることで攻撃の挙動が変化する。<br>チャージ中、受けるダメージを軽減し、<br>打ち上げや吹き飛ばしを防ぐ状態になり、<br>エネミーの攻撃を２回受けると、<br>自動的にチャージを完了して発動する。"""
PartisanPA04#1,"""“長槍（パルチザン）”用のフォトンアーツ。<br>斬り上げ、刺突、薙ぎ払いの３連撃を繰り出す。"""
TdaggerPA04#1,"""“双小剣（ツインダガー）”用のフォトンアーツ。<br>刃をエネミーに突き刺し、斬撃を放った後、<br>武器を投げて周囲のエネミーを攻撃する。"""
DsaberPA04#1,"""“両剣（ダブルセイバー）”用のフォトンアーツ。<br>飛び上がって回転斬りをした後、<br>フォトンをまとわせた武器を叩きつける。<br>発動時に、カマイタチが発生する。"""
KnucklePA04#1,"""“鋼拳（ナックル）”用のフォトンアーツ。<br>素早い動きでエネミーの攻撃を無効化した後、<br>一撃必倒の裏拳を対象に叩き込む。<br>無効化に成功すると、威力が上昇する。"""
RiflePA04#1,"""“長銃（アサルトライフル）”用のフォトンアーツ。<br>一定の位置に対して強力な爆撃を放つ。<br>長押ししている間、着弾位置が表示され、<br>PAボタンを離すと攻撃を行う。"""
MachinegunPA04#1,"""“双機銃（ツインマシンガン）”用のフォトンアーツ。<br>華麗に舞いながら、前方に跳ね返る弾丸を放つ。<br>チャージすることで、威力が上昇する。"""
KatanaPA04#1,"""“抜剣（カタナ）”用のフォトンアーツ。<br>高速で目標を斬り抜ける。<br>連続して発動すると、挙動が変化する。"""
CompoundBowPA04#1,"""“強弓（バレットボウ）”用のフォトンアーツ。<br>大きく移動しながら、前方に矢を放つ。<br>チャージすることで、<br>フォトンでできた弓矢との連続攻撃に変化する。"""
JetBootsPA04#1,"""“魔装脚（ジェットブーツ）”用のフォトンアーツ。<br>素早くエネミーに接近し、強力な蹴撃を見舞う。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>一定回数ダメージを与えるフォトンの刃を、<br>自分の周囲に展開する。"""
DbladePA04#1,"""“飛翔剣（デュアルブレード）”用のフォトンアーツ。<br>連撃とともに巨大な衝撃波を放つ。<br>発動中にもう一度PAボタンを押すことで、<br>攻撃の挙動が変化する。"""
TaktPA01#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“フレドラン”を呼び出し、<br>前方に貫通するブレスを放つ。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>視界に捉えた複数のエネミーにブレスを放つ。"""
TaktPA02#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“フレドラン”を呼び出し、<br>エネミーに真空波を放つ。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>ボタンを押している間、フレドランに乗って飛行する。<br>その状態からボタンを離すと、フレドランから降り、<br>フレドラン自身はエネミーに向かって突撃する。"""
TaktPA03#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“ヴォルファー”を呼び出し、<br>衝撃波を起こした後、両腕を叩きつけて周囲を攻撃する。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>チャージ可能な攻撃に変化する。<br>チャージしない場合は、<br>一定時間その場に残る衝撃波を発生させる。<br>チャージした場合は、前方に強力な一撃を放つ。"""
TaktPA04#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“ヴォルファー”を呼び出し、<br>前方に突撃した後、アッパーを放つ。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>前方に連続攻撃をくりだす。"""
GunslashPA01#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>前方を斬りつけた後、近距離でフォトン弾を放つ。<br>方向入力を行いながら発動すると、挙動が変化し、<br>高速で敵に接近、刺突攻撃を行った後、<br>近距離でフォトン弾を放つ。"""
GunslashPA02#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>前方に連続斬りを繰り出す。<br>連続して発動すると、強力な攻撃に変化する。<br>方向入力を行いながら発動すると、挙動が変化し、<br>移動しながら周囲に攻撃を行う。"""
GunslashPA03#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>フォトンの爆弾を放り投げ、爆発とともに後退する。<br>方向入力を行いながら発動すると、攻撃の挙動が変化し、<br>前方にフォトンの爆弾を蹴り飛ばす。<br>爆弾は一定距離を飛んだ後、爆発する。"""
GunslashPA04#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>武器を地面に突き刺して、周囲に衝撃波を放つ。<br>空中にいる時は高速で落下し、<br>着地時に攻撃が発動する。<br>方向入力を行いながら発動すると、挙動が変化し、<br>上昇しながら周囲に攻撃を行う。"""
RiflePA01#1,"""Rifle Photon Art.<br>Load and fire a piercing shot. Slow firing rate, but high power."""
LauncherPA04#1,"""“大砲（ランチャー）”用のフォトンアーツ。<br>前方に爆風を浴びせ、反動によって後退する。<br>２段階までチャージでき、<br>チャージすることで、<br>強力なグレネード弾を発射する挙動に変化する。<br>グレネード弾はチャージ段階に応じて強化される。"""
TypeNon#0,"""None"""
TypeNoUse#0,"""Activate Photon Blast"""
Type1_1#0,"""Helix Proi """
Type1_2#0,"""Helix Imera """
Type1_3#0,"""Helix Nykta """
Type2_1#0,"""Ajax Proi """
Type2_2#0,"""Ajax Imera """
Type2_3#0,"""Ajax Nykta """
Type3_1#0,"""Ketos Proi """
Type3_2#0,"""Ketos Imera """
Type3_3#0,"""Ketos Nykta """
Type4_1#0,"""Julius Proi """
Type4_2#0,"""Julius Imera """
Type4_3#0,"""Julius Nykta """
Type5_1#0,"""Ilios Proi """
Type5_2#0,"""Ilios Imera """
Type5_3#0,"""Ilios Nykta """
TypeNon#1,"""None"""
TypeNoUse#1,"""You cannot currently use a Photon Blast.<br>Please equip a Mag that has learned a Photon Blast."""
Type1_1#1,"""A Helix-type avatar with<br>piercing strength.<br>Gathers Photons to charge<br>at its target."""
Type1_2#1,"""A Helix-type avatar with<br>piercing strength.<br>Approaches its target, then<br>releases a powerful shock around it."""
Type1_3#1,"""A Helix-type avatar with<br>piercing strength.<br>Releases a barrage of horn attacks,<br>then vivaciously tramples its target."""
Type2_1#1,"""An Ajax-type avatar with<br>unyielding strength. Attacks with<br>a bombardment of explosive bullets,<br>annihilating anything in front of it."""
Type2_2#1,"""An Ajax-type avatar with<br>unyielding strength.<br>Fires off a Photon Maser from its<br>head, descending on targets like hail."""
Type2_3#1,"""An Ajax-type avatar with<br>unyielding strength. Scatters phoenix<br>wings each with their own will, turning<br>into bullets piercing their target."""
Type3_1#1,"""A Ketos-type avatar with<br>perplexing strength. Reaches out<br>to the Photons in the atmosphere<br>around, boosting PP regeneration."""
Type3_2#1,"""A Ketos-type avatar with<br>perplexing strength.<br>Executes a concentrated laser shot<br>of condensed Photons to the front."""
Type3_3#1,"""A Ketos-type avatar with<br>perplexing strength. Swims around in<br>space, charging the Photons around<br>it, causing many lightning bolts."""
Type4_1#1,"""A Julius-type avatar with<br>unwavering strength.<br>Warps in close to the target and<br>attacks multiple times with its arms."""
Type4_2#1,"""A Julius-type avatar with<br>unwavering strength.<br>Jams down its thorn-like horn,<br>slaying its target without fail."""
Type4_3#1,"""A Julius-type avatar with<br>unwavering strength. Concentrates<br>a super-gravitational field on its<br>target area, then implodes it."""
Type5_1#1,"""An Ilios-type avatar with<br>resolute strength. Supplements<br>your attacks by performing<br>additional strikes on your main target."""
Type5_2#1,"""An Ilios-type avatar with<br>resolute strength. Slices the air with<br>its huge sword, sending a wave<br>of energy at your main target."""
Type5_3#1,"""An Ilios-type avatar with<br>resolute strength. Calls down<br>ruthless punishment from beyond<br>the void on your target."""
PetPALearn#0,"""Your $(1) has learned $(0)."""
PetPALevelUp#0,"""The level of your $(2)'s $(1) has increased to $(0)."""
PetUnequipped#0,"""No pet equipped to this takt."""
Npc_7001#0,"""Manon"""
Npc_7002#0,"""Aina"""
Npc_7003#0,"""Garoa"""
Npc_7004#0,"""Crawford"""
Npc_7005#0,"""Bruder"""
Npc_7006#0,"""Ran"""
Npc_7007#0,"""Liu Lin"""
Npc_7008#0,"""Rossa"""
Npc_7009#0,"""Oranje"""
Npc_7010#0,"""Nadereh"""
Npc_7011#0,"""タイヴァス"""
Npc_7012#0,"""トゥーリ"""
Npc_7013#0,"""イルマ"""
Npc_7014#0,"""クッカ"""
Npc_7015#0,"""メリ"""
Npc_7016#0,"""グレン"""
Npc_7017#0,"""Hadi"""
Npc_7018#0,"""Jalil"""
Npc_7019#0,"""Mohsen"""
Npc_7022#0,"""カヌイ"""
Npc_7023#0,"""ノロシ"""
Npc_7025#0,"""ゼフェット"""
Npc_7026#0,"""ファリア"""
Npc_7027#0,"""リクール"""
Npc_7028#0,"""ルカ"""
AutorunToast1#0,"""Auto-Run activated."""
Toast_Defend#0,"""Due to a difference in levels, your damage will be reduced."""
Toast_Defend_CombatPoint#0,"""戦闘力が不足しているため、与えるダメージが減少します。（必要戦闘力：$(0)以上）"""
MoonAtmizerToYou#0,"""used an item to revive you!"""
ResurrectToYou#0,"""has revived you."""
<GatlingGun>EquippingEnd#0,"""Arms Release"""
<GatlingGun>AttackGun#0,"""Rapid Fire"""
<GatlingGun>AttackRailgun#0,"""Charge Blaster"""
<GatlingGun>AttackJet#0,"""Boost Glider"""
HealTankRecast#0,"""Resta Sign"""
RecoveryMoonAtomizerRecast#0,"""Reverser Sign"""
RideTimeAlert1#0,"""<yellow>Remaining Ride Time: $(0) sec.<c>"""
RideTimeAlert2#0,"""<red>Remaining Ride Time: $(0) sec.<c>"""
<Throw>EquippingEnd#0,"""解除"""
SnowBoard:GetOff#0,"""兵装解除"""
<GatlingGun>AttackMissile#0,"""マルチロックミサイル"""
<GatlingGun>JumpingDodge#0,"""ウルトラハイジャンプ"""
<GatlingGun>ParticleCannon#0,"""ハイパーブラスター"""
<Throw>EquippingEndMovement#0,"""解除"""
<Halloween>PowerBoost#0,"""バレットブースト"""
SwordAttack#0,"""Sword's Normal Attack.<br>Swing your blade for a 3-stage combo."""
SwordWeaponAction#0,"""Sword's Weapon Action.<br>Hold up your blade to Guard against attacks from the front.<br>Hold the button to keep your Guard up. When hit, damage taken is reduced at the cost of some PP.<br>If used just before you get hit, becomes a Just Guard, nullifying all damage at no PP cost."""
PartisanAttack#0,"""Partizan's Normal Attack.<br>Swing your spear for a 3-stage combo."""
PartisanWeaponAction#0,"""Partizan's Weapon Action.<br>Ready your spear to Guard against attacks from all directions."""
WLanceAttack#0,"""Wired Lances' Normal Attack.<br>Swing your wires for a 3-stage combo."""
WLanceWeaponAction#0,"""Wired Lances' Weapon Action.<br>Throw out your wires and impale the enemy. If you successfully impale an enemy, you will pull yourself towards it."""
KnuckleAttack#0,"""Knuckles' Normal Attack.<br>Strike with your fists for a 3-stage combo."""
KnuckleWeaponAction#0,"""Knuckles' Weapon Action.<br>Evade attacks with a high-speed motion."""
TDaggerAttack#0,"""Twin Daggers' Normal Attack.<br>Slash with your daggers for a 3-stage combo."""
TDaggerWeaponAction#0,"""Twin Daggers' Weapon Action.<br>Ready your daggers to Guard against attacks from all directions."""
DSaberAttack#0,"""Double Saber's Normal Attack.<br>Swing your saber for a 3-stage combo."""
DSaberWeaponAction#0,"""Double Saber's Weapon Action.<br>Ready your saber to Guard against attacks from all directions."""
LauncherAttack#0,"""Launcher's Normal Attack.<br>Fire an explosive shot.<br>Charge to fire a spread of shots that covers a wide area."""
LauncherWeaponAction#0,"""Launcher's Weapon Action.<br>Attaches a sticky bomb to an enemy, which detonates after a fixed time.<br>Hitting the stuck enemy before it explodes makes the explosion recover PP."""
RifleAttack#0,"""Assault Rifle's Normal Attack.<br>Open fire on the enemy.<br>Hold the button to continuously fire shots."""
RifleWeaponAction#0,"""Assault Rifle's Weapon Action.<br>Fire rapidly while moving at high speed."""
TMachineGunAttack#0,"""Twin Machineguns' Normal Attack.<br>Open fire for a 3-stage combo."""
TMachineGunWeaponAction#0,"""Twin Machineguns' Weapon Action.<br>Evade attacks while moving.<br>Press the Normal Attack button to shoot while evading."""
TalisAttack#0,"""Talis's Normal Attack.<br>Throw the Talis for a 3-stage combo."""
TalisWeaponAction#0,"""Talis's Weapon Action.<br>Set up a floating pillbox turret that fires Photon Bullets at regular intervals."""
WandAttack#0,"""Wand's Normal Attack.<br>Swing your wand for a 3-stage combo."""
WandWeaponAction#0,"""Wand's Weapon Action.<br>Ready your wand to Guard against attacks from all directions."""
RodAttack#0,"""Rod's Normal Attack.<br>Launch Photon Bullets for a 3-stage combo."""
RodWeaponAction#0,"""Rod's Weapon Action.<br>Generate a barrier to Guard against attacks from all directions.<br>Successfully Guarding against an attack recovers PP."""
KatanaAttack#0,"""Katana's Normal Attack.<br>Draw your blade and strike.<br>Then again, and then once more.<br>A three-stage attack."""
KatanaWeaponAction#0,"""Katana's Weapon Action.<br>Hold up your sheathed blade to Guard against attacks from the front.<br>Hold the button to keep your Guard up. When hit, damage taken is reduced at the cost of some PP.<br>If used just before you get hit, becomes a Just Guard, nullifying all damage at no PP cost."""
CompoundBowAttack#0,"""Bullet Bow's Normal Attack.<br>Fire an arrow at the enemy.<br>Charge to fire an explosive arrow that damages an area around the impact."""
CompoundBowWeaponAction#0,"""Bullet Bow's Weapon Action.<br>Evade attacks with a high-speed motion."""
JBootsAttack#0,"""Jet Boots' Normal Attack.<br>Kick with your feet for a 3-stage combo."""
JetBootsWeaponAction#0,"""Jet Boots' Weapon Action.<br>Evade attacks with a high-speed motion."""
DBladeAttack#0,"""Dual Blades' Normal Attack.<br>Swing your blades for a 3-stage combo."""
DBladeWeaponAction#0,"""Dual Blades' Weapon Action.<br>Attack by throwing Photon Blades.<br>Hold the button to throw blades continuously.<br>You can move freely while throwing blades."""
TaktAttack#0,"""“奏具（タクト）”用の通常攻撃。<br>奏具を振り、フォトンを弾けさせ、<br>最大３段の攻撃を行う。<br>通常攻撃ボタンを長押しすることで、<br>攻撃の挙動が変化する。"""
TaktWeaponAction#0,"""“奏具（タクト）”用の武器アクション。<br>ファミリア“マルメロ”を呼び出し、<br>周囲からの攻撃を弾く。"""
GunSlashAttack#0,"""“銃剣（ガンスラッシュ）”用の通常攻撃。<br>フォトン弾を放ち、最大３段の攻撃を行う。<br>１段目で長押しすることで、２段階までチャージでき、<br>それぞれ攻撃の挙動が変化する。<br>チャージの１段階目は５連射攻撃を行い、<br>２段階目は強力なフォトン弾を放つ。"""
GunSlashWeaponAction#0,"""“銃剣（ガンスラッシュ）”用の武器アクション。<br>銃剣を振りながら、最大３段の斬撃を行う。<br>攻撃を受ける直前に行うことで、<br>周囲からの攻撃を弾く。"""
ClassNGS#0,"""クラス"""
MainNGS#0,"""メインクラス"""
SubNGS#0,"""サブクラス"""
NoneNGS#0,"""なし"""
JobNGS_00#0,"""ハンター"""
JobNGS_01#0,"""レンジャー"""
JobNGS_02#0,"""フォース"""
JobNGS_03#0,"""ファイター"""
JobNGS_04#0,"""ガンナー"""
JobNGS_05#0,"""テクター"""
JobNGS_06#0,"""ブレイバー"""
JobNGS_07#0,"""バウンサー"""
JobNGS_08#0,"""チャレンジャー"""
JobNGS_09#0,"""ウェイカー"""
JobNGS_10#0,"""バトルウォリアー"""
JobNGS_11#0,"""スレイヤー"""
JobNGS_12#0,"""ファントム"""
JobNGS_13#0,"""エトワール"""
JobNGS_14#0,"""スレイヤー"""
AllNGS#0,"""全クラス"""
Common_RangeExtendPP#0,"""攻撃範囲拡大<br>消費PP<yellow>$(0)<c>"""
Common_LongChargeAtp#0,"""チャージ時威力<yellow>$(0)<c><br>チャージ時間<yellow>$(1)<c>"""
Common_AtkSpeedAtp#0,"""攻撃速度上昇<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Common_ParryingPaAtp#0,"""ハンターアーツアヴェンジ発動時威力<yellow>$(0)<c><br>ハンターアーツアヴェンジ非発動時威力<yellow>$(1)<c>"""
Common_DownAtp#0,"""ダウン中のエネミーへの威力<yellow>$(0)<c><br>非ダウン中のエネミーへの威力<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
Common_ArmorPP#0,"""PA発動中に打ち上げや吹き飛ばし無効<br>被ダメージ<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Common_GearGuagePP#0,"""ギアゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Rifle_SpreadShotGuagePP#0,"""スプレッドショットのゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Machinegun_InfinityFireGuagePP#0,"""ヘイルオブバレッツのゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Katana_PAComboAtpPP#0,"""PA1段目威力<yellow>$(0)<c><br>PA2段目威力<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
Wand_ElementPursuitGuagePP#0,"""ウォンドエレメントパスートの<br>ゲージ蓄積効果追加<br>消費PP<yellow>$(0)<c>"""
Technic_DownRateMixTechPP#0,"""属性ダウン値<yellow>$(0)<c><br>複合属性テクニックのゲージ蓄積量<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
WlancePA03_Pattern2#0,"""攻撃範囲拡大<br>距離による威力上昇が常に最大<br>消費PP<yellow>$(0)<c>"""
PartisanPA02_Pattern2#0,"""フィニッシュ攻撃の威力上昇／攻撃範囲拡大<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
PartisanPA02_Pattern3#0,"""一定時間PAボタン長押しで威力上昇／攻撃速度上昇<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
TdaggerPA02_Pattern2#0,"""PA前半部分の前進距離増加<br>PA後半部分の後退無効化／衝撃波の射程距離延長<br>消費PP<yellow>$(0)<c>"""
TdaggerPA02_Pattern3#0,"""直後に発動する<br>アクセルドライブ威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
DsaberPA03_Pattern3#0,"""竜巻の攻撃持続時間延長<br>竜巻の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
KatanaPA03_Pattern2#0,"""ブレイブコンバット中の攻撃速度上昇／PA威力<yellow>$(0)<c><br>フィニッシュプライズのヒットカウント数<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
RiflePA03_Pattern2#0,"""PAボタン長押し中の威力上昇／弾丸がエネミーを追尾<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
RiflePA03_Pattern3#0,"""フィニッシュ攻撃の威力上昇／攻撃範囲拡大<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
LauncherPA01_Pattern2#0,"""爆発弾の弾数増加<br>爆発弾の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
LauncherPA01_Pattern3#0,"""爆発弾ヒット中のエネミーへのランチャーPA威力<yellow>$(0)<c><br>爆発弾の落下間隔延長<br>PA威力<yellow>$(1)<c>／消費PP<yellow>$(2)<c>"""
CompoundBowPA03_Pattern1#0,"""非チャージ時の攻撃範囲拡大<br>消費PP<yellow>$(0)<c>"""
CompoundBowPA03_Pattern2#0,"""非チャージ時の攻撃持続時間延長<br>非チャージ時の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
CompoundBowPA03_Pattern3#0,"""チャージ時の弓矢ストック数<yellow>$(0)<c><br>チャージ時の1ヒット毎の威力<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
DbladePA02_Pattern1#0,"""PA発動中に打ち上げや吹き飛ばし無効<br>ピニオンブレードのゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
DbladePA02_Pattern3#0,"""派生前攻撃の速度上昇<br>派生前攻撃の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
JetBootsPA03_Pattern2#0,"""衝撃波の攻撃持続時間延長<br>衝撃波の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
JetBootsPA03_Pattern3#0,"""PA発動後に通常攻撃ボタンを押すことで<br>スラストドライブ発動可能<br>消費PP<yellow>$(0)<c>"""
TaktPA04_Pattern3#0,"""非派生攻撃時にトレブルクリフマーキングの<br>マーカー蓄積効果追加<br>消費PP<yellow>$(0)<c>"""
GunslashPA04_Pattern2#0,"""方向入力時の攻撃範囲拡大／上昇距離増加<br>消費PP<yellow>$(0)<c>"""
GunslashPA04_Pattern3#0,"""非方向入力時の衝撃波が持続攻撃に変化<br>非方向入力時の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
TalisPA01_Pattern1#0,"""タリス展開から<yellow>$(0)秒<c>経過後テクニック威力<yellow>$(1)<c><br>タリスの展開時間<yellow>$(2)<c><br>タリス展開中のテクニックの消費PP<yellow>$(3)<c>"""
TalisPA01_Pattern2#0,"""タリス展開中のテクニックがターゲット位置への攻撃に変化<br>タリス展開中のテクニックの属性ダウン値<yellow>$(0)<c><br>タリス展開中のテクニックの消費PP<yellow>$(1)<c>"""
TalisPA01_Pattern3#0,"""タリス展開中のトリッキーキャパシタのゲージ蓄積量<yellow>$(0)<c><br>タリス展開中のテクニックの消費PP<yellow>$(1)<c>"""
WandPA01_Pattern2#0,"""衝撃波を飛ばす攻撃に変化／攻撃速度上昇<br>攻撃時の前進無効化<br>PA威力<yellow>$(0)<c>／消費PP<yellow>$(1)<c>"""
Fire01_Pattern2#0,"""攻撃速度上昇<br>チャージ時間<yellow>$(0)<c><br>テクニック威力<yellow>$(1)<c>"""
Fire01_Pattern3#0,"""属性ダウン値<yellow>$(0)<c><br>炎の刻印の蓄積量<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
Wind01_Pattern1#0,"""風環の攻撃範囲拡大／ヒット数減少<br>消費PP<yellow>$(0)<c>"""
Wind01_Pattern2#0,"""チャージ時の攻撃範囲拡大／弾速上昇<br>消費PP<yellow>$(0)<c>"""
Light01_Pattern1#0,"""チャージ時の攻撃と光円環による追撃が各１ヒットに変化<br>チャージ時威力<yellow>$(0)<c><br>チャージ時間<yellow>$(1)<c>"""
Light01_Pattern2#0,"""発動時にエネミーからの攻撃を無効化<br>消費PP<yellow>$(0)<c>"""
