r01_gd_flo_wi#0,"""Фван"""
TalisPA02#1,"""Фотон Арт талиса.<br>Высвобождает фотоны вокруг себя и развёртывает талис.<br>Во время развёртывания талиса поведение техник<br>изменится."""
KatanaPA01#1,"""Фотон Арт катаны.<br>При постоянном использовании действие меняется.<br>Вытаскивает клинок и наносит удар. Дважды вперёд,<br>а затем ещё 2 раза. Следом завершающий удар."""
KatanaPA02#1,"""Фотон Арт катаны.<br>При постоянном использовании действие меняется.<br>Разрезает вокруг себя, снося врагов.<br>Разрезает воздух в клочья."""
KatanaPA03#1,"""Фотон Арт катаны.<br>При постоянном использовании действие меняется.<br>Подготавливает удар, после чего выпускает мощную<br>ударную волну, пронизывающую всё впереди."""
CompoundBowPA01#1,"""Фотон Арт лука.<br>Совершает самонаводящийся выстрел. Заряд в<br>1 уровень для более медленного и пронзительного<br>выстрела. Заряд в 2 уровня для создания большой<br>мощной стрелы."""
CompoundBowPA02#1,"""Фотон Арт лука.<br>Выпускает стрелу, рассеивающуюся при попадании.<br>При зарядке, рассеивается в момент выстрела."""
CompoundBowPA03#1,"""Фотон Арт лука.<br>Создаёт в небе луки и стрелы, поливающие сверху<br>вниз по выбранной области. Заряд и выстрел,<br>чтобы мгновенно выстрелить до 5 стрелами, которые<br>будут выпускаться по одной при поражении любого<br>врага с помощью Фотон Арта лука."""
JetBootsPA01#1,"""Фотон Арт реактивных ботинок.<br>Зажмите для альтернат-го действия (больше РР).<br>Выполняет верт-й удар с вращением, затем [Обычная]<br>выполнит второй верт-й удар с вращ-м на месте.<br>[Зажать] наносит мощн горизонтальный удар."""
JetBootsPA02#1,"""Фотон Арт реактивных ботинок.<br>Зажмите для альтернат-го действия (больше РР).<br>Ударяет вперёд дважды по гориз-ли, затем [Обычная]<br>ударяет вперёд ещё дважды по вертикали.<br>[Зажать] наносит удар, отбрасывающий вас назад."""
JetBootsPA03#1,"""Фотон Арт реактивных ботинок.<br>Зажмите для альтер-го действия (больше РР).<br>Выпуск-т 2 ударные волны, вращаясь верт.<br>2я ударная волна висит в воздухе несколько секунд.<br>[Зажать] выстрел-т ещё двумя, вращаясь по гориз."""
DbladePA01#1,"""Фотон Арт парных клинков.<br>Зажать/нажать кнопку PA посреди действия для альт действия.<br>Сносит ближайших врагов, а затем закрутит фотонные клинки вокруг себя словно вихрь.<br>Альтернативно, дважды крутанёт фотонные клинки вокруг себя по вертикали."""
DbladePA02#1,"""Фотон Арт парных клинков.<br>Зажать/нажать кнопку PA посреди действия для альт действия.<br>Выполняет серию быстрых ударов, а затем обрушивает на цель бесчисленные фотонные клинки.<br>Альтернативно, создаёт поток бесчисленных фотонных клинков, летящих за целью."""
DbladePA03#1,"""Фотон Арт парных клинков.<br>Зажать/нажать кнопку PA посреди действия для альт действия.<br>Летит, вращая по вертикали обоими клинками, затем наносит мощный удар.<br>Альтернативно, быстро крутится на месте, разрезая всё вокруг на кусочки."""
SwordPA04#1,"""Фотон Арт меча.<br>Мощным ударом разрубает врагов.<br>Зарядка увеличивает дальность атаки."""
WlancePA04#1,"""Фотон Арт цепных ленсов.<br>Нанося удар по врагу, подпрыгивает в воздух и проводит<br>мощную атаку сверху. Зарядка для альтернативной атаки.<br>Во время зарядки, получаете меньше урона и вас<br>не могут сбить с ног или отправить в воздух.<br>Однако двойной удар может прервать зарядку<br>и выпустить атаку."""
PartisanPA04#1,"""Фотон Арт протазанов.<br>Рубит, пронзает и рассекает 3 атаки под ряд."""
TdaggerPA04#1,"""Фотон Арт парных кинжалов.<br>Вознив клинок во врага, бросает оружие,<br>поражая ближайших врагов."""
DsaberPA04#1,"""Фотон Арт двойной глефы.<br>Прыгнув в воздух и вращаясь нанеся удар,<br>бьёт заряженным фотонами оружием вниз,<br>чем высвобождает вихрь."""
KnucklePA04#1,"""Фотон Арт кастетов.<br>Отражает атаку врага быстрым уклонением, затем<br>наносит мощный удар кулаком. Успешное отражение<br>атаки врага увеличит силу."""
RiflePA04#1,"""Фотон Арт винтовки.<br>Мощно обстреливает область. При зажатии кнопки<br>будет отображаться область."""
LauncherPA04#1,"""Фотон Арт пусковой установки.<br>Выстреливает взрывом перед собой. Отдача<br>отбрасывает назад. При зарядке выпустит<br>мощную гранату."""
MachinegunPA04#1,"""Фотон Арт парных ПП.<br>Стреляет рикошетящими пулями вперёд<br>во время танца. Зарядка повышает силу<br>выстрела."""
KatanaPA04#1,"""Фотон Арт катаны.<br>Наносит удар с ослебляющей скоростью.<br>Многократное использование высвободит<br>несколько атак."""
CompoundBowPA04#1,"""Фотон Арт лука.<br>Совершая долгое движение, выпускает стрелы<br>вперёд. При зарядке выпустит шквал<br>фотонных стрел."""
JetBootsPA04#1,"""Фотон Арт реактивных ботинок.<br>Быстро сокращает дистанцию до цели и наносит<br>мощный удар ногой. Зажатие кнопки РА<br>активирует несколько фотонных клинков,<br>наносящих урон за счёт траты доп. РР."""
DbladePA04#1,"""Фотон Арт парных клинков.<br>Выпускает ударную волну серией атак.<br>При повторном нажатии РА во время<br>атаки, изменит поведение РА."""
TaktPA01#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“フレドラン”を呼び出し、<br>前方に貫通するブレスを放つ。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>視界に捉えた複数のエネミーにブレスを放つ。"""
TaktPA02#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“フレドラン”を呼び出し、<br>エネミーに真空波を放つ。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>ボタンを押している間、フレドランに乗って飛行する。<br>その状態からボタンを離すと、フレドランから降り、<br>フレドラン自身はエネミーに向かって突撃する。"""
TaktPA03#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“ヴォルファー”を呼び出し、<br>衝撃波を起こした後、両腕を叩きつけて周囲を攻撃する。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>チャージ可能な攻撃に変化する。<br>チャージしない場合は、<br>一定時間その場に残る衝撃波を発生させる。<br>チャージした場合は、前方に強力な一撃を放つ。"""
TaktPA04#1,"""“奏具（タクト）”用のフォトンアーツ。<br>ファミリア“ヴォルファー”を呼び出し、<br>前方に突撃した後、アッパーを放つ。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>前方に連続攻撃をくりだす。"""
GunslashPA01#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>前方を斬りつけた後、近距離でフォトン弾を放つ。<br>方向入力を行いながら発動すると、挙動が変化し、<br>高速で敵に接近、刺突攻撃を行った後、<br>近距離でフォトン弾を放つ。"""
GunslashPA02#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>前方に連続斬りを繰り出す。<br>連続して発動すると、強力な攻撃に変化する。<br>方向入力を行いながら発動すると、挙動が変化し、<br>移動しながら周囲に攻撃を行う。"""
GunslashPA03#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>フォトンの爆弾を放り投げ、爆発とともに後退する。<br>方向入力を行いながら発動すると、攻撃の挙動が変化し、<br>前方にフォトンの爆弾を蹴り飛ばす。<br>爆弾は一定距離を飛んだ後、爆発する。"""
GunslashPA04#1,"""“銃剣（ガンスラッシュ）”用のフォトンアーツ。<br>武器を地面に突き刺して、周囲に衝撃波を放つ。<br>空中にいる時は高速で落下し、<br>着地時に攻撃が発動する。<br>方向入力を行いながら発動すると、挙動が変化し、<br>上昇しながら周囲に攻撃を行う。"""
TypeNon#0,"""Отсутствует"""
TypeNoUse#0,"""Фотон Бласт"""
Type1_1#0,"""ヘリクス・プロイ"""
Type1_2#0,"""ヘリクス・イメラ"""
Type1_3#0,"""ヘリクス・ニフタ"""
Type2_1#0,"""アイアス・プロイ"""
Type2_2#0,"""アイアス・イメラ"""
Type2_3#0,"""アイアス・ニフタ"""
Type3_1#0,"""ケートス・プロイ"""
Type3_2#0,"""ケートス・イメラ"""
Type3_3#0,"""ケートス・ニフタ"""
Type4_1#0,"""ユリウス・プロイ"""
Type4_2#0,"""ユリウス・イメラ"""
Type4_3#0,"""ユリウス・ニフタ"""
Type5_1#0,"""イリオス・プロイ"""
Type5_2#0,"""イリオス・イメラ"""
Type5_3#0,"""イリオス・ニフタ"""
TypeNon#1,"""Отсутствует"""
TypeNoUse#1,"""Вы не можете использовать<br>Фотон Бласт. Активируйте Mag'a<br>с изученным Фотон Бластом."""
Type1_1#1,"""Пронзающий аватар Хеликс-типа.<br>Аккумулирует фотоны и выпускает<br>их в цель."""
Type1_2#1,"""Пронзающий аватар Хеликс-типа.<br>Приближается к цели и мощно бьёт<br>шоком по области вокруг неё."""
Type1_3#1,"""Пронзающий аватар Хеликс-типа.<br>Несколько раз бьёт цель рогом,<br>потом прыгает на неё сверху изо<br>всех сил."""
Type2_1#1,"""Неумолимый аватар Аякс-типа.<br>Расстреливает взрывными пулями<br>всё что видит."""
Type2_2#1,"""Неумолимый аватар Аякс-типа.<br>Выпускает в небо луч фотонов,<br>который градом осыпается на<br>врагов."""
Type2_3#1,"""Неумолимый аватар Аякс-типа.<br>Крылья феникса выпускают в цели<br>по одной пуле независимо друг<br>от друга."""
Type3_1#1,"""Ошеломляющий аватар Кетос-типа.<br>Ускоряет восстановление РР<br>за счёт фотонов из атмосферы."""
Type3_2#1,"""Ошеломляющий аватар Кетос-типа.<br>Выпускает плотный смертоносный<br>луч фотонов."""
Type3_3#1,"""Ошеломляющий аватар Кетос-типа.<br>Кружит в воздухе, создавая<br>множество ударов молний."""
Type4_1#1,"""Непоколебимый аватар Юлиус-типа.<br>Возникает возле врагов и<br>избивает их кулаками."""
Type4_2#1,"""Непоколебимый аватар Юлиус-типа.<br>Безошибочно пронзает цель<br>рогом-шипом."""
Type4_3#1,"""Непоколебимый аватар Юлиус-типа.<br>Создаёт вокруг цели гравитационное<br>поле, затем схлопывает его."""
Type5_1#1,"""Аватар несломимого духа<br>Илиос-типа.<br>Совершает дополнительные атаки<br>по вашей собственной цели."""
Type5_2#1,"""Аватар несломимого духа<br>Илиос-типа.<br>Взмахом меча направляет в вашу<br>цель волну энергии."""
Type5_3#1,"""Аватар несломимого духа<br>Илиос-типа.<br>Низвергает на вашего врага кару<br>с небес."""
PetPALearn#0,"""$(1) изучил(а) $(0)."""
PetPALevelUp#0,"""Уровень вашего $(2) $(1) увеличился до $(0)."""
PetUnequipped#0,"""Нет питомца для использования такта."""
Npc_7001#0,"""Манон"""
Npc_7002#0,"""Аина"""
Npc_7003#0,"""Гароа"""
Npc_7004#0,"""Крофод"""
Npc_7005#0,"""Бурудар"""
Npc_7006#0,"""Ран"""
Npc_7007#0,"""Лю Лин"""
Npc_7008#0,"""Росса"""
Npc_7009#0,"""Орандже"""
Npc_7010#0,"""Надереф"""
Npc_7011#0,"""Тайвас"""
Npc_7012#0,"""Тури"""
Npc_7013#0,"""Илма"""
Npc_7014#0,"""Кука"""
Npc_7015#0,"""Мери"""
Npc_7016#0,"""グレン"""
Npc_7017#0,"""Харди"""
Npc_7018#0,"""Джарил"""
Npc_7019#0,"""Мофсен"""
Npc_7022#0,"""カヌイ"""
Npc_7023#0,"""ノロシ"""
Npc_7025#0,"""ゼフェット"""
Npc_7026#0,"""ファリア"""
AutorunToast1#0,"""Авто-бег активирован."""
Toast_Defend#0,"""Получаемый урон уменьшается из-за разницы в уровнях."""
Toast_Defend_CombatPoint#0,"""戦闘力が不足しているため、与えるダメージが減少します。（必要戦闘力：$(0)以上）"""
MoonAtmizerToYou#0,""" использовал(а) предмет для воскрешения."""
ResurrectToYou#0,""" вас воскресил(а)."""
<GatlingGun>EquippingEnd#0,"""Сбросить оружие"""
<GatlingGun>AttackGun#0,"""Быстрый огонь"""
<GatlingGun>AttackRailgun#0,"""Заряд бластера"""
<GatlingGun>AttackJet#0,"""Буст глайдер"""
HealTankRecast#0,"""*Resta Sign"""
RecoveryMoonAtomizerRecast#0,"""*Reverser Sign"""
RideTimeAlert1#0,"""<yellow>Осталось: $(0) сек<c>"""
RideTimeAlert2#0,"""<red>Осталось: $(0) сек<c>"""
<Throw>EquippingEnd#0,"""Снять**"""
SnowBoard:GetOff#0,"""Отпустить снаряжение*"""
<GatlingGun>AttackMissile#0,"""マルチロックミサイル"""
<GatlingGun>JumpingDodge#0,"""ウルトラハイジャンプ"""
<GatlingGun>ParticleCannon#0,"""ハイパーブラスター"""
<Throw>EquippingEndMovement#0,"""解除"""
<Halloween>PowerBoost#0,"""バレットブースト"""
SwordAttack#0,"""Обычная атака меча.<br>Атакует мечом, совершая комбо атаку из трёх стадий."""
SwordWeaponAction#0,"""Действие оружия меча.<br>Удерживая меч, отражает атаки спереди. При зажатии<br>кнопки действия оружия, для удержания блока.<br>При входящей атаке, расходует РР, чтобы уменьшить<br>урон. При использовании до атаки, активируется<br>блок, обнуляющий входящий урон без траты РР."""
PartisanAttack#0,"""Обычная атака протазана.<br>Атакует копьём, совершая комбо из трёх стадий."""
PartisanWeaponAction#0,"""Действие оружия протазана.<br>Подготавливает копьё, чтобы блокировать<br>атаки со всех сторон."""
WLanceAttack#0,"""Обычная атака цепных лэнсов.<br>Атакует лэнсами, совершая комбо<br>атаку из трёх стадий."""
WLanceWeaponAction#0,"""Действие оружия цепных лэнсов.<br>Выкидывает лэнсы и пронзает врага. При успешном попадании, притягивается к нему."""
KnuckleAttack#0,"""Обычная атака кастетов.<br>Атакует кастетами, совершая комбо<br>атаку из трёх стадий."""
KnuckleWeaponAction#0,"""Действие оружия кастетов.<br>Быстрым движением уклоняется от атак."""
TDaggerAttack#0,"""Обычная атака парных кинжалов.<br>Атакует кинжалами, совершая комбо<br>атаку из трёх стадий."""
TDaggerWeaponAction#0,"""Действие оружия парных кинжалов.<br>Подготавливает кинжалы для блока атак со всех сторон."""
DSaberAttack#0,"""Обычная атака двойной глефы.<br>Атакует глефой, совершая комбо<br>атаку из трёх стадий."""
DSaberWeaponAction#0,"""Действие оружия двойной глефы.<brПодготавливает глефу для блока атак со всех сторон."""
LauncherAttack#0,"""Обычная атака пусковой установки.<br>Совершает взрывной выстрел. При зарядке совершает<br>серию выстрелов по обширной площади."""
LauncherWeaponAction#0,"""Действие оружия пусковой установки.<br>Прикрепляет к противнику взрывающуюся спустя<br>некоторое время бомбу-липучку. При попадании<br>во вставшего врага, со взрывом восстановится РР."""
RifleAttack#0,"""Обычная атака винтовки.<br>Стреляет по противнику. При зажатии кнопки, стреляет<br>автоматическим огнём."""
RifleWeaponAction#0,"""Действие оружия винтовки.<br>Стреляет без остановки, передвигаясь<br>на высокой скорости."""
TMachineGunAttack#0,"""Обычная атака парных ПП.<br>Стреляет, совершая комбо<br>атаку из трёх стадий."""
TMachineGunWeaponAction#0,"""Действие оружия парных ПП.<br>Во время активации уклоняется от атак. Стреляет<br>во время уклонения при совершении обычной атаки."""
TalisAttack#0,"""Обычная атака талиса.<br>Бросает талис, совершая комбо<br>атаку из трёх стадий."""
TalisWeaponAction#0,"""Действие оружия талиса.<br>Разворачивает парящую турель-талис, который<br>переодически стреляет фотонными пулями."""
WandAttack#0,"""Обычная атака ванда.<br>Атакует вандом, совершая комбо<br>атаку из трёх стадий."""
WandWeaponAction#0,"""Действие оружия ванда.<br>Подготавливает ванд для блока атак со всех сторон."""
RodAttack#0,"""Обычная атака рода.<br>Атакует родом, совершая комбо<br>атаку из трёх стадий."""
RodWeaponAction#0,"""Действие оружия рода.<br>Создаёт барьер для блока атак со всех сторон.<br>При успешном блоке восстанавливается РР."""
KatanaAttack#0,"""Обычная атака катаны.<br>Атакует катаной, совершая комбо<br>атаку из трёх стадий."""
KatanaWeaponAction#0,"""Действие оружия катаны.<br>Достаёт клинок из ножен, чтобы блокировать атаки<br>спереди. При зажатии удерживается защита. При<br>попадании, получаемый урон уменьшается за счёт РР.<br>При использовании прямо перед получаением удара,<br>блокирует весь урон без траты РР."""
CompoundBowAttack#0,"""Обычная атака лука.<br>Выстреливает стрелок во врага.<br>При зарядке выпускает разрывную стрелу,<br>поражающую область перед собой."""
CompoundBowWeaponAction#0,"""Действие оружия лука.<br>Быстрым движением уклоняется от атак."""
JBootsAttack#0,"""Обычная атака реактивных ботинок.<br>Атакует ботинками, совершая комбо<br>атаку из трёх стадий."""
JetBootsWeaponAction#0,"""Действие оружия реактивных ботинок.<br>Быстрым движением уклоняется от атак."""
DBladeAttack#0,"""Обычная атака парных клинков.<br>Атакует клинками, совершая комбо<br>атаку из трёх стадий."""
DBladeWeaponAction#0,"""Действие оружия парных клинков.<br>Бросает фотонные клинки. При зажатии, бросает<br>фотонные клинки без остановки. Можно свободно<br>передвигаться во время броска клинков."""
TaktAttack#0,"""“奏具（タクト）”用の通常攻撃。<br>奏具を振り、フォトンを弾けさせ、<br>最大３段の攻撃を行う。<br>通常攻撃ボタンを長押しすることで、<br>攻撃の挙動が変化する。"""
TaktWeaponAction#0,"""“奏具（タクト）”用の武器アクション。<br>ファミリア“マルメロ”を呼び出し、<br>周囲からの攻撃を弾く。"""
GunSlashAttack#0,"""“銃剣（ガンスラッシュ）”用の通常攻撃。<br>フォトン弾を放ち、最大３段の攻撃を行う。<br>１段目で長押しすることで、２段階までチャージでき、<br>それぞれ攻撃の挙動が変化する。<br>チャージの１段階目は５連射攻撃を行い、<br>２段階目は強力なフォトン弾を放つ。"""
GunSlashWeaponAction#0,"""“銃剣（ガンスラッシュ）”用の武器アクション。<br>銃剣を振りながら、最大３段の斬撃を行う。<br>攻撃を受ける直前に行うことで、<br>周囲からの攻撃を弾く。"""
ClassNGS#0,"""クラス"""
MainNGS#0,"""メインクラス"""
SubNGS#0,"""サブクラス"""
NoneNGS#0,"""なし"""
JobNGS_00#0,"""ハンター"""
JobNGS_01#0,"""レンジャー"""
JobNGS_02#0,"""フォース"""
JobNGS_03#0,"""ファイター"""
JobNGS_04#0,"""ガンナー"""
JobNGS_05#0,"""テクター"""
JobNGS_06#0,"""ブレイバー"""
JobNGS_07#0,"""バウンサー"""
JobNGS_08#0,"""チャレンジャー"""
JobNGS_09#0,"""ウェイカー"""
JobNGS_10#0,"""バトルウォリアー"""
JobNGS_11#0,"""スレイヤー"""
JobNGS_12#0,"""ファントム"""
JobNGS_13#0,"""エトワール"""
JobNGS_14#0,"""スレイヤー"""
AllNGS#0,"""全クラス"""
Common_RangeExtendPP#0,"""攻撃範囲拡大<br>消費PP<yellow>$(0)<c>"""
Common_LongChargeAtp#0,"""チャージ時威力<yellow>$(0)<c><br>チャージ時間<yellow>$(1)<c>"""
Common_AtkSpeedAtp#0,"""攻撃速度上昇<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Common_ParryingPaAtp#0,"""ハンターアーツアヴェンジ発動時威力<yellow>$(0)<c><br>ハンターアーツアヴェンジ非発動時威力<yellow>$(1)<c>"""
Common_DownAtp#0,"""ダウン中のエネミーへの威力<yellow>$(0)<c><br>非ダウン中のエネミーへの威力<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
Common_ArmorPP#0,"""PA発動中に打ち上げや吹き飛ばし無効<br>被ダメージ<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Common_GearGuagePP#0,"""ギアゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Rifle_SpreadShotGuagePP#0,"""スプレッドショットのゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Machinegun_InfinityFireGuagePP#0,"""ヘイルオブバレッツのゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
Katana_PAComboAtpPP#0,"""PA1段目威力<yellow>$(0)<c><br>PA2段目威力<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
Wand_ElementPursuitGuagePP#0,"""ウォンドエレメントパスートの<br>ゲージ蓄積効果追加<br>消費PP<yellow>$(0)<c>"""
Technic_DownRateMixTechPP#0,"""属性ダウン値<yellow>$(0)<c><br>複合属性テクニックのゲージ蓄積量<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
WlancePA03_Pattern2#0,"""攻撃範囲拡大<br>距離による威力上昇が常に最大<br>消費PP<yellow>$(0)<c>"""
PartisanPA02_Pattern2#0,"""フィニッシュ攻撃の威力上昇／攻撃範囲拡大<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
PartisanPA02_Pattern3#0,"""一定時間PAボタン長押しで威力上昇／攻撃速度上昇<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
TdaggerPA02_Pattern2#0,"""PA前半部分の前進距離増加<br>PA後半部分の後退無効化／衝撃波の射程距離延長<br>消費PP<yellow>$(0)<c>"""
TdaggerPA02_Pattern3#0,"""直後に発動する<br>アクセルドライブ威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
DsaberPA03_Pattern3#0,"""竜巻の攻撃持続時間延長<br>竜巻の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
KatanaPA03_Pattern2#0,"""ブレイブコンバット中の攻撃速度上昇／PA威力<yellow>$(0)<c><br>フィニッシュプライズのヒットカウント数<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
RiflePA03_Pattern2#0,"""PAボタン長押し中の威力上昇／弾丸がエネミーを追尾<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
RiflePA03_Pattern3#0,"""フィニッシュ攻撃の威力上昇／攻撃範囲拡大<br>PA威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
LauncherPA01_Pattern2#0,"""爆発弾の弾数増加<br>爆発弾の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
LauncherPA01_Pattern3#0,"""爆発弾ヒット中のエネミーへのランチャーPA威力<yellow>$(0)<c><br>爆発弾の落下間隔延長<br>PA威力<yellow>$(1)<c>／消費PP<yellow>$(2)<c>"""
CompoundBowPA03_Pattern1#0,"""非チャージ時の攻撃範囲拡大<br>消費PP<yellow>$(0)<c>"""
CompoundBowPA03_Pattern2#0,"""非チャージ時の攻撃持続時間延長<br>非チャージ時の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
CompoundBowPA03_Pattern3#0,"""チャージ時の弓矢ストック数<yellow>$(0)<c><br>チャージ時の1ヒット毎の威力<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
DbladePA02_Pattern1#0,"""PA発動中に打ち上げや吹き飛ばし無効<br>ピニオンブレードのゲージ蓄積量<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
DbladePA02_Pattern3#0,"""派生前攻撃の速度上昇<br>派生前攻撃の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
JetBootsPA03_Pattern2#0,"""衝撃波の攻撃持続時間延長<br>衝撃波の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
JetBootsPA03_Pattern3#0,"""PA発動後に通常攻撃ボタンを押すことで<br>スラストドライブ発動可能<br>消費PP<yellow>$(0)<c>"""
TaktPA04_Pattern3#0,"""非派生攻撃時にトレブルクリフマーキングの<br>マーカー蓄積効果追加<br>消費PP<yellow>$(0)<c>"""
GunslashPA04_Pattern2#0,"""方向入力時の攻撃範囲拡大／上昇距離増加<br>消費PP<yellow>$(0)<c>"""
GunslashPA04_Pattern3#0,"""非方向入力時の衝撃波が持続攻撃に変化<br>非方向入力時の1ヒット毎の威力<yellow>$(0)<c><br>消費PP<yellow>$(1)<c>"""
TalisPA01_Pattern1#0,"""タリス展開から<yellow>$(0)秒<c>経過後テクニック威力<yellow>$(1)<c><br>タリスの展開時間<yellow>$(2)<c><br>タリス展開中のテクニックの消費PP<yellow>$(3)<c>"""
TalisPA01_Pattern2#0,"""タリス展開中のテクニックがターゲット位置への攻撃に変化<br>タリス展開中のテクニックの属性ダウン値<yellow>$(0)<c><br>タリス展開中のテクニックの消費PP<yellow>$(1)<c>"""
TalisPA01_Pattern3#0,"""タリス展開中のトリッキーキャパシタのゲージ蓄積量<yellow>$(0)<c><br>タリス展開中のテクニックの消費PP<yellow>$(1)<c>"""
WandPA01_Pattern2#0,"""衝撃波を飛ばす攻撃に変化／攻撃速度上昇<br>攻撃時の前進無効化<br>PA威力<yellow>$(0)<c>／消費PP<yellow>$(1)<c>"""
Fire01_Pattern2#0,"""攻撃速度上昇<br>チャージ時間<yellow>$(0)<c><br>テクニック威力<yellow>$(1)<c>"""
Fire01_Pattern3#0,"""属性ダウン値<yellow>$(0)<c><br>炎の刻印の蓄積量<yellow>$(1)<c><br>消費PP<yellow>$(2)<c>"""
Wind01_Pattern1#0,"""風環の攻撃範囲拡大／ヒット数減少<br>消費PP<yellow>$(0)<c>"""
Wind01_Pattern2#0,"""チャージ時の攻撃範囲拡大／弾速上昇<br>消費PP<yellow>$(0)<c>"""
Light01_Pattern1#0,"""チャージ時の攻撃と光円環による追撃が各１ヒットに変化<br>チャージ時威力<yellow>$(0)<c><br>チャージ時間<yellow>$(1)<c>"""
Light01_Pattern2#0,"""発動時にエネミーからの攻撃を無効化<br>消費PP<yellow>$(0)<c>"""
