Title_DeadMenu#0,"""Меню небоеспособности"""
HunterCounterBoost#1,"""カウンター<br>ブースト"""
HunterJustGuardDownBoost#1,"""ジャストガード<br>リアクションブースト"""
HunterSwordGuardCounter#1,"""ソードガード<br>カウンター"""
HunterFlashGuard#1,"""フラッシュガード"""
HunterAllGuard#1,"""オールガード"""
HunterParryingPPHeal#1,"""ハンターアーツ<br>アヴェンジPPゲイン"""
HunterParryingPaJustGuard#1,"""ハンターアーツ<br>ジャストパリング"""
HunterSlowFallCharge#1,"""スローランディング<br>チャージHu"""
HunterTecArtsSkipAttack#1,"""アナザーアーツ<br>スキップアタックHu"""
HunterSameArtsSkipAttack#1,"""セイムアーツ<br>スキップアタックHu"""
HunterPartisanVolgraptor#1,"""ヴォルグラプター"""
HunterPartisanAssaultCharge#1,"""アサルトチャージ"""
HunterPartisanParryingAssaultCharge#1,"""アサルトチャージ<br>アヴェンジ"""
HunterWLanceAttackExtra#1,"""ワイヤードアタック<br>エクストラ"""
HunterWLanceWAPlus#1,"""ワイヤードアンカー<br>アドバンス"""
HunterWLanceWAGuardPointPlus#1,"""ワイヤードアンカー<br>ジャストパリング"""
RangerGaugeShotGun#1,"""スプレッドショット"""
RangerGaugeShotGunAway#1,"""スプレッドショット<br>クイックエスケープ"""
RangerWeakBullet#1,"""ウィークバレット"""
RangerWeakBulletParse#1,"""ウィークバレット<br>リインフォース"""
RangerWeaponActionAvoid#1,"""スライドショット<br>アドバンス"""
RangerGrenadeTrap#1,"""ライフルグレネーダー"""
RangerRangeBonus#1,"""適正距離<br>リアクションボーナス"""
RangerDownChain#1,"""リアクションチェーン"""
RangerWeakHitAdvance#1,"""ウィークヒット<br>アドバンスRa"""
RangerWeakBlastBonus#1,"""ウィークヒット<br>ブラストボーナス"""
RangerFallSlowAttack#1,"""スローランディング<br>アタックRa"""
RangerFallSlowCharge#1,"""スローランディング<br>チャージRa"""
RangerClusterBombRecastReduce#1,"""スティッキーボム<br>クイックリロード"""
RangerLauncherChargeConvergence#1,"""ランチャーチャージ<br>グルーピング"""
RangerConditionBadGuard#1,"""バッドコンディション<br>レジスト"""
RangerConditionBadEase#1,"""バッドコンディション<br>リデュース"""
ForcePhotonFlare#1,"""フォトンフレア"""
ForcePpConvert#1,"""PPコンバート"""
ForcePpConvertReCharge#1,"""PPコンバート<br>インクリース"""
ForceChargePpRevival#1,"""テクニックチャージ<br>PPウェルアップ"""
ForceChargeEscape#1,"""ロッドテクニック<br>キープ"""
ForceHeal#1,"""レスタフィールドFo"""
ForceOverFlow#1,"""オーバーフロー"""
ForcePhotonFlareTecShortCharge#1,"""フォトンフレア<br>ショートチャージ"""
ForcePhotonFlareAfterBurst#1,"""フォトンフレア<br>アフターバースト"""
ForcePhotonFlareBoost#1,"""フォトンフレア<br>ブースト"""
ForceRodCounterTechnic#1,"""ロッドリアクト<br>アドバンス"""
ForcePhotonFlarePpRefrain#1,"""フォトンフレア<br>アフターPPゲイン"""
ForceNightmare#1,"""キリングPPゲイン"""
ForceReflectCounterShot#1,"""エレメンタルバレット"""
ForceRodCounterTecBonus#1,"""ロッドカウンター<br>アドバンス"""
ForceRodAbsorption#1,"""ステイPPゲイン"""
ForceTalisConcentrate#1,"""タリスブルーム<br>スティムレイト"""
ForceTalisQuickMarkShot#1,"""フロートトーチカ<br>マルチロック"""
ForceTalisSetRevok#1,"""タリスブルーム<br>リヴォーク"""
ForcePpRestorate#1,"""PPリカバリーアップ"""
ForceSlowFallCharge#1,"""スローランディング<br>チャージFo"""
ForceBartaBlot#1,"""バータブロット"""
ForceZondeClad#1,"""ゾンデクラッド"""
FighterLimitBreak#1,"""リミットブレイク"""
FighterLimitBreakPhotonCharge#1,"""リミットブレイク<br>PPリカバリー"""
FighterLimitBreakInsurance#1,"""リミットブレイク<br>エンデュランス"""
KnuckleDodgeHeatRevenge#1,"""ナックルアタック<br>スイッチ"""
FighterKnuckleSwayCounterPlus#1,"""ナックルスウェー<br>カウンタープラス"""
FighterKnuckleNormalAttackPlus#1,"""ナックルアタック<br>エクストラ"""
FighterKnuckleAttackExtra#1,"""ナックルアタック<br>エクストラ"""
FighterPhotonFlood#1,"""フォトンフラッド"""
FighterUnFlatBonus#1,"""アンフラット<br>ボーナス"""
FighterTecArtsJABonus#1,"""テックアーツボーナス"""
FighterPPSlayer#1,"""PPスレイヤー"""
FighterKnuckleSwayCounter#1,"""ナックルスウェー<br>カウンター"""
FighterChaseAdvance#1,"""ディフィート<br>アドバンテージ"""
FighterChaseAdvancePPRecovery#1,"""ディフィート<br>PPリカバリー"""
FighterTecArtsSkipAttack#1,"""アナザーアーツ<br>スキップアタックFi"""
FighterSameArtsSkipAttack#1,"""セイムアーツ<br>スキップアタックFi"""
FighterSkipArts#1,"""ファイター<br>スキップアーツ"""
FighterTDAnotherDerive#1,"""アクセルドライブ"""
FighterTDSpinCounter#1,"""ダガースピン<br>カウンター"""
FighterTDAttackExtra#1,"""ダガーアタック<br>エクストラ"""
FighterDSDodgeWindCounter#1,"""セイバーパリィ<br>カウンター"""
FighterDSDodgeWindWACounter#1,"""セイバーパリィ<br>アナザーカウンター"""
FighterDSDeadlyArcher#1,"""デッドリーアーチャー"""
FighterDSEnhanceAttack#1,"""スパイラルドライブ"""
GunnerChainTrigger#1,"""チェイントリガー"""
GunnerChainFinish#1,"""チェインフィニッシュ"""
GunnerChainFinishTimeBonus#1,"""チェイントリガー<br>クイックリロード"""
GunnerSRollArts#1,"""スタイリッシュロール<br>アーツ"""
GunnerCounterPABurst#1,"""スタイリッシュロール<br>ストライクバック"""
GunnerChainBoost#1,"""チェインブースト"""
GunnerNeutralDeadApproach#1,"""スタイリッシュ<br>オンスロート"""
GunnerPerfectKeeper#1,"""パーフェクト<br>キーパー"""
GunnerChainFinishBonus#1,"""チェインフィニッシュ<br>ボーナス"""
GunnerNeoTime#1,"""ネオタイム"""
GunnerNeoTimeBlastBonus#1,"""ネオタイム<br>ブラストボーナス"""
GunnerNeoTimePPRefresh#1,"""ネオタイム<br>PPリフレッシュ"""
GunnerAirAttackBonus#1,"""エアアタック<br>ボーナス"""
GunnerReactionWeak#1,"""リアクションウィーク"""
GunnerFallSlowAttack#1,"""スローランディング<br>アタックGu"""
GunnerFallSlowCharge#1,"""スローランディング<br>チャージGu"""
GunnerGaugeShotGun#1,"""スプレッドショット"""
GunnerGaugeShotGunAway#1,"""スプレッドショット<br>クイックエスケープ"""
GunnerAttackPPRestraint#1,"""アタック<br>PPリカバリー"""
GunnerOverWhelm#1,"""オーバーウェルム"""
TechterShiftaDeband#1,"""シフタ・デバンド"""
TechterPartyAssist#1,"""シフタ・デバンド<br>パーティーシェア"""
TechterWandElementChange#1,"""ウォンドエレメント<br>チェンジ"""
TechterWandElementDiscard#1,"""ウォンドエレメント<br>リヴォーク"""
TechterHeal#1,"""レスタフィールドTe"""
TechterWandGuardCounter#1,"""ウォンドパリィ<br>カウンター"""
TechterAssistField#1,"""シフタ・デバンド<br>フィールド"""
TechterWandLovers#1,"""ウォンドラバーズ"""
TechterWandCounterReflection#1,"""ウォンドガード<br>リフレクション"""
TechterShiftaStrike#1,"""シフタエフェクト<br>アンプリファイ"""
TechterShiftaAdvance#1,"""シフタエフェクト<br>アドバンテージ"""
TechterDebandCut#1,"""デバンドレジスト<br>バッドコンディション"""
TechterDebandPpReStraight#1,"""デバンド<br>PPリカバリーアップ"""
TechterExtendAssist#1,"""シフタ・デバンド<br>エクステンド"""
TechterElementWeakBonus#1,"""ウィークエレメント<br>アンプリファイ"""
TechterAwakeYell#1,"""アウェイクエール"""
TechterReverseBonus#1,"""リバースバウンティ"""
TechterWandGuardCounterEdge#1,"""ウォンドパリィ<br>カウンターアドバンス"""
TechterFallSlowCharge#1,"""スローランディング<br>チャージTe"""
TechterBartaBlot#1,"""バータブロット"""
TechterZondeClad#1,"""ゾンデクラッド"""
ForceTalisTecBurst#1,"""トリッキーキャパシタ"""
TechterTalisTecBurst#1,"""トリッキーキャパシタ"""
TechterTalisQuickMarkShot#1,"""フロートトーチカ<br>マルチロック"""
TechterTalisSetRevok#1,"""タリスブルーム<br>リヴォーク"""
BraverGuardRelief#1,"""マイティーガード"""
BraverRestaHealUp#1,"""レスタエフェクト<br>アンプリファイ"""
BraverJustReversalCover#1,"""ブレイクフォール<br>HPゲイン"""
BraverCombat#1,"""ブレイブコンバット"""
BraverBraveCombatShortTime#1,"""ブレイブコンバット<br>ショートサイクル"""
BraverCombatCountAfterBonus#1,"""ブレイブコンバット<br>フィニッシュプライズ"""
Katana:LockonChase#1,"""ブレイブコンバット<br>クロースレンジ"""
BraverCompoundbowPaArmor#1,"""ブレイブコンバット<br>アローメイツ"""
BraverKatanaGuardCounter#1,"""カタナガード<br>カウンター"""
Katana:CounterEdge#1,"""カタナガード<br>カウンターアドバンス"""
Katana:ComboCountSkill#1,"""カタナPAコンボ<br>リテンション"""
Katana:Ambition#1,"""フェアレス<br>アティチュード"""
BraverCounterArrow#1,"""バレットボウイルード<br>カウンター"""
BraverCompoundbowHoming#1,"""トレーサーアロウ"""
BraverCompoundbowSlideDodge#1,"""バレットボウイルード<br>エクスパンド"""
YesText#0,"""Да"""
NoText#0,"""Нет"""
CloseText#0,"""Закрыть"""
OpenText#0,"""Открыть"""
MaxText#0,"""Макс."""
MinText#0,"""Мин."""
Sort#0,"""Сортировать"""
Copy#0,"""Копировать"""
Peaste#0,"""Вставить"""
NextText#0,"""Следующий"""
PrevText#0,"""Предыдущий"""
DecideText#0,"""Подтвердить"""
CancelText#0,"""Отменить"""
OKText#0,"""OK"""
ReturnText#0,"""Назад"""
TitleText#0,"""Сообщение"""
CheckText#0,"""Это окно нельзя открыть снова."""
NoneText#0,"""Ничего"""
Preview#0,"""Превью"""
SimplePreview#0,"""Простое превью"""
Skip#0,"""Будет пропущена сцена события до следующего<br>выбора или до самого конца.<br>Вы уверены?"""
SkipMovie#0,"""Воспроизведение видео прекратится.<br><br>Вы уверены?"""
SymbolArt_BANtext#0,"""В данный момент вы не можете<br>сохранить Символ Арт."""
TimeText#0,"""$(0)мин $(1)сек $(2)"""
NumItem#0,"""$(0) $(1) шт """
NumItem2#0,"""$(0) × $(1) шт"""
Bracket#0,"""（$(0)）"""
SquareBracket#0,"""「$(0)」"""
SkipNaviKey#0,"""Для пропуска: <yellow>[Esc]<c>"""
SkipNaviButton#0,"""Для пропуска: <%AllWindowClose>"""
PreviewZoom#0,"""Режимы: <%Exception>（<c cfcfcf>Вращение и Zoom<c>/<yellow>В бок<c>）"""
PreviewZoom_mouse#0,"""Режимы: <pict mouse_right>（<c cfcfcf>Вращение и Zoom<c>/<yellow>В бок<c>）"""
PreviewMove#0,"""Режимы: <%Exception>（<yellow>Вращение и Zoom<c>/<c cfcfcf>В бок<c>）"""
PreviewMove_mouse#0,"""Режимы: <pict mouse_right>（<yellow>Вращение и Zoom<c>/<c cfcfcf>В бок<c>）"""
CBT_BillingRestrictions#0,"""クローズドベータテストでは、<br>ACを購入できません。"""
TargetInfo_Level#0,"""$(0) ур."""
TargetInfo_Name#0,"""$(0) $(1)"""
TargetInfo_WeekAndResist#0,"""$(0)"""
TargetInfo_WeakPoint#0,"""Слабость: """
TargetInfo_Resist#0,"""Сопротивление: """
Title#0,"""Базовые характеристики"""
StatusLabePower#0,"""Боевая Мощь"""
StatusLabeJob#0,"""$(0) """
StatusLabelLevel#0,"""ур."""
StatusLabelExp#0,"""Опыт"""
MainStatusLabelExp#0,"""Опыт"""
StatusLabelNextExp#0,"""До след. ур."""
MainStatusLabelNextExp#0,"""До след. ур."""
SubStatusLabelNextExp#0,"""До след. ур. (подкласс)"""
StatusLabelMeseta#0,"""<pict reb_meseta><pict 4space>месета"""
StatusLabelSeasonPoint#0,"""Очки сезона 9-й годовщины"""
StatusLabelSeasonPoint_1#0,"""Очки сезона 9-й годовщины"""
StatusLabelSeasonPoint_3#0,"""Очки сезона Любования луной"""
StatusLabelSeasonPointValue#0,"""$(1) /$(0)"""
StatusLabelFun#0,"""FUN"""
StatusLabelAc#0,"""AC"""
StatusLabelTicket#0,"""Срок премиума"""
StatusLabeMainClass#0,"""Основной класс"""
StatusLabelSubClass#0,"""Подкласс"""
MiKakin#0,"""Не используется"""
IsPremium#0,"""<yellow>Действует премиум<c>"""
NonPremium#0,"""<red>Премиум истёк<c>"""
KakinGire#0,"""<red>Истекло<c>"""
NetCafe#0,"""<green>ネットカフェプレミアム<c>"""
NoJob#0,"""Ничего"""
Excube#0,"""До куба"""
MainExcube#0,"""До куба"""
SubExcube#0,"""До куба(подкласс)"""
ExpBlank#0,"""－"""
StatusLabelSg#0,"""Star Gem'ы （SG）"""
LevelMax#0,"""（$(0)）"""
LevelMaxHide#0,"""（－）"""
RemainingDaysUp#0,"""ещё $(0)+ день(ня/ней)"""
RemainingDays#0,"""ещё $(0) день(ня/ней)"""
RemainingHour#0,"""ещё $(0) час(а/ов)"""
RemainingHourLess#0,"""ещё менее $(0) часа(ов)"""
StatusLabePowerAndMaxPower#0,"""Боевая Мощь"""
StatusLabePowerAndMaxPowerNumber#0,"""$(0)"""
GoToTask#0,"""Меню задач: <%Function>"""
RemainingDayHourMin#0,"""$(0) день(я/ей) $(1)ч. $(2)мин."""
StatusLabelSeasonPointPossession#0,"""Ваши очки"""
StatusLabelSeasonPointWeeklyLimit#0,"""Очки за эту неделю"""
HateTime#0,"""Время действия"""
HateEffectValue#0,"""Объём эффекта"""
HealRate#0,"""Объём исцеления"""
DownRateAll#0,"""Степень умен-я урона"""
AtpDownRate#0,"""Степень сниж-я урона"""
PpUseUpRate#0,"""Степень расхода РР"""
PpUseDownRate#0,"""Степ. сниж-я расхода РР"""
CriticalRate#0,"""Расстояние накопл. шкалы"""
AtpAndDownRate#0,"""Степ. увел-я силы/Down"""
Range#0,"""Область эффекта"""
AtpRateLow#0,"""Сила при ７５%HP и больше"""
DownRateLow#0,"""Down при ７５%HP и больше"""
AtpRateHigh#0,"""Сила при １００%HP"""
DownRateHigh#0,"""Down при １００%HP"""
AtpRateProper#0,"""Крит урон на ОР"""
AtpRateMiss#0,"""Крит урон на не ОР"""
CriticalInstantProper#0,"""Крит шанс на ОР"""
CriticalInstantMiss#0,"""Крит шанс на не ОР"""
AttackSpeedRateLv1#0,"""Скор. атаки при 50 -"""
AttackSpeedRateLv2#0,"""Скор. атаки при 80 -"""
AttackSpeedRateLv3#0,"""Скор. атаки при 81 +"""
AttackSpeedRateMax#0,"""Скорость атаки при макс"""
AddPpMax#0,"""Дополнительные PP"""
MulMaxHpRate#0,"""Макс. степень сниж. HP"""
PpRate#0,"""Стандарт PP"""
RecoveryEffectRateOther#0,"""Увел-е объёма исцеления"""
RecoveryEffectRateSelf#0,"""Увел-е объёма исцеления"""
AtpRateDown#0,"""Степень сниж-я урона"""
DownRateDown#0,"""Степень снижения Down"""
DfpRate#0,"""Степень снижения урона"""
MaxTime#0,"""Макс. продолжительность"""
CriticalInstantNeoTimeM#0,"""75～99% шанс крита"""
PpHealRateNeoTimeM#0,"""75～99% автовосст-я РР"""
CriticalInstantNeoTimeH#0,"""100% шанс крита"""
PpHealRateNeoTimeH#0,"""100% автовосст-я РР"""
DamageRate#0,"""Объём получаемого урона"""
BasePoint#0,"""Стандартное значение"""
PlusHealRate#0,"""Доп. объём восстановления"""
SkillPpRate#0,"""Стандарт PP"""
AttackDownRate#0,"""Сила физ. Down"""
Count#0,"""Макс. количество зарядов"""
PhotonBlastGaugeAddValue#0,"""Увеличение шкалы PB"""
PreCount#0,"""Начальный запас зарядов"""
AddRate#0,"""Усиление Weak Bullet"""
AddTime#0,"""Увел-е прод-ти WB"""
PbBonus#0,"""Увеличение шкалы PB"""
PPRecover#0,"""Объём восстановления PP"""
GrenadeAtpRate#0,"""Мощность гранаты"""
TrapAtpRate#0,"""Мощность ловушки"""
ForcePhotonFlareTecShortChargeRate#0,"""Требуемое кол-во раз"""
StatusEffectValueMain#0,"""Эффект.отриц.сост.(Осн.)"""
StatusEffectValueSub#0,"""Эффект.отриц.сост.(Под.)"""
StatusEffectDurationMain#0,"""Прод.отриц.сост.(Осн.)"""
StatusEffectDurationSub#0,"""Прод.отриц.сост.(Под.)"""
DecreaseHP#0,"""Требуется НР"""
PPRecoverRateMain#0,"""Скор-ть восст. РР(Осн.)"""
PPRecoverRateSub#0,"""Скор-ть восст. РР(Под.)"""
ChargeDuration#0,"""Прод-ть зарядки"""
PPRecoverRate#0,"""Скор-ть восст. РР"""
MaxPPRecover#0,"""Макс. восст. РР"""
KillingPPRecover#0,"""Объём восст. РР"""
DownPPRecover#0,"""Объём восст. РР при Down"""
EffectRange#0,"""Область эффекта"""
PPRecoverValue#0,"""Объём восстановления PP"""
DurationDecreaseRate#0,"""Степень уменьш. прод-ти"""
PPRecoverValueMain#0,"""Объём восст.РР(Осн.)"""
PPRecoverValueSub#0,"""Объём восст.РР(Под.)"""
PhysicalDownAtpRateMain#0,"""Физ.сила при Down(Осн.)"""
PhysicalDownAtpRateSub#0,"""Физ.сила при Down(Под.)"""
ElementDownAtpRateMain#0,"""Атриб.сила при Down(Осн.)"""
ElementDownAtpRateSub#0,"""Атриб.сила при Down(Под.)"""
PhysicalDownPPRecoverRateMain#0,"""Восст.РР физ.Down(Осн.)"""
PhysicalDownPPRecoverRateSub#0,"""Восст.РР физ.Down(Под.)"""
ElementDownPPRecoverRateMain#0,"""Восст.РР атрб.Down(Осн.)"""
ElementDownPPRecoverRateSub#0,"""Восст.РР атрб.Down(Под.)"""
DamageRateMain#0,"""Объём получ. урона(Осн.)"""
DamageRateSub#0,"""Объём получ. урона(Под.)"""
DamageStoreRate#0,"""Степень накопл. урона"""
DownRate#0,"""Степень увел-я Down"""
ElementDownRate#0,"""Степ.увел.атриб. Down"""
DonwAtpRate#0,"""Сила при Down"""
StatusEffectValue#0,"""Эффект.отриц.сост."""
PPRecoverSpeed#0,"""Скор.естеств.восст.РР"""
MaxDuration#0,"""Макс. продолжительность"""
EffectTime#0,"""Время действия"""
PBRateMain#0,"""Объём накопл. PB(Осн.)"""
PBRateSub#0,"""Объём накопл. PB(Под.)"""
DecreaseTime#0,"""Уменьшение продолж-ти"""
ReduceRecast#0,"""Ускорение перезарядки"""
DamageReductionMainRate#0,"""Степ.сниж.урона (Осн.)"""
DamageReductionSubRate#0,"""Степ.сниж.урона (Под.)"""
PPHealPoint#0,"""Объём восстановления PP"""
AddPP#0,"""Объём восстановления PP"""
AttackDownSubRate#0,"""Физ.сила при Down(Под.)"""
ElementDownSubRate#0,"""Атриб.сила при Down(Под.)"""
AttackDownPPRate#0,"""Степ.восст.РР физ.Down"""
ElementDownPPRate#0,"""Степ.восст.РР атрб.Down"""
AttackDownPPSubRate#0,"""Восст.РР физ.Down(Под.)"""
ElementDownPPSubRate#0,"""Восст.РР атрб.Down(Под.)"""
GuardRateMain#0,"""Накопл.отриц.сост.(Осн.)"""
GuardRateSub#0,"""Накопл.отриц.сост.(Под.)"""
GuardRate#0,"""Накопл.отриц.сост."""
EaseRateMain#0,"""Прод.отриц.сост.(Осн.)"""
EaseRateSub#0,"""Прод.отриц.сост.(Под.)"""
ForceTalisConcentrateRate#0,"""Продолжительность"""
ActionPpRate#0,"""Степ. сниж-я расхода РР"""
PpActionRateAccumulation#0,"""Степ.сниж.расхода РР"""
PpHealMaxVolume#0,"""Объём восстановления PP"""
PpHealValue#0,"""Объём восстановления PP"""
PpRecoveryDeathState#0,"""Объём восстановления РР"""
MainRecoveryRate#0,"""Объём естеств.восст.РР(Осн.)"""
SubRecoveryRate#0,"""Объём естеств.восст.РР(Под.)"""
Stock#0,"""Макс. количество зарядов"""
PpHealVal#0,"""Объём восстановления PP"""
PpRecoveryRateMain#0,"""Объём естеств.восст.РР(Осн.)"""
PpRecoveryRateSub#0,"""Объём естеств.восст.РР(Под.)"""
PBGaugeAddValueMain#0,"""Объём накопл. PB(Осн.)"""
PBGaugeAddValueSub#0,"""Объём накопл. PB(Под.)"""
NumberRequired#0,"""Требуемое кол-во раз"""
PhysicalDownRate#0,"""Увел.значения физ.Down"""
ElementDownAtpRate#0,"""Атриб.сила при Down"""
AttackDownRateMain#0,"""Физ.сила при Down(Осн.)"""
AttackDownPPRateMain#0,"""Восст.РР физ.Down(Осн.)"""
ElementDownPPRateMain#0,"""Восст.РР атрб.Down(Осн.)"""
PpUse#0,"""Расход РР"""
HealRateMain#0,"""Скор-ть восст-я (Осн.)"""
HealRateSub#0,"""Скор-ть восст-я (Под.)"""
HpRecoveryRateMain#0,"""Восст-е НР (Осн.)"""
HpRecoveryRateSub#0,"""Восст-е НР (Под.)"""
HpConversionRate#0,"""Восст.НР за удар"""
HpHealLimit#0,"""Макс. восст. НР"""
PpConversionRate#0,"""Восст.РР за удар"""
PpHealLimit#0,"""Макс. восст. РР"""
HomingAngularVelocity#0,"""追尾性能"""
HomingEndTime#0,"""追尾時間"""
PATitle#0,"""Инфо Фотон Арта"""
TechnicTitle#0,"""Инфо техники"""
OverloadTitle#0,"""Инфо смешанной техники"""
SkillTitle#0,"""Инфо умений"""
NoSelectPAMessage#0,"""Нет выбранных Фотон Артов."""
NoSelectTechnicMessage#0,"""Нет выбранных техник."""
NoSelectOverloadMessage#0,"""нет выбранных смешанных техник."""
Power#0,"""Сила"""
Dex#0,"""Коррекция DEX"""
NeedPp#0,"""Треб.PP"""
PowerValue#0,"""$(0)"""
DexValue#0,"""$(0)％"""
EffectValue#0,"""$(0)％"""
Burn#0,"""Поджог"""
Shock#0,"""Шок"""
Freeze#0,"""Заморозка"""
Bind#0,"""Связанный"""
Silence#0,"""Молчание"""
Poison#0,"""Отравление"""
Break#0,"""Пробитие"""
Injury#0,"""Рана"""
Curse#0,"""Заражение"""
Stun#0,"""Оглушение"""
Panic#0,"""Паника"""
Mirage#0,"""Мираж"""
TechnicCustomize#0,"""Эффективность каст-ции"""
Merit#0,"""Качество"""
Demerit#0,"""Недостаток"""
Special#0,"""Особый эффект"""
Custom1#0,"""1-й тип кастомизации"""
Custom2#0,"""2-й тип кастомизации"""
ActionChange#0,"""Изменение поведения"""
PetTitle#0,"""Инфо питомца"""
NeedGauge#0,"""Исп. заряды"""
NeedGaugeValue#0,"""$(0) (Макс зарядов: $(1))"""
NotFoundGaugeValue#0,"""Комплексные PA не могут быть<br>использованы с текущим оружием."""
MyshopTitle#0,"""Экран подтверждения"""
MyshopMessage#0,"""Вы собираетесь продать одежду<br>с не выношенными Star Gems.<br>Желаете продолжить?"""
TradeTitle#0,"""Подтверждение регистрации"""
TradeMessage#0,"""Вы собираетесь продать одежду<br>с не выношенными Star Gems.<br>Желаете продолжить?"""
TeamWarehouseTitle#0,"""Сообщение"""
TeamWarehouseMessage#0,"""スタージェムを入手していない服を<br>チーム倉庫に預けようとしています。<br><br>チーム倉庫に預けた服の愛着度ゲージは<br>リセットされます。<br><br>よろしいですか？"""
TeamWarehouseTitle2#0,"""Сообщение"""
TeamWarehouseMessage2#0,"""このアイテムをチーム倉庫に移動します。<br>よろしいですか？<br><br>チーム倉庫に預けた服の愛着度ゲージは<br>リセットされます。<br><br><yellow>※チーム倉庫は他プレイヤーも利用するので<br>\u3000ご利用の際はご注意ください。<c>"""
PresentBoxTitle#0,"""Сообщение"""
PresentBoxMessage#0,"""スタージェムを入手していない服を<br>プレゼントボックスに入れようとしています。<br>よろしいですか？"""
GachaTitle#0,"""Сообщение"""
GachaMessage#0,"""スタージェムを入手していない服を<br>フォトガチャンに入れようとしています。<br>よろしいですか？"""
RecycleTitle#0,"""Подтвердить"""
RecycleMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>と、選択したアイテムを交換します。<br><yellow>※以下のアイテム以外は消費されません。<c><br><red>※選択したアイテムにスタージェムを<br>入手していない服が含まれています。<c><br>よろしいですか？"""
RecycleMessageVita#0,"""<c f0df60>$(0)<c>×$(1)<br>と、選択したアイテムを交換します。<br><yellow>※以下のアイテム以外は消費されません。<c><br><red>※選択したアイテムにスタージェムを<br>入手していない服が含まれています。<c><br>よろしいですか？"""
RewardPopupMenu#0,"""Получить Star Gem'ы"""
RewardTitle#0,"""Подтверждение Star Gem'ов"""
RewardMessage#0,"""Поскольку индикатор Star Gem'ов<br>достиг максимального значения,<br>вы можете получить Star Gems.<br><br>Желаете получить их сейчас?"""
RewardGetFailed#0,"""Невозможно получить Star Gem'ы."""
CharaMenu_Party00#0,"""Управление группой"""
CharaMenu_Party01#0,"""Пригласить в группу"""
CharaMenu_Party02#0,"""Сменить лидера группы"""
CharaMenu_Party03#0,"""Выйти из группы"""
CharaMenu_Party04#0,"""Присоединиться к группе"""
CharaMenu_Bl01#0,"""Добавить в черный список"""
CharaMenu_Bl02#0,"""Убрать из чёрного списка"""
CharaMenu_Guild00#0,"""Управление командой"""
CharaMenu_Guild01#0,"""Пригласить в команду"""
CharaMenu_Guild02#0,"""Передать права лидера"""
CharaMenu_Guild03#0,"""Выгнать из команды"""
CharaMenu_Guild04#0,"""Повысить до менеджера"""
CharaMenu_Guild05#0,"""Повысить до постоянного члена"""
CharaMenu_Guild06#0,"""Понизить до постоянного члена"""
CharaMenu_Guild07#0,"""Понизить до гостя"""
CharaMenu_Guild08#0,"""Принять слияние команд"""
CharaMenu_Chat01#0,"""Прошептать"""
CharaMenu_Chat02#0,"""-"""
CharaMenu_Mail01#0,"""Отправить письмо"""
CharaMenu_Item01#0,"""-"""
CharaMenu_Item02#0,"""Запрос на обмен вещами <pict Arcscash>"""
CharaMenu_Friend01#0,"""Запрос на добавление в друзья"""
CharaMenu_Friend02#0,"""Убрать друга"""
CharaMenu_Friend03#0,"""Сообщать о входе"""
CharaMenu_Friend04#0,"""Не сообщать о входе"""
CharaMenu_Friend05#0,"""В блок"""
CharaMenu_Friend06#0,"""Посмотреть ARKS-карту"""
CharaMenu_Friend07#0,"""Показать настройки приоритетов"""
CharaMenu_Friend08#0,"""Настройки группы"""
CharaMenu_MyRoom01#0,"""Исключить из вашей комнаты"""
CharaMenu_MyRoom02#0,"""В комнату"""
CharaMenu_Chara01#0,"""Отправить Good Job"""
CharaMenu_Chara02#0,"""Информация о персонаже"""
CharaMenu_Chara03#0,"""Инфо стиля"""
CharaMenu_Chara04#0,"""Каталог стиля"""
CharaMenu_Chara05#0,"""Предложить другой стиль"""
CharaMenu_Apc01#0,"""Исключить из группы"""
CharaMenu_Action01#0,"""Имитация"""
CharaMenu_Action02#0,"""Реакция"""
ClickCharaName#0,"""Выбран(а) $(0)."""
CharaMenu_Error01#0,"""Невозможно выбрать с вашей учетной записью."""
CharaMenu_Message_Delete01#0,"""Удалить сообщение"""
CharaMenu_GuildRoom01#0,"""Посетить командную комнату"""
CharaMenu_GuildRoom02#0,"""Покинуть командную комнату"""
CharaMenu_moralskeeper_category#0,"""Личная Команда"""
CharaMenu_moralskeeper_menu#0,"""Пожаловаться на игрока"""
CharaMenu_category00#0,"""Персонаж"""
CharaMenu_category01#0,"""Общение"""
CharaMenu_category02#0,"""Друг"""
CharaMenu_category03#0,"""Прочее"""
CharaMenu_Error02#0,"""Персонаж не может быть выбран."""
CharaMenu_TypeChange#0,"""Изменить формат отображения"""
CharaMenu_ToastType1#0,"""Переключился на отображение категории."""
CharaMenu_ToastType2#0,"""Переключился на отображение списка."""
CharaMenu_GroupChat#0,"""Группа"""
CharaMenu_GroupChatChange#0,"""Сменить лидера"""
CharaMenu_GroupChatDelete#0,"""Выгнать участника"""
CharaMenu_Gamertag#0,"""-"""
OperationGuide#0,"""Выбрать: <%Decide>\u3000Назад: <%Cancel>"""
Title#1,"""Координатор классов"""
MainClass#0,"""Основной класс"""
SubClass#0,"""Подкласс"""
Class#0,"""Класс"""
MainClassSelect#0,"""Выбрать основной класс"""
SubClassSelect#0,"""Выбрать подкласс"""
