YesText#0,"""Да"""
HunterHPUp1#1,"""Увеличивает максимальный запас HP."""
GuardStance#1,"""Уменьшает S-ATK и R-ATK, но также и уменьшает получаемые повреждения S-ATK.<br>Активная стойка."""
GuardStanceUp1#1,"""Увеличивает устойчивость к урону при использовании Guard Stance."""
HunterHPUp2#1,"""Увеличивает максимальный запас HP."""
HunterHPUp3#1,"""Увеличивает максимальный запас HP."""
AutoMateHalfline#1,"""Автоматически использует лечащий материал, когда HP падает ниже 50%."""
MaterialDefence1#1,"""Уменьшает урон от S-ATK и R-ATK противника."""
TechDefence#1,"""Уменьшает урон от T-ATK противника."""
MaterialDefence2#1,"""Уменьшает урон от S-ATK и R-ATK противника."""
GuardStancePoison#1,"""Лечение отравлений при использовании Guard Stance."""
GuardStanceBurn#1,"""Лечение ожогов при использовании Guard Stance."""
HunterDfpStrikeUp1#1,"""Увеличивает S-DEF."""
WarCry#1,"""Позволяет привлечь внимание врага на себя. Активное умение."""
IronWill#1,"""Атаки, которые могут вас убить, оставят вам 1 HP."""
HunterAtpStrikeUp1#1,"""Увеличивает S-ATK."""
HunterAtpStrikeUp2#1,"""Увеличивает S-ATK."""
FuryStance#1,"""Увеличивает S-ATK и R-ATK, но также и увеличивает получаемый S-ATK противника.<br>Пассивная стойка."""
FuryStanceUp1#1,"""Увеличивает S-ATK и R-ATK при использовании Fury Stance."""
FuryStanceUp2#1,"""Увеличивает S-ATK и R-ATK при использовании Fury Stance."""
FuryStanceCritical#1,"""Увеличивает шанс критического удара в Fury Stance."""
SwordGear#1,"""В зависимости от PA, скорость зарядки/количество ударов/радиус атаки могут изменяться<br>по мере заполнения счётчика."""
WiredlanceGear#1,"""Удерживающие PA потребляют 1 ячейку счётчика для повышения мощности."""
PartisanGear#1,"""PA потребляют 1 ячейку счётчика для повышения мощности и дальности атак."""
JustAttackBonus1#1,"""Увеличивает наносимый урон от Just Attacks."""
JustAttackBonus2#1,"""Увеличивает наносимый урон от Just Attacks."""
Guard#2,"""Позволяет использовать своё оружие для защиты от лобовых атак противника."""
HunterDfpFirearmUp1#1,"""Увеличивает R-DEF."""
JustGuard#1,"""Обнуляет урон получаемый в ближнем бою при использовании блока."""
JustCounter#1,"""Контрудар сразу после блокирования."""
Rare10Hunter#1,"""При экипировке оружия ☆10 и выше добавляет бонус к урону.<br><yellow>Только для основного класса."""
FuryComboUp#1,"""При активной Fury Stance увеличивает урон от последующих простых атак."""
PrettyGood#1,"""Снижает время действия негативных эффектов."""
Sacrifice#1,"""Восстанавливает НР если во время Guard Stance рядом погибает противник."""
HunterAtpStrikeUp3#1,"""Усиливает S-ATK."""
JustGuardAdvance#1,"""Продвижение Just Guard"""
FuryGearBoost#1,"""Увеличивает скорость заполнения Gear во время Fury Stance или Guard Stance.<br><yellow>Только для основного класса."""
NeverGiveup#1,"""При использовании Iron Will, увеличивается S-ATK на 60 а также увеличивается время неуязвимости.<br>С каждым уровнем бонус увеличивается."""
MassiveHunter#1,"""Снижает получаемый урон и игнорирует пошатывание/сбитие с ног игрока.<br>Активное умение."""
AdvanceGuard#1,"""После успешной Just Guard восстановите HP для себя и всех ближайших персонажей."""
WarBrave#1,"""При активации War Cry получите бонус к урону и восстановите PP в зависимости от количества затронутых врагов.<br><yellow>Только для основного класса."""
HunterDexUp1#1,"""Увеличивает значение DEX."""
AllGuard#1,"""Блокирует урон со всех сторон при защите оружием Хантера.<br><yellow>Только для основного класса."""
GuardStanceJustGuradAttack#1,"""При выполнении Just Guard во время Guard Stance, увеличивает наносимый урон в течение определенного времени.<br><yellow>Только для основного класса."""
JustGuardPpSave#1,"""Восстановление PP после Just Guard с оружием Хантера.<br><yellow>Только для основного класса."""
ChargeParrying#1,"""Активирует Just Guard от заряжаемых Фотон Артов с оружиями Хантера."""
WarCryJellen#1,"""Усиливает эффект War Cry и накладывает Jellen на врагов.<br><yellow>Только для основного класса.<c>"""
HunterHighLevelBonus#1,"""Даёт бонус ко всему наносимому вами урону."""
HunterNextJump#1,"""Позволяет совершать двойной прыжок."""
HunterFirstArtsJAAddition#1,"""Первая атака становится Just Attack. Восстанавливается после активации.<br>Не действует на такты, атаки питомцев и техники."""
HunterAirReversal#1,"""Быстро восстанавливаетесь в воздухе."""
HunterDushJump#1,"""Быстро передвигаетесь, прыгая после использования Step или Dive Roll."""
HunterStepJACombo#1,"""После выполнения Step'а, ещё раз выполняется Just Attack."""
HunterJustReversalJACombo#1,"""После выполнения Just Reversal, ещё раз выполняется Just Attack."""
FighterStep#1,"""Step позволяет быстро перемещаться на короткие расстояния, оставаясь при этом неуязвимым."""
FighterStepAdvance#1,"""Увеличивает неуязвимость во время Step."""
FighterStepAttack#1,"""Позволяет атаковать во время рывка."""
FighterJustReversal#1,"""Нажмите кнопку Прыжка для быстрого восстановления после сбития с ног."""
FighterAtpStrikeUp1#1,"""Увеличивает значение S-ATK."""
BraveStanceUp1#1,"""Увеличивает дополнительный урон при атаке противников с фронта в битве."""
BraveCritical#1,"""Увеличивает шанс критических ударов при атаке врагов с фронта в Brave Stance."""
BraveStance#1,"""Умение, которое увеличивает урон при атаке врагов спереди. Пассивная стойка."""
FighterHPUp1#1,"""Увеличивает максимальное количество HP."""
KnuckleGear#1,"""Gear заполняется последовательными атаками, и увеличивает скорость последующих атак."""
TwindaggerGear#1,"""Gear заполняется при вращении спец действием оружия в воздухе, урон увеличивается относительно уровня заряда Gear."""
FighterAtpStrikeUp2#1,"""Увеличивает значение S-ATK."""
FighterDfpStrikeUp1#1,"""Повышает защиту от ударов."""
AbnormalAdvance#1,"""Дает бонус к атаке по цели под выражением или же негативным статусом."""
AbnormalBind#1,"""Может нанести статус Bind при ударе по цели под негативным статусом."""
WiseStanceUp1#1,"""Дополнительный урон при атаке врагов с тыла в Wise стойки."""
WiseCritical#1,"""Повышает шанс критического урона при атаке врагов с тыла в Wise стойки."""
WiseStance#1,"""Умение, которое увеличивает урон при атаке врагов с тыла. Активная Стойка."""
FighterHPUp2#1,"""Увеличивает максимальное количество HP."""
FighterAtpStrikeUp3#1,"""Увеличивает значение S-ATK."""
DoublesaverGear#1,"""Накопите заряд Gear затем используйте спец действие оружия чтобы использовать ветер наносящий урон."""
HalflineSlayer#1,"""Увеличивает S-ATK, R-ATK, и Т-ATK, когда HP падает до 50% или ниже."""
DeadlineSlayer#1,"""Увеличивает S-ATK, R-ATK, и Т-ATK, когда HP падает до 25% или ниже."""
Rare10Fighter#1,"""При оснащении ☆ 10 оружия или выше, повышается наносимый урон.<br><yellow>Только для основного класса.<c>"""
PPSlayer#1,"""Увеличивает S-АТК R-АТК, и Т-АТК, когда РР падает до 50% или ниже."""
HalflineAbnormal#1,"""Повышает ваши шансы на нанесение негативных эффектов, когда ваше HP составляет 50% или ниже"""
Adrenalin#1,"""Увеличивает длительность Shifta и Deband для себя."""
CrazyHeart#1,"""Увеличивает скорость восстановления автоматического PP и восстановление PP от атак, когда вы поражены негативным эффектом."""
CrazyBeat#1,"""Увеличивает S-ATK, когда вы поражены негативным эффектом."""
AbnormalAdvance2#1,"""Дает бонус к урону, когда вы атакуете цель, пораженную негативным эффектом."""
CriticalStrike#1,"""Дает бонус к критическому урону и увеличивает его шанс.<br><yellow>Только для основного класса.<c>"""
LimitBreak#1,"""Умение, позволяющее временно увеличить наносимый персонажем урон, жертвуя<BR>максимальным показателем HP.<br>Активное умение. <yellow>Только для основного класса.<c>"""
TecArtsJABonus#1,"""Дает бонус к урону, когда используются разные РА/Техники в связке с Just Attack.<br>Для поддержания навыка необходимо чередовать РА/Техники не повторяя."""
FighterDexUp1#1,"""Увеличивает значение DEX."""
DoubleSaberTwister#1,"""Позволяет блокировать удар используя спец действие оружия и активирует торнадо."""
KnuckleGearKeep#1,"""Ускоренный двойной набор Gear."""
TwinDaggerSpinMove#1,"""Позволяет двигаться в любом направлении во время вращения."""
LimitBreakPhotonCharge#1,"""Восстанавливает все PP в конце Limit Break.<br><yellow>Только для основного класса.<c>"""
TecArtsJAPPSave#1,"""Уменьшает потребление PP, когда используются разные РАТехники в связке с Just Attack"""
LimitBreakInsurance#1,"""Выживаете после смертельного удара во время Limit Break с 1 НР. Limit Break сбрасывается,<br>а время восстановления увеличивается. <yellow>Только для основного класса.<c>"""
FighterHighLevelBonus#1,"""Даёт бонус ко всему наносимому вами урону."""
FighterNextJump#1,"""Позволяет совершать двойной прыжок."""
FighterFirstArtsJAAddition#1,"""Первая атака становится Just Attack. Восстанавливается после активации.<br>Не действует на такты, атаки питомцев и техники."""
FighterAirReversal#1,"""Быстро восстанавливаетесь в воздухе."""
FighterDushJump#1,"""Быстро передвигаетесь, прыгая после использования Step или Dive Roll."""
FighterStepJACombo#1,"""После выполнения Step'а, ещё раз выполняется Just Attack."""
FighterJustReversalJACombo#1,"""После выполнения Just Reversal, ещё раз выполняется Just Attack."""
Diveroll#1,"""Позволяется быстро перемещаться на короткое расстояние."""
DiverollAdvance#1,"""Увеличивает время неуязвимости во время Dive Roll."""
RangerJustReversal#1,"""Позволяет быстро встать на ноги если вас отбросили."""
RangerDexUp1#1,"""Увеличивает значение DEX."""
WeakSnipeBonus1#1,"""Бонус к урону при стрельбе в слабые места."""
ReloadWeak#1,"""Только для винтовки - заряжает пули, которые делает цель более уязвимой ко всем атакам."""
RangerDexUp2#1,"""Увеличивает значение DEX 1."""
RangerDexUp3#1,"""Увеличивает значение DEX 2."""
WeakSnipeBonus2#1,"""Увеличивает урон при стрельбе в слабые места."""
StandUpSnipe1#1,"""Увеличивает урон при стрельбе с места."""
RangerDfpFirearmUp1#1,"""Увеличивает защиту от дальних атак."""
StandUpSnipe2#1,"""Увеличивает урон при стрельбе с места."""
ToolMastery#1,"""Увеличивает силу использования ловушек."""
TrapPoizon#1,"""Отравляющие ловушки."""
TrapPoizonCustom#1,"""Увеличивает вероятность отравления от ловушек."""
TrapUpper#1,"""Устанавливает ловушку с активатором, подбрасывающую противника."""
TrapUpperCustom#1,"""Увеличивает силу подбрасывающей ловушки."""
TrapFlash#1,"""Граната, оглушающая противников. Не оказывает эффекта на боссов."""
TrapSearch#1,"""Позволяет обнаружить скрытые ловушки."""
RangerAtpFirearmUp1#1,"""Увеличивает значение R-ATK."""
ReloadBind#1,"""Только для винтовки - заряжает пули, которые наносят статус Bind."""
RangerAtpFirearmUp2#1,"""Увеличивает значение R-ATK."""
ReloadJellen#1,"""Только для п. установки - заряжает снаряд джеллен который снижает силу атаки противника."""
ReloadMirage#1,"""Только для п. установки - заряжает снаряд заражения мираж."""
ReloadPanic#1,"""Только для п. установки - заряжает снаряд заражения вызывающий панику."""
Rare10Ranger#1,"""При оснащении 10☆ оружия и выше, увеличивает наносимый урон.<br><yellow>Только для основного класса.<c>"""
KillingBonus#1,"""Восстанавливает PP, когда ближайшая цель уничтожена."""
FirstHit#1,"""Дает бонус к урону, когда вы атакуете врага с полным показателем HP."""
BulletPPSave#1,"""При использовании специальных пуль, потребление PP уменьшается."""
TacticsTrap#1,"""Восстанавливает PP, когда вы наносите урон ловушками."""
PowerBullet#1,"""Увеличивает значение R-ATK при использовании специальных пуль."""
WeakSnipeAddPB#1,"""Фотон бласт заполняется быстрее, если вы стреляете в слабые места."""
SniperPride#1,"""Увеличивает урон при стрельбе на большой дистанции.<br><yellow>Только для основного класса.<c>"""
GravityBom#1,"""Гравитационная бомба, которая втягивает в себя цели и наносит им урон."""
BulletKeep#1,"""Позволяет сохранить специальные боеприпасы при смене оружия в обойме, для п. установки и винтовки.<br><yellow>Только для основного класса.<c>"""
MovingSnipe#1,"""Увеличивает урон при стрельбе во время движения."""
DiverollShoot#1,"""Включает атаки во время Dive Roll."""
BulletKeepGs#1,"""Позволяет использовать специальные боеприпасы для Gunslash.<br><yellow>Только для основного класса.<c>"""
MassiveBullet#1,"""Защита от пошатывания и сбития с ног во время использования специальных боеприпасов.<br><yellow>Только для основного класса.<c>"""
BulletDiverollShoot#1,"""Позволяет использовать специальные боеприпасы во время Dive Roll."""
ExTrapMode#1,"""Увеличивает мощность и диапазон умений связанных с ловушками.<br><yellow>Только для основного класса.<c>"""
RangerHighLevelBonus#1,"""Даёт бонус ко всему наносимому вами урону."""
RangerNextJump#1,"""Позволяет совершать двойной прыжок."""
RangerFirstArtsJAAddition#1,"""Первая атака становится Just Attack. Восстанавливается после активации.<br>Не действует на такты, атаки питомцев и техники."""
RangerAirReversal#1,"""Быстро восстанавливаетесь в воздухе."""
RangerDushJump#1,"""Быстро передвигаетесь, прыгая после использования Step или Dive Roll."""
RangerStepJACombo#1,"""После выполнения Step'а, ещё раз выполняется Just Attack."""
RangerJustReversalJACombo#1,"""После выполнения Just Reversal, ещё раз выполняется Just Attack."""
GunnerDiveroll#1,"""Позволяет быстро перемещаться на короткие расстояния."""
GunnerDiverollAdvance#1,"""Увеличивает продолжительность неуязвимости во время Dive Roll."""
GunnerDfpFirearmUp1#1,"""Увеличивает защиту от дальних стрелковых атак."""
GunnerJustReversal#1,"""Нажмите кнопку Прыжка для быстрого восстановления после сбития с ног."""
GunnerAtpFirearmUp1#1,"""Увеличивает значение R-ATK."""
GunnerAtpFirearmUp2#1,"""Увеличивает значение R-ATK."""
GunnerAtpFirearmUp3#1,"""Увеличивает значение R-ATK."""
GunnerZeroRangeBonus1#1,"""Увеличивает урон при стрельбе с близкого расстояния."""
GunnerZeroRangeBonus2#1,"""Увеличивает урон при стрельбе с близкого расстояния."""
GunnerOverWhelm#1,"""Ускоряет восстановление РР при атаке<br>врагов не являющихся боссами."""
TechterAssistField#1,"""仮テキスト"""
TechterWandLovers#1,"""<yellow>[Активное умение]<c><br>Временно позволяет блокировать удары<br>врагов обычными атаками,<br>предотвращает отбрасывание.<br><yellow>※Только для вандов.<c>"""
TechterShiftaStrike#1,"""Даёт Shifta-Deband доп. эффект,<br>увеличивающий способность наложения<br>Down на врагов.<br><yellow>※Только основной класс.<c>"""
TechterShiftaAdvance#1,"""Даёт Shifta-Deband доп. эффект,<br>увеличивающий урон, наносимый<br>врагам с эффектом Down.<br><yellow>※Только основной класс.<c>"""
TechterDebandCut#1,"""Даёт Shifta-Deband доп. эффект,<br>снижающий вероятность получения<br>эффекта статуса игроком.<br><yellow>※Только основной класс.<c>"""
TechterDebandPpReStraight#1,"""Даёт Shifta-Deband доп. эффект,<br>увеличивающий регенерацию РР.<br><yellow>※Только основной класс.<c>"""
TechterExtendAssist#1,"""Увеличивает продолжительность<br>Shifta-Deband.<br><yellow>※Только основной класс.<c>"""
TechterReverseBonus#1,"""Применяет Shifta-Deband на оживших<br>товарищей.<br><yellow>※Только основной класс.<c>"""
TechterWandGuardCounterEdge#1,"""Создаёт ударную волну при активации<br>Wand Parry Counter."""
TechterFallSlowCharge#1,"""Замедляет падение во время зарядки<br>техники и Фотон Арта в воздухе.<br><yellow>※Только для оружия тектера.<c>"""
TechterBartaBlot#1,"""Не заряж-е техники льда достаточным<br>кол-м ударов зарядят ледяной крест.<br>Удар заряж-й версией вызовет взрыв."""
TechterZondeClad#1,"""Не заряж-е техники молнии достаточным<br>кол-м ударов введут вас в заряженное<br>состояние. Удар заряже-й версии<br>нанесёт больше урона."""
TechterTalisQuickMarkShot#1,"""Исп-е действия оружия без клавиши<br>направления будет временно атаковать<br>ближайших врагов.<br><yellow>※Только для талисов.<c>"""
TechterTalisSetRevok#1,"""Нажатие и удержание действия оружия<br>убирает активный талис.<br><yellow>※Только для талисов.<c>"""
BraverGuardRelief#1,"""Снижает урон и расход PP при блокировке<br>атак с помощью действия оружия для<br>блокирования."""
BraverRestaHealUp#1,"""Увеличивает кол-во восстаноавливаемого НР<br>при использовании Resta Signs."""
BraverJustReversalCover#1,"""Восстанавливает НР при восстановлении<br>с помощью Just Reversal во время боя."""
BraverCombat#1,"""<yellow>[Активное умение]<c><br>Временно умень-т расход и ускоряет восст-е<br>РР при атаке. Повторное исп-е<br>активирует мощную атаку.<br><yellow>※Только для оружия брейвера.<c>"""
BraverBraveCombatShortTime#1,"""Уменьшает продолжительность Brave Combat,<br>сокращая продолжительность перезарядки."""
BraverCombatCountAfterBonus#1,"""С окончанием Brave Combat восст-т НР и РР<br>в зависимости то кол-ва ударов по врагам.<br><yellow>※Только для брейверов и их оружия.<c>"""
Katana:LockonChase#1,"""Во время Brave Combat, находясь рядом<br>с целью, вы будете автоматически<br>сокращать дистанцию.<br><yellow>※Только для катаны.<c>"""
BraverCompoundbowPaArmor#1,"""Во время Brave Combat временно после<br>использования Фотон Арта предотвращает<br>отлёт.<br><yellow>※Только для лука.<c>"""
BraverKatanaGuardCounter#1,"""При успешной защите (Just Guard) с помощью<br>действия оружия, автоматически выполняете<br>контратаку.<br><yellow>※Только для катаны.<c>"""
Katana:CounterEdge#1,"""Добавляет ударную волну<br>Katana Guard Counter."""
Katana:ComboCountSkill#1,"""Поддерживает ваши этапы комбо даже при<br>использовании разных Фотон Артов.<br><yellow>※Только для катаны.<c>"""
Katana:Ambition#1,"""Временно после использования PA либо<br>обычной атаки блокирует атаки спереди<br>и автоматически выполняет контратаку.<br><yellow>※Только для катаны.<c>"""
BraverCounterArrow#1,"""Использование обычной атаки после уклонения<br>от атаки с помощью действия оружия<br>выполняет контратаку.<br><yellow>※Только для лука.<c>"""
BraverCompoundbowHoming#1,"""Стрелы, выпущенные обычной атакой, будут<br>преследовать врагов.<br><yellow>※Только для лука.<c>"""
BraverCompoundbowSlideDodge#1,"""После нажатия кнопки направления и<br>использования действия оружия после<br>использования PA выполнит особую<br>скользящую атаку.<br><yellow>※Только для лука.<c>"""
BouncerDownRateUp#1,"""Увеличивает продолжительность всех<br>Down врага."""
BouncerNakedKiller#1,"""Увелич-т наносимый и уменьшает<br>получаемый от врагов урон,в<br>зависимости от кол-ва разрушенных<br>частей врагов."""
BouncerDefeatPpGain#1,"""Восстанавливает РР, когда враг<br>в статусе Down.<br><yellow>※Только основной класс.<c>"""
BouncerFrailPointUp#1,"""Увеличивает продолжительность<br>спада физ/атрибут Down.<br><yellow>※Только основной класс.<c>"""
BouncerPhysicFrail#1,"""Упрощает PA нанесение физ урона<br>врагам. Дальнейшие PA могут усил.<br>эффект до 3 этапов.<br><yellow>※Основной класс/парные клинки.<c>"""
BouncerElementFrail#1,"""Упрощает PA нанесение атрибутного<br>урона врагам. Дальнейшие PA могут<br>усилить эффект до 3 этапов.<br><yellow>※Осн. класс/реактивные ботинки.<c>"""
BouncerPhotonBladeFever#1,"""<yellow>[Активное умение]<c><br>Временно увел-т урон и скорость<br>стрельбы фотонными клинками.<br><yellow>※Только парные клинки.<c>"""
BouncerPhotonBladeFeverUp#1,"""Увел-т кол-во фотонных клинков,<br>выпущенных при каждом действии<br>оружия во время Fanatic Blade.<br><yellow>※Только парные клинки.<c>"""
BouncerPhotonBladePpGain#1,"""Увел-т восст-е РР от обычных атаки<br>при поражении врагов фотонным<br>клинком.<br><yellow>※Только парные клинки.<c>"""
BouncerElementBurst#1,"""<yellow>[Активное умение]<c><br>Доб-т шкалу, заполн. при выполн.<br>обычных атак и уклон. действием<br>оружия. Исп. выполн. мощн атаку.<br><yellow>※Только реактивные ботинки.<c>"""
BouncerJetBootsElementChange#1,"""Добаляет доп атаку PA, основанную<br>на атрибуте последней использ-й<br>техники.<br><yellow>※Только реактивные ботинки.<c>"""
BouncerJetBootsAttackExtra#1,"""Увеличивает количество обычных<br>атак в комбо до 4х.<br><yellow>※Только реактивные ботинки.<c>"""
BouncerJetBootsJetAttack#1,"""Когда враг находится в пределах<br>досягаемости, при удерж. кнопки<br>обычной атаки будет выполн.<br>ускоряющаяся серия ударов.<br><yellow>※Только реактивные ботинки.<c>"""
BouncerJetBootsEnhancePA#1,"""Если нажмёте и зажмёте кнопку PA,<br>поведение атаки изменится.<br><yellow>※Только реактивные ботинки.<c>"""
BouncerJetBootsWeaponActionCounter#1,"""Автомат-ки выполн. контратаку при<br>успешном уклон. действием оружия.<br>После этого, при исп-и обычной<br>атаки, будет выполн доп контрат.<br><yellow>※Только реактивные ботинки.<c>"""
BouncerJetBootsBlink#1,"""При нажатии кнопки обычной атаки<br>после использования техники<br>будет совершаться выпад<br>в сторону врага.<br><yellow>※Только реактивные ботинки.<c>"""
BouncerBartaBlot#1,"""Не заряж-е техники льда достаточным<br>кол-м ударов зарядят ледяной крест.<br>Удар заряж-й версией вызовет взрыв."""
BouncerZondeClad#1,"""Не заряж-е техники молнии достаточным<br>кол-м ударов введут вас в заряженое<br>состояние. Удар заряже-й версии<br>нанесёт больше урона."""
BouncerPhotonBladeGuard#1,"""Атаки врага сводятся на нет лишь раз<br>при нажатии кнопки действия оружия<br>во время активации PA.<br><yellow>※Только парные клинки/Осн. класс.<c>"""
BouncerElementBurstPPSave#1,"""После активации Sturm Gigue временно уменьшается расход РР.<br><yellow>※Только реактивные ботинки/Осн. класс.<c>"""
TwinmachinegunGear#1,"""Заполняя Gear, увеличивает силу атак."""
ShowTime#1,"""Только парные PP. В течение фиксированного времени резко увеличивается накопление Gear в обмен на ненависть целей. Активное умение."""
GunnerHPUp1#1,"""Увеличивает максимальный значение HP."""
ChainTrigger#1,"""Обычные атаки вызывает статус Chain, который набирается обычными атаками и закрывается PA. Активное умение."""
ChainFinish#1,"""Увеличивает урон от Chain Finishers."""
GunnerDexUp1#1,"""Увеличивает значение DEX."""
AerialAdvance#1,"""Увеличивает урон при атаке целей, находясь в воздухе."""
GunnerDexUp2#1,"""Увеличивает значение DEX."""
GunnerDfpFirearmUp2#1,"""Увеличивает защиту от дальних стрелковых атак."""
GunnerAutoMateDeadline#1,"""Автоматически используется предмет -mate типа при повреждении, если HP ниже 25%."""
Rare10Gunner#1,"""При оснащении ☆ 10 оружия и выше, повышается наносимый урон.<br><yellow>Только для основного класса.<c>"""
PerfectKeeper#1,"""Увеличивает урон, наносимый цели, когда значение HP составляет 75% или выше."""
SRollUP#1,"""Увеличивает урон во время Stylish Roll."""
SRollCombo#1,"""Увеличивается наносимый урон, если Just Attack используется после Stylish Roll."""
SRollArts#1,"""Используя PA во время Stylish Roll вы совершите мощную атаку."""
ToughnessTime#1,"""Во время Showtime, уменьшает снижение заряда Gear основываясь на базовой атаке."""
ShowTimeStar#1,"""Во время Showtime увеличивает максимальный уровень PP при использовании парных PP."""
HighTime#1,"""Бонус к урону в время Showtime, который увеличивается с течением времени. Сбрасывается при получении урона.<br><yellow>Только для основного класса.<c>"""
GunnerZeroRangeCritical#1,"""Увеличивает критический урон вблизи."""
TwiceChain#1,"""Двойной chain при использовании Двойных PP."""
ChainFinishBonus#1,"""Уменьшение времени перезарядки Chain при активации Chain Finish."""
OnemoreTime#1,"""Если время действия Showtime заканчивается и персонаж не получил урона, Showtime будет повторно активирован."""
GunnerDiverollShoot#1,"""Включает атаки во время Dive Roll."""
MasteryTwinmachinegun#1,"""Увеличивает регенерацию PP и критический урон при использовании Двойных PP.<br><yellow>Только для основного класса.<c>"""
TecArtsChargePA#1,"""Время заряда PA уменьшается при переходе на другой PA при использовании Двойных PP.<br><yellow>Только для основного класса.<c>"""
SRollArtsModeA#1,"""Изменяет действие S Roll Arts. Атака будет охватывать радиус шире чем обычно, а также увеличится мощность выстрелов.<br><yellow>Только для основного класса.<c>"""
GunnerHighLevelBonus#1,"""Даёт бонус ко всему наносимому вами урону."""
GunnerNextJump#1,"""Позволяет совершать двойной прыжок."""
GunnerFirstArtsJAAddition#1,"""Первая атака становится Just Attack. Восстанавливается после активации.<br>Не действует на такты, атаки питомцев и техники."""
GunnerAirReversal#1,"""Быстро восстанавливаетесь в воздухе."""
GunnerDushJump#1,"""Быстро передвигаетесь, прыгая после использования Step или Dive Roll."""
GunnerStepJACombo#1,"""После выполнения Step'а, ещё раз выполняется Just Attack."""
GunnerJustReversalJACombo#1,"""После выполнения Just Reversal, ещё раз выполняется Just Attack."""
MirageEscape#1,"""Искажает свет, чтобы стать неуязвимым при перемещении на короткие расстояния."""
MirageEscapeAdvance#1,"""Увеличивает продолжительность неуязвимости во время Mirage Escape."""
ForceJustReversal#1,"""Нажмите кнопку Прыжка для быстрого восстановления после сбития с ног."""
ForceAtpTechnicUp1#1,"""Увеличивает значение T-ATK."""
TechChargeBonus1#1,"""Увеличивает урон от заряженных техник."""
TechChargeBonus2#1,"""Увеличивает урон от заряженных техник."""
ChargePPRestraint#1,"""Восстанавливает PP во время зарядки техник."""
PhotonFlare#1,"""Временно увеличивает значение T-ATK. Активное умение."""
PhotonFlareBoost#1,"""Увеличивает значение T-ATK, когда активно умение Photon Flare."""
ForcePPUp1#1,"""Увеличивает максимальное PP."""
ForcePPUp2#1,"""Увеличивает максимальное PP."""
TechNonChargeBonus1#1,"""Увеличивает урон от незаряженных техник."""
PPRestraint1#1,"""Увеличивает восстановление PP."""
PPRestraint2#1,"""Увеличивает восстановление PP."""
ForceAtpTechnicUp2#1,"""Увеличивает значение T-ATK."""
TechJustAttackBonus1#1,"""Увеличивает наносимый урон от Техник при Just Attack."""
MasteryFire1#1,"""Увеличивает силу техники огня."""
BurnBoost#1,"""Увеличивает вероятность поджога."""
MasteryFire2#1,"""Увеличивает силу техники огня."""
FireTechnicShortCharge#1,"""Сокращает время зарядки огненных техник."""
MasteryIce1#1,"""Увеличивает силу ледяных техник."""
FreezeBoost#1,"""Увеличивает вероятность замораживания."""
MasteryIce2#1,"""Увеличивает силу ледяных техник."""
FreezeIgnition#1,"""Наносит огромный урон при взрыве замороженных врагов."""
MasteryLightning1#1,"""Увеличивает силу техник молнии."""
ShockBoost#1,"""Увеличивает вероятность шока."""
MasteryLightning2#1,"""Увеличивает силу техник молнии."""
LightningTechnicPPSave#1,"""Сокращает стоимость PP для техники молнии."""
ForceDfpTechnicUp1#1,"""Увеличивает защиту от техник."""
Rare10Force#1,"""При использовании оружия ☆ 10 или выше наносимый урон увеличивается.<br><yellow>Только для основного класса.<c>"""
PhotonFlareAfterBurst#1,"""По истечении времени  Photon Flare увеличивает значение T-ATK на 30 секунд."""
PhotonFlareTactics#1,"""Увеличивает вероятность наложения эффекта статуса, когда активна функция Photon Flare."""
FreezeKeep#1,"""Увеличивает длительность статуса заморозки, также при атаке будет сложнее разрушить статус заморозки."""
TalisTecBonus#1,"""Увеличивает бонус силы техниками, выполненными талисами."""
FreezeIgnitionUP#1,"""Увеличение Freeze Ignition's дистанции и силы."""
ForceAtpTechnicUp3#1,"""Увеличивает значение T-ATK."""
ErementConversion#1,"""Показатель атрибута вашего оружия конвертируется в бонус к наносимому урону для техник.<br>Если атрибуты идентичны, эффект усиливается. <yellow>Только для основного класса."""
ChargeEscape#1,"""Позволяет поддерживать заряжённую технику во время Mirage Escape.<br><yellow>Только для основного класса."""
ForceDexUp1#1,"""Увеличивает значение DEX."""
ForceHPUp1#1,"""Увеличивает значение HP."""
RodKeepBornus#1,"""При использовании рода позволяет уменьшить расход PP."""
RodChargeGuard#1,"""При использовании рода, позволяет активировать Just Guard в момент заряда техники."""
TalisTecFastThrow#1,"""Увеличивает скорость талисов.<br><yellow>Только для основного класса.<c>"""
RodShoot#1,"""Добавляет возможность атаковать на дистанции обычными атаками.<br><yellow>Только для основного класса.<c>"""
ForceChargeTechJA#1,"""Заряженным техникам даёт эффект Just Attack.<br>Может перезарядиться после короткой перезарядки."""
PhotonFlareDenoise#1,"""Уменьшает время зарядки техник родом на 20 секунд после активации Photon Flare.<br><yellow>Только для основного класса.<c>"""
ForceHighLevelBonus#1,"""Даёт бонус ко всему наносимому вами урону."""
ForceNextJump#1,"""Позволяет совершать двойной прыжок."""
ForceFirstArtsJAAddition#1,"""Первая атака становится Just Attack. Восстанавливается после активации.<br>Не действует на такты, атаки питомцев и техники."""
ForceAirReversal#1,"""Быстро восстанавливаетесь в воздухе."""
ForceDushJump#1,"""Быстро передвигаетесь, прыгая после использования Step или Dive Roll."""
