CorrectionAssignMapTitle#0,"""Восстановление настроек управления"""
CtrlPadBehaviorTriggerMessageR#0,"""Сейчас будет определён [Задняя правая кнопка] если она - триггер.<br>(Работает только на аналоговых контроллерах)<br>Пожалуйста, нажмите на кнопку, изображённую на фигуре снизу.<br><br><yellow>Если ничего не происходит, когда вы её нажимаете, то контроллер не аналоговый.<br>Нажмите <c>$(0)<yellow>, чтобы перейти к настройке кнопок.<c>"""
CtrlPadBehaviorConfirmInitTitle#0,"""Сбросить всё"""
CtrlPadBehaviorConfirmApplyTitle#0,"""Подтвердить"""
CtrlPadBehaviorConfirmInitMessage#0,"""Выполняется сброс настроек."""
CtrlPadBehaviorConfirmApplyMessage#0,"""Выполняется сохранение настроек."""
CtrlPadBehaviorHelpSetting#0,"""Настройка джойстиков, распознавание триггеров<br>и назначение кнопок по порядку."""
CtrlPadBehaviorHelpInitialize#0,"""Автоматически изменит на рекомендуемые<br>настройки, подготовленные для каждого<br>геймпада."""
CtrlPadBehaviorHelpInitializeDisable#0,"""Этот геймпад не поддерживает автоматическую<br>настройку."""
CtrlPadBehaviorHelpTrigger#0,"""Установка действия триггеров."""
CtrlPadBehaviorButtonDefTitle#0,"""Назначение кнопок"""
CtrlPadBehaviorButtonDefMessage2#0,"""Здесь вы можете сопоставить кнопки вашего контроллера с<br>кнопками, отображаемым в игре, в случае,<br>если они были определены некорректно.<br><br>Нажмите кнопку [Изменить], затем сопоставьте <br><c ff007f>[Отображаемую кнопку]<c> с кнопкой на вашем контроллере."""
CtrlPadBehaviorButtonDefCaptionDef#0,"""<c ff007f>Отображаемая кнопка<c>"""
CtrlPadBehaviorButtonDefCaptionAssign#0,"""Назначение кнопки"""
CtrlPadBehaviorButtonDefApply#0,"""Вернуться"""
CtrlPadBehaviorButtonDefDisapply#0,"""Отменить и вернуться"""
CtrlPadBehaviorButtonDefMessage#0,"""Нажмите кнопку, используемую вместо $(0)."""
CtrlPadBehaviorButtonDefDisable#0,"""<gray>Автоматически(Аналоговая)<c>"""
CtrlPadCtrlTitle#0,"""Настройки геймпада"""
CtrlPadInitToast#0,"""Геймпад будет настроен автоматически.<br>Вы можете вручную настроить геймпад."""
RadioButtonEnable#0,"""Включить"""
RadioButtonDisable#0,"""Выключить"""
RadioButtonShow#0,"""Показать"""
RadioButtonHide#0,"""Скрыть"""
RadioButtonAllow#0,"""Позволять"""
RadioButtonDisallow#0,"""Запрещать"""
RadioButtonCtrlNormal#0,"""Обычная"""
RadioButtonCtrlCustom#0,"""Своя （Изменение настр-х настроек: <pict Sign_TRIANGLE>）"""
RadioButtonCtrlType1#0,"""1-й тип"""
RadioButtonCtrlType2#0,"""2-й тип"""
RadioButtonCtrlType3#0,"""3-й тип"""
RadioButtonSave#0,"""Сохранить"""
RadioButtonNotSave#0,"""Не сохранять"""
RadioButtonButtonResetOn#0,"""Отображать"""
RadioButtonButtonResetOff#0,"""Не отображать"""
Number0#0,"""0"""
Number50#0,"""50"""
Number100#0,"""100"""
VITA_CustomWindow#0,"""<pict Sign_TRIANGLE>カスタム設定変更"""
VITA_CustomTitle#0,"""カスタム設定"""
VITA_PushButton#0,"""ボタン入力"""
VITA_CustomToast1#0,"""カスタム設定が変更されました。各操作タイプを「カスタム」にすることで有効になります。"""
VITA_CustomToast2#0,"""重要な操作が未設定になっています。"""
VITA_AutoRun#0,"""オートラン/サブパレット切替左"""
VITA_ChangeView#0,"""視点切替/サブパレット切替右"""
VITA_CustomInfo#0,"""カスタム設定はボタン以外にも<br>背面タッチパッドの左上<pict Sign_BACK_L>と右上<pict Sign_BACK_R>を設定できます。<br><br>変更したい項目名を選んでから、ボタンまたは<br>背面タッチパッドを押して、設定を変更してください。"""
DrawFilterText#0,"""Фильтры экрана <pict Arcscash>"""
DrawFilterUsually#0,"""Обычный"""
DrawFilterGrayScale#0,"""Монохром"""
DrawFilterSepia#0,"""Серпия"""
DrawFilterFading#0,"""Винтаж"""
DrawFilter8bit#0,"""8 бит"""
DrawFilter#0,"""Выберите фильтр экрана для применения."""
DrawFilterMessageText#0,"""Можно использовать только при наличии<br>активного премиум набора.<br>Пожалуйста, выберите один из приведенных<br>ниже фильтров экрана."""
xx_DrawFilterMessageText#0,"""Можно использовать только при наличии<br>активного премиум набора.<br>Пожалуйста, выберите один из приведенных<br>ниже фильтров экрана."""
cc_DrawFilterMessageText#0,"""Можно использовать только при наличии<br>активного премиум набора.<br>Пожалуйста, выберите один из приведенных<br>ниже фильтров экрана."""
DrawFilterMessagePremiumOn#0,"""<yellow>Премиум активен<c>"""
DrawFilterMessagePremiumOff#0,"""<red>Дата истечения премиума<c>"""
DetailPolluteOthers#0,"""-"""
AuraSlider_Text_0#0,"""Прозрачность"""
AuraSlider_Text_1#0,"""-"""
CtrlFuncNameOpenTotalScoreBoost#0,"""Связанные с квестом бонусы"""
CtrlFuncNameStartChatGroup#0,"""Начать групповой чат"""
Title_DetailInfo#0,"""Подробная информация"""
FloatTextItemVita#0,"""Настройки отображения выпадаемых предметов"""
Config_Padinput01#0,"""Тип ввода геймпада"""
Config_Padinput02#0,"""Вибрация геймпада"""
Config_Padinput03#0,"""Геймпад (не активное окно)"""
Config_Padinput01_Select01#0,"""DirectInput"""
Config_Padinput01_Select02#0,"""XInput"""
Config_Padinput02_Select01#0,"""Вкл. вибрацию"""
Config_Padinput02_Select02#0,"""Выкл. вибрацию"""
Config_Padinput03_Select01#0,"""Активировать"""
Config_Padinput03_Select02#0,"""Отключить"""
Config_PadInput04#0,"""Выбор типа ввода геймпада"""
Config_PadInput05#0,"""Выберите тип ввода в соответствии с геймпадом.<br><yellow>※Если “XInput”не работает должным образом, измените его обратно на “DirectInput” с помощью клавиатуры или мыши.<c>"""
Config_PadInput06#0,"""Переключение вибрации геймпада"""
Config_PadInput07#0,"""Вибрация доступна только при выборе “XInput”.<br><yellow>※ Некоторые геймпады могут не поддерживать вибрацию.<c>"""
Config_PadInput07_PS4#0,"""<yellow>※<%GamePad>によっては、振動しない場合があります。<c>"""
Config_PadInput07_pad#0,"""Можно активировать только при выборе “XInput”.<br><yellow>※Некоторые геймпады не поддерживают вибрацию.<c>"""
Config_PadInput07_con#0,"""Можно активировать только при выборе “XInput”.<br><yellow>※Некоторые геймпады не поддерживают вибрацию.<c>"""
Config_PadInput12#0,"""Геймпад (не активное окно)"""
Config_PadInput13#0,"""Выберите, будут ли приниматься сигналы с геймпада при не активном окне."""
Config_PadInput17#0,"""Настройки геймпада по умолчанию"""
Config_PadInput18#0,"""Калибровку можно выполнить только при активном “DirectInput”."""
SubCategory_ToonTitle#0,"""キャラクターのトゥーン表示設定"""
SubCategory_ToonDetail#0,"""キャラクターやコスチュームなどの表示を、<br>トゥーン（アニメ）調で描写するかを設定します。<br><br>この設定は、作成済みの<yellow>すべてのキャラクター<c>に<br>反映されます。<br><br><yellow>※『NGS』ブロックでのみ、表示が適用されます。<br><br>※後から各キャラクターごとに、<br>\u3000“エステ”や“オプション”で<br>\u3000設定の変更や調整ができます。<c>"""
SubCategory_ToonDetail2#0,"""キャラクターやコスチュームなどの表示を、<br>トゥーン（アニメ）調で描写するかを設定します。<br><br><yellow>※『NGS』ブロックでのみ、表示が適用されます。<br><br>※後からエステ”や“オプション”で<br>\u3000設定の変更や調整ができます。<c>"""
SubCategory_ToonSelect1#0,"""トゥーン調にする"""
SubCategory_ToonSelect2#0,"""変更しない"""
Subject_000#0,"""Настройки действий"""
Subject_001#0,"""Настройки HUD"""
Subject_002#0,"""Настройки меню"""
Subject_003#0,"""Авто-подбор предметов"""
Subject_004#0,"""Прочие настройки"""
Subject_005#0,"""Настройки камеры"""
Subject_006#0,"""Горизонтальная скорость вращения"""
Subject_007#0,"""Вертикальная скорость вращения"""
Subject_008#0,"""Отображение урона"""
Subject_009#0,"""Отображение исцеления/урона"""
Subject_010#0,"""Отображение EXP"""
Subject_011#0,"""Уведомления о выпадаемых предметах"""
Subject_012#0,"""Уведомления о подтверждении"""
Subject_013#0,"""Настройки сообщений"""
Subject_014#0,"""Прочие уведомления"""
Subject_015#0,"""Настройки чата"""
Subject_016#0,"""Отображать авто-текста от других"""
Subject_017#0,"""Каналы, показываемые в [Показать всё]"""
Subject_018#0,"""Настройки скриншотов"""
Subject_019#0,"""Настройки редактора персонажей"""
Subject_020#0,"""Настройки райд-роида"""
Subject_021#0,"""Настройка Дарк Бластов"""
Subject_022#0,"""Громкость музыки"""
Subject_023#0,"""Громкость звуков"""
Subject_024#0,"""Громкость голоса"""
Subject_025#0,"""Громкость внутриигровых роликов"""
Subject_026#0,"""Функции воспроизведения"""
Subject_027#0,"""Настройки эффектов"""
Subject_028#0,"""Количество детализированных моделей"""
Subject_029#0,"""Количество отображаемых Фотон Бластов"""
Subject_030#0,"""Качество отображения"""
Subject_031#0,"""Качество теней"""
Subject_032#0,"""Яркость экрана"""
Subject_033#0,"""Свет камеры"""
Subject_034#0,"""Функции мыши"""
Subject_035#0,"""Голосовой чат вкл/выкл"""
Subject_036#0,"""Список желаний, список подарков"""
Config_000_Name#0,"""Настройка авто-прицеливания"""
Config_000_Choices_0#0,"""Нажать"""
Config_000_Choices_1#0,"""Удерживать"""
Config_000_Hint#0,"""Определяет принцип работы фиксации цели.<br>Определяет необходимость для фиксации цели<br>нажатия кнопки один раз, или её удерживания."""
Config_001_Name#0,"""Переключать фиксацию цели <%RStick>"""
Config_001_Choices_0#0,"""Включить"""
Config_001_Choices_1#0,"""Выключить"""
Config_001_Hint#0,"""Если функция активна, то цель<br>будет сменяться с помощью <%RStick>."""
Config_002_Name#0,"""Настройка смены палитры"""
Config_002_Hint#0,"""Определяет переключение палитры.<br><br>Переключение только при удержании кнопки."""
Config_003_Name#0,"""Двойное нажатие для уворота"""
Config_003_Choices_0#0,"""Длинный интервал"""
Config_003_Choices_1#0,"""Средний интервал"""
Config_003_Choices_2#0,"""Короткий интервал"""
Config_003_Choices_3#0,"""Выключить"""
Config_003_Hint#0,"""Можете задать интервал для<br>действия уворота, посредством<br>клавиш движения ([W]/[A]/[S]/[D])."""
Config_004_Name#0,"""Вращение карты"""
Config_004_Choices_0#0,"""Не вращается"""
Config_004_Choices_1#0,"""Вращается"""
Config_004_Hint#0,"""Настройка вращения радара вслед<br>за направлением камеры."""
Config_005_Name#0,"""Смена положения карты при E-Trial"""
Config_005_Choices_0#0,"""Переключение на широкую карту"""
Config_005_Choices_1#0,"""Не менять"""
Config_005_Hint#0,"""Пока карта радара увеличена,<br>вы можете изменять настройки<br>временного увеличения во время<br>срочного испытания."""
Config_006_Name#0,"""Содержимое активной под-палитры"""
Config_006_Choices_0#0,"""Не показывать"""
Config_006_Choices_1#0,"""Показывать при переключении"""
Config_006_Choices_2#0,"""Показывать всегда"""
Config_006_Hint#0,"""Настройка отображения выбранной<br>под-палитры."""
Config_007_Name#0,"""Информация о параметрах питомца"""
Config_007_Choices_0#0,"""Показывать"""
Config_007_Choices_1#0,"""Не показывать"""
Config_007_Hint#0,"""Настройка бара НР питомца и внешнего<br>вида иконки состояния."""
Config_008_Name#0,"""Отображение имени члена группы"""
Config_008_Choices_0#0,"""Белый"""
Config_008_Choices_1#0,"""Синий"""
Config_008_Hint#0,"""Выбор цвета отображения имён персонажей<br>между тёмно-синим и белым."""
Config_009_Name#0,"""Оторажение цвета шкалы НР по атрибутам"""
Config_009_Choices_0#0,"""Активировать"""
Config_009_Choices_1#0,"""Отключить"""
Config_009_Hint#0,"""Цвет, отображаемый на НР баре при попадании<br>ближним, дальним или технической атакой."""
Config_010_Name#0,"""Иконка смерти игрока"""
Config_010_Hint#0,"""Следует ли отображать иконку игрока,<br>нуждающегося в возрождении.<br>※Вы можете получить бонус, даже если иконка<br>не отображается."""
Config_011_Name#0,"""Приоритет хранилища"""
Config_011_Choices_0#0,"""Все склады"""
Config_011_Choices_1#0,"""Основной склад"""
Config_011_Choices_2#0,"""Склад персонажа"""
Config_011_Choices_3#0,"""Премиум-склад"""
Config_011_Choices_4#0,"""Склад OTP"""
Config_011_Choices_5#0,"""Склад PSO2es"""
Config_011_Hint#0,"""Установка начальной позиции курсора при<br>отображении интерфейса хранилища. Относится<br>к открытию хранилища, выставлению предметов<br>на продажу в магазине, и продаже предметов<br>в магазинах NPC."""
Config_012_Name#0,"""Основное инфо сбора"""
Config_012_Hint#0,"""Следует ли отображать основную информацию<br>о сборе в главном меню."""
Config_013_Name#0,"""Настройка отображения меню игрока"""
Config_013_Choices_0#0,"""Категориями"""
Config_013_Choices_1#0,"""Списком"""
Config_013_Hint#0,"""Изменяет способ отображения<br>меню персонажей при выборе других."""
Config_014_Name#0,"""Настройки координатора квестов"""
Config_014_Hint#0,"""Настройка отображения квестов<br>у координатора."""
Config_015_Name#0,"""Формат меню ввода информации о группе"""
Config_015_Choices_0#0,"""Подробно"""
Config_015_Choices_1#0,"""Обычно"""
Config_015_Hint#0,"""Установка формата отображения<br>меню группы."""
Config_016_Name#0,"""Сохранение настроек группы"""
Config_016_Choices_0#0,"""Сохранять"""
Config_016_Choices_1#0,"""Не сохранять"""
Config_016_Hint#0,"""Следует ли сохранять настройки группы даже<br>после выхода из системы и смены блока.<br><br>Настройки группы будут сохраняться до выхода<br>из игры.<c>"""
Config_017_Name#0,"""Настройки имени авто-группы"""
Config_017_Choices_0#0,"""Название квеста"""
Config_017_Choices_1#0,"""Имя персонажа"""
Config_017_Hint#0,"""Установка названия группы<br>(если не задано).<br><br>Может быть установлено именем<br>персонажа либо названием квеста."""
Config_018_Name#0,"""Положение выбора по умолчанию"""
Config_018_Choices_0#0,"""Поиск в мульти-блоке"""
Config_018_Choices_1#0,"""Поиск в блоке"""
Config_018_Hint#0,"""Положение курсора по умолчанию<br>при выборе подбором в одном блоке<br>и в мульти-блоке,<br>исключая некоторые квесты."""
Config_019_Name#0,"""Авто-подбор месеты"""
Config_019_Choices_0#0,"""Выключить"""
Config_019_Choices_1#0,"""Включить"""
Config_019_Hint#0,"""Установка авто-подбора месеты<br>в случае наличия той по близости<br>относительно персонажа."""
Config_020_Name#0,"""Авто-подбор оружия"""
Config_020_Choices_0#0,"""Выключить"""
Config_020_Choices_1#0,"""13★ или выше"""
Config_020_Hint#0,"""Установка авто-подбора оружия<br>в случае наличия того по близости<br>относительно персонажа."""
Config_021_Name#0,"""Авто-подбор юнитов"""
Config_021_Choices_0#0,"""Выключить"""
Config_021_Choices_1#0,"""12★ или выше"""
Config_021_Hint#0,"""Установка авто-подбора юнитов<br>в случае наличия тех по близости<br>относительно персонажа."""
Config_022_Name#0,"""Авто-подбор материалов"""
Config_022_Hint#0,"""Когда материалы/предметы заказов<br>выпадают, этот параметр перемещает<br>их непосредственно в хранилище<br>материалов."""
Config_023_Name#0,"""Авто-подбор прочих предметов"""
Config_023_Hint#0,"""Когда предметы кроме оружия,<br>юнитов и материалов выпадают,<br>этот параметр автоматически<br>перемещает их в инвентарь."""
Config_024_Name#0,"""Информирование о редких предметах"""
Config_024_Choices_0#0,"""От 7★ и выше"""
Config_024_Choices_1#0,"""От 10★ и выше"""
Config_024_Choices_2#0,"""От 13★ и выше"""
Config_024_Hint#0,"""Определяет уровень редкости, при котором<br>будут появляться оповещения о выпадении<br>редких предметов."""
Config_025_Name#0,"""Фокус камеры на событии"""
Config_025_Hint#0,"""Определяет, следует ли вам зациклить своё<br>внимание посредством удерживания <%Access>."""
Config_026_Name#0,"""Мониторы в лобби"""
Config_026_Choices_0#0,"""Проигрывать"""
Config_026_Choices_1#0,"""Не проигрывать"""
Config_026_Hint#0,"""Включить или выключить воспроизведение<br>видео в игре<br>(например, мониторы в Лобби ARKS).<br>※Необходим перезапуск."""
Config_027_Name#0,"""Приоритета входа на блоки"""
Config_027_Choices_0#0,"""Для начинающих"""
Config_027_Choices_1#0,"""Не для начинающих"""
Config_027_Hint#0,"""Авто-выбор блоков для начинающих, либо<br>случайных блоков при использовании персонажа<br>ниже 20 ур."""
Config_028_Name#0,"""Количество отображаемых Фотон Бластов"""
Config_028_Choices_0_VITA#0,"""Показать все"""
Config_028_Choices_1_VITA#0,"""Показывать только вас"""
Config_028_Hint_VITA#0,"""Для установления числа отображаемых<br>Фотон Бластов.<br>Отображение меньшего количества облегчит<br>работу игры."""
Config_029_Name#0,"""Приоритет управления камерой"""
Config_029_Choices_0#0,"""Управление камерой"""
Config_029_Choices_1#0,"""Операции курсора"""
Config_029_Hint#0,"""При использовании мыши устанавливает<br>приоритет камере или курсору мыши."""
Config_030_Name#0,"""Поворот камеры"""
Config_030_Choices_0#0,"""Обычный"""
Config_030_Choices_1#0,"""Инвертированный"""
Config_030_Hint#0,"""Настройка горизонтального направления<br>вращения камеры."""
Config_031_Name#0,"""Настройка вертикальной камеры"""
Config_031_Hint#0,"""Настройка вертикального направления<br>вращения камеры."""
Config_032_Hint#0,"""Настройка горизонтальной скорости<br>вращения камеры."""
Config_033_Hint#0,"""Настройка вертикальной скорости<br>вращения камеры."""
Config_034_Name#0,"""Приоритет управления камерой"""
Config_035_Name#0,"""Настройка горизонтального<br>вращения камеры"""
Config_036_Name#0,"""Настройка вертикального<br>вращения камеры"""
Config_039_Name#0,"""Персонаж игрока"""
Config_039_Choices_0#0,"""Большой (по умолчанию)"""
Config_039_Choices_1#0,"""Обычный"""
Config_039_Choices_2#0,"""Маленький"""
Config_039_Choices_3#0,"""Не показывать"""
Config_039_Hint#0,"""Настройка отображения индикаторов<br>опыта и урона."""
Config_040_Name#0,"""Члены группы"""
Config_041_Name#0,"""Остальные персонажи"""
Config_042_Name#0,"""Персонаж игрока"""
Config_042_Hint#0,"""Настройка отображения индикаторов<br>восстановления HP и получаемого<br>урона."""
Config_043_Name#0,"""Члены группы"""
Config_044_Name#0,"""Остальные персонажи"""
Config_045_Name#0,"""EXP／Прочее"""
Config_045_Hint#0,"""Настройка размера отображаемого текста<br>при получении опыта (EXP)."""
Config_046_Name#0,"""Получение предмета"""
Config_046_Choices_0#0,"""Отображать рядом с персонажем"""
Config_046_Choices_1#0,"""Отображать рядом с предметом"""
Config_046_Choices_2#0,"""Не показывать"""
Config_046_Hint#0,"""Изменяет способ отображения уведомления<br>о выпадаемых предметах."""
Config_047_Name#0,"""Приглашения в группу"""
Config_047_Hint#0,"""Настройка отображения окна<br>получения приглашения в группу."""
Config_048_Name#0,"""Настройки друзей"""
Config_048_Hint#0,"""Настройка отображения окна<br>получения запроса на добавление<br>в друзья."""
Config_049_Name#0,"""Приглашения в группу"""
Config_049_Hint#0,"""Настройка отображения окна<br>получения приглашения в команду."""
Config_050_Name#0,"""Приглашения в групповой чат"""
Config_050_Hint#0,"""Настройка отображения окна<br>получения приглашения в групповой чат."""
Config_051_Name#0,"""Запрос сделки"""
Config_051_Hint#0,"""Настройка отображения окна<br>получения запроса на обмен."""
Config_052_Name#0,"""Рекомендованные заказы"""
Config_052_Hint#0,"""Настройка отображения окна<br>рекомендованных заказов при запуске<br>рекомендованного квеста."""
Config_053_Name#0,"""Подтверждения подбора"""
Config_053_Hint#0,"""Настройка отображения окна подтверждения,<br>когда лидер группы начинает квест<br>с подбором в нескольких блоках."""
Config_054_Name#0,"""Уведомление о назначении <%GamePad>"""
Config_054_Hint#0,"""Предлагать ли исправление назначения кнопок<br>в случае обнаружения проблемы."""
Config_055_Name#0,"""Настройки информационного сообщения"""
Config_055_Choices_0#0,"""Только последнее сообщение"""
Config_055_Choices_1#0,"""Только последние три сообщения"""
Config_055_Hint#0,"""Отображать ли несколько уведомлений<br>или только одно."""
Config_056_Name#0,"""Запись поднимаемых предметов"""
Config_056_Hint#0,"""Настройка получения уведомлений<br>о получении предметов."""
Config_057_Name#0,"""Уведомление о выпадении редких предметов"""
Config_057_Hint#0,"""Настройка влияющая на отображение<br>уведомления, когда член группы подбирает<br>редкий предмет."""
Config_058_Name#0,"""Уведомление об истечении премиума"""
Config_058_Hint#0,"""Если премиум истечёт в течение 7 дней,<br>то вас уведомят об этом при входе в игру."""
Config_059_Name#0,"""Уведомление о входе друзей в игру"""
Config_059_Choices_0#0,"""Позволять"""
Config_059_Choices_1#0,"""Запрещать"""
Config_059_Hint#0,"""Когда вы войдёте в игру,<br>друзьям будет отправлено<br>Уведомление о входе."""
Config_060_Name#0,"""Индикатор смерти сопартийца"""
Config_060_Hint#0,"""Настройка отображения индикаторов<br>выведенных из строя персонажей.<br>Не относится к партнёрам."""
Config_061_Name#0,"""Индикатор смерти прочих игроков"""
Config_061_Hint#0,"""Определяет будут ли другие игроки видеть<br>индикатор, если вы будете выведены из строя.<br><yellow>※Если у игрока этот пункт отключён,<br>то индикатор не отобразится у вас.<c>"""
Config_062_Name#0,"""Основной чат"""
Config_062_Hint#0,"""При активации все кнопки клавиатуры будут<br>использоваться только для чата.<br><yellow>※[ScrollLock] Вы можете изменить данную<br>настройку в любое время.<c>"""
Config_063_Name#0,"""Клавиша прокрутки чата"""
Config_063_Hint#0,"""Отключение клавиши для прокрутки чата.<br>Если прокрутка работает не корректно, то<br>попробуйте включить жанный параметр -<br>возможно, будет исправлено позднее."""
Config_064_Name#0,"""Цитирование в ответе"""
Config_064_Choices_0#0,"""Цитировать"""
Config_064_Choices_1#0,"""Не цитировать"""
Config_064_Hint#0,"""Определяет цитирование писем<br>в ответах."""
Config_065_Name#0,"""Настройки Символ Артов"""
Config_065_Hint#0,"""Определяет скрывать или нет<br>символ арты."""
Config_066_Name#0,"""Отображение облачков чата команды"""
Config_066_Choices_0#0,"""Показывать все"""
Config_066_Choices_1#0,"""Только в той же области"""
Config_066_Choices_2#0,"""Не показывать"""
Config_066_Hint#0,"""Определяет условия отображения<br>чата команды."""
Config_067_Name#0,"""Отображение облачков группового чата"""
Config_067_Hint#0,"""Изменяет способ отображения<br>облачка чата группы."""
Config_068_Name#0,"""Отображение: групповой, шёпот, команды"""
Config_068_Choices_0#0,"""Имя Player ID"""
Config_068_Choices_1#0,"""Имя персонажа"""
Config_068_Hint#0,"""Следует отображать имя игрока или имя<br>персонажа в групповом чате, командном<br>и шёпоте."""
Config_069_Name#0,"""Цвет отображения фонового чата"""
Config_069_Choices_0#0,"""Основной по цвету чата"""
Config_069_Choices_1#0,"""Произвольный"""
Config_069_Hint#0,"""Устанавливает цвет фона сообщений,<br>в соответствии с каналом чата."""
Config_070_Name#0,"""Настройки приглашения в групповой чат"""
Config_070_Choices_0#0,"""Разрешить приглашения"""
Config_070_Choices_1#0,"""Запретить приглашения"""
Config_070_Hint#0,"""Следует ли автоматически блокировать<br>приглашения в групповой чат."""
Config_071_Name#0,"""Настройки авто-текста"""
Config_071_Hint#0,"""Если вы установите для авто-слов,<br>режим “Отключены”, то это<br>предотвратит их срабатывание."""
Config_072_Name#0,"""Отображение шаблонов в чате"""
Config_072_Hint#0,"""Определяет отображение шаблонов<br>в окне чата."""
Config_073_Name#0,"""Порядок отображения окна чата"""
Config_073_Choices_0_VITA#0,"""最新を上から表示する"""
Config_073_Choices_1_VITA#0,"""最新を下から表示する"""
Config_073_Hint_VITA#0,"""ログを表示する順序を設定します。"""
Config_074_Name#0,"""Событие"""
Config_074_Hint#0,"""Фильтры типа шаблонов разрешённых<br>для отображения на экране."""
Config_075_Name#0,"""Член"""
Config_076_Name#0,"""Действие"""
Config_077_Name#0,"""Общий чат"""
Config_077_Hint#0,"""Фильтры типов чатов, разрешённых для<br>отображения на вкладке показа всех<br>вкладок в окне чата."""
Config_078_Name#0,"""Группа"""
Config_079_Name#0,"""Команда"""
Config_080_Name#0,"""Шёпот"""
Config_081_Name#0,"""Система"""
Config_082_Name#0,"""Персонаж"""
Config_083_Name#0,"""Групповой чат"""
Config_084_Name#0,"""Формат скриншотов"""
Config_084_Choices_0#0,"""JPEG"""
Config_084_Choices_1#0,"""PNG"""
Config_084_Choices_2#0,"""BMP"""
Config_084_Hint#0,"""Выбор формата для скриншотов."""
Config_085_Name#0,"""Отображение интерфейса на скриншотах"""
Config_085_Choices_0#0,"""Отображать всё"""
Config_085_Choices_1#0,"""Только облачки чата"""
Config_085_Choices_2#0,"""Не отображать"""
Config_085_Hint#0,"""Отображать ли интерфейс (включая окна)<br>на скриншотах.<br>※Относится только к внутриигровым функциям."""
Config_085_Choices_0_Switch#0,"""Показывать окна"""
Config_085_Choices_1_Switch#0,"""Скрыть окна"""
Config_085_Hint_Switch#0,"""Отображать ли интерфейс (включая окна)<br>на скриншотах.<br>※Относится только к внутриигровым функциям."""
Config_086_Name#0,"""Настройки физики в редакторе"""
Config_086_Choices_0#0,"""Физика в реальном времени"""
Config_086_Choices_1#0,"""Дискретная физика"""
Config_086_Hint#0,"""Желаете ли вы, чтобы человеческие CAST'овые<br>роботизированные тела имели одинаковые<br>пропорции, или же желаете редактировать их<br>по отдельности.<br>Гуманоидные и CAST'овые тела синхронизируются<br>по умолчанию. Однако, вы можете выбрать<br>способ редактирования по отдельности."""
Config_087_Name#0,"""Настройки управления"""
Config_087_Choices_0#0,"""Ручной режим"""
Config_087_Choices_1#0,"""Автоматический режим"""
Config_087_Hint#0,"""Определите свои настройки райд-роида.<br><br>Ручной режим: полностью ручное управление.<br>Автоматический режим: полностью<br>автоматический режим.<br>※Вы можете настроить камеру Райд-роида<br>выбрав [Обычный вид] или [Вид через плечо].<br>※В настройках райд-роида по умолчанию выбрано<br>[<yellow>Вид через плечо<c>]."""
Config_088_Name#0,"""Обычный вид: поворот камеры"""
Config_088_Hint#0,"""Для задания горизонтального поворота камеры<br>во время пилотирования райд-роида."""
Config_089_Name#0,"""Обычный вид: вертикальный поворот камеры"""
Config_089_Hint#0,"""Для задания вертикального поворота камеры<br>во время пилотирования райд-роида."""
Config_090_Name#0,"""Обычный вид: горизонтальный поворот камеры"""
Config_090_Hint#0,"""Для задания горизонтального направления<br>во время пилотирования райд-роида."""
Config_091_Name#0,"""Обычный вид: вертикальное движение"""
Config_091_Hint#0,"""Для задания вертикального направления<br>во время пилотирования райд-роида."""
Config_092_Name#0,"""От 3-го лица: поворот камеры"""
Config_093_Name#0,"""От 3-го лица: вертикальный поворот камеры"""
Config_094_Name#0,"""От 3-го лица: горизонтальный поворот камеры"""
Config_095_Name#0,"""От 3-го лица: вертикальное движение"""
Config_096_Name#0,"""Голос Дарк Бласта"""
Config_096_Hint#0,"""Вы можете установить определённый<br>голос для Дарк Бласта."""
Config_097_Name#0,"""Тип отображения Дарк Бласта остальных"""
Config_097_Choices_0#0,"""Согласно выбору остальных"""
Config_097_Choices_1#0,"""Всегда отображать типом ауры"""
Config_097_Choices_2#0,"""Отображать только самих персонажей"""
Config_097_Hint#0,"""Для изменения типа отображения Dark Blast других игроков.<br><br>[Согласно выбору остальных]<br>Синхронизируются настройки отображения с настройками других игроков.<br><br>[Всегда отображать типом ауры]<br>Всегда будут отображаться аурами.<br><br>[Отображать только самих персонажей]<br>Отображается только модель персонажа.<br>"""
Config_097_Hint_PS4#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_097_Hint_Switch#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
