MySpaceCommonLabel_EditMode#0,"""Редактирование"""
InactiveCollision#0,"""Отключения обнаружения коллизий"""
ActiveAccess#0,"""Активация доступа детали сборки"""
InactiveAccess#0,"""Отключение доступа детали сборки"""
ActiveTransLock#0,"""Отключение отправ/приём коннектов"""
InactiveTransLock#0,"""Активация отправ/приём коннектов"""
ActiveChannel#0,"""Активация ID коннекта"""
GraphicsAppear#0,"""Отображать деталь"""
GraphicsDisappear#0,"""Скрыть деталь"""
MessageAppear#0,"""Отображаемое сообщение"""
DesplayCountBySpeechBubble#0,"""Отображение текущего счётчика"""
ConfigInit#0,"""Основные настройки"""
ConfigSend#0,"""Условие отправки коннекта"""
ConfigRecieve#0,"""Эффект после получения коннекта"""
LabelCapacityGauge#0,"""Вместимость"""
DelayUntilSend#0,"""Время после отправки сигнала"""
IncrementalTimerValueByReceiveChannel#0,"""Увел. таймера при получении сигнала"""
DecrementalTimerValueByReceiveChannel#0,"""Уменьш. таймера при получении сигнала"""
TimerValueSended#0,"""Значение таймера при отправке сигнала"""
CountValueSended#0,"""Счётчик при отправке сигнала"""
StartCountUp#0,"""Начать отсчитывать таймер"""
StopCountUp#0,"""Прекратить отсчитывать таймер"""
IncrementTimer#0,"""Увел. таймера на опред. значение"""
DecrementTimer#0,"""Уменьш. таймера на опред. значение"""
ResetTimer#0,"""Сброс таймера"""
DesplayTimeBySpeechBubble#0,"""Время отображения"""
StartCountDown#0,"""Начать отсчёт"""
StopCountDown#0,"""Прекратить отсчёт"""
SEPlayingByReceiveChannel#0,"""Проигрываемый эффект"""
PlaySEByReceiveChannel#0,"""Проиграть эффект"""
DefaultTimer#0,"""Начальное значение таймера"""
SwitchState#0,"""Переключение состояния"""
MySpaceObjectSE_000#0,"""Без эффекта"""
MySpaceObjectSE_001#0,"""Верный ответ"""
MySpaceObjectSE_002#0,"""Не верно"""
MySpaceObjectSE_003#0,"""Квест пройден"""
MySpaceObjectSE_004#0,"""Поддержка"""
MySpaceObjectSE_005#0,"""Аплодисменты"""
MySpaceObjectSE_006#0,"""Освистывание"""
MessagePack_Cancel#0,"""Эта деталь сборки уже отредактирована другим игроком. Ввод отменён."""
MessagePack_Title#0,"""Редактирование сообщения"""
MessagePack_Headline_Message#0,"""Настройки сообщения"""
MessagePack_Headline_Balloon#0,"""Настройки облачка"""
MessagePack_Headline_Symbol#0,"""Настройки символа"""
MySpaceSettingForm_Title#0,"""Настройки детали сборки"""
MessagePack_NGWord_Title#0,"""Сообщение"""
MessagePack_NGWord#0,"""Сообщение содержит недопустимые слова."""
MessagePack_Confirm_Title#0,"""Подтверждение сообщения"""
MessagePack_Confirm#0,"""Желаете отобразить введённую информацию?"""
PlayingCutin#0,"""Текст проигрываемой анимации"""
SendPlayCutin#0,"""При тексте проигрываемой анимации"""
PlayCutinReceiveChannel#0,"""Проигрывать анимированный текст"""
MySpaceObjectCutin_000#0,"""Без текста"""
MySpaceObjectCutin_001#0,"""GOAL!"""
MySpaceObjectCutin_002#0,"""CLEAR!"""
MySpaceObjectCutin_003#0,"""GAME OVER"""
MySpaceObjectCutin_004#0,"""SUCCESS!"""
MySpaceObjectCutin_005#0,"""FAILURE"""
MySpaceObjectCutin_006#0,"""START!"""
MySpaceObjectCutin_007#0,"""TIME UP!"""
MoveType#0,"""Движение объекта"""
MoveType_01#0,"""Не двигать"""
MoveType_02#0,"""Влево-вправо"""
MoveType_03#0,"""Вправо-влево"""
MoveType_04#0,"""Вниз-вверх"""
MoveType_05#0,"""Вверх-вниз"""
MoveTime#0,"""Время возвращения в исходную точку"""
MoveRange#0,"""Дальность перемещения"""
SendTouchBomb#0,"""Контакт"""
Teleporter_NotFound#0,"""Не обнаружен телепорт с тем же ID."""
Teleporter_TimeOut#0,"""Не вышло переместиться из-за ошибки с соединением."""
Turnon_ConnectRecieved#0,"""Вкл."""
Turnoff_ConnectRecieved#0,"""Выкл."""
MessagePack_Headline_Username#0,"""Установить имя"""
SpeedUp_Time#0,"""Продолж-ть эффекта ускорения"""
ActionTypeSended#0,"""Фиксация действия"""
ActionType_01#0,"""Не установлено"""
ActionType_02#0,"""Прыжок"""
ActionType_03#0,"""Атака"""
ActionType_04#0,"""*Step"""
SendAction#0,"""Зафиксированное действие"""
SendHatchOpen#0,"""Открыть"""
SendHatchClose#0,"""Закрыть"""
OpenHatch#0,"""Открыть"""
CloseHatch#0,"""Закрыть"""
SendByReceiveRandomChannel#0,"""Случайное отправление на один из ID коннектов"""
TeamSpace_IndependentError#0,"""Нельзя воспользоваться, так как вы не являетесь членом этой команды."""
EditPermission_Assignment#0,"""Предоставлено разрешение на редактирование."""
EditPermission_Deprivation#0,"""Разрешение на редактирование отозвано."""
Guild_mag_level_up#0,"""Mag команды увеличился."""
Guild_mag_level_down#0,"""Mag команды уменьшился."""
DefaultBlueprintName#0,"""Чертёж"""
SlotSelect#0,"""Выбор слота сохранения"""
SlotSelectSaveGuideText#0,"""Выберите слот для сохранения вашего чертежа."""
SlotSelectPublishGuideText#0,"""Выберите слот для публикации вашего чертежа."""
RegionSelect#0,"""Установка области дизайна"""
RegionView#0,"""Подтверждение настроек области"""
RegionSelectExitGuide#0,"""Зажмите, чтобы закрыть настройки области"""
RegionViewExitGuide#0,"""Зажмите, чтобы закрыть просмотр общей области"""
RegionSelectStartingPoint#0,"""Стартовая точка"""
RegionSelectRight#0,"""Правый край"""
RegionSelectLeft#0,"""Левый край"""
RegionSelectHeight#0,"""Высота"""
RegionSelectDepth#0,"""Глубина"""
RegionSelectFraction#0,"""$(0) （Ограничение выбора: $(1)）"""
RegionSelectCaption1#0,"""Стартовая точка чертежа"""
RegionSelectCaption2#0,"""Область чертежа"""
RegionSelect_FarAway#0,"""Вас автоматически перенесли, так как вы были слишком далеко от терминала чертежей."""
LockFailed1#0,"""Нельзя открыть меню, поскольку другой игрок редактирует область действия этого чертежа."""
LockFailed2#0,"""В области действия нет деталей сборки. Выберите место, где есть детали сборки."""
LockFailed3#0,"""Количество деталей сборки в области превысило максимум допустимых для чертежа.<br><br>Деталей в области: $(0)<br>Допустмое количество деталей: $(1)"""
LockFailed4#0,"""В чертёж нельзя включить следующие детали:<br><br>$(0)"""
LockFailed5#0,"""Область указанного терминала чертежа перекрывает область другого чертежа.<br><br>Пожалуйста, измените область действия одного из этих терминалов."""
LockFailed6#0,"""Созданное другим чертежом нелья включить в этот чертёж."""
ConfirmEdit_Title#0,"""Подтверждение отмены редактирования"""
ConfirmEdit#0,"""Желаете выйти без сохранения и публикации<br>чертежа, потеряв все изменения?"""
LockFailedConfirm_Title#0,"""Подтверждение редактирования"""
LockFailedConfirm1#0,"""Не удалось применить настройки, поскольку<br>в пределах чертежа работает другой игрок.<br><br>Желаете отменить изменения и вернуться<br>в меню редактирования?"""
LockFailedConfirm2#0,"""Не удалось применить настройки, поскольку<br>в выбранной области нет деталей сборки.<br><br>Желаете отменить изменения и вернуться<br>в меню редактирования?"""
LockFailedConfirm3#0,"""Не удалось применить настройки, поскольку<br>количество деталей в выбранной области<br>превышает допустимое количество.<br><br>Деталей в области: $(0)<br>Допустмое количество деталей: $(1)<br><br>Желаете отменить изменения и вернуться в меню<br>редактирования?"""
LockFailedConfirm4#0,"""Не вышло применить настройки, поскольку<br>в области с деталями есть недоступные<br>к добалению в чертёж детали.<br><br>$(0)<br><br>Желаете отменить изменения и вернуться в меню<br>редактирования?"""
LockFailedConfirm5#0,"""Не вышло применить найстроки из-за<br>пересечения с областью действия другого<br>чертежа.<br><br>Желаете отменить изменения и вернуться<br>в меню редактирования?"""
LockFailedConfirm6#0,"""Не вышло применить найстроки из-за<br>пересечения с областью чем-то от другого<br>чертежа.<br><br>Желаете отменить изменения и вернуться<br>в меню редактирования?"""
DownloadFailed_Title#0,"""Сообщение"""
DownloadFailed#0,"""Нельзя загрузить чертёж."""
ConfirmDelete_Title#0,"""Подтверждение удаления чертежа"""
ConfirmDelete1#0,"""Желаете удалить этот чертёж?<br><br>При удалении чертёж будет снят с публикации.<br><br><yellow>※Снятие с публикации сбросит счётчик как<br>добавленного в избранное.<c>"""
ConfirmDelete2#0,"""Желаете удалить этот чертёж?"""
ConfirmDelete3#0,"""Желаете удалить этот чертёж?"""
NoticeLoseConnect#0,"""Здесь можно редактировать и сохранять чертежи.<br><yellow>※Настройки коннектов не сохраняются<br>как часть чертежа.<c>"""
ConfirmOverwrite_Title#0,"""Пордтверждение сохранения и перезаписи"""
ConfirmOverwrite1#0,"""Желаете перезаписать чертёж?<br><br>Перезапись чертежа отменит его публикацию,<br>находившуюся в этом слоте.<br><br><yellow>※Снятие с публикации сбросит счётчик как<br>добавленного в избранное.<c>"""
ConfirmOverwrite2#0,"""Желаете перезаписать чертёж?"""
ConfirmOverwrite3#0,"""Желаете перезаписать чертёж?"""
ConfirmPublish_Title#0,"""Подтверждение публикации чертежа"""
ConfirmPublish#0,"""Публикуя чартёж, вы позволяете другим игрокам<br>загрузить его на собственные устройства для<br>чертежей.<br><br>Кроме того, вы не сможете изменять следующее<br>из опубликованного чертежа:<br>・Настройки деталей сборки внутри области<br>чертежа<br>・Область охвата чертежа<br><br>Желаете опубликовать?"""
ConfirmUnpublish_Title#0,"""Подтверждение снятия с публикации"""
ConfirmUnpublish#0,"""Желаете снять с публикации?<br><br><yellow>※Снятие с публикации сбросит счётчик как<br>добавленного в избранное.<c>"""
ConfirmDownload_Title#0,"""Пордтверждение сохранения и перезаписи"""
ConfirmDownload1#0,"""В этом чертеже есть детали, которых у вас нет в наличии.<br>Желаете сохранить его?"""
ConfirmDownload2#0,"""Желаете перезаписать чертёж?<br><br>В случае перезаписи, чертёж будет снят с<br>публикации.<br><br><yellow>※Снятие с публикации сбросит счётчик как<br>добавленного в избранное.<c>"""
ConfirmDownload3#0,"""Желаете перезаписать чертёж?"""
ConfirmDownload4#0,"""Желаете перезаписать чертёж?"""
SavedMessage_Text#0,"""Сообщение"""
SavedMessage#0,"""Чертёж сохранён."""
PublishedMessage_Text#0,"""Сообщение"""
PublishedMessage#0,"""Чертёж опубликован."""
PermissonChange_Title#0,"""Сообщение"""
PermissonChange_Text#0,"""Это пространство для творчества сейчас<br>не общедоступно. Желаете предоставить<br>доступ всем?<br><br><yellow>※Более точные настройки входа в пространство<br>можно настроить через \""Настройки публикации\""<br>в меню Пространства для Творчества.<c>"""
PermissonChangeFix_Text#0,"""Изменены настройки входа."""
UnpublishedMessage_Text#0,"""Сообщение"""
UnpublishedMessage#0,"""Чертёж снят с публикации."""
NoBlueprint_Text#0,"""Чертёж"""
NoBlueprint#0,"""Чертёж не доступен.<br><br>Только владелец может зарегистрировать<br>и отредактировать чертёж."""
DownloadedMessage_Text#0,"""Сообщение"""
DownloadedMessage#0,"""Чертёж успешно загружен."""
EditFormTitle#0,"""Редактирование чертежа"""
DownloadFormTitle#0,"""Скачать чертёж"""
BlueprintInfo_Edit#0,"""Отредактировать инфо чертежа"""
SaveButtonText#0,"""Сохранить"""
PublishButtonText#0,"""Опубликовать"""
DownloadButtonText#0,"""Скачать чертёж"""
UnpublishGuideText#0,"""Чертёж доступен всем.<br>Для внесения изменений необходимо отменить публикацию."""
UnpublishButtonText#0,"""Снять с публикации"""
MySpace_Notice_NoReplaceBlueprintEditing#0,"""Нельзя отредактировать расположенное в пределах чертежа."""
MySpace_Notice_NoReplaceBlueprintPublic#0,"""Нельзя отредактировать расположенное в пределах чертежа."""
MySpace_Notice_NoEditBlueprintEditing#0,"""Нельзя отредактировать расположенное в пределах чертежа."""
MySpace_Notice_NoEditBlueprintPublic#0,"""Нельзя отредактировать расположенное в пределах чертежа."""
Guide_Brueprint_RangeSet#0,"""Двигать: <swguidetype ActionLStick>\u3000\u3000Прыжок: <%Jump>\u3000\u3000Отдаление: <%Function>\u3000\u3000Приближение: <%NextWidget>\u3000\u3000Перекл-ть дальности отображения: <%TabForward>\u3000\u3000Настройка конечной дальности: <swguidetype BluePrintEscMenu>"""
Guide_Brueprint_RangeView#0,"""Двигать: <swguidetype ActionLStick>\u3000\u3000Прыжок: <%Jump>\u3000\u3000Отдаление: <%Function>\u3000\u3000Приближение: <%NextWidget>\u3000\u3000Перек-ть дальности отображения: <%TabForward>\u3000\u3000Завершение проверки дальности: <swguidetype BluePrintEscMenu>"""
Guide_Brueprint_Save#0,"""Принять: <%Decide>\u3000\u3000Удалить: <%Exception>\u3000\u3000Отменить: <%Cancel>\u3000\u3000Двигать объект: <%NextWidget>\u3000\u3000Переключение активного окна: <%ChangeCtrlWindowForward>"""
MySpaceBlueprintError_InvalidSlotNumber#0,"""Нет сохранённых чертежей."""
MySpaceBlueprintError_ObjectListEmpty#0,"""Возникла проблема при загрузке чертежа."""
MySpaceBlueprintError_BlueprintIsPSOnly#0,"""Этот чертёж недоступен из-за текущих настроек Пространства для Творчества."""
MySpaceBlueprintError_BlueprintIsBan_Title#0,"""Сообщение"""
MySpaceBlueprintError_BlueprintIsBan#0,"""Этот чертёж устарел."""
MySpaceBlueprintError_DisableBlueprint_Title#0,"""Сообщение"""
MySpaceBlueprintError_DisableBlueprint#0,"""Желаете удалить устаревший чертёж?"""
MySpaceBlueprintError_ErrorOther#0,"""Возникла проблема при использовании чертежа."""
MySpaceBlueprintError_PartsNumberOver#0,"""Нельзя установить больше, так как количество превысило лимит."""
MagMenuTitle#0,"""Mag команды"""
MagMenu_Item_Boost#0,"""Получить п. эффект Mag'а команды <pict 4space><pict myspace_point>"""
MagMenu_Item_Energy#0,"""Увеличить ур. п. эффекта Mag'а команды<pict 4space><pict reb_team>"""
MagMenu_Item_Appearance#0,"""Изменить форму Mag'а команды<pict 4space><pict reb_team>"""
MagMenu_SupEnergy_Title#0,"""Положительный эффект Mag'а команды"""
MagMenu_SupEnergy_Info#0,"""Уровень эффекта будет снижаться на 1 уровень каждое утро в $(1).<br>（Минимальный уровень: 1）<br><br>Игроки могут получить положительный эффект Mag'а команды, выбрав любое количество п. эффектов и потратив $(0)GP за каждый."""
MagMenu_buff_LV#0,"""Эффект $(0)"""
MagMenu_buff_info#0,"""Положительный эффект"""
MagMenu_Reward_Title#0,"""Предоставляемые награды п. эффекта"""
MagMenu_Reward_Info_Saving#0,"""Когда игрок получает положительный эффект, шкала увеличивается. По достижении максимума, вы получите награду."""
MagMenu_Reward_Info_Received#0,"""Награда уже получена.<br>До обновления: $(0)"""
MagMenu_Reward_Info_Stop#0,"""Вы не будете получать никаких наград в течение недели после вступления в команду."""
MagMenu_Reward_Info_Joining#0,"""Награда уже получена.<br>До обновления: $(0)"""
MagMenu_Reward_to#0,"""Осталось дней до награды:"""
MagMenu_UnusedBoost#0,"""Не использовано"""
MagMenu_PossessInfo_Title#0,"""Очков в наличии"""
MagMenu_PossessInfo_GeneratePoint#0,"""Genesis Point'ы"""
MagMenu_Boost_Title#0,"""Выбор положительного эффекта Mag'а"""
MagMenu_Boost_Info#0,"""Выберите желаемые эффекты Mag‘а команды к получению.<br>Каждый эффект обойдётся в $(0)GP."""
MagMenu_UseGeneratePoint_Title#0,"""Сообщение"""
MagMenu_UseGeneratePoint_Info#0,"""Для получения указанных ниже эффектов будет<br>потрачено $(1)GP.<br>Желаете продолжить?<br><br>（GP в наличии: $(0)）<br><br><yellow>※Уже имеющиеся эффекты будут перезаписаны<c>"""
MagMenu_Mag_Title#0,"""Увеличение уровня эффекта Mag'а"""
MagMenu_Give_Title#0,"""Определение уровня"""
MagMenu_Give_Info#0,"""Тратьте N-очки команды и увеличивайте<br>ур. эффекта Mag'а команды."""
MagMenu_Give_LV#0,"""Ур. эффекта"""
MagMenu_Give_Buff#0,"""Положительный эффект"""
MagMenu_NTeamPoint#0,"""N-очков команды"""
MagMenu_Give_TeamPoint#0,"""Треб. N-очков команды"""
MagMenu_Give_Confirm#0,"""Будет потрачено $(2) N-очков команды для повышения уровня эффекта до $(1).<br>Вы уверены?<br><br>（В наличии N-очков команды： $(0)）"""
MagMenu_Appearance_Title#0,"""Изменение формы Mag'а команды"""
MagMenu_Appearance_SubTitle_L#0,"""Форма Mag'а"""
MagMenu_Appearance_SubTitle_R#0,"""Треб. N-очков команды"""
MagMenu_Appearance_Preview_Title#0,"""Форма после изменения"""
MagMenu_Appearance_Confirm#0,"""На изменение формы Mag'а команды потребуется $(1)<pict 4space><pict reb_team>TP.<br>Вы уверены?<br><br>（В наличии N-очков команды： $(0)<pict 4space><pict reb_team>TP）<br><br><yellow>※Каждое изменение формы Mag'а будет требовать N-очки команды.<c>"""
MagMenu_Message_Loading#0,"""Загрузка..."""
MagMenu_Message_Busy#0,"""Подключение..."""
MagMenu_Success_Boost#0,"""Сработал положительный эффект Mag'а команды."""
MagMenu_Success_Give#0,"""Повышен уровень положительного эффекта Mag'а команды."""
MagMenu_Success_Appearance#0,"""Изменена форма Mag'а команды."""
MagMenu_Success_Reward#0,"""Получена награда за предоставленный положительный эффект."""
MagMenu_Failed_Reward#0,"""Не получено наград за предоставленный положительный эффект."""
MagMenu_Error_Generic#0,"""Не удалось обработать команду Mag'а команды."""
MagMenu_Error_Generic_Error#0,"""Не удалось обработать команду из-за ошибки."""
MagMenu_Error_Generic_Authority#0,"""У вас нет прав на использование этой команды."""
MagMenu_Error_Boost#0,"""Не удалось получить положительный эффект Mag'а команды."""
MagMenu_Error_UseGeneratePoint#0,"""Недостаточно GP (Genesis Point): Команда не выполнена."""
MagMenu_Error_Diff#0,"""Из-за изменения уровня положительного эффекта Mag'а команды крманды, предыдущая команда была отменена."""
MagMenu_Error_Appearance#0,"""Mag команды не может изменить форму."""
MagMenu_Error_Appearance_TP#0,"""Недостаточно N-очков команды: Не удалось изменить форму."""
MagMenu_Error_Appearance_Equal#0,"""Внешний вид Mag'а в процессе изменения."""
MagMenu_Error_Appearance_Simultaneous#0,"""Изменение формы отменено: Другой игрок изменил форму Mag'а."""
MagMenu_Error_Give#0,"""Не удалось увеличить уровень положительного эффекта Mag'а."""
MagMenu_Error_Give_Full#0,"""Уровень положительного эффекта Mag'а команды уже максимален."""
MagMenu_Error_Give_Diff#0,"""Команда отменена: Другой игрок изменил уровень положительного эффекта Mag'а команды."""
0000#0,"""Mag команды"""
0001#0,"""Mag команды CV"""
0002#0,"""Mag команды CV 2"""
0003#0,"""Mag команды CV 3"""
0004#0,"""Mag команды UC"""
0005#0,"""Mag команды UC 2"""
0006#0,"""Mag команды UC 3"""
