Title_DeadMenu#0,"""Menú de incapacitación"""
HunterSlowFallCharge#1,"""Slow Landing <br>Charge Hu."""
HunterTecArtsSkipAttack#1,"""Another Art <br>Skip Attack Hu."""
HunterSameArtsSkipAttack#1,"""Same Art <br>Skip Attack Hu."""
HunterPartisanVolgraptor#1,"""Vol Graptor."""
HunterPartisanAssaultCharge#1,"""Assault Charge."""
HunterPartisanParryingAssaultCharge#1,"""Assault Charge <br>Avenge."""
HunterWLanceAttackExtra#1,"""Wired Attack <br>Extra."""
HunterWLanceWAPlus#1,"""Wired Anchor <br>Advance."""
HunterWLanceWAGuardPointPlus#1,"""Wired Anchor <br>Just Parry."""
RangerGaugeShotGun#1,"""Spread Shot."""
RangerGaugeShotGunAway#1,"""Spread Shot <br>Quick Escape."""
RangerWeakBullet#1,"""Weak Bullet."""
RangerWeakBulletParse#1,"""Weak Bullet <br>Reinforce."""
RangerWeaponActionAvoid#1,"""Rifle Slide <br>Shot Advance."""
RangerGrenadeTrap#1,"""Rifle Grenadier."""
RangerRangeBonus#1,"""適正距離<br>リアクションボーナス"""
RangerDownChain#1,"""リアクションチェーン"""
RangerWeakHitAdvance#1,"""ウィークヒット<br>アドバンスRa"""
RangerWeakBlastBonus#1,"""ウィークヒット<br>ブラストボーナス"""
RangerFallSlowAttack#1,"""Slow Landing <br>Attack Ra."""
RangerFallSlowCharge#1,"""Slow Landing <br>Charge Ra."""
RangerClusterBombRecastReduce#1,"""Sticky Bomb <br>Quick Reload."""
RangerLauncherChargeConvergence#1,"""Launcher Charge <br>Grouping."""
RangerConditionBadGuard#1,"""Bad Condition <br>Resist."""
RangerConditionBadEase#1,"""Bad Condition <br>Reduce."""
ForcePhotonFlare#1,"""Photon Flare."""
ForcePpConvert#1,"""PP Convert."""
ForcePpConvertReCharge#1,"""PP Convert <br>Increase."""
ForceChargePpRevival#1,"""Tech Charge <br>PP Well Up."""
ForceChargeEscape#1,"""Rod Technique <br>Keep."""
ForceHeal#1,"""Resta Field Fo."""
ForceOverFlow#1,"""Overflow."""
ForcePhotonFlareTecShortCharge#1,"""Photon Flare <br>Short Charge."""
ForcePhotonFlareAfterBurst#1,"""Photon Flare <br>Afterburst."""
ForcePhotonFlareBoost#1,"""Photon Flare <br>Boost."""
ForceRodCounterTechnic#1,"""Rod React <br>Advance."""
ForcePhotonFlarePpRefrain#1,"""Photon Flare <br>PP Aftergain."""
ForceNightmare#1,"""Killing PP Gain."""
ForceReflectCounterShot#1,"""Elemental Bullet."""
ForceRodCounterTecBonus#1,"""Rod Counter <br>Advance."""
ForceRodAbsorption#1,"""Stay PP Gain."""
ForceTalisConcentrate#1,"""Talis Bloom <br>Stimulate."""
ForceTalisQuickMarkShot#1,"""Float Pillbox <br>Multi-Lock."""
ForceTalisSetRevok#1,"""Talis Bloom <br>Revoke."""
ForcePpRestorate#1,"""PP Recovery Up."""
ForceSlowFallCharge#1,"""Slow Landing <br>Charge Fo."""
ForceBartaBlot#1,"""Barta Blot."""
ForceZondeClad#1,"""Zonde Clad."""
FighterLimitBreak#1,"""Limit Break."""
FighterLimitBreakPhotonCharge#1,"""Limit Break <br>PP Recovery."""
FighterLimitBreakInsurance#1,"""Limit Break <br>Endurance."""
KnuckleDodgeHeatRevenge#1,"""Knuckle Attack <br>Switch."""
FighterKnuckleSwayCounterPlus#1,"""Knuckle Sway <br>Counter Plus."""
FighterKnuckleNormalAttackPlus#1,"""Knuckle Attack <br>Extra."""
FighterKnuckleAttackExtra#1,"""Knuckle Attack <br>Extra."""
FighterPhotonFlood#1,"""Photon Flood."""
FighterUnFlatBonus#1,"""Unflat <br>Bonus."""
FighterTecArtsJABonus#1,"""Tech Arts Bonus."""
FighterPPSlayer#1,"""PP Slayer."""
FighterKnuckleSwayCounter#1,"""Knuckle Sway <br>Counter."""
FighterChaseAdvance#1,"""Defeated <br>Advantage."""
FighterChaseAdvancePPRecovery#1,"""Defeated <br>PP Recovery."""
FighterTecArtsSkipAttack#1,"""Another Art <br>Skip Attack Fi."""
FighterSameArtsSkipAttack#1,"""Same Art <br>Skip Attack Fi."""
FighterSkipArts#1,"""Fighter <br>Skip Arts."""
FighterTDAnotherDerive#1,"""Accelerator Drive."""
FighterTDSpinCounter#1,"""Dagger Spin <br>Counter."""
FighterTDAttackExtra#1,"""Dagger Attack <br>Extra."""
FighterDSDodgeWindCounter#1,"""Saber Parry <br>Counter."""
FighterDSDodgeWindWACounter#1,"""Saber Parry <br>Another Counter."""
FighterDSDeadlyArcher#1,"""Deadly Archer."""
FighterDSEnhanceAttack#1,"""Spiral Drive."""
GunnerChainTrigger#1,"""Chain Trigger."""
GunnerChainFinish#1,"""Chain Finish."""
GunnerChainFinishTimeBonus#1,"""Chain Trigger <br>Quick Reload."""
GunnerSRollArts#1,"""Stylish Roll <br>Arts."""
GunnerCounterPABurst#1,"""Stylish Roll <br>Strike Back."""
GunnerChainBoost#1,"""Chain Boost."""
GunnerNeutralDeadApproach#1,"""Stylish <br>Onslaught."""
GunnerPerfectKeeper#1,"""パーフェクト<br>キーパー"""
GunnerChainFinishBonus#1,"""チェインフィニッシュ<br>ボーナス"""
GunnerNeoTime#1,"""ネオタイム"""
GunnerNeoTimeBlastBonus#1,"""ネオタイム<br>ブラストボーナス"""
GunnerNeoTimePPRefresh#1,"""ネオタイム<br>PPリフレッシュ"""
GunnerAirAttackBonus#1,"""エアアタック<br>ボーナス"""
GunnerReactionWeak#1,"""リアクションウィーク"""
GunnerFallSlowAttack#1,"""Slow Landing <br>Attack Gu."""
GunnerFallSlowCharge#1,"""Slow Landing <br>Charge Gu."""
GunnerGaugeShotGun#1,"""Spread Shot."""
GunnerGaugeShotGunAway#1,"""Spread Shot <br>Quick Escape."""
GunnerAttackPPRestraint#1,"""Attack <br>PP Recovery."""
GunnerOverWhelm#1,"""Overwhelm."""
TechterShiftaDeband#1,"""Shifta-Deband."""
TechterPartyAssist#1,"""Shifta-Deband <br>Party Share."""
TechterWandElementChange#1,"""Wand Element <br>Change."""
TechterWandElementDiscard#1,"""Wand Element <br>Revoke."""
TechterHeal#1,"""Resta Field Te."""
TechterWandGuardCounter#1,"""Wand Parry <br>Counter."""
TechterAssistField#1,"""シフタ・デバンド<br>フィールド"""
TechterWandLovers#1,"""Wand Lovers."""
TechterWandCounterReflection#1,"""Wand Guard <br>Reflection."""
TechterShiftaStrike#1,"""Shifta Effect <br>Amplify."""
TechterShiftaAdvance#1,"""Shifta Effect <br>Advantage."""
TechterDebandCut#1,"""Deband Resist <br>Bad Condition."""
TechterDebandPpReStraight#1,"""Deband <br>PP Recovery Up."""
TechterExtendAssist#1,"""Shifta-Deband <br>Extend."""
TechterElementWeakBonus#1,"""Wand Element <br>Amplify."""
TechterAwakeYell#1,"""Awake Yell."""
TechterReverseBonus#1,"""Reverser Bounty."""
TechterWandGuardCounterEdge#1,"""Wand Parry <br>Counter Advance."""
TechterFallSlowCharge#1,"""Slow Landing <br>Charge Te."""
TechterBartaBlot#1,"""Barta Blot."""
TechterZondeClad#1,"""Zonde Clad."""
ForceTalisTecBurst#1,"""Tricky Capacitor."""
TechterTalisTecBurst#1,"""Tricky Capacitor."""
TechterTalisQuickMarkShot#1,"""Float Pillbox <br>Multi-Lock."""
TechterTalisSetRevok#1,"""Talis Bloom <br>Revoke."""
YesText#0,"""Si"""
NoText#0,"""NO"""
CloseText#0,"""Cerrar"""
OpenText#0,"""Abrir"""
MaxText#0,"""MaX."""
MinText#0,"""MiN."""
Sort#0,"""Clasificar"""
Copy#0,"""Copiar"""
Peaste#0,"""Pegar"""
NextText#0,"""Siguiente"""
PrevText#0,"""Atras."""
DecideText#0,"""Acceptar"""
CancelText#0,"""Cancelal"""
OKText#0,"""Ok"""
ReturnText#0,"""Regresar"""
TitleText#0,"""Mensaje"""
CheckText#0,"""No vuelvas a abrir"""
NoneText#0,"""Ninguno"""
Preview#0,"""Previo"""
SimplePreview#0,"""Vista previa simple"""
Skip#0,"""¿Estás seguro de que quieres saltarte la escena del evento e ir <br>a la siguiente serie de opciones o al final?"""
SkipMovie#0,"""La reproducción de la escena actual terminará.<br><br>¿Estás seguro?"""
SymbolArt_BANtext#0,"""Actualmente no se puede guardar ese Symbol Art."""
TimeText#0,"""$(0) minute(s), $(1) second(s) $(2)"""
NumItem#0,"""$(1) $(0)(s)"""
NumItem2#0,"""$(0) × $(1)"""
Bracket#0,"""($(0))"""
SquareBracket#0,"""[$(0)]"""
SkipNaviKey#0,"""Presione la <yellow>[Tecla Esc]<c> para saltar."""
SkipNaviButton#0,"""Pulse el botón <yellow>[<c><%AllWindowClose><yellow> Button]<c> para saltar"""
PreviewZoom#0,"""Alternar <%Exception> Modo: (<c cfcfcf> Giro y zoom <c>/<yellow>Movimiento lateral<c>)"""
PreviewZoom_mouse#0,"""Alternar <pict mouse_right> Modo: (<c cfcfcf>Giro y zoom <c>/<yellow>Movimiento lateral<c>)"""
PreviewMove#0,"""Alternar<%Exception> Modo: (<yellow>Giro y zoom <c>/<c cfcfcf>Movimiento lateral<c>)"""
PreviewMove_mouse#0,"""Alternar <pict mouse_right> Modo: (<yellow>Giro y zoom<c>/<c cfcfcf>Movimiento lateral<c>)"""
CBT_BillingRestrictions#0,"""Durante la prueba beta cerrada, no podrás comprar <br>AC."""
TargetInfo_Level#0,"""Lv.$(0)"""
TargetInfo_Name#0,"""$(0) $(1)"""
TargetInfo_WeekAndResist#0,"""$(0)"""
TargetInfo_WeakPoint#0,"""Debilidad"""
TargetInfo_Resist#0,"""Resistencia"""
Title#0,"""Estado simple"""
StatusLabePower#0,"""Poder de Batalla"""
StatusLabeJob#0,"""$(0) """
StatusLabelLevel#0,"""Lv. """
StatusLabelExp#0,"""Puntos de exp"""
MainStatusLabelExp#0,"""Exp"""
StatusLabelNextExp#0,"""Hasta el sig nivel"""
MainStatusLabelNextExp#0,"""Sig nivel"""
SubStatusLabelNextExp#0,"""Sig nivel (Sub Class)"""
StatusLabelMeseta#0,"""<pict reb_meseta>Meseta"""
StatusLabelSeasonPoint#0,"""Puntos de temporada del 9º aniversario"""
StatusLabelSeasonPointValue#0,"""$(1) /$(0)"""
StatusLabelFun#0,"""FuN"""
StatusLabelAc#0,"""Ac"""
StatusLabelTicket#0,"""Estado Premium"""
StatusLabeMainClass#0,"""Clase principal"""
StatusLabelSubClass#0,"""Sub Clase"""
MiKakin#0,"""No usado"""
IsPremium#0,"""<yellow>Duración Premium<c>"""
NonPremium#0,"""<red>Premium vencido<c>"""
KakinGire#0,"""<red>Caducado<c>"""
NetCafe#0,"""<green>Net cafe Premium<c>"""
NoJob#0,"""Nada"""
Excube#0,"""ESTADO Excube """
MainExcube#0,"""Hasta el próx cubo"""
SubExcube#0,"""Hasta el próx cubo (Sub Class)"""
ExpBlank#0,"""－"""
StatusLabelSg#0,"""Star Gems(SG)"""
LevelMax#0,"""（$(0)）"""
LevelMaxHide#0,"""（－）"""
RemainingDaysUp#0,"""$(0) dia(s) restante(s)"""
RemainingDays#0,"""$(0) dia(s)restante(s)"""
RemainingHour#0,"""$(0) hora(s) restante(s)"""
RemainingHourLess#0,"""Quedan menos de $(0) hora(s)"""
StatusLabePowerAndMaxPower#0,"""Poder de Batalla"""
StatusLabePowerAndMaxPowerNumber#0,"""$(0)"""
GoToTask#0,"""Ver tareas con <%Function>"""
RemainingDayHourMin#0,"""$(0) día(s) $(1) hora(s) $(2) minuto(s)"""
StatusLabelSeasonPointPossession#0,"""Puntos totales"""
StatusLabelSeasonPointWeeklyLimit#0,"""Puntos semanales ganados"""
HateTime#0,"""Duración del efecto"""
HateEffectValue#0,"""Importe del efecto"""
HealRate#0,"""Monto de recuperación"""
DownRateAll#0,"""Tasa de reducción de daños"""
AtpDownRate#0,"""Tasa de reducción de ATP """
PpUseUpRate#0,"""Tasa de Consumo PP"""
PpUseDownRate#0,"""Tasa reducción del consumo PP"""
CriticalRate#0,"""Construcción del medidor de alcance óptimo"""
AtpAndDownRate#0,"""Aumento del factor de potencia/descenso"""
Range#0,"""Efecto de Área"""
AtpRateLow#0,"""Potencia al 75% o más de HP"""
DownRateLow#0,"""Factor de reducción al 75% o más de Hp"""
AtpRateHigh#0,"""Potencia HP a 100％"""
DownRateHigh#0,"""HP100％時ダウン値"""
AtpRateProper#0,"""Rango óptimo de potencia crítica"""
AtpRateMiss#0,"""Rango defectuoso Potencia crítica"""
CriticalInstantProper#0,"""Rango óptimo Tasa crítica"""
CriticalInstantMiss#0,"""Tasa de Críticos de Alcance Defectuoso"""
AttackSpeedRateLv1#0,"""Velocidad de ataque en cadena inferior a 50"""
AttackSpeedRateLv2#0,"""Por debajo de 80 de velocidad de ataque en cadena"""
AttackSpeedRateLv3#0,"""Por encima de 81 Velocidad de ataque en cadena"""
AttackSpeedRateMax#0,"""Aumento máximo de la velocidad de ataque"""
AddPpMax#0,"""PP Agregado"""
MulMaxHpRate#0,"""Tasa máxima de reducción de HP"""
PpRate#0,"""PP Base"""
RecoveryEffectRateOther#0,"""Tasa de Poder de recuperación"""
RecoveryEffectRateSelf#0,"""Tasa de Poder de recuperación"""
AtpRateDown#0,"""Tasa de reducción de ATP"""
DownRateDown#0,"""Down Factor Decrease"""
DfpRate#0,"""Daños sufridos"""
MaxTime#0,"""Duración máxima"""
CriticalInstantNeoTimeM#0,"""75-99% Critical Rate"""
PpHealRateNeoTimeM#0,"""75-99% Auto PP Recovery Amount"""
CriticalInstantNeoTimeH#0,"""100% Critical Rate"""
PpHealRateNeoTimeH#0,"""100% Auto PP Recovery Amount"""
DamageRate#0,"""Tasa de daño"""
BasePoint#0,"""Valor base"""
PlusHealRate#0,"""Add. Monto de recuperación"""
SkillPpRate#0,"""PP Base"""
AttackDownRate#0,"""Physical Down Potency"""
Count#0,"""Max Stock"""
PhotonBlastGaugeAddValue#0,"""Photon Blast Gauge Increase Rate"""
PreCount#0,"""Initial Stock"""
AddRate#0,"""Tasa de fortalecimiento de Weak Bullet"""
AddTime#0,"""Tiempo de extensión de Weak Bullet"""
PbBonus#0,"""Tasa de aumento del indicador de Photon Blast"""
PPRecover#0,"""Cantidad de recuperación de PP"""
GrenadeAtpRate#0,"""Daño de granada"""
TrapAtpRate#0,"""Daño de ataque de trampa"""
ForcePhotonFlareTecShortChargeRate#0,"""Tiempo de carga Tasa de reducción"""
StatusEffectValueMain#0,"""Eficacia de la dolencia de estado (principal)"""
StatusEffectValueSub#0,"""Eficacia de la dolencia de estado (Sub)"""
StatusEffectDurationMain#0,"""Duración de la dolencia de estado (principal)"""
StatusEffectDurationSub#0,"""Duración de la dolencia de estado (Sub)"""
DecreaseHP#0,"""Costo HP"""
PPRecoverRateMain#0,"""Tasa de recuperación del PP (principal)"""
PPRecoverRateSub#0,"""Tasa de recuperación del PP (sub)"""
ChargeDuration#0,"""Tiempo de carga"""
PPRecoverRate#0,"""Recuperación PP """
MaxPPRecover#0,"""PP máximo recuperado"""
KillingPPRecover#0,"""Defeat PP Recovery"""
DownPPRecover#0,"""PP Recovery when Downed"""
EffectRange#0,"""Área de efecto"""
PPRecoverValue#0,"""Recuperación del PP"""
DurationDecreaseRate#0,"""Tasa de disminución de la duración"""
PPRecoverValueMain#0,"""Recuperación del PP (principal)"""
PPRecoverValueSub#0,"""Recuperación del PP (sub)"""
PhysicalDownAtpRateMain#0,"""Phy. Down Potency (Main)"""
PhysicalDownAtpRateSub#0,"""Phy. Down Potency (Sub)"""
ElementDownAtpRateMain#0,"""Elem. Down Potency (Main)"""
ElementDownAtpRateSub#0,"""Elem. Down Potency (sub)"""
PhysicalDownPPRecoverRateMain#0,"""Phy. Down PP Recovery (Main)"""
PhysicalDownPPRecoverRateSub#0,"""Phy. Down PP Recovery (sub)"""
ElementDownPPRecoverRateMain#0,"""Elem. Down PP Recovery (Main)"""
ElementDownPPRecoverRateSub#0,"""Elem. Down PP Recovery (sub)"""
DamageRateMain#0,"""Tasa de daños sufridos (principal)"""
DamageRateSub#0,"""Tasa de daños sufridos (sub)"""
DamageStoreRate#0,"""Damage Accumulation Rate"""
DownRate#0,"""Down Factor Increase"""
ElementDownRate#0,"""Elem. Down Factor Increase"""
DonwAtpRate#0,"""Down Potency"""
StatusEffectValue#0,"""Status Ailment Efficacy"""
PPRecoverSpeed#0,"""Velocidad de recuperación natural del PP"""
MaxDuration#0,"""Duración máxima del efecto"""
EffectTime#0,"""Efecto Duración"""
PBRateMain#0,"""PB Gauge Fortification (Main)"""
PBRateSub#0,"""PB Gauge Fortification (Sub)"""
DecreaseTime#0,"""Disminución de la duración"""
ReduceRecast#0,"""Reducción del enfriamiento"""
DamageReductionMainRate#0,"""Damage Reduction Rate (Main)"""
DamageReductionSubRate#0,"""Damage Reduction Rate (Sub)"""
PPHealPoint#0,"""Recuperación de PP"""
AddPP#0,"""Recuperación de PP"""
AttackDownSubRate#0,"""Phy. Down Potency (Sub)"""
ElementDownSubRate#0,"""Elem. Down Potency (Sub)"""
AttackDownPPRate#0,"""Phy. Down PP Recover Rate"""
ElementDownPPRate#0,"""Elem. Down PP Recover Rate"""
AttackDownPPSubRate#0,"""Phy. Down PP Recovery (Sub)"""
ElementDownPPSubRate#0,"""Elem. Down PP Recovery (Sub)"""
GuardRateMain#0,"""Status Accumulation Rate (Main)"""
GuardRateSub#0,"""Status Accumulation Rate (Sub)"""
GuardRate#0,"""Status Accumulation Rate"""
EaseRateMain#0,"""Status Duration (Main)"""
EaseRateSub#0,"""Status Duration (Sub)"""
ForceTalisConcentrateRate#0,"""Duración"""
ActionPpRate#0,"""PP Consumption Decrease Rate"""
PpActionRateAccumulation#0,"""PP Cost Conversion Rate"""
PpHealMaxVolume#0,"""Recuperación de PP"""
PpHealValue#0,"""Recuperación de PP"""
PpRecoveryDeathState#0,"""Enemy Death PP Recovery"""
MainRecoveryRate#0,"""Recuperación natural del PP (main)"""
SubRecoveryRate#0,"""Recuperación natural del PP (sub)"""
Stock#0,"""Max Stock"""
PpHealVal#0,"""Recuperación de PP"""
PpRecoveryRateMain#0,"""PP Regeneration (Main)"""
PpRecoveryRateSub#0,"""PP Regeneration (Sub)"""
PBGaugeAddValueMain#0,"""PB Gauge Fill Rate (Main)"""
PBGaugeAddValueSub#0,"""PB Gauge Fill Rate (Sub)"""
NumberRequired#0,"""No. Required"""
PhysicalDownRate#0,"""Physical Down Infliction Rate"""
ElementDownAtpRate#0,"""Attribute Down Damage Boost"""
AttackDownRateMain#0,"""Physical Down Damage Boost (Main)"""
AttackDownPPRateMain#0,"""Physical Down PP Recovery (Main)"""
ElementDownPPRateMain#0,"""Attribute Down PP Recovery (Main)"""
PpUse#0,"""PP consumido"""
PATitle#0,"""Detalles del Photon Art"""
TechnicTitle#0,"""Detalles Technique"""
OverloadTitle#0,"""Detalles Technique compuestas"""
SkillTitle#0,"""Detalles de habilidad"""
NoSelectPAMessage#0,"""No se ha seleccionado ningún Photon Art."""
NoSelectTechnicMessage#0,"""No se ha seleccionado ninguna técnica."""
NoSelectOverloadMessage#0,"""No se ha seleccionado ninguna técnica de fusión."""
Power#0,"""Poder"""
Dex#0,"""Destreza"""
NeedPp#0,"""costo de PP"""
PowerValue#0,"""$(0)"""
DexValue#0,"""$(0)％"""
EffectValue#0,"""$(0)％"""
Burn#0,"""Quemar"""
Shock#0,"""ShocK"""
Freeze#0,"""Congelar"""
Bind#0,"""Bind """
Silence#0,"""Silencio"""
Poison#0,"""Veneno"""
Break#0,"""Rotura"""
Injury#0,"""Lesión"""
Curse#0,"""Maldición"""
Stun#0,"""Aturdir"""
Panic#0,"""Panico"""
Mirage#0,"""Mirage """
TechnicCustomize#0,"""Rendimiento de personalización"""
Merit#0,"""Mérito"""
Demerit#0,"""Desmérito"""
Special#0,"""Efectos especiales"""
Custom1#0,"""Tipo personalizado 1"""
Custom2#0,"""Tipo personalizado 2"""
ActionChange#0,"""Cambiar comportamiento"""
PetTitle#0,"""Detalles de la mascota"""
NeedGauge#0,"""Costo de stock"""
NeedGaugeValue#0,"""$(0) (Stock máximo: $(1))"""
NotFoundGaugeValue#0,"""Los Photon Arts de Acumulación no pueden usarse con tus armas actualmente equipadas."""
MyshopTitle#0,"""CONFIRMAR ARTÍCULO(S) EN VENTA"""
MyshopMessage#0,"""Está a punto de registrar ropa para la que<br>no se han adquirido Star Gems.<br>¿Está seguro de que desea proceder?"""
TradeTitle#0,"""ADVERTENCIA"""
TradeMessage#0,"""Está a punto de registrar ropa para la que<br>no se han adquirido Star Gems.<br>¿Está seguro de que desea proceder?"""
TeamWarehouseTitle#0,"""ADVERTENCIA"""
TeamWarehouseMessage#0,"""Estás a punto de colocar en tu <br>almacén de la Alianza prendas para las que no se han adquirido Star Gems.<br><br>El medidor de afinidad se restablecerá para las prendas colocadas en el <br>almacén de la Alianza.<br><br>¿Estás seguro de que deseas continuar?"""
TeamWarehouseTitle2#0,"""ADVERTENCIA"""
TeamWarehouseMessage2#0,"""Estás a punto de mover este objeto a tu almacén de la Alianza. <br>¿Estás seguro de que quieres proceder?<br><br>El medidor de afinidad se restablecerá para las prendas colocadas<br>en el almacén de la Alianza.<br><yellow>Nota: tu almacén de la Alianza también puede ser utilizado por otros<br>jugadores.<c>"""
PresentBoxTitle#0,"""ADVERTENCIA"""
PresentBoxMessage#0,"""Estás a punto de colocar en una caja de regalo prendas para las que no se han adquirido Star Gems.<br>¿Estás seguro de que quieres proceder?"""
GachaTitle#0,"""ADVERTENCIA"""
GachaMessage#0,"""Estás a punto de colocar ropa para la que<br>no se han adquirido Star Gems<br>en un Photon Capsule Machine<br>¿Estás seguro de que deseas proceder?"""
RecycleTitle#0,"""Confirmar"""
RecycleMessage#0,"""Estás a punto de intercambiar <c f0df60>$(0)<c> × $(1) por el/los objeto(s) seleccionado(s).<br><yellow>No se consumirán otros objetos que no sean los indicados a continuación.<c><br><rojo>Nota: El/los objeto(s) seleccionado(s) incluye(n) ropa(s) para la(s) cual(es) no se han adquirido Star Gems.<c><br>¿Estás seguro de que deseas proceder?"""
RecycleMessageVita#0,"""Estás a punto de intercambiar <c f0df60>$(0)<c> × $(1) por el/los objeto(s) seleccionado(s).<br><yellow>No se consumirán otros objetos que no sean los indicados a continuación.<c><br><rojo>Nota: El/los objeto(s) seleccionado(s) incluye(n) ropa(s) para la(s) cual(es) no se han adquirido Star Gems.<c><br>¿Estás seguro de que deseas proceder?"""
RewardPopupMenu#0,"""Adquirir Star Gem(s)"""
RewardTitle#0,"""CONFIRMAR LA ADQUISICIÓN DE STAR GEM"""
RewardMessage#0,"""Puedes adquirir Star Gem(s) para esta ropa<br>porque su medidor de afinidad está ahora al máximo.<br><br>¿Quieres adquirir Star Gem(s)?"""
RewardGetFailed#0,"""No se puede adquirir Star Gem(s)."""
CharaMenu_Party00#0,"""Grupo"""
CharaMenu_Party01#0,"""Invitar al Grupo"""
CharaMenu_Party02#0,"""Cambiar líder del Grupo"""
CharaMenu_Party03#0,"""Remover del Grupo"""
CharaMenu_Party04#0,"""unir al Grupo"""
CharaMenu_Bl01#0,"""Añadir a la lista negra"""
CharaMenu_Bl02#0,"""Eliminar de la lista negra"""
CharaMenu_Guild00#0,"""TeaM"""
CharaMenu_Guild01#0,"""Explorar en Team"""
CharaMenu_Guild02#0,"""Conceder Team Master"""
CharaMenu_Guild03#0,"""Expulsar del Team"""
CharaMenu_Guild04#0,"""Promover a Manager"""
CharaMenu_Guild05#0,"""Promover a Común miembro"""
CharaMenu_Guild06#0,"""Descender a miembro común"""
CharaMenu_Guild07#0,"""Descender a visitante"""
CharaMenu_Guild08#0,"""Solicitud de fusión de Team"""
CharaMenu_Chat01#0,"""Enviar un susurro"""
CharaMenu_Chat02#0,"""-"""
CharaMenu_Mail01#0,"""Enviar correo"""
CharaMenu_Item01#0,"""-"""
CharaMenu_Item02#0,"""Comercio <pict Arcscash>"""
CharaMenu_Friend01#0,"""Agregar como amigo"""
CharaMenu_Friend02#0,"""Eliminar de amigo"""
CharaMenu_Friend03#0,"""Recibir Aviso de sesión"""
CharaMenu_Friend04#0,"""No recibir Aviso de sesión"""
CharaMenu_Friend05#0,"""Mover al bloque"""
CharaMenu_Friend06#0,"""Ver tarjeta ARKS"""
CharaMenu_Friend07#0,"""Confn de prioridad visual"""
CharaMenu_Friend08#0,"""Configuración de grupo"""
CharaMenu_MyRoom01#0,"""Quitar de la habitación"""
CharaMenu_MyRoom02#0,"""Visitar habitación"""
CharaMenu_Chara01#0,"""Envía un buen trabajo"""
CharaMenu_Chara02#0,"""Ver información del PJ"""
CharaMenu_Chara03#0,"""Ver información de moda"""
CharaMenu_Chara04#0,"""Ver catálogo de moda"""
CharaMenu_Chara05#0,"""Registrar Moda"""
CharaMenu_Apc01#0,"""Eliminar del Grupo"""
CharaMenu_Action01#0,"""Imitar"""
CharaMenu_Action02#0,"""Reaccionar"""
ClickCharaName#0,"""Seleccionar $(0)."""
CharaMenu_Error01#0,"""No puede seleccionar su propia cuenta"""
CharaMenu_Message_Delete01#0,"""Borrar mensaje"""
CharaMenu_GuildRoom01#0,"""Visitar la sala del Team"""
CharaMenu_GuildRoom02#0,"""Remover de la sala de Team"""
CharaMenu_moralskeeper_category#0,"""Comandos personales"""
CharaMenu_moralskeeper_menu#0,"""Reportar jugador"""
CharaMenu_category00#0,"""Personaje"""
CharaMenu_category01#0,"""Comunicación"""
CharaMenu_category02#0,"""Amigo"""
CharaMenu_category03#0,"""Otros"""
CharaMenu_Error02#0,"""No puedes seleccionar este personaje."""
CharaMenu_TypeChange#0,"""Cambiar formato de visualización"""
CharaMenu_ToastType1#0,"""Cambiado a visualización de categorías."""
CharaMenu_ToastType2#0,"""Cambiado a la visualización de lista."""
CharaMenu_GroupChat#0,"""Grupo"""
CharaMenu_GroupChatChange#0,"""Cambiar líder de grupo"""
CharaMenu_GroupChatDelete#0,"""Sacar del grupo"""
CharaMenu_Gamertag#0,"""-"""
OperationGuide#0,"""<%Decide> Selecciona\u3000<%Cancel> Atras"""
Title#1,"""Contador de clases"""
MainClass#0,"""Clase principal"""
SubClass#0,"""Sub Clase"""
Class#0,"""Clase"""
MainClassSelect#0,"""Seleccione clase principal"""
SubClassSelect#0,"""Seleccione a Sub clase"""
ClassSelect#0,"""Seleccione clase"""
SkillTree#0,"""Árbol de habilidades"""
SkillTreeConfig#0,"""Obtén habilidades de clase"""
SkillTreeSelect#0,"""Seleccione un árbol de habilidades"""
ClassChangeTitle#0,"""Cambio de clase"""
AutoSkillTreeConfig#0,"""Árbol de habilidades recomendado"""
ClassLevel#0,"""LV.(MAX)"""
SkillTreeConfirmTitle#0,"""Confirmación de habilidad"""
MainClassChangeMessage#0,"""¿Estás seguro de que quieres cambiar tu Clase Principal a<br>Nivel $(1) $(0)?"""
MainClassChangeSuccess#0,"""Se ha cambiado la clase principal."""
SubClassChangeMessage#0,"""Estás a punto de seleccionar<br>Nivel $(1) $(0) como tu Subclase.<br>Se aplicarán los siguientes efectos<br>para la clase que selecciones como tu Subclase:<br>- Los valores de las habilidades de las estadísticas se verán ligeramente complementados.<br>- Las habilidades pasarán a ser utilizables.<br>- Photon Arts / Techniques  pasarán a ser utilizables.<br>¿Estás seguro de que deseas proceder?"""
SubClassChangeMessageVillain#0,"""Estás a punto de seleccionar<br>Nivel $(1) $(0) como tu Subclase.<br>Los siguientes efectos se aplicarán<br>a la clase que selecciones como tu Subclase:<br>- Los valores de las habilidades de las estadísticas se verán ligeramente complementados.<br>- Las habilidades pasarán a ser utilizables.<br>- Las técnicas pasarán a ser utilizables.<br><amarillo>$(0) Las Artes Fotónicas no serán utilizables.<c><br>¿Estás seguro de que deseas proceder?"""
