YesText#0,"""Si"""
StatusLabelSg#0,""" Star Gems (SG)"""
LevelMax#0,"""($(0))"""
LevelMaxHide#0,"""(-)"""
RemainingDaysUp#0,"""Más de $(0) días"""
RemainingDays#0,"""$(0) días restantes"""
RemainingHour#0,"""$(0) horas restantes"""
RemainingHourLess#0,"""Menos de $(0) horas"""
StatusLabePowerAndMaxPower#0,"""Power Level"""
StatusLabePowerAndMaxPowerNumber#0,"""$(0)"""
GoToTask#0,"""<%Function> Ver tareas"""
RemainingDayHourMin#0,"""$(0) dia, $(1) hora(s) :$(2) min(s)"""
StatusLabelSeasonPointPossession#0,"""Puntos actuales"""
StatusLabelSeasonPointWeeklyLimit#0,"""Puntos semanales obtenidos"""
StatusLabelSeasonalPoint#0,"""Puntos de temporada"""
StatusLabelMP#0,"""Mission Pass\u3000$(0)"""
StatusLabelMP_title#0,"""Mission Pass"""
StatusLabelMP_season#0,"""$(0)"""
StatusLabelMP2#0,"""Mission Pass\u3000No se ha abierto"""
StatusLabelMP_ClosedSeason#0,"""Cerrado"""
StatusLabelTier#0,"""Tier\u3000$(0)<pict 4space><pict mp_star_icon>"""
StatusLabelTier_title#0,"""Tier"""
StatusLabelTier_number#0,"""$(0)<pict 4space><pict mp_star_icon>"""
PlBadCond:Freeze#0,"""Freeze"""
PlBadCond:Shock#0,"""Shock"""
PlBadCond:Mirage#0,"""Mirage"""
PlBadCond:Panic#0,"""Panic"""
PlBadCond:Poison#0,"""Poison"""
PlBadCond:Stun#0,"""Stun"""
PlBadCond:Injury#0,"""Injury"""
Title#2,"""Estado actual"""
header1#0,"""Nombre del efecto"""
header2#0,"""Duración"""
EffectTabForwardText#0,"""Interruptor"""
EffectTabForward#0,"""<%NextTabDetails>"""
SubTitle_Element#0,"""Estado"""
SubTitle_Technic#0,"""Efecto de Técnica"""
SubTitle_Item#0,"""Efectos de objeto"""
SubTitle_EventBoostItem#0,"""$(0)"""
SubTitle_Drink#0,"""Efecto de bebida"""
SubTitle_Guild#0,"""Efecto de support photon"""
SubTitle_PSE#0,"""Efectos PSE"""
SubTitle_Enemy#0,"""Bono: Regalo de enemigo"""
SubTitle_Live#0,"""-Efecto"""
SubTitle_CraftEnchant#0,"""Habilidad temporal"""
SubTitle_MyBoost#0,"""Bono: Boost diario (Se reduce con el paso del tiempo)"""
SubTitle_Skill#0,"""Efecto de habilidad"""
SubTitle_RareEnemy#0,"""Bono: Trigger de Enemigo Raro"""
SubTitle_Sukunahime#0,"""Bendición: Sukuna-hime"""
SubTitle_QuestClear#0,"""Bono: Completar misión"""
SubTitle_ArksBoost#0,"""A.R.K.S"""
SubTitle_GatBoost#0,"""Boost: Recolección"""
SubTitle_QuestTrigger#0,"""Bono: Trigger de misión"""
SubTitle_FriendInvite#0,"""Bono: Invitación"""
SubTitle_LaboBoost#0,"""Bono: Completar misión"""
SubTitle_PartyBuff#0,"""Bono: por grupo"""
SubTitle_PremiumBoost#0,"""Bono: Premium"""
SubTitle_PokaBoost#0,"""Bono: para proxima batalla"""
SubTitle_ParameterSync#0,"""Ajustes de misión"""
SubTitle_BasnetBuff#0,"""Bono: Main Match"""
SubTitle_HalfdollRemain#0,"""N-Half Dolls disponibles"""
SubTitle_ComeBackPlayerBonus#0,"""Bono para jugadores que regresan"""
SubTitle_Darkerblast#0,"""Bono: Dark Blast"""
SubTitle_CloudBlockBuff#0,"""Cloud Party Boost"""
SubTitle_TotalScoreBoost#0,"""Quest Link Boost (Lｖ．$(0))"""
SubTitle_ArmadaPointBonus#0,"""Fleet Int.: Point Bonus ($(0)<pict Target_CP>)"""
SubTitle_StyleEffect#0,"""Estilo de Efecto"""
SubTitle_StyleSubBuffEffect#0,"""Mejora Efecto de Sub"""
SubTitle_TravelAreaBoost#0,"""(Temporal) Quest"""
None#0,"""Nada"""
Burn1#0,"""Quemadura"""
Burn2#0,"""Quemadura"""
Burn3#0,"""Quemadura"""
Burn4#0,"""Quemadura"""
Burn5#0,"""Quemadura"""
Freeze1#0,"""Congelación"""
Freeze2#0,"""Congelación"""
Freeze3#0,"""Congelación"""
Freeze4#0,"""Congelación"""
Freeze5#0,"""Congelación"""
Poison1#0,"""Envenenamiento"""
Poison2#0,"""Envenenamiento"""
Poison3#0,"""Envenenamiento"""
Poison4#0,"""Envenenamiento"""
Poison5#0,"""Envenenamiento"""
Shock1#0,"""Paralisis"""
Shock2#0,"""Paralisis"""
Shock3#0,"""Paralisis"""
Shock4#0,"""Paralisis"""
Shock5#0,"""Paralisis"""
Panic1#0,"""Panico (Confusion)"""
Panic2#0,"""Panico (Confusion)"""
Panic3#0,"""Panico (Confusion)"""
Panic4#0,"""Panico (Confusion)"""
Panic5#0,"""Panico (Confusion)"""
Silece1#0,"""Silencio"""
Silece2#0,"""Silencio"""
Silece3#0,"""Silencio"""
Silece4#0,"""Silencio"""
Silece5#0,"""Silencio"""
Mirage1#0,"""Mirage"""
Mirage2#0,"""Mirage"""
Mirage3#0,"""Mirage"""
Mirage4#0,"""Mirage"""
Mirage5#0,"""Mirage"""
Shifta#0,"""Boost de Ataque"""
Deband#0,"""Boost de Defensa"""
Jellen1#0,"""Jellen (Attack Down)"""
Jellen2#0,"""Jellen (Attack Down)"""
Jellen3#0,"""Jellen (Attack Down)"""
ShitaRide#0,"""Boost de ataque"""
DebandRide#0,"""Boost de defensa"""
MagShifta#0,"""Boost de ataque"""
MagDeband#0,"""Boost de defensa"""
DrinkMainAtpUpS#0,"""Efecto principal: Pequeño aumento de aumento de ataque"""
DrinkMainAtpUpM#0,"""Efecto principal: Mediano aumento de ataque"""
DrinkMainAtpUpL#0,"""Efecto principal: Gran aumento de ataque"""
DrinkMainDfpUpS#0,"""Efecto principal: Pequeño aumento de aumento de defensa"""
DrinkMainDfpUpM#0,"""Efecto principal: Mediano aumento de defensa"""
DrinkMainDfpUpL#0,"""Efecto principal: Gran aumento de defensa"""
DrinkMainHPUpS#0,"""Efecto principal: Pequeño aumento de aumento de HP"""
DrinkMainHPUpM#0,"""Efecto principal: Mediano aumento de HP"""
DrinkMainHPUpL#0,"""Efecto principal: Gran aumento de HP"""
DrinkMainPPUpS#0,"""Efecto principal: Pequeño aumento de aumento de PP"""
DrinkMainPPUpM#0,"""Efecto principal: Mediano aumento de PP"""
DrinkMainPPUpL#0,"""Efecto principal: Gran aumento de PP"""
DrinkMainRegistFireUpS#0,"""Efecto principal: Pequeño aumento de aumento de fire resist"""
DrinkMainRegistFireUpM#0,"""Efecto principal: Mediano aumento de fire resist"""
DrinkMainRegistFireUpL#0,"""Efecto principal: Gran aumento de fire resist"""
DrinkMainRegistIceUpS#0,"""Efecto principal: Pequeño aumento de aumento de ice resist"""
DrinkMainRegistIceUpM#0,"""Efecto principal: Mediano aumento de ice resist"""
DrinkMainRegistIceUpL#0,"""Efecto principal: Gran aumento de ice resist"""
DrinkMainRegistThunderUpS#0,"""Efecto principal: Pequeño aumento de aumento de lightning resist"""
DrinkMainRegistThunderUpM#0,"""Efecto principal: Mediano aumento de lightning resist"""
DrinkMainRegistThunderUpL#0,"""Efecto principal: Gran aumento de lightning resist"""
DrinkMainRegistWindUpS#0,"""Efecto principal: Pequeño aumento de aumento de wind resist"""
DrinkMainRegistWindUpM#0,"""Efecto principal: Mediano aumento de wind resist"""
DrinkMainRegistWindUpL#0,"""Efecto principal: Gran aumento de wind resist"""
DrinkMainRegistLightUpS#0,"""Efecto principal: Pequeño aumento de aumento de light resist"""
DrinkMainRegistLightUpM#0,"""Efecto principal: Mediano aumento de light resist"""
DrinkMainRegistLightUpL#0,"""Efecto principal: Gran aumento de light resist"""
DrinkMainRegistDarkUpS#0,"""Efecto principal: Pequeño aumento de aumento de dark resist"""
DrinkMainRegistDarkUpM#0,"""Efecto principal: Mediano aumento de dark resist"""
DrinkMainRegistDarkUpL#0,"""Efecto principal: Gran aumento de dark resist"""
DrinkSubWeakDamageUp#0,"""Efecto agregado: Aumento de Weakpoint damage"""
DrinkSubRegistAbnormalUp#0,"""Efecto agregado: Aumento de Resistencia a estados"""
DrinkSubDropEnchantUp#0,"""Efecto agregado: Aumento de caida de Special Habilidad"""
DrinkSubDropUnidentifiedUp#0,"""Efecto agregado: Aumento de caida de Objetos sin Identificar"""
DrinkSubDropRareUp#0,"""Efecto agregado: Aumento de caida de Objetos Raros"""
DrinkSubDropMesetaUp#0,"""Efecto agregado: Aumento de Meseta"""
DrinkSubReduceKnockBackUp#0,"""Efecto agregado: Aumento de la reduccion de empujones"""
DrinkSubDamageZeroUp#0,"""Efecto agregado: Aumento del chance de daño anulado al azar"""
DrinkSubItemHealUp#0,"""Efecto agregado: Aumento de efecto de los items de recuperacion"""
DrinkSubPPUsageDown#0,"""Efecto agregado: Aumento de PP cost reduction"""
DrinkSubPPRecoverySpeedUp#0,"""Efecto agregado: Aumento de PP recovery"""
DrinkSubPBGageRizeUp#0,"""Efecto agregado: Aumento del Incremento de la barra de PB"""
DrinkSubPADamageUp#0,"""Efecto agregado: Aumento de daño de las PA"""
DrinkSubAttackHateUp#0,"""Efecto agregado: Aumento de la generacion de odio"""
DrinkSubAttackHateDown#0,"""Efecto agregado: Reduccion de la generacion de odio"""
DrinkSubExperienceUp#0,"""Efecto agregado: Aumento de EXP"""
TeamBoost_AttackUp#0,"""Attack Boost"""
TeamBoost_DefenseUp#0,"""Defense Boost"""
TeamBoost_EXPUp#0,"""EXP Boost"""
TeamBoost_MesetaUp#0,"""Meseta Up"""
TeamBoost_RareUp#0,"""Rare Drop Rate Boost"""
DH3De:ForceCore#0,"""ATK Power + Crit rate boost"""
CraftEnchantEffectTime#0,"""$(0):$(1):$(2)"""
MyBoostEffectName#0,"""Tri-Boost +$(0)%"""
SukunahimeEffect#0,"""Fortalecimiento del Personaje Nv.$(0)"""
SukunahimeEffect_HighMagatsu#0,"""Fortalecimiento del Personaje"""
QuestClear_Magatsu#0,"""Raid Bonus: Rare Drop +$(0)%"""
ArksBoostEffect#0,"""Character Strengthening Lv.$(0)"""
QuestTriggerBoost1#0,"""Rare Drop Rate +$(0)%"""
QuestTriggerBoost2#0,"""EXP +$(0)%"""
FriendInviteBoost#0,"""EXP +$(0)%"""
LaboBoost1#0,"""Raid Reward: NT Grind Boost +$(0)%"""
LaboBoost2#0,"""Raid Reward: Unit Grind Boost +$(0)%"""
ItemEffect_Suspend#0,""" (Paused)"""
PartyBuff#0,"""Tri-Boost +$(0)%"""
PremiumBoost#0,"""Tri-Boost +$(0)%"""
PremiumBoostDay#0,""" $(0) dias """
PokaPointBoost#0,"""Battle Coin Bonus +$(0)%"""
ParameterSync#0,"""Lv.$(0) Stats"""
BasnetBuff#0,"""Tri-Boost +$(0)%"""
HalfdollRemain#0,"""Usos restantes: $(0)"""
HalfDollNotRemain#0,"""Usa (Regresar a la ciudad para reponer)"""
ComeBackPlayerPresent#0,"""Presencia destacada de misiones +$(0)"""
CloudBlockBuff#0,"""EXP +$(0)%"""
TSB_TriBoost#0,"""Tri-Boost +$(0)%"""
TSB_ExpUp#0,"""EXP +$(0)%"""
TSB_MesetaUp#0,"""Meseta +$(0)%"""
TSB_RareDropUp#0,"""Rare Drop Rate +$(0)%"""
TSB_MyClassWeaponDropUp#0,"""Class Drop Boost +$(0)%"""
TSB_ItemLotteriesUp#0,"""Aumento de la caída de armas de rareza ★14 o superior"""
TSB_AddDropItem#0,"""'Rare-grain Erebos Stone' se ha añadido el impulso de la caída"""
TravelBoost_TravelContinuous#0,"""Area 2 Boost"""
Armada_DropLotteriesUp#0,"""Item Drop Boost Up"""
SubTitle_WorldTrial#0,"""S Grace Boost [All]"""
SubTitle_WorldTrial2#0,"""S Grace Boost (Personal)"""
WorldTrial_RareDropUp#0,"""Rare Drop Rate +$(0)%"""
TechterShiftaDebandBuff#0,"""Shifta-Deband"""
SubTitle_Drone#0,"""Drome Boost"""
Drone_Buff#0,"""Aumento del daño y reducción del daño recibido"""
RMag_RegionMagBoost#0,"""Regional Mag Boost"""
RMag_BoostEffect1#0,"""Attack Power Up"""
RMag_BoostEffect2#0,"""Experiencia adquirida +$(0)%"""
RMag_BoostEffect3#0,"""Rare Drop Rate +$(0)%"""
PremiumFoodBoostEffect1#0,"""Rare Drop Rate +$(0)%"""
PremiumFoodBoostEffect2#0,"""Meseta adquirida +$(0)%"""
PremiumFoodBoostEffect3#0,"""Experiencia adquirida +$(0)%"""
Premium_Effect#0,"""<pict Arcscash>Premium Effect"""
PremiumFoodBoost#0,"""Food Boost <pict Arcscash>Premium Effect"""
FoodBoost#0,"""Food Boost Effect"""
SubTitle_BattleTrigger#0,"""Battle Trigger User Effect"""
BattleTrigger_BoostEffect1#0,"""Experiencia adquirida +$(0)%"""
BattleTrigger_BoostEffect2#0,"""Rare Drop Rate +$(0)%"""
CommonBoost_RareDropUp#0,"""Rare Drop Rate +$(0)%"""
CommonBoost_SeasonalPointRate#0,"""シーズナルポイント獲得倍率＋$(0)％"""
Item#0,"""Inventario"""
Arms#0,"""Armas"""
Guard#0,"""Protectores"""
Subpalette#0,"""Sub-Paletas"""
WeaponAvatar#0,"""Modelo de armas"""
WeaponPos#0,"""Ubicar armas"""
Valuables#0,"""-"""
Close#0,"""Volver"""
DropRoot#0,"""Tirar objeto"""
Rental_ItemName#0,"""Nombre del objeto rentable"""
Rental_TimeRimit#0,"""Expiration"""
PATitle#0,"""Detalles de Photon Art"""
TechnicTitle#0,"""Detalles de tecnica"""
OverloadTitle#0,"""Detalles de tecnica compuesta"""
SkillTitle#0,"""Detalles de tecnica"""
NormalAttackTitle#0,"""通常攻撃詳細"""
WeaponActionTitle#0,"""武器アクション詳細"""
NoSelectPAMessage#0,"""No has seleccionado un Photon Art"""
NoSelectTechnicMessage#0,"""No has seleccionado una tecnica"""
NoSelectOverloadMessage#0,"""No hay tecnica compuesta disponible."""
Power#0,"""Fuerza"""
Dex#1,"""Mod. DEX"""
NeedPp#0,"""Costo de PP"""
PowerValue#0,"""$(0)"""
DexValue#0,"""$(0)%"""
EffectValue#0,"""$(0)%"""
Burn#0,"""Quemadura"""
Shock#0,"""Rayo"""
Freeze#0,"""Congelamiento"""
Bind#0,"""Atadura"""
Silence#0,"""Silencio"""
Poison#0,"""Veneno"""
Break#0,"""Ruptura"""
Injury#0,"""Herida"""
Curse#0,"""Maldición"""
Stun#0,"""Paralisis"""
Panic#0,"""Panico"""
Mirage#0,"""Mirage"""
TechnicCustomize#0,"""Personalizar tecnica"""
Merit#0,"""Merit"""
Demerit#0,"""Demerit"""
Special#0,"""Efecto especial"""
Custom1#0,"""Personalización 1"""
Custom2#0,"""Personalización 2"""
ActionChange#0,"""Cambio de conducta"""
PetTitle#0,"""Detalles de la mascota"""
NeedGauge#0,"""Acciones utilizadas"""
NeedGaugeValue#0,"""$(0) (Max. Stocks: $(1))"""
NotFoundGaugeValue#0,"""Las Complex PAs no pueden<br>utilizarse con las armas actuales."""
Title#3,"""Detalles de técnicas por clase"""
NoSelectMessage#0,"""No has seleccionado ninguna tecnica"""
MaxLevel#0,"""MAX Lv."""
Percent#0,"""$(0)%"""
Second#0,"""$(0) sec."""
Piece#0,"""$(0) piezas"""
Shot#0,"""$(0) disparos"""
Plus#0,"""+$(0)"""
Minus#0,"""－$(0)"""
Times#0,"""$(0) veces(s)"""
Blank#0,"""―"""
LevelZero#0,"""0"""
MaxLevelValue#0,"""($(0))"""
Decimal#0,"""$(1).$(0)"""
Prev#0,"""Anterior"""
Next#0,"""Siguiente"""
Title#4,"""Detalles de la clase"""
Experience#0,"""EXP"""
NextExperience#0,"""Para subir de Nv."""
EquipableWeapon#0,"""Arma equipable"""
Blank#1,"""―"""
Together_EXP#0,"""EXP combinada"""
Together_EXP_Max#0,"""EXP combinada MAX"""
ClassLevel#0,"""Lv.(MAX)"""
Title#5,"""Paleta de protectores"""
WarningTitle#0,"""Advertencia"""
WarningMessage#0,"""Si te equipas esto, algunas unidades podrian ser incompatibles.<br>¿Quieres continuar?"""
WarningMessageCast#0,"""Si equipas estas piezas, algunas unidades quedarán sin equipar.<br>¿Estas seguro?"""
CostumeHint#0,"""Los trajes pueden ser equipados en este espacio."""
Parts1Hint#0,"""Partes de Cuerpo y Trajes pueden ser equipados en este espacio."""
Parts2Hint#0,"""Partes de Brazos pueden ser equipados en este espacio."""
Parts3Hint#0,"""Partes de Piernas pueden ser equipados en este espacio."""
Addon1Hint#0,"""Unidades de Espalda pueden ser equipados en este espacio."""
Addon2Hint#0,"""Unidades de Brazos pueden ser equipados en este espacio."""
Addon3Hint#0,"""Unidades de Piernas pueden ser equipados en este espacio."""
Ring1Hint#0,"""Anillos de Izquerda pueden ser equipados en este espacio."""
Ring2Hint#0,"""Anillos de Derecha pueden ser equipados en este espacio."""
FashionHint#0,"""Las vestimentas puede ser equipadas en este espacio."""
CostumeHint1#0,"""N-Costumes"""
CostumeHint2#0,"""Costumes/Parts/Weapon Camos"""
CostumeError#0,"""No puedes quitarte los trajes o la ropa exterior en un Shared Ship<br>o en un Challenge Block.<br>Vuelve a tu nave o a un bloque normal para cambiar tu equipo."""
CostumeErrorTitle#0,"""Paleta de protectores"""
PartsError#0,"""Las partes de los brazos y las piernas no se pueden quitar.<br>Si quieres cambiarlas, deberás reemplazarlas por otra pieza.<br><br>Tampoco puedes cambiar las piezas de fundición o la ropa exterior<br>en una nave compartida o en un bloque de desafío.<br>Vuelve a tu nave o a un bloque normal para cambiar tu equipo."""
PartsErrorTitle#0,"""Paleta de protectores"""
Costume#0,"""Ropa"""
Parts#0,"""Partes"""
Unit#0,"""Unidades"""
Ring#0,"""Anillos"""
Lring#0,"""Anillos Izquierdo"""
Rring#0,"""Anillos Derecho"""
WindowTitleCustom#0,"""Paleta de armas"""
WindowTitleCustomSub#0,"""Sub-paleta"""
WindowTitleIconbox#0,"""Listado de objetos"""
WindowTitleMainTemplate#0,"""Plantilla de paleta principal"""
WindowTitleSubTemplate#0,"""Plantilla de Sub-paleta"""
ButtonEquip#0,"""Abrir equipamento"""
MenuTemplate#0,"""Plantillas"""
MenuDelete#0,"""Eliminar"""
NoPAMessage#0,"""No dispones de Photon Arts"""
NoTechnicMessage#0,"""No dispones de técnicas"""
NoOverloadMessage#0,"""No dispones de técnicas compuestas"""
NoSkillMessage#0,"""Sin técnicas"""
NoPetMessage#0,"""Sin mascotas"""
NoPetPAMessage#0,"""Sin PA de mascotas"""
Acquire#0,"""Aprender"""
ConfirmAcquire#0,""" Nv.$(0) sera aprendida.<br>¿Estas de acuerdo?"""
SuccessAcquire#0,""" Nv.$(0) ha sido aprendida correctamente."""
AcquireMessageTitle#0,"""Aprender Técnicas y Photon Arts"""
AcquireMessageTitle2#0,"""Aprender habilidades de clase"""
FailAcquire00#0,"""Usted ya sabe que el nivel de disco."""
FailAcquire01#0,"""No cumples los requisitos."""
CustomizeMessageTitle#0,"""Confirmación final del disco personalizado"""
ConfirmCustomize#0,"""Personalizaras <yellow>$(0)<c><br>usando este Custom Disc.<br>¿Quieres continuar?"""
SuccessCustomize#0,"""$(0)se ha personalizado."""
FailCustomize00#0,"""No puedes personalizar Técnicas que no conoces."""
ConfirmPaCustomize#0,"""Personalizaras <yellow>$(0)<c><br>usando este Custom Disc.<br>¿Quieres continuar?"""
FailPaCustomize00#0,"""No puedes personalizar los Photon Arts que no has aprendido."""
Set#0,"""Equipar"""
BackSet#0,"""Equipar Rear"""
ArmSet#0,"""Equipar Arm"""
LegSet#0,"""Equipar Leg"""
BackRemove#0,"""Quitar Rear"""
ArmRemove#0,"""Quitar Arm"""
LegRemove#0,"""Quitar Leg"""
BackSet_v#0,"""Equipar Rear"""
ArmSet_v#0,"""Equipar Arm"""
LegSet_v#0,"""Equipar Leg"""
BackRemove_v#0,"""Remover Rear"""
ArmRemove_v#0,"""Remover Arm"""
LegRemove_v#0,"""Remover Leg"""
CostumeRemove#0,"""Remover Costume"""
OuterwearRemove#0,"""Remover Outerwear"""
PartsRemove#0,"""Remover Body Parts"""
RingRRemove#0,"""Remover Right Ring"""
RingLRemove#0,"""Remover Left Ring"""
RingRRemove_v#0,"""Remover Right Ring"""
RingLRemove_v#0,"""Remover Left Ring"""
Levelup#0,"""Level up"""
Change#0,"""Cambiar"""
SetExchange#0,"""Ordenar por"""
Exchange#0,"""Ordenar"""
Delete#0,"""Quitar"""
FailEquip#0,"""No se pudo equipar"""
MainConfigHint#0,"""Copiar/pegar Paleta de Arma"""
SubConfigHint#0,"""Copiar/pegar Sub-Paleta"""
WeaponSlotHint#0,"""Ranura del Arma (Ranura $(0) en la Paleta de Acción)"""
MainSlotHint#0,"""Puedes asignar PAs (Photon Arts)<br>y Técnicas a estas ranuras."""
SubSlotHint#0,"""Establece Técnicas, Habilidades de Clase<br>y consumibles en esta ranura."""
IndicateTextMain#0,"""<yellow>Armas<c>, <c 00ffff>PAs<c> and <green>Técnicas<c> se pueden ajustar a la Paleta de Armas  <c ff007f>desde la tabla<c>."""
IndicateTextSub#0,"""<yellow>Consumables<c>, <c 00ffff>Class Skills<c> and <green>Techniques<c> se pueden ajustar a la Subpaleta <c ff007f>desde la tabla<c>."""
IndicateTextEquip#0,"""<yellow>Units<c>, <c 00ffff>Costume (Parts)<c>, and <green>Rings<c>, se pueden ajustar a la Paleta de armadura <c ff007f>desde la tabla<c>."""
IndicateTextAvatar#0,"""Te permite cambiar la apariencia de tu arma configurando <yellow>*Camuflaje del arma<c>."""
IndicateTextWeaponPos#0,"""Posición del arma permite cambiar la posición de cada arma en las paletas."""
TabHintPA#0,"""Photon Arts"""
TabHintTechnic#0,"""Techniques"""
TabHintOverload#0,"""Compound Techs"""
TabHintSkill#0,"""Class Skills"""
TabHintPet#0,"""Mascotas"""
TabHintPetPA#0,"""Pet PAs"""
TabHintAdvancePA#0,"""PA Sucesoras"""
TabHintGaugePA#0,"""Complex PAs"""
GaugePAPoint#0,"""Maximum Stocks"""
EquipMenuTitle#0,"""Menú de equipamiento"""
IconPacTitle#0,"""Lista"""
IconPacRemove#0,"""Remover"""
SubPaletteTab1#0,"""1. Book 01"""
SubPaletteTab2#0,"""2. Book 02"""
SubPaletteTab3#0,"""3. Book 03"""
SubPaletteTab4#0,"""4. Book 04"""
SubPaletteTab5#0,"""5. Book 05"""
SubPaletteTab6#0,"""6. Book 06"""
ActionLearn#0,"""Se puede aprender"""
ActionLearnVita#0,"""Se puede aprender"""
ActionParamNane#0,"""-"""
NoWeapon#0,"""Sin armas"""
PaletteServerMessage#0,"""Se a desequipado todos los objetos que no es posible equipar."""
PaletteServerMessageReleaseAction#0,"""Se han eliminado las Acciones de Armas que ya no cumplen las condiciones."""
SubPaletteTabChangeTag#0,"""<%TabForward>"""
SubPaletteTabChange#0,"""Siguiente"""
Weapon#0,"""Armas"""
Attack_Arts#0,"""Attack/PA/Technique"""
EnsureLearning#0,"""Confirmar el aprendizaje"""
agendum#0,"""Objeto"""
Before#0,"""Anterior"""
After#0,"""Siguiente"""
Body#0,"""Cuerpo"""
Back#0,"""Rear"""
Arm#0,"""Arm"""
Leg#0,"""Leg"""
Costume#1,"""Trajes"""
SubWindowChange1#0,"""<pict Sign_TRIANGLE>Switch"""
SubWindowChange2#0,"""<pict Sign_TRIANGLE>Switch"""
SubWindowChange3#0,"""<pict Sign_TRIANGLE>Switch"""
StrongEquipText#0,"""Esto cambiará al tipo de arma más fuerte<br>equipada actualmente del<br>inventario. ¿Está bien?"""
StrongEquipTitle#0,"""Equipo automático"""
StrongEquipWeaponRevised#0,"""Arma tras el cambio"""
StrongEquipPalleteRevised#0,"""Unidad tras el cambio"""
EquipChangedMessage#0,"""Equipamiento cambiado."""
EquipItemNoneMessage#0,"""No hay objetos equipables."""
DfpStrike#1,"""Dar prioridad a la defensa Striking Defense"""
DfpFirearm#1,"""Dar prioridad a la defensa Ranged"""
DfpTechnic#1,"""Dar prioridad a la defensa Technique"""
ChipUse#0,"""Confirmar los datos del efecto"""
ChipEffectScope#0,"""Condiciones de efecto"""
ChipEffect01#0,"""Efecto principal"""
ChipEffect02#0,"""Efecto secundario"""
ChipEffect03#0,"""Efecto extra"""
ChipDays#0,"""Duración del efecto"""
TaktMainSlotHint#0,"""Puedes tener una mascota en está ranura."""
CostumeTitle#0,"""Trajes"""
OuterwearTitle#0,"""Ropa exterior"""
BodyTitle#0,"""Partes"""
SideChange#0,"""Interruptor"""
SideChangeHint#0,"""Cambia entre la paleta delantera y la trasera."""
WeaponActionError#0,"""Esta arma no tiene una acción de arma compatible disponible."""
GaugePAError#0,"""Las clases sucesoras no pueden utilizar Complex PAs."""
NoGaugePAError#0,"""No se pueden utilizar Complex PAs con esta arma."""
Title#6,"""Info. del personaje"""
OtherTitle#0,"""Info. del personaje $(0)"""
Param#0,"""Informacion Personal"""
Equipment#0,"""Info. de equipo"""
SetEffect#0,"""Info. del Set"""
Class#0,"""Informacion de Clase"""
Pa#0,"""Informacion de Artes photon"""
GaugePA#0,"""Complex PA Info"""
AdvancePA#0,"""Info. de PA Sucesoras"""
Technic#1,"""Informacion de técnicas"""
Overload#0,"""Info. de técnicas compuestas"""
ClassSkill#0,"""Info. de skill class"""
CraftInfo#0,"""Info. de craft"""
EventItem#0,"""Objetos de eventos"""
FashionInfo#0,"""Info. de moda"""
InquiryMessage#0,"""Solicitando información"""
NoDataMessage#0,"""No hay información a mostrar"""
Close#1,"""Regresar"""
TitleName#0,"""Titulo"""
NoTitle#0,"""No tiene"""
Name#0,"""Nombre del personaje"""
Guild#0,"""Nombre del Team"""
NoGuild#0,"""Sin Team"""
HunterExplanation#0,"""Una clase cuyo valor radica en el combate cuerpo a cuerpo. De vitalidad y defensa elevada, destaca en combate solitario."""
RangerExplanation#0,"""Una clase que se centra en el combate a distancia media, atacando con armas de fuego. Son capaces de atacar a distancia con mucha precisión."""
ForceExplanation#0,"""Una clase orientada a la lucha a distancia utilizando técnicas photonicas muy poderosas."""
FighterExplanation#0,"""Los Fighters destacan en el combate con armas<br>ligeras y de corto alcance.<br>Su verdadero valor sale a relucir<br>en condiciones especiales."""
GunnerExplanation#0,"""Especializado en el combate cuerpo a cuerpo con armas a distancia. <br>Esta clase hace un trabajo corto con los oponentes a través de una mezcla de<br>ataques de proyectiles de disparo rápido y alta movilidad."""
TecherExplanation#0,"""Es experto en el uso de técnicas basadas en fotones, especialmente <br>en un papel de apoyo al combate, y es especialmente capaz cuando <br>se trata de mejorar y recuperar."""
BraverExplanation#0,"""<yellow>Una clase adecuada para el combate a cualquier distancia.<c><br>Puede cambiar sin problemas entre armas de corto y largo alcance.<br>Cada ataque es sencillo pero esconde una complejidad más profunda."""
BouncerExplanation#0,"""<yellow>Una clase orientada al combate cuerpo a cuerpo y a media distancia.<c><br>Altamente móvil, y hábil en el combate aéreo. Sus bajadas físicas y<br>elementales te darán ventaja en la batalla."""
NoPaMessage#0,"""No dispones de Photon Arts"""
NoTechnicMessage#1,"""No dispones de Técnicas"""
NoOverloadMessage#1,"""No dispones de Técnicas compuestas"""
NoClassSkillMessage#0,"""Sin habilidades de clase"""
OnMousePaAll#0,"""Todos los Photon Arts"""
OnMousePaSword#0,"""Sword Photon Arts"""
OnMousePaLance#0,"""Wired Lance Photon Arts"""
OnMousePaPartisan#0,"""Partizan Photon Arts"""
OnMousePaTdagger#0,"""Twin Dagger Photon Arts"""
OnMousePaWsaber#0,"""Double Saber Photon Arts"""
OnMousePaKnuckle#0,"""Knuckle Photon Arts"""
OnMousePaSaber#0,"""Gunslash Photon Arts"""
OnMousePaRifle#0,"""Assault Rifle Photon Arts"""
OnMousePaLauncher#0,"""Launcher Photon Arts"""
OnMousePaTmachinegun#0,"""Twin Machinegun Photon Arts"""
OnMousePaRod#0,"""Rod Photon Arts"""
OnMousePaTalis#0,"""Talis Photon Arts"""
OnMousePaWand#0,"""Wand Photon Arts"""
