MenuTitle#0,"""Exchange Shop"""
item_DamagePPRecover_5#0,"""Spirit Reversal Lv.5"""
item_KlothoMesetaUp_1#0,"""Golden Rule Lv.1"""
item_KlothoMesetaUp_2#0,"""Golden Rule Lv.2"""
item_KlothoMesetaUp_3#0,"""Golden Rule Lv.3"""
item_KlothoMesetaUp_4#0,"""Golden Rule Lv.4"""
item_KlothoMesetaUp_5#0,"""Golden Rule Lv.5"""
item_IoExperienceUp_1#0,"""Pure Hard Work Lv.1"""
item_IoExperienceUp_2#0,"""Pure Hard Work Lv.2"""
item_IoExperienceUp_3#0,"""Pure Hard Work Lv.3"""
item_IoExperienceUp_4#0,"""Pure Hard Work Lv.4"""
item_IoExperienceUp_5#0,"""Pure Hard Work Lv.5"""
item_NoAssign#0,"""未設定潜在能力"""
item_FuryStanceUpHuey_1#0,"""Zealous Heart Lv.1"""
item_FuryStanceUpHuey_2#0,"""Zealous Heart Lv.2"""
item_FuryStanceUpHuey_3#0,"""Zealous Heart Lv.3"""
item_FuryStanceUpHuey_4#0,"""Zealous Heart Lv.4"""
item_FuryStanceUpHuey_5#0,"""Zealous Heart Lv.5"""
item_BraveStanceUp3_1#0,"""Valorous Stance Lv.1"""
item_BraveStanceUp3_2#0,"""Valorous Stance Lv.2"""
item_BraveStanceUp3_3#0,"""Valorous Stance Lv.3"""
item_BraveStanceUp3_4#0,"""Valorous Stance Lv.4"""
item_BraveStanceUp3_5#0,"""Valorous Stance Lv.5"""
item_DeadlineSlayer2_1#0,"""Demonic Flash Lv.1"""
item_DeadlineSlayer2_2#0,"""Demonic Flash Lv.2"""
item_DeadlineSlayer2_3#0,"""Demonic Flash Lv.3"""
item_DeadlineSlayer2_4#0,"""Demonic Flash Lv.4"""
item_DeadlineSlayer2_5#0,"""Demonic Flash Lv.5"""
item_WeakSnipeBonus2_1#0,"""Piercing Eye Lv.1"""
item_WeakSnipeBonus2_2#0,"""Piercing Eye Lv.2"""
item_WeakSnipeBonus2_3#0,"""Piercing Eye Lv.3"""
item_WeakSnipeBonus2_4#0,"""Piercing Eye Lv.4"""
item_WeakSnipeBonus2_5#0,"""Piercing Eye Lv.5"""
item_WeakSnipeBonus3_1#0,"""Exact Median Lv.1"""
item_WeakSnipeBonus3_2#0,"""Exact Median Lv.2"""
item_WeakSnipeBonus3_3#0,"""Exact Median Lv.3"""
item_WeakSnipeBonus3_4#0,"""Exact Median Lv.4"""
item_WeakSnipeBonus3_5#0,"""Exact Median Lv.5"""
item_TechChargeBonus2_1#0,"""Form's Pledge Lv.1"""
item_TechChargeBonus2_2#0,"""Form's Pledge Lv.2"""
item_TechChargeBonus2_3#0,"""Form's Pledge Lv.3"""
item_TechChargeBonus2_4#0,"""Form's Pledge Lv.4"""
item_TechChargeBonus2_5#0,"""Form's Pledge Lv.5"""
item_MasteryFire2_1#0,"""Flame Crystal Lv.1"""
item_MasteryFire2_2#0,"""Flame Crystal Lv.2"""
item_MasteryFire2_3#0,"""Flame Crystal Lv.3"""
item_MasteryFire2_4#0,"""Flame Crystal Lv.4"""
item_MasteryFire2_5#0,"""Flame Crystal Lv.5"""
item_IceTechnicShortCharge_1#0,"""Frozen Seal Lv.1"""
item_IceTechnicShortCharge_2#0,"""Frozen Seal Lv.2"""
item_IceTechnicShortCharge_3#0,"""Frozen Seal Lv.3"""
item_IceTechnicShortCharge_4#0,"""Frozen Seal Lv.4"""
item_IceTechnicShortCharge_5#0,"""Frozen Seal Lv.5"""
item_ThunderTechnicShortCharge_1#0,"""Thunder Seal Lv.1"""
item_ThunderTechnicShortCharge_2#0,"""Thunder Seal Lv.2"""
item_ThunderTechnicShortCharge_3#0,"""Thunder Seal Lv.3"""
item_ThunderTechnicShortCharge_4#0,"""Thunder Seal Lv.4"""
item_ThunderTechnicShortCharge_5#0,"""Thunder Seal Lv.5"""
item_WindTechnicShortCharge_1#0,"""Wind's Whisper Lv.1"""
item_WindTechnicShortCharge_2#0,"""Wind's Whisper Lv.2"""
item_WindTechnicShortCharge_3#0,"""Wind's Whisper Lv.3"""
item_WindTechnicShortCharge_4#0,"""Wind's Whisper Lv.4"""
item_WindTechnicShortCharge_5#0,"""Wind's Whisper Lv.5"""
item_LightTechnicShortCharge_1#0,"""Moonlit Prayer Lv.1"""
item_LightTechnicShortCharge_2#0,"""Moonlit Prayer Lv.2"""
item_LightTechnicShortCharge_3#0,"""Moonlit Prayer Lv.3"""
item_LightTechnicShortCharge_4#0,"""Moonlit Prayer Lv.4"""
item_LightTechnicShortCharge_5#0,"""Moonlit Prayer Lv.5"""
item_DarkTechnicShortCharge_1#0,"""Diabolic Game Lv.1"""
item_DarkTechnicShortCharge_2#0,"""Diabolic Game Lv.2"""
item_DarkTechnicShortCharge_3#0,"""Diabolic Game Lv.3"""
item_DarkTechnicShortCharge_4#0,"""Diabolic Game Lv.4"""
item_DarkTechnicShortCharge_5#0,"""Diabolic Game Lv.5"""
item_MasteryIce2_1#0,"""Arctic Crystal Lv.1"""
item_MasteryIce2_2#0,"""Arctic Crystal Lv.2"""
item_MasteryIce2_3#0,"""Arctic Crystal Lv.3"""
item_MasteryIce2_4#0,"""Arctic Crystal Lv.4"""
item_MasteryIce2_5#0,"""Arctic Crystal Lv.5"""
item_MasteryIce3_1#0,"""Glacial Crystal Lv.1"""
item_MasteryIce3_2#0,"""Glacial Crystal Lv.2"""
item_MasteryIce3_3#0,"""Glacial Crystal Lv.3"""
item_MasteryIce3_4#0,"""Glacial Crystal Lv.4"""
item_MasteryIce3_5#0,"""Glacial Crystal Lv.5"""
item_MasteryLightning2_1#0,"""Lightning Crystal Lv.1"""
item_MasteryLightning2_2#0,"""Lightning Crystal Lv.2"""
item_MasteryLightning2_3#0,"""Lightning Crystal Lv.3"""
item_MasteryLightning2_4#0,"""Lightning Crystal Lv.4"""
item_MasteryLightning2_5#0,"""Lightning Crystal Lv.5"""
item_ElementalWeakPoint3_1#0,"""New-Type's Oath Lv.1"""
item_ElementalWeakPoint3_2#0,"""New-Type's Oath Lv.2"""
item_ElementalWeakPoint3_3#0,"""New-Type's Oath Lv.3"""
item_ElementalWeakPoint3_4#0,"""New-Type's Oath Lv.4"""
item_ElementalWeakPoint3_5#0,"""New-Type's Oath Lv.5"""
item_MasteryLight2_1#0,"""Moonlit Emperor Lv.1"""
item_MasteryLight2_2#0,"""Moonlit Emperor Lv.2"""
item_MasteryLight2_3#0,"""Moonlit Emperor Lv.3"""
item_MasteryLight2_4#0,"""Moonlit Emperor Lv.4"""
item_MasteryLight2_5#0,"""Moonlit Emperor Lv.5"""
item_MasteryDark2_1#0,"""Diabolic Laughter Lv.1"""
item_MasteryDark2_2#0,"""Diabolic Laughter Lv.2"""
item_MasteryDark2_3#0,"""Diabolic Laughter Lv.3"""
item_MasteryDark2_4#0,"""Diabolic Laughter Lv.4"""
item_MasteryDark2_5#0,"""Diabolic Laughter Lv.5"""
item_MasteryWind2_1#0,"""Boreas' Tyranny Lv.1"""
item_MasteryWind2_2#0,"""Boreas' Tyranny Lv.2"""
item_MasteryWind2_3#0,"""Boreas' Tyranny Lv.3"""
item_MasteryWind2_4#0,"""Boreas' Tyranny Lv.4"""
item_MasteryWind2_5#0,"""Boreas' Tyranny Lv.5"""
item_MasteryWind3_1#0,"""Hurricane Crystal Lv.1"""
item_MasteryWind3_2#0,"""Hurricane Crystal Lv.2"""
item_MasteryWind3_3#0,"""Hurricane Crystal Lv.3"""
item_MasteryWind3_4#0,"""Hurricane Crystal Lv.4"""
item_MasteryWind3_5#0,"""Hurricane Crystal Lv.5"""
item_BreakStanceUp_1#0,"""Rending Stance Lv.1"""
item_BreakStanceUp_2#0,"""Rending Stance Lv.2"""
item_BreakStanceUp_3#0,"""Rending Stance Lv.3"""
item_BreakStanceUp_4#0,"""Rending Stance Lv.4"""
item_BreakStanceUp_5#0,"""Rending Stance Lv.5"""
item_BreakStanceUp2_1#0,"""Warbreaker Stance Lv.1"""
item_BreakStanceUp2_2#0,"""Warbreaker Stance Lv.2"""
item_BreakStanceUp2_3#0,"""Warbreaker Stance Lv.3"""
item_BreakStanceUp2_4#0,"""Warbreaker Stance Lv.4"""
item_BreakStanceUp2_5#0,"""Warbreaker Stance Lv.5"""
item_ElementalStanceUp_1#0,"""Warsage Stance Lv.1"""
item_ElementalStanceUp_2#0,"""Warsage Stance Lv.2"""
item_ElementalStanceUp_3#0,"""Warsage Stance Lv.3"""
item_ElementalStanceUp_4#0,"""Warsage Stance Lv.4"""
item_ElementalStanceUp_5#0,"""Warsage Stance Lv.5"""
item_ElementalStanceUp2_1#0,"""Brave Sage Stance Lv.1"""
item_ElementalStanceUp2_2#0,"""Brave Sage Stance Lv.2"""
item_ElementalStanceUp2_3#0,"""Brave Sage Stance Lv.3"""
item_ElementalStanceUp2_4#0,"""Brave Sage Stance Lv.4"""
item_ElementalStanceUp2_5#0,"""Brave Sage Stance Lv.5"""
item_ElementalStanceUp3_1#0,""" Lv.1"""
item_ElementalStanceUp3_2#0,""" Lv.2"""
item_ElementalStanceUp3_3#0,""" Lv.3"""
item_ElementalStanceUp3_4#0,""" Lv.4"""
item_ElementalStanceUp3_5#0,""" Lv.5"""
item_PhotonblastEnhancement_1#0,"""Phantasmal Resonance Lv.1"""
item_PhotonblastEnhancement_2#0,"""Phantasmal Resonance Lv.2"""
item_PhotonblastEnhancement_3#0,"""Phantasmal Resonance Lv.3"""
item_PhotonblastEnhancement_4#0,"""Phantasmal Resonance Lv.4"""
item_PhotonblastEnhancement_5#0,"""Phantasmal Resonance Lv.5"""
item_ReducingDamageToHp3_1#0,"""Fatal Slash Lv.1"""
item_ReducingDamageToHp3_2#0,"""Fatal Slash Lv.2"""
item_ReducingDamageToHp3_3#0,"""Fatal Slash Lv.3"""
item_ReducingDamageToHp3_4#0,"""Fatal Slash Lv.4"""
item_ReducingDamageToHp3_5#0,"""Fatal Slash Lv.5"""
item_DamageBonusTitanBlack_1#0,"""Kuronite Devourer Lv.1"""
item_DamageBonusTitanBlack_2#0,"""Kuronite Devourer Lv.2"""
item_DamageBonusTitanBlack_3#0,"""Kuronite Devourer Lv.3"""
item_DamageBonusTitanBlack_4#0,"""Kuronite Devourer Lv.4"""
item_DamageBonusTitanBlack_5#0,"""Kuronite Devourer Lv.5"""
item_DamageCutTitanBlack_1#0,"""Kuronite Seal Lv.1"""
item_DamageCutTitanBlack_2#0,"""Kuronite Seal Lv.2"""
item_DamageCutTitanBlack_3#0,"""Kuronite Seal Lv.3"""
item_DamageCutTitanBlack_4#0,"""Kuronite Seal Lv.4"""
item_DamageCutTitanBlack_5#0,"""Kuronite Seal Lv.5"""
item_PADamageUpSwordPA9_1#0,"""Sinbreak Blade Lv.1"""
item_PADamageUpSwordPA9_2#0,"""Sinbreak Blade Lv.2"""
item_PADamageUpSwordPA9_3#0,"""Sinbreak Blade Lv.3"""
item_PADamageUpSwordPA9_4#0,"""Sinbreak Blade Lv.4"""
item_PADamageUpSwordPA9_5#0,"""Sinbreak Blade Lv.5"""
item_PADamageUpSwordPA11_1#0,"""Blazing Blade Lv.1"""
item_PADamageUpSwordPA11_2#0,"""Blazing Blade Lv.2"""
item_PADamageUpSwordPA11_3#0,"""Blazing Blade Lv.3"""
item_PADamageUpSwordPA11_4#0,"""Blazing Blade Lv.4"""
item_PADamageUpSwordPA11_5#0,"""Blazing Blade Lv.5"""
item_PADamageUpWlancePA9_1#0,"""Furious Grasp Lv.1"""
item_PADamageUpWlancePA9_2#0,"""Furious Grasp Lv.2"""
item_PADamageUpWlancePA9_3#0,"""Furious Grasp Lv.3"""
item_PADamageUpWlancePA9_4#0,"""Furious Grasp Lv.4"""
item_PADamageUpWlancePA9_5#0,"""Furious Grasp Lv.5"""
item_PADamageUpWlancePA10_1#0,"""Imperial Grasp Lv.1"""
item_PADamageUpWlancePA10_2#0,"""Imperial Grasp Lv.2"""
item_PADamageUpWlancePA10_3#0,"""Imperial Grasp Lv.3"""
item_PADamageUpWlancePA10_4#0,"""Imperial Grasp Lv.4"""
item_PADamageUpWlancePA10_5#0,"""Imperial Grasp Lv.5"""
item_PADamageUpPartisanPA9_1#0,"""Sacred Spear Lv.1"""
item_PADamageUpPartisanPA9_2#0,"""Sacred Spear Lv.2"""
item_PADamageUpPartisanPA9_3#0,"""Sacred Spear Lv.3"""
item_PADamageUpPartisanPA9_4#0,"""Sacred Spear Lv.4"""
item_PADamageUpPartisanPA9_5#0,"""Sacred Spear Lv.5"""
item_PADamageUpTdaggerPA9_1#0,"""Bloody Flash Lv.1"""
item_PADamageUpTdaggerPA9_2#0,"""Bloody Flash Lv.2"""
item_PADamageUpTdaggerPA9_3#0,"""Bloody Flash Lv.3"""
item_PADamageUpTdaggerPA9_4#0,"""Bloody Flash Lv.4"""
item_PADamageUpTdaggerPA9_5#0,"""Bloody Flash Lv.5"""
item_PADamageUpTdaggerPA10_1#0,"""Lunatic Slasher Lv.1"""
item_PADamageUpTdaggerPA10_2#0,"""Lunatic Slasher Lv.2"""
item_PADamageUpTdaggerPA10_3#0,"""Lunatic Slasher Lv.3"""
item_PADamageUpTdaggerPA10_4#0,"""Lunatic Slasher Lv.4"""
item_PADamageUpTdaggerPA10_5#0,"""Lunatic Slasher Lv.5"""
item_PADamageUpKnucklePA9_1#0,"""Reverse Strike Lv.1"""
item_PADamageUpKnucklePA9_2#0,"""Reverse Strike Lv.2"""
item_PADamageUpKnucklePA9_3#0,"""Reverse Strike Lv.3"""
item_PADamageUpKnucklePA9_4#0,"""Reverse Strike Lv.4"""
item_PADamageUpKnucklePA9_5#0,"""Reverse Strike Lv.5"""
item_PADamageUpRiflePA9_1#0,"""Evasive Shot Lv.1"""
item_PADamageUpRiflePA9_2#0,"""Evasive Shot Lv.2"""
item_PADamageUpRiflePA9_3#0,"""Evasive Shot Lv.3"""
item_PADamageUpRiflePA9_4#0,"""Evasive Shot Lv.4"""
item_PADamageUpRiflePA9_5#0,"""Evasive Shot Lv.5"""
item_PADamageUpRiflePA10_1#0,"""Divine Wrath Lv.1"""
item_PADamageUpRiflePA10_2#0,"""Divine Wrath Lv.2"""
item_PADamageUpRiflePA10_3#0,"""Divine Wrath Lv.3"""
item_PADamageUpRiflePA10_4#0,"""Divine Wrath Lv.4"""
item_PADamageUpRiflePA10_5#0,"""Divine Wrath Lv.5"""
item_PADamageUpLauncherPA9_1#0,"""Hellfire Cannon Lv.1"""
item_PADamageUpLauncherPA9_2#0,"""Hellfire Cannon Lv.2"""
item_PADamageUpLauncherPA9_3#0,"""Hellfire Cannon Lv.3"""
item_PADamageUpLauncherPA9_4#0,"""Hellfire Cannon Lv.4"""
item_PADamageUpLauncherPA9_5#0,"""Hellfire Cannon Lv.5"""
item_PADamageUpLauncherPA10_1#0,"""Regularity Breaker Lv.1"""
item_PADamageUpLauncherPA10_2#0,"""Regularity Breaker Lv.2"""
item_PADamageUpLauncherPA10_3#0,"""Regularity Breaker Lv.3"""
item_PADamageUpLauncherPA10_4#0,"""Regularity Breaker Lv.4"""
item_PADamageUpLauncherPA10_5#0,"""Regularity Breaker Lv.5"""
item_PADamageUpLauncherPA11_1#0,"""Divine Eraser Lv.1"""
item_PADamageUpLauncherPA11_2#0,"""Divine Eraser Lv.2"""
item_PADamageUpLauncherPA11_3#0,"""Divine Eraser Lv.3"""
item_PADamageUpLauncherPA11_4#0,"""Divine Eraser Lv.4"""
item_PADamageUpLauncherPA11_5#0,"""Divine Eraser Lv.5"""
item_PPCutLauncherPA11_1#0,"""Heavenly Eraser Lv.1"""
item_PPCutLauncherPA11_2#0,"""Heavenly Eraser Lv.2"""
item_PPCutLauncherPA11_3#0,"""Heavenly Eraser Lv.3"""
item_PPCutLauncherPA11_4#0,"""Heavenly Eraser Lv.4"""
item_PPCutLauncherPA11_5#0,"""Heavenly Eraser Lv.5"""
item_PADamageUpMachinegunPA9_1#0,"""Fallen Earth Lv.1"""
item_PADamageUpMachinegunPA9_2#0,"""Fallen Earth Lv.2"""
item_PADamageUpMachinegunPA9_3#0,"""Fallen Earth Lv.3"""
item_PADamageUpMachinegunPA9_4#0,"""Fallen Earth Lv.4"""
item_PADamageUpMachinegunPA9_5#0,"""Fallen Earth Lv.5"""
item_PPCutMachinegunPA11_1#0,"""Revolving Step Lv.1"""
item_PPCutMachinegunPA11_2#0,"""Revolving Step Lv.2"""
item_PPCutMachinegunPA11_3#0,"""Revolving Step Lv.3"""
item_PPCutMachinegunPA11_4#0,"""Revolving Step Lv.4"""
item_PPCutMachinegunPA11_5#0,"""Revolving Step Lv.5"""
item_PADamageUpKatanaPA2_1#0,"""未設定潜在能力"""
item_PADamageUpKatanaPA2_2#0,"""未設定潜在能力"""
item_PADamageUpKatanaPA2_3#0,"""未設定潜在能力"""
item_PADamageUpKatanaPA2_4#0,"""未設定潜在能力"""
item_PADamageUpKatanaPA2_5#0,"""未設定潜在能力"""
item_PADamageUpKatanaPA3_1#0,"""Blossoming End Lv.1"""
item_PADamageUpKatanaPA3_2#0,"""Blossoming End Lv.2"""
item_PADamageUpKatanaPA3_3#0,"""Blossoming End Lv.3"""
item_PADamageUpKatanaPA3_4#0,"""Blossoming End Lv.4"""
item_PADamageUpKatanaPA3_5#0,"""Blossoming End Lv.5"""
item_PADamageUpKatanaPA4_1#0,"""Brandish Splendor Lv.1"""
item_PADamageUpKatanaPA4_2#0,"""Brandish Splendor Lv.2"""
item_PADamageUpKatanaPA4_3#0,"""Brandish Splendor Lv.3"""
item_PADamageUpKatanaPA4_4#0,"""Brandish Splendor Lv.4"""
item_PADamageUpKatanaPA4_5#0,"""Brandish Splendor Lv.5"""
item_PADamageUpKatanaPA7_1#0,"""Dragon Wave Lv.1"""
item_PADamageUpKatanaPA7_2#0,"""Dragon Wave Lv.2"""
item_PADamageUpKatanaPA7_3#0,"""Dragon Wave Lv.3"""
item_PADamageUpKatanaPA7_4#0,"""Dragon Wave Lv.4"""
item_PADamageUpKatanaPA7_5#0,"""Dragon Wave Lv.5"""
item_PADamageUpKatanaPA9_1#0,"""Blossoming Moon Lv.1"""
item_PADamageUpKatanaPA9_2#0,"""Blossoming Moon Lv.2"""
item_PADamageUpKatanaPA9_3#0,"""Blossoming Moon Lv.3"""
item_PADamageUpKatanaPA9_4#0,"""Blossoming Moon Lv.4"""
item_PADamageUpKatanaPA9_5#0,"""Blossoming Moon Lv.5"""
item_PADamageUpCompoundbowPA1_1#0,"""Clever Arrow Lv.1"""
item_PADamageUpCompoundbowPA1_2#0,"""Clever Arrow Lv.2"""
item_PADamageUpCompoundbowPA1_3#0,"""Clever Arrow Lv.3"""
item_PADamageUpCompoundbowPA1_4#0,"""Clever Arrow Lv.4"""
item_PADamageUpCompoundbowPA1_5#0,"""Clever Arrow Lv.5"""
item_PADamageUpCompoundbowPA2_1#0,"""Raging Arrow Lv.1"""
item_PADamageUpCompoundbowPA2_2#0,"""Raging Arrow Lv.2"""
item_PADamageUpCompoundbowPA2_3#0,"""Raging Arrow Lv.3"""
item_PADamageUpCompoundbowPA2_4#0,"""Raging Arrow Lv.4"""
item_PADamageUpCompoundbowPA2_5#0,"""Raging Arrow Lv.5"""
item_PADamageUpCompoundbowPA5_1#0,"""Divining Arrow Lv.1"""
item_PADamageUpCompoundbowPA5_2#0,"""Divining Arrow Lv.2"""
item_PADamageUpCompoundbowPA5_3#0,"""Divining Arrow Lv.3"""
item_PADamageUpCompoundbowPA5_4#0,"""Divining Arrow Lv.4"""
item_PADamageUpCompoundbowPA5_5#0,"""Divining Arrow Lv.5"""
item_PADamageUpCompoundbowPA7_1#0,"""Final Arrow Lv.1"""
item_PADamageUpCompoundbowPA7_2#0,"""Final Arrow Lv.2"""
item_PADamageUpCompoundbowPA7_3#0,"""Final Arrow Lv.3"""
item_PADamageUpCompoundbowPA7_4#0,"""Final Arrow Lv.4"""
item_PADamageUpCompoundbowPA7_5#0,"""Final Arrow Lv.5"""
item_PADamageUpCompoundbowPA8_1#0,"""Kickdance Arrow Lv.1"""
item_PADamageUpCompoundbowPA8_2#0,"""Kickdance Arrow Lv.2"""
item_PADamageUpCompoundbowPA8_3#0,"""Kickdance Arrow Lv.3"""
item_PADamageUpCompoundbowPA8_4#0,"""Kickdance Arrow Lv.4"""
item_PADamageUpCompoundbowPA8_5#0,"""Kickdance Arrow Lv.5"""
item_PPCutCompoundbowPA11_1#0,"""Stalking Arrow Lv.1"""
item_PPCutCompoundbowPA11_2#0,"""Stalking Arrow Lv.2"""
item_PPCutCompoundbowPA11_3#0,"""Stalking Arrow Lv.3"""
item_PPCutCompoundbowPA11_4#0,"""Stalking Arrow Lv.4"""
item_PPCutCompoundbowPA11_5#0,"""Stalking Arrow Lv.5"""
item_PADamageUpJetbootsPA1_1#0,"""Whirling Collision Lv.1"""
item_PADamageUpJetbootsPA1_2#0,"""Whirling Collision Lv.2"""
item_PADamageUpJetbootsPA1_3#0,"""Whirling Collision Lv.3"""
item_PADamageUpJetbootsPA1_4#0,"""Whirling Collision Lv.4"""
item_PADamageUpJetbootsPA1_5#0,"""Whirling Collision Lv.5"""
item_PADamageUpJetbootsPA2_1#0,"""Instant Revolution Lv.1"""
item_PADamageUpJetbootsPA2_2#0,"""Instant Revolution Lv.2"""
item_PADamageUpJetbootsPA2_3#0,"""Instant Revolution Lv.3"""
item_PADamageUpJetbootsPA2_4#0,"""Instant Revolution Lv.4"""
item_PADamageUpJetbootsPA2_5#0,"""Instant Revolution Lv.5"""
item_PADamageUpJetbootsPA3_1#0,"""Thunderous Outburst Lv.1"""
item_PADamageUpJetbootsPA3_2#0,"""Thunderous Outburst Lv.2"""
item_PADamageUpJetbootsPA3_3#0,"""Thunderous Outburst Lv.3"""
item_PADamageUpJetbootsPA3_4#0,"""Thunderous Outburst Lv.4"""
item_PADamageUpJetbootsPA3_5#0,"""Thunderous Outburst Lv.5"""
item_PADamageUpDbladePA1_1#0,"""Destruction Rook Lv.1"""
item_PADamageUpDbladePA1_2#0,"""Destruction Rook Lv.2"""
item_PADamageUpDbladePA1_3#0,"""Destruction Rook Lv.3"""
item_PADamageUpDbladePA1_4#0,"""Destruction Rook Lv.4"""
item_PADamageUpDbladePA1_5#0,"""Destruction Rook Lv.5"""
item_PADamageUpDbladePA2_1#0,"""Ray Dispersion Lv.1"""
item_PADamageUpDbladePA2_2#0,"""Ray Dispersion Lv.2"""
item_PADamageUpDbladePA2_3#0,"""Ray Dispersion Lv.3"""
item_PADamageUpDbladePA2_4#0,"""Ray Dispersion Lv.4"""
item_PADamageUpDbladePA2_5#0,"""Ray Dispersion Lv.5"""
item_PADamageUpDbladePA3_1#0,"""Rising Phoenix Lv.1"""
item_PADamageUpDbladePA3_2#0,"""Rising Phoenix Lv.2"""
item_PADamageUpDbladePA3_3#0,"""Rising Phoenix Lv.3"""
item_PADamageUpDbladePA3_4#0,"""Rising Phoenix Lv.4"""
item_PADamageUpDbladePA3_5#0,"""Rising Phoenix Lv.5"""
item_PADamageUpDbladePA4_1#0,"""Divine Justice Lv.1"""
item_PADamageUpDbladePA4_2#0,"""Divine Justice Lv.2"""
item_PADamageUpDbladePA4_3#0,"""Divine Justice Lv.3"""
item_PADamageUpDbladePA4_4#0,"""Divine Justice Lv.4"""
item_PADamageUpDbladePA4_5#0,"""Divine Justice Lv.5"""
item_PADamageUpDbladePA5_1#0,"""Startime Wing Lv.1"""
item_PADamageUpDbladePA5_2#0,"""Startime Wing Lv.2"""
item_PADamageUpDbladePA5_3#0,"""Startime Wing Lv.3"""
item_PADamageUpDbladePA5_4#0,"""Startime Wing Lv.4"""
item_PADamageUpDbladePA5_5#0,"""Startime Wing Lv.5"""
item_PADamageUpDbladePA6_1#0,"""Rampaging Falcon Lv.1"""
item_PADamageUpDbladePA6_2#0,"""Rampaging Falcon Lv.2"""
item_PADamageUpDbladePA6_3#0,"""Rampaging Falcon Lv.3"""
item_PADamageUpDbladePA6_4#0,"""Rampaging Falcon Lv.4"""
item_PADamageUpDbladePA6_5#0,"""Rampaging Falcon Lv.5"""
item_WeatherDamageUpIdeograph_1#0,"""Paradise Blessing Lv.1"""
item_WeatherDamageUpIdeograph_2#0,"""Paradise Blessing Lv.2"""
item_WeatherDamageUpIdeograph_3#0,"""Paradise Blessing Lv.3"""
item_WeatherDamageUpIdeograph_4#0,"""Paradise Blessing Lv.4"""
item_WeatherDamageUpIdeograph_5#0,"""Paradise Blessing Lv.5"""
item_CombatJABonusUP2_1#0,"""Judgment Blade Lv.1"""
item_CombatJABonusUP2_2#0,"""Judgment Blade Lv.2"""
item_CombatJABonusUP2_3#0,"""Judgment Blade Lv.3"""
item_CombatJABonusUP2_4#0,"""Judgment Blade Lv.4"""
item_CombatJABonusUP2_5#0,"""Judgment Blade Lv.5"""
item_ShortTimeBonusUP2_1#0,"""Deathstorm Shots Lv.1"""
item_ShortTimeBonusUP2_2#0,"""Deathstorm Shots Lv.2"""
item_ShortTimeBonusUP2_3#0,"""Deathstorm Shots Lv.3"""
item_ShortTimeBonusUP2_4#0,"""Deathstorm Shots Lv.4"""
item_ShortTimeBonusUP2_5#0,"""Deathstorm Shots Lv.5"""
item_BulletPPSave_1#0,"""Magical Assault Lv.1"""
item_BulletPPSave_2#0,"""Magical Assault Lv.2"""
item_BulletPPSave_3#0,"""Magical Assault Lv.3"""
item_BulletPPSave_4#0,"""Magical Assault Lv.4"""
item_BulletPPSave_5#0,"""Magical Assault Lv.5"""
item_SniperPride_1#0,"""Precision Sniping Lv.1"""
item_SniperPride_2#0,"""Precision Sniping Lv.2"""
item_SniperPride_3#0,"""Precision Sniping Lv.3"""
item_SniperPride_4#0,"""Precision Sniping Lv.4"""
item_SniperPride_5#0,"""Precision Sniping Lv.5"""
item_CriticalStrike_1#0,"""Inevitable Strike Lv.1"""
item_CriticalStrike_2#0,"""Inevitable Strike Lv.2"""
item_CriticalStrike_3#0,"""Inevitable Strike Lv.3"""
item_CriticalStrike_4#0,"""Inevitable Strike Lv.4"""
item_CriticalStrike_5#0,"""Inevitable Strike Lv.5"""
item_CriticalStrike2_1#0,"""未設定潜在能力"""
item_CriticalStrike2_2#0,"""未設定潜在能力"""
item_CriticalStrike2_3#0,"""未設定潜在能力"""
item_CriticalStrike2_4#0,"""未設定潜在能力"""
item_CriticalStrike2_5#0,"""未設定潜在能力"""
item_HealShare_1#0,"""Benevolent Wind Lv.1"""
item_HealShare_2#0,"""Benevolent Wind Lv.2"""
item_HealShare_3#0,"""Benevolent Wind Lv.3"""
item_HealShare_4#0,"""Benevolent Wind Lv.4"""
item_HealShare_5#0,"""Benevolent Wind Lv.5"""
item_GuardStanceUpNew2_1#0,"""Armor Mastery Lv.1"""
item_GuardStanceUpNew2_2#0,"""Armor Mastery Lv.2"""
item_GuardStanceUpNew2_3#0,"""Armor Mastery Lv.3"""
item_GuardStanceUpNew2_4#0,"""Armor Mastery Lv.4"""
item_GuardStanceUpNew2_5#0,"""Armor Mastery Lv.5"""
item_GuardStanceUpNew3_1#0,"""Full Armor Mastery Lv.1"""
item_GuardStanceUpNew3_2#0,"""Full Armor Mastery Lv.2"""
item_GuardStanceUpNew3_3#0,"""Full Armor Mastery Lv.3"""
item_GuardStanceUpNew3_4#0,"""Full Armor Mastery Lv.4"""
item_GuardStanceUpNew3_5#0,"""Full Armor Mastery Lv.5"""
item_AutoRegenerateKatori_1#0,"""Spring Breeze Lv.1"""
item_AutoRegenerateKatori_2#0,"""Spring Breeze Lv.2"""
item_AutoRegenerateKatori_3#0,"""Spring Breeze Lv.3"""
item_AutoRegenerateKatori_4#0,"""Spring Breeze Lv.4"""
item_AutoRegenerateKatori_5#0,"""Spring Breeze Lv.5"""
item_AutoRegenerateMoa_1#0,"""Swordsman's Spirit Lv.1"""
item_AutoRegenerateMoa_2#0,"""Swordsman's Spirit Lv.2"""
