Gat_TitleStatus#0,"""Recoleccion Status"""
Explain_C0083#0,"""<yellow>採掘場跡で10回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：すべて"""
Explain_C0084#0,"""<yellow>採掘場跡で20回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：すべて"""
Explain_C0085#0,"""<yellow>採掘場跡で30回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：すべて"""
Explain_C0086#0,"""<yellow>「採掘場跡ジャガイモ」を3回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：野菜<br><c 73d892>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0087#0,"""<yellow>「採掘場跡ジャガイモ」を15回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：野菜<br><c 73d892>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0088#0,"""<yellow>「採掘場跡コショウ」を3回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：野菜<br><c 73d892>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0089#0,"""<yellow>「採掘場跡コショウ」を15回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：野菜<br><c 73d892>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0090#0,"""<yellow>「リリーパチョッキ」を3回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：その他<br><c d468a0>\u3000※採取、レア採取で入手可能<c>"""
Explain_C0091#0,"""<yellow>「採掘場跡ラピスラズリ」を3回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：宝石<br><c 73d892>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0092#0,"""<yellow>Tratar de cosechar 10 veces en Facility !<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Sin especificar"""
Explain_C0093#0,"""<yellow>Tratar de cosechar 20 veces en Facility !<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Sin especificar"""
Explain_C0094#0,"""<yellow>Tratar de cosechar 30 veces en Facility !<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Sin especificar"""
Explain_C0095#0,"""<yellow>Cosecha 3 Facility Mint!<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0096#0,"""<yellow>Cosecha 15 Facility Mint!<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0097#0,"""<yellow>Cosecha 3 Facility カブ!<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0098#0,"""<yellow>Cosecha 15 Facility カブ!<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0099#0,"""<yellow>Cosecha 3 Vopar Shells!<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Otros<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0100#0,"""<yellow>Cosecha 3  Tourmaline en Facility!<c><br>\u3000※Area: Instalaciones<br>\u3000※Categoria: Joyas<br><c 73d882>\u3000※Mayor exito al obtener joyas,<br>mientras Cantera ウナギのうな重.<c>"""
Explain_C0101#0,"""<yellow>Tratar de cosechar 10 veces en Las Vegas!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Sin especificar"""
Explain_C0102#0,"""<yellow>Tratar de cosechar 20 veces en Las Vegas!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Sin especificar"""
Explain_C0103#0,"""<yellow>Tratar de cosechar 30 veces en Las Vegas!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Sin especificar"""
Explain_C0104#0,"""<yellow>Cosecha 3 Lettuce en Las Vegas!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0105#0,"""<yellow>Cosecha 15 Lettuce en Las Vegas!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0106#0,"""<yellow>Cosecha 3 Corn en Las Vegas!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0107#0,"""<yellow>Cosecha 15 Corn en Las Vegas!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0108#0,"""<yellow>Cosecha 3 アキビン!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Otros<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0109#0,"""<yellow>Cosecha 3 Las Vegas Diamonds!<c><br>\u3000※Area: Las Vegas<br>\u3000※Categoria: Joyas<br><c 73d882>\u3000※Mayor exito al obtener joyas,<br>mientras Cantera ウナギのうな重.<c>"""
Explain_C0110#0,"""<yellow>火山洞窟で10回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：すべて"""
Explain_C0111#0,"""<yellow>火山洞窟で20回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：すべて"""
Explain_C0112#0,"""<yellow>火山洞窟で30回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：すべて"""
Explain_C0113#0,"""<yellow>「火山洞窟カボチャ」を3回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0114#0,"""<yellow>「火山洞窟カボチャ」を15回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0115#0,"""<yellow>「火山洞窟パイン」を3回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0116#0,"""<yellow>「火山洞窟パイン」を15回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0117#0,"""<yellow>「アムドゥスキア龍鱗」を3回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：その他<br><c d468a0>\u3000※採取、レア採取で入手可能<c>"""
Explain_C0118#0,"""<yellow>「火山洞窟ガーネット」を3回、採取しよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0119#0,"""<yellow>凍土で10回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：すべて"""
Explain_C0120#0,"""<yellow>凍土で20回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：すべて"""
Explain_C0121#0,"""<yellow>凍土で30回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：すべて"""
Explain_C0122#0,"""<yellow>「凍土ネギ」を3回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0123#0,"""<yellow>「凍土ネギ」を15回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0124#0,"""<yellow>「凍土青リンゴ」を3回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0125#0,"""<yellow>「凍土青リンゴ」を15回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0126#0,"""<yellow>「ナベルダケ」を3回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0127#0,"""<yellow>「凍土琥珀」を3回、採取しよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0128#0,"""<yellow>地下坑道で10回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：すべて"""
Explain_C0129#0,"""<yellow>地下坑道で20回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：すべて"""
Explain_C0130#0,"""<yellow>地下坑道で30回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：すべて"""
Explain_C0131#0,"""<yellow>「地下坑道キノコ」を3回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0132#0,"""<yellow>「地下坑道キノコ」を15回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0133#0,"""<yellow>「地下坑道ショウガ」を3回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0134#0,"""<yellow>「地下坑道ショウガ」を15回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0135#0,"""<yellow>「リリーパチョッキ」を3回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0136#0,"""<yellow>「地下坑道ペリドット」を3回、採取しよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0137#0,"""<yellow>白ノ領域で10回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_C0138#0,"""<yellow>白ノ領域で20回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_C0139#0,"""<yellow>白ノ領域で30回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_C0140#0,"""<yellow>「白ノ領域イトモヤシ」を3回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0141#0,"""<yellow>「白ノ領域イトモヤシ」を15回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0142#0,"""<yellow>「白ノ領域ナス」を3回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0143#0,"""<yellow>「白ノ領域ナス」を15回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0144#0,"""<yellow>「ハルコタンの破片」を3回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0145#0,"""<yellow>「白ノ領域ムーンストーン」を3回、採取しよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0146#0,"""<yellow>浮遊大陸で10回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：すべて"""
Explain_C0147#0,"""<yellow>浮遊大陸で20回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：すべて"""
Explain_C0148#0,"""<yellow>浮遊大陸で30回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：すべて"""
Explain_C0149#0,"""<yellow>「浮遊大陸インゲン」を3回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0150#0,"""<yellow>「浮遊大陸インゲン」を15回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0151#0,"""<yellow>「浮遊大陸クリ」を3回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海底タコのフリッター」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0152#0,"""<yellow>「浮遊大陸クリ」を15回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海底タコのフリッター」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0153#0,"""<yellow>「アムドゥスキア龍鱗」を3回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0154#0,"""<yellow>「浮遊大陸フローライト」を3回、採取しよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0155#0,"""<yellow>海底で10回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：すべて"""
Explain_C0156#0,"""<yellow>海底で20回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：すべて"""
Explain_C0157#0,"""<yellow>海底で30回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：すべて"""
Explain_C0158#0,"""<yellow>「海底エシャロット」を3回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0159#0,"""<yellow>「海底エシャロット」を15回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0160#0,"""<yellow>「海底レモン」を3回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海底タコのフリッター」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0161#0,"""<yellow>「海底レモン」を15回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：果実<br><c 73d882>\u3000※果実は料理「海底タコのフリッター」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0162#0,"""<yellow>「ウォパルシェル」を3回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0163#0,"""<yellow>「海底タンザナイト」を3回、採取しよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0164#0,"""<yellow>龍祭壇で10回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：すべて"""
Explain_C0165#0,"""<yellow>龍祭壇で20回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：すべて"""
Explain_C0166#0,"""<yellow>龍祭壇で30回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：すべて"""
Explain_C0167#0,"""<yellow>「龍祭壇ダイコン」を3回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0168#0,"""<yellow>「龍祭壇ダイコン」を15回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0169#0,"""<yellow>「龍祭壇ホウレンソウ」を3回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0170#0,"""<yellow>「龍祭壇ホウレンソウ」を15回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0171#0,"""<yellow>「アムドゥスキア龍鱗」を3回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0172#0,"""<yellow>「龍祭壇ジルコン」を3回、採取しよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0173#0,"""<yellow>黒ノ領域で10回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_C0174#0,"""<yellow>黒ノ領域で20回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_C0175#0,"""<yellow>黒ノ領域で30回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_C0176#0,"""<yellow>「黒ノ領域レンコン」を3回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0177#0,"""<yellow>「黒ノ領域レンコン」を15回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0178#0,"""<yellow>「黒ノ領域ゴボウ」を3回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0179#0,"""<yellow>「黒ノ領域ゴボウ」を15回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：野菜<br><c 73d882>\u3000※野菜は料理「地下坑道シャコのグリエ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0180#0,"""<yellow>「ハルコタンの破片」を3回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「地下坑道マキガイのサラダ」<br>\u3000\u3000で取得率上昇<c>"""
Explain_C0181#0,"""<yellow>「黒ノ領域ヘマタイト」を3回、採取しよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：宝石<br><c 73d882>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
SheetName_C0000#0,"""Coleccion 1"""
SheetName_C0001#0,"""Coleccion 2"""
SheetName_C0002#0,"""Forest Coll. 1"""
SheetName_C0003#0,"""Ruins Coll. 1"""
SheetName_C0004#0,"""Coast Coll. 1"""
SheetName_C0005#0,"""Tokyo Coll. 1"""
SheetName_C0006#0,"""Desert Coll. 1"""
SheetName_C0007#0,"""Quarry Coll. 1"""
SheetName_C0008#0,"""Facility Coll. 1"""
SheetName_C0009#0,"""Las Vegas Coll. 1"""
SheetName_C0010#0,"""V. Cavern Harvesting 1"""
SheetName_C0011#0,"""Tundra Harvesting 1"""
SheetName_C0012#0,"""地下坑道採取1"""
SheetName_C0013#0,"""白ノ領域採取1"""
SheetName_C0014#0,"""浮遊大陸採取1"""
SheetName_C0015#0,"""海底採取1"""
SheetName_C0016#0,"""龍祭壇採取1"""
SheetName_C0017#0,"""黒ノ領域採取1"""
Name_F0000#0,"""Fishing 1"""
Name_F0001#0,"""Fishing 2"""
Name_F0002#0,"""Fishing 3"""
Name_F0003#0,"""Fishing 4"""
Name_F0004#0,"""Fishing 5"""
Name_F0005#0,"""Fishing 6"""
Name_F0006#0,"""Additional Fishing 1"""
Name_F0007#0,"""Additional Fishing 2"""
Name_F0008#0,"""Additional Fishing 3"""
Name_F0009#0,"""Additional Fishing 4"""
Name_F0010#0,"""Rare Fishing 1"""
Name_F0011#0,"""Rare Fishing 2"""
Name_F0012#0,"""Rare Fishing 3"""
Name_F0013#0,"""Rare Fishing 4"""
Name_F0014#0,"""Fish Fishing 1"""
Name_F0015#0,"""Small Fishing 1"""
Name_F0016#0,"""Medium Fishing 1"""
Name_F0017#0,"""Big Fishing 1"""
Name_F0018#0,"""Fishing 7"""
Name_F0019#0,"""Fishing 8"""
Name_F0020#0,"""Fishing 9"""
Name_F0021#0,"""Fishing 10"""
Name_F0022#0,"""Fishing 11"""
Name_F0023#0,"""Additional Fishing 5"""
Name_F0024#0,"""Additional Fishing 6"""
Name_F0025#0,"""Additional Fishing 7"""
Name_F0026#0,"""Additional Fishing 8"""
Name_F0027#0,"""Additional Fishing 9"""
Name_F0028#0,"""Rare Fishing 5"""
Name_F0029#0,"""Rare Fishing 6"""
Name_F0030#0,"""Rare Fishing 7"""
Name_F0031#0,"""Rare Fishing 8"""
Name_F0032#0,"""Rare Fishing 9"""
Name_F0033#0,"""Fish Fishing 2"""
Name_F0034#0,"""Shellfish Fishing 1"""
Name_F0035#0,"""Crustacean Fishing 1"""
Name_F0036#0,"""Other Fishing 1"""
Name_F0037#0,"""Special Fishing 1"""
Name_F0038#0,"""Forest Fishing 1"""
Name_F0039#0,"""Forest Fishing 2"""
Name_F0040#0,"""Forest Fishing 3"""
Name_F0041#0,"""Forest Sweetfish Fishing 1"""
Name_F0042#0,"""Forest Sweetfish Fishing 2"""
Name_F0043#0,"""Forest Tuna Fishing 1"""
Name_F0044#0,"""Forest Tuna Fishing 2"""
Name_F0045#0,"""Naber Turtle Fishing 1"""
Name_F0046#0,"""Medium Forest Buri Fishing 1"""
Name_F0047#0,"""Ruins Fishing 1"""
Name_F0048#0,"""Ruins Fishing 2"""
Name_F0049#0,"""Ruins Fishing 3"""
Name_F0050#0,"""Ruins Lobster Fishing 1"""
Name_F0051#0,"""Ruins Lobster Fishing 2"""
Name_F0052#0,"""Ruins Kinmedai Fishing 1"""
Name_F0053#0,"""Ruins Kinmedai Fishing 2"""
Name_F0054#0,"""Naber Turtle Fishing 1"""
Name_F0055#0,"""Medium Ruins Salmon Fishing 1"""
Name_F0056#0,"""Coast Fishing 1"""
Name_F0057#0,"""Coast Fishing 2"""
Name_F0058#0,"""Coast Fishing 3"""
Name_F0059#0,"""Coast Clam Fishing 1"""
Name_F0060#0,"""Coast Clam Fishing 2"""
Name_F0061#0,"""Coast Mussel Fishing 1"""
Name_F0062#0,"""Coast Mussel Fishing 2"""
Name_F0063#0,"""Vopar Shark Fishing 1"""
Name_F0064#0,"""Medium Coast Alder Fishing 1"""
Name_F0065#0,"""Tokyo Fishing 1"""
Name_F0066#0,"""Tokyo Fishing 2"""
Name_F0067#0,"""Tokyo Fishing 3"""
Name_F0068#0,"""Tokyo Tuna Fishing 1"""
Name_F0069#0,"""Tokyo Tuna Fishing 2"""
Name_F0070#0,"""Tokyo Lobster Fishing 1"""
Name_F0071#0,"""Tokyo Lobster Fishing 2"""
Name_F0072#0,"""Pescar un Earth Shell"""
Name_F0073#0,"""Medium Tokyo Madai Fishing 1"""
Name_F0074#0,"""Desert Fishing 1"""
Name_F0075#0,"""Desert Fishing 2"""
Name_F0076#0,"""Desert Fishing 3"""
Name_F0077#0,"""Desert Flounder Fishing 1"""
Name_F0078#0,"""Desert Flounder Fishing 2"""
Name_F0079#0,"""Desert Crab Fishing 1"""
Name_F0080#0,"""Desert Crab Fishing 2"""
Name_F0081#0,"""Lillipa Shell Fishing 1"""
Name_F0082#0,"""Medium Desert Flying Fish Fishing 1"""
Name_F0083#0,"""Quarry Fishing 1"""
Name_F0084#0,"""Quarry Fishing 2"""
Name_F0085#0,"""Quarry Fishing 3"""
Name_F0086#0,"""Quarry Beltfish Fishing 1"""
Name_F0087#0,"""Quarry Beltfish Fishing 2"""
Name_F0088#0,"""Quarry Eel Fishing 1"""
Name_F0089#0,"""Quarry Eel Fishing 2"""
Name_F0090#0,"""Lillipa Shell Fishing 1"""
