Title#0,"""Spieleinstellungen"""
CtrlFuncNameWindowTabBack#0,"""詳細ウィンドウタブ逆送り"""
CtrlFuncNameChangeWindow#0,"""操作ウィンドウ変更"""
CtrlFuncNameCtrlTabForward#0,"""操作ウィンドウ変更順送り"""
CtrlFuncNameCtrlTabBack#0,"""操作ウィンドウ変更逆送り"""
CtrlFuncNameCtrlException#0,"""特殊操作"""
CtrlFuncNameStctWord#0,"""ショートカットワード実行"""
CtrlFuncNameChangeToMainPalette#0,"""パレット切り替え"""
CtrlFuncNameChangeRadarMap#0,"""レーダーマップ切り替え"""
CtrlFuncNameChangeAreaMap#0,"""エリアマップ表示/非表示"""
CtrlFuncNameOpenItemPack#0,"""アイテム"""
CtrlFuncNameOpenCustomize#0,"""カスタム"""
CtrlFuncNameOpenMag#0,"""マグ"""
CtrlFuncNameOpenPet#0,"""ペット"""
CtrlFuncNameOpenEventItem#0,"""イベントアイテム"""
CtrlFuncNameOpenEquipWeapon#0,"""武器装備"""
CtrlFuncNameOpenEquipArmor#0,"""防具装備"""
CtrlFuncNameOpenSubpalette#0,"""サブパレット編集"""
CtrlFuncNameOpenFriend#0,"""フレンドリスト"""
CtrlFuncNameOpenGuild#0,"""チームコマンド"""
CtrlFuncNameOpenParty#0,"""パーティーコマンド"""
CtrlFuncNameOpenMail#0,"""メール"""
CtrlFuncNameOpenNearCharacter#0,"""周囲のキャラクター"""
CtrlFuncNameOpenCharaInfo#0,"""キャラクター情報"""
CtrlFuncNameOpenLicense#0,"""称号リスト"""
CtrlFuncNameOpenMyMenu#0,"""クイックメニュー"""
CtrlFuncNameOpenCommunicationLog#0,"""Kommunikationsverlauf"""
CtrlFuncNameOpenProfile#0,"""アークスカード情報"""
CtrlFuncNameOpenLibrary#0,"""図鑑"""
CtrlFuncNameOpenMutterBoard#0,"""マター/ストーリーボード"""
CtrlFuncNameOpenClientOrder#0,"""クライアントオーダー"""
CtrlFuncNameOpenQuestInfo#0,"""クエスト情報"""
CtrlFuncNameOpenSymbolArt#0,"""シンボルアート"""
CtrlFuncNameOpenMacro#0,"""チャット設定"""
CtrlFuncNameOpenConfig#0,"""オプション"""
CtrlFuncNameOpenPayShop#0,"""ACショップ"""
CtrlFuncNameOpenACGacha#0,"""スクラッチを引く"""
CtrlFuncNameOpenPayLog#0,"""購入履歴"""
CtrlFuncNameOpenRentalLimit#0,"""レンタル有効期限"""
CtrlFuncNameOpenLogOut#0,"""ログアウト"""
CtrlFuncNameOpenBingo#0,"""アークスビンゴ"""
CtrlFuncNameOpenInformation#0,"""インフォメーション"""
CtrlFuncNameOpenArksRoad#0,"""アークスロード"""
CtrlFuncNameOpenCraftAchievement#0,"""クラフト実績"""
CtrlFuncNameOpenShipBattle#0,"""アークスシップ対抗戦"""
CtrlFuncNameOpenRecycle#0,"""リサイクルショップ"""
CtrlFuncNameOpenFashion#0,"""ファッション編集"""
CtrlFuncNameOpenGatStatus#0,"""ギャザリングステータス"""
CtrlFuncNameOpenGatAchieve#0,"""達成可能ギャザリング実績"""
CtrlFuncNameOpenEquipNote#0,"""Sammelalbum"""
CtrlFuncNameOpenBuySG#0,"""スタージェムを購入する"""
CtrlFuncNameOpenPokaRecord#0,"""戦績情報"""
CtrlFuncNameOpenPokaRankMatch#0,"""バトルランキング情報"""
CtrlFuncNameOpenFashionCat#0,"""コーデカタログ"""
CtrlFuncNameOpenArksLeague#0,"""アークスリーグ"""
CtrlFuncNameWinShortcut#0,"""ウィンドウショートカット"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
CtrlFuncNameWinShortcutF2#0,"""F2"""
CtrlFuncNameWinShortcutF3#0,"""F3"""
CtrlFuncNameWinShortcutF4#0,"""F4"""
CtrlFuncNameWinShortcutF5#0,"""F5"""
CtrlFuncNameWinShortcutF6#0,"""F6"""
CtrlFuncNameWinShortcutF7#0,"""F7"""
CtrlFuncNameWinShortcutF8#0,"""F8"""
CtrlFuncNameWinShortcutF9#0,"""F9"""
CtrlFuncNameWinShortcutF10#0,"""F10"""
CtrlFuncNameWinShortcutN1#0,"""Num1"""
CtrlFuncNameWinShortcutN2#0,"""Num2"""
CtrlFuncNameWinShortcutN3#0,"""Num3"""
CtrlFuncNameWinShortcutN4#0,"""Num4"""
CtrlFuncNameWinShortcutN5#0,"""Num5"""
CtrlFuncNameWinShortcutN6#0,"""Num6"""
CtrlFuncNameWinShortcutN7#0,"""Num7"""
CtrlFuncNameWinShortcutN8#0,"""Num8"""
CtrlFuncNameWinShortcutN9#0,"""Num9"""
CtrlFuncNameWinShortcutN10#0,"""Num0"""
CtrlLobbyActionAssignName#0,"""Alt+$(0)"""
CtrlAssignButtonInput#0,"""変更"""
CtrlAssignButtonWaiting#0,"""待ち"""
CtrlAssignHint#0,"""キーまたはボタンを押してください。<br>（[Esc]キーでキャンセル）"""
CtrlCtrlAssignTypeT#0,"""1～0"""
CtrlCtrlAssignTypeF#0,"""F1～F10"""
CtrlCtrlAssignTypeN#0,"""Num1～Num0"""
CtrlCtrlAssignTypeCtrlT#0,"""Ctrl+1～0"""
CtrlCtrlAssignTypeCtrlF#0,"""Ctrl+F1～F10"""
CtrlCtrlAssignTypeCtrlN#0,"""Ctrl+Num1～Num0"""
CtrlCtrlSwapMessage#0,"""「$(0)」と入れ替えました。"""
CtrlCtrlCaptionFuncName#0,"""項目名"""
CtrlCtrlCaptionAssign#0,"""現在の設定"""
CtrlPartition#0,""" / """
CtrlVitaAccessEscape#0,"""<pict Sign_L3> + <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""武器パレット切り替えの操作が一部制限されます"""
CtrlVitaSubPalletinfo#0,"""サブパレット切り替えの操作が一部制限されます"""
CtrlAnnounceTitle#0,"""操作アナウンスタイプの選択"""
CtrlAnnounceMessage#0,"""操作説明に表示されるキーまたはボタンの<br>表現方法を、お好みで選択してください。"""
CtrlAnnounceSelSymbol#0,"""記号タイプ"""
CtrlAnnounceSelAlphabet#0,"""アルファベットタイプ"""
CtrlAnnounceSelNumber#0,"""数字タイプ"""
CtrlAnnounceSelKeyboard#0,"""キーボードタイプ"""
CtrlAnnounceExample#0,"""表示例："""
CtrlAnnounceExampleKey#0,"""<pict Key_ENTER> [Esc] [↑] <pict Key_SPACE>"""
CtrlAnnounceExampleAlpha#0,"""<pict Alpha_A><pict Alpha_B><pict Alpha_RB><pict Alpha_UP>"""
CtrlAnnounceExampleSign#0,"""<pict Sign_CIRCLE><pict Sign_CROSS><pict Sign_R1><pict Sign_UP>"""
CtrlAnnounceExampleNumber#0,"""<pict Number_1><pict Number_2><pict Number_5><pict Number_UP>"""
CtrlAnnounceHint#0,"""未定"""
CtrlPadBehaviorTitle#0,"""ゲームパッド初期設定"""
CtrlPadBehaviorSetting#0,"""このゲームパッドの手動設定を行う"""
CtrlPadBehaviorInitialize#0,"""このゲームパッドの自動設定を行う"""
CtrlPadBehaviorStickTitle#0,"""アナログスティック動作設定"""
CtrlPadBehaviorStickSubTitleLU#0,"""1.左スティックの「上」範囲の認識テスト"""
CtrlPadBehaviorStickMessageLU#0,"""「左スティック」の認識テストを行います。<br>左スティックを<c ff007f>「上」<c>に倒しながら、$(0)を押してください。<br><br><yellow>※反応しない場合は、お手元をご確認いただき、<br><c ff007f>「ANALOG」<c><yellow>や<c ff007f>「MODE」<c><yellow>などと表記されたボタンを<br>押して、アナログモードに切り替えてください。<c>"""
CtrlPadBehaviorStickSubTitleLL#0,"""2.左スティックの「左」範囲の認識テスト"""
CtrlPadBehaviorStickMessageLL#0,"""次に<br>左スティックを<green>「左」<c>に倒しながら、$(0)を押してください。"""
CtrlPadBehaviorStickSubTitleRU#0,"""3.右スティックの「上」範囲の認識テスト"""
CtrlPadBehaviorStickMessageRU#0,"""左スティックの認識が終了しました。<br><br>次に、「右スティック」の認識テストを行います。<br>右スティックを<c ff007f>「上」<c>に倒しながら、$(0)を押して下さい。"""
CtrlPadBehaviorStickSubTitleRL#0,"""4.右スティックの「左」範囲の認識テスト"""
CtrlPadBehaviorStickMessageRL#0,"""次に<br>右スティックを<green>「左」<c>に倒しながら、$(0)を押して下さい。"""
CtrlPadBehaviorTriggerTitle#0,"""トリガー動作設定"""
CtrlPadBehaviorTriggerMessageL#0,"""「背面左ボタン」がアナログ（トリガー）かどうかを判定します。<br>下の図で光っているボタンを押してください。<br><br><yellow>押しても何も起こらない場合は、アナログ式ではありませんので、<br><c>$(0)<yellow>を押して、次の画面でボタン設定を行なってください。<c>"""
CtrlPadBehaviorTriggerMessageR#0,"""次に「背面右ボタン」がアナログ（トリガー）かどうかを判定します。<br>下の図で光っているボタンを押してください。<br><br><yellow>押しても何も起こらない場合は、アナログ式ではありませんので、<br><c>$(0)<yellow>を押して、次の画面でボタン設定を行なってください。<c>"""
CtrlPadBehaviorConfirmInitTitle#0,"""設定の初期化"""
CtrlPadBehaviorConfirmApplyTitle#0,"""設定の反映"""
CtrlPadBehaviorConfirmInitMessage#0,"""設定を初期化します。"""
CtrlPadBehaviorConfirmApplyMessage#0,"""設定を反映します。"""
CtrlPadBehaviorHelpSetting#0,"""ゲームパッドのスティック、トリガーの認識、<br>各ボタンの割り当て設定を順に行います。"""
CtrlPadBehaviorHelpInitialize#0,"""ゲームパッドごとに用意された推奨設定に<br>自動で変更します。"""
CtrlPadBehaviorHelpInitializeDisable#0,"""このパッドは自動設定に対応していません。"""
CtrlPadBehaviorHelpTrigger#0,"""トリガーの動作設定を行います。"""
CtrlPadBehaviorButtonDefTitle#0,"""ボタン表示設定"""
CtrlPadBehaviorButtonDefMessage2#0,"""最後に、ゲーム内で表示するボタンのマークが<br>ご利用中のゲームパッドの、どのボタンなのかを設定します。<br><br>リストの上から順に「変更」を押して、<br><c ff007f>「ボタン表示」<c>に合うゲームパッドのボタンを押してください。"""
CtrlPadBehaviorButtonDefCaptionDef#0,"""<c ff007f>ボタン表示<c>"""
CtrlPadBehaviorButtonDefCaptionAssign#0,"""実際のボタン割り当て"""
CtrlPadBehaviorButtonDefApply#0,"""反映して戻る"""
CtrlPadBehaviorButtonDefDisapply#0,"""Abbrechen und beenden"""
CtrlPadBehaviorButtonDefMessage#0,"""$(0)として使用するボタンを入力してください。"""
CtrlPadBehaviorButtonDefDisable#0,"""<gray>設定不要(アナログ)<c>"""
CtrlPadCtrlTitle#0,"""ゲームパッド操作設定"""
CtrlPadInitToast#0,"""ゲームパッドの自動設定を行いました。ゲームパッド初期設定で手動設定も可能です。"""
RadioButtonOnepush#0,"""ワンプッシュ操作"""
RadioButtonHold#0,"""ホールド操作"""
RadioButtonNormal#0,"""標準"""
RadioButtonReverse#0,"""反転"""
RadioButtonRadarMapDirectionChara#0,"""回転しない"""
RadioButtonRadarMapDirectionCamera#0,"""回転する"""
RadioButtonMoviePlayOn#0,"""巨大モニターで動画を再生する"""
RadioButtonMoviePlayOff#0,"""巨大モニターで動画を再生しない"""
RadioButtonShowDialog#0,"""選択ウィンドウを表示"""
RadioButtonNotice#0,"""通知のみ"""
RadioButtonEnable#0,"""使用する"""
RadioButtonDisable#0,"""使用しない"""
RadioButtonShow#0,"""表示する"""
RadioButtonHide#0,"""表示しない"""
RadioButtonShootDisplayAll#0,"""ウィンドウ表示あり"""
RadioButtonShootDisplayNoUiChat#0,"""ウィンドウ表示なし（フキダシあり）"""
RadioButtonShootDisplayNoUiAll#0,"""ウィンドウ表示なし"""
RadioButtonEnableQuote#0,"""引用する"""
RadioButtonDisableQuote#0,"""引用しない"""
RadioButtonScreenShotTypeBmp#0,"""BMP"""
RadioButtonScreenShotTypePng#0,"""PNG"""
RadioButtonScreenShotTypeJpeg#0,"""JPEG"""
RadioButtonAllow#0,"""送る"""
RadioButtonDisallow#0,"""送らない"""
RadioButtonCtrlNormal#0,"""ノーマル"""
RadioButtonCtrlCustom#0,"""カスタム（<pict Sign_TRIANGLE>カスタム設定変更）"""
RadioButtonCtrlType1#0,"""タイプ1"""
RadioButtonCtrlType2#0,"""タイプ2"""
RadioButtonCtrlType3#0,"""タイプ3"""
RadioButtonKeyMoveEscapeLong#0,"""キャラクター移動キー２回押し（長間隔）"""
RadioButtonKeyMoveEscapeMiddle#0,"""キャラクター移動キー２回押し（中間隔）"""
RadioButtonKeyMoveEscapeShort#0,"""キャラクター移動キー２回押し（短間隔）"""
RadioButtonKeyMoveEscapeUnuseKey#0,"""回避アクションキーのみ（２回押し無効）"""
RadioButtonSave#0,"""保存する"""
RadioButtonNotSave#0,"""保存しない"""
RadioButtonAccessHold#0,"""アクセスをホールド"""
RadioButtonNotEvent#0,"""イベント注目をしない"""
RadioButtonNameWhite#0,"""白字にする"""
RadioButtonNameBlue#0,"""青字にする"""
RadioButtonPopUpMessageOne#0,"""最新の1件のみ表示する"""
RadioButtonPopUpMessageThree#0,"""順番に最大3件まで表示する"""
RadioButtonRecommendedNotice#0,"""おすすめオーダーを通知する"""
RadioButtonRecommendedNotNotice#0,"""おすすめオーダーを通知しない"""
RadioButtonAttackPropertyOff#0,"""ダメージ攻撃属性色を表示しない"""
RadioButtonAttackPropertyOn#0,"""ダメージ攻撃属性色を表示する"""
RadioButtonPartyNameChara#0,"""クエストを受注したキャラクターの名前にする"""
RadioButtonPartyNameQuest#0,"""難度の略称とクエスト名にする"""
RadioButtonBeginnerBlockSelect#0,"""ビギナーブロックを優先する"""
RadioButtonBeginnerAutoSelect#0,"""自動選択"""
RadioButtonSubActionPalletNameOn#0,"""常に表示"""
RadioButtonSubActionPalletNameChangeOnly#0,"""切り替えた時に表示"""
RadioButtonSubActionPalletNameOff#0,"""表示しない"""
RadioButtonBattleImpossibleIconOn#0,"""自分以外の戦闘不能をアイコンで表示させる"""
RadioButtonBattleImpossibleIconOff#0,"""自分以外の戦闘不能をアイコンで表示させない"""
RadioButtonMyBattleImpossibleIconOn#0,"""自分の戦闘不能をアイコンで表示して伝える"""
RadioButtonMyBattleImpossibleIconOff#0,"""自分の戦闘不能をアイコンで表示して伝えない"""
RadioButtonAllPB#0,"""すべてのフォトンブラストを表示する"""
RadioButtonMyPB#0,"""自分のフォトンブラストのみ表示する"""
RadioButtonRareDrop7Over#0,"""レアリティ7以上のアイテムで表示する"""
RadioButtonRareDrop10Over#0,"""レアリティ10以上のアイテムで表示する"""
RadioButtonRareDrop13Over#0,"""レアリティ13以上のアイテムで表示する"""
RadioButtonRareautoget13#0,"""レアリティ13以上のアイテムを即時取得する"""
RadioButtonRareautogetoff#0,"""使用しない"""
RadioButtonCameraOperate#0,"""カメラ操作を優先する"""
RadioButtonCursorOperate#0,"""カーソル操作を優先する"""
RadioButtonWarehouseCursorAll#0,"""すべての倉庫"""
RadioButtonWarehouseCursorBase#0,"""基本倉庫"""
RadioButtonWarehouseCursorCharacter#0,"""キャラ倉庫"""
RadioButtonWarehouseCursorPremium#0,"""プレミアム倉庫"""
RadioButtonWarehouseCursorOTP#0,"""OTP倉庫"""
RadioButtonWarehouseCursorPSO2es#0,"""PSO2es倉庫"""
RadioButtonAType#0,"""マニュアルタイプ"""
RadioButtonBType#0,"""オートタイプ"""
RadioButtonEtrialON#0,"""全体マップに切り替える"""
RadioButtonEtrialOFF#0,"""切り替えをしない"""
Number0#0,"""0"""
Number50#0,"""50"""
Number100#0,"""100"""
VITA_CustomWindow#0,"""<pict Sign_TRIANGLE>カスタム設定変更"""
VITA_CustomTitle#0,"""カスタム設定"""
VITA_PushButton#0,"""ボタン入力"""
VITA_CustomToast1#0,"""カスタム設定が変更されました。各操作タイプを「カスタム」にすることで有効になります。"""
VITA_CustomToast2#0,"""重要な操作が未設定になっています。"""
VITA_AutoRun#0,"""オートラン/サブパレット切替左"""
VITA_ChangeView#0,"""視点切替/サブパレット切替右"""
VITA_CustomInfo#0,"""カスタム設定はボタン以外にも<br>背面タッチパッドの左上<pict Sign_BACK_L>と右上<pict Sign_BACK_R>を設定できます。<br><br>変更したい項目名を選んでから、ボタンまたは<br>背面タッチパッドを押して、設定を変更してください。"""
RideroidNormalCtrlTextRotateX#0,"""ライドロイドカメラ左右回転"""
RideroidNormalCtrlTextRotateY#0,"""ライドロイドカメラ上下回転"""
RideroidNormalCtrlTextMovementX#0,"""ライドロイド左右旋回方向"""
RideroidNormalCtrlTextMovementY#0,"""ライドロイド上下移動方向"""
RideroidNormalCtrlTextRotateX_v#0,"""ライドロイドカメラ左右回転"""
RideroidNormalCtrlTextRotateY_v#0,"""ライドロイドカメラ上下回転"""
RideroidNormalCtrlTextMovementX_v#0,"""ライドロイド左右旋回方向"""
RideroidNormalCtrlTextMovementY_v#0,"""ライドロイド上下移動方向"""
RideroidNormalCtrlHintRotateX#0,"""ライドロイドカメラの左右回転方向を設定します。"""
RideroidNormalCtrlHintRotateY#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidNormalCtrlHintMovementX#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidNormalCtrlHintMovementY#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidNormalCtrlHintRotateX_v#0,"""ライドロイドカメラの左右回転方向を設定します。"""
RideroidNormalCtrlHintRotateY_v#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidNormalCtrlHintMovementX_v#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidNormalCtrlHintMovementY_v#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidShoulderCtrlTextRotateY#0,"""ライドロイドカメラ上下回転"""
RideroidShoulderCtrlTextRotateX#0,"""ライドロイド左右旋回方向"""
RideroidShoulderCtrlTextMovementX#0,"""ライドロイド左右移動方向"""
RideroidShoulderCtrlTextMovementY#0,"""ライドロイド上下移動方向"""
RideroidShoulderCtrlTextRotateY_v#0,"""ライドロイドカメラ上下回転"""
RideroidShoulderCtrlTextRotateX_v#0,"""ライドロイド左右旋回方向"""
RideroidShoulderCtrlTextMovementX_v#0,"""ライドロイド左右移動方向"""
RideroidShoulderCtrlTextMovementY_v#0,"""ライドロイド上下移動方向"""
RideroidShoulderCtrlHintRotateY#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidShoulderCtrlHintRotateX#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidShoulderCtrlHintMovementX#0,"""ライドロイド操作の左右移動方向を設定します。"""
RideroidShoulderCtrlHintMovementY#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidShoulderCtrlHintRotateY_v#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidShoulderCtrlHintRotateX_v#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidShoulderCtrlHintMovementX_v#0,"""ライドロイド操作の左右移動方向を設定します。"""
RideroidShoulderCtrlHintMovementY_v#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidOperationSettings#0,"""操作設定"""
RideroidOperationSettingsType#0,"""ライドロイドの操作設定を選択します。"""
RideroidOperationSettingsText#0,"""ライドロイドの操作設定を選択します。 <br> <br>マニュアルタイプ： 手動で前進します。<br>オートタイプ： 自動で前進します。 <br><br>※上部の「通常視点」「肩越し視点」で <br>\u3000ライドロイドとカメラの操作を設定できます。 <br>※ライドロイドは「<yellow>肩越し視点<c>」が基本です。"""
title#0,"""おもに使用する操作機器選択"""
button1#0,"""キーボード＆マウス"""
button2#0,"""ゲームパッド"""
message#0,"""このゲームをゲームパッドでプレイする場合は、<br>キーボードをチャット用にしたり、ほかいくつかの<br>操作をゲームパッド用に自動設定できます。<br><br><green>この設定は、「オプション」の「設定の初期化」から<br>いつでも変更することができます。<c><br><br>どちらの操作機器をおもに使用しますか？"""
title#1,"""操作アナウンス設定"""
Title#1,"""アクションパレットのタイプ選択"""
Message#0,"""アクションパートの操作方法について、<br>従来の2ボタンタイプとは異なる<br>新たな3ボタンタイプが選択可能です。<br><br>3ボタンタイプではより直感的な操作で<br>アクションが行えます。<br><green>この設定は、「オプション」の「設定の初期化」から<br>いつでも変更することができます。<c><br><br>どちらの操作タイプを使用しますか？"""
Button_2Button#0,"""2ボタンタイプ"""
Button_3Button#0,"""3ボタンタイプ"""
