Title#0,"""Asesor de misiones"""
AttentionQuickStart#0,"""You're attempting to start a new quest.<br><br>All progress in your current<br>quest will be discarded.<br>¿Continuar?"""
AttentionQuickStart_ex#0,"""Aceptando nueva Mision<br><br>Si acepta, se cancelara la Mision actual.<br><br><red>La meseta y los elementos que utilizo<br>para aceptar no sera devuelto.<c><br><br>¿Le gustaria aceptar la mision?"""
MyInformationTitle#0,"""Advance Risk Status"""
MyInformationMessage#0,"""Advance Risk:+$(0)<br>Reset time:$(1)<br><br>Advance risk is reset weekly."""
MyInfomationNone#0,"""Nada"""
ClosableQuestDifficult#0,"""Current stage / Stage $(0)<br><br><c ffff00>Will reset when you clear stage $(1).<c>"""
ClosableQuestDifficult2#0,"""Current stage / None<br><br><c ffff00>Will reset when you reach stage $(0).<c>"""
ClosableQuestDifficult3#0,"""Current stage / Stage $(0)<br><br><c ffff00>Will not reset when you clear the stage.<c>"""
ClosableQuestDifficult4#0,"""Current stage / None<br><br><c ffff00>Will reset when you clear the stage.<c>"""
TitleApcCompanion#0,"""Making a New Room"""
MessageApcCompanion#0,"""You have one or more Ordenes de cliente<br>that require you to accompany a<br>specific partner character.<br>It is recommended that you make a<br>new room when carrying out such orders.<br><br>Do you want to make a new room?<br><br>※If you select No, you will accept<br>the quest without making a new room."""
MessageApcCompanion2#0,"""特定のパートナーキャラクターを<br>同行させるクライアントオーダーを<br>受注しています。<br>このクライアントオーダーを行う場合は<br>新規ルームの作成をおすすめします。<br><br>新規ルームの作成を行いますか？<br><br>※「いいえ」を選択すると、新規ルームの<br>\u3000作成を行わずにクエストを受注します。<br><br><c ff0000>※参加歓迎が選択されています。<br>参加者が現れた場合、<br>パートナーキャラクターが帰還する可能性があります。<br>帰還させたくない場合は参加歓迎を選択せずに<br>クエストを再受注してください。"""
CheckMyBestTime#0,"""View Your Fastest Time"""
PcMyBestTime#0,"""“PC”版（4人）\u3000\u3000\u3000\u3000/\u3000$(0)分$(1)秒$(2)<br>“PS Vita”版（2人）\u3000/ \u3000なし<br><br>※クリアタイムは下記パーティー構成にて<br>\u3000記録されます。<br><br>\u3000“PC”版\u3000\u3000\u3000\u3000…“PC”版のみで4人<br>\u3000“PS Vita”版\u3000 …“PS Vita”版のみで2人<br><br><red>※上記以外のパーティー構成や<br>\u3000クエスト中にパーティーを変えた場合は<br>\u3000クリアタイムを記録しません。<c>"""
VitaMyBestTime#0,"""“PC”版（4人）/\u3000なし<br>“PS Vita”版（2人）\u3000/\u3000$(0)分$(1)秒$(2)<br><br>※クリアタイムは下記パーティー構成にて<br>\u3000記録されます。<br><br>\u3000“PC”版\u3000\u3000\u3000\u3000…“PC”版のみで4人<br>\u3000“PS Vita”版\u3000 …“PS Vita”版のみで2人<br><br>\u3000<red>※上記以外のパーティー構成や<br>\u3000クエスト中にパーティーを変えた場合は<br>\u3000クリアタイムを記録しません。<c>"""
PcVitaMyBestTime#0,"""“PC”版（4人）\u3000\u3000\u3000\u3000/\u3000$(0)分$(1)秒$(2)<br>“PS Vita”版（2人）\u3000/\u3000$(3)分$(4)秒$(5)<br><br>※クリアタイムは下記パーティー構成にて<br>\u3000記録されます。<br><br>\u3000“PC”版\u3000\u3000\u3000\u3000…“PC”版のみで4人<br>\u3000“PS Vita”版\u3000 …“PS Vita”版のみで2人<br><br><red>※上記以外のパーティー構成や<br>\u3000クエスト中にパーティーを変えた場合は<br>\u3000クリアタイムを記録しません。<c>"""
NonMyBestTime#0,"""“PC”版（4人） \u3000\u3000\u3000\u3000/\u3000 なし<br>“PS Vita”版（2人） \u3000/\u3000 なし<br><br>※クリアタイムは下記パーティー構成にて<br>\u3000記録されます。<br><br>\u3000“PC”版\u3000\u3000\u3000\u3000…“PC”版のみで4人<br>\u3000“PS Vita”版\u3000 …“PS Vita”版のみで2人<br><br><red>※上記以外のパーティー構成や<br>\u3000クエスト中にパーティーを変えた場合は<br>\u3000クリアタイムを記録しません。<c>"""
AttentionNewRoom_HighLevelQuest#0,"""<red>このクエストは「破棄ペナルティー」対象です！<br>破棄すると他のプレイヤーに迷惑がかかるため、<br>発生中の緊急クエストを再受注できなくなります。<br>また、強制的に別ブロックへの移動が行われます。<c><br><br>このクエストの再受注を試みても、<br>別ブロックに移動後、再受注は失敗します。<br><br>他のクエストを受注する場合は、<br>別ブロックに移動後、そのクエストを受注できます。<br><br>「破棄ペナルティー」を受け、クエストを破棄します。<br>よろしいですか？"""
TitleExtraQuestConfirm#0,"""キャンペーン内容確認"""
Close#0,"""閉じる"""
EnterPartyInfo#0,"""パーティー情報入力へ"""
Cancel#0,"""キャンセル"""
Yes#0,"""はい"""
No#0,"""いいえ"""
AddEnemyRule#0,"""エネミーへの追加要素"""
AddPlayerRule#0,"""プレイヤーへの追加要素"""
AddDropItem#0,"""主要追加ドロップアイテム"""
ExtraQuestConfirmText#0,"""<c ffff00>以下の状態のクエストを受注します。<c><br>よろしいですか？"""
ExtraQuestConfirmText2#0,"""<c ffff00>以下の状態のクエストを受注します。<c><br><br>現在受注中のクエストは破棄されます。<br>よろしいですか？"""
Title#5,"""Informacion de la mision"""
TitleQuestRank#0,"""Nombre de la mision"""
TitleQuestTarget#0,"""Objetivo de mision"""
TitleQuestType#0,"""Tipo de mision"""
TitleQuestDetail#0,"""Detalles de la mision"""
TitlePlanet#0,"""Planeta"""
TitleArea#0,"""Localizacion"""
TitleQuestKind#0,"""Tipo de mision"""
TitlePartyInvite#0,"""Invitacion de grupo"""
TitleApc#0,"""Partner Chars."""
TitleEnemyInfo#0,"""Informacion enemigos"""
TitleTargetEnemy#0,"""Objetivo enemigo"""
TitleEnemy#0,"""Enemigos comunes"""
TitleDropItem#0,"""Objetos disponibles"""
TitlePartyLevel#0,"""Requisitos de mision"""
TitleTimeLimit#0,"""Limite"""
TitleEnemyLevel#0,"""Lvl Enemigos"""
QuestLevel#1,"""Nv. $(0)+"""
QuestLevel_SubLimit#0,"""<pict mainclass_icon>Nv.$(0)～ <pict subclass_icon>Nv.$(1)～"""
QuestLevelNon#0,"""No requiere Nv"""
QuestKindSoro#0,"""En Solitario"""
QuestKindSingleParty#0,"""Escenario individual"""
QuestKindMultiParty#0,"""Escenario Multi jugador"""
ApcOK#0,"""OK"""
ApcNG#0,"""No"""
PartyInviteOK#0,"""OK"""
PartyInviteNG#0,"""No"""
TimeLimitNon#0,"""Ninguno"""
TimeLimit#0,"""Tiempo Limite："""
ExpLimit#0,"""<yellow>EXP limitada<c>"""
TargetEnemyEtc#0,"""$(0) et al."""
TargetEnemyNon#0,"""Nada"""
UnknownEnemy#0,"""???"""
EnemyNameList#0,"""$(0)<br>$(1)"""
Tab_QuestInfo#0,"""Informacion de la mision"""
Tab_EnemyItem#0,"""Enemy/Item Info"""
TitleText#0,"""Descripcion de la mision"""
TitleExp#0,"""Reduccion EXP"""
ExpLimitText#0,"""<yellow>Un miembro por debajo del nivel<c>"""
ExpLimitNon#0,"""Ninguno"""
TimeLimitTitle#0,"""Tiempo Limite"""
Title#6,"""Seleccion de dificultad"""
TitlePartyInfoEntry#1,"""Information de Grupo"""
Back#3,"""Volver"""
TitleCommandSelect#1,"""-"""
CreateNewRoom#1,"""Inicio rapido"""
LookPartyList#1,"""Ver grupos en mision"""
SelectPartyList#1,"""Unirse a un grupo en el bloque actual"""
SelectOtherBlockPartyList#1,"""Unirse a un grupo en otro bloque"""
QuickStart#1,"""Inicio rapido"""
LookQuestRecord#1,"""Ver records de mision"""
MatchingSetting#2,"""Ajustes del juego"""
QuestDifficult#0,"""Ver estado de personal en mision """
ConfirmHighScore#0,"""High Score"""
ConfirmExtraQuest#0,"""キャンペーン内容確認"""
HintNon#2,"""Error desconocido"""
HintClear#1,"""Mision ya completada"""
HintEnemy#1,"""Enemigo"""
HintClientOrder#1,"""Objetivo de la orden del cliente"""
HintMatter#1,"""Materia mision objetivo"""
HintExtraQuest#1,"""キャンペーン対象クエスト"""
CautionNon#3,"""Error desconosido"""
CautionNothingRank#0,"""Rank disponible para esta mision."""
CautionQuestLimitTimeOver#1,"""El limite de tiempo para iniciar la mision ha expirado."""
CautionQuestLevelNG#1,"""No cumple con los requisitos de mision."""
CautionQuestLevelNG2#2,"""No se puede seleccionar la Mision, no todos los miembros<br>del Grupo cumplen los siguientes requisitos:<br><br>Nv $(0)+"""
CautionMultiConditionLine1#2,"""No se puede seleccionar la Mision, no todos los miembros<br>del Grupo cumplen los siguientes requisitos:<br><br>$(0)"""
CautionMultiConditionLine2#2,"""No se puede seleccionar la Mision, no todos los miembros<br>del Grupo cumplen los siguientes requisitos:<br><br>$(0)<br>$(1)"""
CautionMultiConditionLine3#1,"""No se puede seleccionar la Mision, no todos los miembros<br>del Grupo cumplen los siguientes requisitos:<br><br>$(0)<br>$(1)<br>$(2)"""
CautionMultiConditionLine4#1,"""No se puede seleccionar la Mision, no todos los miembros<br>del Grupo cumplen los siguientes requisitos:<br><br>$(0)<br>$(1)<br>$(2)<br>$(3)"""
CautionMultiConditionLine5#1,"""パーティーメンバー全員が<br>以下の受注条件を満たしていないため<br>このランクは受けられません。<br><br>$(0)<br>$(1)<br>$(2)<br>$(3)<br>$(4)"""
CautionMultiConditionLine6#0,"""パーティーメンバー全員が<br>以下の受注条件を満たしていないため<br>このランクは受けられません。<br><br>$(0)<br>$(1)<br>$(2)<br>$(3)<br>$(4)<br>$(5)"""
CautionQuestPlatform#1,"""No se puede seleccionar la Mision, no todos los miembros<br>del Grupo cumplen los siguientes requisitos:<br><br>$(0)"""
CautionQuestRaidQuest#1,"""Debido a que no cumple con las condiciones de la mision,<br>no se puede unir."""
CautionQuestClearCountLimit#1,"""No se puede aceptar la mision.<br>la Mision ha sido Completada."""
ReasonPartyLevel#2,"""・<pict mainclass_icon>Nv.$(0)～"""
ReasonPartySubLevel#1,"""・<pict subclass_icon>Nv.$(0)～"""
ReasonPartyMax#1,"""・Party count $(0)"""
ReasonEventFlag#3,"""・Condiciones/Ordenes de Clientes """
ReasonClearCountLimit#1,"""Completa Count Limit"""
EnemyLevel#1,"""Nv. $(0)+"""
EnemyLevelNon#0,"""-"""
EnemyLevelUnknown#1,"""Nv. ???"""
TitleNon#2,"""Error desconosido"""
TitleNewRoom#1,"""Inicio rapido"""
TitleQuickStart#1,"""Inicio rapido"""
AttentionNon#2,"""Error desconosido.<br><br>Codigo de Error [3004]"""
AttentionNewRoom#1,"""Esta tratando de iniciar una nueva mision.<br>Seran descartados todos los progresos en tu<br>mision actual.<br>¿Quieres continuar?"""
AttentionNewRoom_ex#1,"""Aceptaras una nueva mision.<br><br>Si continuas, la mision actual sera cancelada.<br><br><red>Tampoco seran devueltas la mesetas y los elementos que se usaron para aceptar esta mision.<C><br><br>¿Quieres aceptar la mision?"""
AttentionNewRoom_TriggerQuest#0,"""Usted esta tratando de iniciar una nueva Mision.<br><br>Si acepta, la Mision actual sera cancelara.<br><br><red> no seran devueltos La mesetas y los elementos que utilizo para aceptar esta Mision.<C><br><br>¿Quieres aceptar la mision?"""
AttentionQuickStart#1,"""Usted esta tratando de iniciar una nueva Mision.<br><br>Sera descartado Todo progreso en su<br>actual mision.<br>Continuar?"""
AttentionQuickStart_ex#1,"""Al aceptar la nueva mision.<br><br>Si acepta, la Mision actual se cancelara.<br><br><red>No seran devueltos La meseta y los Objetos que utilizo para aceptar esta Mision.<C><br><br>¿Quieres aceptar la mision?"""
MyInformationTitle#1,"""Aumento estado de riesgo"""
MyInformationMessage#1,"""Aumentar riesgo:+$(0)<br>Restablecer el tiempo:$(1)<br><br>el riesgo se restablece semanal."""
MyInfomationNone#1,"""Nada"""
ClosableQuestDifficult#1,"""Etapa actual / Etapa $(0)<br><br><c ffff00>se restablecera cuando se complete la etapa $(1).<c>"""
ClosableQuestDifficult2#1,"""Etapa actual / Ninguno<br><br><c ffff00>se restablecera cuando llegue a la etapa $(0).<c>"""
ClosableQuestDifficult3#1,"""Etapa actual / etapa $(0)<br><br><c ffff00>no se restablece cuando se desactiva la etapa.<c>"""
ClosableQuestDifficult4#1,"""Etapa actual / Ninguna<br><br><c ffff00>Se restablecera cuando se desactiva la etapa.<c>"""
ClosableQuestDifficultClearNum#0,"""Esta Mision se limita a la frecuencia con que se puede completar.<br><br>Puede completarse $(0) Veses / $(1) jugadas quedan<br><br><c ffff00>Limite reinicia miercoles a las 13:00 JST.<c>"""
ClosableQuestDifficultClearNum2#0,"""Esta mision se limita a las veses que se puede completar.<br><br>Se puede completar $(0) Veses/ 0 jugadas quedan<br><red>no puede aceptar. Se ha llegado al limite.<c><br><c ffff00> se reiniciara el miercoles a las 13:00 JST.<c>"""
TitleApcCompanion#1,"""Hacer una nuevo cuarto"""
MessageApcCompanion#1,"""Tienes una orden de cliente, la cual<br>nesecita llevar un personaje especial.<br>Se recomienda para hacer esta orden<br>crear una nueva sala(room).<br>En caso que decidas seleccionar no,<br>esta se iniciara sin crear una nueva sala."""
MessageApcCompanion2#1,"""Tienes una orden de cliente, la cual<br>nesecita llevar un personaje especial.<br>Se recomienda para hacer esta orden<br>crear una nueva sala(room).<br>En caso que decidas seleccionar no,<br>esta se iniciara sin crear una nueva sala.<br><c ff0000>※Se permite que otros jugadores entren<br>en tu mision. Es posible que al<br>momento que ingresen, tus partners<br>(NPC) sean expulsados.<c><br>Si no deseas que otros jugadores<br>entren a tu mision vuelva a pedirla<br>y deselecciona la opcion."""
TitleQuestTriggerConsumption#0,"""Confirmacion de uso de Trigger de Mision"""
MessageQuestTriggerConsumption#0,"""Si usted usa este Trigger de Mision,<br>los siguientes objetos seran consumidos.<br><br>Objeto：<pict qt_icon>$(0)<br><br>Una vez usado el Trigger de Mision este sera consumido,<br>y no le sera devuelto, sea la razon que fuera.<br><br>Esta seguro de tomar la mision?"""
TitleQuestTriggerReorderConfirm#0,"""再受注確認"""
MessageQuestTriggerReorderConfirm#0,"""トリガークエストを再受注します。<br><br><green>※アイテムを消費せず再受注できます。<c><br><br><yellow>あなたがこのクエストから離脱すると、<br>クエストに参加している全員がクエスト破棄と<br>なりますのでご注意ください。<c><br><br>また、クエスト破棄や回線切断など、<br>いかなる理由でも消費されたクエストトリガーは<br>戻りませんので、ご了承ください。<br><br>クエストを再受注して¿Seguro que quieres?"""
RidingQuestPoint#0,"""$(0)pt"""
RidingQuestPointTime#0,"""($(0))"""
AttentionNewRoom_HighLevelQuest#1,"""<red>このクエストは「破棄ペナルティー」対象です！<br>破棄すると他のプレイヤーに迷惑がかかるため、<br>発生中の緊急クエストを再受注できなくなります。<br>また、強制的に別ブロックへの移動が行われます。<c><br><br>このクエストの再受注を試みても、<br>別ブロックに移動後、再受注は失敗します。<br><br>他のクエストを受注する場合は、<br>別ブロックに移動後、そのクエストを受注できます。<br><br>「破棄ペナルティー」を受け、クエストを破棄します。<br>よろしいですか？"""
Title#7,"""Record de mision"""
TitleItemRecord#0,"""Item Record"""
TitleElementRecord#0,"""Special Ability Record"""
TitleEnemyRecord#0,"""Record de Enemigos"""
Back#4,"""Regresar"""
RecordInfo#0,"""Basado en los pasados $(0) dias"""
ItemRecord#0,"""Item Record"""
ElementRecord#0,"""Special Ability Record"""
EnemyRecord#0,"""Enemy Record"""
CautionNon#4,"""Error Desconosido.<br><br>Codigo de Error [3005]"""
CautionNothingItemRecord#0,"""Item Record actualmente no disponible."""
CautionNothingElementRecord#0,"""Ability Record actualmente no disponible."""
CautionNothingEnemyRecord#0,"""Enemy Record actualmente no disponible."""
Title#8,"""Enemy Record"""
Back#5,"""Regresar"""
SortNon#1,"""Orden por defecto"""
EnemyRate#0,"""$(0)%"""
Title#9,"""Special Ability Record"""
Back#6,"""Regresar"""
SortNon#2,"""Orden por defecto"""
ElementCount#0,"""$(0) times"""
Title#10,"""Item Record"""
Back#7,"""Regresar"""
SortNon#3,"""Orden por defecto"""
ItemDiskLevel#0,"""$(0) Nv.$(1)"""
ItemCount#0,"""$(0) Tiempo"""
Title#11,"""Seleccion del Grupo"""
TitlePartyInfoEntry#2,"""Information de Grupo"""
Back#8,"""Regresar"""
PrevPage#0,"""Anterior"""
NextPage#0,"""Siguiente"""
AnotherParty#0,"""Unirse en un grupo aparte"""
JoinParty#0,"""Unirse al grupo"""
TitleNon#3,"""Error desconocido"""
TitleAnotherParty#0,"""Unirse en un grupo aparte"""
TitleJoinParty#0,"""Unirse al grupo"""
AttentionNon#3,"""Error desconocido"""
AttentionAnotherParty#0,"""クエストを受注します。<br><br>受注中のクエストがある場合は破棄されます。<br>¿Seguro que quieres?"""
AttentionAnotherParty_ex#0,"""クエストを受注します。<br><br>受注中のクエストがある場合は破棄されます。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>ご注意ください。<c><br><br>クエストを受注しますか？"""
AttentionAnotherPartyPass#0,"""クエストを受注します。<br><br>受注中のクエストがある場合は破棄されます。<br>¿Seguro que quieres?"""
AttentionAnotherPartyPass_ex#0,"""クエストを受注します。<br><br>受注中のクエストがある場合は破棄されます。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>ご注意ください。<c><br><br>クエストを受注しますか？"""
AttentionJoinParty#0,"""このパーティーに参加します。<br><br>受注中のクエストがある場合は破棄されます。<br>¿Seguro que quieres?"""
AttentionJoinParty_ex#0,"""このパーティーに参加します。<br><br>受注中のクエストがある場合は破棄されます。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>ご注意ください。<c><br><br>パーティーに参加しますか？"""
AttentionJoinPartyPass#0,"""このパーティーに参加します。<br><br>受注中のクエストがある場合は破棄されます。<br>¿Seguro que quieres?"""
AttentionJoinPartyPass_ex#0,"""このパーティーに参加します。<br><br>受注中のクエストがある場合は破棄されます。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>ご注意ください。<c><br><br>パーティーに参加しますか？"""
AttentionMoveBlock#0,"""Este Grupo esta en $(0).<br>Cambiar bloques?"""
AttentionMoveBlock_ex#0,"""このパーティーは「$(0)」にいるため、<br>ブロックを移動します。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>ご注意ください。<c><br><br>ブロックを移動しますか？"""
HintNon#3,"""Error desconocido"""
HintRoomNo#0,"""Numero de cuarto"""
HintPartnerCard#0,"""Amigos"""
HintGuildMember#0,"""Miembros del Team"""
HintFriendOrGuild#0,"""Friends and Team Members"""
HintPassword#0,"""Passworded"""
HintQusetKindSoro#0,"""Mision en Solitario"""
HintQusetKindSingleParty#0,"""Mision para un grupo"""
HintQusetKindMultiParty#0,"""Mision para varios grupos"""
HintPartyNum#0,"""Party Count"""
HintPlayTime#0,"""Tiempo jugado"""
PasswordTitle#0,"""Enter Password"""
PasswordMessage#0,"""Enter password:"""
SortNon#4,"""Orden por defecto"""
SortPlayStyle1#0,"""Diversion"""
SortPlayStyle2#0,"""\""Eficiensia"""
SortPlayStyle3#0,"""Laid-back"""
SortPlayStyle4#0,"""Seriamente"""
SortVacant#0,"""Party Count"""
SortQuestKind1#1,"""Mision para varios grupos"""
SortQuestKind2#1,"""Mision para un grupo"""
SortQuestKind3#1,"""Mision en Solitario"""
SortQuestPlayTime#0,"""Comenzando Mision"""
SortFriend#0,"""Amigos"""
SortGuild#0,"""Miembros del Team"""
SortPasswordOff#0,"""Sin Clave"""
SortProhibitionOff#0,"""Sin restriccion de  grupo"""
SortPartnerOK#0,"""Partners Allowed"""
SortPartnerNG#0,"""Partners Prohibited"""
SortUseCoin#0,"""Use Rare Enemy Trigger"""
SortUseQuestTrigger#0,"""Usar Trigger de Mision"""
SortRoomNo#0,"""Room Number Order"""
CautionNon#5,"""Error desconocido.<br><br>Codigo de error [3006]"""
CautionNotMultiParty#0,"""Cannot select: not a Multi Party<br>Quest."""
CautionNotSelectParty#0,"""Could not join, do not meet<br>party restrictions."""
CautionSoloQuest#0,"""Mision en Solitarios do not allow party play."""
CautionNotPartyLeader#0,"""No te puedes unir, no eres el lider del grupo."""
CautionNotSoloParty#1,"""No puedes cambiar de bloque por que eres<br>parte de un grupo."""
RoomNo#0,"""No.$(0)"""
PartyPersonNum#0,"""$(1)／$(0)"""
PlayTime#0,"""$(0)：$(1)"""
AttentionJoinParty_HighLevelQuest#0,"""<red>このクエストは「破棄ペナルティー」対象です！<br>破棄すると他のプレイヤーに迷惑がかかるため、<br>発生中の緊急クエストを再受注できなくなります。<br>また、強制的に別ブロックへの移動が行われます。<c><br><br>このクエストの再受注を試みても、<br>別ブロックに移動後、再受注は失敗します。<br><br>他のクエストを受注する場合は、<br>別ブロックに移動後、そのクエストを受注できます。<br><br>「破棄ペナルティー」を受け、クエストを破棄します。<br>よろしいですか？"""
AttentionMoveBlock_HighLevelQuest#0,"""<red>このクエストは「破棄ペナルティー」対象です！<br>破棄すると他のプレイヤーに迷惑がかかるため、<br>発生中の緊急クエストを再受注できなくなります。<br>また、強制的に別ブロックへの移動が行われます。<c><br>このパーティーは「$(0)」にいるため、<br>ブロックを移動します。<br><br>ブロックを移動すると、参加している<br>パーティーから自動的に脱退し、<br>受注中のクエストも破棄されます。<br><br>また、クエストを受けている場合、<br>クエスト内で得られる効果も<br>消えてしまいます。<br><br>ブロックを移動しますか？<br>"""
Title#12,"""Informacion del grupo"""
TitleRoomNo#0,"""Numero de cuarto"""
TitleQuestType#1,"""Tipo de Mision"""
TitlePlanet#1,"""Planeta"""
TitleQuestInfo#0,"""Informacion detallada de la mision"""
TitleQuestAndRankName#0,"""Nombre de la mision"""
TitleQuestName#0,"""Nombre de la mision"""
TitleQuestPartyInfo#0,"""Tipo de Mision en Grupo"""
TitleQuestTrusteeLevel#0,"""Quest Level/Requirements"""
TitlePartnerJoin#0,"""Partner Participation"""
TitlePartyMember#0,"""Miembros"""
TitleComment#0,"""Comentario"""
TitlePlayStyle#0,"""Estilo de juego"""
TitleRequirement#0,"""Party conditions"""
TitleLevel#0,"""Nivel"""
HintNon#4,"""Error desconocido"""
HintRoomNo#1,"""Numero de cuarto"""
HintPartnerCard#1,"""Amigos"""
HintGuildMember#1,"""Miembros del Team"""
HintFriendOrGuild#1,"""Friends and Team Members"""
HintMainClass#0,"""Clase"""
HintSubClass#0,"""-"""
HintSupporter#0,"""Supporter"""
HintApc#0,"""Partner"""
RoomNo#1,"""No.$(0)"""
BlockName#0,"""（$(0)）"""
PartnerCardOn#0,"""Solo Amigos"""
PartnerCardOff#0,"""-"""
GuildMemberOn#0,"""Solo Miembros del Team"""
GuildMemberOff#0,"""-"""
ApcOK#1,"""OK"""
ApcNG#1,"""No"""
PlayerJobLevel#0,"""Nv. $(0)"""
PartyLevelRange#0,"""Nv.$(0)～$(1)"""
QuestAndRankName#0,"""$(0)（$(1)）"""
QuestKindSoro#1,"""Mision en Solitario"""
QuestKindSingleParty#1,"""Mision para un grupo"""
QuestKindMultiParty#1,"""Mision para varios grupos"""
RoomEntry#0,"""$(1)／$(0)"""
QuestLevelNon#1,"""Nada"""
QuestLevelLow#0,"""Nv. $(0)+"""
QuestLevelLow_SubClassLimit#0,"""<pict mainclass_icon>Nv.$(0)～ <pict subclass_icon>Nv.$(1)～"""
Colon#0,"""："""
ApcNameMake#0,"""$(0) / Partner Character"""
SupporterNameMake#0,"""$(0) / Friend Partner"""
MercenaryNameMake#0,"""$(0) / Free Partner"""
PartnerNameMake#0,"""$(0) / Support Partner"""
Count#0,"""（$(0)）"""
PartnerRoomProhibit#0,"""Partners forbidden"""
CostCount#0,"""($(1): +$(0))"""
NowCostCount#0,"""(Actual: +$(0))"""
FloorCount#0,"""(F. $(0))"""
RareEnemyCoin#0,"""Rare Enemy Trigger"""
CongestionSituation#0,"""Estado"""
PremiumSpace#0,"""Espacio premium"""
Exchange#0,"""<pict Sign_TRIANGLE>Check Congestion"""
Return#0,"""<pict Sign_TRIANGLE>Return"""
Title_Buy#0,"""Confirmacion de compra de objetos"""
Title_Use#0,"""Confirmar uso de objeto"""
UseCheckMessage#0,"""<pict Arcscash><c 5fdf00>購入済みアイテムの使用<c><br>所持カジノコイン<pict AmusementCoin>が<br>カジノコインの<yellow>持ち出し上限 （$(1)）<pict AmusementCoin><c> を<br>超えているため、クエストに持ち出すことができません。<br><br>カジノエリアで遊ぶことでカジノコインを消費するか<br>または景品交換で消費することをおすすめしますが、<br>上限以上のカジノコインを破棄して出発するか、<br>アイテムパック内にお持ちのチケットを使用して、<br>持ち出し上限を一定期間解除することもできます。<br><br>アイテムを使用しますか？<br><yellow>※使用するアイテムを確認したい場合は、<br>アイテムパックから選んでください。<c><br><br>(所持カジノコイン： <red>$(0)<c><pict AmusementCoin>)<br>(持ち出し上限\u3000\u3000： $(1)<pict AmusementCoin>)"""
BuyCheckMessage#0,"""<pict Arcscash> <c ff4f3f>Contenidos de Consumo AC<c><br>所持カジノコイン（$(1)<pict AmusementCoin>）が<br>カジノコインの<yellow>持ち出し上限 （$(2)）<pict AmusementCoin><c> を<br>超えているため、クエストに持ち出すことができません。<br><br>カジノエリアで遊ぶことでカジノコインを消費するか<br>または景品交換で消費することをおすすめしますが、<br>上限以上のカジノコインを破棄して出発するか、<br>または有料アイテム「<yellow>CC持ち出し上限解除$(0)日<c>」で<br>持ち出し上限を$(0)日間解除することもできます。<br><br>購入確認画面に進みますか？<br><br>(所持カジノコイン： <red>$(1)<c><pict AmusementCoin>)<br>(持ち出し上限\u3000\u3000： $(2)<pict AmusementCoin>)"""
DeleteCheckMessage#0,"""このままクエストに出発すると、<br>カジノコインの<yellow>持ち出し上限 （$(1)）<pict AmusementCoin><c> を<br>超えた分のカジノコインが<red>破棄されます。<c><br><br>本当にクエストに出発しますか？<br><br>(所持カジノコイン： <red>$(0)<c><pict AmusementCoin>)<br>(持ち出し上限\u3000\u3000： $(1)<pict AmusementCoin>)"""
Toast_Delete#0,"""お預かり上限を超えたカジノコイン（CC）は消失しました。"""
Toast_Use#0,"""CC所持枠拡張の期限を$(0)延長しました。"""
TitleHighScore#0,"""High Score"""
Back#9,"""Volver"""
