TEST#0,"""テストです。"""
LogButton_Cutin#0,"""Acercamientos"""
LogButton_SE#0,"""-"""
LogButton_Voice#0,"""-"""
LogButton_Color#0,"""-"""
LogButton_Emoji#0,"""-"""
LogButton_Twitter#0,"""-"""
LogButton_LobbyAction#0,"""Lobby Actions"""
LogButton_Symbol#0,"""Symbol Arts"""
LogButton_ContinuousInput#0,"""Escritura continua"""
DirectChatBegin#0,"""Escritura directa activada."""
DirectChatEnd#0,"""Escritura directa desactivada."""
DirectChatEndTmp#0,"""Escritura directa temporalmente desactivada."""
DirectChatBlacklist#0,"""Recipient is blacklisted. Cannot send message."""
Log_Toast_Whisper_Name_Fail#0,"""Select the whisper chat recipient from the ... buttons."""
Log_Toast_Unknown_Whisper#0,"""Whisper destination not specified."""
Log_Toast_Disable_Whisper_SymbolArt#0,"""You cannot send symbol art by whisper chat."""
Log_Toast_Disable_TeamChat#0,"""No puedes enviar un mensaje al Team por que no eres miembro de ninguno. Verifica el chat."""
Log_Toast_Disable_TeamChat_ChallengeShip#0,"""Team chat is unavailable while on a Nave Compartida."""
Log_Toast_Disable_TeamChat_Poka#0,"""現在、チームチャットはご利用いただけません。"""
Log_Toast_Nouse_Poka_Whisper#0,"""対戦中のためウィスパーチャットはご利用いただけません。"""
Log_Welcome#0,"""Bienvenido a <lt>$(0)<rt>!"""
Log_KeyHelp#0,"""Bienvenido a PSO2!<br>Nota: Pueden notificar errores y enviar sugerencias en<br>https://www.facebook.com/PSO2spanish/<br>Fecha del parche 05 de Diciembre del 2016."""
Log_ItemGet#0,"""Recibido $(0)."""
Log_CapsuleGet#0,"""Recibido objeto virtual $(0). ver en el Terminal extreme."""
LogSymbolArt#0,"""Symbol art mostrado."""
LogWhisperEmpty#0,"""Privado sin destino"""
LogWhisperButtonText#0,"""..."""
LogBoostEventInfo#0,"""Informacion de evento"""
Tab#0,"""Tab $(0)"""
TabChange_Title#0,"""Change Channel Tab"""
Bubble_Normal#0,"""Normal"""
Bubble_Surprise#0,"""Emphasize"""
Bubble_Question#0,"""Uncertain"""
ManpuCategory_01#0,"""Positivos"""
ManpuCategory_02#0,"""Negativos"""
ManpuCategory_03#0,"""Combinaciones positivas"""
ManpuCategory_04#0,"""Combinaciones negativas"""
Manpu_None#0,"""Nada"""
Manpu_1#0,"""Sweat 1"""
Manpu_2#0,"""Sweat 2"""
Manpu_3#0,"""Irritacion"""
Manpu_4#0,"""Ectoplasma"""
Manpu_5#0,"""Depressed"""
Manpu_6#0,"""Blush"""
Manpu_7#0,"""Muerte"""
Manpu_8#0,"""Craneo"""
Manpu_9#0,"""Idea"""
Manpu_10#0,"""Foolishness"""
Manpu_11#0,"""Sigh"""
Manpu_12#0,"""Anger"""
Manpu_13#0,"""Descontento"""
Manpu_15#0,"""Risas"""
Manpu_16#0,"""Hearts"""
Manpu_17#0,"""Notes"""
Manpu_18#0,"""Exclamacion"""
Manpu_19#0,"""Pregunta"""
Manpu_20#0,"""Exclaim/Question"""
Manpu_21#0,"""Sleepy"""
Manpu_22#0,"""Sorpresa"""
Manpu_23#0,"""Depressed+Sweat 1"""
Manpu_24#0,"""Sweat 2+Blush"""
Manpu_25#0,"""Descontento+Irritacion"""
Manpu_26#0,"""Irritacion+Exclamacion"""
Manpu_27#0,"""Depressed+Sigh"""
Manpu_28#0,"""Foolishness+Blush"""
Manpu_29#0,"""Blush+Anger"""
Manpu_30#0,"""Ectoplasma+Craneo"""
Manpu_31#0,"""Idea+Exclamacion/Pregunta"""
Manpu_32#0,"""Foolishness+Hearts"""
Manpu_33#0,"""Anger+Sigh"""
Manpu_34#0,"""Descontento+Exclamacion"""
Manpu_35#0,""" Discontent+Exm/Qstn"""
Manpu_36#0,"""Sorpresa+Exclamacion"""
Manpu_37#0,"""Risa+Hearts"""
Manpu_38#0,"""Risa+Notes"""
Manpu_39#0,"""Anger+Pregunta"""
Cutin_Face_None#0,"""Ninguna"""
Cutin_Face_Normal#0,"""Normal"""
Cutin_Face_Smile#0,"""Sonriendo"""
Cutin_Face_Anger#0,"""Enojado"""
Cutin_Face_Sad#0,"""Triste"""
Cutin_Face_Dubious#0,"""Suspicious"""
Cutin_Face_Close#0,"""Ojos cerrados"""
Cutin_Face_Smile2#0,"""Sonrisa 2"""
Cutin_Face_Wink#0,"""Wink"""
Cutin_Camera_Front#0,"""De Frente"""
Cutin_Camera_SideFront#0,"""Desde un Angulo"""
Cutin_Camera_SideFrontUp#0,"""From Angle Above"""
Cutin_Camera_SideFrontDown#0,"""From Angle Below"""
Cutin_Camera_Side#0,"""De Lado"""
ArksRanking_JoinText#0,"""アークスリーグに参加しました。<br>詳しくは開催中イベントのアークスリーグをご覧ください。"""
ArksRanking_RewardText#0,"""アークスリーグの結果が発表されました。<br>リーグ報酬を、$(0)から受け取ってください。"""
OpenChannelTab#0,"""-"""
ChannelPopupItem1#0,"""-"""
ChannelPopupItem2#0,"""-"""
ChannelPopupItem3#0,"""-"""
TabHeader1#0,"""-"""
TabHeader2#0,"""-"""
PopupItem1#0,"""-"""
PopupItem2#0,"""-"""
PopupItem3#0,"""-"""
PopupItem4#0,"""-"""
PopupItem5#0,"""-"""
PopupItem6#0,"""-"""
PopupItem7#0,"""-"""
PopupItem8#0,"""-"""
PopupItem9#0,"""-"""
Title_ViewMode#0,"""-"""
Title_NewChannel#0,"""-"""
LobbyAction_Monomane#0,"""Imitar"""
LobbyAction_Reaction#0,"""Imitar accion"""
LobbyAction_Greet#0,"""Saludar"""
LobbyAction_Wave#0,"""Ademan"""
LobbyAction_Bow#0,"""Reverencia"""
LobbyAction_Salute#0,"""Saludo"""
LobbyAction_Yes#0,"""Si"""
LobbyAction_No#0,"""No"""
LobbyAction_Sorry#0,"""Pedir disculpas"""
LobbyAction_Provoke#0,"""Provocar"""
LobbyAction_Praise#0,"""Alabanza"""
LobbyAction_Kiss#0,"""Beso"""
LobbyAction_Howareyou#0,"""¿Como estas?"""
LobbyAction_You#0,"""Apuntar"""
LobbyAction_Yell#0,"""Animar"""
LobbyAction_Guts#0,"""Mostrar espiritu de lucha"""
LobbyAction_Laugh#0,"""Risa"""
LobbyAction_Clap#0,"""Aplausos"""
LobbyAction_Sit1#0,"""Sentarse 1"""
LobbyAction_Sit2#0,"""Sentarse 2"""
LobbyAction_Pose1#0,"""Pose 1"""
LobbyAction_Pose2#0,"""Pose 2"""
LobbyAction_Dance1#0,"""Baile 1"""
LobbyAction_Dance2#0,"""Baile 2"""
LobbyAction_Liveit#0,"""¡Vivelo!"""
LobbyAction_Deny#0,"""Desprecio"""
LobbyAction_Tired#0,"""Dormir"""
LobbyAction_Happy#0,"""Alegrarse"""
LobbyAction_Angry#0,"""Enojado"""
LobbyAction_Sad#0,"""Triste"""
LobbyAction_Fun#0,"""Cheerful"""
LobbyAction_Disgust#0,"""Disgustado"""
LobbyAction_Worry#0,"""Preocuparse"""
LobbyAction_Shy#0,"""Actuar con timides"""
LobbyAction_Surprise#0,"""Sorpresa"""
LobbyAction_Frustrated#0,"""Frustrado"""
LobbyAction_Cry#0,"""Llorar"""
LobbyAction_Ball#0,"""Pelota"""
LobbyAction_Peep#0,"""Mirar"""
LobbyAction_Flag#0,"""Flag"""
LobbyAction_Mdtrn#0,"""Pose 6"""
LobbyAction_Sit3#0,"""Sentarse 3"""
LobbyAction_mdpose_a1#0,"""Pose 7"""
LobbyAction_mdpose_b1#0,"""Pose 8"""
LobbyAction_yesorno#0,"""Si o No"""
LobbyAction_cam#0,"""Tomar imagen"""
LobbyAction_pray#0,"""Adoracion"""
LobbyAction_hima#0,"""Estirarse"""
LobbyAction_Bed1#0,"""Cama 1"""
LobbyAction_Bed2#0,"""Cama 2"""
LobbyAction_Sexy#0,"""Sexy"""
LobbyAction_Drunk#0,"""Borracho"""
LobbyAction_Pose3#0,"""Pose 3"""
LobbyAction_Pose4#0,"""Pose 4"""
LobbyAction_Pose5#0,"""Pose 5"""
LobbyAction_Proudback#0,"""Proud back"""
LobbyAction_Proudarm#0,"""Proud arm"""
LobbyAction_Proudleg#0,"""Proud leg"""
LobbyAction_Dance3#0,"""Baile 3"""
LobbyAction_Dance4#0,"""Baile 4"""
LobbyAction_Dance5#0,"""Baile 5"""
LobbyAction_Sing#0,"""Canta"""
LobbyAction_Gj#0,"""Felicitar"""
LobbyAction_Pleasure#0,"""Risa malvada"""
LobbyAction_Talk#0,"""Inspirar"""
LobbyAction_Pains#0,"""Herido"""
LobbyAction_Mc#0,"""Mic Solo"""
LobbyAction_Dance6#0,"""Baile 6"""
LobbyAction_clight1#0,"""Glowstick Wave 1"""
LobbyAction_clight2#0,"""Glowstick Wave 2"""
LobbyAction_clight3#0,"""Glowstick Wave 3"""
LobbyAction_Dance7#0,"""Baile 7"""
LobbyAction_Dance8#0,"""Baile 8"""
LobbyAction_go#0,"""¡Vamos!"""
LobbyAction_moji#0,"""Bashful"""
LobbyAction_comic#0,"""Comedy Skit"""
LobbyAction_present#0,"""Present"""
LobbyAction_water_a#0,"""Splash"""
LobbyAction_water_b#0,"""Be Splashed"""
LobbyAction_hot#0,"""Hot"""
LobbyAction_kagamu#0,"""la appeal"""
LobbyAction_Dance9#0,"""Baile 9"""
LobbyAction_Dance10#0,"""Baile 10"""
LobbyAction_Dance11#0,"""Baile 11"""
LobbyAction_Dance12#0,"""Baile 12"""
LobbyAction_Sit4#0,"""Sentarse 4"""
LobbyAction_Sit5#0,"""Sentarse 5"""
LobbyAction_mdpose_a2#0,"""La foldarms"""
LobbyAction_mdpose_b2#0,"""La hello"""
LobbyAction_mdpose_a3#0,"""Model 1"""
LobbyAction_mdpose_b3#0,"""Model 2"""
LobbyAction_animal#0,"""Animal"""
LobbyAction_taiso#0,"""Warm-up"""
LobbyAction_boxing#0,"""Boxing"""
LobbyAction_enemy#0,"""Enemy 1"""
LobbyAction_riseki#0,"""On Alert"""
LobbyAction_kick#0,"""Kick"""
LobbyAction_punch#0,"""Punch"""
LobbyAction_chiba#0,"""Skill"""
LobbyAction_ochokuri#0,"""Tease"""
LobbyAction_kimepose#0,"""Pose 9"""
LobbyAction_mdwalk#0,"""Model Walk"""
LobbyAction_kashige#0,"""Head Tilt"""
LobbyAction_hello2#0,"""Greet 2"""
LobbyAction_aid2#0,"""Cheer 2"""
LobbyAction_pains2#0,"""Curse"""
LobbyAction_chu2#0,"""Pose 10"""
LobbyAction_salute2#0,"""Salute 2"""
LobbyAction_ichitarou#0,"""Ichitaro"""
LobbyAction_enomoto#0,"""Enomoto"""
LobbyAction_symbolP#0,"""Human P"""
LobbyAction_symbolS#0,"""Human S"""
LobbyAction_symbolO#0,"""Human O"""
LobbyAction_symbol2#0,"""Human 2"""
LobbyAction_wave2#0,"""Oleada 2"""
LobbyAction_bow2#0,"""Bow 2"""
LobbyAction_kanpai#0,"""Toast"""
LobbyAction_sc5#0,"""SC5 Dance"""
LobbyAction_fireworks#0,"""Fireworks"""
LobbyAction_pose11#0,"""Pose 11"""
LobbyAction_pose12#0,"""Hooray!"""
LobbyAction_champagne#0,"""Victoria"""
LobbyAction_imitateBB#0,"""Air Baseball"""
LobbyAction_fishing#0,"""Pescar"""
LobbyAction_yopparai#0,"""Drunk"""
LobbyAction_enomoto4#0,"""Enomoto 4"""
LobbyAction_virtualon#0,"""Virtual On"""
LobbyAction_pose13#0,"""Pose 12"""
LobbyAction_kyouki#0,"""Delight"""
LobbyAction_line#0,"""Line"""
LobbyAction_pose14#0,"""Pose 13"""
LobbyAction_halloween#0,"""Treats Please"""
LobbyAction_crash#0,"""Blown Away"""
LobbyAction_cracker#0,"""Cracker"""
LobbyAction_pose15#0,"""Pose 14"""
LobbyAction_massgame1#0,"""Red & Blue Board"""
LobbyAction_massgame2#0,"""Green & Yellow Board"""
LobbyAction_massgame3#0,"""White & Black Board"""
LobbyAction_pose16#0,"""Pose 15"""
LobbyAction_ice#0,"""Snowball Fight"""
LobbyAction_eieio#0,"""Hey, Hey, Oh!"""
LobbyAction_kick2#0,"""Kick 2"""
LobbyAction_stylish#0,"""S-Jump"""
LobbyAction_symbol0#0,"""Human 0"""
LobbyAction_symbol1#0,"""Human 1"""
LobbyAction_symbol3#0,"""Human 3"""
LobbyAction_symbol4#0,"""Human 4"""
LobbyAction_symbol5#0,"""Human 5"""
LobbyAction_symbol6#0,"""Human 6"""
LobbyAction_symbol7#0,"""Human 7"""
LobbyAction_symbol8#0,"""Human 8"""
LobbyAction_symbol9#0,"""Human 9"""
LobbyAction_bubble#0,"""Soap Bubbles"""
LobbyAction_enemy2#0,"""Enemy 2"""
LobbyAction_umbrella1#0,"""Umbrella1"""
LobbyAction_umbrella2#0,"""Real Umbrella"""
LobbyAction_dummy#0,"""dummy"""
LobbyAction_eat#0,"""Eat"""
LobbyAction_pose18#0,"""Pose 17"""
LobbyAction_fear#0,"""Afraid"""
LobbyAction_clean#0,"""Clean"""
LobbyAction_virtualon2#0,"""VirtualOn 2"""
LobbyAction_volley#0,"""Beach Volley"""
LobbyAction_pose19#0,"""Pose 18"""
LobbyAction_fireworks2#0,"""Fireworks 2"""
LobbyAction_pose20#0,"""Pose 19"""
LobbyAction_freekick#0,"""Free Kick"""
LobbyAction_pose21#0,"""Pose 20"""
LobbyAction_jump#0,"""Saltos"""
LobbyAction_pose22#0,"""Pose 21"""
LobbyAction_aura#0,"""ARKS Pose"""
LobbyAction_surprise2#0,"""Surprise 2"""
LobbyAction_magichat#0,"""Magic Trick"""
LobbyAction_pose23#0,"""Pose 22"""
LobbyAction_Sdogeza#0,"""S-Kneel"""
LobbyAction_bow3#0,"""Bow 3"""
LobbyAction_jelly#0,"""ゼリー飲料を飲む"""
LobbyAction_kouhoutai2#0,"""La yuataso"""
LobbyAction_kouhoutai3#0,"""La airin"""
LobbyAction_airiai#0,"""エア居合"""
LobbyAction_nekopose#0,"""Pose Neko"""
LobbyAction_kancho#0,"""カンチョー"""
LobbyAction_bang#0,"""Disparo"""
LobbyAction_gravure#0,"""グラビアポーズ２"""
LobbyAction_bouquet#0,"""花束"""
LobbyAction_change#0,"""覚醒"""
LobbyAction_watermelon#0,"""スイカ割り"""
LobbyAction_hug#0,"""Abrazo"""
LobbyAction_pose24#0,"""Pose 23"""
LobbyAction_janken#0,"""Janken"""
LobbyAction_icchou#0,"""一丁締め"""
LobbyAction_flash#0,"""ひらめく"""
LobbyAction_sulk#0,"""Sulk"""
LobbyAction_gravitydaze#0,"""Manipulacion de gravity"""
LobbyAction_pose25#0,"""Pose 24"""
LobbyAction_emiria#0,"""Pose de Emilia"""
LobbyAction_beckon#0,"""Beckon"""
LobbyAction_persona5#0,"""Persona 5"""
LobbyAction_stroke#0,"""Stroke"""
LobbyAction_pardon#0,"""聞き返す"""
LobbyAction_papercraft#0,"""紙飛行機"""
LobbyAction_tub#0,"""たらい"""
LobbyAction_mock#0,"""茶化す"""
LobbyAction_circle#0,"""円陣"""
LobbyAction_nira#0,"""オートマタ"""
LobbyAction_tapdance#0,"""Baile 13"""
LobbyAction_Dance13#0,"""Baile 14"""
LobbyAction_Dance14#0,"""Baile 15"""
LobbyAction_Dance15#0,"""Baile 16"""
LobbyAction_Dance17#0,"""Baile 17"""
LobbyAction_Dance18#0,"""Baile 18"""
LobbyAction_orz#0,"""Depressed"""
LobbyAction_kabe#0,"""La lean"""
LobbyAction_house#0,"""Baile 19"""
LobbyAction_momoi#0,"""Momoi"""
LobbyAction_headbanging#0,"""Headbang"""
LobbyAction_backflip#0,"""Backflip"""
LobbyAction_cartwheel#0,"""Cartwheel"""
LobbyAction_squat#0,"""Squat"""
LobbyAction_Dance20#0,"""Baile 20"""
LobbyAction_Dance21#0,"""Baile 21"""
LobbyAction_ichitarou2#0,"""Ichitaro 2"""
LobbyAction_ichitarou3#0,"""Ichitaro 3"""
LobbyAction_enomoto2#0,"""Enomoto 2"""
LobbyAction_enomoto3#0,"""Enomoto 3"""
LobbyAction_sc5_ulala#0,"""SC5 Ulala"""
LobbyAction_talking#0,"""La talking"""
LobbyAction_dance22#0,"""Baile 22"""
LobbyAction_dance23#0,"""Baile 23"""
LobbyAction_ichitaro4#0,"""Ichitaro 4"""
LobbyAction_visphon#0,"""La console"""
LobbyAction_koikoi#0,"""Hope"""
LobbyAction_dance24#0,"""Baile 24"""
LobbyAction_dance25#0,"""Baile 25"""
LobbyAction_dance26#0,"""Baile 26"""
LobbyAction_airguitar#0,"""Air Guitar"""
LobbyAction_dance27#0,"""Baile 27"""
LobbyAction_horror#0,"""Horror"""
LobbyAction_dance28#0,"""Baile 28"""
LobbyAction_yuruyuri#0,"""Akkarin!"""
LobbyAction_dance29#0,"""Baile 29"""
LobbyAction_dance30#0,"""Baile 30"""
LobbyAction_cold#0,"""Cold"""
LobbyAction_dance31#0,"""Baile 31"""
LobbyAction_dance32#0,"""Baile 32"""
LobbyAction_warm#0,"""Warm Up"""
LobbyAction_taiki1#0,"""Awaiting Orders"""
LobbyAction_Fwpose#0,"""Criminal Pose"""
LobbyAction_sokuchu#0,"""Sideflip"""
LobbyAction_pose17#0,"""Pose 16"""
LobbyAction_danse33#0,"""Baile 33"""
LobbyAction_fightpose2#0,"""Pose de Pelea 2"""
LobbyAction_fightpose1#0,"""Pose de Pelea 1"""
LobbyAction_dance34#0,"""Baile 34"""
LobbyAction_dance35#0,"""Baile 35"""
LobbyAction_sing2#0,"""Singer"""
LobbyAction_fan#0,"""Fan 1"""
LobbyAction_syagam#0,"""Squat"""
LobbyAction_ bonodo#0,"""ARKS Dance"""
LobbyAction_guruguru#0,"""Spin"""
LobbyAction_fan2#0,"""Fan 2"""
LobbyAction_furafura#0,"""Staggering"""
LobbyAction_strech#0,"""Gymnastics"""
LobbyAction_dance36#0,"""Baile 36"""
LobbyAction_float#0,"""Flotar"""
LobbyAction_sit4#0,"""Sentarse 4"""
LobbyAction_dance37#0,"""Baile 37"""
LobbyAction_lean2#0,"""Wall Lean"""
LobbyAction_sidestep#0,"""Sidestep"""
LobbyAction_lookout#0,"""Survey"""
LobbyAction_snow2#0,"""Snowball Fight 2"""
LobbyAction_graduate#0,"""卒業ポーズ"""
LobbyAction_petal#0,"""花びら"""
LobbyAction_kouhoutai1#0,"""グラビアポーズ"""
LobbyAction_kouhoutai4#0,"""やったー"""
LobbyAction_bigpresent#0,"""プレゼントボックス"""
LobbyAction_blanko#0,"""ブランコ"""
LobbyAction_tobu#0,"""とぶ"""
LobbyAction_simpledance#0,"""ユニークステップ"""
LobbyAction_dislike#0,"""嫌がる"""
LobbyAction_catapult#0,"""出撃"""
LobbyAction_turn#0,"""回る"""
LobbyAction_boxing2#0,"""Boxing 2"""
LobbyAction_Hyurandance#0,"""Hyur Dance"""
LobbyAction_Miqo'tedance#0,"""Miqo'te Dance"""
LobbyAction_sitdown#0,"""腰掛ける"""
LobbyAction_firedans#0,"""Fire Dance"""
LobbyAction_lean3#0,"""気怠い"""
LobbyAction_airboard#0,"""Airboard"""
LobbyAction_rappymimicry#0,"""Rappies"""
LobbyAction_liveperformance#0,"""Voパフォーマンス"""
LobbyAction_shake#0,"""揺れる"""
LobbyAction_cam2#0,"""カメラを構える２"""
LobbyAction_yokoso1#0,"""声援１"""
LobbyAction_yokoso2#0,"""声援２"""
LobbyAction_motherc#0,"""品がある挨拶"""
LobbyAction_hozue#0,"""ほおづえ"""
LobbyAction_dance38#0,"""Baile 38"""
LobbyAction_Gformation#0,"""Group Formation"""
LobbyAction_drift#0,"""Sway"""
LobbyAction_signboard#0,"""Carry Sign"""
LobbyAction_vivian#0,"""Vivienne Dash"""
LobbyAction_cooking#0,"""Cook"""
LobbyAction_flightform#0,"""Flight Formation"""
LobbyAction_teatime#0,"""Teatime, Anytime"""
LobbyAction_famitu#0,"""Leer el Famitsu"""
LobbyAction_console2#0,"""Terminal Operation 2"""
LobbyAction_snowplay#0,"""Jugar en la nieve"""
LobbyAction_dance39#0,"""Baile 39"""
LobbyAction_shimamura#0,"""PR Pose"""
LobbyAction_liveperformance2#0,"""Vo Performance 2"""
LobbyAction_dance40#0,"""ダンス40"""
LobbyAction_dance41#0,"""ダンス42"""
LobbyAction_dance42#0,"""ダンス43"""
LobbyAction_dance43#0,"""ダンス41"""
LobbyAction_dance44#0,"""ダンス44"""
LobbyAction_gunaction#0,"""銃を構える"""
LobbyAction_stscoter#0,"""立ち乗り二輪車"""
LobbyAction_ippuku#0,"""どこでもお茶屋"""
LobbyAction_waiting2#0,"""待機中２"""
LobbyAction_kumite#0,"""組手"""
LobbyAction_refuse#0,"""スライド移動"""
LobbyAction_winnerdance#0,"""ウィナーダンス"""
LobbyAction_watering#0,"""水やり"""
LobbyAction_waitpose1#0,"""待機中３"""
LobbyAction_beastdush#0,"""四足移動"""
LobbyAction_dance45#0,"""ダンス45"""
LobbyAction_playcat#0,"""猫をじゃらす"""
LobbyAction_Pchair_viri#0,"""Silla foton (Viridian)"""
LobbyAction_Pchair_green#0,"""Silla foton (Verde)"""
LobbyAction_Pchair_sky#0,"""Silla foton (Cielo)"""
LobbyAction_Pchair_blue#0,"""Silla foton (Azul)"""
LobbyAction_Pchair_purple#0,"""Silla foton (Morada)"""
LobbyAction_Pchair_pink#0,"""Silla foton (Rosada)"""
LobbyAction_Pchair_red#0,"""Silla foton (Roja)"""
LobbyAction_Pchair_oran#0,"""Silla foton (Naranja)"""
LobbyAction_Pchair_yellow#0,"""Silla foton (Amarilla)"""
LobbyAction_Pchair_whiti#0,"""Silla foton (Blanca)"""
LobbyAction_Pchair_gold#0,"""Silla foton (Dorada)"""
LobbyAction_Pchair_black#0,"""Silla foton (Negra)"""
LobbyAction_Pchair_rappy#0,"""Silla foton (Rappy)"""
LobbyActionCategory_1#0,"""Acciones: Basicas"""
LobbyActionCategory_2#0,"""Acciones: Extras 1"""
LobbyActionCategory_3#0,"""Acciones: Parte 2"""
LobbyActionCategory_4#0,"""Acciones: Parte 3"""
LobbyActionCategory_5#0,"""Acciones: Parte 4"""
LobbyActionCategory_6#0,"""Acciones: Extras 5"""
LobbyActionCategory_7#0,"""Acciones: Extras 6"""
LobbyActionCategory_8#0,"""Acciones: Bucle 1"""
LobbyActionCategory_9#0,"""Acciones: Bucle 2"""
LobbyActionCategory_10#0,"""Acciones: Bucle 3"""
LobbyActionCategory_11#0,"""Acciones: Bucle 4"""
LobbyActionCategory_12#0,"""Acciones: Poses"""
LobbyActionCategory_13#0,"""Acciones: Bailes 1 """
LobbyActionCategory_14#0,"""Acciones: Bailes 2"""
LobbyActionCategory_15#0,"""Acciones: Letras Humanas"""
LobbyActionCategory_16#0,"""Silla Photon"""
LobbyAction_MonomanePayAction#0,"""No has aprendido este lobby action."""
LobbyActionCategoryTab_0#0,"""1. Mostrar todo"""
LobbyActionCategoryTab_1#0,"""2. Basicos"""
LobbyActionCategoryTab_2#0,"""3. Extras 1"""
LobbyActionCategoryTab_3#0,"""4. Extras 2"""
LobbyActionCategoryTab_4#0,"""5. Extras 3"""
LobbyActionCategoryTab_5#0,"""6. Extras 4"""
LobbyActionCategoryTab_6#0,"""7. Extras 5"""
LobbyActionCategoryTab_7#0,"""8. Extras 6"""
LobbyActionCategoryTab_8#0,"""9. Bucle 1"""
LobbyActionCategoryTab_9#0,"""10. Bucle 2"""
LobbyActionCategoryTab_10#0,"""11. Bucle 3"""
LobbyActionCategoryTab_11#0,"""12. Bucle 4"""
LobbyActionCategoryTab_12#0,"""13. Poses"""
LobbyActionCategoryTab_13#0,"""14. Bailes 1"""
LobbyActionCategoryTab_14#0,"""15. Bailes 2"""
LobbyActionCategoryTab_15#0,"""16. Letras Humanas"""
LobbyActionCategoryTab_16#0,"""17. Silla Photon"""
LobbyActionCategoryTab_Used#0,"""Recientes"""
LobbyActionSex_0#0,"""Poses masculinas"""
LobbyActionSex_1#0,"""Poses femeninas"""
LobbyAction_Random#0,"""Aleatorio"""
LobbyAction_None#0,"""なし"""
Term_Area#0,"""$(0)/$(1)"""
Term_Positon#0,"""($(0),$(1),$(2))"""
Term_Hp#0,"""$(0)/$(1)"""
Term_Pp#0,"""$(0)/$(1)"""
Term_ClassSub#0,"""$(0) Nv.$(2)/$(1) Nv. $(3)"""
Term_Class#0,"""$(0) Nv.$(1)"""
BlockForm_Title#0,"""Transferencia de bloque"""
BlockForm_Title2#0,"""Descripcion del bloque"""
BlockForm_MyRoom#0,"""Ir a tu cuarto"""
BlockForm_GuildRoom#0,"""Ir al salon de tu Team"""
BlockForm_PublicShip#0,"""Ir a la nave compartida"""
BlockForm_PublicShip_Poka#0,"""共通シップのバトルロビーへ移動"""
BlockForm_PublicShip_Challenge#0,"""共通シップのチャレンジロビーへ移動"""
BlockForm_PokaLobby#0,"""バトルロビーへ移動"""
BlockForm_ChallengeLobby#0,"""チャレンジロビーへ移動"""
BlockForm_MyShip#0,"""Ir a tu nave"""
BlackForm_Cancel#0,"""Regresar"""
BlackForm_Explanation#0,"""Explicacion"""
BlackForm_PremiumSpace#0,"""Espacio Premium"""
BlockForm_PublicShip_Exp#0,"""Si te mueves a una nave compartida, seras<br>automaticamente removido de tu grupo y<br>cualquier mision aceptada sera cancelada.<br><br>Ademas, cualquier efecto obtenido en alguna<br>mision que hayas aceptado desaparecera.<br><br>¿Transferir a nave compartida?"""
BlockForm_PublicShip_Exp_TriggerQuest#0,"""<yellow>トリガークエストを受注中です！<c><br><br>共通シップへ移動すると、パーティーから<br>自動的に脱退し、マルチパーティーも含め<br><yellow>クエスト参加者全員がクエスト破棄となります。<c><br><br>また、クエスト内で得られる効果も<br>すべて消えてしまいます。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>トラブルの原因になる可能性があります。<br>ご注意ください。<c><br><br>共通シップに移動しますか？"""
BlockForm_MyShip_Exp#0,"""Al cambiar de bloque, vas a ser removido<br>automaticamente de tu grupo.<br>Solicitudes aceptadas seran descartadas.<br><br>Si tienes ordenes de clientes no se perderan los progresos."""
BlockForm_MyShip_Exp_TriggerQuest#0,"""<yellow>トリガークエストを受注中です！<c><br><br>所属シップへ移動すると、パーティーから<br>自動的に脱退し、マルチパーティーも含め<br><yellow>クエスト参加者全員がクエスト破棄となります。<c><br><br>また、クエスト内で得られる効果も<br>すべて消えてしまいます。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>トラブルの原因になる可能性があります。<br>ご注意ください。<c><br><br>所属シップに移動しますか？"""
BlockForm_Move_Exp#0,"""Al cambiar de bloque, vas a ser removido<br>automaticamente de tu grupo.<br>Solicitudes aceptadas seran descartadas.<br>Si tienes ordenes de clientes no se perderan los progresos.<br>"""
BlockForm_Move_Exp_TriggerQuest#0,"""<yellow>トリガークエストを受注中です！<c><br><br>ブロックを移動すると、パーティーから<br>自動的に脱退し、マルチパーティーも含め<br><yellow>クエスト参加者全員がクエスト破棄となります。<c><br><br>また、クエスト内で得られる効果も<br>すべて消えてしまいます。<br><br><red>クエストを開始するために消費した<br>メセタやアイテムは返却されませんので、<br>トラブルの原因になる可能性があります。<br>ご注意ください。<c><br>"""
BlockForm_ToMyShip_Exp#0,"""所属シップへ移動すると、<br>マッチングがキャンセルされます。<br><br>所属シップに移動しますか？"""
BlockForm_ToChallengeLobby_Exp#0,"""チャレンジロビーへ移動すると、<br>マッチングがキャンセルされます。<br><br>チャレンジロビーに移動しますか？"""
BlockForm_ToBattleLobby_Exp#0,"""バトルロビーへ移動すると、参加している<br>パーティーから自動的に脱退し、<br>受注中のクエストも破棄されます。<br><br>また、クエストを受けている場合、<br>クエスト内で得られる効果も<br>消えてしまいます。<br><red>※すべてのバトルブロックが撮影可能です。<br>\u3000生放送などに自分のキャラが映ることがあります。<c><br><br>バトルロビーに移動しますか？"""
