Title#0,"""アークス訓練所"""
FightAlone_Num#0,"""----"""
ManyKillWeapon#0,"""$(0)で最多撃破"""
ManyDeathWeapon#0,"""$(0)により最多ダウン"""
WeaponType_Sword#0,"""ソード"""
WeaponType_WiredLance#0,"""ワイヤードランス"""
WeaponType_Partisan#0,"""パルチザン"""
WeaponType_TwinDagger#0,"""ツインダガー"""
WeaponType_DoubleSaber#0,"""ダブルセイバー"""
WeaponType_Knuckle#0,"""ナックル"""
WeaponType_Saber#0,"""ガンスラッシュ"""
WeaponType_AssaultRifle#0,"""ライフル"""
WeaponType_Launcher#0,"""グレネードランチャー"""
WeaponType_TwinMachinegun#0,"""ツインマシンガン"""
WeaponType_Rod#0,"""ロッド"""
WeaponType_Talis#0,"""タリス"""
WeaponType_Wand#0,"""ウォンド"""
WeaponType_Katana#0,"""カタナ"""
WeaponType_CompoundBow#0,"""バレットボウ"""
WeaponType_JetBoots#0,"""ジェットブーツ"""
WeaponType_DualBlade#0,"""デュアルブレード"""
WeaponType_Takt#0,"""タクト"""
Kill_Num#0,"""$(0)回、撃破"""
RainbowCrystal_Num#0,"""虹エンブレムを$(0)個以上GET"""
EnemyCrystal_Num#0,"""敵エンブレムを$(0)個以上GET"""
KillBeforeOneDie_Num#0,"""ダウンまで$(0)回、連続撃破"""
GetOrb_Num#0,"""$(0)<pict poka_btl_coin>"""
Arp#0,"""アリーナポイント情報"""
Rank#0,"""ランク"""
GetArp#0,"""獲得アリーナポイント"""
TotalArp#0,"""所持アリーナポイント"""
OrbInfo#0,"""バトルコイン情報"""
GetOrbBase#0,"""基本獲得バトルコイン"""
QuestBonus#0,"""イベントボーナス"""
ClearBonus#0,"""報酬ボーナス"""
TotalBonus#0,"""合計ボーナス"""
GetArpNum#0,"""$(0)ARP"""
BonusPoint#0,"""+$(0)%"""
GetOrbBase_Num#0,"""$(0)<pict poka_btl_coin>"""
Ranking#0,"""LEGENDランキング"""
Place#0,"""位"""
OtherClearTaskNum#0,"""ほか$(0)件"""
MvpPlayerName#0,"""プレイヤー名"""
MvpScore#0,"""記録"""
MvpCoin#0,"""獲得量"""
TotalTaskOrb#0,"""バトル実績獲得バトルコイン"""
ClearTaskNone#0,"""達成したバトル実績はありません"""
NextRankPoint#0,"""次のランクまで"""
WinLose#0,"""勝敗結果"""
MvpScoreNone#0,"""なし"""
ResultTitle#0,"""バトルリザルト"""
OldResultTitle#0,"""前回のバトルリザルト"""
MultiDeathInfo#0,"""戦闘不能回数"""
