PartyJoin#0,"""/toge /ci2 1 ผมจะพยายามครับ!"""
LevelUp#7,"""หึหึ นายดูแข็งแกร่งขึ้นนะ"""
InvokeSkill1#7,"""ฮะ!"""
InvokeSkill2#7,"""ย้าาา!"""
InvokeSkill3#7,"""รับนี่ไป!"""
TechFire#7,"""ฮ้าาา!"""
TechIce#7,"""ย้าาา!"""
TechThunder#7,"""ฮ้าาา!"""
TechWind#7,"""ฮะ!"""
TechLight#7,"""ย้าาา!"""
TechDark#7,"""ฮ้าาา...!"""
PBFull#7,"""นายอาจจะต้องถอยไปหน่อยนะ"""
PBRelease#7,"""แบบนี้เป็นไงล่ะ?!"""
Avoid#7,"""...อุ๊ย"""
HealOther#7,"""ฉันรักษาให้นะ"""
BuffOther#7,"""นี่"""
HP30#7,"""...ยังไม่จบหรอกนะ"""
HP10#7,"""นี่มัน... อาจจะจบไม่สวยแน่ๆ"""
ItemRare#7,"""โอ้ ดีจัง"""
DamageSmall#7,"""อึก!"""
DamageMiddle#7,"""อั้ก!"""
DamageLarge#7,"""อ้าก!"""
MemberDamaged#7,"""นายไม่เป็นไรนะ?!"""
MemberDead#7,"""ทะ... ทำใจดีๆ ไว้!"""
Resurrect#7,"""ไปกันเถอะ"""
PartyJoin#16,"""มาร่วมมือกันเถอะ"""
DestroyEnemy1#8,"""เยี่ยม!"""
DestroyEnemy2#8,"""ดูดีเลยนี่"""
DestroyEnemy3#8,"""สุดยอด!"""
CondFreeze#8,"""หนะ หนาว...!"""
CondBurn#8,"""ระ ร้อน ร้อน ร้อน...!"""
CondShock#8,"""...ขะ ขยับ มะ ไม่...!"""
CondPoison#8,"""รู้สึกไม่ค่อยดีเลย..."""
CondPanic#8,"""อะ... เกิดอะไรขึ้นเนี่ย?"""
CondStan#8,"""อึก..."""
CondMirage#8,"""กะ การเล็งของฉัน..."""
CondInjury#8,"""โอ๊ย!"""
Die#8,"""ขอโทษนะ... ทุกคน..."""
ThankHeal#8,"""ขอบคุณ!"""
ThankBuff#8,"""ช่วยได้เยอะเลย!"""
ThankCure#8,"""ขอบคุณ!"""
DefeatEnemy#8,"""เยี่ยม!"""
LevelUp#8,"""เยี่ยม! คุณแข็งแกร่งขึ้นแล้วนะ!"""
InvokeSkill1#8,"""ย้ากกก!"""
InvokeSkill2#8,"""ตรงนั้นแหละ!"""
InvokeSkill3#8,"""หลบให้พ้นสิ!"""
TechFire#8,"""ย้ากกก!"""
TechIce#8,"""ย่ะ!"""
TechThunder#8,"""ย้าาา!"""
TechWind#8,"""ย่าห์!"""
TechLight#8,"""ต้าาา!"""
TechDark#8,"""ต่าห์!"""
PBFull#8,"""เอาล่ะ พร้อมลุยแล้ว!"""
PBRelease#8,"""คราวนี้เราชนะแน่!"""
Avoid#8,"""ฮึบ...!"""
HealSelf#3,"""ต้องรักษาตัวเองก่อน!"""
BuffSelf#3,"""เอาล่ะนะ!"""
HealOther#8,"""เป็นอะไรไหม? นี่น่าจะช่วยได้นะ"""
BuffOther#8,"""รับไป!"""
HP30#8,"""ฉันเพิ่งจะเริ่มเอง...!"""
HP10#8,"""ต้องทำอะไรสักอย่างแล้ว..."""
ItemRare#8,"""ว้าว เจอของดีแฮะ!"""
DamageSmall#8,"""โอ๊ย!"""
DamageMiddle#8,"""อั้ก!"""
DamageLarge#8,"""อ๊ากกก!"""
MemberDamaged#8,"""ไม่เป็นไรใช่ไหม?!"""
MemberDead#8,"""อะไรนะ?! ไม่..."""
Resurrect#8,"""ฉันยังลุยต่อไหว!"""
PartyJoin#17,"""มาลุยกันเถอะ!"""
DestroyEnemy1#9,"""ทำได้สวย"""
DestroyEnemy2#9,"""น่าประทับใจมาก"""
DestroyEnemy3#9,"""แน่นอนอยู่แล้ว"""
CondFreeze#9,"""อ้าก!"""
CondBurn#9,"""อ๊ากก!"""
CondShock#9,"""อึก...!"""
CondPoison#9,"""อั้ก...!"""
CondPanic#9,"""อ้าา!"""
CondStan#9,"""...อั้ก!"""
CondMirage#9,"""หืม?!"""
CondInjury#9,"""อืม...!"""
Die#9,"""ยัง... แข็งแกร่งไม่พอสินะ..."""
ThankHeal#9,"""ขอบคุณมาก"""
ThankBuff#9,"""นี่จะต้องมีประโยชน์แน่"""
ThankCure#9,"""ขอบคุณสำหรับสิ่งนี้นะ"""
DefeatEnemy#9,"""เคลียร์พื้นที่เรียบร้อย"""
LevelUp#9,"""ดูเหมือนนายจะแข็งแกร่งขึ้นนะ"""
InvokeSkill1#9,"""ย้า!"""
InvokeSkill2#9,"""ฮะ!"""
InvokeSkill3#9,"""อยู่นิ่งๆ สิ!"""
PBFull#9,"""เตรียมการเสร็จสิ้น"""
PBRelease#9,"""นี่คือพลังของฉัน!"""
Avoid#9,"""ฮึบ!"""
HealSelf#4,"""กำลังรักษา!"""
BuffSelf#4,"""เตรียมตัวไว้ก่อนไม่เสียหาย"""
HealOther#9,"""ไม่เป็นไรใช่ไหม?"""
BuffOther#9,"""นี่พอจะช่วยได้ไหม?"""
HP30#9,"""ฉันยังสู้ต่อไหว"""
HP10#9,"""ฉันตกอยู่ในสถานการณ์ลำบากแล้วสิ..."""
ItemRare#9,"""โอ้ ช่างแปลกประหลาดดีแท้"""
DamageSmall#9,"""ก็แค่แผลถลอกน่า"""
DamageMiddle#9,"""แค่นี้จิ๊บจ๊อย!"""
DamageLarge#9,"""ยอมรับเลยว่าอันนี้เจ็บจริง!"""
MemberDamaged#9,"""โปรดระวังตัวด้วย"""
MemberDead#9,"""ฉันยังแข็งแกร่งไม่พอ..."""
Resurrect#9,"""มาเอาคืนพวกมันให้สาสมกันเถอะ"""
PartyJoin#18,"""มาร่วมมือกันเถอะ"""
DestroyEnemy1#10,"""เยส!"""
DestroyEnemy2#10,"""หมอบไปซะ!"""
DestroyEnemy3#10,"""เสร็จไปอีกหนึ่ง!"""
CondFreeze#10,"""เหวอ--"""
CondBurn#10,"""อ๊าก..."""
CondShock#10,"""ขะ ขยับไม่ได้..."""
CondPoison#10,"""อั้ก..."""
CondPanic#10,"""อะ-อ๊าก! ถอยไปนะ!"""
CondStan#10,"""อึก..."""
CondMirage#10,"""อูย... เวียนหัว..."""
CondInjury#10,"""อ๊าก!!"""
Die#10,"""...อะไรกันเนี่ย..."""
ThankHeal#10,"""ต้องขอบคุณนายเลย"""
ThankBuff#10,"""ขอบคุณที่ช่วยสนับสนุนนะ"""
ThankCure#10,"""ขอบใจมาก!"""
DefeatEnemy#10,"""คงจบแค่นี้ล่ะมั้ง"""
LevelUp#10,"""นายมีศักยภาพไม่เบาเลยนะ"""
InvokeSkill1#10,"""ฮะ!"""
InvokeSkill2#10,"""ย้า!"""
InvokeSkill3#10,"""กินนี่ซะ!"""
PBFull#10,"""อยากเห็นอะไรเจ๋งๆ ไหม?"""
PBRelease#10,"""เตรียมตัวรับมือให้ดี"""
Avoid#10,"""เหวอ!"""
HealOther#10,"""ทำใจดีๆ ไว้ล่ะ"""
BuffOther#10,"""นี่น่าจะช่วยได้นะ"""
HP30#10,"""ชักจะเริ่มกังวลแล้วสิ..."""
HP10#10,"""ขืนเป็นแบบนี้ฉันรับมือไม่ไหวแน่"""
ItemRare#10,"""ใช้มันให้คุ้มค่าล่ะ เข้าใจไหม?"""
DamageSmall#10,"""โอ๊ย..."""
DamageMiddle#10,"""อั้ก..."""
DamageLarge#10,"""เหวอ--?!"""
MemberDamaged#10,"""ระวังการโจมตีพวกนั้นด้วยล่ะ"""
MemberDead#10,"""ไม่จริงน่า เป็นไปไม่ได้!"""
Resurrect#10,"""ตอนนี้เราหายกันแล้ว ถึงเวลาเอาจริงสักที"""
PartyJoin#19,"""ดีใจที่ได้เจอนะ"""
DestroyEnemy1#11,"""น่าประทับใจมาก"""
DestroyEnemy2#11,"""โอ้โฮ"""
DestroyEnemy3#11,"""ไม่มีโอกาสได้รอดหรอก"""
CondFreeze#11,"""ชิ!"""
CondBurn#11,"""หนอย แกนะแก..."""
CondShock#11,"""ว้าก!"""
CondPoison#11,"""อั้ก..."""
CondPanic#11,"""อ๊ากก!!"""
CondStan#11,"""ไม่มีทาง!"""
CondMirage#11,"""เกิดอะไรขึ้นเนี่ย?!"""
CondInjury#11,"""ชิ ท่าทางไม่ดีแล้ว"""
Die#11,"""...ดูเหมือนฉันจะ... ฝีมือตกซะแล้ว..."""
ThankHeal#11,"""ขอบใจ"""
ThankBuff#11,"""เอาล่ะ มาดูผลลัพธ์กันหน่อย"""
ThankCure#11,"""ขอบคุณมาก"""
DefeatEnemy#11,"""เสร็จเรื่องสักที"""
LevelUp#11,"""ตอนนี้นายแค่กำลังโชว์ออฟชัดๆ"""
InvokeSkill1#11,"""ย้าก!"""
InvokeSkill2#11,"""ยังเร็วไม่พอหรอก!"""
InvokeSkill3#11,"""หลบให้พ้นสิ!"""
PBFull#11,"""พร้อมเสมอเมื่อนายต้องการ"""
PBRelease#11,"""ยัดนี่ลงคอไปซะ!"""
Avoid#11,"""พยายามได้ดีนี่!"""
HealSelf#5,"""เกือบไปแล้วเชียว"""
BuffSelf#5,"""ระวังตัวไว้หน่อยก็ดี"""
HealOther#11,"""นายจะต้องไม่เป็นไร"""
BuffOther#11,"""เอาล่ะ มาดูกันว่านายมีดีอะไรบ้าง"""
HP30#11,"""ฉันยังไม่จบแค่นี้หรอก!"""
HP10#11,"""...แหม ให้ตายสิ..."""
ItemRare#11,"""นั่นไง เจอของดีเข้าให้แล้ว!"""
DamageSmall#11,"""แค่รอยขีดข่วนน่า"""
DamageMiddle#11,"""อั้ก!!"""
DamageLarge#11,"""อึก... อาจจะกำลังแย่แล้วสิเนี่ย"""
MemberDamaged#11,"""ระวังตัวด้วย!"""
MemberDead#11,"""โอ้ ล้อกันเล่นใช่ไหมเนี่ย!"""
Resurrect#11,"""ฉันรู้อยู่แล้วว่านายต้องรอดมาได้"""
PartyJoin#20,"""ต้องการฉันงั้นเหรอ?"""
DestroyEnemy1#12,"""เยี่ยมมาก!"""
DestroyEnemy2#12,"""งดงามจริงๆ"""
DestroyEnemy3#12,"""มันแน่อยู่แล้ว!"""
CondFreeze#12,"""...อี๋..."""
CondBurn#12,"""โอ๊ะโอ!"""
CondShock#12,"""อะ-อ๊าก--!"""
CondPoison#12,"""แหวะ..."""
CondPanic#12,"""อะ... อ๊าก!..."""
CondStan#12,"""...หา...?"""
CondMirage#12,"""อะไรเนี่ย--"""
CondInjury#12,"""อั้ก...!"""
Die#12,"""ขอโทษนะ... ฉันขอ... พักสักครู่..."""
ThankHeal#12,"""ขอบคุณ!"""
ThankBuff#12,"""เป็นพระคุณอย่างยิ่ง!!"""
ThankCure#12,"""ค่อยดีขึ้นหน่อย!!"""
DefeatEnemy#12,"""เรียบร้อย"""
LevelUp#12,"""อาฮะ โชว์ออฟซะให้พอตอนที่ยังมีโอกาสนะ!"""
InvokeSkill1#12,"""ฮึยย่ะ!"""
InvokeSkill2#12,"""ย้า!"""
InvokeSkill3#12,"""เสร็จฉันล่ะ!"""
PBFull#12,"""ฉันรอเวลานี้มานานแล้ว"""
PBRelease#12,"""ถึงเวลาทุ่มสุดตัวแล้ว!"""
Avoid#12,"""...ฮะ!"""
HealSelf#6,"""เหมือนได้เกิดใหม่เลย"""
BuffSelf#6,"""...เผื่อไว้ก่อนล่ะนะ"""
HealOther#12,"""แค่นี้พอไหม?"""
BuffOther#12,"""เอ้านี่"""
HP30#12,"""ต้องทำให้มันคุ้มค่าหน่อยแล้ว"""
HP10#12,"""แฮ่ก... ยังหายใจอยู่...!"""
ItemRare#12,"""โอ้ ตาแหลมนี่"""
DamageSmall#12,"""โอ๊ย"""
DamageMiddle#12,"""โอ๊ยย"""
DamageLarge#12,"""อั้ก!"""
MemberDamaged#12,"""โอ๊ะ ไม่เป็นไรใช่ไหม?!"""
MemberDead#12,"""ไม่นะ..."""
Resurrect#12,"""เอาล่ะ ยกที่สอง!"""
PartyJoin#21,"""มาพยายามให้เต็มที่กันเถอะ!"""
DestroyEnemy1#13,"""ร่วงไปหนึ่่งงง!"""
DestroyEnemy2#13,"""ช่ายยย จัดการเจ้านั่นเรียบร้อย!"""
DestroyEnemy3#13,"""โอเคคค!"""
CondFreeze#13,"""บรื๋อออ!"""
CondBurn#13,"""โอ๊ย! อ๊า! ร้อน!"""
CondShock#13,"""ชะ-ชะ-ช็อต!"""
CondPoison#13,"""โฮซานเนียรู้สึกไม่ค่อยดีเลยยย"""
CondPanic#13,"""อ๊ะฮะฮะฮ่า!"""
CondStan#13,"""โฮซานเนีย... เห็นภาพซ้อนเหรอเนี่ย?"""
CondMirage#13,"""โห..."""
CondInjury#13,"""อา ท่าทางจะแย่ซะแล้วสิเนี่ยยย"""
Die#13,"""โฮซานเนีย... ของีบตรงนี้สักแป๊บนะ..."""
ThankHeal#13,"""ขอบคุณณณ!"""
ThankBuff#13,"""โฮซานเนียรู้สึกแข็งแกร่งขึ้นนน!"""
ThankCure#13,"""ขอบคุณณณ!"""
DefeatEnemy#13,"""โอ๊ะ ไม่มีศัตรูแล้วเหรอ?"""
LevelUp#13,"""ยินดีด้วยยย"""
InvokeSkill1#13,"""ฮ้าาา!"""
InvokeSkill2#13,"""ย้าาา!"""
InvokeSkill3#13,"""ลุยกันเลยยย!"""
TechFire#9,"""มาเพิ่มความร้อนแรงกันหน่อยยย!"""
TechIce#9,"""มาทำให้เย็นลงหน่อยดีกว่าาา!"""
TechThunder#9,"""รับสายฟ้าหน่อยเป็นงายยย?"""
TechWind#9,"""สายลม... กำลังคำรามมม"""
TechLight#9,"""เปล่งประกายยย"""
TechDark#9,"""ความมืดนี่น่ากลัวจังงง"""
PBFull#13,"""พร้อมเสมอเมื่อคุณต้องการรร"""
PBRelease#13,"""ตู้มมมมม"""
Avoid#13,"""พลาดแล้ววว!"""
HealSelf#7,"""อันตรายยยจังเลยนะเนี่ย"""
BuffSelf#7,"""โฮซานเนีย ทุบเลยยย!"""
HealOther#13,"""ความเจ็บปวดจงหายไปปป!"""
BuffOther#13,"""กระตุ้นหน่อยยย!"""
HP30#13,"""โอ๊ยๆๆ"""
HP10#13,"""โอ้ แย่แล้ววว"""
ItemRare#13,"""โอ้ โชคดีจังงง"""
DamageSmall#13,"""โอ๊ย!"""
DamageMiddle#13,"""หนอยแน่แกกก..."""
DamageLarge#13,"""เจ็บนะเนี่ยยย!"""
MemberDamaged#13,"""อา! ไม่เป็นไรใช่หม้ายยย?"""
MemberDead#13,"""ไปช่วยไม่ทันนนซะแล้ว..."""
Resurrect#13,"""ขอบคุณที่ช่วยน้าาา"""
PartyJoin#22,"""ขอเข้าร่วมด้วยคนได้ไหม?"""
DestroyEnemy1#14,"""จังหวะดีเลย!"""
DestroyEnemy2#14,"""ยอดเยี่ยม ยอดเยี่ยมมาก"""
DestroyEnemy3#14,"""เหนือชั้นไปอีกขั้นนะ"""
CondFreeze#14,"""อา--"""
CondBurn#14,"""โอ๊ย--"""
CondShock#14,"""ไม่รู้สึกถึงมือตัวเองเลย..."""
CondPoison#14,"""อุ๊บ..."""
CondPanic#14,"""โอ้..."""
CondStan#14,"""อึก..."""
CondMirage#14,"""หือ..."""
CondInjury#14,"""อ๊ะโอ..."""
Die#14,"""ขอโทษที ฉันคงมาได้แค่นี้... แล้วล่ะ..."""
ThankHeal#14,"""อา ขอบใจนะ"""
ThankBuff#14,"""โอ้ นั่นช่วยได้เยอะเลย"""
ThankCure#14,"""รู้สึกดีขึ้นเยอะเลย"""
DefeatEnemy#14,"""อา ต้องแบบนี้สิ"""
LevelUp#14,"""วิเศษ วิเศษมาก"""
InvokeSkill1#14,"""ย่าห์"""
InvokeSkill2#14,"""ฮึบ"""
InvokeSkill3#14,"""ฮะ"""
TechFire#10,"""ต่าห์"""
TechIce#10,"""ย่าห์"""
TechThunder#10,"""โฮะ"""
TechWind#10,"""ฮะ"""
TechLight#10,"""ฮ้า"""
TechDark#10,"""ฟู่"""
PBFull#14,"""คุณสั่งการมาเลย"""
PBRelease#14,"""ถึงเวลาปลดปล่อยสักหน่อยแล้ว"""
Avoid#14,"""อุ๊ปส์"""
HealSelf#8,"""ฉันคงต้องใช้เจ้านี่ตอนนี้แล้วล่ะ"""
BuffSelf#8,"""และ... เอาล่ะ"""
HealOther#14,"""ให้ฉันรักษาให้นะ"""
BuffOther#14,"""อย่าออมมือให้ฉันล่ะทีนี้"""
HP30#14,"""ใจเย็นไว้... ใจเย็นไว้..."""
HP10#14,"""โอเค ตอนนี้เริ่มกังวลแล้วสิ"""
ItemRare#14,"""โอ้โห เจอของดีนี่"""
DamageSmall#14,"""อะ--"""
DamageMiddle#14,"""อึก--"""
DamageLarge#14,"""...อันนั้นเจ็บเอาเรื่องนะ"""
MemberDamaged#14,"""คุณไม่เป็นไรนะ?!"""
MemberDead#14,"""...ฉันจะแก้แค้นให้คุณเอง..."""
Resurrect#14,"""ขอบคุณมาก"""
PartyJoin#23,"""เอาล่ะ มาเริ่มกันเลยดีกว่า"""
DestroyEnemy1#15,"""จัดการได้สวย"""
DestroyEnemy2#15,"""น่าประทับใจมาก"""
DestroyEnemy3#15,"""อา เป็นการแสดงฝีมือที่ยอดเยี่ยมมาก"""
CondFreeze#15,"""อึกกก..."""
CondBurn#15,"""อั้ก!"""
CondShock#15,"""อึ-...อึก..."""
CondPoison#15,"""อืม... แหวะ..."""
CondPanic#15,"""อึก..."""
CondStan#15,"""อ้าก!"""
CondMirage#15,"""กะ-การมองเห็นของฉัน..."""
CondInjury#15,"""อุ๊บ"""
Die#15,"""ต้องขออภัย แต่ฉันคงต้องล่าถอยแล้ว"""
ThankHeal#15,"""ซาบซึ้งใจจริงๆ"""
ThankBuff#15,"""ขอขอบคุณ"""
ThankCure#15,"""ขอบคุณ"""
DefeatEnemy#15,"""เอาล่ะ จัดการเรียบร้อย"""
LevelUp#15,"""คุณแข็งแกร่งขึ้นไปอีกขั้นแล้วนะ"""
InvokeSkill1#15,"""ฮ้าาา!"""
InvokeSkill2#15,"""ลุยล่ะนะ!"""
InvokeSkill3#15,"""หวังว่าจะพร้อมรับมือนี่นะ!"""
TechFire#11,"""ต้าาา!"""
TechIce#11,"""ฮะ!"""
TechThunder#11,"""ฮึ่ม!!"""
TechWind#11,"""โต๊ะ!"""
TechLight#11,"""ฮร้าก!"""
TechDark#11,"""ฮ้าาา...!"""
PBFull#15,"""ฉันจัดการเอง"""
PBRelease#15,"""จงสาปแช่งตัวเองเถอะที่มายืนขวางหน้าฉัน"""
Avoid#15,"""หึ!"""
HealOther#15,"""ฉันจะรักษารอยแผลให้คุณเอง"""
BuffOther#15,"""ใช้มันให้เป็นประโยชน์ล่ะ"""
HP30#15,"""เราอาจจะต้องเปลี่ยนยุทธวิธี..."""
HP10#15,"""สภาพฉันไม่ดีเลย..."""
ItemRare#15,"""อา เจอของหายากเข้าให้แล้ว"""
DamageSmall#15,"""อึก!"""
DamageMiddle#15,"""อั้ก!"""
DamageLarge#15,"""ชิ!"""
MemberDamaged#15,"""ไม่เป็นไรใช่ไหม?!"""
MemberDead#15,"""ฉันนี่ประมาทจริงๆ..."""
Resurrect#15,"""ติดหนี้คุณแล้วสิ!"""
PartyJoin#24,"""ฉันจะไปเป็นเพื่อนคุณเอง"""
DestroyEnemy1#16,"""เป็นไปตามคาด"""
DestroyEnemy2#16,"""ทำได้ดีมาก"""
DestroyEnemy3#16,"""ฉันไม่มีข้อกังขาเลย"""
CondFreeze#16,"""อึก...!"""
CondBurn#16,"""อั้ก...!"""
CondShock#16,"""อึก--!!"""
CondPoison#16,"""ฮ้าาา..."""
CondPanic#16,"""ฮะ..."""
CondStan#16,"""อ้าก...!"""
CondMirage#16,"""อะไรเนี่ย?!"""
CondInjury#16,"""อั้ก!!"""
Die#16,"""ขอโทษด้วย แต่... ดูเหมือนฉันจะมาได้แค่นี้ล่ะ..."""
ThankHeal#16,"""ซาบซึ้งใจจริงๆ"""
ThankBuff#16,"""ขอบใจ"""
ThankCure#16,"""ขอบใจนะ"""
DefeatEnemy#16,"""คงจบแค่นี้ล่ะมั้ง"""
LevelUp#16,"""คุณแข็งแกร่งขึ้นอีกแล้วเหรอ?"""
InvokeSkill1#16,"""ย้าาา!"""
InvokeSkill2#16,"""ตรงนั้นแหละ!"""
InvokeSkill3#16,"""แล้วก็รับนี่ไป!"""
TechFire#12,"""ต้าาา!"""
TechIce#12,"""ฮะ!"""
TechThunder#12,"""ฮึ่ม!!"""
TechWind#12,"""ฮ้าาา!"""
TechLight#12,"""ย่าห์!"""
TechDark#12,"""ฮ้าาา!"""
PBFull#16,"""พร้อมลุยแล้ว"""
PBRelease#16,"""รับการโจมตีที่รุนแรงที่สุดของฉันไปซะ!"""
Avoid#16,"""เฮอะ!"""
HealSelf#9,"""ให้ตายสิ"""
BuffSelf#9,"""เอาล่ะ เริ่มกันเลยดีไหม?"""
HealOther#16,"""อย่าประมาทล่ะ"""
BuffOther#16,"""ยังไหวอยู่ไหม?"""
ItemRare#16,"""คุณเจอของดีเข้าแล้วล่ะ"""
DamageSmall#16,"""อั้ก!"""
DamageMiddle#16,"""อึก...!"""
DamageLarge#16,"""อ้าก!"""
MemberDamaged#16,"""ไม่เป็นไรใช่ไหม?!"""
MemberDead#16,"""ไม่นะ... ฉันยังแข็งแกร่งไม่พอ..."""
Resurrect#16,"""กลับเข้าสู่การต่อสู้!"""
PartyJoin#25,"""ไปด้วยกันเถอะ"""
DestroyEnemy1#17,"""แบบนี้แหละที่ฉันอยากเห็น"""
DestroyEnemy2#17,"""น่าประทับใจมาก"""
DestroyEnemy3#17,"""ฉันไม่มีข้อกังขาเลย"""
CondFreeze#17,"""อึก...!"""
CondBurn#17,"""อั้ก...!"""
CondShock#17,"""อึก..."""
CondPoison#17,"""ฮ้าาา..."""
CondPanic#17,"""ฮะ..."""
CondStan#17,"""อ้าก...!"""
CondMirage#17,"""อะไรน่ะ...?!"""
CondInjury#17,"""อั้ก!!"""
Die#17,"""ขอโทษด้วย แต่... ดูเหมือนฉันจะมาได้แค่นี้ล่ะ..."""
ThankHeal#17,"""ซาบซึ้งใจจริงๆ"""
ThankBuff#17,"""ขอบใจ"""
ThankCure#17,"""ขอบใจนะ"""
DefeatEnemy#17,"""คงจบแค่นี้ล่ะมั้ง"""
LevelUp#17,"""คุณแข็งแกร่งขึ้นอีกแล้วเหรอ?"""
InvokeSkill1#17,"""ย้าาา!"""
InvokeSkill2#17,"""ตรงนั้นแหละ"""
InvokeSkill3#17,"""แล้วก็รับนี่ไป!"""
TechFire#13,"""ฮร้าก!"""
TechIce#13,"""ฮะ!"""
TechThunder#13,"""ฮึ่ม!!"""
TechWind#13,"""ฮ้าาา!"""
TechLight#13,"""ย่าห์!"""
TechDark#13,"""ฮ้าาา!"""
PBFull#17,"""พร้อมลุยแล้ว"""
PBRelease#17,"""รับการโจมตีที่รุนแรงที่สุดของฉันไปซะ!"""
Avoid#17,"""เฮอะ!"""
HealSelf#10,"""ให้ตายสิ"""
BuffSelf#10,"""เอาล่ะ เริ่มกันเลยดีไหม?"""
HealOther#17,"""อย่าประมาทล่ะ"""
BuffOther#17,"""ยังไหวอยู่ไหม?"""
ItemRare#17,"""คุณเจอของดีเข้าแล้วล่ะ"""
DamageSmall#17,"""อั้ก!"""
DamageMiddle#17,"""อึก...!"""
DamageLarge#17,"""อ้าก!"""
MemberDamaged#17,"""ไม่เป็นไรใช่ไหม?!"""
MemberDead#17,"""ไม่นะ... ฉันยังแข็งแกร่งไม่พอ..."""
Resurrect#17,"""กลับเข้าสู่การต่อสู้!"""
PartyJoin#26,"""ไปด้วยกันเถอะ"""
DestroyEnemy1#18,"""นายเก่งนี่"""
DestroyEnemy2#18,"""วิเศษมาก"""
DestroyEnemy3#18,"""ฉันคงต้องพยายามตามนายให้ทันแล้วล่ะ"""
CondFreeze#18,"""อั้ก...!"""
CondBurn#18,"""อ๊ากก!"""
CondShock#18,"""อ๊ากก..."""
CondPoison#18,"""หา...?!"""
CondPanic#18,"""อะไรเนี่ย--?!"""
CondStan#18,"""อะไรกันวะเนี่ย?!"""
CondMirage#18,"""เกิดอะไรขึ้นกับฉันเนี่ย?!"""
CondInjury#18,"""อืมม"""
Die#18,"""อั้ก จบแค่นี้สินะ..."""
ThankHeal#18,"""โอ้ ขอบใจสำหรับสิ่งนี้นะ"""
ThankBuff#18,"""ฉันติดหนี้นายครั้งนึงนะ"""
ThankCure#18,"""เป็นหนี้บุญคุณนายเลย"""
DefeatEnemy#18,"""เรียบร้อยไปอีกหนึ่ง"""
LevelUp#18,"""ฉันรอคอยดูความก้าวหน้าของนายในอนาคตนะ"""
InvokeSkill1#18,"""ฮ้าาา!"""
InvokeSkill2#18,"""หลบให้พ้นล่ะ"""
InvokeSkill3#18,"""ยังมีอีกเยอะนะจะบอกให้"""
PBFull#18,"""ฉันพร้อมลุยแล้ว"""
PBRelease#18,"""ฉันจะใส่ทุกอย่างที่มีในการโจมตีครั้งนี้ล่ะ"""
Avoid#18,"""ย่ะ!"""
HealOther#18,"""พยายามระวังตัวให้มากกว่านี้หน่อยสิ"""
BuffOther#18,"""นี่น่าจะช่วยได้สักพักนะ"""
ItemRare#18,"""นั่นดูมีค่าดีนะ"""
DamageSmall#18,"""อั้ก!"""
DamageMiddle#18,"""อึก!"""
DamageLarge#18,"""อ้าก!"""
MemberDamaged#18,"""หลบไม่พ้นสินะ?"""
MemberDead#18,"""ขอโทษนะ ฉันปกป้องนายไว้ไม่ได้..."""
Resurrect#18,"""ถึงเวลาเอาคืนแล้วสินะ..."""
PartyJoin#27,"""มาร่วมมือกันเถอะ"""
DestroyEnemy1#19,"""นายเก่งนี่"""
DestroyEnemy2#19,"""วิเศษมาก"""
DestroyEnemy3#19,"""ฉันคงต้องพยายามตามนายให้ทันแล้วล่ะ"""
CondFreeze#19,"""อั้ก...!"""
CondBurn#19,"""อ๊ากก!"""
CondShock#19,"""อ๊ากก..."""
CondPoison#19,"""หา...?!"""
CondPanic#19,"""อะไรเนี่ย--?!"""
CondStan#19,"""อะไรกันวะเนี่ย?!"""
CondMirage#19,"""เกิดอะไรขึ้นกับฉันเนี่ย?!"""
CondInjury#19,"""อืมม"""
Die#19,"""อั้ก จบแค่นี้สินะ..."""
ThankHeal#19,"""โอ้ ขอบใจสำหรับสิ่งนี้นะ"""
ThankBuff#19,"""ฉันติดหนี้นายครั้งนึงนะ"""
ThankCure#19,"""เป็นหนี้บุญคุณนายเลย"""
DefeatEnemy#19,"""เรียบร้อยไปอีกหนึ่ง"""
LevelUp#19,"""ฉันรอคอยดูความก้าวหน้าของนายในอนาคตนะ"""
InvokeSkill1#19,"""ฮ้าาา!"""
InvokeSkill2#19,"""หลบให้พ้นล่ะ"""
InvokeSkill3#19,"""ยังมีอีกเยอะนะจะบอกให้"""
PBFull#19,"""ฉันพร้อมลุยแล้ว"""
PBRelease#19,"""ฉันจะใส่ทุกอย่างที่มีในการโจมตีครั้งนี้ล่ะ"""
Avoid#19,"""ย่ะ!"""
HealOther#19,"""พยายามระวังตัวให้มากกว่านี้หน่อยสิ"""
BuffOther#19,"""นี่น่าจะช่วยได้สักพักนะ"""
ItemRare#19,"""นั่นดูมีค่าดีนะ"""
DamageSmall#19,"""อั้ก!"""
DamageMiddle#19,"""อึก!"""
DamageLarge#19,"""อ้าก!"""
MemberDamaged#19,"""หลบไม่พ้นสินะ?"""
MemberDead#19,"""ขอโทษนะ ฉันปกป้องนายไว้ไม่ได้..."""
Resurrect#19,"""ถึงเวลาเอาคืนแล้วสินะ..."""
PartyJoin#28,"""มาร่วมมือกันเถอะ"""
DestroyEnemy1#20,"""ไม่เลวเลยนี่"""
DestroyEnemy2#20,"""นายมีฝีมือเหมือนกันนะ"""
DestroyEnemy3#20,"""เยี่ยมมาก"""
CondFreeze#20,"""อา...!"""
