Npc_ShopTrade#0,"""Магазин переработки"""
WlancePA04#1,"""Фотон Арт цепного лэнса.<br>Хватаете противника и размахиваете им, <br>чтобы навредить рядом стоящим врагам."""
WlancePA05#1,"""Фотон Арт цепного лэнса.<br>Захватываете противника и раскручиваете им как волчок.<br>Бьёт ближайших противников."""
WlancePA06#1,"""Фотон Арт цепного лэнса.<br>Хватаете противника и блокируете его электрическими ударами с нанесением урона.<br>Нажатие на кнопку атаки увеличит урон."""
WlancePA07#1,"""Фотон Арт цепного лэнса.<br>Крюк в воздухе использует тело как точку опоры.<br>наносит урон врагам со всех сторон."""
WlancePA08#1,"""Фотон Арт цепного лэнса.<br>Мощный шквал лезвий.<br>Атака заполняет шкалу увеличения урона."""
WlancePA09#1,"""Фотон Арт цепного лэнса.<br>Последовательно атакует противников, удлиняя оружие из неподвижного положения."""
WlancePA10#1,"""Фотон Арт ценпого лэнса.<br>Сильный бросок лезвия в землю.<br> Атакует врагов перед собой."""
WlancePA11#1,"""Фотон Арт цепного лэнса.<br>Атака позволяющая избегать вражеские атаки.<br>Можно изменять направление во время атаки."""
PartisanPA01#1,"""Фотон Арт партизанов.<br>Вращает оружие. <br>Нанося урон окружающим врагам."""
PartisanPA02#1,"""Фотон Арт партизанов.<br>Рассекающая атака.Повторяется несколько раз подрят."""
PartisanPA03#1,"""Фотон Арт партизанов.<br>Захватываете противника<br>и подбрасываете его в небо."""
PartisanPA04#1,"""Фотон Арт партизанов.<br>Несколько раз прокалываете противника,<br>затем бросаете его в любом направлении."""
PartisanPA05#1,"""Фотон Арт партизанов.<br>Запутываете цель причудливыми движениями,<br>во время вращения атакуете противника."""
PartisanPA06#1,"""Фотон Арт партизанов.<br>Быстро атакуете ближайших врагов.<br>Имеет 1 уровень силы."""
PartisanPA07#1,"""Фотон Арт партизанов.<br>Быстрая колющая атака.<br>Имеет 1 уровень силы."""
PartisanPA08#1,"""Фотон Арт партизанов.<br>Дважды рассекаете врага, <br>затем в танце отходите назад."""
PartisanPA09#1,"""Фотон Арт партизанов.<br>Подбрасываете оружие в воздух,<br>создавая дождь из копий наносящих урон противнику."""
PartisanPA10#1,"""Фотон Арт партизанов.<br>Кидаете взрывное копье в противника.<br>Урон зависит от шкалы увеличения урона."""
PartisanPA11#1,"""Фотон Арт партизанов.<br>Накопление фотонов на орудии зависищее от удержание клавиши атаки.<br>После полного насыщения атакуете врага мощным ударом."""
TdaggerPA01#1,"""Фотон Арт парных кинжалов.<br>Прыжки в воздух преследующие цель.<br>Заканчивающиеся мощным ударом при сближении с противником."""
TdaggerPA02#1,"""Фотон Арт парных кинжалов.<br>Кидаете противника в воздух преследуя его.<br>Враг становится беззащитным в воздухе."""
TdaggerPA03#1,"""Фотон Арт парных кинжалов.<br>Хватаете врага с помощью клинков и взмываете вместе с ним в воздух.<br>Бросаете вниз врага с помощью мощного удара."""
TdaggerPA04#1,"""Фотон Арт парных кинжалов.<br>Круговая атака наносящая урон ближайщим<br>врагам с совместным отталкиванием и нанесением урона."""
TdaggerPA05#1,"""Фотон Арт парных кинжалов.<br>Бросаете оба кинжала во врага.<br>Потом возвращаете их обратно."""
TdaggerPA06#1,"""Фотон Арт парных кинжалов.<br>Быстрый флип подкидывающий противника в воздух."""
TdaggerPA07#1,"""Фотон Арт парных кинжалов.<br>Быстрый прыжок к противнику.<br>Последущие два удара отталкивают противника от вас."""
TdaggerPA08#1,"""Фотон Арт парных кинжалов.<br>Свободная атака вашими клинками,<br>создающая торнадо с помощью клинков и наносящая режущие удары противнику."""
TdaggerPA09#1,"""Фотон Арт парных кинжалов.<br>Создаете со спины несколько последущих волн, наносящие урон."""
TdaggerPA10#1,"""Фотон Арт парных кинжалов.<br>Прыгаете к противнику<br>и атакуете его быстрыми ударами."""
TdaggerPA11#1,"""Фотон Арт парных кинжалов.<br>Протыкаете врага с помощью клинков и используете кидающую атаку."""
DsaberPA01#1,"""Фотон Арт двойной глефы.<br>Вы крутитесь вокруг своей оси, держа перед собой оружие, и с быстрой скорость как торпеда летите на врага."""
DsaberPA02#1,"""Фотон Арт двойной глефы.<br>Кидаете врага, быстро перемещаясь к нему, заканчивая мощным ударом в конце."""
DsaberPA03#1,"""Фотон Арт двойной глефы.<br>Быстрая комбинация атак создающая много ударов по врагу перед собой."""
DsaberPA04#1,"""Фотон Арт двойной глефы.<br>Смертельная атака, в виде танца, вызывающая шторм режущих ударов по врагу."""
DsaberPA05#1,"""Фотон Арт двойной глефы.<br>Насаживаете врага на лезвие, игнорируя блок.<br> Бросаете врага в землю."""
DsaberPA06#1,"""Фотон Арт двойной глефы.<br>Подкидываете врага и сами прыгаете с ним.<br>В воздухе ударяете врага сокрушительной волной вниз."""
DsaberPA07#1,"""Фотон Арт двойной глефы.<br>Накопив энергию в клинке, вы кидаете его как смертоносную пилу.<br>Удерживаете кнопку мыши для накопления мощи."""
DsaberPA08#1,"""Фотон Арт двойной глефы.<br>Красивый двойной режущий удар, заканчивающийся изменением вашего направления."""
DsaberPA09#1,"""Фотон Арт двойной глефы.<br>Кидаете вокруг своей оси крутящееся лезвие.<br>Удерживаете кнопку мыши для накопления мощи."""
DsaberPA10#1,"""Фотон Арт двойной глефы.<br>Создаете торнадо с помошью оружия,<br> которое затягивает всех ближайщих врагов."""
DsaberPA11#1,"""Фотон Арт двойной глефы.<br>Вызываете торнадо во врагов, затем активируете его, чтобы нанести мощный урон."""
DsaberPA12#1,"""ダブルセイバーPA12"""
KnucklePA01#1,"""Фотон Арт кастетов.<br>Уклон от атаки и быстрая контратака с использованием своего веса."""
KnucklePA02#1,"""Фотон Арт кастетов.<br>Короткая очередь быстрых ударов опрокидывающая врага."""
KnucklePA03#1,"""Фотон Арт кастетов.<br>Серия мощных ударов."""
KnucklePA04#1,"""Фотон Арт кастетов.<br>Разворот и подкидывающий ударом врага воздух."""
KnucklePA05#1,"""Фотон Арт кастетов.<br>Накапливание энергии для мощного удара перед собой. <br>Удерживаете кнопку атаки для увеличения урона."""
KnucklePA06#1,"""Фотон Арт кастетов.<br>Вы ударяете о землю шокирующим ударом.<br>Эффект шокирования увеличивается если персонаж находится в воздухе."""
KnucklePA07#1,"""Фотон Арт кастетов.<br>Три обратных круговых удара."""
KnucklePA08#1,"""Фотон Арт кастетов.<br>Подброс противника с серией мощных ударов."""
KnucklePA09#1,"""Фотон Арт кастетов.<br>Используя всю силу вашего тела, совершаете мощный удар, пробивающий все блоки."""
KnucklePA10#1,"""Фотон Арт кастетов.<br>Вызывает мощныцй метеоритный дождь ударов по противнику.<br>Мощность увеличивается от удержания кнопки атаки."""
KnucklePA11#1,"""Фотон Арт кастетов.<br>Вы резко приближаете к противнику и наносите два сокрушительных удара."""
GunslashPA01#1,"""Фотон Арт ганслэша.<br>Быстрый прямой удар<br>универсальный, и легкий в использовании<br>фотон арт с большим радиусом<br>в ближнем бою."""
GunslashPA02#1,"""Фотон Арт ганслэша.<br>Быстрые одинаковые удары,<br>сопровождаемые стрельбой.<br> Высокий урон наносимый по одной цели."""
GunslashPA03#1,"""Фотон Арт ганслэша.<br>Подбрасывает цель в воздух, затем стреляет по ней.<br>Очень сильная аката."""
GunslashPA04#1,"""Фотон Арт ганслэша.<br>Прыжок и вращение с лезвием<br>нанося цели рубленые раны."""
GunslashPA05#1,"""Фотон Арт ганслэша.<br>Выстреливает пулю, направленную в цель.<br>может быть заряжена в один этап."""
GunslashPA06#1,"""Фотон Арт ганслэша.<br>Взрывает боеприпас выстрелом,<br>нанося урон всем целям в его области."""
GunslashPA07#1,"""Фотон Арт ганслэша.<br>После режущего удара по врагу,<br>наносит шквал ударов.<br>Завершая комбинацию выстрелом."""
GunslashPA08#1,"""Фотон Арт ганслэша.<br>Прямой удар ногой<br>отталкивает противника<br>после чего производится три выстрела."""
GunslashPA09#1,"""Фотон Арт ганслэша.<br>Используя Ганслэш при стрельбе<br>с особой способностью,<br>режущий и огнестрельный удар создается<br>разрушительная атака абсолютного уничтожения."""
GunslashPA10#1,"""Фотон Арт ганслэша.<br>Атака противника в лоб<br>заряженой атакой."""
GunslashPA11#1,"""Фотон Арт ганслэша.<br>Во время атаки фотон артом<br>смените режим ганслэша, что продолжит комбинацию<br>которая потребит гараздо меньше ПП."""
RiflePA01#1,"""Фотон Арт винтовки.<br>Заменяете магазин бронебойными патронами.<br>Большой урон, но низкая скорострельность."""
RiflePA02#1,"""Фотон Арт винтовки.<br>Заменяете обычные патроны в магазине на взрывные.<br>Взрыв может нанести урон ближайшим целям."""
RiflePA03#1,"""Фотон Арт винтовки.<br>Концентрируете огонь в одну точку.<br>Наносит мощный урон."""
RiflePA04#1,"""Фотон Арт винтовки.<br>Заменяете простые патроны на диффузные,<br>способны поражать несколько целей за один выстрел."""
RiflePA05#1,"""Фотон Арт винтовки.<br>Удерживайте кнопку атаки до полной зарядки, чтобы выстрелить самонаводящимися патронами."""
RiflePA06#1,"""Фотон Арт винтовки.<br>Стреляет в подкате.<br>Комбинация атаки и мобильности."""
RiflePA07#1,"""Фотон Арт винтовки.<br>Подкрадываетесь к врагу,<br>шокируя его выстрелом."""
RiflePA08#1,"""Фотон Арт винтовки.<br>Стреляете в небо, посылая в противника ливень пуль."""
RiflePA09#1,"""Фотон Арт винтовки.<br>Выполняете уклонение, выпуская обойму пуль."""
RiflePA10#1,"""Фотон Арт винтовки.<br>Вызываете мощный выстрел с неба,<br> сфокусированный по позиции цели."""
RiflePA11#1,"""Фотон Арт винтовки.<br>Заряжаете одну пулю, пробивающую все.<br>Пробиваемость увеличивается при зарядке."""
LauncherPA01#1,"""Фотон Арт гранатомёта.<br>Заряжаете гранатомет и<br>выстреливаете неописуемо мощной ракетой."""
LauncherPA02#1,"""Фотон Арт гранатомёта.<br>Выстреливаете тремя ракетами подряд,<br> в одну цель."""
LauncherPA03#1,"""Фотон Арт гранатомёта.<br>Запускаете кластерную бомбу в воздух,<br>которая накрывает зону поражения."""
LauncherPA04#1,"""Фотон Арт гранатомёта.<br>Выстреливаете специальную ракету,<br>которая при столкновении взрывается несколько раз."""
LauncherPA05#1,"""Фотон Арт гранатомёта.<br>Смело приближаетесь к противнику<br>для проведения выстрела в упор."""
LauncherPA06#1,"""Фотон Арт гранатомёта.<br>Передвигаетесь при помощи взрывов гранат,<br>чтобы протаранить врага."""
LauncherPA07#1,"""Фотон Арт гранатомёта.<br>Делаете мощный замах, используя вес оружия."""
LauncherPA08#1,"""Фотон Арт гранатомёта.<br>Выстреливаем ракету приманку, которая детонирует со временем.<br>Не увеличивается урон от Just Attacks."""
LauncherPA09#1,"""Фотон Арт гранатомёта.<br>Заряжаете ваш гранатомет специальным магазином,<br>чтобы стрелять непрерывной струей огня."""
LauncherPA10#1,"""Фотон Арт гранатомёта.<br>Выстреливаете мощную, но медленную ракету.<br>Чтобы увеличить дальность, удерживайте кнопку атаки."""
LauncherPA11#1,"""Фотон Арт гранатомёта.<br>Плотный огонь как у Фотонной пушки.<br>Для продолжения стрельбы удерживайте кнопку атаки."""
MachinegunPA01#1,"""Фотон Арт двойных ПП.<br>Делаете мощный удар в противника и под в воздух.<br>Сила заряда увеливает мощь."""
MachinegunPA02#1,"""Фотон Арт двойных ПП.<br>Опрокидываете цель и обрушиваете на нее ливень из пуль.<br>Урон уверличивается от заряженого гира."""
MachinegunPA03#1,"""Фотон Арт двойных ПП.<br>Сокращаете дистанцию между вами и целью, и наносите мощнй удар по врагу."""
MachinegunPA04#1,"""Фотон Арт двойных ПП.<br>Делаете выпад вперед при замедленном времени и наносите урон противникам вокруг вас."""
MachinegunPA05#1,"""Фотон Арт двойных ПП.<br>Автоматический огонь обоями пистолетами. Можно передвигаться во время стрельбы.<br>Частое нажатие скилла увеличивает скорострельность."""
MachinegunPA06#1,"""Фотон Арт двойных ПП.<br>Два мощных последовательных выстрела. Использование в воздухе увеличивает скорость атаки."""
MachinegunPA07#1,"""Фотон Арт двойных ПП.<br>Мощная последовательная атака, при которой каждый следующий выстрел наносит больший урон."""
MachinegunPA08#1,"""Фотон Арт двойных ПП.<br>Круговая атака ближнего боя, оглушающая противников вокруг вас."""
MachinegunPA09#1,"""Фотон Арт двойных ПП.<br>Мощная последовательность атак ближнего и дальнего боя.<br>Полная зарядка дает максимальнй урон."""
MachinegunPA10#1,"""Фотон Арт двойных ПП.<br>Создаете сферу из пуль,<br>которая превращается в сильную одиночную атаку."""
MachinegunPA11#1,"""Фотон Арт двойных ПП.<br>Значительно сокращаете дистанцию между вами и целью <br> и заканчиваете быстрой атакой из обеих пистолетов."""
KatanaPA01#1,"""Фотон Арт катаны.<br>Прыжок и преследование противника по воздуху с последующей атакой."""
KatanaPA02#1,"""Фотон Арт катаны.<br>Подбрасываете цель в воздух, затем бросает на землю и снова подбрасывает."""
KatanaPA03#1,"""Фотон Арт катаны.<br>Сосредотачиваетесь и быстро рубите все вокруг."""
KatanaPA04#1,"""Фотон Арт катаны.<br>Принимает нужную позицию и разрезает врага с невероятной скоростью."""
KatanaPA05#1,"""Фотон Арт катаны.<br>Бросает катану вперед, и она режет все на своем пути."""
KatanaPA06#1,"""Фотон Арт катаны.<br>Рывок вперед с нанесением множества ударов."""
KatanaPA07#1,"""Фотон Арт катаны.<br>Выпускаете вертикальную волну вперед, которая наносит урон врагам."""
KatanaPA08#1,"""Фотон Арт катаны.<br>Накапливаете заряд скилла, затем делаете резкий рывок вперед с 3 последовательными ударами."""
KatanaPA09#1,"""Фотон Арт катаны.<br>Концентрируете фотоны в катане, затем делаете мощный удар.<br>Наибольший урон идет при использовании Katana Gear."""
KatanaPA10#1,"""Фотон Арт катаны.<br>Create a shockwave that halts movement in the immediate area by drawing your sword at high speed."""
KatanaPA11#1,"""Фотон Арт катаны.<br>Рассекает цель используя технику обнажения меча на большой скорости.<br>Каждое действие тратит РР."""
CompoundBowPA01#1,"""Фотон Арт лука.<br>Выстрел сразу несколькими стрелами.<br>Заряжайте для увеличения количества стрел и урона."""
CompoundBowPA02#1,"""Фотон Арт лука.<br>Выстрел пробивающей противников стрелой.<br>Заряжайте для увеличения урона."""
CompoundBowPA03#1,"""Фотон Арт лука.<br>Град стрел на выбранной зоне поражения.<br>Заряжайте для увеличения количества стрел."""
CompoundBowPA04#1,"""Фотон Арт лука.<br>Выстрел стрелой, втягивающей пративников в себя<br>с нанесением урона.Заряжайте для увеличения притяжения."""
CompoundBowPA05#1,"""Фотон Арт лука.<br>Разрушительная атака с использованием себя вместо стрелы.<br>Заряжайте для увеличения урона."""
CompoundBowPA06#1,"""Фотон Арт лука.<br>Выстрел взрывной стрелой с последующим скачком назад."""
CompoundBowPA07#1,"""Фотон Арт лука.<br>Концентрируйте фотоны в стреле сочетая с максимальным натягиванием тетевы лука для нанесения сокрушительного выстрела по цели."""
CompoundBowPA08#1,"""Фотон Арт лука.<br>Выполняете серию ударов, перед тем как выпустить стрелу во врага. Зарядка увеличивает кол-во ударов."""
CompoundBowPA09#1,"""Фотон Арт лука.<br>Выстреливаете стрелой, которая накапливаете энергию и потом взрывается. Зарядка увеливает урон и площадь поражения."""
CompoundBowPA10#1,"""Фотон Арт лука.<br>автоматически выпускает бесконечно стрелы<br>так долго пока зажата кнопка."""
CompoundBowPA11#1,"""Лук Фотон арт.<br>Выпустите три стрелы,<br>активируется любым атакующем<br>фотон артом."""
JetBootsPA01#1,"""Фотон Арт реактивных ботинков.<br>Вращение в виде молота вблизи цели,<br>при смене режима оружия<br>вызывает удар и оглушение."""
JetBootsPA02#1,"""Фотон Арт реактивных ботинков.<br>Движение по фотонам к цели,<br>после чего на цель обрушивается град ударов<br>при смене режима оружия<br>происходит маневр уклонения нанося урон цели."""
JetBootsPA03#1,"""Фотон Арт реактивных ботинков.<br>Скоростные диагональные удары по цели.<br>При смене режима оружия вызывает вращение<br>нанося урон цели."""
JetBootsPA04#1,"""Фотон Арт реактивных ботинков.<br>Вся энергия гира передается в оружие,<br>достигнув придела<br>при смени режима оружия в момент придела<br>вызвает сильный удар."""
DbladePA01#1,"""Фотон арт парных клинков.<br>Рывок в перед на большой скорости<br>и удар клинками по цели."""
DbladePA02#1,"""Фотон арт парных клинков.<br>Во время полета создает окружение фотон лезвий,<br>которые атакуют цель в радиусе поражения."""
DbladePA03#1,"""Фотон арт парных клинков.<br>Вращение фотон лезвий поднимают в верх<br>одновременно нанося урон цели."""
DbladePA04#1,"""Фотон арт парных клинков.<br>Создает знак правосудия завершив отправляя его к цели<br>при попадании в цель знак взрывается."""
DbladePA05#1,"""Фотон арт парных клинков.<br>Безжалостная атака по периметру,<br>создавая фотон лезвия вокруг<br>происходит взрыв."""
DbladePA06#1,"""Фотон арт парных клинков.<br>Гравировка меча перед целью фотон лезвиями<br>после чего отправляет их в одну точку<br>в безумном порыве."""
DbladePA07#1,"""Фотон арт парных клинков.<br>Фотон лезвия выстраиваются в одну линию<br>и обрушиваются на цель в виде лезвия меча."""
Fire01#1,"""Базовая техника огня.<br>Преобразует фотоны в огненный шар."""
Fire02#1,"""Средняя техника огня.<br>Воспламеняет фотоны и запускает<br>по спирали вокруг персонажа."""
Fire03#1,"""Средняя техника огня.<br>Концентрирует фотоны в точке<br>и подрывает по команде."""
Fire04#1,"""Средняя техника огня.<br>Концентрирует фотоны для создания огненной волны."""
Fire05#1,"""Базовая техника огня.<br>Создает наступательную ауру."""
Fire06#1,"""Высшая техника огня.<br>Создает концентрированный огненный шар<br>поджигающий зону поражения."""
Fire07#1,"""Особая техника огня.<br>Бросает массивный огненный шар на цель,<br>который взрывается при ударе."""
Ice01#1,"""Базовая техника льда.<br>Замораживает воздух и стреляет им по линии."""
Ice02#1,"""Средняя техника льда.<br>Быстро охлаждает атмосферу, <br>атакует перед собой ледяной шрапнелью."""
Ice03#1,"""Средняя техника льда.<br>Управляет атмосферой, создает<br>вокруг персонажа метель."""
Ice04#1,"""Средняя техника льда.<br>Управляет атмосферным давлением.<br>Роняет на противника серию сосулек."""
Ice05#1,"""Базовая техника льда.<br>Создает оборонительную ауру."""
Ice06#1,"""Высшая техника льда.<br>Создает непрерывный поток ледяного воздуха."""
Ice07#1,"""Особая техника льда.<br>Разрушительный ледяной крест образуется в нутри цели<br>техника закрывается повторным кастом<br>с каждым разом увеличивая урон."""
Thunder01#1,"""Базовая техника молнии.<br>Накапливает фотоны для призыва <br>молнии в любой точке."""
Thunder02#1,"""Средняя техника молнии.<br>Создает цепную молнию передающуюся<br>от противника к противнику."""
Thunder03#1,"""Средняя техника молнии.<br>Создает сферу молний<br>оглушающую противников вокруг."""
Thunder04#1,"""Средняя техника молнии.<br>Помещает шаровую молнию в тело врага,<br>делая его уязвимым для атак молнией."""
Thunder05#1,"""Базовая техника молнии.<br>Генерирует электромагнитное поле для вовлечения туда противников.<br>Усиливает эффект техник молнии в зоне действия."""
Thunder06#1,"""Высшая техника молнии.<br>Заряжает пользователя, создавая вокруг него мощное<br>электрическое поле. Удерживайте, чтобы увеличить заряд."""
Thunder07#1,"""Особоя техника молнии.<br>Используя фотоны облочает вас в электрическую сферу<br>направляясь к цели превращая вас<br>в молниеносную птицу."""
Wind01#1,"""Базовая техника ветра.<br>Бросает в противников несколько ветреных<br>бумерангов."""
Wind02#1,"""Средняя техника ветра.<br>Изменение давления. Вызывает вихрь,<br>крошащий всех врагов вокруг заклинателя."""
Wind03#1,"""Средняя техника ветра.<br>Изменение давления. Под целью генерирует <br> мощный торнадо."""
Wind04#1,"""Средняя техника ветра.<br>Вихрь перед вами притягивает противников,<br>кроша их на куски лезвиями."""
Wind05#1,"""Высшая техника ветра.<br>Мощный сгусток воздуха перед вами.<br>Узкий диапазон, но очень высокий урон."""
Wind06#1,"""Базовая техника ветра.<br>Создает поле фотонов обеспечивающая<br>атаки ветром."""
Wind07#1,"""Особая техника ветра.<br>Манипулирует атмосферным давлением<br>чтобы запустить торнадо,<br>который тащит врагов в его центр."""
Light01#1,"""Базовая техника света.<br>Кристаллизует фотоны пронзая цель <br>стрелами света."""
Light02#1,"""Средняя техника света.<br>Создает лезвия света, отбрасывает<br>окружающих врагов."""
Light03#1,"""Средняя техника света.<br>Создает копье света, пронзающее врагов впереди."""
Light04#1,"""Лечащая техника.<br>Лечит раны и восстанавливает здоровье<br>энергией фотонов."""
Light05#1,"""Восстанавливающая техника.<br>С помощью фотонов снимает<br>все негативные эффекты с тела."""
Light06#1,"""Высшая техника света.<br>Создает чрезвычайно плотный диск света который<br>автоматически реагирует на врагов."""
Light07#1,"""Особая техника света.<br>Кристаллизованные фотоны<br>в виде капли света преследующие цель,<br>при контаке с целью взрываются."""
Dark01#1,"""Базовая техника тьмы.<br>Концентрированный шар фотонов преследует<br>цель. Взрывается при контакте."""
Dark02#1,"""Средняя техника тьмы.<br>Сжатые фотоны ищут цель и обрушивают на<br>них едкий дождь."""
Dark03#1,"""Средняя техника тьмы.<br>Конденсированные фотоны падают с неба и собираются вокруг вас."""
Dark04#1,"""Средняя техника тьмы.<br>Несколько сжатых фотонов преследуют<br>врагов."""
Dark05#1,"""Базовая техника тьмы.<br>Тонкое поле фотонов создает зону<br>помогающую союзникам."""
Dark06#1,"""Высшая техника тьмы.<br>Постоянно концентрирующиеся в точке фотоны<br>вызывают мощный взрыв."""
Dark07#1,"""Особая техника тьмы.<br>Сжимает фотоны в виде темной руки<br>которая преследует цель одну за другой."""
MultiWT01#1,"""Комбинированная техника ветра и молнии.<br>Создает крылья из молнии и ветра<br>напровлясь к цели нанося ей урон после чего обрущая ее молниями."""
MultiFD01#1,"""Комбинированная техника тьмы и огня.<br>Извергая темное пламя в виде направленного луча.<br>сжигает все на своем пути."""
MultiIL01#1,"""Комбинированная техника света и льда.<br>Атака цели в лоб, создавая лезвия изо льда и света<br>изображающая танец саблями."""
PetAPA01#1,"""Фотон Арт Ванды.<br>Быстрые двойные атаки<br>в широком диапазоне."""
PetAPA02#1,"""Фотон Арт Ванды.<br>Создает электро волну оглушает противника."""
PetAPA03#1,"""Фотон Арт Ванды.<br>Вращаясь вокруг противника, наносит мощный удар.<br>Малый радиус."""
PetAPA04#1,"""Фотон Арт Ванды.<br>Резкий рывок в верх в виде вихря<br>наносит продолжительный урон цели."""
PetAPA05#1,"""Фотон Арт Ванды.<br>Рывок в перед, атака в лоб цели<br>возвращается обратно после атаки."""
PetBPA01#1,"""Фотон Арт Торим.<br>Продолжительныый крик сила<br>увеличивается со временем."""
PetBPA02#1,"""Фотон Арт Торим.<br>Мгновенная атака в лоб<br>проходит цель насквозь."""
PetBPA03#1,"""Фотон Арт Торим.<br>Непрерывная атака крылом стремящаяся<br>разорвать цепь."""
PetBPA04#1,"""Фотон Арт Торим.<br>Огромное количество энергии передается питомцу<br>удерживайте заряд до предела а затем отпустите."""
PetBPA05#1,"""Фотон Арт Торим.<br>Крыльями создает сферу летящию в сторону цели<br>постепенно возвращается к владельцу."""
PetCPA01#1,"""Фотон Арт Салли.<br>Обжигающие фотоновые бомбы,<br>летящие по параболе к цели."""
PetCPA02#1,"""Фотон Арт Салли.<br>Создает отрицательное гравитационное поле<br>внутри цели<br>которое не дает ей двигаться."""
PetCPA03#1,"""Фотон Арт Салли.<br>Создает сферу фотонов<br>сила каторой увеличивается<br>удерживайте эту атаку."""
PetCPA04#1,"""Фотон Арт Салли.<br>Выпускает стрелы фотонов<br>преследующие цель в движении<br>большая скорость малый эффект."""
PetCPA05#1,"""Фотон Арт Салли.<br>Создает сферу \""Джелен\"" преследующию цель.<br>\""Джелен\"" снижает силу атаки вашей цели."""
PetDPA01#1,"""Фотон Арт Марона.<br>Взять марона и бросить его в цель.<br>при попадании марон взрывается."""
PetDPA02#1,"""Фотон Арт Марона.<br>Наносит урон вращением вокруг<br>очень эффективно если<br>вы окружены противниом."""
PetDPA03#1,"""Фотон Арт Марона.<br>Создает сферы<br>преследующие и сжигающие ваши цели<br>большая скорость малый эффект."""
PetDPA04#1,"""Фотон Арт Марона.<br>Использовать марона как щит<br>для предотвращения удара."""
PetDPA05#1,"""Фотон Арт Марона.<br>Создает сферу летящую в цель<br>Продолжительный урон слабое действие."""
PetD2PA01#1,"""Фотон Арт Мелона.<br>Взять мелона и бросить его в цель.<br>при попадании мелон взрывается."""
PetD2PA02#1,"""Фотон Арт Мелона.<br>Наносит урон вращением вокруг<br>очень эффективно если<br>вы окружены противниом."""
PetD2PA03#1,"""Фотон Арт Мелона.<br>Создает сферы<br>преследующие и сжигающие ваши цели<br>большая скорость малый эффект."""
PetD2PA04#1,"""Фотон Арт Мелона.<br>Использовать мелона как щит<br>для предотвращения удара."""
PetD2PA05#1,"""Фотон Арт Мелона.<br>Создает сферу летящую в цель<br>Продолжительный урон слабое действие."""
PetEPA01#1,"""Фотон Арт Виолы.<br>Усиленние атакиов<br>при повторном использование<br>возвращает атаки в исходное состояние."""
PetEPA02#1,"""Фотон Арт Виолы.<br>Скользящие удары.<br>Для атаки множества целей одновременно."""
PetEPA03#1,"""Фотон Арт Виолы.<br>Сжатие ударной волны<br>вызывает взрыв и оглушение.<br>Большая сила атаки."""
PetEPA04#1,"""Фотон Арт Виолы.<br>Подбрасывает цель вверх<br>нанося продолжительный урон."""
PetEPA05#1,"""Фотон Арт Виолы.<br>Атака в лоб в виде рывка<br>постепенно возвращается к владельцу."""
PetFPA01#1,"""Фотон Арт Рэппи.<br>Урон цели мелодией<br>восстановление союзников<br>в этой области."""
PetFPA02#1,"""Фотон Арт Рэппи.<br>Хлопая создает ударную волну<br>оглушения"""
PetFPA03#1,"""Фотон Арт Рэппи.<br>Открывает огонь по цели<br>постепенно возвращается к владельцу."""
PetFPA04#1,"""Фотон Арт Рэппи.<br>Беспощадная скоростная атака<br>рэппи будет кромсать цель"""
PetFPA05#1,"""Фотон Арт Рэппи.<br>Мощный удар рэппи<ик>по цели"""
PetGPA01#1,"""Фотон Арт Синхро.<br>Удар по цели фотоновым лезвием<br>сила возрастает при комбинации."""
PetGPA02#1,"""Фотон Арт Синхро.<br>Наносит урон вращением вокруг<br>диапазон атаки расширяется за счет комбинации."""
PetGPA03#1,"""Фотон Арт Синхро.<br>Удары кулаком в ритм сердца<br>количество ударов увеличивается<br>за счет комбинации."""
PetGPA04#1,"""Фотон Арт Синхро.<br>Возвращается к призывателю и бросает бомбы в цель<br>при комбинации эффект чейз увеличивается."""
PetGPA05#1,"""Фотон Арт Синхро.<br>Удар плечем, весом всего тела<br>выводя цель из строя<br>вызывает эфект оглушение<br>сила и его форма<br>возрастает при комбинации."""
PetMPA01#1,"""Фотон Арт Джинга.<br>Быстрая ближняя атака<br>Для атаки множества целей одновременно."""
PetMPA02#1,"""Фотон Арт Джинга.<br>Создает сферу молний<br>оглушающую цели."""
PetMPA03#1,"""Фотон Арт Джинга.<br>Наносит урон вращением вокруг<br>малый диапазон."""
PetMPA04#1,"""Фотон Арт Джинга.<br>Подбрасывает цель вверх<br>нанося продолжительный урон."""
PetMPA05#1,"""Фотон Арт Джинга.<br>Молниеносная атака фотонов<br>постепенно возвращается к владельцу."""
PetNPA01#1,"""Фотон Арт Аэро.<br>Продолжительный крик сила<br>увеличивается со временем."""
PetNPA02#1,"""Фотон Арт Аэро.<br>Мгновенная атака в лоб<br>проходит цель насквозь."""
PetNPA03#1,"""Фотон Арт Аэро.<br>Непрерывная атака крылом стремящаяся<br>разорвать цепь."""
PetNPA04#1,"""Фотон Арт Аэро.<br>Огромное количество энергии передается питомцу<br>удерживайте заряд до предела а затем отпустите."""
PetNPA05#1,"""Фотон Арт Аэро.<br>Крыльями создает сферу летящая в сторону цели<br>постепенно возвращается к владельцу."""
PetOPA01#1,"""Фотон Арт Поппуры.<br>Обжигающие фотоновые бомбы,<br>летящие по параболе к цели."""
PetOPA02#1,"""Фотон Арт Поппуры.<br>Создает отрицательное гравитационное поле<br>внутри цели<br>которое не дает ей двигаться."""
