Title#0,"""Open Config Window"""
CtrlFuncNameOpenArksLeague#0,"""ARKS League"""
CtrlFuncNameWinShortcut#0,"""Window Shortcut"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
CtrlFuncNameWinShortcutF2#0,"""F2"""
CtrlFuncNameWinShortcutF3#0,"""F3"""
CtrlFuncNameWinShortcutF4#0,"""F4"""
CtrlFuncNameWinShortcutF5#0,"""F5"""
CtrlFuncNameWinShortcutF6#0,"""F6"""
CtrlFuncNameWinShortcutF7#0,"""F7"""
CtrlFuncNameWinShortcutF8#0,"""F8"""
CtrlFuncNameWinShortcutF9#0,"""F9"""
CtrlFuncNameWinShortcutF10#0,"""F10"""
CtrlFuncNameWinShortcutN1#0,"""Num1"""
CtrlFuncNameWinShortcutN2#0,"""Num2"""
CtrlFuncNameWinShortcutN3#0,"""Num3"""
CtrlFuncNameWinShortcutN4#0,"""Num4"""
CtrlFuncNameWinShortcutN5#0,"""Num5"""
CtrlFuncNameWinShortcutN6#0,"""Num6"""
CtrlFuncNameWinShortcutN7#0,"""Num7"""
CtrlFuncNameWinShortcutN8#0,"""Num8"""
CtrlFuncNameWinShortcutN9#0,"""Num9"""
CtrlFuncNameWinShortcutN10#0,"""Num0"""
CtrlLobbyActionAssignName#0,"""Alt+$(0)"""
CtrlAssignButtonInput#0,"""Change"""
CtrlAssignButtonWaiting#0,"""Wait"""
CtrlAssignHint#0,"""Please press desired key/button. <br>([Esc] to cancel)"""
CtrlCtrlAssignTypeT#0,"""1-0"""
CtrlCtrlAssignTypeF#0,"""F1-F10"""
CtrlCtrlAssignTypeN#0,"""Num1-Num0"""
CtrlCtrlAssignTypeCtrlT#0,"""Ctrl+1-0"""
CtrlCtrlAssignTypeCtrlF#0,"""Ctrl+F1-F10"""
CtrlCtrlAssignTypeCtrlN#0,"""Ctrl+Num1-Num0"""
CtrlCtrlSwapMessage#0,"""[$(0)] selected."""
CtrlCtrlCaptionFuncName#0,"""Function name"""
CtrlCtrlCaptionAssign#0,"""Settings button"""
CtrlPartition#0,"""/ """
CtrlVitaAccessEscape#0,"""<pict Sign_L3> + <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""武器パレット切り替えの操作が一部制限されます"""
CtrlVitaSubPalletinfo#0,"""サブパレット切り替えの操作が一部制限されます"""
CtrlAnnounceTitle#0,"""Display Settings"""
CtrlAnnounceMessage#0,"""Please select desired set of <br>keys/buttons to appear in instructions."""
CtrlAnnounceSelSymbol#0,"""Key symbols"""
CtrlAnnounceSelAlphabet#0,"""Alphabetical"""
CtrlAnnounceSelNumber#0,"""Numeric"""
CtrlAnnounceSelKeyboard#0,"""Keyboard"""
CtrlAnnounceExample#0,"""Ex: """
CtrlAnnounceExampleKey#0,"""<pict Key_ENTER> [Esc] [↑] <pict Key_SPACE>"""
CtrlAnnounceExampleAlpha#0,"""<pict Alpha_A><pict Alpha_B><pict Alpha_RB><pict Alpha_UP>"""
CtrlAnnounceExampleSign#0,"""<pict Sign_CIRCLE><pict Sign_CROSS><pict Sign_R1><pict Sign_UP>"""
CtrlAnnounceExampleNumber#0,"""<pict Number_1><pict Number_2><pict Number_5><pict Number_UP>"""
CtrlAnnounceHint#0,"""Pending."""
CtrlPadBehaviorTitle#0,"""Basic Gamepad Config"""
CtrlPadBehaviorSetting#0,"""Settings"""
CtrlPadBehaviorInitialize#0,"""Reset to Default"""
CtrlPadBehaviorStickTitle#0,"""Analog stick movement settings."""
CtrlPadBehaviorStickSubTitleLU#0,"""1. Calibration test for left stick: Up"""
CtrlPadBehaviorStickMessageLU#0,"""Commencing calibration of Left Stick.<br>While holding <c ff007f>up<c> on the left stick<green> please press<c>$(0).<br><br><yellow>※If the controller does not respond, try switching to <c ff007f>[ANALOG MODE]<c><yellow> by pressing the<br>button or switch marked [ANALOG MODE]<c>"""
CtrlPadBehaviorStickSubTitleLL#0,"""2. Calibration test for left stick: Left"""
CtrlPadBehaviorStickMessageLL#0,"""Now, while holding <c ff007f>left<c> on the left stick<green> please press<c>$(0)."""
CtrlPadBehaviorStickSubTitleRU#0,"""3. Calibration test for right stick: Up"""
CtrlPadBehaviorStickMessageRU#0,"""Commencing calibration of Right Stick.<br>While holding <c ff007f>up<c> on the right stick<green> please press<br><c>$(0)."""
CtrlPadBehaviorStickSubTitleRL#0,"""4. Calibration test for right stick: Left"""
CtrlPadBehaviorStickMessageRL#0,"""Now, while holding <c ff007f>left<c> on the right stick<green> please press <c>$(0)."""
CtrlPadBehaviorTriggerTitle#0,"""Set trigger settings"""
CtrlPadBehaviorTriggerMessageL#0,"""This will determine if the [Rear left button] is a trigger.<br>(This only works for analog controllers)<br>Please press the button that is glowing in the figure below.<br><br><yellow>If nothing happens when you press it, the controller isn't analog.<br>Please press <c>$(0)<yellow> to perform button configuration on the next screen.<c>"""
CtrlPadBehaviorTriggerMessageR#0,"""This will determine if the [Rear right button] is a trigger.<br>(This only works for analog controllers)<br>Please press the button that is glowing in the figure below.<br><br><yellow>If nothing happens when you press it, the controller isn't analog.<br>Please press <c>$(0)<yellow> to perform button configuration on the next screen.<c>"""
CtrlPadBehaviorConfirmInitTitle#0,"""Reset All"""
CtrlPadBehaviorConfirmApplyTitle#0,"""Confirm Apply"""
CtrlPadBehaviorConfirmInitMessage#0,"""This will reset the controller to its defaults.<br>Continue?"""
CtrlPadBehaviorConfirmApplyMessage#0,"""Apply settings."""
CtrlPadBehaviorHelpSetting#0,"""To start configuration."""
CtrlPadBehaviorHelpInitialize#0,"""Automatic Configuration"""
CtrlPadBehaviorHelpInitializeDisable#0,"""This pad does not support automatic configuration."""
CtrlPadBehaviorHelpTrigger#0,"""Sets operation of triggers."""
CtrlPadBehaviorButtonDefTitle#0,"""Button Definition"""
CtrlPadBehaviorButtonDefMessage2#0,"""Here, you can match the buttons on your controller with the<br>GUI buttons in the game, in case any are detected incorrectly.<br><br>Press the [Change] button, then match the <br><c ff007f>[Display Button]<c> with the button on your controller."""
CtrlPadBehaviorButtonDefCaptionDef#0,"""<c ff007f>Display Button<c>"""
CtrlPadBehaviorButtonDefCaptionAssign#0,"""Set button assignment."""
CtrlPadBehaviorButtonDefApply#0,"""Back to previous"""
CtrlPadBehaviorButtonDefDisapply#0,"""Cancel and Exit"""
CtrlPadBehaviorButtonDefMessage#0,"""Press button to be used for $(0)."""
CtrlPadBehaviorButtonDefDisable#0,"""<gray>Automatic(Analog)<c>"""
CtrlPadCtrlTitle#0,"""Gamepad Settings"""
CtrlPadInitToast#0,"""The gamepad will be set automatically. You can also manually configure the gamepad."""
RadioButtonOnepush#0,"""Click"""
RadioButtonHold#0,"""Hold"""
RadioButtonNormal#0,"""Normal"""
RadioButtonReverse#0,"""Inverted"""
RadioButtonRadarMapDirectionChara#0,"""Does Not Rotate"""
RadioButtonRadarMapDirectionCamera#0,"""Rotates"""
RadioButtonMoviePlayOn#0,"""Videos Enabled"""
RadioButtonMoviePlayOff#0,"""Videos Disabled"""
RadioButtonShowDialog#0,"""Display Selection Window"""
RadioButtonNotice#0,"""Notification Only"""
RadioButtonEnable#0,"""Enable"""
RadioButtonDisable#0,"""Disable"""
RadioButtonShow#0,"""Show"""
RadioButtonHide#0,"""Hide"""
RadioButtonShootDisplayAll#0,"""Display windows"""
RadioButtonShootDisplayNoUiChat#0,"""Hide windows (show chat)"""
RadioButtonShootDisplayNoUiAll#0,"""Hide windows"""
RadioButtonEnableQuote#0,"""Quote"""
RadioButtonDisableQuote#0,"""Don't Quote"""
RadioButtonScreenShotTypeBmp#0,"""BMP"""
RadioButtonScreenShotTypePng#0,"""PNG"""
RadioButtonScreenShotTypeJpeg#0,"""JPEG"""
RadioButtonAllow#0,"""Allow"""
RadioButtonDisallow#0,"""Disallow"""
RadioButtonCtrlNormal#0,"""Normal"""
RadioButtonCtrlCustom#0,"""Custom (<pict Sign_TRIANGLE> Change custom settings)"""
RadioButtonCtrlType1#0,"""Type 1"""
RadioButtonCtrlType2#0,"""Type 2"""
RadioButtonCtrlType3#0,"""Type 3"""
RadioButtonKeyMoveEscapeLong#0,"""Press movement key twice （Long delay）"""
RadioButtonKeyMoveEscapeMiddle#0,"""Press movement key twice （Moderate delay）"""
RadioButtonKeyMoveEscapeShort#0,"""Press movement key twice （Short delay）"""
RadioButtonKeyMoveEscapeUnuseKey#0,"""Only use avoid key (Pressing twice to avoid disabled)"""
RadioButtonSave#0,"""Save"""
RadioButtonNotSave#0,"""Don't save"""
RadioButtonAccessHold#0,"""Prompt you to hold <%Access>"""
RadioButtonNotEvent#0,"""Do not prompt"""
RadioButtonNameWhite#0,"""White"""
RadioButtonNameBlue#0,"""Blue"""
RadioButtonPopUpMessageOne#0,"""Display latest message only"""
RadioButtonPopUpMessageThree#0,"""Display last three messages"""
RadioButtonRecommendedNotice#0,"""Display recommended orders"""
RadioButtonRecommendedNotNotice#0,"""Do not display recommended orders"""
RadioButtonAttackPropertyOff#0,"""Do not display damage type color"""
RadioButtonAttackPropertyOn#0,"""Display damage type color"""
RadioButtonPartyNameChara#0,"""Use name of original leader"""
RadioButtonPartyNameQuest#0,"""Use Quest Name/Difficulty (abbrev.)"""
RadioButtonBeginnerBlockSelect#0,"""Prefer Beginner blocks"""
RadioButtonBeginnerAutoSelect#0,"""Automatic selection"""
RadioButtonSubActionPalletNameOn#0,"""Always Display"""
RadioButtonSubActionPalletNameChangeOnly#0,"""Display on switching"""
RadioButtonSubActionPalletNameOff#0,"""None"""
RadioButtonBattleImpossibleIconOn#0,"""Display icon for incapacitated players"""
RadioButtonBattleImpossibleIconOff#0,"""Do not display icon for incapacitated players"""
RadioButtonMyBattleImpossibleIconOn#0,"""Allow others to see icon when incapacitated"""
RadioButtonMyBattleImpossibleIconOff#0,"""Do not allow others to see icon when incapacitated"""
RadioButtonAllPB#0,"""Display all Photon Blasts."""
RadioButtonMyPB#0,"""Display only my Photon Blast."""
RadioButtonRareDrop7Over#0,"""Display for items with rarity of 7 or above"""
RadioButtonRareDrop10Over#0,"""Display for items with rarity of 10 or above"""
RadioButtonRareDrop13Over#0,"""Display for items with rarity of 13 or above"""
RadioButtonRareautoget13#0,"""Immediately collect items of rarity 13★ or higher."""
RadioButtonRareautogetoff#0,"""Don't use anything"""
RadioButtonCameraOperate#0,"""Give priority to camera controls"""
RadioButtonCursorOperate#0,"""Give priority to cursor controls"""
RadioButtonWarehouseCursorAll#0,"""All storage"""
RadioButtonWarehouseCursorBase#0,"""Basic storage"""
RadioButtonWarehouseCursorCharacter#0,"""Character Storage"""
RadioButtonWarehouseCursorPremium#0,"""Prem. storage"""
RadioButtonWarehouseCursorOTP#0,"""OTP Storage"""
RadioButtonWarehouseCursorPSO2es#0,"""PSO2es Storage"""
RadioButtonAType#0,"""Manual Type"""
RadioButtonBType#0,"""Auto Type"""
RadioButtonEtrialON#0,"""Change Entire Map"""
RadioButtonEtrialOFF#0,"""Do Not Change"""
Number0#0,"""0"""
Number50#0,"""50"""
Number100#0,"""100"""
VITA_CustomWindow#0,"""<pict Sign_TRIANGLE>カスタム設定変更"""
VITA_CustomTitle#0,"""カスタム設定"""
VITA_PushButton#0,"""ボタン入力"""
VITA_CustomToast1#0,"""カスタム設定が変更されました。各操作タイプを「カスタム」にすることで有効になります。"""
VITA_CustomToast2#0,"""重要な操作が未設定になっています。"""
VITA_AutoRun#0,"""オートラン/サブパレット切替左"""
VITA_ChangeView#0,"""視点切替/サブパレット切替右"""
VITA_CustomInfo#0,"""カスタム設定はボタン以外にも<br>背面タッチパッドの左上<pict Sign_BACK_L>と右上<pict Sign_BACK_R>を設定できます。<br><br>変更したい項目名を選んでから、ボタンまたは<br>背面タッチパッドを押して、設定を変更してください。"""
RideroidNormalCtrlTextRotateX#0,"""Rideroid Horizontal Camera Rotation"""
RideroidNormalCtrlTextRotateY#0,"""Rideroid Vertical Camera Rotation"""
RideroidNormalCtrlTextMovementX#0,"""ライドロイド左右旋回方向"""
RideroidNormalCtrlTextMovementY#0,"""ライドロイド上下移動方向"""
RideroidNormalCtrlTextRotateX_v#0,"""Rideroid Horizontal Camera Rotation"""
RideroidNormalCtrlTextRotateY_v#0,"""Rideroid Vertical Camera Rotation"""
RideroidNormalCtrlTextMovementX_v#0,"""ライドロイド左右旋回方向"""
RideroidNormalCtrlTextMovementY_v#0,"""ライドロイド上下移動方向"""
RideroidNormalCtrlHintRotateX#0,"""ライドロイドカメラの左右回転方向を設定します。"""
RideroidNormalCtrlHintRotateY#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidNormalCtrlHintMovementX#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidNormalCtrlHintMovementY#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidNormalCtrlHintRotateX_v#0,"""ライドロイドカメラの左右回転方向を設定します。"""
RideroidNormalCtrlHintRotateY_v#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidNormalCtrlHintMovementX_v#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidNormalCtrlHintMovementY_v#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidShoulderCtrlTextRotateY#0,"""Rideroid Vertical Camera Rotation"""
RideroidShoulderCtrlTextRotateX#0,"""ライドロイド左右旋回方向"""
RideroidShoulderCtrlTextMovementX#0,"""ライドロイド左右移動方向"""
RideroidShoulderCtrlTextMovementY#0,"""ライドロイド上下移動方向"""
RideroidShoulderCtrlTextRotateY_v#0,"""Rideroid Vertical Camera Rotation"""
RideroidShoulderCtrlTextRotateX_v#0,"""ライドロイド左右旋回方向"""
RideroidShoulderCtrlTextMovementX_v#0,"""ライドロイド左右移動方向"""
RideroidShoulderCtrlTextMovementY_v#0,"""ライドロイド上下移動方向"""
RideroidShoulderCtrlHintRotateY#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidShoulderCtrlHintRotateX#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidShoulderCtrlHintMovementX#0,"""ライドロイド操作の左右移動方向を設定します。"""
RideroidShoulderCtrlHintMovementY#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidShoulderCtrlHintRotateY_v#0,"""ライドロイドカメラの上下回転方向を設定します。"""
RideroidShoulderCtrlHintRotateX_v#0,"""ライドロイド操作の左右旋回方向を設定します。"""
RideroidShoulderCtrlHintMovementX_v#0,"""ライドロイド操作の左右移動方向を設定します。"""
RideroidShoulderCtrlHintMovementY_v#0,"""ライドロイド操作の上下移動方向を設定します。"""
RideroidOperationSettings#0,"""Control Settings"""
RideroidOperationSettingsType#0,"""Select your Rideroid settings."""
RideroidOperationSettingsText#0,"""Select your Rideroid settings. <br> <br>Manual Type: Fully manual drive.<br>Auto Type: Fully automatic drive.<br><br>※You can adjust the Rideroid camera settings <br>to either [Normal View] or [Over the Shoulder View]. <br>※Rideroids default to [<yellow>Over the Shoulder View<c>]."""
title#0,"""Choose Primary Input Method"""
button1#0,"""Keyboard & Mouse"""
button2#0,"""Gamepad"""
message#0,"""If a gamepad is used to play this game, the keyboard<br>will still be used for chat and as such, other<br>controls will be available as well. <br><br><green>These settings can be changed at any time<br>by selecting [Reset to Defaults] from the Options menu.<c><br><br>Which device would you like to use?"""
title#1,"""Display Settings"""
Title#1,"""Action Palette Type"""
Message#0,"""アクションパートの操作方法について、<br>従来の2ボタンタイプとは異なる<br>新たな3ボタンタイプが選択可能です。<br><br>3ボタンタイプではより直感的な操作で<br>アクションが行えます。<br><green>この設定は、「オプション」の「設定の初期化」から<br>いつでも変更することができます。<c><br><br>どちらの操作タイプを使用しますか？"""
Button_2Button#0,"""2-Button Type"""
Button_3Button#0,"""3-Button Type"""
