No00000#0,"""None"""
No05650#0,"""Brown Fox Tail"""
No05651#0,"""Yellow Fox Tail"""
No05652#0,"""White Fox Tail"""
No05660#0,"""Pastry Cap A"""
No05661#0,"""Pastry Cap B"""
No05662#0,"""Pastry Cap C"""
No05670#0,"""Checkered Long Muffler"""
No05671#0,"""Long Muffler"""
No05672#0,"""Merry Long Muffler"""
No05673#0,"""White Long Muffler"""
No05680#0,"""Knitted Cap"""
No05690#0,"""White Maid Cap"""
No05691#0,"""Pink Maid Cap"""
No05692#0,"""Blue Maid Cap"""
No05700#0,"""Pink Ribbon"""
No05710#0,"""Pink Side Ribbon"""
No05720#0,"""Pirates Hat"""
No05721#0,"""Captain Hat"""
No05731#0,"""Miraseria Intercom"""
No05740#0,"""White Ribbon"""
No05741#0,"""White Ribbon B"""
No05750#0,"""White Side Ribbon"""
No05751#0,"""White Side Ribbon B"""
No05760#0,"""Egg Rappy Earrings"""
No05770#0,"""Pink Butterfly"""
No05771#0,"""Blue Butterfly"""
No05772#0,"""White Butterfly"""
No05780#0,"""Leader Antenna"""
No05790#0,"""Green Eye Monitor"""
No05791#0,"""Red Eye Monitor"""
No05792#0,"""Yellow Eye Monitor"""
No05793#0,"""Blue Eye Monitor"""
No05800#0,"""Antique Monocle"""
No05810#0,"""White Cherry Bracelet L"""
No05811#0,"""White Cherry Bracelet R"""
No05812#0,"""Pink Cherry Bracelet L"""
No05813#0,"""Pink Cherry Bracelet R"""
No05820#0,"""White Cherry Earrings"""
No05821#0,"""Pink Cherry Earrings"""
No05830#0,"""White Cherry Barrette"""
No05831#0,"""Pink Cherry Barrette"""
No05840#0,"""Hime Hairpin"""
No05850#0,"""Eboshi"""
No05860#0,"""Flower Headband A"""
No05861#0,"""Flower Headband B"""
No05870#0,"""Easter Egg Cap"""
No05880#0,"""Easter Egg Tie"""
No05890#0,"""Green Papillon Mask A"""
No05891#0,"""Pink Papillon Mask A"""
No05892#0,"""Papillon Mask A"""
No05893#0,"""Green Papillon Mask B"""
No05894#0,"""Pink Papillon Mask B"""
No05895#0,"""Papillon Mask B"""
No05900#0,"""Gold Aries Horns"""
No05901#0,"""Black Aries Horn"""
No05910#0,"""Gold Aries Cap"""
No05911#0,"""Black Aries Cap"""
No05920#0,"""Wing Barrette"""
No05921#0,"""Black Wing Barrette"""
No05930#0,"""Cat Ears Headband"""
No05931#0,"""Cat Ears Headband B"""
No05940#0,"""Bunny Ears Ribbon A"""
No05941#0,"""Bunny Ears Ribbon B"""
No05942#0,"""Bunny Ears Ribbon C"""
No05950#0,"""Cyber Goggles A"""
No05951#0,"""Cyber Goggles B"""
No05960#0,"""Marie Headband"""
No05970#0,"""Warrior Helmet"""
No05980#0,"""Face Protector"""
No05990#0,"""Taurus Headgear"""
No06000#0,"""Feather Hairpin A"""
No06001#0,"""Feather Hairpin B"""
No06010#0,"""Black Feather"""
No06011#0,"""Feather Corsage"""
No06020#0,"""Gothic Hair Accessory A"""
No06021#0,"""Gothic Hair Accessory B"""
No06030#0,"""Checkered Hat A"""
No06031#0,"""Checkered Hat B"""
No06040#0,"""Checkered Hunting Cap"""
No06050#0,"""Blindfold"""
No06060#0,"""Head Towel"""
No06070#0,"""Parabolic Antenna"""
No06080#0,"""Carp Streamer"""
No06090#0,"""Refined School Cap"""
No06091#0,"""Refined School Cap B"""
No06100#0,"""Flower Crown"""
No06110#0,"""Flower Brooch"""
No06111#0,"""Flower Brooch B"""
No06112#0,"""Flower Brooch C"""
No06120#0,"""Wedding Mini Crown"""
No06130#0,"""Tails Mask"""
No06131#0,"""Tails Mask B"""
No06140#0,"""Eggman Mask"""
No06150#0,"""Knuckles Mask"""
No06151#0,"""Knuckles Mask B"""
No06160#0,"""Amy Mask"""
No06161#0,"""Amy Mask B"""
No06170#0,"""Chao Mask"""
No06180#0,"""Long Ribbon A"""
No06181#0,"""Long Ribbon B"""
No06190#0,"""Sailor Fur Beret"""
No06200#0,"""Head Nano Transformer"""
No06210#0,"""Gemini Earrings"""
No06220#0,"""Celestial Robe"""
No06221#0,"""Celestial Robe B"""
No06230#0,"""Red Heart Barrette"""
No06231#0,"""Pink Heart Barrette"""
No06232#0,"""White Heart Barrette"""
No06240#0,"""Nejiri Hachimaki"""
No06250#0,"""Twin Head Corsage"""
No06251#0,"""Twin Head Corsage B"""
No06260#0,"""Lillipan Hood"""
No06270#0,"""Gold Crescent"""
No06271#0,"""Crescent Head"""
No06272#0,"""Gold Crescent B"""
No06273#0,"""Crescent Head B"""
No06280#0,"""Hero Muffler"""
No06281#0,"""Wild Muffler"""
No06282#0,"""Hero Scarf B"""
No06283#0,"""Wild Scarf B"""
No06290#0,"""Silk Hat"""
No06291#0,"""Mini Silk Hat"""
No06300#0,"""Triangle Cross"""
No06310#0,"""Straw Hat"""
No06320#0,"""Ring Piercings"""
No06330#0,"""Flight Goggles"""
No06340#0,"""Angel Wings"""
No06350#0,"""Paprika Head"""
No06360#0,"""Angel Halo"""
No06370#0,"""Bullet Belt"""
No06371#0,"""Bullet Belt B"""
No06380#0,"""Circlet"""
No06390#0,"""Blade Tail"""
No06391#0,"""Tail Blade B"""
No06400#0,"""Gold Pearls"""
No06401#0,"""Red Pearls"""
No06402#0,"""White Pearls"""
No06403#0,"""Twin Pearls"""
No06410#0,"""Skull Face"""
No06420#0,"""Knee Drills"""
No06421#0,"""Knee Drills B"""
No06430#0,"""Third Eye A"""
No06431#0,"""Third Eye B"""
No06440#0,"""Pink Scarf"""
No06441#0,"""Blue Scarf"""
No06450#0,"""Gothic Lace Pouch"""
No06451#0,"""Ophiuchus Pouch"""
No06460#0,"""White Flower Wrist R"""
No06461#0,"""White Flower Wrist L"""
No06462#0,"""Black Flower Wrist R"""
No06463#0,"""Black Flower Wrist L"""
No06470#0,"""Pure Maid Brim"""
No06480#0,"""Zamlord Guarder"""
No06481#0,"""Zamlord Guarder Snow"""
No06482#0,"""Zamlord Guarder Crimson"""
No06483#0,"""Zamlord Guarder Leaf"""
No06484#0,"""Zamlord Guarder 711"""
No06490#0,"""Black Spider Nest"""
No06491#0,"""White Spider Nest"""
No06500#0,"""Silver Panja"""
No06510#0,"""Leg Pouch"""
No06520#0,"""Small Devil Head"""
No06521#0,"""Devil Head"""
No06530#0,"""Cancer Crown"""
No06540#0,"""Lariat"""
No06550#0,"""Wedding Hat"""
No06560#0,"""Wedding Tiara"""
No06570#0,"""Corsage Ribbon"""
No06580#0,"""Pretty Ribbon"""
No06581#0,"""Monochrome Pretty Ribbon"""
No06590#0,"""Coffin"""
No06600#0,"""Panis Wing"""
No06610#0,"""Panis Wings"""
No06611#0,"""Panis Wings B"""
No06620#0,"""Leo Head"""
No06630#0,"""Breast Lion"""
No06631#0,"""Breast Lion B"""
No06640#0,"""Red Puyo Hat"""
No06650#0,"""Carbuncle Pochette"""
No06660#0,"""Lillipan Pochette"""
No06670#0,"""Black Star Barrette"""
No06671#0,"""White Star Barrette"""
No06672#0,"""Bright Star Barrette"""
No06680#0,"""Gold Star Piercings"""
No06681#0,"""Silver Star Piercings"""
No06690#0,"""White Furball"""
No06691#0,"""Furball"""
No06700#0,"""Mouth Leaf"""
No06710#0,"""White Foot Wing"""
No06711#0,"""Black Foot Wing"""
No06712#0,"""Foot Wing"""
No06720#0,"""Circle Sunglasses"""
No06730#0,"""Double Ahoge Large"""
No06731#0,"""Double Ahoge Medium"""
No06732#0,"""Two-stranded Ahoge Hair S"""
No06740#0,"""Quatro Antenna"""
No06741#0,"""Quatro Antenna B"""
No06750#0,"""Metal Head"""
No06751#0,"""Metal Head B"""
No06760#0,"""Half Mask"""
No06770#0,"""Propeller"""
No06780#0,"""Forehead Bandage"""
No06790#0,"""Sato Hat"""
No06800#0,"""One Oni Horn"""
No06810#0,"""Two Oni Horns"""
No06820#0,"""Red Mini Crown"""
No06821#0,"""Mini Crown"""
No06822#0,"""Blue Crown"""
No06823#0,"""King Crown"""
No06830#0,"""Heart Eye Patch"""
No06831#0,"""Spade Eye Patch"""
No06832#0,"""Club Eye Patch"""
No06833#0,"""Diamond Eye Patch"""
No06840#0,"""Pirates Eyepatch"""
No06850#0,"""Rose Eyepatch"""
No06851#0,"""Rose Eye Patch B"""
No06852#0,"""Rose Eye Patch C"""
No06890#0,"""Ribbon Hair Band"""
No06900#0,"""Pink Double Big Ribbon"""
No06901#0,"""Double Big Ribbon"""
No06910#0,"""Daoshi Talisman"""
No06920#0,"""Chinese Hat Red"""
No06921#0,"""Chinese Hat"""
No06930#0,"""Deerstalker Hat"""
No06940#0,"""Sports Cap A"""
No06941#0,"""Sports Cap B"""
No06942#0,"""Sports Cap C"""
No06950#0,"""Virgo Circlet"""
No06960#0,"""Virgo Earrings"""
No06970#0,"""Cow Man Muffler"""
No06980#0,"""Cancer Mask"""
No06990#0,"""Ursula Earrings"""
No07000#0,"""P&T Mascots"""
No07010#0,"""Bear Carving Hairpin"""
No07011#0,"""Bear Carving Hairpin B"""
No07020#0,"""Kinshachi Hairpin"""
No07021#0,"""Kinshachi Hairpin B"""
No07030#0,"""Mentaiko Earrings"""
No07031#0,"""Mentaiko Earrings B"""
No07040#0,"""Takoyaki Kanzashi"""
No07041#0,"""Takoyaki Kanzashi B"""
No07050#0,"""Ningyoyaki Earrings"""
No07051#0,"""Ningyoyaki Earrings B"""
No07080#0,"""10,000 Points Stick Earrings"""
No07081#0,"""5,000 Points Stick Earrings"""
No07082#0,"""1,000 Points Stick Earrings"""
No07083#0,"""100 Points Stick Earrings"""
No07090#0,"""Dice Earrings White"""
No07091#0,"""Dice Earrings Red & White"""
No07100#0,"""White Red Green Necktie"""
No07110#0,"""East & West Tile Head"""
No07111#0,"""North & South Tile Head"""
No07120#0,"""Five Man Earrings"""
No07121#0,"""Five Sou Earrings"""
No07122#0,"""Five Pin Earrings"""
No07130#0,"""MJ Mahjong Table Head"""
No07140#0,"""Flared Pareo"""
No07141#0,"""Flared Pareo B"""
No07160#0,"""Summer Rappy Earrings"""
No07170#0,"""Shawl Towel"""
No07180#0,"""Lei Necklace"""
No07190#0,"""Short Lei"""
No07200#0,"""Hibiscus Crown"""
No07210#0,"""Spade Earrings"""
No07211#0,"""Heart Earrings"""
No07212#0,"""Club Earrings"""
No07213#0,"""Diamond Earrings"""
No07220#0,"""Spade Tie"""
No07221#0,"""Heart Tie"""
No07222#0,"""Club Tie"""
No07223#0,"""Diamond Tie"""
No07230#0,"""Joker Hat"""
No07240#0,"""Eye Censor Bar"""
No07250#0,"""Chef Hat"""
No07251#0,"""Cook Hat"""
No07260#0,"""White Apron"""
No07261#0,"""Black Apron"""
No07270#0,"""Balloons"""
No07280#0,"""Cat Whiskers"""
No07290#0,"""Gourd"""
No07300#0,"""Pirate Hat"""
No07301#0,"""Pirate Hat Snow"""
No07302#0,"""Pirate Hat Leaf"""
No07303#0,"""Pirate Hat Steel"""
No07310#0,"""Barbatos Hat"""
No07311#0,"""Barbatos Hat Snow"""
No07312#0,"""Barbatos Hat Crimson"""
No07313#0,"""Barbatos Hat Steel"""
No07320#0,"""Sfida Headgear"""
No07321#0,"""Sfida Headgear Crimson"""
No07322#0,"""Sfida Headgear Leaf"""
No07323#0,"""Sfida Headgear Sky"""
No07330#0,"""Trump Corsage"""
No07340#0,"""Trump Chain"""
No07350#0,"""Swim Goggles"""
No07360#0,"""Esplendo Eye"""
No07361#0,"""Esplendo Eye Snow"""
No07362#0,"""Esplendo Eye Sky"""
No07363#0,"""Esplendo Eye Crimson"""
No07370#0,"""Victoria Hat"""
No07371#0,"""Victoria Hat Snow"""
No07372#0,"""Victoria Hat Sky"""
No07373#0,"""Victoria Hat Sakura"""
No07380#0,"""Eternal Form Headgear"""
No07381#0,"""Eternal Form Head CV"""
No07390#0,"""Pirate's Flag"""
No07400#0,"""Tengu Mask"""
No07401#0,"""Tengu Mask B"""
No07410#0,"""Black Bunny Ear Band"""
No07411#0,"""White Bunny Ear Band"""
No07412#0,"""Bunny Ear Band"""
No07413#0,"""Black Standing Bunny Ear Band"""
No07414#0,"""White Standing Bunny Ear Band"""
No07415#0,"""Standing Bunny Ear Band"""
No07416#0,"""Black Drooping Bunny Ear Band"""
No07417#0,"""White Drooping Bunny Ear Band"""
No07418#0,"""Drooping Bunny Ear Band"""
No07420#0,"""Libra Hairpin"""
No07430#0,"""Libra Piercings"""
No07440#0,"""Hanging Lillipan"""
No07450#0,"""Perfume Intercom"""
No07451#0,"""Perfume Intercom Shadow"""
No07452#0,"""Perfume Intercom Leaf"""
No07460#0,"""Alice Headgear"""
No07461#0,"""Alice Headgear CV"""
No07470#0,"""Fluffy Cat Ears"""
No07480#0,"""Rabbit Silk Hat"""
No07490#0,"""Drooping Bunny Ear Hairclip"""
No07491#0,"""Drooping Bunny Ear Hairclip B"""
No07500#0,"""Black Butterfly Tie"""
No07501#0,"""Red Butterfly Tie"""
No07510#0,"""Gulf Mask"""
No07520#0,"""Medical Cap"""
No07530#0,"""Medical Cap B"""
No07540#0,"""Victoria Rose"""
No07541#0,"""Victoria Rose B"""
No07550#0,"""Bikini Pareo"""
No07551#0,"""Bikini Pareo B"""
No07560#0,"""Kyoutou Sensei Helmet"""
No07570#0,"""Red Headband Accessory"""
No07571#0,"""White Headband Accessory"""
No07572#0,"""Black Headband Accessory"""
No07573#0,"""Blue Headband Accessory"""
No07580#0,"""Cyber Headphones"""
No07581#0,"""Cyber Headphones B"""
No07590#0,"""Sealed Eye of Truth"""
No07591#0,"""Sealed Eye of Truth B"""
No07592#0,"""Sealed Eye of Truth C"""
No07600#0,"""Heel Roller"""
No07601#0,"""Heel Roller B"""
No07610#0,"""Photon Wing"""
No07611#0,"""Photon Wing B"""
No07612#0,"""Photon Wings C"""
No07613#0,"""Photon Wings D"""
No07620#0,"""Autumn Corsage"""
No07630#0,"""Autumn Necklace"""
No07640#0,"""Autumn Crown"""
No07650#0,"""Scorpio Headgear"""
No07660#0,"""Scorpio Tail"""
No07670#0,"""Neck Ruffle"""
No07680#0,"""Zombie Mask"""
No07690#0,"""Polaris Hat"""
No07691#0,"""Witch Hat"""
No07700#0,"""Vampire Hat"""
No07710#0,"""Skull Necklace"""
No07720#0,"""Camouflage Bandana"""
No07721#0,"""Vivid Bandana"""
No07730#0,"""Devil Wing"""
No07740#0,"""Mirror Glasses"""
No07750#0,"""Night Vision A"""
No07751#0,"""Night Vision B"""
No07752#0,"""Night Vision C"""
No07753#0,"""Night Vision D"""
No07760#0,"""Sideburns Extension"""
No07770#0,"""White Kaiser Mustache"""
No07771#0,"""Kaiser Mustache"""
No07780#0,"""Ophiuchus Pot"""
No07790#0,"""Ophiuchus Crown"""
No07800#0,"""GH410 Brim"""
No07810#0,"""GH470 Headphone"""
No07820#0,"""Weltraum Headgear"""
No07821#0,"""Weltraum Headgear B"""
No07830#0,"""Shell Mask"""
No07840#0,"""Apple Head"""
No07850#0,"""Cat Ears Bowler"""
No07860#0,"""Berry Mini Hat"""
No07870#0,"""Feather Crown"""
No07880#0,"""Feather Headband"""
No07890#0,"""Bijou Piercings"""
No07900#0,"""Restraint Belt"""
No07910#0,"""Handcuffs"""
No07920#0,"""Headpiece"""
No07930#0,"""Sword Piercings"""
No07940#0,"""Vol Dragon Helmet"""
No07950#0,"""Mechanical Goggles"""
No07960#0,"""Gas Mask A"""
No07961#0,"""Gas Mask C"""
No07962#0,"""Gas Mask A Green"""
No07970#0,"""Gas Mask B"""
No07971#0,"""Gas Mask D"""
No07972#0,"""Gas Mask B Green"""
No07980#0,"""Metal Wings"""
No07981#0,"""Metal Wings B"""
No07990#0,"""Earset Antenna"""
No07991#0,"""Earset Antenna B"""
No08000#0,"""Pegasus Barrette"""
No08001#0,"""Black Pegasus Barrette"""
No08010#0,"""Cross Thrusters"""
No08011#0,"""Cross Thrusters B"""
No08020#0,"""Red Blaze Eye"""
No08021#0,"""Blue Blaze Eye"""
No08022#0,"""Bright Blaze Eye"""
No08030#0,"""Perfume Wings"""
No08031#0,"""Perfume Wings Shadow"""
No08032#0,"""Perfume Wings Leaf"""
No08040#0,"""Rouge Piercings"""
No08050#0,"""Gilias Visor"""
No08051#0,"""Gilias Visor Steel"""
No08052#0,"""Gilias Visor Snow"""
No08053#0,"""Gilias Visor Crimson"""
No08060#0,"""Gilgamesh Earrings"""
No08070#0,"""Ophiuchus Muffler"""
No08080#0,"""Ophiuchus Bracelet"""
No08100#0,"""Big Butterfly"""
No08101#0,"""Big Butterfly B"""
No08110#0,"""Dragonfly"""
No08120#0,"""Gothic Headpiece"""
No08130#0,"""Quartz Dragon Helmet"""
No08140#0,"""Gold Trident"""
No08141#0,"""Trident Head"""
No08150#0,"""Quna Scarf A"""
No08151#0,"""Quna Scarf B"""
No08160#0,"""Quna Earmuffs A"""
No08161#0,"""Quna Earmuffs B"""
No08170#0,"""Quna Knit Cap A"""
No08171#0,"""Quna Knit Cap B"""
No08180#0,"""Quna Mitten A"""
No08181#0,"""Quna Mitten B"""
No08190#0,"""Snowman Head"""
No08200#0,"""Strike Arrow"""
No08210#0,"""Sagittarius Earrings"""
No08220#0,"""Sagittarius Corsage"""
No08230#0,"""Capricorn Headgear"""
No08240#0,"""Reindeer Horns"""
No08250#0,"""Red Nose"""
No08260#0,"""Red Party Cap"""
No08261#0,"""Green Party Cap"""
No08262#0,"""Party Cap"""
No08270#0,"""Rebellion Mask"""
No08271#0,"""Rebellion Mask Crimson"""
No08272#0,"""Rebellion Mask Chestnut"""
No08273#0,"""Rebellion Mask Leaf"""
No08280#0,"""Snow Earrings"""
No08290#0,"""Snow Corsage"""
No08300#0,"""Orange Head"""
No08310#0,"""Shishimai Mask"""
No08320#0,"""Yakko Dako"""
No08330#0,"""Kyo Hairpin"""
No08340#0,"""Hamaya Hairpin"""
No08350#0,"""Red & White Muffler"""
No08360#0,"""Ema Earrings Horse"""
No08370#0,"""Oriental Corsage"""
No08380#0,"""New Year Board"""
No08390#0,"""Thoroughbred Mask"""
No08391#0,"""Thoroughbred Mask B"""
No08400#0,"""Horse Ears"""
No08410#0,"""Horse Tail"""
No08420#0,"""Zodiac Earrings Horse"""
No08430#0,"""Okame Mask"""
No08440#0,"""Botan Corsage"""
No08441#0,"""Botan Corsage B"""
No08450#0,"""Braided Pigtails"""
No08460#0,"""Side Boosters"""
No08461#0,"""Side Boosters B"""
No08470#0,"""Wrist Ribbon"""
No08471#0,"""Pink Wrist Ribbon"""
No08480#0,"""Neck Headphones"""
No08481#0,"""Neck Headphones B"""
No08490#0,"""Scarf Mittens"""
No08500#0,"""Tote Bag"""
No08510#0,"""Rappy Tutu"""
No08520#0,"""Goldfish Tail"""
No08530#0,"""Clown Cap"""
No08540#0,"""Surge Headgear"""
No08541#0,"""Surge Headgear Crimson"""
No08542#0,"""Surge Headgear Moon"""
No08543#0,"""Surge Headgear Sun"""
No08550#0,"""Luchter Mask"""
No08551#0,"""Luchter Mask Crimson"""
No08552#0,"""Luchter Mask Moon"""
No08553#0,"""Luchter Mask Leaf"""
No08560#0,"""Gear D Wing A"""
No08561#0,"""Gear D Wing B"""
No08562#0,"""Gear D Wing A Pink"""
No08563#0,"""Gear D Wing B Pink"""
No08570#0,"""Gilnatch Lamp"""
No08580#0,"""Earmuff Headband Snow"""
No08581#0,"""Earmuff Headband"""
No08590#0,"""Chew Bone"""
No08600#0,"""Hanging Rappy"""
No08610#0,"""Large Twin Ribbon"""
No08611#0,"""White Large Twin Ribbon"""
No08612#0,"""Black Large Twin Ribbon"""
No08620#0,"""Oni Hachigane"""
No08630#0,"""Sega Saturn Mask"""
No08631#0,"""Sega Saturn Mask NA"""
No08640#0,"""Dreamcast Mask"""
No08641#0,"""Dreamcast Mask NA"""
No08650#0,"""Calceolaria Tiara"""
No08651#0,"""Calceolaria Tiara B"""
No08652#0,"""Calceolaria Tiara C"""
No08660#0,"""Calceolaria Blade"""
No08661#0,"""Calceolaria Blade B"""
No08662#0,"""Calceolaria Blade C"""
No08670#0,"""Calceolaria Vernier"""
No08671#0,"""Calceolaria Vernier B"""
No08672#0,"""Calceolaria Vernier C"""
No08680#0,"""Capricorn Horn"""
No08690#0,"""Hannya Mask Red"""
No08691#0,"""Hannya Mask White"""
No08692#0,"""Hannya Mask Red B"""
No08693#0,"""Hannya Mask White B"""
No08700#0,"""Chocolate Heart Earrings"""
No08710#0,"""White Stripe Ribbon"""
No08711#0,"""Pink Stripe Ribbon"""
No08712#0,"""ストライプリボン\u3000緑"""
No08720#0,"""White Stripe Tie"""
No08721#0,"""Pink Stripe Tie"""
No08722#0,"""ストライプリボンタイ\u3000緑"""
No08730#0,"""Valentine Hat"""
No08731#0,"""Valentine Hat B"""
No08740#0,"""Lightning Drums"""
No08750#0,"""Capricorn Headband"""
No08760#0,"""Magatama Earrings"""
No08761#0,"""Magatama Earrings B"""
No08770#0,"""Demon Horns"""
No08780#0,"""Argon Crown"""
No08781#0,"""Argon Crown Elegant"""
No08782#0,"""Argon Crown Steel"""
No08783#0,"""Argon Crown Moon"""
No08790#0,"""Alicia Circlet"""
No08791#0,"""Alicia Circlet Elegant"""
No08792#0,"""Alicia Circlet Steel"""
No08793#0,"""Alicia Circlet Sakura"""
No08800#0,"""Alcuria Beret"""
No08801#0,"""Alcuria Beret Elegant"""
No08802#0,"""Alcuria Beret Shadow"""
No08803#0,"""Alcuria Beret Sakura"""
No08810#0,"""Seminarion Glasses"""
No08811#0,"""Seminarion Glasses Elegant"""
No08812#0,"""Seminarion Glasses Shadow"""
No08813#0,"""Seminarion Glasses Sky"""
No08814#0,"""Musashi Glasses"""
No08820#0,"""Crafter's Cloak A"""
No08821#0,"""Crafter's Cloak B"""
No08822#0,"""Granida Cloak A"""
No08823#0,"""Granida Cloak B"""
No08824#0,"""Crafter's Cloak A CV"""
No08825#0,"""Granida Cloak A CV"""
No08826#0,"""SORO Cloak"""
No08830#0,"""Dragon Ex Helmet"""
No08840#0,"""Chrome Dragon Helmet"""
No08850#0,"""Cherry Earrings"""
No08860#0,"""Berry Headband"""
No08880#0,"""Kaguya Hairpin"""
No08881#0,"""Kaguya Hairpin Elegant"""
No08882#0,"""Kaguya Hairpin Leaf"""
No08883#0,"""Kaguya Hairpin Snow"""
No08890#0,"""Kamui Hood"""
No08891#0,"""Kamui Hood Elegant"""
No08892#0,"""Kamui Hood Crimson"""
No08893#0,"""Kamui Hood Sprout"""
No08900#0,"""Ohinasama Crown"""
No08910#0,"""Aquarius Earrings"""
No08920#0,"""Aquarius Jar"""
No08930#0,"""Gold Crown"""
No08931#0,"""Mini Gold Crown"""
No08932#0,"""Silver Crown"""
No08933#0,"""Mini Silver Crown"""
No08940#0,"""Sakura Pouch"""
No08950#0,"""Stabilizer"""
No08951#0,"""Stabilizer B"""
No08960#0,"""Mikasa Scarf"""
No08970#0,"""Entrance Ceremony Ribbon"""
No08980#0,"""Pocket Watch Gold"""
No08981#0,"""Pocket Watch Silver"""
No08990#0,"""Sea Bream Head"""
No09000#0,"""Pisces Earrings"""
No09010#0,"""Pisces Crown"""
No09020#0,"""Hard Arm Pouch A"""
No09021#0,"""Hard Arm Pouch B"""
No09030#0,"""Hard Waist Pouch A"""
No09031#0,"""Hard Waist Pouch B"""
No09040#0,"""Hard Leg Pouch A"""
No09041#0,"""Hard Leg Pouch B"""
No09050#0,"""Triple Barrel Photon Cannon A"""
No09051#0,"""Triple Barrel Photon Cannon B"""
No09052#0,"""Triple Barrel Photon Cannon C"""
No09060#0,"""School Headband"""
No09070#0,"""Pristine L. Hachi-gane"""
No09071#0,"""Pristine L. Steel Headband B"""
No09080#0,"""Pristine Grand Helmet"""
No09081#0,"""Pristine Grand Helmet B"""
No09090#0,"""Black Backpack"""
No09091#0,"""Red Backpack"""
No09092#0,"""Backpack"""
No09093#0,"""Pink Ransel"""
No09100#0,"""Pristine Crest Eye Patch"""
No09110#0,"""Black Celebrity Hat"""
No09111#0,"""Celebrity Hat"""
No09120#0,"""White School Beret"""
No09121#0,"""School Beret"""
No09130#0,"""FOnewearl Chain"""
No09140#0,"""Gorgeous Long Ribbon"""
No09150#0,"""Sports Bag"""
No09151#0,"""Sports Bag B"""
No09160#0,"""White Gauze Mask"""
No09161#0,"""Black Gauze Mask"""
No09170#0,"""Clear Goggles"""
No09180#0,"""Red Arm Scarf"""
No09181#0,"""Black Arm Scarf"""
No09182#0,"""Blue Arm Scarf"""
No09190#0,"""Red Leg Scarf"""
No09191#0,"""Black Leg Scarf"""
No09192#0,"""Blue Leg Scarf"""
No09200#0,"""3D Glasses"""
No09210#0,"""Swelling Lump"""
No09220#0,"""Canary Ribbon"""
No09221#0,"""Canary Ribbon Elegant"""
No09222#0,"""Canary Ribbon Steel"""
No09223#0,"""Canary Ribbon Sky"""
No09230#0,"""Robin Cap"""
No09231#0,"""Robin Cap Elegant"""
No09232#0,"""Robin Hat Steel"""
No09233#0,"""Robin Cap Sky"""
No09240#0,"""Shoulder Covers"""
No09241#0,"""Shoulder Covers B"""
No09250#0,"""Zelsius Quna Chain"""
No09260#0,"""Dudu Chain"""
No09270#0,"""White Cat Garter"""
No09271#0,"""Black Cat Garter"""
No09280#0,"""Black Leg Knife"""
No09281#0,"""Leg Knife"""
No09290#0,"""Chef Scarf Red"""
No09291#0,"""Chef Scarf Blue"""
No09292#0,"""Chef Scarf Black"""
No09300#0,"""Red Cross Scarf"""
No09301#0,"""Purple Cross Scarf"""
No09302#0,"""Black Cross Scarf"""
No09310#0,"""Mini Eatster"""
No09320#0,"""Eatster Earrings"""
No09330#0,"""Wedding Necklace"""
No09340#0,"""Wedding Tiara B"""
No09350#0,"""Honeymoon Cans"""
No09360#0,"""Black Umbrella"""
No09361#0,"""Red Umbrella"""
No09362#0,"""Blue Umbrella"""
No09370#0,"""Drop Earrings"""
No09380#0,"""Teru Teru Bouzu"""
No09390#0,"""Black Punk Pouch"""
No09391#0,"""Punk Pouch"""
No09400#0,"""Triple Missile Pod"""
No09410#0,"""Leaf"""
No09420#0,"""Moai Mask"""
No09430#0,"""Black Tsunogasa"""
No09431#0,"""Tsunogasa"""
No09440#0,"""Brown Sandogasa"""
No09441#0,"""Sandogasa"""
No09450#0,"""Waist Ribbon A"""
No09451#0,"""Waist Ribbon B"""
No09452#0,"""Waist Ribbon C"""
No09453#0,"""Waist Ribbon D"""
No09460#0,"""Dangling Arkuma"""
No09470#0,"""Arkuma Earrings"""
No09480#0,"""Arkuma Tail"""
No09481#0,"""Arkumami Tail"""
No09490#0,"""Arkuma Headphones"""
No09500#0,"""Miraseria Quna Chain"""
No09510#0,"""Tool Bag A"""
No09511#0,"""Tool Bag B"""
No09520#0,"""Casual Leg Pouch A"""
No09521#0,"""Casual Leg Pouch B"""
No09530#0,"""Charis Crown"""
No09531#0,"""Charis Crown B"""
No09540#0,"""Charis Tiara"""
No09541#0,"""Charis Tiara B"""
No09550#0,"""Officer Glasses"""
No09560#0,"""Grenade Belt"""
No09570#0,"""Plain Blindfold Black"""
No09571#0,"""Plain Blindfold White"""
No09572#0,"""Plain Blindfold"""
No09580#0,"""Triple Earrings"""
No09581#0,"""Triple Earrings B"""
No09590#0,"""Straw-Hat"""
No09600#0,"""Ahoge C"""
No09610#0,"""Tail Key Chain"""
No09620#0,"""White Heart Float"""
No09621#0,"""Blue Heart Float"""
No09622#0,"""Pink Heart Float"""
No09630#0,"""Yellow Melody Float"""
No09631#0,"""Blue Melody Float"""
No09632#0,"""Pink Melody Float"""
No09640#0,"""Arm Blades"""
No09641#0,"""Arm Blades B"""
No09650#0,"""Rear Vernier"""
No09651#0,"""Rear Vernier B"""
No09660#0,"""Orthodox Sunglasses"""
No09670#0,"""Super Long Scarf A"""
No09671#0,"""Super Long Scarf B"""
No09672#0,"""Super Long Scarf C"""
No09673#0,"""Super Long Scarf D"""
No09674#0,"""Super Long Scarf E"""
