YesText#0,"""Yes"""
PartyBuff#0,"""Tri-Boost +$(0)%"""
PremiumBoost#0,"""Tri-Boost +$(0)%"""
PremiumBoostDay#0,"""$(0) Day(s)"""
PokaPointBoost#0,"""Battle Coin Bonus +$(0)%"""
ParameterSync#0,"""Lv.$(0) Stats"""
BasnetBuff#0,"""Tri-Boost +$(0)%"""
HalfdollRemain#0,"""Available ($(0) remaining)"""
HalfDollNotRemain#0,"""Expended (will recover on returning to Campship)"""
ComeBackPlayerPresent#0,"""Featured Quest Present +$(0)"""
CloudBlockBuff#0,"""EXP +$(0)%"""
TSB_TriBoost#0,"""Tri-Boost +$(0)%"""
TSB_ExpUp#0,"""EXP +$(0)%"""
TSB_MesetaUp#0,"""Meseta +$(0)%"""
TSB_RareDropUp#0,"""Rare Drop Rate +$(0)%"""
TSB_MyClassWeaponDropUp#0,"""Class Drop Boost +$(0)%"""
TSB_ItemLotteriesUp#0,"""★14-rarity or higher weapon drop boost up"""
TSB_AddDropItem#0,"""\""Rare-grain Erebos Stone\"" drop boost added"""
TravelBoost_TravelContinuous#0,"""Area 2 Boost"""
Armada_DropLotteriesUp#0,"""Item Drop Boost Up"""
SubTitle_WorldTrial#0,"""S. Grace Boost [All]"""
SubTitle_WorldTrial2#0,"""S. Grace Boost [Self]"""
WorldTrial_RareDropUp#0,"""Rare Drop Rate +$(0)%"""
TechterShiftaDebandBuff#0,"""Shifta-Deband"""
SubTitle_Drone#0,"""Drome Boost"""
Drone_Buff#0,"""Damage Boost & Reduced Damage Taken"""
RMag_RegionMagBoost#0,"""Regional Mag Boosts"""
RMag_BoostEffect1#0,"""Attack Power Up"""
RMag_BoostEffect2#0,"""Experience Gained +$(0)%"""
RMag_BoostEffect3#0,"""Rare Drop Rate +$(0)%"""
PremiumFoodBoostEffect1#0,"""Rare Drop Rate +$(0)%"""
PremiumFoodBoostEffect2#0,"""Meseta Gained +$(0)%"""
PremiumFoodBoostEffect3#0,"""Experience Gained +$(0)%"""
Premium_Effect#0,"""<pict Arcscash>Premium Effect"""
PremiumFoodBoost#0,"""Food Boost <pict Arcscash>Premium Effects"""
FoodBoost#0,"""Food Boost Effects"""
SubTitle_BattleTrigger#0,"""Battle Trigger User Effect(s)"""
BattleTrigger_BoostEffect1#0,"""Experience Gained +$(0)%"""
BattleTrigger_BoostEffect2#0,"""Rare Drop Rate +$(0)%"""
CommonBoost_RareDropUp#0,"""Rare Drop Rate ＋$(0)%"""
CommonBoost_SeasonalPointRate#0,"""Seasonal Points Gained Multiplier +$(0)%"""
SubTitle_CampaignBoost#0,"""キャンペーンブースト"""
CampaignBoost_WeoponElements#0,"""$(0)属性武器威力＋$(0)%"""
CampaignBoost_WeoponGroup#0,"""$(0)武器威力＋$(0)%"""
CampaignBoost_PPRegene#0,"""PP自然回復量＋$(0)%"""
CampaignBoost_HPRegene#0,"""HP回復量＋$(0)%"""
CampaignBoost_GenesisPointRate#0,"""ジェネシスポイント獲得倍率＋$(0)％"""
SubTitle_AreaEffect#0,"""フィールド特性"""
IceArea_RecoveryDown#0,"""HP回復量減少"""
SubTitle_AdditionalBoost#0,"""アドオンスキルブースト"""
TriBoost_Addition_Title#0,"""ブースト効果の合計値"""
TriBoost_Addition_Subtitle#0,"""獲得経験値／獲得N-メセタ／レアドロップ倍率"""
TriBoost_Addition1#0,"""<pict exp_icon><pict 4space>＋$(1)%／<pict meseta_icon2><pict 4space>＋$(2)%／<pict rare_drop_icon><pict 4space>＋$(0)%"""
r04_non_dro_b:Boosted#0,"""威力上昇／PP自然回復量増加"""
SubTitle_Df3Boost_Npc1#0,"""クエスト支援効果"""
Df3Boost_Npc1#0,"""威力上昇／移動速度上昇"""
SubTitle_Df3Boost_Npc2#0,"""クエスト支援効果"""
Df3Boost_Npc2#0,"""攻撃命中時に追加攻撃発生"""
SubTitle_Df3Boost_Npc3#0,"""クエスト支援効果"""
Df3Boost_Npc3#0,"""PP自然回復量増加"""
LastDungeon_NormalAttackAtpUp#0,"""通常攻撃威力上昇（Lv.$(0)）"""
LastDungeon_TechniquePaAtpUp#0,"""PA・テクニック威力上昇（Lv.$(0)）"""
LastDungeon_GlideAttackAtpUp#0,"""ダイブアタック威力上昇（Lv.$(0)）"""
LastDungeon_StepCounterAtpUp#0,"""ステップカウンター威力上昇（Lv.$(0)）"""
SubTitle_LastDungeonBuff#0,"""フィールド特性"""
SubTitle_SideMissionClearBonus#0,"""サイドミッション達成ブースト"""
Pyramid_MaxPpAdd#0,"""最大PP＋20"""
Pyramid_PbGuageIncrease#0,"""フォトンブラストゲージ増加量＋100％"""
Pyramid_InflictDamageIncrease#0,"""攻撃威力＋５%"""
Pyramid_DamageCut#0,"""ダメージ耐性＋10%"""
Pyramid_AttackPpHealRateUp#0,"""攻撃時PP回復量＋15%"""
SubTitle_EnemyDebuff#0,"""エネミーから受けた効果"""
EnemyDebuff_AtDamageDown#0,"""威力－$(0)%"""
EnemyDebuff_DfDamageUp#0,"""ダメージ耐性－$(0)%"""
EnemyDebuff_AtDownDown#0,"""エネミーに与えるダウン値－$(0)%"""
EnemyDebuff_DfDownUp#0,"""状態異常耐性－$(0)%"""
ArcsRecord_MainAtkUp#0,"""攻撃威力+20%\u3000<yellow>※メインクラス装備可能武器のみ適用<c>"""
Item#0,"""Items"""
Arms#0,"""Weapons"""
Guard#0,"""Armors"""
Subpalette#0,"""Subpalettes"""
WeaponAvatar#0,"""Weapon Camo"""
WeaponPos#0,"""WPN. Position"""
Valuables#0,"""-"""
Close#0,"""Return"""
DropRoot#0,"""Drop item"""
Rental_ItemName#0,"""Rental Item Name"""
Rental_TimeRimit#0,"""Expiration"""
PATitle#0,"""Photon Art Details"""
TechnicTitle#0,"""Technique Details"""
OverloadTitle#0,"""Compound Technique Details"""
SkillTitle#0,"""Skill Details"""
NormalAttackTitle#0,"""Normal Attack Details"""
WeaponActionTitle#0,"""Weapon Action Details"""
NoSelectPAMessage#0,"""No Photon Art selected."""
NoSelectTechnicMessage#0,"""No Technique selected."""
NoSelectOverloadMessage#0,"""No Compound Technique selected."""
Power#0,"""Pow."""
Dex#1,"""DEX Modifier"""
NeedPp#0,"""PP Cost"""
PowerValue#0,"""$(0)"""
DexValue#0,"""$(0)%"""
EffectValue#0,"""$(0)%"""
Burn#0,"""Burn"""
Shock#0,"""Shock"""
Freeze#0,"""Freeze"""
Bind#0,"""Bind"""
Silence#0,"""Silence"""
Poison#0,"""Poison"""
Break#0,"""Break"""
Injury#0,"""Injure"""
Curse#0,"""Curse"""
Stun#0,"""Stun"""
Panic#0,"""Panic"""
Mirage#0,"""Mirage"""
TechnicCustomize#0,"""Craft Details"""
Merit#0,"""Merit"""
Demerit#0,"""Demerit"""
Special#0,"""Special Effect"""
Custom1#0,"""Custom Type 1"""
Custom2#0,"""Custom Type 2"""
ActionChange#0,"""Behavior Change"""
PetTitle#0,"""Pet Details"""
NeedGauge#0,"""Stocks Used"""
NeedGaugeValue#0,"""$(0) (Max. Stocks: $(1))"""
NotFoundGaugeValue#0,"""Complex PAs cannot be<br>used with current weapons."""
ActionCustomizeMedium_Title#0,"""テックアーツカスタマイズ"""
Title#3,"""Class Skill Details"""
NoSelectMessage#0,"""No Class Skill selected."""
MaxLevel#0,"""MAX Lv."""
Percent#0,"""$(0)%"""
Second#0,"""$(0) sec."""
Piece#0,"""$(0) pieces"""
Shot#0,"""$(0) shots"""
Plus#0,"""+$(0)"""
Minus#0,"""-$(0)"""
Times#0,"""$(0) time(s)"""
Blank#0,"""―"""
LevelZero#0,"""0"""
MaxLevelValue#0,"""($(0))"""
Decimal#0,"""$(1).$(0)"""
Prev#0,"""Prev"""
Next#0,"""Next"""
Title#4,"""Class Details"""
Experience#0,"""EXP"""
NextExperience#0,"""To Next Lv."""
EquipableWeapon#0,"""Equippable Weapons"""
Blank#1,"""―"""
Together_EXP#0,"""Combined EXP"""
Together_EXP_Max#0,"""Max Comb. EXP"""
ClassLevel#0,"""Lv.(MAX)"""
Title#5,"""Armor Palette"""
WarningTitle#0,"""Warning"""
WarningMessage#0,"""If you equip this costume some units will be unequipped.<br>Is that okay?"""
WarningMessageCast#0,"""If you equip these parts some units will be unequipped.<br>Is that okay?"""
CostumeHint#0,"""Costumes can be equipped in this slot."""
Parts1Hint#0,"""Body Parts can be equipped in this slot."""
Parts2Hint#0,"""Arm Parts can be equipped in this slot."""
Parts3Hint#0,"""Leg Parts can be equipped in this slot."""
Addon1Hint#0,"""Rear Units can be equipped in this slot."""
Addon2Hint#0,"""Arm Units can be equipped in this slot."""
Addon3Hint#0,"""Leg Units can be equipped in this slot."""
Ring1Hint#0,"""Left Rings can be equipped in this slot."""
Ring2Hint#0,"""Right Rings can be equipped in this slot."""
FashionHint#0,"""Costumes can be equipped in this slot."""
CostumeHint1#0,"""N-Costumes"""
CostumeHint2#0,"""Costumes/Parts/Weapon Camos"""
CostumeError#0,"""You cannot remove costumes or<br>outerwear in a Shared Ship or<br>Challenge Block. Please return to your<br>ship or a normal block to change<br>your equipment."""
CostumeErrorTitle#0,"""Armor Palette"""
PartsError#0,"""Arm and Leg parts cannot be<br>removed. If you want to change<br>them, you must replace them with<br>another part.<br><br>Also, you cannot change Cast parts<br>or outerwear in a Shared Ship or<br>Challenge Block. Please return to your<br>ship or a normal block to change<br>your equipment."""
PartsErrorTitle#0,"""Armor Palette"""
Costume#0,"""Costume"""
Parts#0,"""Parts"""
Unit#0,"""Units"""
Ring#0,"""Skill Rings"""
Lring#0,"""L Ring"""
Rring#0,"""R Ring"""
WindowTitleCustom#0,"""Weapon Palette"""
WindowTitleCustomSub#0,"""Subpalettes"""
WindowTitleIconbox#0,"""Item list"""
WindowTitleMainTemplate#0,"""Main Palette Template"""
WindowTitleSubTemplate#0,"""Subpalette Template"""
ButtonEquip#0,"""Open Equipment"""
MenuTemplate#0,"""Template"""
MenuDelete#0,"""Clear"""
NoPAMessage#0,"""No Photon Arts"""
NoTechnicMessage#0,"""No Techniques"""
NoOverloadMessage#0,"""No Compound Techniques"""
NoSkillMessage#0,"""No Skills"""
NoPetMessage#0,"""No Pets"""
NoPetPAMessage#0,"""No Pet PAs"""
Acquire#0,"""Learn"""
ConfirmAcquire#0,""" Lv.$(0) will be learned.<br>Is that okay?"""
SuccessAcquire#0,"""Lv.$(0) has been learned."""
AcquireMessageTitle#0,"""Learning PAs/Techniques"""
AcquireMessageTitle2#0,"""Learn Class Skills"""
FailAcquire00#0,"""You already know that Disk level."""
FailAcquire01#0,"""You don't meet the requirements."""
CustomizeMessageTitle#0,"""Custom Disk Final Confirmation"""
ConfirmCustomize#0,"""You will customize <yellow>$(0)<c><br>by using this Custom Disk.<br>Continue?"""
SuccessCustomize#0,"""$(0)has been customized."""
FailCustomize00#0,"""You cannot customize Techniques you do not know."""
ConfirmPaCustomize#0,"""You will customize <yellow>$(0)<c><br>by using this Custom Disk.<br>Continue?"""
FailPaCustomize00#0,"""Cannot customize Photon Arts that you have not learned."""
Set#0,"""Set"""
BackSet#0,"""Set Rear"""
ArmSet#0,"""Set Arm"""
LegSet#0,"""Set Leg"""
BackRemove#0,"""Remove Rear"""
ArmRemove#0,"""Remove Arm"""
LegRemove#0,"""Remove Leg"""
BackSet_v#0,"""Set Rear"""
ArmSet_v#0,"""Set Arm"""
LegSet_v#0,"""Set Leg"""
BackRemove_v#0,"""Remove Rear"""
ArmRemove_v#0,"""Remove Arm"""
LegRemove_v#0,"""Remove Leg"""
CostumeRemove#0,"""Remove Costume"""
OuterwearRemove#0,"""Remove Outerwear"""
PartsRemove#0,"""Remove Body Parts"""
RingRRemove#0,"""Remove Right Ring"""
RingLRemove#0,"""Remove Left Ring"""
RingRRemove_v#0,"""Remove Right Ring"""
RingLRemove_v#0,"""Remove Left Ring"""
Levelup#0,"""Level up"""
Change#0,"""Change"""
SetExchange#0,"""Sort settings"""
Exchange#0,"""Sort"""
Delete#0,"""Remove"""
FailEquip#0,"""Cannot equip"""
MainConfigHint#0,"""Copy/Paste Weapon Palette"""
SubConfigHint#0,"""Copy/Paste Subpalette"""
WeaponSlotHint#0,"""Weapon slot (slot $(0) in the action palette)"""
MainSlotHint#0,"""You can set PAs (Photon Arts)<br> and Techniques to these slots."""
SubSlotHint#0,"""Set Techniques, Class Skills<br> and consumables to this slot."""
IndicateTextMain#0,"""<yellow>Weapons<c>, <c 00ffff>PAs<c> and <green>Techniques<c> can be set to the Weapon Palette <c ff007f>from the tab<c>."""
IndicateTextSub#0,"""<yellow>Consumables<c>, <c 00ffff>Class Skills<c> and <green>Techniques<c> can be set to the Subpalette <c ff007f>from the tab<c>."""
IndicateTextEquip#0,"""<yellow>Units<c>, <c 00ffff>Costume (Parts)<c>, and <green>Rings<c>, can be set to the Armor Palette <c ff007f>from the tab<c>."""
IndicateTextAvatar#0,"""Allows you to change the appearance of your weapon by setting <yellow>*Weapon Camouflage<c>."""
IndicateTextWeaponPos#0,"""Weapon Position allows you to change the position of each weapon on your palettes."""
TabHintPA#0,"""Photon Arts"""
TabHintTechnic#0,"""Techniques"""
TabHintOverload#0,"""Compound Techs"""
TabHintSkill#0,"""Class Skills"""
TabHintPet#0,"""Pet"""
TabHintPetPA#0,"""Pet PAs"""
TabHintAdvancePA#0,"""Successor Class PAs"""
TabHintGaugePA#0,"""Complex PAs"""
GaugePAPoint#0,"""Maximum Stocks"""
EquipMenuTitle#0,"""Equipment Menu"""
IconPacTitle#0,"""List"""
IconPacRemove#0,"""Remove"""
SubPaletteTab1#0,"""1. Book 01"""
SubPaletteTab2#0,"""2. Book 02"""
SubPaletteTab3#0,"""3. Book 03"""
SubPaletteTab4#0,"""4. Book 04"""
SubPaletteTab5#0,"""5. Book 05"""
SubPaletteTab6#0,"""6. Book 06"""
ActionLearn#0,"""Can be learned"""
ActionLearnVita#0,"""Can be learned"""
ActionParamNane#0,"""-"""
NoWeapon#0,"""Unarmed"""
PaletteServerMessage#0,"""Unequipped any items you can no longer equip."""
PaletteServerMessageReleaseAction#0,"""Removed Weapon Actions that no longer meet the conditions."""
SubPaletteTabChangeTag#0,"""<%TabForward>"""
SubPaletteTabChange#0,"""Next"""
Weapon#0,"""Weapons"""
Attack_Arts#0,"""Attack/PA/Technique"""
EnsureLearning#0,"""Confirm learning"""
agendum#0,"""Item"""
Before#0,"""Prev"""
After#0,"""Next"""
Body#0,"""Body"""
Back#0,"""Rear"""
Arm#0,"""Arm"""
Leg#0,"""Leg"""
Costume#1,"""Costume"""
SubWindowChange1#0,"""<pict Sign_TRIANGLE>Switch"""
SubWindowChange2#0,"""<pict Sign_TRIANGLE>Switch"""
SubWindowChange3#0,"""<pict Sign_TRIANGLE>Switch"""
StrongEquipText#0,"""This will change to the strongest equipment from the<br>Inventory for each equipped category. Is this OK?"""
StrongEquipTitle#0,"""Automatic Equip"""
StrongEquipWeaponRevised#0,"""Weapon After Change"""
StrongEquipPalleteRevised#0,"""Unit After Change"""
EquipChangedMessage#0,"""Equipment changed."""
EquipItemNoneMessage#0,"""No equippable items."""
DfpStrike#1,"""Prioritize Striking Defense"""
DfpFirearm#1,"""Prioritize Ranged Defense"""
DfpTechnic#1,"""Prioritize Technique Defense"""
ChipUse#0,"""Confirm Effect Data"""
ChipEffectScope#0,"""Effect Area"""
ChipEffect01#0,"""Main Effect"""
ChipEffect02#0,"""Sub Effect"""
ChipEffect03#0,"""Bonus Effect"""
ChipDays#0,"""Effect Duration"""
TaktMainSlotHint#0,"""You can set a pet in this slot."""
CostumeTitle#0,"""Costume"""
OuterwearTitle#0,"""Outerwear"""
BodyTitle#0,"""Parts"""
SideChange#0,"""Switch"""
SideChangeHint#0,"""Switch between front and back palette."""
WeaponActionError#0,"""This weapon does not have a compatible Weapon Action available."""
GaugePAError#0,"""Successor Classes cannot use Complex PAs."""
NoGaugePAError#0,"""You cannot used Complex PAs with this weapon."""
Mars_main1#0,"""Main1"""
Mars_main2#0,"""Main2"""
Mars_sub#0,"""Sub"""
Mars_Actionfront#0,"""Front"""
Mars_ActionBack#0,"""Back"""
Mars_Skilltree#0,"""M.A.R.S.スキルリスト設定"""
Mars_Skilltree_btn#0,"""リストを選択"""
Mars_Skilltree_title#0,"""スキルリスト選択"""
Mars_Voice#0,"""サポートCOMボイス設定"""
Mars_Voicelabel1#0,"""COMボイス再生"""
Mars_Voicelabel2#0,"""COMボイス言語"""
Mars_Voicelabel1_ON#0,"""再生する"""
Mars_Voicelabel1_OFF#0,"""再生しない"""
Mars_Voicelabel2_Custom1#0,"""英語"""
Mars_Voicelabel2_Custom2#0,"""日本語"""
Mars_Setlabel#0,"""$(0).セット<pict 4space>$(0)"""
Mars_Balloon1#0,"""すべて表示"""
Mars_Balloon2#0,"""M.A.R.S.メイン兵装1"""
Mars_Balloon3#0,"""M.A.R.S.メイン兵装2"""
Mars_Inoperable_ToastMessage#0,"""この操作は、アークス拠点でのみ可能です。"""
Mars_Balloon4#0,"""M.A.R.S.のアクションを<br>セットすることができるスロットです"""
Title#6,"""Character Info"""
OtherTitle#0,"""$(0)'s Character Info"""
Param#0,"""Stat Info"""
Equipment#0,"""Equipment Info"""
SetEffect#0,"""Set Effect Info"""
Class#0,"""Class Info"""
Pa#0,"""Photon Art Info"""
GaugePA#0,"""Complex PA Info"""
AdvancePA#0,"""Successor PA Info"""
Technic#1,"""Technique Info"""
Overload#0,"""Compound Tech Info"""
ClassSkill#0,"""Class Skill Info"""
CraftInfo#0,"""Craft Info"""
EventItem#0,"""Event Items"""
FashionInfo#0,"""Fashion Info"""
InquiryMessage#0,"""Requesting info..."""
NoDataMessage#0,"""There is no info to display"""
Close#1,"""Return"""
TitleName#0,"""Title"""
NoTitle#0,"""None"""
Name#0,"""Character Name"""
Guild#0,"""Team Name"""
NoGuild#0,"""Unaffiliated"""
HunterExplanation#0,"""A class whose true worth lies in melee. Boasting high HP and defense, they excel at solo combat."""
RangerExplanation#0,"""A class that focuses on mid-ranged combat, attacking with guns. They are capable of precise ranged attacks."""
ForceExplanation#0,"""A class geared toward long-range combat using Photonic Techniques as powerful as they are diverse."""
FighterExplanation#0,"""A close ranged melee class specializing in lightweight weapons. Users of this class are known for their high fighting prowess."""
GunnerExplanation#0,"""Combines high rate of fire and high maneuverability using ranged weapons for close range combat."""
TecherExplanation#0,"""A class that focuses in mid-range combat using Techniques. They specialize in Supportive Techniques."""
BraverExplanation#0,"""A class balanced between short and long ranged combat. Become stronger by advancing skills, timing, and precision."""
BouncerExplanation#0,"""A class capable not only of melee combat, but Technique use as well. Their true worth lies in supporting many people in combat."""
SummonerExplanation#0,"""<yellow>近距離および遠距離戦闘向きのクラス<c><br>“ファミリア”を使役し、ともにエネミーと戦う。<br>状況に応じてファミリアを使いわけることで、<br>真価を発揮する。"""
SlayerExplanation#0,"""<yellow>近距離戦闘向きのクラス<c><br>高い機動力による近接戦闘を得意とする。<br>銃撃と斬撃を駆使して、エネミーを葬り去る。"""
NoPaMessage#0,"""No Photon Arts"""
NoTechnicMessage#1,"""No Techniques"""
NoOverloadMessage#1,"""No Compound Techniques"""
NoClassSkillMessage#0,"""No Class Skills"""
OnMousePaAll#0,"""All Photon Arts"""
OnMousePaSword#0,"""Sword Photon Arts"""
OnMousePaLance#0,"""Wired Lance Photon Arts"""
OnMousePaPartisan#0,"""Partizan Photon Arts"""
OnMousePaTdagger#0,"""Twin Dagger Photon Arts"""
OnMousePaWsaber#0,"""Double Saber Photon Arts"""
OnMousePaKnuckle#0,"""Knuckle Photon Arts"""
OnMousePaSaber#0,"""Gunslash Photon Arts"""
OnMousePaRifle#0,"""Assault Rifle Photon Arts"""
OnMousePaLauncher#0,"""Launcher Photon Arts"""
OnMousePaTmachinegun#0,"""Twin Machinegun Photon Arts"""
OnMousePaRod#0,"""Rod Photon Arts"""
OnMousePaTalis#0,"""Talis Photon Arts"""
OnMousePaWand#0,"""Wand Photon Arts"""
OnMousePaKatana#0,"""Katana Photon Arts"""
OnMousePaCompoundBow#0,"""Bullet Bow Photon Arts"""
OnMousePaJboots#0,"""Jet Boots PAs"""
OnMousePaDblade#0,"""Dual Blades PAs"""
OnMousePaTakt#0,"""タクト系フォトンアーツ"""
OnMouseTechnicAttributeAll#0,"""All Techniques"""
OnMouseTechnicAttributeFire#0,"""Fire Techniques"""
OnMouseTechnicAttributeIce#0,"""Ice Techniques"""
OnMouseTechnicAttributeThunder#0,"""Lightning Techniques"""
OnMouseTechnicAttributeWind#0,"""Wind Techniques"""
OnMouseTechnicAttributeLight#0,"""Light Techniques"""
OnMouseTechnicAttributeDark#0,"""Dark Techniques"""
OnMouseTechnicAttributeMultiple#0,"""Simple Multi-Element Techniques"""
OnMouseTechnicAttributeOverload#0,"""Multi-Element Techniques"""
OnMouseClassSkill#0,"""$(0)$(1) Class Skills"""
ClassList#0,"""Class List"""
ClassLevel#1,"""Lv.(MAX)"""
PaList#0,"""Photon Arts List"""
TechnicList#0,"""Technique List"""
ClassSkillList#0,"""Class Skill List"""
InquiryErrorTitle#0,"""Retrieving Character Info"""
InquiryErrorMessage1#0,"""Could not display Character Info."""
ClassSkillLevel#0,"""Lv.(MAX)"""
EquipmentWeapon#0,"""Weapons"""
EquipmentUnit#0,"""Units/Skill Rings"""
EquipmentCostume#0,"""Parts/Costumes/Weapon Camos"""
InquiryErrorMessage2#0,"""Could not get character info.<br>Please try again later."""
CraftDetailTitle#0,"""Craft Information"""
CraftRecipeHint1#0,"""Extend Equipment"""
CraftRecipeHint2#0,"""Customize Technique"""
CraftRecipeHint3#0,"""Install Timed Ability"""
CraftRecipeHint4#0,"""Disassembly"""
CraftRecipeHint5#0,"""Customize PA"""
BonusMessage00#0,"""Reduce Cooldown Time"""
BonusMessage01#0,"""Class Availability Up"""
BonusMessage02#0,"""Weapon Req. Reduction"""
BonusMessage03#0,"""Armor Req. Reduction"""
BonusMessage000#0,"""($(0).$(1)%)"""
BonusMessage10#0,"""Fire Merit Boost"""
BonusMessage11#0,"""Ice Merit Boost"""
BonusMessage12#0,"""Lightning Merit Boost"""
BonusMessage13#0,"""Wind Merit Boost"""
BonusMessage14#0,"""Light Merit Boost"""
BonusMessage15#0,"""Dark Merit Boost"""
BonusMessage10_d#0,"""Fire Demerit Reduction"""
BonusMessage11_d#0,"""Ice Demerit Reduction"""
BonusMessage12_d#0,"""Lightning Demerit Reduction"""
BonusMessage13_d#0,"""Wind Demerit Reduction"""
BonusMessage14_d#0,"""Light Demerit Reduction"""
BonusMessage15_d#0,"""Dark Demerit Reduction"""
BonusMessage001#0,"""($(0)% ),( $(1)%)"""
BonusMessage002#0,"""($(0)%)"""
InquiryErrorMessage3#0,"""Failed to retrieve craft information.<br>Please try again momentarily."""
NoBonusMessage#0,"""No Craft License"""
BonusMessage16#0,"""Increase Max Sub Effect Rate"""
BonusMessage17#0,"""Increase Extra Effect Rate"""
BonusMessage18#0,"""Increase Extended Duration Rate"""
BonusMessage19#0,"""Strike PA Custom Type 1 Up"""
BonusMessage20#0,"""Strike PA Custom Type 2 Up"""
BonusMessage21#0,"""Ranged PA Custom Type 1 Up"""
BonusMessage22#0,"""Ranged PA Custom Type 2 Up"""
BonusMessage23#0,"""Tech PA Custom Type 1 Up"""
BonusMessage24#0,"""Tech PA Custom Type 2 Up"""
SetEffectEquipTitle#0,"""Equipment Set Effects"""
SetEffectInfoTitle1#0,"""Stats"""
SetEffectInfoTitle2#0,"""SET1"""
SetEffectInfoTitle3#0,"""SET2"""
TreasureMessage#0,"""Open another window."""
RebootText001#0,"""キャラクターの情報やステータスが確認できます。また、「発生中の効果」で有効なブーストが確認できます。"""
RebootText002#0,"""Player ID Name"""
RebootText003#0,"""Player ID"""
RebootText004#0,"""Race"""
RebootText005#0,"""Team"""
RebootText006#0,"""Maximum Power Level"""
RebootText007#0,"""Class"""
RebootText008#0,"""-"""
RebootText009#0,"""Class List"""
RebootText010#0,"""キャラクターの各クラスレベルを確認できます。"""
RebootText011#0,"""習得済みフォトンアーツの詳細を確認できます。"""
RebootText012#0,"""Photon Arts List"""
RebootText013#0,"""習得済みテクニックの詳細を確認できます。"""
RebootText014#0,"""Technique List"""
RebootText015#0,"""習得済みクラススキルの詳細を確認できます。"""
RebootText016#0,"""Class Skill List"""
RebootText017#0,"""Character Menu"""
RebootText018#0,"""Basic Information"""
RebootText019#0,"""PlayStation Network ID"""
RebootText020#0,"""Xbox Liveゲーマータグ"""
RebootText021#0,"""サブクラス"""
AdditionalSkillInfo#0,"""アドオンスキル情報"""
AdditionalSkillList#0,"""アドオンスキルリスト"""
AdditionalSkillLevel#0,"""Lv.$(0)"""
AdditionalSkillMain#0,"""メイン効果"""
AdditionalSkillSub#0,"""サブ効果"""
Title_DeadMenu#0,"""Incapacitation Menu"""
Label_Return#0,"""キャンプシップへ戻る"""
Label_Revival#0,"""Revive Here"""
Title_Return#0,"""キャンプシップへ戻る"""
Message_Return#0,"""キャンプシップへ戻ります。<br>よろしいですか？"""
Message_Return_NoReward#0,"""キャンプシップへ戻ります。<br>よろしいですか？<br><br><red>※一度キャンプシップに戻ると、<br>\u3000報酬を受け取ることができなくなります。<c>"""
Title_Revival#0,"""Revive Here"""
Message_Revival#0,"""This will revive you here.<br>Are you sure?"""
Message_Revival_NoReward#0,"""This will revive you here.<br>Are you sure?<br><br><red>※If you revive, you will not be able to receive rewards.<c>"""
Message_ReturnFailure#0,"""現在、キャンプシップへ戻ることはできません。 """
Message_RevivalFailure#0,"""現在、復活することはできません。"""
Label_Failure#0,"""Abandon Quest"""
Message_Failure#0,"""クエストをリタイアします。<br>よろしいですか？"""
Label_FailurePartyExit#0,"""Abandon Quest (Leave Party)"""
Message_FailurePartyExit#0,"""Abandon the Quest & leave<br>the Party?"""
Label_Chat#0,"""Chat"""
Label_UseHalf#0,"""Resurrect using a Half Doll"""
Title_HalfDollUse#0,"""Use Half Doll"""
Message_HalfDollUse#0,"""ハーフドールを使用して復活します。<br>よろしいですか？<br><br><yellow>※ハーフドールは、残り$(1)回使用することができます。<br>\u3000使用回数は、キャンプシップに戻ることで回復します。<c><br>（所持数：$(0)）"""
Message_HalfDollNotRemain#0,"""ハーフドール使用回数が$(1)回のため、復活できません。<br><br><yellow>※キャンプシップに戻ることで、$(2)回まで回復します。<c><br>（所持数：$(0)）"""
Message_HalfDollNotHave#0,"""ハーフドールを持っていないため、復活できません。<br><br><yellow>※ハーフドールは、所持していることで<br>\u3000$(0)回まで使用することができます。<br>\u3000使用回数は、キャンプシップに戻ることで回復します。<c>"""
Message_CanNowUseHalfDoll#0,"""ハーフドールの使用回数が回復しました。"""
Message_Revive_count#0,"""Auto-revive in 10 seconds."""
Message_Revive_count_5#0,"""Auto-revive in 5 seconds."""
Message_Revive_count_10#0,"""10秒後に自動で復活します。"""
Message_Revive_count_15#0,"""15秒後に自動で復活します。"""
Message_Revive_count_30#0,"""30秒後に自動で復活します。"""
Message_Revive_count_Time#0,"""Auto-revive in $(0) second(s)."""
Title_RetryConform#0,"""Retry Menu"""
Label_Retry#0,"""Retry"""
Title_RetrySelect#0,"""Retry Selection"""
Message_Retry#0,"""Would you like to retry the quest?<br><br><red>By retrying, you will be reset to<br>before the start of the quest.<c>"""
FastTravelTerminal_Revival#0,"""Return to Ryuker Device"""
FastTravelTerminal_Revival_NoReward#0,"""Do you want to return to the Ryuker Device?"""
FastTravelTerminal_Revival_NoReward_name#0,"""Do you want to return to the<br>$(0) Ryuker Device?"""
Central_Revival#0,"""Return to Central City?"""
Central_Revival_NoReward#0,"""Return to Central City?"""
Emergency_Revival#0,"""Revive Here """
Emergency_Revival_Count#0,"""($(0) second(s) until available)"""
Prologue_Revival_message#0,"""During this Quest, you will automatically be revived when incapacitated."""
DeadMenuTitle#0,"""Incapacitation Menu"""
Return#0,"""Return to Campship"""
