YesText#0,"""네"""
st_010643_date#0,"""A.P.238/3/31/12:30"""
st_010644_title#0,"""뜻밖의 공투"""
st_010644_date#0,"""A.P.238/3/31/12:40"""
st_010646_title#0,"""사냥하는 자와 사냥당하는 자"""
st_010646_date#0,"""A.P.238/3/31/13:00"""
st_010648_title#0,"""마지막 시간"""
st_010648_date#0,"""A.P.238/3/31/13:30"""
st_010649_title#0,"""잠시 찾아온 정적"""
st_010649_date#0,"""A.P.238/3/31/14:00"""
ra_010620_title#0,"""조사 허가가 내려졌어요"""
ra_010620_date#0,"""A.P.238/3/25"""
ra_010630_title#0,"""어느 학자가 행방불명!"""
ra_010630_date#0,"""A.P.238/3/27"""
st_010560_title#0,"""EP 1 - 여덟 번째 마타보드 전달"""
st_010560_date#0,"""A.P.238/3/28/14:00"""
ra_010820_title#0,"""유류품과 흔적"""
ra_010820_date#0,"""A.P.238/3/28"""
ra_010830_title#0,"""감춰진 진실은"""
ra_010830_date#0,"""A.P.238/3/28"""
ra_010640_title#0,"""소녀의 권유"""
ra_010640_date#0,"""A.P.238/3/29"""
ra_010650_title#0,"""암살 미수와 그 이유"""
ra_010650_date#0,"""A.P.238/3/29"""
ra_010660_title#0,"""【거구】는 멸망하지 않는다"""
ra_010660_date#0,"""A.P.238/3/30"""
ra_010670_title#0,"""로지오의 추측"""
ra_010670_date#0,"""A.P.238/3/31"""
ra_010730_title#0,"""날카롭게 긴장된 공기"""
ra_010730_date#0,"""A.P.238/3/30"""
ra_010300_title#0,"""꿈틀거리는 어둠을 깨닫다"""
ra_010300_date#0,"""A.P.238/3/30"""
ra_010160_title#0,"""클라리사의 도난"""
ra_010160_date#0,"""A.P.238/3/31"""
st_010660_title#0,"""아크스의 순찰"""
st_010660_date#0,"""A.P.238/3/31/10:30"""
st_010690_title#0,"""숨겨진 것"""
st_010690_date#0,"""A.P.238/3/31/10:30"""
st_010670_title#0,"""조그맣고 시끄러운 녀석"""
st_010670_date#0,"""A.P.238/3/31/11:00"""
st_010700_title#0,"""착한 거짓말"""
st_010700_date#0,"""A.P.238/3/31/11:00"""
st_010680_title#0,"""대담한 겟템하르트"""
st_010680_date#0,"""A.P.238/3/31/11:30"""
st_010710_title#0,"""제노의 예감"""
st_010710_date#0,"""A.P.238/4/1/10:00"""
st_010720_title#0,"""울려 퍼지는 진동"""
st_010720_date#0,"""A.P.238/4/1/10:30"""
st_010730_title#0,"""과거의 원죄"""
st_010730_date#0,"""A.P.238/4/1/11:00"""
st_010740_title#0,"""힘이 다다른 끝"""
st_010740_date#0,"""A.P.238/4/1/11:20"""
st_010750_title#0,"""【거구】의 눈뜸"""
st_010750_date#0,"""A.P.238/4/1/11:40"""
st_010760_title#0,"""반드시 돌아와"""
st_010760_date#0,"""A.P.238/4/1/12:00"""
mv_010080_title#0,"""다크 펄스【거구】 부활"""
mv_010080_date#0,"""A.P.238/4/1"""
st_010770_title#0,"""절망의 시작"""
st_010770_date#0,"""A.P.238/4/1/13:00"""
mv_010090_title#0,"""다크 펄스【거구】 격파"""
mv_010090_date#0,"""A.P.238/4/1"""
ra_012000_title#0,"""엔드 클러스터"""
ra_012000_date#0,"""A.P.238/4/1"""
un_012000_title#0,"""그림자 속 수색자"""
un_012000_date#0,"""A.P.238/2/23"""
un_012010_title#0,"""섀도우 서번트"""
un_012010_date#0,"""A.P.238/2/25"""
un_012020_title#0,"""소리 없는 탐구"""
un_012020_date#0,"""A.P.238/2/27"""
un_012030_title#0,"""우울한 기운"""
un_012030_date#0,"""A.P.238/3/1"""
un_012040_title#0,"""너무 예민한 감각"""
un_012040_date#0,"""A.P.238/3/7"""
un_012250_title#0,"""조우"""
un_012250_date#0,"""A.P.238/3/8"""
un_012050_title#0,"""용은 어디로 갔는가"""
un_012050_date#0,"""A.P.238/3/15"""
un_012060_title#0,"""정리를 하지 않으면"""
un_012060_date#0,"""A.P.238/3/26"""
un_012260_title#0,"""향수"""
un_012260_date#0,"""A.P.238/3/26"""
un_012080_title#0,"""다커의 기운이 짙다면"""
un_012080_date#0,"""A.P.238/3/30"""
ra_012010_title#0,"""하나의 성취, 하나의 상실"""
ra_012010_date#0,"""A.P.238/4/2"""
un_012170_title#0,"""암행 아이돌"""
un_012170_date#0,"""A.P.238/4/2"""
un_012180_title#0,"""아이돌과 교류"""
un_012180_date#0,"""A.P.238/4/2"""
un_012190_title#0,"""아이돌의 난제"""
un_012190_date#0,"""A.P.238/4/3"""
un_012470_title#0,"""제노의 행방"""
un_012470_date#0,"""A.P.238/4/3"""
un_012200_title#0,"""아이돌의 고민"""
un_012200_date#0,"""A.P.238/4/4"""
un_012210_title#0,"""아이돌의 무리한 난제"""
un_012210_date#0,"""A.P.238/4/5"""
un_012070_title#0,"""감시인가 관찰인가"""
un_012070_date#0,"""A.P.238/4/5"""
un_012090_title#0,"""배신자라고 들었으니까"""
un_012090_date#0,"""A.P.238/4/8"""
un_012360_title#0,"""전부 없애 버리겠어"""
un_012360_date#0,"""A.P.238/4/8"""
un_012100_title#0,"""그녀와 하드레드"""
un_012100_date#0,"""A.P.238/4/10"""
un_012110_title#0,"""겉과 속"""
un_012110_date#0,"""A.P.238/4/10"""
un_012160_title#0,"""하드레드의 생각은"""
un_012160_date#0,"""A.P.238/4/14"""
st_012010_title#0,"""끝을 내기 위해"""
st_012010_date#0,"""A.P.238/4/15/10:00"""
st_012020_title#0,"""수상한 행동"""
st_012020_date#0,"""A.P.238/4/15/10:30"""
st_012030_title#0,"""폭주한 이유"""
st_012030_date#0,"""A.P.238/4/15/11:00"""
st_012035_title#0,"""누나를 아끼는 동생"""
st_012035_date#0,"""A.P.238/4/15/11:00"""
st_012040_title#0,"""대답하지 않는 하드레드"""
st_012040_date#0,"""A.P.238/4/15/11:30"""
st_012045_title#0,"""비통한 외침"""
st_012045_date#0,"""A.P.238/4/15/11:20"""
st_012050_title#0,"""진실의 행방을 찾아서"""
st_012050_date#0,"""A.P.238/4/15/12:00"""
st_012055_title#0,"""허공에 사라지다"""
st_012055_date#0,"""A.P.238/4/15/12:00"""
un_012270_title#0,"""자장가"""
un_012270_date#0,"""A.P.238/4/14"""
ra_012020_title#0,"""비극인가 해방인가"""
ra_012020_date#0,"""A.P.238/4/16"""
un_012130_title#0,"""명령이기에"""
un_012130_date#0,"""A.P.238/4/16"""
un_012220_title#0,"""【우상】이라는 것"""
un_012220_date#0,"""A.P.238/4/16"""
un_012140_title#0,"""강한 자의 딜레마"""
un_012140_date#0,"""A.P.238/4/17"""
un_012230_title#0,"""노래는 좋아했어"""
un_012230_date#0,"""A.P.238/4/17"""
un_012120_title#0,"""역할을 연기하는 법"""
un_012120_date#0,"""A.P.238/4/18"""
un_012150_title#0,"""그 녀석과 나의 관계"""
un_012150_date#0,"""A.P.238/4/19"""
un_012155_title#0,"""해결사 실격"""
un_012155_date#0,"""A.P.238/4/20"""
un_012350_title#0,"""테리오토에게로"""
un_012350_date#0,"""A.P.238/4/21"""
un_012240_title#0,"""마지막 작별"""
un_012240_date#0,"""A.P.238/4/22"""
st_012090_title#0,"""멀고도 가까운 거리"""
st_012090_date#0,"""A.P.238/4/23/13:30"""
st_012100_title#0,"""첫 남매 싸움"""
st_012100_date#0,"""A.P.238/4/23/14:00"""
st_012110_title#0,"""마지막 앙코르"""
st_012110_date#0,"""A.P.238/4/23/14:30"""
st_012120_title#0,"""의지는 잊지 않아"""
st_012120_date#0,"""A.P.238/4/25/10:00"""
ra_013000_title#0,"""엇갈리는 길의 교차"""
ra_013000_date#0,"""A.P.238/4/2"""
ra_013030_title#0,"""다크 펄스라는 존재"""
ra_013030_date#0,"""A.P.238/4/2"""
un_013000_title#0,"""개최 예고! 우리들의 축제!"""
un_013000_date#0,"""A.P.238/4/4"""
un_013010_title#0,"""제노라면 분명……"""
un_013010_date#0,"""A.P.238/4/5"""
un_013020_title#0,"""어째서 그녀가……"""
un_013020_date#0,"""A.P.238/4/7"""
un_013210_title#0,"""호기심 덩어리"""
un_013210_date#0,"""A.P.238/4/8"""
un_013150_title#0,"""전투기술 대회가 코앞이지만"""
un_013150_date#0,"""A.P.238/4/8"""
un_013160_title#0,"""전투기술 대회가 가까워졌지만"""
un_013160_date#0,"""A.P.238/4/8"""
un_013170_title#0,"""축제처럼 떠들어 봅시다아"""
un_013170_date#0,"""A.P.238/4/8"""
un_013190_title#0,"""가끔은 나서고 싶은 무대"""
un_013190_date#0,"""A.P.238/4/8"""
st_013000_title#0,"""누구와 함께 갈까"""
st_013000_date#0,"""A.P.238/4/9/10:50"""
st_013100_title#0,"""함께 힘내자"""
st_013100_date#0,"""A.P.238/4/9/10:55"""
st_013200_title#0,"""함께 힘내 봅시다"""
st_013200_date#0,"""A.P.238/4/9/10:55"""
st_013300_title#0,"""많이 많이 해 보자구요오"""
st_013300_date#0,"""A.P.238/4/9/10:55"""
st_013500_title#0,"""자매의 유대, 보여 드리죠!"""
st_013500_date#0,"""A.P.238/4/9/10:55"""
st_013010_title#0,"""전투기술 대회, 개최!"""
st_013010_date#0,"""A.P.238/4/9/11:00"""
st_013120_title#0,"""믿음직한 성장 속도"""
st_013120_date#0,"""A.P.238/4/9/11:30"""
st_013220_title#0,"""든든한 성장 속도"""
st_013220_date#0,"""A.P.238/4/9/11:30"""
st_013320_title#0,"""보는 눈은 틀리지 않았어요"""
st_013320_date#0,"""A.P.238/4/9/11:30"""
st_013520_title#0,"""예상은 틀리지 않았네!"""
st_013520_date#0,"""A.P.238/4/9/11:30"""
st_013130_title#0,"""가치 있는 공투"""
st_013130_date#0,"""A.P.238/4/9/12:00"""
st_013230_title#0,"""의미 있는 공투"""
st_013230_date#0,"""A.P.238/4/9/12:00"""
st_013330_title#0,"""모르니까, 재밌는 거예요"""
st_013330_date#0,"""A.P.238/4/9/12:00"""
st_013530_title#0,"""직감이 외친다! 이 앞이 마지막이라고!"""
st_013530_date#0,"""A.P.238/4/9/12:00"""
st_013040_title#0,"""기쁘고도 쑥스러운 결과 발표!"""
st_013040_date#0,"""A.P.238/4/9/12:30"""
st_013050_title#0,"""이것으로 전투기술 대회 종료!"""
st_013050_date#0,"""A.P.238/4/9/13:00"""
st_013051_title#0,"""이것으로 전투기술 대회 종료! (패배)"""
st_013051_date#0,"""A.P.238/4/9/13:00"""
st_013160_title#0,"""초대에 감사"""
st_013160_date#0,"""A.P.238/4/9/13:10"""
st_013260_title#0,"""불러 줘서 고마워"""
st_013260_date#0,"""A.P.238/4/9/13:10"""
st_013360_title#0,"""실컷 쏴서 만족"""
st_013360_date#0,"""A.P.238/4/9/13:10"""
st_013560_title#0,"""공짜로는 안 넘어지는 정보상"""
st_013560_date#0,"""A.P.238/4/9/13:10"""
st_013070_title#0,"""비웃는 암흑"""
st_013070_date#0,"""A.P.238/4/9/13:30"""
st_013080_title#0,"""너를 확인"""
st_013080_date#0,"""A.P.238/4/9/15:00"""
un_013200_title#0,"""룰은 제대로 기억해 둬"""
un_013200_date#0,"""A.P.238/4/8"""
un_013180_title#0,"""신경 쓰이는 건 있지만"""
un_013180_date#0,"""A.P.238/4/8"""
st_013600_title#0,"""어쩔 수 없으니 어울려 주지"""
st_013600_date#0,"""A.P.238/4/9/10:55"""
st_013400_title#0,"""파트너와 함께라면"""
st_013400_date#0,"""A.P.238/4/9/10:55"""
st_013620_title#0,"""상상 이상의 성장"""
st_013620_date#0,"""A.P.238/4/9/11:30"""
st_013420_title#0,"""불안감 해소"""
st_013420_date#0,"""A.P.238/4/9/11:30"""
st_013630_title#0,"""진짜 오지랖쟁이"""
st_013630_date#0,"""A.P.238/4/9/12:00"""
st_013430_title#0,"""느껴 본 적 있는 기운"""
st_013430_date#0,"""A.P.238/4/9/12:00"""
st_013640_title#0,"""파란만장한 결과 발표!"""
st_013640_date#0,"""A.P.238/4/9/12:30"""
st_013440_title#0,"""기다리던 이가 찾아오고"""
st_013440_date#0,"""A.P.238/4/9/12:30"""
st_013650_title#0,"""정의로운 행동"""
st_013650_date#0,"""A.P.238/4/9/13:00"""
st_013651_title#0,"""정의로운 행동 (패배)"""
st_013651_date#0,"""A.P.238/4/9/13:00"""
un_010010_title#0,"""수색 중인 제노"""
un_010020_title#0,"""동료와 함께 걸어가"""
un_010030_title#0,"""본 적 있는 것 같은……"""
un_010040_title#0,"""오지랖을 부리는 이유"""
un_010050_title#0,"""겨우 찾아온 평화"""
un_011470_title#0,"""촉망받던 미래"""
un_010060_title#0,"""질긴 인연은 질긴 인연"""
un_010070_title#0,"""아크스가 된 이유"""
un_010080_title#0,"""짐이 된다는 것의 의미"""
un_010090_title#0,"""어느 쪽이 민폐야?"""
un_010100_title#0,"""다커가 늘고 있다"""
un_010110_title#0,"""나아가는 자와 미쳐 가는 자"""
un_010120_title#0,"""정작 그때가 되면"""
un_010010_a_title#0,"""수색 중인 제노(A)"""
un_010010_b_title#0,"""수색 중인 제노(B)"""
un_010140_title#0,"""정말 벌벌 떨며"""
un_010150_title#0,"""가장 두려운 것"""
un_010160_title#0,"""억지력"""
un_010170_title#0,"""무력감"""
un_012480_title#0,"""부재 중 대리 역할로"""
un_010130_a_title#0,"""폭주 중인 에코(A)"""
un_010130_b_title#0,"""폭주 중인 에코(B)"""
un_010320_title#0,"""임무 중인 아핀"""
un_010340_title#0,"""다커란 뭘까"""
un_010350_title#0,"""아크스란 뭘까"""
un_010330_title#0,"""가급적 혼자 움직이도록"""
un_010360_title#0,"""뭐든 다룰 수 있는 건 왜지?"""
un_011490_title#0,"""아핀이 찾는 것은……"""
un_010390_title#0,"""다커에 대한 불만"""
un_011510_title#0,"""리리파족은 무언가를 찾고 있어"""
un_011480_title#0,"""아핀이 찾는 것"""
un_010380_title#0,"""용족은 진짜 대단하네"""
un_010370_title#0,"""정말 정말 소중한 물건"""
un_012600_title#0,"""괜찮다고 하면 거짓말이겠지"""
un_013030_title#0,"""이변의 계기는?"""
un_013040_title#0,"""왠지 신경 쓰이는 분위기"""
un_011230_title#0,"""무슨 말을 해야 할까"""
un_011240_title#0,"""무리하진 마"""
un_011250_title#0,"""모르는 것뿐이야"""
un_011260_title#0,"""다른 사람과 얘기하지 않아"""
un_011330_title#0,"""화산 동굴은 더울 것 같아"""
un_011380_title#0,"""여러 사람이 있구나"""
un_011270_title#0,"""다른 사람과는 이런 느낌"""
un_011280_title#0,"""공명, 좀 머리가 아프다"""
un_011310_title#0,"""사막은 어떤 곳이야?"""
un_011390_title#0,"""새로운 것들이 가득"""
un_011320_title#0,"""갱도는 어떤 곳이야?"""
un_011400_title#0,"""아크스 쉽은 큰 거야?"""
un_011340_title#0,"""부유 대륙, 무섭지 않아?"""
un_011290_title#0,"""공명, 또 머리가 아파"""
un_011370_title#0,"""평화란 뭘까"""
un_011300_title#0,"""공명, 머리가 너무 아파"""
un_012380_title#0,"""폭주룡의 목적은 뭘까?"""
un_012390_title#0,"""노래에 담긴 감정"""
un_013220_title#0,"""활기가 있는 건 좋은 일"""
un_013230_title#0,"""뭔가 일어나고 있구나"""
un_010180_title#0,"""뜻밖의 조우"""
un_010190_title#0,"""약한 놈에겐 가치가 없다"""
un_010200_title#0,"""미끼냐 주식이냐"""
un_010210_title#0,"""다커는 전부 죽여라"""
un_010220_title#0,"""물러터진 싸움 방식"""
un_010230_title#0,"""증오의 표출"""
un_010240_title#0,"""겟템하르트와 멜폰시나"""
un_010250_title#0,"""타인은 말일 뿐"""
un_010260_title#0,"""겟템하르트와 제노"""
un_010270_title#0,"""제노와 너"""
un_010280_title#0,"""죽고 싶어 하는 자"""
un_010290_title#0,"""불행하게 만들어 버리니까"""
un_010300_title#0,"""말없는 아이"""
un_011440_title#0,"""잘 모르겠는 관계"""
un_010310_title#0,"""아무도 도와주지 않아"""
un_012490_title#0,"""언제나 나만 남겨져"""
un_012500_title#0,"""방해하지 말아 주세요"""
un_011520_title#0,"""리리파족의 언어에 대해"""
un_010870_title#0,"""영 흥미가 안 생기네"""
un_010880_title#0,"""지금 말할 때가 아니야"""
un_010900_title#0,"""암두스키아의 매력"""
un_010910_title#0,"""휴식은 중요하다고?"""
un_010920_title#0,"""살아 있는 모든 것"""
un_012320_title#0,"""소문의 폭주룡"""
un_012340_title#0,"""부자연스러운 생명"""
un_012330_title#0,"""이문화 교류"""
un_010640_title#0,"""조사 중!"""
un_010650_title#0,"""육망균형이 뭔지 알아?"""
un_010660_title#0,"""세 영웅이 뭔지 알아?"""
un_010670_title#0,"""신기하고도 신기한 포톤의 힘!"""
un_010680_title#0,"""클래스와 포톤의 관계는?"""
un_010690_title#0,"""한창 정보 수집 중!"""
un_010700_title#0,"""다커의 성질"""
un_010710_title#0,"""옛날 옛날의 아크스는"""
un_010720_title#0,"""다커는 정말 위험해!"""
un_010730_title#0,"""수단과 목적을 잃다"""
un_012280_title#0,"""연구부에서 대사고예요!"""
un_012290_title#0,"""참으로 무서운 건 해결사!"""
un_012300_title#0,"""조사 의뢰라면 맡겨만 둬!"""
un_012310_title#0,"""의뢰 정보 나왔어요!"""
un_013120_title#0,"""축제! 숨 돌리기! 대소동!"""
un_012650_title#0,"""적재적소에서 힘내자!"""
un_011420_title#0,"""무언가에 이끌리고 있어?"""
un_011500_title#0,"""용족의 관습"""
un_010860_title#0,"""나랑은 상관없지만"""
un_011530_title#0,"""나베리우스에 대한 경고"""
un_012550_title#0,"""절망하지 않아도 돼"""
un_012560_title#0,"""너에게 아크스는……"""
un_013110_title#0,"""이렇게 떠들고 있을 때일까"""
un_011210_title#0,"""마토이에 대해"""
un_011220_title#0,"""기억상실은 행복한 일일까?"""
un_010780_title#0,"""다커는 위험하다고"""
un_010790_title#0,"""다커가 늘어나고 있네"""
un_011410_title#0,"""유명 팀의 전멸"""
un_010820_title#0,"""더운 곳은 질색"""
un_010830_title#0,"""추운 곳은 질색"""
un_010800_title#0,"""흉포화의 원인은?"""
un_010810_title#0,"""경계 레벨이 너무 높은가?"""
un_012370_title#0,"""부리는 자는 누구일까"""
un_013050_title#0,"""낙관도 비관도 적당히"""
un_013060_title#0,"""조직엔 비밀이 따르기 마련이야"""
un_013070_title#0,"""비밀의 비밀 오빠"""
un_010400_title#0,"""아크스가 있다는 것"""
un_010410_title#0,"""헌터 지상주의"""
un_010420_title#0,"""포스 따윈 질색이야"""
un_010430_title#0,"""헌터에게 힘든 것"""
un_010440_title#0,"""균형 잡힌 파티란"""
un_010450_title#0,"""포스는 불안해"""
un_010460_title#0,"""감출 수 없는 의분"""
un_012580_title#0,"""숨겨져 있던 이유는"""
un_012630_title#0,"""이제부터의 싸움 방식"""
un_013080_title#0,"""그냥 축제는 아니겠지"""
un_010470_title#0,"""아크스라는 것"""
un_010480_title#0,"""포스 지상주의"""
un_010490_title#0,"""헌터 따윈 싫어"""
un_010500_title#0,"""포스에게 힘든 것"""
un_010510_title#0,"""균형 잡힌 파티"""
un_010520_title#0,"""헌터와 짜면 피곤해"""
un_010530_title#0,"""너무 억울하지 않나"""
un_012570_title#0,"""숨기는 이유는"""
un_012620_title#0,"""앞으로의 싸움 방식"""
un_013090_title#0,"""그냥 축제일 리 없잖아"""
un_010930_title#0,"""아크스로서의 마음가짐"""
un_010940_title#0,"""다커를 조심하라"""
un_010950_title#0,"""멋대로 회고"""
un_010960_title#0,"""규격 외의 존재"""
un_010740_title#0,"""소문 이야기? 당연한 거지?"""
un_010760_title#0,"""엄청 수상한 인영 아냐?"""
un_010770_title#0,"""스킬이 진짜 대단하다니까"""
un_010750_title#0,"""엄청난 아크스 아냐?"""
un_010540_title#0,"""저격수 리사"""
un_010550_title#0,"""총은 최고네요오"""
un_010560_title#0,"""사람의 손맛은 어떤 걸까"""
un_010570_title#0,"""잔뜩 잔뜩 괴롭혀야지"""
un_010590_title#0,"""너도 죽고 싶어?"""
un_010600_title#0,"""인간보다도 싫은 것"""
un_010610_title#0,"""말없는 것의 인상"""
un_010620_title#0,"""눈을 돌려선 안 돼"""
un_010630_title#0,"""침식자가 덤벼드는 이유?"""
un_012590_title#0,"""속죄양"""
un_012640_title#0,"""즐거움 속의 위화감"""
un_013100_title#0,"""춤추는 바보에 쏘는 바보"""
un_010840_title#0,"""눈에 띄고 싶어 하는 육망균형"""
un_010850_title#0,"""고민 상담 육망균형"""
un_011610_title#0,"""길 잃은 육망균형"""
un_011620_title#0,"""자유 행동 육망균형"""
un_011630_title#0,"""혼자인 육망균형"""
un_011640_title#0,"""노력은 안 한다 육망균형"""
un_011650_title#0,"""전력 전개, 육망균형"""
un_012400_title#0,"""경계 중이다 육망균형"""
un_012410_title#0,"""너무 불합리하다 육망균형"""
un_013140_title#0,"""분하다, 육망균형"""
un_011540_title#0,"""유명 아크스, 사람 찾는 중"""
un_012440_title#0,"""사람을 참 부려 먹는군"""
un_012450_title#0,"""귀찮은 뒷수습"""
un_012460_title#0,"""당신 소문을 자주 듣습니다"""
un_011550_title#0,"""내 이름은 휴이!"""
un_011560_title#0,"""육망균형은 무슨 일을 해?"""
un_011570_title#0,"""우렁찬 목소리!"""
un_011580_title#0,"""모든 것은 운명?"""
un_011600_title#0,"""명백히 악영향"""
un_011590_title#0,"""레기아스에게 혼나서"""
un_012420_title#0,"""수상한 예감이 든다!"""
un_012430_title#0,"""믿는 건 자신의 정의!"""
un_013130_title#0,"""억지 기운도 기운이야!"""
un_012510_title#0,"""밝고 격하게 갑시다!"""
un_012520_title#0,"""즐기다 가!"""
un_011180_title#0,"""내려온 이유"""
un_011190_title#0,"""몸으로 가르쳐 줘"""
un_011200_title#0,"""신망의 기둥"""
ra_020010_title#0,"""EP 2 - 첫 번째 마타보드 전달"""
ra_020010_date#0,"""A.P.238/5/1"""
ra_020060_title#0,"""제노를 대신할 수 있도록"""
ra_020060_date#0,"""A.P.238/5/2"""
ra_020090_title#0,"""방랑 중인 테오도르"""
ra_020090_date#0,"""A.P.238/5/6"""
ra_020070_title#0,"""기분 나쁜 원주민"""
ra_020070_date#0,"""A.P.238/5/7"""
ra_020075_title#0,"""은근한 배려"""
ra_020075_date#0,"""A.P.238/5/8"""
ra_020080_title#0,"""말이 통하기만 해도 낫지"""
ra_020080_date#0,"""A.P.238/5/9"""
ra_020095_title#0,"""이상한 기운"""
ra_020095_date#0,"""A.P.238/5/9"""
st_020010_title#0,"""찾는 이를 찾아서"""
st_020010_date#0,"""A.P.238/5/10/13:00"""
st_020020_title#0,"""꼭 닮은 참견쟁이"""
st_020020_date#0,"""A.P.238/5/10/14:00"""
st_020050_title#0,"""다커는 전부 죽입시다"""
st_020050_date#0,"""A.P.238/5/10/14:00"""
st_020030_title#0,"""서로를 향한 믿음"""
st_020030_date#0,"""A.P.238/5/10/15:00"""
st_020040_title#0,"""해야만 할 때"""
st_020040_date#0,"""A.P.238/5/10/16:00"""
st_020045_title#0,"""솔직하지 못한 감사"""
st_020045_date#0,"""A.P.238/5/10/17:00"""
st_020060_title#0,"""왜 그녀를 만날 수 없는가"""
st_020060_date#0,"""A.P.238/5/10/18:00"""
st_020070_title#0,"""아크스의 사명이니까"""
st_020070_date#0,"""A.P.238/5/10/19:00"""
st_020080_title#0,"""그녀의 미소를 떠올리며"""
st_020080_date#0,"""A.P.238/5/10/20:00"""
ra_020020_title#0,"""EP 2 - 두 번째 마타보드 전달"""
ra_020020_date#0,"""A.P.238/5/11"""
ra_020100_title#0,"""잡무 때문에 동분서주"""
ra_020100_date#0,"""A.P.238/5/13"""
ra_020110_title#0,"""한 사람의 아키"""
ra_020110_date#0,"""A.P.238/5/15"""
ra_020120_title#0,"""육체의 죽음, 혼의 순환"""
ra_020120_date#0,"""A.P.238/5/17"""
ra_020130_title#0,"""가장 새로운 혼!"""
ra_020130_date#0,"""A.P.238/5/19"""
ra_020140_title#0,"""일방적인 부탁"""
ra_020140_date#0,"""A.P.238/5/19"""
ra_020150_title#0,"""용제단 동행 부탁"""
ra_020150_date#0,"""A.P.238/5/22"""
st_020105_title#0,"""애매한 감각"""
st_020105_date#0,"""A.P.238/5/25"""
st_020170_title#0,"""사라의 안내"""
st_020170_date#0,"""A.P.238/5/25/10:00"""
st_020180_title#0,"""기다리던 사람의 정체"""
st_020180_date#0,"""A.P.238/5/25/10:30"""
st_020190_title#0,"""사라의 장난"""
st_020190_date#0,"""A.P.238/5/25/11:00"""
st_020110_title#0,"""레라의 요청"""
st_020110_date#0,"""A.P.238/5/25/11:30"""
st_020195_title#0,"""샤오"""
st_020195_date#0,"""A.P.238/5/25/11:30"""
st_020120_title#0,"""아키와 쿠나의 관계"""
st_020120_date#0,"""A.P.238/5/25/12:00"""
st_020130_title#0,"""속죄조차 되지 않는다"""
st_020130_date#0,"""A.P.238/5/25/12:30"""
st_020140_title#0,"""눈을 돌리지 마!"""
st_020140_date#0,"""A.P.238/5/25/13:00"""
st_020150_title#0,"""윤회의 중심"""
st_020150_date#0,"""A.P.238/5/25/13:30"""
st_020160_title#0,"""웃으며 살아"""
st_020160_date#0,"""A.P.238/5/25/14:00"""
st_020198_title#0,"""개변을 시작하자"""
st_020198_date#0,"""A.P.238/4/1"""
st_020200_title#0,"""역사를 바꾸러 왔다"""
st_020200_date#0,"""A.P.238/4/1/12:10"""
st_020210_title#0,"""목적 정리"""
st_020210_date#0,"""A.P.238/4/1/12:20"""
st_020220_title#0,"""40년 만의 살의"""
st_020220_date#0,"""A.P.238/4/1/12:30"""
st_020230_title#0,"""【거구】의 감쇠"""
st_020230_date#0,"""A.P.238/4/1/12:50"""
st_020240_title#0,"""제노와의 약속"""
st_020240_date#0,"""A.P.238/4/1/13:10"""
ra_020030_title#0,"""EP 2 - 세 번째 마타보드 전달"""
ra_020030_date#0,"""A.P.238/5/27"""
ra_020300_title#0,"""리리파족의 거처"""
ra_020300_date#0,"""A.P.238/6/1"""
ra_020310_title#0,"""순찰하는 마리아"""
ra_020310_date#0,"""A.P.238/6/2"""
ra_020340_title#0,"""올바름의 본보기로서"""
ra_020340_date#0,"""A.P.238/6/3"""
ra_020350_title#0,"""이상하다고 생각하니까…"""
ra_020350_date#0,"""A.P.238/6/3"""
ra_020320_title#0,"""프리에의 권유"""
ra_020320_date#0,"""A.P.238/6/4"""
ra_020330_title#0,"""아핀의 고민은"""
ra_020330_date#0,"""A.P.238/6/5"""
st_020300_title#0,"""앞서가는 그림자"""
st_020300_date#0,"""A.P.238/6/10"""
st_020310_title#0,"""프리에와의 순찰"""
st_020310_date#0,"""A.P.238/6/10/10:00"""
st_020360_title#0,"""추적 중인 아핀"""
st_020360_date#0,"""A.P.238/6/10/10:10"""
st_020320_title#0,"""여행길엔 동행"""
st_020320_date#0,"""A.P.238/6/10/10:20"""
st_020330_title#0,"""마리아의 예감"""
st_020330_date#0,"""A.P.238/6/10/10:40"""
st_020370_title#0,"""아무도 기억하지 않는다"""
st_020370_date#0,"""A.P.238/6/10/10:40"""
st_020340_title#0,"""서로 이해할 수 있을 리 없어"""
st_020340_date#0,"""A.P.238/6/10/11:00"""
st_020380_title#0,"""아핀과 【약인】"""
st_020380_date#0,"""A.P.238/6/10/11:10"""
st_020350_title#0,"""자신을 결정하는 것은 자신"""
st_020350_date#0,"""A.P.238/6/10/11:30"""
st_020390_title#0,"""포기하고 싶진 않지만"""
st_020390_date#0,"""A.P.238/6/10/11:30"""
ra_020340_a_title#0,"""올바름의 본보기로서（A）"""
ra_020340_a_date#0,"""A.P.238/6/3"""
ra_020340_b_title#0,"""올바름의 본보기로서（B）"""
ra_020340_b_date#0,"""A.P.238/6/3"""
st_020250_title#0,"""수상한 멜폰시나"""
st_020250_date#0,"""A.P.238/6/13/10:00"""
st_020260_title#0,"""망가뜨린 건 나"""
st_020260_date#0,"""A.P.238/6/13/10:30"""
st_020270_title#0,"""언니처럼"""
st_020270_date#0,"""A.P.238/6/13/11:00"""
st_020280_title#0,"""이름은 더는 불리지 않아"""
st_020280_date#0,"""A.P.238/6/13/11:30"""
