Title#0,"""Centro de entrenamiento ARKS"""
RD_Event066_MES#0,"""Transmisión de emergencia. Hay señales que Dark Falz 【Persona】 ha aparecido! Prepárate para luchar."""
RD_Event067_MES#0,"""La operacion de eliminación de 【Persona】 ha comenzado. Visíta un Asesor de Misiones cuanto antes y ayúdanos a acabar con esta amenaza."""
RD_Event068_MES#0,"""ダークファルス・ペルソナの撃退に成功しました。アークス各員の協力に感謝します。"""
RD_Event069_MES#0,"""緊急警報発令。オラクル船団の近傍にフォトナー艦隊の反応確認。アークス各員は出撃の準備を。"""
RD_Event070_MES#0,"""緊急作戦発令。フォトナー艦隊に対し、迎撃作戦を展開。アークス各員は作戦への参加をお願いします。"""
RD_Event071_MES#0,"""フォトナー艦隊迎撃作戦は、第２段階に移行しました。アークス各員はセクター２展開区域での作戦への参加をお願いします。"""
RD_Event072_MES#0,"""フォトナー艦隊迎撃作戦は、最終段階に移行しました。アークス各員はセクター３展開区域での作戦への参加をお願いします。"""
RD_Event073_MES#0,"""フォトナー艦隊迎撃作戦は、最終段階に移行しました。アークス各員はセクター３展開区域での作戦への参加をお願いします。"""
RD_Event074_MES#0,"""フォトナー艦隊の撃退に成功しました。作戦協力に感謝します。"""
Q_Event001_70_MES#0,"""連絡だよ。向こうの世界――オメガの異変を察知した。近々、大きな戦闘が起こるかもしれないから準備しておいてほしい。"""
Q_Event001_71_MES#0,"""***"""
Q_Event001_72_MES#0,"""***"""
Q_Event001_73_MES#0,"""***"""
RD_Event001_74_MES#0,"""Atención, todos los ARKS. Comenzaremos a movilizar una estrategia de asalto contra la Mothership de Shiva. Todos los ARKS, prepárense y únanse a la salida lo antes posible."""
RD_Event001_75_MES#0,"""Actualmente se está llevando a cabo una operación de asalto contra la Mothership Shiva. Esta es la batalla final... Se solicita a todos los ARKS que ayuden en nuestro momento final."""
RD_Event001_76_MES#0,"""Ya no detectamos a la Diosa de la Destruccion: la señal de energía de Shiva... ¡Por fin!, ¡Lo hicimos!, ¡Todo el mundo, buen trabajo!, ¡Vamos a casa, Guardianes!"""
RD_Event001_77_MES#0,"""これより、マザーシップ・シバへの突撃作戦を開始します。アークス各員は出撃の準備をお願いします。"""
RD_Event001_78_MES#0,"""現在、マザーシップ・シバへの突撃作戦が展開中です。これが本当に最後の戦いです……。アークス各員は、クエストカウンターより出撃をお願いします。"""
RD_Event001_79_MES#0,"""終の女神シバの消滅を確認……。やった……！やりましたよ！みなさん、本当にお疲れ様でした！そして、お帰りなさい、守護輝士！"""
R_Event001_MES#0,"""Tendremos Rankings de Interrupción comenzando en <%TSE_OpenLimetTime>. ¡Asegúrese de participar!"""
R_Event002_MES#0,"""En estos momentos estamos realizando Rankings de Time Attack. La misión actual es [<%TSE_TA_Quset_Name> - <%TSE_TA_Quset_Difficulty>]. La competencia terminará en <%TSE_EndTime>. La misión objetivo dará una mayor experiencia, junto con una bonificación de meseta tras completar la misión!"""
R_Event003_MES#0,"""El Ranking de Time Attack se ha completado."""
R_Event004_MES#1,"""Actualmente estamos procesando los resultados del Ranking interrumpido. Por favor espere el proximo aviso"""
R_Event005_MES#1,"""Los rankings han sido actualizados. Por favor miralos en un Visiphone cercano. El jugador top-ranked es <%TSE_AllTopPlayer_Name>. Felicitaciones!"""
R_Event006_MES#0,"""En este momento estamos en el Ranking de Derrotas de Enemigo y sus objetivos son <%TSE_Kill_Enamy_Level>+ <%TSE_Kill_Enamy_Name>. Los puntos se contabilizarán hasta <%TSE_EndTime>. ¡El porcentaje de bonificación de objetos raros se aplicarán a los enemigos objetivo, independientemente del nivel!"""
T_Event001_MES#0,"""La clasificación de los rankings de este mes ha comenzado. Por favor, espere el anuncio."""
T_Event002_MES#0,"""Los resultados de la clasificación por equipos se han actualizado. Por favor, verifique los detalles en su Visiphone más cercano. Los ganadores de este mes son [<%TSE_AllTopPlayer_Name>], [<%TSE_AllTopCharactor_Name>]. Felicitaciones!"""
R_Event007_MES#0,"""現在、タイムアタックランキング開催中です。対象は「<%TSE_TA_Quset_Name> <%TSE_TA_Quset_Difficulty>」。<%TSE_EndTime>までの集計です。対象のクエストはすべての難度でクリア報酬メセタにボーナスがつきます！"""
P_Event001_MES#0,"""Los rankings de batalla han sido prosesados. Recoge tu recompensa de ranking con Mimi, la administradora de la liga ARKS de tu nave."""
P_Event002_MES#0,"""Los rankings de batalla están siendo computados. Espere a que se complete."""
P_Event003_MES#0,"""El período de clasificación de la batalla ha comenzado. Por favor, compruebe la información de ranking de batalla desde el menú principal."""
TimeBomb_Title#0,"""Desactiva las bombas de tiempo"""
TimeBomb_Message#0,"""Por favor selecciona un punto de conexion<br>para deshabilitar el detonador."""
TimeBomb_1#0,"""Arriba"""
TimeBomb_2#0,"""En medio"""
TimeBomb_3#0,"""Abajo"""
TimeBomb_Cancel#0,"""Cancelar"""
PartyMakerMessage1#0,"""パーティーメイカーが設置可能上限数まで<br>置かれているため、これ以上<br>パーティーメイカーを設置することはできません。"""
PartyMakerMessage2#0,"""El Party Maker sera removido.<br><br>¿Quieres continuar?"""
PartyMakerMessageTitle1#0,"""Confirmación de eliminación del Party Maker"""
ClearTime#0,"""クリア時間  $(0)：$(1).$(2)"""
Totalorb#0,"""Battle Coins Totales"""
KillMvp#0,"""Mas Derrotas Generadas MVP"""
AtkDamageMvp#0,"""Mas daño infligido MVP"""
DefDamageMvp#0,"""Mas daño recibido MVP"""
CrystalMvp#0,"""Mas emblemas recolectados MVP"""
DeathMvp#0,"""Menos caidas MVP"""
PlayerName#0,"""$(0)"""
KillScore#0,"""$(0) personas"""
DamageScore#0,"""$(0)"""
CrystalScore#0,"""$(0)個"""
DeathScore#0,"""$(0)回"""
MvpNone#0,"""<c c0c0c0>Nadie<c>"""
OtherPlayerNum#0,"""y Otros $(0)"""
BattleCoinDetail#0,"""バトルコイン内訳"""
BattleCoin#0,"""バトルコイン"""
BattleResult#0,"""Resultados de batalla"""
Task#0,"""Logros de la batalla"""
Win#0,"""Gano"""
Lose#0,"""Perdio"""
Draw#0,"""Empate"""
GetMvp#0,"""獲得"""
GetMvpSupport#0,"""サポート"""
RareWeaponPickup#0,"""----"""
RareWeaponPickup_Num#0,"""----"""
AtkDamage100Over_Repdigit#0,"""Daño infligido consecutivo (3+)"""
DefDamage100Over_Repdigit#0,"""Daño recibido consecutivo (3+)"""
FightAlone#0,"""----"""
FightAlone_Num#0,"""----"""
ManyKillWeapon#0,"""Mas derrotas usando $(0)"""
ManyDeathWeapon#0,"""Mas caidas por $(0)"""
WeaponType_Sword#0,"""ソード"""
WeaponType_WiredLance#0,"""ワイヤードランス"""
WeaponType_Partisan#0,"""パルチザン"""
WeaponType_TwinDagger#0,"""ツインダガー"""
WeaponType_DoubleSaber#0,"""ダブルセイバー"""
WeaponType_Knuckle#0,"""Knucklse"""
WeaponType_Saber#0,"""ガンスラッシュ"""
WeaponType_AssaultRifle#0,"""ライフル"""
WeaponType_Launcher#0,"""グレネードランチャー"""
WeaponType_TwinMachinegun#0,"""ツインマシンガン"""
WeaponType_Rod#0,"""ロッド"""
WeaponType_Talis#0,"""タリス"""
WeaponType_Wand#0,"""ウォンド"""
WeaponType_Katana#0,"""カタナ"""
WeaponType_CompoundBow#0,"""バレットボウ"""
WeaponType_JetBoots#0,"""ジェットブーツ"""
WeaponType_DualBlade#0,"""デュアルブレード"""
WeaponType_Takt#0,"""Tacts"""
Kill_Num#0,"""Derrotaste $(0) oponentes"""
RainbowCrystal_Num#0,"""Obtubiste $(0)+ Emblemas arcoiris"""
EnemyCrystal_Num#0,"""Obtubiste $(0)+ Emblemas del oponente"""
KillBeforeOneDie_Num#0,"""Lograr $(0) derrotas antes de caer"""
GetOrb_Num#0,"""$(0)<pict poka_btl_coin>"""
Arp#0,"""アリーナポイント情報"""
Rank#0,"""Rango"""
GetArp#0,"""Puntos de arena ganados"""
TotalArp#0,"""Puntos totales de arena"""
OrbInfo#0,"""Info. de Battle Coin"""
GetOrbBase#0,"""Battle Coins Ganados"""
QuestBonus#0,"""Bonos de evento"""
ClearBonus#0,"""Bonos de recompensa"""
TotalBonus#0,"""Bono total"""
GetArpNum#0,"""$(0)ARP"""
BonusPoint#0,"""+$(0)%"""
GetOrbBase_Num#0,"""$(0)<pict poka_btl_coin>"""
Ranking#0,"""LEGEND Ranking """
Place#0,"""Lugar"""
OtherClearTaskNum#0,"""Otro $(0) Lugar"""
MvpPlayerName#0,"""Nombre del jugador"""
MvpScore#0,"""Record """
MvpCoin#0,"""Ganado"""
TotalTaskOrb#0,"""Logros de batalla Battle Coins"""
ClearTaskNone#0,"""Ningun logro ganado en la batalla"""
NextRankPoint#0,"""Al siguiente Rank"""
WinLose#0,"""Resultado"""
MvpScoreNone#0,"""Nada"""
ResultTitle#0,"""Resultados de la batalla"""
OldResultTitle#0,"""Resultados de la batalla anterior"""
MultiDeathInfo#0,"""Cantidad de incapacidades"""
MackAssortChoice_Title#0,"""Selecciona la ruta..."""
MackAssortChoice_Help#0,"""<c f0df60>Selecciona en que nivel quieres participar. (Recuerda Comprobar los beneficios y desventajas). Opción solo disponible para el LIDER del grupo."""
MackAssortChoice_WindowTitle#0,"""Selecciona la siguiente fase"""
MackAssortChoice_AssortType#0,"""テーマタイプ"""
MackAssortChoice_AssortType_Lp#0,"""<pict mack_life> Ruta de Vidas（Puede otorgar: $(0) VIDAS EXTRAS"""
MackAssortChoice_AssortType_Sp#0,"""<pict mack_point>Ruta de Puntos（Puede otorgar hasta：$(0) pts）"""
MackAssortChoice_AssortType_Lp_Value#0,"""(<pict mack_life>+0 ～ $(0))"""
MackAssortChoice_AssortType_Sp_Value#0,"""(<pict mack_point>+0 ～ $(0) Pt)"""
MackAssortChoice_AssortType_Both#0,"""共通ルート"""
MackAssortChoice_AssortGoal#0,"""Objetivo"""
MackAssortChoice_AssortEffect#0,"""Beneficios / Desventajas"""
MackAssortChoice_AssortMap#0,"""Progreso de Fase"""
MackAssortChoice_AllAssortEffect#0,"""Consultar Efectos"""
MackAssortChoice_Chat#0,"""Abrir Chat"""
MackAssortChoice_NowLp#0,"""<pict mack_life>："""
MackAssortChoice_NowSp#0,"""<pict mack_point>："""
MackAssortChoice_Floor#0,"""ステップ<br>$(0)"""
MackFloorText_Short1#0,"""UH"""
MackFloorText_Short2#0,"""ST$(0)～$(1)"""
MackAssortChoice_AllAssortEffectTitle#0,"""Efectos Otorgados"""
MackAssortChoice_AllAssortEffectName#0,"""Cantidad"""
MackAssortChoice_AssortCheckTitle#0,"""Confirmar la seleccion."""
MackAssortChoice_AssortCheck#0,"""¿Continuar con la ruta seleccionada?"""
MackAssortChoice_StartAssortChoice#0,"""パーティーリーダーがテーマ選択中です"""
MackAssortChoice_AssortCheck_block1#0,"""複数ブロック検索で進む"""
MackAssortChoice_AssortCheck_block2#0,"""現在のブロックで進む"""
MackResult_RankS#0,"""<c f8de79>Rank.S"""
MackResult_RankA#0,"""Rank.A"""
MackResult_RankB#0,"""Rank.B"""
MackResult_RankC#0,"""Rank.C"""
MackResult_RankD#0,"""Rank.D"""
MackAssortChoice_GoodEffectText#0,"""$(0)"""
MackAssortChoice_BadEffectText#0,"""$(0)"""
MackAssortChoice_NomalEffectText#0,"""$(0)"""
MackHpUp#0,"""<pict mack_icon_up>プレイヤーのHP<lime_green3> ＋30%<white>"""
MackHpDown#0,"""<pict mack_icon_dw>プレイヤーのHP<pure_red> ー20%<white>"""
MackPpUp#0,"""<pict mack_icon_up>プレイヤーのPP<lime_green3> ＋60<white>"""
MackPpDown#0,"""<pict mack_icon_dw>プレイヤーのPP<pure_red> ー20<white>"""
MackAttackUp#0,"""<pict mack_icon_up>プレイヤーの攻撃力<lime_green3> ＋20%<white>"""
MackAttackDown#0,"""<pict mack_icon_dw>プレイヤーの攻撃力<pure_red> ー20%<white>"""
MackEnemyHpDown#0,"""<pict mack_icon_up>エネミーのHP<lime_green3> ー20%<white>"""
MackEnemyHpUp#0,"""<pict mack_icon_dw>エネミーのHP<pure_red> ＋10%<white>"""
MackEnemyAttackDown#0,"""<pict mack_icon_up>エネミーの攻撃力<lime_green3> ー20%<white>"""
MackEnemyAttackUp#0,"""<pict mack_icon_dw>エネミーの攻撃力<pure_red> ＋10%<white>"""
MackHealUp#0,"""<pict mack_icon_up>プレイヤーのHP回復力<lime_green3> ＋30%<white>"""
MackHealDown#0,"""<pict mack_icon_dw>プレイヤーのHP回復力<pure_red> ー50%<white>"""
MackPpRegenerateRateUp#0,"""<pict mack_icon_up>プレイヤーのPP自然回復力<lime_green3> ＋20%<white>"""
MackPpRegenerateRateDown#0,"""<pict mack_icon_up>プレイヤーのPP自然回復力<lime_green3> ー20%<white>"""
MackActionPpDown#0,"""<pict mack_icon_up>プレイヤーのPP消費量<lime_green3> ー20%<white>"""
MackActionPpUp#0,"""<pict mack_icon_dw>プレイヤーのPP消費量<pure_red> ＋20%<white>"""
MackLifeDamageDown#0,"""<pict mack_icon_up>ライフダメージ<lime_green3> 無効<white>"""
MackLifeDamageUp#0,"""<pict mack_icon_dw>ライフダメージ<pure_red> 増加<white>"""
MackPaGaugeHealUp#0,"""<pict mack_icon_up>解式ゲージ増加率<lime_green3> アップ<white>"""
MackPaGaugeHealDown#0,"""<pict mack_icon_dw>解式ゲージ増加率<pure_red> ダウン<white>"""
MackDarkerBlastGaugeHealUp#0,"""<pict mack_icon_up>ダークブラストゲージ増加率<lime_green3> アップ<white>"""
MackDarkerBlastGaugeHealDown#0,"""<pict mack_icon_dw>ダークブラストゲージ増加率<pure_red> ダウン<white>"""
MackOverloadGaugeHealUp#0,"""<pict mack_icon_up>複合テクニック増加率<lime_green3> アップ<white>"""
MackOverloadGaugeHealDown#0,"""<pict mack_icon_dw>複合テクニック増加率<pure_red> ダウン<white>"""
MackInvincible#0,"""<pict mack_icon_up>クエスト開始から30秒間<lime_green3> 無敵<white>"""
MackAssortChoice_RankS#0,"""<c f8de79>Rank.S"""
MackAssortChoice_RankA#0,"""Rank.A"""
MackAssortChoice_RankB#0,"""Rank.B"""
MackAssortChoice_RankC#0,"""Rank.C"""
MackAssortChoice_AssortCheckError#0,"""ルートの選択はパーティーリーダーのみが行えます。"""
MackAssortChoice_AssortCheckError2#0,"""パーティーメンバー全員が<br>キャンプシップもしくはクエストエリアにいないため<br>先へ進めません。"""
MackAssortChoice_AllAssortEffectSubTitle1#0,"""レギュレーション"""
MackAssortChoice_AllAssortEffectSubTitle2#0,"""ルートボーナス詳細"""
MackDesignEnemyAtkUp#0,"""エネミーの攻撃力"""
MackDesignEnemyAtkUp_Value#0,"""+$(0)%"""
MackDesignEnemyDefUp#0,"""エネミーの防御力"""
MackDesignEnemyDefUp_Value#0,"""+$(0)%"""
MackDesignEnemyHpUp#0,"""エネミーのＨＰ"""
MackDesignEnemyHpUp_Value#0,"""+$(0)%"""
QuestLevel#0,"""エネミーレベル"""
QuestLevel_Value#0,"""+$(0)"""
RareDropRaram#0,"""レアドロップ倍率"""
RareDropRaram_Value#0,"""+$(0)%"""
MackPointParam#0,"""獲得ポイント倍率"""
MackPointParam_Value#0,"""+$(0)%"""
LifeDamage_Time#0,"""<pict mack_life>ライフダメージが行われる経過時間"""
LifeDamage_Time_Value#0,"""$(0)秒毎"""
LifeDamage_Damage#0,"""<pict mack_life>経過時間によるライフダメージ量"""
LifeDamage_Damage_Value#0,"""$(0)"""
LifeRouteBonus#0,"""<pict mack_life>ライフルートのボーナス"""
LifeRouteBonus_Value#0,"""+0 ～ $(0)"""
PointRouteBonus#0,"""<pict mack_point>ポイントルートのボーナス"""
PointRouteBonus_Value#0,"""+0 ～ $(0) Pt"""
MackDesignEnemyDamageCut#0,"""エネミーのダメージカット率"""
MackDesignEnemyDamageCut_Value#0,"""+$(0)％"""
MackGaugeText1#0,"""エリア\u3000調査率"""
MackGaugeText2#0,"""エネルギーポッド\u3000補充率"""
MackGaugeText3#0,"""全エネミー\u3000撃破率"""
MackGaugeText4#0,"""大型エネミー\u3000損傷率"""
MackGaugeText5#0,"""大型エネミー\u3000損傷率"""
MackBuff#0,"""参加人数確定！ 人数に応じたバフをこのエリアのみプレイヤーに付与！"""
MackSpeedUp#0,"""<pict mack_icon_up>プレイヤーの移動速度<lime_green3> ＋60%<white>"""
Quest_event_410030#0,"""このエリア限定で、人数に応じた攻撃力ボーナス発生！"""
