MYROOM#0,"""Tu cuarto"""
Menu_LayoutChange#0,"""<c f0df60>Por favor selecciona un cuarto para cambiarlo por el<c>"""
Menu_DeleteRoomGoods_SelectRoom#0,"""<c f0df60>Remover todos los bienes en el cuarto actual<c>"""
Menu_SupportPartnerList#0,"""<c f0df60>Lista de Support Partners<c>"""
Menu_Dice#0,"""<c f0df60>Editar los mensajes<c>"""
Menu_Explain_Order#0,"""<c f0df60>Tu partner te puede ayudar con las ordenes que has aceptado. Puedes elegir un maximo de <c ff4f3f>$(0)<c f0df60> ordenes.<c>"""
Menu_Explain_Status#0,"""<c f0df60>Comprobar el estado del equipo de zu Partner. <c>"""
Menu_Camera_Shoot#0,"""<c f0df60>Establece el tiempo que pasará antes de que se tome una foto. Los jugadores no pueden acceder al mobiliario mientras el temporizador está en marcha.<c>"""
Menu_PhotoGachanMain#0,"""<c f0df60>Establezca hasta 3 elementos para mostrar en [Ver elementos destacados].<c>"""
Menu_CloseoutMoment#0,"""<c f0df60>Aquí puedes jugar a un juego en el que pulsas <c><%Access><c f0df60> según las indicaciones. En el modo de alta puntuación, competirás para superar el récord de puntuación<c>"""
Menu_Craft#0,"""<c f0df60>Compruebe la lista de solicitudes de artesanía y edite la configuración de la pancarta<c>"""
Menu_EventChronicle#0,"""<c f0df60>Ver eventos pasados<c>"""
Menu_Tanzaku#0,"""<c f0df60>Generar un deseo Tanzaku<c>"""
Menu_PosterBoard#0,"""<c f0df60>Puede colocar mobiliario tipo cartel. Por favor, haga una selección<c>"""
Menu_PosterBoard_v#0,"""<c f0df60>Puede colocar mobiliario tipo cartel. Por favor, haga una selección<c>"""
Title#3,"""Colocar temporizador"""
Menu_Select01#0,"""1 minuto"""
Menu_Select02#0,"""3 minutos"""
Menu_Select03#0,"""5 minutos"""
Menu_Cancel#0,"""Cancelar"""
Info_SetTimer#0,"""La hora del servidor se ha fijado en $(0):$(1):$(2)."""
Info_TimeUp#0,"""$(0) minutos han pasado"""
Info_ClockPickUp#0,"""La hora actual es $(0):00 JST."""
Cancel#0,"""Regresar"""
ItemAdd#0,"""Agregar objeto"""
ItemDelete#0,"""Quitar objeto"""
MesetaEdit#0,"""Por precio"""
PlayInfo_Title#0,"""Girar la Photogachan"""
PlayInfo#0,"""Cuesta $(0) para hacer girar la Photogachan. Continuar?<br><br>Tu Actualmente tienes $(1) Mesetas."""
GetItem#0,"""Usted recibió $(0)."""
ErrorItemMax#0,"""Usted no tiene espacio para mas objetos."""
AddSetItem#0,"""Adicional $(0)."""
DeleteSetItem#0,"""Remover $(0)."""
EditMesetaInfo#0,"""Por favor ajuste el precio<br>※ Precio max 100.000<br>(Precio, incluyendo impuestos: $(1)$(0))"""
Title_Check#1,"""Confirmación"""
Check_Title#0,"""Confirmación"""
EmptyItem#0,"""No registrado"""
Check_AddItem_Message#0,"""$(0)<br>se agrego a la Photogachan.<br>¿Quieres continuar?"""
Check_Delete_Message#0,"""$(0)<br>sera retirado de la Photogachan.<br>¿Quieres continuar?"""
AddIten_ResultMessage#0,"""$(0) se agrego a la Photogachan.<br><br>Puede recibir las ventas de la Photogachan yendo a<br>Administrar Tienda -> Confirmar recaudo de la tienda."""
DeleteIten_ResultMessage#0,"""Remover $(0)."""
GetIten_ResultTtile#0,"""Resultado de Photogachan"""
GetIten_ResultMessage#0,"""Usted recibió $(0)."""
MoveItem_Title#1,"""Información"""
MoveItem_Message#1,"""Debido a que estas lleno de objetos, los objetos<br>que estaban en el Photogachan seran enviados a<br>tu almacen."""
Title#4,"""Instalación en el techo"""
Title_Left#0,"""Puntos"""
Title_Right#0,"""Productos de cuarto"""
MenuPoint1#0,"""Punto de montaje 1"""
MenuPoint2#0,"""Punto de montaje 2"""
MenuPoint3#0,"""Punto de montaje 3"""
MenuPoint4#0,"""Punto de montaje 4"""
None#0,"""Nada"""
Select_Set#0,"""Colocar objetos del techo"""
Select_Delete#0,"""Guardar"""
Adaptive_Tune0#0,"""Melodia A"""
Adaptive_Tune1#0,"""Melodia B"""
Adaptive_Tune2#0,"""Melodia C"""
Adaptive_Tune3#0,"""Melodia D"""
Adaptive_Tune4#0,"""Melodia E"""
Adaptive_Tune5#0,"""Melodia F"""
Adaptive_Tune6#0,"""Melodia G"""
Adaptive_Tune7#0,"""Melodia H"""
Adaptive_Tune8#0,"""Melodia I"""
Adaptive_Tune9#0,"""Melodia J"""
Adaptive_Tune10#0,"""Melodia K"""
Adaptive_Tune11#0,"""Melodia L"""
Adaptive_Tune12#0,"""Melodia M"""
Adaptive_Tune13#0,"""Melodia N"""
Adaptive_Tune14#0,"""Melodia O"""
Adaptive_Tune15#0,"""Melodia P"""
Adaptive_Tune16#0,"""Melodia Q"""
Adaptive_Tune17#0,"""Melodia R"""
Adaptive_Tune18#0,"""Melodia S"""
Adaptive_Tune19#0,"""Melodia T"""
Adaptive_Tune20#0,"""Melodia U"""
Adaptive_Tune21#0,"""Melodia V"""
Adaptive_Tune22#0,"""Melodia W"""
Adaptive_Tune23#0,"""Melodia X"""
Adaptive_Tune24#0,"""Melodia Y"""
Adaptive_Tune25#0,"""Melodia Z"""
Entry_BGM#0,""" ha sido registrado."""
Empty_BGM#0,"""BGM no registrado"""
Tab_Category_0#0,"""0. Todos"""
Tab_Category_1#0,"""1. Phantasy Star Online"""
Tab_Category_2#0,"""2. Phantasy Star Series"""
Tab_Category_3#0,"""3. Colaboraciones de SEGA"""
Tab_Category_4#0,"""4. Colaboraciones"""
Tab_Category_5#0,"""５．『NGS』シリーズ"""
Mag_Jukebox_Play_019#0,"""選択したミュージックディスクは、『NGS』ブロックでのみ再生ができます"""
LayoutChangeCheckTitle#0,"""Cambiar de cuarto"""
LayoutChecge_MenuBase#0,"""Cuarto $(0)<pict Arcscash>"""
LayoutChecge_MenuBase2#0,"""Cuarto $(0)"""
LayoutChecge_Pattern_0#0,"""Minicuarto"""
LayoutChecge_Pattern_1#0,"""A"""
LayoutChecge_Pattern_2#0,"""B"""
LayoutChecge_CheckInfo#0,"""Esto va a cambiar tu cuarto a el $(0).<br>¿Estas seguro?"""
LayoutChecge_IfMyRoom#0,"""El [Derecho de uso de los cuartos personales] sigue en vigencia. (Puede utilizar el Terminal Personal para cambiar la disposición)."""
Info_Weight#0,"""El peso de $(0) es $(1) Kg."""
StrongBox_Input#0,"""Por favor, introduzca la contraseña"""
StrongBox_PinCode#0,"""La contraseña se ha establecido en [$(0)]."""
StrongBox_PinCodeTitle#0,"""CONFIRMAR CONTRASEÑA"""
CashBox_Num4#0,"""4 Caracteres"""
CashBox_Num5#0,"""5 Caracteres"""
CashBox_Num6#0,"""6 Caracteres"""
CashBox_Num7#0,"""7 Caracteres"""
CashBox_Num8#0,"""8 Caracteres"""
CashBox_Num9#0,"""9 Caracteres"""
CashBox_InputNum#0,"""Por favor, adivine la contraseña. Si la adivina, el número de <br>caracteres correctos o incorrectos se mostrará como una pista."""
CashBox_ChangeDigit#0,"""Se han modificado los ajustes"""
SelectSP_Title#0,"""SELECT AUXILIARY"""
SelectSP_Cancel#0,"""Regresar"""
SetSP#0,"""$(0) ha sido llamado."""
Error_NotSP#0,"""No se puede convocar a los Auxiliares<br>porque no tienes ninguno."""
Dice_Text_Title#0,"""Editar mensaje"""
Enter#1,"""Confirmar"""
Cancel#1,"""Cancelar"""
DiceMenu_Title#0,"""Menú de dados"""
DiceMenu_Play#0,"""Tirar el dado"""
DiceMenu_Edit#0,"""Editar mensaje"""
DiceMenu_Move#0,"""Mover los bienes"""
DiceMenu_Remove#0,"""Guardar"""
DiceMenu_Back#0,"""Regresar"""
Shower_1_1#0,"""Ajustar el volumen de agua a bajo"""
Shower_1_2#0,"""Ajustar el volumen de agua en normal"""
Shower_1_3#0,"""Ajustar el volumen de agua en alto"""
Shower_2_1#0,"""Ajustar la temperatura del agua a baja"""
Shower_2_2#0,"""Ajustar la temperatura del agua en normal"""
Shower_2_3#0,"""Ajustar la temperatura del agua en alto"""
ShowerTitle_1#0,"""volumen de agua"""
ShowerTitle_2#0,"""temperatura del agua"""
Timer_1#0,"""Tomar foto"""
Timer_2#0,"""Tomar foto después de 5 segundos"""
Timer_3#0,"""Tomar foto después de 10 segundos"""
Timer_4#0,"""Tomar foto después de 15 segundos"""
Back#0,"""Volver"""
ErrorShootTitle#0,"""ERROR DE REGISTRO"""
ErrorShootMessage#0,"""Ya está grabando"""
ErrorSettingTitle#0,"""ERROR DE REGISTRO"""
ErrorSettingMessage#0,"""No se puede cambiar la configuración.<br>La grabación ya está en curso."""
TimerTitle#0,"""Menú de la camara"""
OrgelOn#0,"""La caja de música está sonando"""
OrgelOff#0,"""La caja de música dejó de sonar."""
KeyAssign#0,"""Golpea con <%NormalAttack>"""
PlayResult#0,"""Tu distancia es $(0)"""
PlayResultRecord#0,"""/toge La mejor distancia se ha actualizado.<br>tu distancia es $(0)."""
PlayResultFailed#0,"""/moya como fallaste, tu distancia<br>no se puede medir."""
HighScoreExistRecord#0,"""Mejor Distancia actual: $(0)<br>Titular del registro actual:<br>$(1)"""
HighScoreEmptyRecord#0,"""No superaste el record actual"""
HitEarly#0,"""Demasiado pronto"""
HitLate#0,"""Demasiado tarde"""
Paper_Strips_Text_Title#0,"""Escribe tu deseo de Tanzaku"""
Enter#2,"""Confirmar"""
Cancel#2,"""Cancelar"""
ColorPickerTitle#0,"""Ajuste del color"""
