Category_All#0,"""ทั้งหมด"""
Label_FaceMorphing#0,"""ปรับสัดส่วนใบหน้า (Morphing)"""
Label_BaseType#0,"""ประเภทใบหน้าพื้นฐาน $(0)$(1)"""
Label_FaceVariation#0,"""รูปแบบใบหน้า"""
Label_AdjustFaceOutline#0,"""ปรับโครงหน้า"""
Label_AdjustFaceParts#0,"""ปรับสัดส่วนบนใบหน้า"""
Label_HairAndHeadparts#0,"""ทรงผม & ชิ้นส่วนหัว"""
Label_HairArrange#0,"""การจัดทรงผม"""
Label_HairColor#0,"""ตั้งค่าสีผม"""
Label_EyePattern_Right#0,"""รูปแบบตาขวา"""
Label_EyePattern_Left#0,"""รูปแบบตาซ้าย"""
Label_SyncEye#0,"""ซิงค์รูปแบบดวงตา"""
Label_SyncEyeText#0,"""ซิงค์สีตา"""
Label_EyeColor#0,"""ตั้งค่าสีตา"""
Label_AdjustEye#0,"""ปรับแต่งดวงตา"""
Label_Eyebrows#0,"""เลือกคิ้ว"""
Label_SyncEyebrows#0,"""ซิงค์สีคิ้ว"""
Label_SyncEyebrowsText#0,"""ซิงค์สีกับสีผม 1"""
Label_EyebrowsColor#0,"""ตั้งค่าสีคิ้ว"""
Label_EyebrowsAlpha#0,"""ความหนาของคิ้ว"""
Label_EyeLashes#0,"""เลือกขนตา"""
Label_SyncEyeLashes#0,"""ซิงค์สีขนตา"""
Label_SyncEyeLashesText#0,"""ซิงค์สีกับสีผม 1"""
Label_EyeLashesColor#0,"""ตั้งค่าสีขนตา"""
Label_AdjustNoseSize#0,"""ปรับขนาดจมูก"""
Label_AdjustNoseHeight#0,"""ปรับความโด่งจมูก"""
Label_Tooth#0,"""เลือกฟัน / ลิ้น"""
Label_Mouth#0,"""ปรับแต่งปาก"""
Label_Ear#0,"""เลือกหู"""
Label_AdjustEar#0,"""ปรับรูปทรงหู"""
Label_Horn#0,"""เลือกเขา"""
Label_AdjustHorn#0,"""ปรับรูปทรงเขา"""
Label_MakePattern1#0,"""เลือกรูปแบบเมคอัพ 1"""
Label_MakePattern2#0,"""เลือกรูปแบบเมคอัพ 2"""
Label_AdjustLineOfSight#0,"""ปรับแต่งดวงตา"""
Label_AdjustEyeSize#0,"""ปรับขนาดดวงตา"""
Label_AdjustEyePosition#0,"""ปรับระยะห่างดวงตา"""
Label_AdjustNeckAngle#0,"""ปรับองศาคอ"""
Label_AdjustBody#0,"""ปรับรูปร่าง"""
Label_AdjustNeck#0,"""ปรับขนาดรอบคอ"""
Label_AdjustBust#0,"""ปรับรูปทรงหน้าอก"""
Label_UpperArmMuscle#0,"""ปรับแต่งไหล่"""
Label_AdjustArm#0,"""ปรับแต่งแขน"""
Label_AdjustHand#0,"""ปรับแต่งมือ"""
Label_AdjustWaist#0,"""ปรับแต่งเอว"""
Label_AdjustLeg#0,"""ปรับแต่งขา"""
Label_Skin#0,"""เลือกรูปแบบผิว"""
Label_SkinColor#0,"""ตั้งค่าสีผิว"""
Label_SSS#0,"""ความเข้มของสีผิวรอง"""
Label_SkinGloss#0,"""ปรับความมันวาว"""
Label_Muscle#0,"""ปรับมวลกล้ามเนื้อ"""
Label_BodyPaint1#0,"""เลือก Body Paint 1"""
Label_BodyPaint2#0,"""เลือก Body Paint 2"""
Label_BodyPaintLayer#0,"""ลำดับการแสดงผล Body Paint"""
Label_LayerPriority1#0,"""ลำดับที่ 1"""
Label_LayerPriority2#0,"""ลำดับที่ 2"""
Label_LayerPriority3#0,"""ลำดับที่ 3"""
DropdownItem_BodyPaint1#0,"""Body Paint 1"""
DropdownItem_BodyPaint2#0,"""Body Paint 2"""
DropdownItem_Inner#0,"""Innerwear"""
Label_Costume#0,"""เลือกคอสตูม"""
Label_CostumeColor#0,"""ตั้งค่าสีคอสตูม"""
Label_OuterWear#0,"""เลือก Outerwear"""
Label_OuterWearColor#0,"""ตั้งค่าสี Outerwear"""
Label_BaseWear#0,"""เลือก Basewear / Setwear"""
Label_BaseWearColor#0,"""ตั้งค่าสี Basewear"""
Label_InnerWear#0,"""เลือก Innerwear"""
Label_InnerWearColor#0,"""ตั้งค่าสี Innerwear"""
Label_BodyParts#0,"""เลือก Body Parts"""
Label_ArmParts#0,"""เลือก Arm Parts"""
Label_LegParts#0,"""เลือก Leg Parts"""
Label_PartsColor#0,"""ตั้งค่าสี Parts"""
Label_PartsColorSync#0,"""ตั้งค่าการซิงค์สี"""
Label_Sticker#0,"""เลือก Sticker"""
Label_LipPosition#0,"""ความสูงของปาก"""
Label_EyebrowPosition#0,"""ระยะห่างคิ้ว"""
Label_EyeVerticalPosition#0,"""ปรับระดับสายตา"""
Label_MakePatternDensity#0,"""ความเข้มของเมคอัพ 1"""
Label_MakePatternDensity2#0,"""ความเข้มของเมคอัพ 2"""
Label_Shoudler#0,"""ความสูงของไหล่"""
Label_Thigh#0,"""ปรับแต่งต้นขา"""
Label_Calf#0,"""ปรับแต่งน่อง"""
Label_UpperArm#0,"""ปรับแต่งปลายแขน"""
Label_HandThickness#0,"""ความหนาของมือ"""
Label_FootSize#0,"""ขนาดเท้า"""
Label_SyncHairColor#0,"""ซิงค์สีผม"""
Label_SyncHairColorText#0,"""ซิงค์สีผม 1 & 2"""
Label_SwitchBasewearParts#0,"""การแสดงผลเครื่องตกแต่ง Base/Setwear"""
Label_SwitchBasewearPartsText1#0,"""ซ่อนเครื่องตกแต่ง Base/Setwear 1"""
Label_SwitchBasewearPartsText2#0,"""ซ่อนเครื่องตกแต่ง Base/Setwear 2"""
Label_SwitchCastParts#0,"""การแสดงผลเครื่องตกแต่ง Cast Parts"""
Label_SwitchHeadPartsHideText#0,"""ซ่อนเครื่องตกแต่งส่วนหัว"""
Label_SwitchBodyPartsHideText#0,"""ซ่อนเครื่องตกแต่งส่วนลำตัว"""
Label_SwitchArmHideText#0,"""ซ่อนเครื่องตกแต่งส่วนแขน"""
Label_SwitchLegHideText#0,"""ซ่อนเครื่องตกแต่งส่วนขา"""
Label_SwitchOuterwear#0,"""การแสดงผลเครื่องตกแต่ง Outerwear"""
Label_SwitchOuterHide#0,"""ซ่อนเครื่องตกแต่ง Outerwear"""
Label_SwitchHead#0,"""ตั้งค่าการแสดงผลเครื่องตกแต่งส่วนหัว"""
Label_SwitchHeadHide#0,"""ซ่อนเครื่องตกแต่งส่วนหัว"""
Label_SwitchFace#0,"""ตั้งค่าการแสดงผลเครื่องตกแต่งใบหน้า"""
Label_SwitchFaceHide#0,"""ซ่อนเครื่องตกแต่งใบหน้า"""
Label_SwitchInner#0,"""ตั้งค่าการแสดงผล Innerwear"""
Label_SwitchInnerHide#0,"""ซ่อน Innerwear"""
Label_SyncEyelib#1,"""ตั้งค่าการซิงค์เปลือกตา"""
Label_SyncEyebrow#0,"""ตั้งค่าการซิงค์รูปทรงคิ้ว"""
Label_SyncMouthShape#1,"""ตั้งค่าการซิงค์ปาก"""
Label_Detail#0,"""ข้อมูลโดยละเอียด"""
Label_SyncBodyOption#0,"""ตั้งค่าการซิงค์ Body Type"""
Label_SyncBodyCast#0,"""ซิงค์ทุก Body Type"""
Label_SyncBodyCastExplain#0,"""แม้ Body Type จะใช้การตั้งค่ารูปร่าง<br>เดียวกัน แต่ก็อาจดูแตกต่างกันได้<br>เมื่อเปิดใช้งานการตั้งค่านี้ สัดส่วนต่างๆ<br>จะถูกซิงค์กันข้ามเผ่าพันธุ์/เพศ"""
Label_SyncBodyClassic#0,"""ซิงค์ทั้งสองโมเดล"""
Label_SyncBodyClassicExplain#0,"""โมเดลของ [PSO2: NGS] และ [PSO2] มี<br>รายการปรับแต่งที่แตกต่างกัน<br>เมื่อเปิดใช้งานการตั้งค่านี้<br>รายการที่เกี่ยวกับรูปร่างจะถูกซิงค์กัน"""
Label_SetWearColor#0,"""ตั้งค่าสี Setwear"""
Label_FullsetWearColor#0,"""ตั้งค่าสี Full Setwear"""
Label_AccessorySelect#0,"""\u3000เลือก Accessory $(0)"""
Label_AccessoryPosition#1,"""\u3000ตำแหน่ง Accessory $(0)"""
Label_AccessoryAngle#0,"""\u3000องศา Accessory $(0)"""
Label_AccessorySize#1,"""\u3000ปรับขนาด Accessory $(0)"""
Label_AccessoryAttach#1,"""\u3000ตำแหน่งที่ติดตั้ง Accessory $(0)"""
Label_AccessoryColor#0,"""\u3000จุดซิงค์สี Accessory $(0)"""
Label_MotionChangeSelectRun#0,"""\u3000Motion: Move"""
Label_MotionChangeSelectSwim#0,"""\u3000Motion: Swim"""
Label_MotionChangeSelectDash#0,"""\u3000Motion: Dash"""
Label_MotionChangeSelectGlide#0,"""\u3000Motion: Glide"""
Label_MotionChangeSelectLanding#0,"""\u3000Motion: Land"""
Label_MotionChangeSelectWait#0,"""\u3000Motion: Idle"""
Label_MotionChangeSelectJump#0,"""\u3000Motion: Jump"""
Label_EstheOption#0,"""ตั้งค่าการควบคุมกล้อง"""
Label_EstheOptionCameraHRotate#0,"""สลับการหมุนแนวนอน"""
Label_EstheOptionCameraVRotate#0,"""สลับการหมุนแนวตั้ง"""
Label_EstheOptionCharaHRotate#0,"""สลับการหมุนตัวละคร"""
Label_DiamondSlider_Guide#0,"""เลือกจุด $(0) เพื่อปรับแต่งด้วยแอนะล็อกสติ๊ก"""
Label_LayeringWearHem#0,"""การบานของชุดรอบเอว"""
Label_Toon_DisplayTitle#0,"""การแสดงผลตัวละครแบบ Toon"""
Label_Toon_Display#0,"""เปิดใช้งานการแสดงผลแบบ Toon"""
Label_Toon_Outline#0,"""เน้นเส้นขอบ (Outline)"""
Label_Toon_DepthSadow#0,"""ความเข้มของเงา"""
Label_EstheOptionCoordinate#0,"""ตั้งค่าการแสดงผล"""
Label_EstheOptionCoordinateText#0,"""แสดงค่าการปรับแต่ง"""
Label_EstheOptionCameraZoom#0,"""ตั้งค่ากล้องในหน้าปรับแต่งตัวละคร"""
Label_EstheOptionCameraZoomText#0,"""ไม่ต้องปรับกล้องอัตโนมัติ"""
Label_OpenItemPack#0,"""ช่องเก็บของ / คลัง (Inventory/Storage)"""
Label_Next#0,"""ยืนยัน"""
Label_Back#0,"""กลับ"""
Label_EditCheck#0,"""ตรวจสอบการแก้ไข"""
Label_FixedChange#0,"""ยืนยันการแก้ไข"""
Label_CancelChange#0,"""ยกเลิกการแก้ไข"""
Label_OK#0,"""ตกลง"""
Label_Cancel#0,"""ยกเลิก"""
Label_Next_NoTag#0,"""ยืนยัน"""
Label_Back_NoTag#0,"""กลับ"""
Label_EditCheck_NoTag#0,"""ตรวจสอบการแก้ไข"""
Label_FixedChange_NoTag#0,"""ยืนยันการแก้ไข"""
Label_CancelChange_NoTag#0,"""ยกเลิกการแก้ไข"""
Label_OK_NoTag#0,"""ตกลง"""
Label_Cancel_NoTag#0,"""ยกเลิก"""
Label_NotFoundItems#0,"""ไม่มีไอเทมให้เลือก"""
Tab_All#0,"""ทั้งหมด"""
Tab_ItemPack#0,"""ช่องเก็บของ (Inventory)"""
Tab_Warehouse#0,"""คลังตัวละคร (Character Storage)"""
Tab_Favorite#0,"""รายการโปรด"""
Tab_Accessory_All#0,"""Accessories ทั้งหมด"""
Tab_Accessory_New#0,"""เพิ่งได้รับ"""
Tab_Accessory_History#0,"""ที่เลือกไว้ก่อนหน้า"""
Tab_Accessory_00#0,"""หัว (บน)"""
Tab_Accessory_01#0,"""หัว (กลาง)"""
Tab_Accessory_02#0,"""หัว (Accessory)"""
Tab_Accessory_03#0,"""อื่นๆ"""
Tab_Accessory_Head#0,"""หัว"""
Tab_Accessory_Hair#0,"""ผม / หู"""
Tab_Accessory_Face#0,"""ใบหน้า"""
Tab_Accessory_Body#0,"""คอ / ร่างกาย"""
Tab_Accessory_Back#0,"""หลัง"""
Tab_Accessory_Arm#0,"""แขน"""
Tab_Accessory_Leg#0,"""ขา"""
Message_DifferentBodyType#0,"""ขณะนี้คุณเลือกไอเทมที่ไม่สามารถใช้ร่วมกับ Body Type ใหม่ของคุณได้<br>คุณแน่ใจหรือไม่ว่าต้องการเปลี่ยน Body Type?<br><yellow>※หากคุณเปลี่ยน Body Type ไอเทม<br>ด้านล่างนี้ที่ไม่สามารถใช้ร่วมกับ Body Type<br>ใหม่ได้ จะถูกรีเซ็ตเป็นค่าเริ่มต้น<c><br>・ผิวหนัง (Skin)<br>・Body Paint 1 & 2<br>・Layering Wear (Base/Outer/Inner)<br>・Cast Parts (Body/Arms/Legs)<br>・คอสตูม (Costume)"""
Message_UnableEdit#0,"""ไอเทมที่เลือกไม่สามารถใช้ร่วมกับฟีเจอร์นี้ได้"""
Button_Skip_ClassSelect#0,"""ข้ามไปยังการเลือก Class"""
Sort_Esthetic1#0,"""เรียงลำดับมาตรฐาน (Standard Sort)"""
Sort_Esthetic2#0,"""เฉพาะ Type 1"""
Sort_Esthetic3#0,"""เฉพาะ Type 2"""
Sort_Esthetic4#0,"""เฉพาะ Type 1 Cast"""
Sort_Esthetic5#0,"""เฉพาะ Type 2 Cast"""
Sort_Esthetic6#0,"""เฉพาะ Type ของ [PSO2: NGS]"""
Sort_Esthetic7#0,"""เฉพาะ Type ของ [PSO2]"""
Sort_Esthetic8#0,"""Body Type 1: เฉพาะ Basewear"""
Sort_Esthetic9#0,"""Body Type 1: เฉพาะ Setwear"""
Sort_Esthetic10#0,"""Body Type 2: เฉพาะ Basewear"""
Sort_Esthetic11#0,"""Body Type 2: เฉพาะ Setwear"""
Sort_Esthetic12#0,"""เฉพาะ Full Setwear"""
Hint_Common#0,"""คุณสามารถปรับแต่งไอเทมที่เลือกได้"""
Effect_Normal#0,"""ปกติ"""
Effect_Cast#0,"""Cast"""
Popup_HairOFF#0,"""<%TabBack>สลับทรงผม"""
Popup_CostumeOFF#0,"""<%TabForward>สลับคอสตูม"""
Popup_Redo#0,"""<swguidetype Redo>ย้อนกลับ 1 ขั้น"""
Popup_Undo#0,"""<swguidetype Undo>ทำซ้ำ 1 ขั้น"""
Headparts#0,"""Head Parts"""
Legparts#0,"""Leg Parts"""
Bodyparts#0,"""Body Parts"""
Armparts#0,"""Arm Parts"""
NoItem#0,"""ไม่พบไอเทม"""
ColorCopy_Menu01#0,"""คัดลอกสี"""
ColorCopy_Menu02#0,"""วางสีที่คัดลอก"""
ColorCopy_Notice01#0,"""คัดลอกสีสำเร็จ"""
ColorCopy_Notice02#0,"""วางสีที่คัดลอกสำเร็จ"""
ColorCopy_Notice03#0,"""การวางสีล้มเหลว"""
Key_Reset#0,"""รีเซ็ต"""
Key_Normal#0,"""ปกติ"""
Key_Smile#0,"""ยิ้ม"""
Key_Anger#0,"""โกรธ"""
Key_Sad#0,"""เศร้า"""
Key_Distrust#0,"""ไม่ไว้ใจ"""
Key_CloseEye#0,"""หลับตา"""
Key_Smile2#0,"""ยิ้ม 2"""
Key_Wink#0,"""วิงค์"""
Title_BodyTypeSelect#0,"""เลือก Body Type"""
Label_BodyType_Male#0,"""Human Type 1"""
Label_BodyType_Female#0,"""Human Type 2"""
Label_BodyType_CastMale#0,"""Cast Type 1"""
Label_BodyType_CastFemale#0,"""Cast Type 2"""
Label_Notice#0,"""<yellow>※หากคุณเปลี่ยน Body Type ไอเทม<br>ด้านล่างนี้ที่ไม่สามารถใช้ร่วมกับ Body Type<br>ใหม่ได้ จะถูกรีเซ็ตเป็นค่าเริ่มต้น<c><br>・ผิวหนัง (Skin)<br>・Body Paint 1 & 2<br>・Layering Wear (Base/Outer/Inner)<br>・Cast Parts (Body/Arms/Legs)<br>・คอสตูม (Costume)"""
Title_CheckEditItem#0,"""ตรวจสอบการแก้ไข"""
Label_Notice#1,"""นี่คือรายการไอเทมที่ถูกแก้ไข<br>คุณสามารถยกเลิกการแก้ไขได้โดย<br>นำเครื่องหมายถูกออกจากรายการ"""
Label_NotEdited#0,"""ไม่มีไอเทมที่ถูกแก้ไข"""
Label_Reflect#0,"""ยืนยัน"""
Label_Cancel#1,"""ยกเลิก"""
Label_Red#0,"""R"""
Label_Green#0,"""G"""
Label_Blue#0,"""B"""
Button_Slider_Left#0,"""<%ChangeCtrlWindowForward>"""
Button_Slider_Right#0,"""<%MultiSelect>"""
Label_Preference#0,"""ตั้งค่า Field"""
Label_Field#0,"""Field"""
Label_Weather#0,"""สภาพอากาศ"""
Label_TimePreference#0,"""ตั้งค่าเวลา"""
Label_TimeCount#0,"""$(0):$(1)"""
Label_TimeGuide#0,"""เปลี่ยนทีละ 1 ชั่วโมง: กด ←/→ ขณะที่กด <%Decide>"""
Esthe#0,"""หน้าจอ Salon"""
CentralCity#0,"""Central City"""
AelioGrassland#0,"""Halpha Grasslands"""
AelioMarshland#0,"""Halpha Marshlands"""
RetemCentral#0,"""Central Retem"""
Fine#0,"""แจ่มใส"""
Cloudy#0,"""เมฆมาก"""
Rainy#0,"""ฝนตก"""
Fog#0,"""มีหมอก"""
Title_VoiceSelect#0,"""เลือกเสียง"""
Label_NowVoice#0,"""$(0)"""
Label_PlayVoice#0,"""เล่นเสียง $(0)"""
Label_Pitch#0,"""Pitch"""
Label_Effect#0,"""เอฟเฟกต์เสียง"""
Tag_Voice1#0,"""Type 1"""
Tag_Voice2#0,"""Type 2"""
Tag_Voice3#0,"""Type 1 Cast"""
Tag_Voice4#0,"""Type 2 Cast"""
Operation_Decide#0,"""เลือก: <%Decide>"""
Operation_Decide_Cancel#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>"""
Operation_Default#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>"""
Operation_Pantograph#0,"""เลือก/ยกเลิก: <%Decide>\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>"""
Operation_CheckBox#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง:<swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_Slider#0,"""ปรับทีละ 10: <%Decide>+ซ้าย/ขวา\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>"""
Operation_FaceCustom#0,"""เลือก: <%Decide>\u3000ปรับทีละ 10: <%Decide>+ซ้าย/ขวา\u3000กลับ: <%Cancel>"""
Help_FaceVariation#0,"""รูปแบบใบหน้า"""
Help_AdjustFaceOutline#0,"""ปรับโครงหน้า"""
Help_AdjustFaceParts#0,"""ปรับสัดส่วนบนใบหน้า"""
Help_HairAndHeadparts#0,"""ทรงผม & ชิ้นส่วนหัว"""
Help_HairArrange#0,"""การจัดทรงผม"""
Help_HairColor#0,"""ตั้งค่าสีผม"""
Help_EyePattern_Right#0,"""รูปแบบตาขวา"""
Help_EyePattern_Left#0,"""รูปแบบตาซ้าย"""
Help_SyncEye#0,"""ซิงค์รูปแบบดวงตา"""
Help_SyncEyeText#0,"""ซิงค์สีตา"""
Help_EyeColor#0,"""ตั้งค่าสีตา"""
Help_AdjustEye#0,"""ปรับแต่งดวงตา"""
Help_Eyebrows#0,"""เลือกคิ้ว"""
Help_SyncEyebrows#0,"""ซิงค์สีคิ้ว"""
Help_SyncEyebrowsText#0,"""ซิงค์สีกับสีผม 1"""
Help_EyebrowsColor#0,"""ตั้งค่าสีคิ้ว"""
Help_EyebrowsAlpha#0,"""ความหนาของคิ้ว"""
Help_EyeLashes#0,"""เลือกขนตา"""
Help_SyncEyeLashes#0,"""ซิงค์สีขนตา"""
Help_SyncEyeLashesText#0,"""ซิงค์สีกับสีผม 1"""
Help_EyeLashesColor#0,"""ตั้งค่าสีขนตา"""
Help_AdjustNoseSize#0,"""ปรับขนาดจมูก"""
Help_AdjustNoseHeight#0,"""ปรับความโด่งจมูก"""
Help_Tooth#0,"""เลือกฟัน"""
Help_Mouth#0,"""ปรับแต่งปาก"""
Help_Ear#0,"""เลือกหู"""
Help_AdjustEar#0,"""ปรับรูปทรงหู"""
Help_Horn#0,"""เลือกเขา"""
Help_AdjustHorn#0,"""ปรับรูปทรงเขา"""
Help_MakePattern1#0,"""เลือกรูปแบบเมคอัพ 1"""
Help_MakePattern2#0,"""เลือกรูปแบบเมคอัพ 2"""
Help_AdjustLineOfSight#0,"""ปรับแต่งดวงตา"""
Help_AdjustEyeSize#0,"""ปรับขนาดดวงตา"""
Help_AdjustEyePosition#0,"""ปรับระยะห่างดวงตา"""
Help_AdjustNeckAngle#0,"""ปรับองศาคอ"""
Help_AdjustBody#0,"""ปรับรูปร่าง"""
Help_AdjustNeck#0,"""ปรับขนาดรอบคอ"""
Help_AdjustBust#0,"""ปรับรูปทรงหน้าอก"""
Help_UpperArm#0,"""ปรับแต่งไหล่"""
Help_AdjustArm#0,"""ปรับแต่งแขน"""
Help_AdjustHand#0,"""ปรับแต่งมือ"""
Help_AdjustWaist#0,"""ปรับแต่งเอว"""
Help_AdjustLeg#0,"""ปรับแต่งขา"""
Help_Skin#0,"""เลือกรูปแบบผิว"""
Help_SkinColor#0,"""ตั้งค่าสีผิว"""
Help_SSS#0,"""ความเข้มของสีผิวรอง"""
Help_SkinGloss#0,"""ปรับความมันวาว"""
Help_Muscle#0,"""ปรับมวลกล้ามเนื้อ"""
Help_BodyPaint1#0,"""เลือก Body Paint 1"""
Help_BodyPaint2#0,"""เลือก Body Paint 2"""
Help_BodyPaintLayer#0,"""ลำดับการแสดงผล Body Paint"""
Help_LayerPriority1#0,"""ลำดับที่ 1"""
Help_LayerPriority2#0,"""ลำดับที่ 2"""
Help_LayerPriority3#0,"""ลำดับที่ 3"""
Help_DropdownItem_BodyPaint1#0,"""Body Paint 1"""
Help_DropdownItem_BodyPaint2#0,"""Body Paint 2"""
Help_DropdownItem_Inner#0,"""Innerwear"""
Help_Costume#0,"""เลือกคอสตูม"""
Help_CostumeColor#0,"""ตั้งค่าสีคอสตูม"""
Help_OuterWear#0,"""เลือก Outerwear"""
Help_OuterWearColor#0,"""ตั้งค่าสี Outerwear"""
Help_BaseWear#0,"""เลือก Basewear"""
Help_BaseWearColor#0,"""ตั้งค่าสี Basewear"""
Help_InnerWear#0,"""เลือก Innerwear"""
Help_InnerWearColor#0,"""ตั้งค่าสี Innerwear"""
Help_BodyParts#0,"""เลือก Body Parts"""
Help_ArmParts#0,"""เลือก Arm Parts"""
Help_LegParts#0,"""เลือก Leg Parts"""
Help_PartsColor#0,"""ตั้งค่าสี Parts"""
Help_Sticker#0,"""เลือก Sticker"""
Operation_DropDown#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>\u3000หมุนตัวละคร: <swguidetype CharaTurn>"""
Operation_BodyPaint#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_SideSlider#0,"""ปรับทีละ 10: <%Decide>+ซ้าย/ขวา\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_DiamondSlider#0,"""เลือก/ยกเลิก: <%Decide>\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_Morphing#0,"""เลือก/ยกเลิก: <%Decide>\u3000กลับ: <%Cancel>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_ItemSelect#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_ItemWindow#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000สลับหน้าต่าง: <%NextWidget>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_ColorPicker#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ปักหมุดหน้าต่าง: <swguidetype Pinned>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_ColorPickerWindow#0,"""เลือก/ยกเลิก: <%Decide>\u3000กลับ: <%Cancel>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>"""
Operation_BodyType#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>\u3000หมุนตัวละคร: <swguidetype CharaTurn>"""
Operation_ColorPickerAll#0,"""เลือก: <%Decide>\u3000กลับ: <%Cancel>\u3000ระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000ความสูงกล้อง: <swguidetype CameraUpDown>\u3000รีเซ็ตกล้อง: <swguidetype CameraReset>\u3000ย้อนกลับ: <swguidetype Undo>"""
Disable_Reason_Synchronized#0,"""$(0)\u3000<yellow>※ซิงค์แล้ว<c>"""
Disable_Reason_Unsupported#0,"""$(0)\u3000<yellow>※ใช้งานไม่ได้<c>"""
Message_Face_Variation_Unsupported#0,"""รูปแบบใบหน้าปัจจุบันไม่รองรับการปรับแต่งไอเทมนี้"""
Message_Base_Wear_Unsupported#0,"""Basewear ปัจจุบันไม่รองรับการปรับแต่งไอเทมนี้"""
Coordinate_X#0,"""X：$(0)"""
Coordinate_Y#0,"""Y：$(0)"""
Coordinate_Z#0,"""Z：$(0)"""
Coordinate_Slider#0,"""$(0)"""
ChangeToRebootBody#0,"""เนื่องจากมีการเปลี่ยน Body Type ไอเทมบางชิ้นจึงถูกปรับเปลี่ยน"""
ChangeToClassicBody#0,"""เนื่องจากมีการเปลี่ยน Body Type ไอเทมบางชิ้นจึงถูกปรับเปลี่ยน"""
ChangeToFigureType#0,"""เนื่องจากมีการเปลี่ยน Body Type ไอเทมที่ถูกปรับแต่งบางชิ้นจึงถูกปรับเปลี่ยน"""
ChangeToSetWear#0,"""เปลี่ยนเป็น Set Wear แล้ว"""
ChangeToLayeringWear#0,"""เปลี่ยนเป็น Layer Wear แล้ว"""
Erro_Message_FaceType#0,"""รูปแบบใบหน้าปัจจุบันไม่รองรับการปรับแต่งไอเทมนี้"""
