ErrorMember#0,"""$(0)는 팀 멤버가 아닙니다."""
error_01#0,"""팀 레벨이 부족합니다."""
error_02#0,"""이미 획득했습니다."""
error_03#0,"""예기치 못한 오류가 발생했습니다."""
error_04#0,"""권한이 없습니다."""
error_05#0,"""선택한 BGM은 이미 재생되었습니다."""
error_06#0,"""선택한 BGM이 등록되어 있지 않습니다."""
error_07#0,"""선택한 아이템이 없습니다."""
error_08#0,"""선택한 곡조가 등록되어 있지 않습니다."""
error_09#0,"""선택한 곡조는 이미 재생되었습니다."""
error_10#0,"""선택한 MusicDisc는<br>이미 등록되어 있습니다."""
error_11#0,"""팀룸 거점 렌탈기한이<br>만료되어 갱신할 수 없습니다.<br><br>모든 멤버를 팀룸에서 내보내고<br>다시 입장시킨 뒤 갱신해 주십시오."""
error_12#0,"""해당 이름으로 변경할 수 없습니다."""
error_13#0,"""이미 사용 중인 팀명입니다."""
error_14#0,"""팀명이 너무 깁니다."""
error_15#0,"""사용할 수 없는 단어가 포함되어 있습니다."""
error_16#0,"""사용할 수 없는 기호가 포함되어 있거나<br>이름 앞뒤에 반각 또는 전각 띄어쓰기 부호가<br>포함되어 있습니다."""
error_17#0,"""쿨타임 중입니다."""
error_18#0,"""리더가 매니저가 아니기 때문에 선택할 수 없습니다."""
explain_00#0,"""팀 레벨을 올립니다.<br>팀 레벨을 올리면 다양한 확장 기능이 추가됩니다."""
explain_01#0,"""다양한 요소를 즐길 수 있는 팀 멤버 전용<br>「팀룸」을 획득합니다."""
explain_02#0,"""팀 멤버 간 공유할 수 있는 팀 창고를 획득합니다.<br>팀 창고는 프리미엄 유효기간에만 이용하실 수 있습니다."""
explain_03#0,"""팀 창고 용량을 확장합니다."""
explain_04#0,"""팀룸 거점 이동처를 변경합니다."""
explain_05#0,"""팀룸 내부 카운터 담당자를 변경합니다."""
explain_06#0,"""계절 데코레이션을 획득합니다."""
explain_07#0,"""팀룸 내부 BGM을 변경합니다.<br>BGM을 변경하려면 MusicDisc를 등록해야 합니다."""
explain_08#0,"""현재 재생 중인 팀룸 BGM 곡조를 변경합니다."""
explain_09#0,"""팀룸 BGM을 초기화합니다."""
explain_10#0,"""팀의 모든 멤버가 장비할 수 있는<br>「팀 액세서리 기능」을 사용할 수 있게 되었습니다."""
explain_11#0,"""팀 액세서리를 시착합니다(팀룸 한정)."""
explain_12#0,"""팀 액세서리를 변경합니다."""
explain_13#0,"""팀 액세서리를 시착합니다(팀룸 한정)."""
explain_14#0,"""심볼 아트 모니터를 등록/변경합니다."""
explain_15#0,"""심볼 아트 모니터를 삭제합니다."""
explain_16#0,"""팀명을 변경합니다.<br>변경 시 7일 이상 재변경 불가합니다."""
explain_17#0,"""팀 멤버가 아닌 캐릭터가<br>팀룸으로 올 수 있도록 허가합니다."""
explain_18#0,"""팀 멤버가 아닌 캐릭터가<br>팀룸으로 오지 못하도록 제한합니다."""
explain_19#0,"""팀 멤버가 아이템 구매에 이용할 수 있는<br>「팀 전용 상점」을 획득합니다."""
TitleAcquireDay#0,"""획득일"""
TitleRanking#0,"""랭킹"""
TitleRank#0,"""순위"""
PointRanking#0,"""팀포인트랭킹"""
RareItemRanking#0,"""레어 아이템 획득랭킹"""
Rank#0,"""$(0)위"""
Acquiring#0,"""획득 중"""
RecordNothing#0,"""아크스 트로피 이력이 없습니다"""
TeamRentalRental_TimeOn#0,"""팀 렌탈 기능 디버그 설정ON $(0)"""
TeamRentalRental_TimeOff#0,"""팀 렌탈 기능 디버그 설정OFF"""
MonitorEdit#0,"""모니터 편집"""
MonitorDelete#0,"""모니터 삭제"""
MainMonitor#0,"""포톤 트리 안쪽 모니터 대"""
SecondMonitor#0,"""포톤 트리 안쪽 모니터 소"""
SubMonitor#0,"""벽걸이 모니터 """
Decision#0,"""편집 확정"""
Cancel#0,"""편집없이 종료"""
TitleTeamStyleRegist#0,"""팀 입단 희망자 등록"""
TitleTeamStyleSearch#0,"""팀 입단 희망자 검색"""
TitleTeamStyleSearchResult#0,"""팀 입단 희망자 검색 결과"""
TitleTeamStyleSearchGuide#0,"""<c f0df60>팀 입단을 희망하는 아크스를 검색할 수 있습니다.<c>"""
TitleNewTeam#0,"""팀 신규 설립 """
TitleStyleConfig#0,"""입단 희망 설정"""
TitlePlayStance#0,"""플레이 시간대"""
TitleWish#0,"""팀 희망사항"""
TitleFavorite#0,"""좋아하는 컨텐츠"""
TitleComment#0,"""코멘트"""
TitleEnvironment#0,"""플레이 환경(필수)"""
CheckTextEnable#0,"""입단 희망 설정 유효"""
TextSummary#0,"""「입단 희망 설정 유효」를 체크로 해두면<br>팀 입단 희망자 검색 대상이 됩니다.<br>「플레이 시간대」에서 자주 플레이하는 시간대를<br>「팀 희망사항」으로 선택할 수 있습니다."""
TextNotes1#0,"""<yellow>※등록 내용은 입단 후 초기화됩니다.<c>"""
TextNotes2#0,"""<yellow>※해당사항은 여러 개 체크 가능합니다.<c>"""
TextNotes3#0,"""<yellow>※검색 사항은 여러 개 체크 가능합니다.<c>"""
TextHit#0,"""검색된 인원 수"""
ButtonRenewal#0,"""새로고침"""
ButtonSearch#0,"""검색"""
Separator#0,""" / """
SearchPlayer#0,"""$(0) 님의 입단 희망 설정"""
SearchResultNum#0,"""$(0)"""
SearchResultNoneAccount#0,"""해당 플레이어를 찾지 못했습니다."""
Unspecified#0,"""지정없음"""
EntryTeamStyle_Success#0,"""팀 입단 희망을 갱신했습니다."""
EntryTeamStyle_Failed#0,"""팀 입단 희망 갱신에 실패했습니다."""
test#0,"""一二三四五六七八九〇一二三四五六七八九〇一二三四五"""
TeamJoin_Notice#0,"""신규 팀 입단 신청"""
TeamJoin_Log#0,"""팀 입단 신청이 들어왔습니다.。"""
TeamJoin_ListTitle#0,"""팀 입단 신청자 명단"""
TeamJoin_ListSubTitle#0,"""플레이어 ID 이름"""
TeamJoin_DetailWindow#0,"""$(0) 상세 정보"""
TeamJoin_CharaName#0,"""최근 사용한 캐릭터"""
TeamJoin_CharaName_Label#0,"""$(0)"""
TeamJoin_TeamName#0,"""소속 팀"""
TeamJoin_TeamName_Label#0,"""$(0)"""
TeamJoin_TeamNone_Label#0,"""-"""
TeamJoin_WindowTitle#0,"""입단 신청 승인"""
TeamJoin_WindowText#0,"""$(0) 님으로부터 <br>팀에 입단 신청이 들어왔습니다.<br>입단을 승인하시겠습니까?"""
TeamJoin_WindowLeft#0,"""네"""
TeamJoin_WindowRight#0,"""아니오"""
TeamJoin_Error1#0,"""상대방이 이미 팀에 소속되어 있어 승인하지 못했습니다."""
TeamJoin_Error2#0,"""팀이 정원에 도달했기 때문에 승인하지 못했습니다."""
TeamJoin_Error3#0,"""입단 신청을 승인하지 못했습니다."""
TeamShopTitle#0,"""팀 전용 상점"""
SgShopGuide#0,"""<c f0df60>구매할 아이템을 선택하십시오. 구매 대상 멤버 수에 따라 가격이 변동됩니다.<c>"""
TeamShopListTitle#0,"""상품 리스트"""
TeamShopListRemarks#0,"""구매한 아이템은 구매 대상 멤버 모두에게 보내지며<br>팀 카운터에서 수령하실 수 있습니다.<br><yellow>구매 대상 멤버：$(0)명（$(1)％ 할인）<c><br><red>입단 7일 이내, 30일 이상 접속 기록이 없는<br>멤버는 구매 대상에서 제외됩니다.<c>"""
Buy#0,"""구매"""
Back#1,"""돌아가기"""
NumberTitle#0,"""현재 소지 수"""
InventoryTitle#0,"""아이템팩"""
InformationTitle#0,"""상품 정보"""
NumberLimitation#0,"""<yellow>구매 가능 수<c>"""
ResetTime#0,"""<yellow>(<utcdow>수요일 4:00</utcdow>초기화)<c>"""
ResetTime_Vita#0,"""(수요일 13시 초기화)"""
LimitedItemText1#0,"""$(0)개까지 구매 가능"""
LimitedItemText2#0,"""$(0)개 남음"""
ReplacementDue#0,"""<yellow>구매 기한<c>"""
LimitedItemText3#0,"""소지TP"""
LimitedItemText4#0,"""합계TP"""
Detailed#0,"""아이템 상세"""
Slash#0,"""/"""
TeamShopNotGet#0,"""팀 전용 상점을 획득한 상태가 아니기 때문에<br>사용할 수 없습니다.<br><br>팀 포인트를 소모해<br>팀 전용 상품을 획득하면<br>사용할 수 있습니다."""
TeamShopBuyCheck#0,"""$(3)$(1) 재화를 사용해 아이템을 구매합니다.<br>진행하시겠습니까?<br><yellow>구매 대상 멤버 수에 비례해 할인됩니다.<br>구매 대상 멤버：$(0)명（$(2)％ 할인）<c>"""
TeamShopBuyLoginCheck#0,"""<red>입단 7일 이내 또는 30일 이상 접속 이력이 없는<br>멤버는 구매 대상에서 제외됩니다.<c>"""
TeamShopBuyError_00#0,"""팀 포인트가 부족합니다."""
TeamShopBuyError_01#0,"""아이템을 구매할 수 없습니다."""
TeamShopBuyError_02#0,"""입단 후 7일이 경과되지 않아 구매할 수 없습니다."""
TeamShopBuyError_Title_01#0,"""아이템 구매"""
ReceiptTitle#0,"""팀 전용 상점 구매 아이템 수령"""
ReceiptGuide#0,"""<c f0df60>팀 전용 상점에서 팀 마스터와 매니저가 구매한 아이템을 수령하실 수 있습니다.<c>"""
ReceiptListTitle#0,"""아이템 수령 메뉴"""
ReceiptMenuTab1#0,"""구매 이력"""
ReceiptMenuTab2#0,"""수령 기간"""
ReceiptMenuNoItem#0,"""아이템이 없습니다."""
ReceiptInfoTitle#0,"""구매 아이템 내용"""
ReceiptInfoTitle2#0,"""수령 유효기한"""
ReceiptInfoTitle3#0,"""구매자"""
ReceiptInfoTitle4#0,"""지불한 TP"""
ReceiptConfirmTitle#0,"""수령 확인"""
ReceiptConfirmCharaMessage#0,"""해당 아이템을 수령합니다.<br>진행하시겠습니까?"""
ReceiptError1#0,"""예기치 못한 오류가 발생해<br>수령이 취소되었습니다."""
ReceiptError2#0,"""아이템팩 공간이 부족하거나<br>소지 수가 한계에 달했기 때문에<br>수령하지 못했습니다."""
ReceiptError3#0,"""수령 유효기한이 지나<br>수령하지 못했습니다."""
ReceiptSuccess#0,"""$(0)<br>아이템을 수령했습니다."""
ReceiptNum#0,"""$(0)×$(1)개"""
UseTp#0,"""$(0)"""
BuyDay#0,"""$(0)년 $(1)월 $(2)일 $(3)시 $(4)분 구매분"""
