Coin#0,"""소지 카지노 코인"""
RouletteNpc_TalkOne07#3,"""승패보다 이득이 중요합니다"""
RouletteNpc_TalkOne08#3,"""베팅 타임 중에는 베팅을 취소할 수 있습니다"""
RouletteNpc_TalkOne09#3,"""이전 결과를 참고하는 것도 방법입니다"""
RouletteNpc_TalkOne10#3,"""간혹 연속으로 같은 결과가 나옵니다"""
RouletteNpc_ChanceResponse01#3,"""찬스 룰렛입니다"""
RouletteNpc_ChanceResponse02#3,"""기대해보고 싶어지네요"""
RouletteNpc_Explosion#3,"""불찰!"""
RouletteNpc_ChanceSelectStart#4,"""/mn6"""
RouletteNpc_ChanceSelectEnd#4,"""-"""
RouletteNpc_RouletteStart#4,"""-"""
RouletteNpc_BetStart#4,"""-"""
RouletteNpc_BetEndNearly#4,"""/mn17"""
RouletteNpc_BetEnd#4,"""-"""
RouletteNpc_ChanceStart#4,"""/toge /mn16"""
RouletteNpc_BonusStart#4,"""/toge /mn16"""
RouletteNpc_RouletteEnd#4,"""-"""
RouletteNpc_ResultHit01#4,"""-"""
RouletteNpc_ResultHit02#4,"""-"""
RouletteNpc_ResultNoHit01#4,"""/mn13"""
RouletteNpc_ResultNoHit02#4,"""-"""
RouletteNpc_ResultNoHit03#4,"""/moya"""
RouletteNpc_Response01#4,"""/moya"""
RouletteNpc_Response02#4,"""-"""
RouletteNpc_TalkOne01#4,"""-"""
RouletteNpc_TalkOne02#4,"""-"""
RouletteNpc_TalkOne03#4,"""-"""
RouletteNpc_TalkOne04#4,"""-"""
RouletteNpc_TalkOne05#4,"""-"""
RouletteNpc_TalkOne06#4,"""-"""
RouletteNpc_TalkOne07#4,"""-"""
RouletteNpc_TalkOne08#4,"""-"""
RouletteNpc_TalkOne09#4,"""-"""
RouletteNpc_TalkOne10#4,"""-"""
RouletteNpc_ChanceResponse01#4,"""-"""
RouletteNpc_ChanceResponse02#4,"""/toge"""
RouletteNpc_Explosion#4,"""/toge"""
RouletteNpc_Name#2,"""그린 리리파"""
RouletteNpc_ChanceSelectStart#5,"""찬스 칸을 결정할거야"""
RouletteNpc_ChanceSelectEnd#5,"""찬스 칸을 결정했어"""
RouletteNpc_RouletteStart#5,"""룰렛 시작!"""
RouletteNpc_BetStart#5,"""베팅 타임 시작!"""
RouletteNpc_BetEndNearly#5,"""베팅 타임이 곧 끝날 거야"""
RouletteNpc_BetEnd#5,"""베팅 타임이 끝났어"""
RouletteNpc_ChanceStart#5,"""$(0)이야!"""
RouletteNpc_BonusStart#5,"""$(0)에 멈췄어!"""
RouletteNpc_RouletteEnd#5,"""룰렛 : 결과는 $(0)$(1)$(2)$(3)(이)야"""
RouletteNpc_ResultHit01#5,"""$(0) 씨가<br>$(1)만큼 벌었어!"""
RouletteNpc_ResultHit02#5,"""$(0)만큼 번 사람이 $(1)명이야!"""
RouletteNpc_ResultNoHit01#5,"""기도가 부족했나봐"""
RouletteNpc_ResultNoHit02#5,"""다음번에는 신의 축복이 있을 거야"""
RouletteNpc_ResultNoHit03#5,"""아직 신에게 버림받지 않았어"""
RouletteNpc_Response01#5,"""근사해!"""
RouletteNpc_Response02#5,"""멋있어!"""
RouletteNpc_TalkOne01#5,"""색깔 베팅이 가장 맞추기 쉬워"""
RouletteNpc_TalkOne02#5,"""크래시 만큼은 안 나왔으면 좋겠는 걸"""
RouletteNpc_TalkOne03#5,"""베팅은 한 칸에 100코인까지야"""
RouletteNpc_TalkOne04#5,"""베팅은 최대 2번까지야"""
RouletteNpc_TalkOne05#5,"""베팅 타임 중에는 베팅 취소가 가능해"""
RouletteNpc_TalkOne06#5,"""이전 결과 이력은 참고할만해"""
RouletteNpc_TalkOne07#5,"""당첨되도록 기도해줄게"""
RouletteNpc_TalkOne08#5,"""운을 너의 편으로 만드는 거야"""
RouletteNpc_TalkOne09#5,"""과욕은 좋지 않아"""
RouletteNpc_TalkOne10#5,"""크래시 만큼은 안 나왔으면 좋겠는 걸"""
RouletteNpc_ChanceResponse01#5,"""찬스 룰렛이야!"""
RouletteNpc_ChanceResponse02#5,"""기도하자"""
RouletteNpc_Explosion#5,"""이예에에에에에!"""
BlackjackFullScreenTitle#0,"""블랙냑"""
BlackjackGide#0,"""<c f0df60>블랙냑을 플레이 할 수 있습니다<c>"""
BlackjackTitle#0,"""블랙냑"""
BlackjackMenuItem#0,"""$(0)<pict AmusementCoin>으로 플레이"""
BlackjackBasicInfoTitle#0,"""블랙냑 정보"""
BlackjackBasicInfoHead#0,"""기본 정보"""
BlackjackBasicInfoRate#0,"""1레이트 $(0)<pict AmusementCoin>"""
BlackjackBasicInfoCoinNum#0,"""（所持<pict AmusementCoin>：$(0)）"""
BlackjackBasicInfoSeatColor#0,"""座席の色"""
BlackjackMenuMessage#0,"""$(0)<pict AmusementCoin>으로<br>블랙냑을 플레이합니다.<br>괜찮으시겠습니까?<br><br>(소지 코인 <pict AmusementCoin>：$(1)）<br><br>베팅 이후 연결이 끊길 경우<br>카지노 코인을 받을 수 없습니다."""
Help_00#1,"""표정 변경"""
Help_01#1,"""앵글 변경"""
Help_02#1,"""배당표"""
Help_02a#0,"""합계점수 표시"""
Help_02b#0,"""합계점수 숨김"""
Help_03#1,"""HIT(카드를 뽑는다)"""
Help_04#1,"""STAY(카드를 뽑지 않는다)"""
Help_05#0,"""주사위를 던진다"""
Help_06#0,"""HIT"""
Help_07#0,"""STAY"""
Help_08#0,"""DOUBLE DOWN"""
Help_09#0,"""퇴석"""
Help_20#0,"""채팅"""
Help_10#1,"""[←]키"""
Help_10a#1,"""<pict Alpha_LEFT>"""
Help_10b#1,"""<pict Sign_LEFT>"""
Help_10c#1,"""<pict Number_LEFT>"""
Help_11#1,"""[↑][↓]키"""
Help_11a#0,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_11b#0,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_11c#0,"""<pict Number_UP><pict Number_DOWN>"""
Help_12#1,"""[←]키"""
Help_12a#1,"""<pict Alpha_LEFT>"""
Help_12b#1,"""<pict Sign_LEFT>"""
Help_12c#1,"""<pict Number_LEFT>"""
Help_13#1,"""<%Decide>"""
Help_14#1,"""<%Cancel>"""
Help_15#0,"""[ENTER]키"""
Help_16#0,"""<%MultiSelect>"""
Help_19#0,"""[Esc]키"""
Help_19b#0,"""<%MainMenu>"""
Help_40#0,"""<%SelectMenu>"""
WinCoin#0,"""승리 보수\u3000$(0)<pict AmusementCoin>"""
BlackjackActionTitle#0,"""당신 차례입니다"""
BlackjackHitTitle#0,"""HIT 확인"""
BlackjackHitMessage#0,"""카드를 뽑으시겠습니까?"""
BlackjackStayTitle#0,"""STAY 확인"""
BlackjackStayMessage#0,"""카드를 뽑지 않고 종료하시겠습니까?"""
BlackjackDoubleDownTitle#0,"""DOUBLE DOWN 확인"""
BlackjackDoubleDownMessage#0,"""더블 다운 하시겠습니까?<br>베팅금과 동일한 금액의 <pict AmusementCoin>코인을 추가하여 카드를 1장만<br>뽑습니다."""
BlackjackEndGameTitle#0,"""블랙냑 퇴석 확인"""
BlackjackEndGameMessage#0,"""블랙냑을 종료합니다.<br>베팅한 카지노 코인은 돌려받지 못합니다.<br>괜찮으시겠습니까?"""
BlackjackResultWinTitle#0,"""WIN"""
BlackjackResultLoseTitle#0,"""LOSE"""
BlackjackResultDrawTitle#0,"""DRAW"""
BlackjackResultWinInfo1#0,"""THREE SP"""
BlackjackResultWinInfo2#0,"""5CARD"""
BlackjackResultWinInfo3#0,"""DOUBLE DOWN"""
BlackjackResultWinInfo4#0,"""SP HOLDER"""
BlackjackResultWinInfo5#0,"""NYAU CHANCE"""
BlackjackResultWinInfo6#0,"""BLACK NYACK"""
BlackjackResultWinInfo7#0,"""WIN"""
BlackjackResultWinInfo8#0,"""SP CARD $(0)$(1)"""
BlackjackResultWinInfo9#0,"""BONUS"""
BlackjackResultHyphen#0,"""--"""
BlackjackResultMultiply#0,"""×"""
BlackjackResultLoseInfo1#0,"""차감된 베팅금"""
BlackjackResultDrawInfo1#0,"""베팅 환불"""
BlackjackContinueTitle#0,"""블랙냑 결과"""
AcquisitionCC#0,"""획득 코인 <pict AmusementCoin>"""
PossessionCC#0,"""총 소지량 <pict AmusementCoin>"""
BlackjackContinueMessage#0,"""블랙냑을 계속하시겠습니까?"""
cc_with_icon#1,"""$(0)<pict AmusementCoin>"""
cc_with_bet#0,"""$(0) BET"""
BlackjackBonusMessage#0,"""<c ffff00>배틀 보냐스 발생!<br>카드 점수가 가장 높은 플레이어는 보너스 획득!<c>"""
BlackjackWaitGameMessage#0,"""현재 진행중인 게임이 끝나기를 기다리고 있습니다.<br>잠시만 기다려주세요."""
CampaignText#3,"""배틀 보냐스 발생 확률 UP<br>배틀 보냐스 승리 배당 UP"""
SuperCampaignText#3,"""배틀 보냐스 발생 확률 <yellow>크게 UP!<c><br>배틀 보냐스 승리 배당 <yellow>크게 UP!<c>"""
title_slot#1,"""아쿠마 슬롯"""
2gide_slot#1,"""<c f0df60>아쿠마 슬롯을 플레이 할 수 있습니다.<c>"""
content_slot#1,"""아쿠마 슬롯"""
bet_maisu#1,"""베팅 코인 수"""
Coin#2,"""남은 코인 수"""
slot_tonyu#1,"""투입"""
slot_help#1,"""투입\u3000\u3000\u3000\u3000\u3000/← →<br>시작\u3000\u3000\u3000/Enter<br>슬롯 정산/Esc<br>배당표를 본다\u3000/End<br>도움말\u3000\u3000\u3000\u3000/Home"""
slot_haitohyo#1,"""배당표"""
SlotInfo#1,"""기본 정보"""
WaveAverageTitle#0,"""평균 스테이지 도달수"""
SlotBonus#1,"""보너스 게임 당첨 횟수"""
SlotMeter#1,"""아쿠마 미터"""
SlotJackpot#1,"""JACKPOT"""
SlotMenuPlay#1,"""플레이한다"""
SlotMenuBack#1,"""돌아간다"""
SlotMenuExplanation#0,"""설명을 본다"""
SlotMenuTitle#1,"""아쿠마 슬롯 정보"""
BasicInfo#1,"""1회 플레이 $(0)<pict AmusementCoin>"""
WaveAverage#0,"""스테이지 $(0)"""
BonusNum#1,"""$(0)회"""
EndConfirmTitle#1,"""정산 확인"""
EndConfirm#1,"""아쿠마 슬롯을 정산합니다.<br>괜찮으시겠습니까?"""
CoinNum#1,"""$(0)<pict AmusementCoin>"""
InfoCoinNum#1,"""x $(0)"""
InfoStr00#1,"""+bonusgame"""
InfoStr01#1,"""meter+1"""
InfoCoin_01#1,"""x100"""
InfoCoin_02#1,"""x 30"""
InfoCoin_03#1,"""x 15"""
InfoCoin_04#1,"""x10"""
InfoCoin_05#1,"""x 8"""
InfoCoin_06#1,"""x 5"""
InfoCoin_07#1,"""x 3"""
Help_00#2,"""투입"""
Help_01#2,"""시작"""
Help_02#2,"""배당표"""
Help_03#2,"""정산"""
Help_04#2,"""채팅"""
Help_05#1,"""선택"""
Help_06#1,"""결정"""
Help_07#1,"""아쿠마미"""
Help_10#2,"""[↑][↓]키"""
Help_10a#2,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_10b#2,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_10c#2,"""<pict Number_UP><pict Number_DOWN>"""
Help_11#2,"""<%Decide>"""
Help_12#2,"""[←][End]키"""
Help_12a#2,"""<pict Alpha_LEFT>"""
Help_12b#2,"""<pict Sign_LEFT>"""
Help_12c#2,"""<pict Number_LEFT>"""
Help_13#2,"""<%Cancel>/[ESC]키"""
Help_13a#1,"""<%Cancel>"""
Help_14#2,"""<pict Sign_SELECT>"""
Help_14a#1,"""<pict Sign_START>"""
Help_15#1,"""[↑][↓][←][→]키"""
Help_15a#0,"""<pict Alpha_UP><pict Alpha_DOWN><pict Alpha_LEFT><pict Alpha_RIGHT>"""
Help_15b#0,"""<pict Sign_UP><pict Sign_DOWN><pict Sign_LEFT><pict Sign_RIGHT>"""
Help_15c#0,"""<pict Number_UP><pict Number_DOWN><pict Number_LEFT><pict Number_RIGHT>"""
Help_16#1,"""<%MultiSelect>"""
SlotInitMsg#1,"""-,---,---"""
NoCoinTitle#1,"""카지노 코인 오류"""
NoCoinMessage#1,"""카지노 코인이 부족합니다."""
PlayCountLimit#0,"""오늘 플레이 가능 횟수를 넘었습니다.<br>(매일 <utc>20:00</utc>에 리셋됩니다)"""
PushButtonToPlay#0,"""<%Decide>으로 슬롯을 돌립니다."""
PushKeyToSelect#0,"""$(0)로 선택합니다."""
WaitLongMsg#1,"""일정 시간 아쿠마 슬롯을 움직이지 않아 퇴석되었습니다."""
CampaignText#4,"""통상 게임 문양 금액 50％UP"""
SuperCampaignText#4,"""통상 게임 문양 금액 <yellow>100％UP！<c>"""
ArkumaBetWindowTitle#0,"""아쿠마 슬롯 베팅 확인"""
ArkumaBetWindowText2#0,"""$(0)<pict AmusementCoin>코인으로 아쿠마 슬롯을 플레이합니다.<br>괜찮으시겠습니까?<br><br>※앞으로 <yellow>$(2)회 <c>플레이 가능합니다.<br>※플레이 횟수는 매일 <utc>20:00</utc>에 리셋됩니다.<br><br>(소지 코인 <pict AmusementCoin>：$(1))"""
ArkumaBetWindowMenuText#0,"""$(0)으로 플레이"""
ArkumaBetWindowButtonText#0,"""퇴석한다"""
ArkumaResultTitle#0,"""아쿠마 슬롯 결과"""
AcquisitionCC#1,"""획득 <pict AmusementCoin>"""
PossessionCC#1,"""총 소지량 <pict AmusementCoin>"""
ArkumaRateNumberText#0,"""$(0)%"""
ArkumaPointPlusCoinText#0,"""$(0) + $(1)"""
toast_auto_exit#0,"""일정 시간 아쿠마 슬롯을 움직이지 않아 퇴석되었습니다."""
toast_no_coin#0,"""카지노 코인이 부족합니다."""
ArkumaLiquidationTitle#0,"""정산 확인"""
ArkumaLiquidationText#0,"""획득한 코인을 정산하고<br>플레이를 종료합니다.<br>괜찮으시겠습니까?"""
bubbleStartGame#0,"""준비 되셨습니까?<br>그럼 우주의 저편으로 떠납니다."""
bubbleRest1#0,"""순조로운 출발이에요.<br>이대로만 나아가주시어요"""
bubbleRest2#0,"""목적지까지 앞으로 10스테이지 남았습니다.<br>이대로 가도록하죠."""
bubbleRest3#0,"""목적지까지 5스테이지 남았어요.<br>곧 도착점이니 무운을 빕니다."""
bubbleHitSpecialPanels#0,"""다크펄스 반응이 있사옵니다.<br>주의해주시어요."""
bubbleToBattleBonus#0,"""공격을 막는 환영이 있는 듯 합니다.<br>진짜를 찾아서 공격해주시어요."""
bubbleToElderBonus#0,"""다크펄스가 나타났어요.<br>당신의 전부를 건 일격을!"""
bubbleWinBattle#0,"""작전은 성공적이네요.<br>우리의 승리이옵니다."""
bubbleLoseBattle#0,"""피해가 극심하옵니다……<br>아쉽지만 여기까지랍니다."""
bubbleWinElder1#0,"""축하드리옵니다.<br>훌륭한 성과이옵니다!"""
bubbleWinElder2#0,"""굉장히 엄청난 성과랍니다!<br>대성공이어요."""
bubbleWinElder3#0,"""역사에 남을 성과입니다!<br>이 순간을 함께하고 있는 것을<br>저는 영광으로 생각한답니다."""
wave_average#0,"""평균 스테이지 도달 수"""
slot2_result#0,"""아쿠마 슬롯 결과"""
playable_number#0,"""남은 플레이 횟수"""
reset#0,"""<yellow>※매일 <utc>20:00</utc>에 리셋됩니다<c>"""
player_info#0,"""오늘 남은 플레이 횟수 (현재/최대)"""
toast_no_playable#0,"""오늘 남은 플레이 횟수가 없습니다."""
