01_MainLobby_001#0,"""Cuando eres premium, puedes aceptar hasta 40 Ordenes de clientes a la vez."""
15_ChallengeCommon_002#0,"""En un Misiones de Desafio (Challenge) la energia VR sirve como un limite de tiempo.<br>Puedes extender este limite de tiempo levantando capsulas de energia."""
15_ChallengeCommon_003#0,"""No puedes extender el limite de tiempo mas alla del limite designado<br>por cada Misión de Desafio, inclusive si levantas capsulas de energia."""
15_ChallengeCommon_004#0,"""La energia VR se agota lentamente con el tiempo.<br>Cuando un jugador es incapacitado, la energia caera drasticamente."""
15_ChallengeCommon_005#0,"""Usando un Moon Atomizer para revivir a un jugador incapacitado,<br>puedes recuperar energia VR perdida cuando está ya cayo."""
15_ChallengeCommon_006#0,"""En los Misiones de Desafio (Challenge) puedes tirar Armas y Protectores al piso.<br>El numero maximo de Objetos que puedes tirar es 160."""
15_ChallengeCommon_007#0,"""Al avanzar a ciertas misiones de un Misión de Desafio, podrás llegar a un área de descanzo.<br>Tu energia VR no absorbida mientras estes en está área."""
15_ChallengeCommon_008#0,"""Durante un Misión de desafio, puedes obtener items, protectores y<br>armas de la Tienda de Reciclado en el área de descanzo."""
15_ChallengeCommon_009#0,"""Cuando alguien solo alcanza el área de descanzo durante la misión de desafío, todos los demás jugadores en la misión son transferidos forzosamente al área de descanzo."""
15_ChallengeCommon_010#0,"""Si eres transportado a un área de descanzo durante un Misión de Desafio<br>mientras estas incapacitado, la energia VR no sera recuperada."""
15_ChallengeCommon_011#0,"""Ademas de ser recompensados por el Desafio de Millas basado en el resultado del Misión de Desafio,<br>tambien puedes ganar millas recogiendo Cristales de Milla."""
15_ChallengeCommon_012#0,"""Recibirás Challenge Miles de bonificación cuando superes una Challenge Quest según el número de personas que tengas en tu grupo y las pocas veces que hayas sido incapacitado."""
15_ChallengeCommon_013#0,"""En Challenge Quests, varias habilidades de clase se han convertido en discos.<br>Puede elegir libremente qué habilidades aprender en función de sus <br>referencias y las necesidades del grupo."""
15_ChallengeCommon_014#0,"""Puede canjear [Challenge Miles] por una variedad de artículos y otras<br>recompensas en la Tienda de Challenge Miles en su Ship de origen."""
15_ChallengeCommon_015#0,"""Puedes usar el Monumento al desafío para verificar tu clasificación en la Búsqueda del desafío."""
15_ChallengeCommon_016#0,"""Puede utilizar etiquetas de récord personal para comparar su mayor logro personal con los de otros jugadores."""
15_ChallengeCommon_100#0,"""La clase Challenge Quest, \""Challenger\"", puede usar todas las armas, Unidades, PA y Tech."""
15_ChallengeCommon_101#0,"""Los parámetros de la clase Challenge Quest, \""Challenger\"",, no se ven afectados por las diferencias de raza y género."""
15_ChallengeCommon_102#0,"""La clase Challenge Quest, \""Challenger\"", puede tener 2 habilidades de postura activas a la vez, pero deben ser de diferentes clases."""
15_ChallengeCommon_200#0,"""Cuando te mudas al Challenge Lobby, tus objetos, Meseta y Casino Coins se depositan temporalmente en el Almacen."""
15_ChallengeCommon_201#0,"""La opción \""Edición de moda\"" del menú principal no está disponible en el lobby del desafío."""
15_ChallengeCommon_202#0,"""Mientras esté en la Shared Ship, seguirá recibiendo Cafe Points por hora si está conectado a través de un Café Internet oficial"""
15_ChallengeCommon_203#0,"""Los aumentos de EXP, la tasa de caída rara y la tasa de aparición de enemigos raros dados por eventos de refuerzo en curso no se aplican en el Challenge lobby."""
15_ChallengeCommon_205#0,"""No puede obtener un sello de inicio de sesión en el Challenger lobby. Si tiene derecho a uno, lo recibirá cuando regrese a un Bloque normal."""
15_ChallengeCommon_206#0,"""Tus buenos trabajos en el Shared Ship se cuentan por separado de tus buenos trabajos en tu Ship de origen. En total, puede ganar FUN con buenos trabajos 10 veces al día"""
15_ChallengeCommon_207#0,"""Cuando te mudas al Challenge Lobby, el tamaño de tu inventario se establecerá temporalmente en 100 espacios."""
15_ChallengeCommon_208#0,"""Cuando te mueves al Challenge Lobby, tu número máximo de paletas y subpaletas de armas se establecerá temporalmente en 6."""
15_ChallengeCommon_209#0,"""Los efectos de refuerzo diarios, los efectos de fotones de apoyo, los efectos cronometrados, los efectos de escenario en vivo y los aumentos de eliminación de misiones no se aplican en las misiones de desafío"""
15_ChallengeCommon_210#0,"""La mayoría de los elementos de impulso no aplican sus efectos en Challenge Quests. Su tiempo restante no cuenta regresivamente"""
15_ChallengeCommon_211#0,"""Su tarjeta ARKS en la Shared Ship es independiente de su tarjeta ARKS en su Ship de origen."""
15_ChallengeCommon_212#0,"""Su historial de comunicaciones en la Shared Ship es independiente de su historial de comunicaciones en su Ship de origen"""
15_ChallengeCommon_213#0,"""Tus mejores etiquetas personales indican el punto más lejano que has alcanzado en cada Challenge Quest."""
15_ChallengeCommon_214#0,"""Algunas Challenge Quests tienen un bono que aumenta las Challenge Miles ganadas."""
15_ChallengeCommon_215#0,"""La opción \""Weapon Sheath Position\"" en el menú principal no está disponible en el Lobby del desafío."""
16_ChallengeBlock_001#0,"""Tus amigos, el correo y el arte de los símbolos pueden usarse como siempre mientras estás en el Bloque de Desafío de tu nave."""
16_ChallengeBlock_002#0,"""Mientras estés en el Bloque de Desafío de tu nave, puedes conectarte desde el Net Café oficial para<br>habilitar tus beneficios horarios de Puntos de Alianza."""
16_ChallengeBlock_003#0,"""Aunque seguirás recibiendo avisos de emergencia mientras estés en el Bloque de Desafío de<br>tu nave, no podrás aceptar órdenes del Mostrador de Búsqueda."""
16_ChallengeBlock_004#0,"""No podrás utilizar las funciones de la alianza, excepto el chat de la alianza, mientras estés en el BloqueDesafío de tu nave."""
17_ChallengeShip_001#0,"""Mientras estés en la Nave Universal, tus listas de Amigos, correo y Arte de Símbolos serán diferentes a las<br>utilizadas en la nave a la que perteneces."""
17_ChallengeShip_002#0,"""Tus accesorios de alianza se eliminarán temporalmente mientras estés en la Nave Universal."""
17_ChallengeShip_003#0,"""Los anuncios de emergencia que estén en curso en tu nave no se emitirán mientras estés en la Nave Universal."""
17_ChallengeShip_004#0,"""No puedes formar una alianza mientras estés en la Nave Universal. Además, la comunicación con los miembros de la alianza en tu nave se cortará temporalmente."""
17_ChallengeShip_005#0,"""Mientras estás en la Nave Universal, puedes usar [Cambiar la información mostrada en el techo] en el menú rápido<br>para mostrar a qué naves pertenecen otros jugadores."""
17_ChallengeShip_006#0,"""Mientras estés en el Bloque de Desafío no acumularás puntos de alianza por hora aunque estés conectado desde el Net Café oficial."""
18_PokaShip_001#0,"""Puedes avanzar tu rango sucesivamente de D5 a LEGEND usando Puntos de Arena que puedes<br>ganar ganando una Partida Clasificada."""
18_PokaShip_002#0,"""Recoge Monedas de Batalla, que puedes ganar en Partidas Clasificatorias, para comprar objetos en la Tienda de Intercambio de Monedas de Batalla de tu nave."""
18_PokaShip_003#0,"""Durante el Emblem Scramble, los mensajes de chat solo se enviarán a las Uniones aliadas."""
18_PokaShip_004#0,"""Puedes ganar ventaja flanqueando a tus oponentes. Intenta encontrar diferentes caminos para<br>tomarles por sorpresa."""
18_PokaShip_005#0,"""Filo ascendente (versión arena de batalla)<br>¡Un arte fotónico de la espada que corta hacia fuera en un torbellino ascendente!"""
18_PokaShip_006#0,"""Golpe Nova (Versión Arena de Batalla)<br>¡Un arte fotónico de espada que inflige daño al instante en todas las direcciones!"""
18_PokaShip_007#0,"""Rayo penetrante (versión arena de batalla)<br>¡Un arte fotónico de rifle de asalto que inflige una dolencia de estado que reduce los PS máximos!"""
18_PokaShip_008#0,"""Disparo constante (versión de arena de batalla)<br>¡Un arte fotónico de rifle de asalto que te permite realizar ataques a distancia mientras te mueves!"""
18_PokaShip_009#0,"""Foie (Versión Arena de Batalla)<br>¡Una poderosa técnica con carga térmica que te permite lanzar una bola de fuego!"""
18_PokaShip_010#0,"""Zonde (Versión Battle Arena)<br>¡Una técnica diseñada para atacar desde el aire, lo que hace que sea difícil localizarte!"""
18_PokaShip_011#0,"""Megid (Versión de Arena de Batalla)<br>¡Técnica de proyectil teledirigido que persigue lentamente al enemigo!"""
18_PokaShip_012#0,"""Durante el Emblemático Combate, recibirás un daño reducido durante un breve periodo de tiempo<br>inmediatamente después de revivir."""
18_PokaShip_013#0,"""Durante la Lucha de Emblemas, aparecerá una marca sobre las cabezas de los personajes<br>que ocupan los puestos 1 a 3 en Puntos de Emblema. Concéntrate en eliminar a estos jugadores para robarles puntos."""
18_PokaShip_014#0,"""Conseguirás un gran número de puntos por recoger Emblemas de colores del arco iris<br>¡Trata de conseguirlos en cuanto aparezcan!"""
18_PokaShip_015#0,"""Puedes obtener armas en los Puntos de Suministro. ¡Intenta recoger los Puntos de Suministro <br>pertenecientes a sindicatos rivales!"""
18_PokaShip_016#0,"""Mientras estés en la Arena de Batalla, el emparejamiento tira de todos los Bloques de Batalla disponibles, por lo que no<br>importa en qué Bloque de Batalla estés actualmente."""
18_PokaShip_017#0,"""Mientras estés en una partida de Arena de Batalla, no podrás realizar emotes."""
18_PokaShip_018#0,"""La Arena de RV (Bosque) se caracteriza por unas condiciones de combate relativamente fáciles gracias a un terreno sencillo, y el centro proporciona un amplio lugar para las batallas feroces."""
18_PokaShip_019#0,"""VR Arena (Volcán) cuenta con lava fundida que sube con el paso del tiempo. Procede con<br> precaución ya que morirás inmediatamente si caes en la lava."""
18_PokaShip_020#0,"""VR Arena (Tokio) presenta un complejo terreno de estructuras tridimensionales. Ten cuidado para<br>protegerte de los ataques furtivos que vienen de direcciones inesperadas."""
18_PokaShip_021#0,"""Las habilidades de la clase Guerrero de Batalla, exclusiva del modo Arena de Batalla, no varían por<br>raza o género, lo que permite que las batallas se desarrollen en condiciones justas."""
18_PokaShip_022#0,"""Durante el Emblem Scramble, derrota a un personaje de un sindicato enemigo para apoderarte de una parte de sus puntos."""
18_PokaShip_023#0,"""Habla con el oficial de la arena de batalla Laverna en el vestíbulo de la batalla para obtener todo tipo de información útil sobre la arena de batalla."""
19_PokaBlock_001#0,"""Puedes avanzar tu rango sucesivamente de D5 a LEGEND usando <br>Puntos de Arena que se pueden ganar ganando una Partida Clasificada."""
19_PokaBlock_002#0,"""Recoge Monedas de Batalla, que puedes ganar en Partidas Clasificatorias, para comprar objetos en la<br>Tienda de Intercambio de Monedas de Batalla de tu nave."""
19_PokaBlock_003#0,"""Durante el Emblem Scramble, los mensajes de chat solo se enviarán a las Uniones aliadas."""
01_MainLobby_032#1,"""Puedes mover el cursor a Siguiente, Atrás y otros botones pulsando <br><%NextWidget> mientras estás en una ventana de Almacén o Tienda Personal."""
01_MainLobby_040#1,"""Cuando se utiliza la entrada del teclado, puede activar o desactivar el modo de chat directo pulsando<br>la tecla de bloqueo de desplazamiento."""
01_MainLobby_043#1,"""Puedes cambiar el canal de destino de los mensajes de chat usando [Alt] + [←]/[→]."""
01_MainLobby_044#1,"""Puedes cambiar el canal mostrado en tu ventana de registro usando [Ctrl] + [←]/[→]."""
01_MainLobby_045#1,"""Cuando se utiliza la entrada del teclado, se puede pasar por el texto introducido previamente utilizando<br>[Ctrl] + [↑]/[↓] mientras se está en el modo de Chat."""
01_MainLobby_046#1,"""Cuando se utiliza la entrada del teclado, se puede introducir texto con un recorte utilizando [Shift] + [Enter]<br> mientras se está en el Chat."""
01_MainLobby_047#1,"""Cuando se utiliza la entrada del teclado, se puede seleccionar la forma de su burbuja de discurso, así como<br>diferentes símbolos emotivos utilizando [Ctrl] + [Enter] mientras se está en el Chat."""
01_MainLobby_048#1,"""Cuando se utiliza la entrada del teclado, puede realizar varios Emotes utilizando [Alt] + [A]-[Z]."""
01_MainLobby_067#1,"""Introduce y envía <lt>et1<gt> en el chat para mostrar el nombre de la Prueba de Emergencia <br>actualmente en curso."""
01_MainLobby_100#1,"""Puedes asignar teclas a las selecciones de Cámara Libre a través del Menú de Opciones."""
01_MainLobby_111#1,"""Puedes comprobar la posición de los NPCs y de las tiendas seleccionando [Mostrar Mapa de Área] en el<br>Menú Rápido mientras estás en el vestíbulo."""
01_MainLobby_114#1,"""Puedes establecer el fondo de la ventana de entrada del chat con el color del canal de destino<br>utilizando el menú de opciones."""
01_MainLobby_116#1,"""En Opciones, puedes cambiar cómo se muestra el contenido de una sub-paleta seleccionada a una<br>de las tres opciones: [No mostrar], [Mostrar durante un periodo fijo] y [Mostrar siempre]."""
01_MainLobby_121#1,"""Puedes ver los récords semanales de Time Attack para el Bloque Exclusivo de PlayStation® Vita a través de las clasificaciones de<br>Visiphone."""
01_MainLobby_133#1,"""Puedes realizar un cambio de diseño para la pantalla del menú rápido con <%MultiSelect>."""
01_MainLobby_163#1,"""Puedes cambiar la apariencia de las Ráfagas Oscuras de otros jugadores desde <br>el menú de Opciones en [Otros]."""
01_MainLobby_164#1,"""Cuando se utiliza la entrada del teclado, puedes copiar el nombre de un objeto pulsando [Ctrl] + [C] en la Lista de Objetos."""
Dead_BigBeastA_001#0,"""La debilidad del Rockbear es su cara, por lo que es útil bloquearse cuando se lucha contra ellos. """
Dead_BigBeastA_002#0,"""Cuando el Rockbear se enoja, continuamente hara golpes de cuerpo.<br>Para evitarlo, intenta moverte detras de el para que se detenga."""
Dead_BigBeastA_003#0,"""A pesar de que el agarre del Rockbear es de gran alcance,<br>es posible liberarse presionando las teclas de movimiento repetidamente."""
Dead_BigBeastA_004#0,"""El Rockbear tiene un poderoso ataque donde el gira y golpea detras de el.<br>Cuando veas que levanta un pie es porque comenzara este ataque."""
Dead_MammothA_001#0,"""Cuando un De Marmoth levanta las patas y emite un sonido, un ataque de onda de choque es inminente. <br>Puedes evadir el ataque si te distancias y saltas con la sincronización correcta."""
Dead_MammothA_002#0,"""La debilidad del De Malmoth es su espalda.<br>Si puedes colocarte detras de el, podrás atacar la pieza de su cabeza directamente."""
Dead_MammothA_003#0,"""El De Malmoth tiene ataques amplios, pero pueden ser<br>relativamente fáciles de esquivar y entonces quedarse a su lado."""
Dead_MammothA_004#0,"""El Quemar es extremadamente efectivo contra el De Malmoth.<br>Deberias atacarlo con armas basadas en fuego y técnicas de fuego."""
Dead_PantherA_001#0,"""Cuando destruyas todas las garras del Fang Banther,<br>quedara fuera de balance, dandote la oportunidad de atacar."""
Dead_PantherA_002#0,"""Cuando el Fang Banther está enojado, embiste continuamente.<br>Intenta no atacarlo, y concentrate en esquivar estas embestidas."""
Dead_PantherA_003#0,"""Si el Fang Banther da un paso a la izquierda, y luego a la derecha, es porque está a punto de rugir.<br>El rango de ataque del rugido es amplio, así que intenta ir lo mas lejos posible de el."""
Dead_PantherA_004#0,"""El Quemar es extremadamente efectivo contra el Fang Banther.<br>Incluso si está sobre un arbol, quemando al Fang Banther el caera al suelo."""
Dead_PantherB_001#0,"""Si los consejos de Banshee están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherB_002#0,"""Si hay consejos Banshee disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherB_003#0,"""Si hay consejos de Banshee disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherB_004#0,"""Si hay consejos de Banshee disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherBRare_001#0,"""Si hay consejos raros disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherBRare_002#0,"""Si hay consejos raros disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherBRare_003#0,"""Si hay consejos raros disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherBRare_004#0,"""Si hay consejos raros disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowA_001#0,"""Cuando destruyes todas las garras del Snow Banther,<br>el queda fuera de balance, dandote la oportunidad de atacar."""
Dead_PantherSnowA_002#0,"""Cuando el Snow Banther está enojado, embiste continuamente.<br>Intenta no atacarlo, y concentrate en esquivar estas embestidas."""
Dead_PantherSnowA_003#0,"""Si el Snow Banther da un paso a la izquierda, y luego a la derecha, es porque está a punto de rugir.<br>El rango del ataque de rugido es amplio, así que intenta ir lo mas lejos posible de el."""
Dead_PantherSnowA_004#0,"""El Quemar es extremadamente efectivo contra el Snow Banther.<br>El intentara luchar y apagar el fuego, dandote la oportunidad de atacarlo."""
Dead_PantherSnowB_001#0,"""Si los consejos de Banshee están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowB_002#0,"""Si los consejos de Banshee están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowB_003#0,"""Si los consejos de Banshee están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowB_004#0,"""Si los consejos de Banshee están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowBRare_001#0,"""Si hay consejos raros, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowBRare_002#0,"""Si hay consejos raros, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowBRare_003#0,"""Si hay consejos raros, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_PantherSnowBRare_004#0,"""Si hay consejos raros, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonWorm_001#0,"""Cuando estas al lado del Caterdra'n, cuidate de los ataques repentinos<br>que vienen desde su cabeza. Cuando levante la cabeza en alto, es que usara este ataque."""
Dead_DragonWorm_002#0,"""El punto debil del Caterdra'n queda expuesto cuando se estira.<br>Despues de esquivar un ataque, afina tu punteria y contraataca."""
Dead_DragonWorm_003#0,"""Cuando el Caterdra'n está enojado, empezara a girar y hara un ataque de cabezazo.<br>Despues de esquivar el ataque, afina tu punteria y contraataca!"""
Dead_DragonWorm_004#0,"""El Poison es extremadamente efectivo contra el Caterdra'n.<br>Podrias atacarlo con armas basadas en Poison y Técnicas Dark."""
Dead_DragonWorm_005#0,"""Un punto debil sera expuesto si destruyes el cristal en la cola del Caterdra'n.<br>Unete a otros jugadores y ataca el cristal desde el lado."""
Dead_DragonWormB_001#0,"""Cuando estas al lado del Caterdra'nsa, cuidate de los ataques repentinos<br>que vienen desde su cabeza. Cuando levante la cabeza en alto, es que usara este ataque."""
Dead_DragonWormB_002#0,"""El punto debil del Caterdra'nsa queda expuesto cuando se estira.<br>Despues de esquivar un ataque, afina tu punteria y contraataca."""
Dead_DragonWormB_003#0,"""Cuando el Caterdra'nsa está enojado, empezara a girar y hara un ataque de cabezazo.<br>Despues de esquivar el ataque, afina tu punteria y contraataca!"""
Dead_DragonWormB_004#0,"""El Poison es extremadamente efectivo contra el Caterdra'nsa.<br>Podrias atacarlo con armas basadas en Poison y Técnicas Dark."""
Dead_DragonWormB_005#0,"""Un punto debil sera expuesto si destruyes el cristal en la cola del Caterdra'nsa.<br>Unete a otros jugadores y ataca el cristal desde el lado."""
Dead_DragonWormRare_001#0,"""El Poison no es efectivo contra el Catadraal.<br>Deberias atacar con armas basadas en hielo y técnicas de hielo."""
Dead_DragonWormRare_002#0,"""Cuando estas al lado del Catadraal, cuidate de los ataques repentinos<br>que vienen desde su cabeza. Cuando levante la cabeza en alto, es que usara este ataque."""
Dead_DragonWormRare_003#0,"""El punto debil del Catadraal queda expuesto cuando se estira.<br>Despues de esquivar un ataque, afina tu punteria y contraataca."""
Dead_DragonWormRare_004#0,"""Cuando el Catadraal está enojado, empezara a girar y hara un ataque de cabezazo.<br>Despues de esquivar el ataque, afina tu punteria y contraataca!"""
Dead_DragonWormRare_005#0,"""Un punto debil sera expuesto si destruyes el cristal en la cola del Catadraal.<br>Unete a otros jugadores y ataca el cristal desde el lado."""
Dead_DragonMagma_001#0,"""Si equipas una unidad con alta resistencia al fuego, puedes reducir<br>el daño del ataque de flama del Vol Dragon."""
Dead_DragonMagma_002#0,"""Cuando el Vol Dragon vuela alto en el cielo, es porque está por descargar una bola de fuego.<br>Esto se puede evitar moviendote debajo del Vol Dragon."""
Dead_DragonMagma_003#0,"""Destruyendo el cristal que está en la cola del Vol Dragon,<br>lo dejaras atontado por un corto periodo de tiempo."""
Dead_DragonMagma_004#0,"""El Freeze es extremadamente efectivo contra el Vol Dragon.<br>Puedes congelar sus pues, y quedara incapacitado apra moverse por un corto eriodo de tiempo."""
Dead_DragonMagma_005#0,"""La cara, cabeza, espalda y cola del Vol Dragon son todos puntos debiles."""
Dead_DragonMagmaUniq_001#0,"""Si los consejos de Hi'Roga están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonMagmaUniq_002#0,"""Si los consejos de Hi'Roga están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonMagmaUniq_003#0,"""Si los consejos de Hi'Roga están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonMagmaUniq_004#0,"""Si los consejos de Hi'Roga están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonCrystal_001#0,"""Cuando el Quartz Dragon este enojado, hara dos ataques de estocada desde el aire.<br>Puedes evitarlos moviendote de lado a lado."""
Dead_DragonCrystal_002#0,"""Cuando eres golpeado por el Quartz Dragon, puedes ser afectado por panico.<br>Usa items o una tecnica para recuperarte de este estado anormal."""
Dead_DragonCrystal_003#0,"""Cuando destruyes las alas del Quartz Dragon puedes aturdir<br>al dragon por un largo periodo de tiempo, así como prevenir ciertos ataques."""
Dead_DragonCrystal_004#0,"""El Poison es extremadamente efectivo contra la cabeza, alas y cola del Quartz Dragon.<br>Cuando usas Poison, es fácil hacerle cantidades de daño."""
Dead_DragonCrystal_005#0,"""Unas vez que el Quartz Dragon está suficientemente enojado, lanzara un grito ensordecedor, mostrando que hara un ataque laser alrededor.<br>Pon algo de distancia entre tu y el Quartz Dragon para evitar el daño."""
Dead_DragonCrystalUniq_001#0,"""Si los consejos de Ko'Rela están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonCrystalUniq_002#0,"""Si los consejos de Ko'Rela están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonCrystalUniq_003#0,"""Si los consejos de Ko'Rela están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonCrystalUniq_004#0,"""Si los consejos de Ko'Rela están disponibles, se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkA_001#0,"""Cuando el Chrome Dragon come Darkers, se vuelve mas fuerte.<br>Debes eliminar todos los Darkers que aparezcan de inmediato."""
Dead_DragonBerserkA_002#0,"""Cuando el brazo del Chrome Dragon cambia, es porque hara sus ataques de disparo<br>de forma consecutiva. Intena evitarlos corriendo hacia el lado."""
Dead_DragonBerserkA_003#0,"""Cuando el estomago del Chrome Dragon comienza a cambiar,<br>hace uso de su ataque de misiles mucho mas seguido."""
Dead_DragonBerserkA_004#0,"""Cuando el estomago del Chrome Dragon cambia completamente,<br>hace un ataque laser muy poderoso."""
Dead_DragonBerserkA_005#0,"""Cuando al Chrome Dragon le crecen alas, es porque comenzara a realizar<br>Ataques de Cristal Negro. Corre en circulos alrededor del dragon para evitarlos."""
Dead_DragonBerserkAUniq1_001#0,"""Si los consejos de Haddred (Sans Parts) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkAUniq1_002#0,"""Si los consejos de Haddred (Sans Parts) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkAUniq1_003#0,"""Si los consejos de Haddred (Sans Parts) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkAUniq1_004#0,"""Si los consejos de Haddred (Sans Parts) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkAUniq2_001#0,"""Si los consejos de Haddred (partes completas) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkAUniq2_002#0,"""Si los consejos de Haddred (partes completas) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkAUniq2_003#0,"""Si los consejos de Haddred (partes completas) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonBerserkAUniq2_004#0,"""Si los consejos de Haddred (partes completas) están disponibles,<br>se incluirán aquí y se actualizarán en el archivo lua"""
Dead_DragonSummoner_001#0,"""Cuando rompes los cuatro cristales flotantes rodeando al Goronzoran,<br>quedara atontado por un largo periodo de tiempo."""
Dead_DragonSummoner_002#0,"""Cuando el Goronzoran eleva su vara, es porque está por atacar.<br>Esquiva para evitar los acercamientos del Goronzoran."""
Dead_DragonSummoner_003#0,"""Cuando un Vol Dragon invocado aparece de nuevo, está a punto de embestir.<br>Intenta usar esquivar para evitar el ataque."""
Dead_DragonSummoner_004#0,"""Cuando un Vol Dragon es invocado, dispara una bola de fuego desde el aire.<br>Puedes evitarlo desplazandote abajo a la derecha del Vol Dragon."""
Dead_DragonSummoner_005#0,"""El Poison es extremadamente efectivo apra los cristales que rodean al Goronzoran.<br>Cuando Poison es usado, es más fácil dañar los cristales."""
Dead_DragonGladiator_001#0,"""Un Dragón X levantará ambas garras delanteras para indicar el inicio de un poderoso ataque. <br>Gira hacia el lado del Dragón X para evadir el ataque."""
Dead_DragonGladiator_002#0,"""Cuando un Dragón X apuñala el suelo con su espada, se desata un ataque desde <br>el suelo. Corre continuamente para evadir el ataque."""
Dead_DragonGladiator_003#0,"""Puedes destruir los escudos izquierdo y derecho de un Dragón X. Una vez destruidos los escudos, el<br> Dragón X será vulnerable cuando ataque con su espada."""
Dead_DragonGladiator_004#0,"""El veneno es eficaz contra la cabeza, los escudos y la cola de un Dragón X. Una vez envenenada una de estas partes del cuerpo, recibirá el daño con más facilidad."""
Dead_TransformMechaA_001#0,"""El punto débil de un Tranmizer queda al descubierto tras realizar un ataque con ambos brazos.<br>Apunta a la retaguardia."""
Dead_TransformMechaA_002#0,"""El ataque de misiles de un Tranmizer te rastreará y perseguirá. En lugar de atacar, sigue moviéndote<br>para evadir el ataque."""
Dead_TransformMechaA_003#0,"""El núcleo de un Tranmizer, que es su punto débil, queda expuesto después de que realice un ataque con misiles.<br>Evita los misiles del Tranmizer para tener la oportunidad de contraatacar."""
Dead_TransformMechaA_004#0,"""El ataque de ametralladora de un Tranmizer puede evadirse dando vueltas a la izquierda y a la derecha mientras saltas."""
Dead_BossMechaA_001#0,"""Destruye todas las baterías de cañones de los laterales de un Big Varder antes de subir a su cubierta."""
Dead_BossMechaA_002#0,"""Es peligroso situarse directamente frente al lanzallamas que se encuentra en la parte trasera de un<br>Big Varder, así que intenta destruirlo desde un lateral."""
Dead_BossMechaA_003#0,"""Después de subir a la cubierta de un Big Varder, intenta destruir sus vainas de misiles traseras y de hombro."""
Dead_BossMechaA_004#0,"""Salta para evadir las ráfagas eléctricas rojas liberadas por el cuerpo de un Big Varder."""
Dead_MachineLittleBoss_001#0,"""Los Vardersomas flotan en el aire usando un propulsor principal y tres subpropulsores. Destruye todos los subimpulsores de un<br>Vardersoma para poner fin a sus ataques aéreos."""
Dead_MachineLittleBoss_002#0,"""Puedes destruir los tres subimpulsores de un Vardersoma, los puertos de misiles del hombro, los cañones delanteros,<br>y las baterías principales."""
Dead_MachineLittleBoss_003#0,"""El propulsor principal de un Vardersoma emitirá una luz pálida como señal de un ataque relámpago inminente.<br>Distanciarse lo más rápido posible para evadir el ataque."""
Dead_MachineLittleBoss_004#0,"""La batería principal de un Vardersoma girará una vez mientras dispara un rayo. Su radio de ataque es grande,<br>pero el área directamente debajo de la batería es segura, así que mantente cerca."""
Dead_Cougar_001#0,"""El ataque de un Cougar NX es rápido, así que tendrás que calcular tus esquivas con cuidado."""
Dead_Cougar_002#0,"""Puedes detener el ataque satelital de un Cougar NX destruyendo los sistemas de guía que coloca."""
Dead_Cougar_003#0,"""El ataque de ametralladora de un Cougar NX es difícil de evadir. En lugar de atacar, continúa<br>moviéndote para evadir el ataque."""
Dead_Cougar_004#0,"""El choque es eficaz contra un Cougar NX. Una vez conmocionado, quedará inmovilizado durante un cierto<br>periodo de tiempo."""
