CorrectionAssignMapTitle#0,"""조작 설정 복원"""
CtrlPadBehaviorStickMessageRU#0,"""<%LStick>인식이 종료되었습니다.<br><br>다음으로 「<%RStick>」의 인식 테스트를 실시합니다.<br><%RStick>을<c ff007f>「상」<c>으로 밀면서$(0)<pict 4space>を押して下さい。"""
CtrlPadBehaviorStickSubTitleRL#0,"""4.<%RStick>의「좌」범위 인식 테스트"""
CtrlPadBehaviorStickMessageRL#0,"""다음으로<br><%RStick>을<green>「좌」<c>으로 밀면서$(0)<pict 4space>를 눌러주세요"""
CtrlPadBehaviorTriggerTitle#0,"""트리거 동작설정"""
CtrlPadBehaviorTriggerMessageL#0,"""「뒷면 좌 버튼」이 아날로그( 트리거）인지 판정합니다.<br>아래 화면에 빛나는 버튼을 눌러주세요.<br><br><yellow>눌러도 아무 반응이 없을 경우, 아날로그 식이 아닌 것이므로,<br><c>$(0)<pict 4space><yellow>을 눌러 다음 화면에서 버튼 설정을 실행하여 주십시오.<c>"""
CtrlPadBehaviorTriggerMessageR#0,"""다음으로 「뒷면 우 버튼」이 아날로그( 트리거）인지 판정합니다.<br>아래 화면에 빛나는 버튼을 눌러주세요.<br><br><yellow>눌러도 아무 반응이 없을 경우, 아날로그 식이 아닌 것이므로,<br><c>$(0)<pict 4space><yellow>을 눌러 다음 화면에서 버튼 설정을 실행하여 주십시오.<c>"""
CtrlPadBehaviorConfirmInitTitle#0,"""설정 초기화"""
CtrlPadBehaviorConfirmApplyTitle#0,"""설정 반영"""
CtrlPadBehaviorConfirmInitMessage#0,"""설정을 초기화합니다."""
CtrlPadBehaviorConfirmApplyMessage#0,"""설정을 반영합니다."""
CtrlPadBehaviorHelpSetting#0,"""게임패드의 스틱, 트리거의 인식,<br>각 버튼의 할당설정을 순서대로 실행합니다."""
CtrlPadBehaviorHelpInitialize#0,"""게임패드마다 설정된 추천설정으로<br>자동 변경합니다."""
CtrlPadBehaviorHelpInitializeDisable#0,"""이 패드는 자동설정에 대응하지 않습니다."""
CtrlPadBehaviorHelpTrigger#0,"""트리거의 동작설정을 실행합니다."""
CtrlPadBehaviorButtonDefTitle#0,"""버튼 표시설정"""
CtrlPadBehaviorButtonDefMessage2#0,"""마지막으로, 게임 내에서 표시된 버튼의 마크가<br>이용 중인 게임패드의 어느 버튼인지 설정합니다.<br><br>리스트 위부터 순서대로 「변경」을 눌러,<br><c ff007f>「버튼 표시」<c>에 맞는 게임패드의 버튼을 눌러주세요."""
CtrlPadBehaviorButtonDefCaptionDef#0,"""<c ff007f>버튼 표시<c>"""
CtrlPadBehaviorButtonDefCaptionAssign#0,"""실제 버튼 할당"""
CtrlPadBehaviorButtonDefApply#0,"""반영하고 닫기"""
CtrlPadBehaviorButtonDefDisapply#0,"""취소하고 닫기"""
CtrlPadBehaviorButtonDefMessage#0,"""$(0)에 사용할 버튼을 입력해 주세요"""
CtrlPadBehaviorButtonDefDisable#0,"""<gray>설정 불필요(아날로그)<c>"""
CtrlPadCtrlTitle#0,"""게임패드 조작설정"""
CtrlPadInitToast#0,"""게임패드를 자동설정하였습니다. 게임패드 초기설정을 통해 수동설정도 가능합니다."""
RadioButtonEnable#0,"""사용"""
RadioButtonDisable#0,"""사용 안함"""
RadioButtonShow#0,"""항상 표시"""
RadioButtonHide#0,"""표시 안함"""
RadioButtonAllow#0,"""보내기"""
RadioButtonDisallow#0,"""보내지 않기"""
RadioButtonCtrlNormal#0,"""노멀"""
RadioButtonCtrlCustom#0,"""커스텀( <pict Sign_TRIANGLE>커스텀 설정변경）"""
RadioButtonCtrlType1#0,"""타입1"""
RadioButtonCtrlType2#0,"""타입2"""
RadioButtonCtrlType3#0,"""타입3"""
RadioButtonSave#0,"""저장한다"""
RadioButtonNotSave#0,"""저장하지 않는다"""
RadioButtonButtonResetOn#0,"""항상 표시"""
RadioButtonButtonResetOff#0,"""표시 안함"""
Number0#0,"""0"""
Number50#0,"""50"""
Number100#0,"""100"""
VITA_CustomWindow#0,"""<pict Sign_TRIANGLE>커스텀 설정변경"""
VITA_CustomTitle#0,"""커스텀 설정"""
VITA_PushButton#0,"""버튼 입력"""
VITA_CustomToast1#0,"""커스텀 설정이 변경되었습니다. 각 조작 타입을 「커스텀」으로 설정하여 유효로 할 수 있습니다."""
VITA_CustomToast2#0,"""중요한 조작이 미설정된 상태입니다."""
VITA_AutoRun#0,"""자동 달리기/서브팔레트 전환 좌"""
VITA_ChangeView#0,"""시점변경/서브팔레트 전환 우"""
VITA_CustomInfo#0,"""커스텀 설정은 버튼 이외에도<br>뒷면 터치패드 좌상단<pict Sign_BACK_L>과 우상단<pict Sign_BACK_R>을 설정할 수 있습니다.<br><br>변경하고자 하는 항목명을 고르고, 버튼 혹은<br>뒷면 터치패드를 눌러 설정을 변경해 주세요."""
DrawFilterText#0,"""화면 필터<pict Arcscash>"""
DrawFilterUsually#0,"""일반"""
DrawFilterGrayScale#0,"""흑백"""
DrawFilterSepia#0,"""세피아"""
DrawFilterFading#0,"""빈티지"""
DrawFilter8bit#0,"""도트"""
DrawFilter#0,"""화면에 적용할 필터를 선택해 주십시오"""
DrawFilterMessageText#0,"""「프리미엄 세트」 유효기간 중에만 이용할 수 있습니다.<br><yellow>게임 런처의 환경설정「그래픽/쉐이더 품질」이<br>「고품질」일 때에만 적용됩니다.<c><br>화면 필터를 이하에서 선택해 주십시오."""
xx_DrawFilterMessageText#0,"""「프리미엄 세트」 유효기간 중에만 이용할 수 있습니다.<br>화면 필터를 이하에서 선택해 주십시오."""
cc_DrawFilterMessageText#0,"""「프리미엄 세트」 유효기간 중에만 이용할 수 있습니다.<br>화면 필터를 이하에서 선택해 주십시오."""
DrawFilterMessagePremiumOn#0,"""<yellow>프리미엄 유효기간 중<c>"""
DrawFilterMessagePremiumOff#0,"""<red>프리미엄 유효기간 만료<c>"""
DetailPolluteOthers#0,"""-"""
AuraSlider_Text_0#0,"""투명도"""
AuraSlider_Text_1#0,"""-"""
CtrlFuncNameOpenTotalScoreBoost#0,"""퀘스트 연동 부스트"""
CtrlFuncNameStartChatGroup#0,"""그룹 채팅 기동"""
Title_DetailInfo#0,"""상세 정보"""
FloatTextItemVita#0,"""드랍 아이템 획득 표시"""
Config_Padinput01#0,"""게임 패드 입력 형식"""
Config_Padinput02#0,"""게임 패드 진동"""
Config_Padinput03#0,"""비활성화 시 게임 패드 조작"""
Config_Padinput01_Select01#0,"""DirectInput"""
Config_Padinput01_Select02#0,"""XInput"""
Config_Padinput02_Select01#0,"""진동 있음"""
Config_Padinput02_Select02#0,"""진동 없음"""
Config_Padinput03_Select01#0,"""조작 하기"""
Config_Padinput03_Select02#0,"""조작 안함"""
Config_PadInput04#0,"""게임 패드 입력 방식 선택"""
Config_PadInput05#0,"""게임 패드 타입에 따라 입력 방식을 선택합니다.<br><yellow>※\""XInput\""로 변경하여 정상적으로 작동하지 않는 경우<br>키보드나 마우스로 \""DirectInput\""로 바꿔주세요.<c>"""
Config_PadInput06#0,"""<%GamePad> 진동 설정"""
Config_PadInput07#0,"""\""XInput\""선택시에만 진동 기능을 이용할 수 있습니다.<br>※<%GamePad>에 따라 진동하지 않는 경우가 있습니다."""
Config_PadInput07_PS4#0,"""<yellow>※<%GamePad>에 따라 진동하지 않는 경우가 있습니다.<c>"""
Config_PadInput07_pad#0,"""\""XInput\"" 선택 시에만 진동기능을 설정할 수 있습니다.<br><yellow>※게임패드에 따라 진동하지 않을 수 있습니다.<c>"""
Config_PadInput07_con#0,"""\""XInput\"" 선택 시에만 진동기능을 설정할 수 있습니다.<br><yellow>※컨트롤러에 따라 진동하지 않을 수 있습니다.<c>"""
Config_PadInput12#0,"""비활성화 시 게임 패드 조작 설정"""
Config_PadInput13#0,"""게임 화면이 활성화 되어 있지 않을 때<br>게임 패드의 입력을 받을지 설정합니다."""
Config_PadInput17#0,"""게임 패드 초기 설정"""
Config_PadInput18#0,"""\""DirectInput\"" 선택한 경우에만 초기 설정 (캘리브레이션)을 실행합니다."""
SubCategory_ToonTitle#0,"""캐릭터 툰 표시 설정"""
SubCategory_ToonDetail#0,"""캐릭터나 코스튬 등의 표시를<br>툰(애니) 풍으로 묘사할지 설정합니다.<br><br><yellow>※『NGS』블록에서만<br>\u3000표시가 적용됩니다.<br><br>※※나중에 \""옵션\""이나 \""에스테\""에서<br>\u3000설정을 변경하거나 조정할 수 있습니다.<c><c>"""
SubCategory_ToonSelect1#0,"""툰 풍으로 만들기"""
SubCategory_ToonSelect2#0,"""평소대로"""
Subject_000#0,"""액션 기능 설정"""
Subject_001#0,"""HUD설정"""
Subject_002#0,"""메뉴 설정"""
Subject_003#0,"""드랍 아이템 자동획득 기능"""
Subject_004#0,"""기타 설정"""
Subject_005#0,"""카메라 설정"""
Subject_006#0,"""카메라 좌우 회전 속도"""
Subject_007#0,"""카메라 상하 회전 속도"""
Subject_008#0,"""주는 데미지 표시"""
Subject_009#0,"""회복／받는 데미지 표시"""
Subject_010#0,"""EXP 등의 표시"""
Subject_011#0,"""드랍 아이템 획득 표시"""
Subject_012#0,"""확인 알림"""
Subject_013#0,"""메시지 알림"""
Subject_014#0,"""기타 알림"""
Subject_015#0,"""채팅 설정"""
Subject_016#0,"""타 유저의 오토워드 표시설정"""
Subject_017#0,"""로그 윈도우의 「모두 표시」에 표시되는 채널"""
Subject_018#0,"""스크린샷 설정"""
Subject_019#0,"""에스테 설정"""
Subject_020#0,"""라이드로이드 설정"""
Subject_021#0,"""다크 블래스트 설정"""
Subject_022#0,"""BGM 볼륨"""
Subject_023#0,"""SE 볼륨"""
Subject_024#0,"""보이스 볼륨"""
Subject_025#0,"""게임 내 재생 동영상 볼륨"""
Subject_026#0,"""재생 기능"""
Subject_027#0,"""품질 기능"""
Subject_028#0,"""상세하게 표시 할 캐릭터 수"""
Subject_029#0,"""포톤 블래스트 표시 수"""
Subject_030#0,"""반사 품질"""
Subject_031#0,"""그림자 품질"""
Subject_032#0,"""화면 밝기"""
Subject_033#0,"""카메라 라이트"""
Subject_034#0,"""마우스 사용 시 보정"""
Subject_035#0,"""보이스채팅 기능 ON/OFF"""
Subject_036#0,"""위시리스트, 선물 리스트"""
Config_000_Name#0,"""록온 조작"""
Config_000_Choices_0#0,"""푸쉬"""
Config_000_Choices_1#0,"""홀드"""
Config_000_Hint#0,"""록온 조작의 전환 방법을 설정합니다.<br>할당된 키나 버튼을 눌렀을 때 바꿀지<br>누르고 있는 동안 바꿀지 설정합니다."""
Config_001_Name#0,"""<%RStick>으로 록온 대상 전환"""
Config_001_Choices_0#0,"""사용"""
Config_001_Choices_1#0,"""사용 안함"""
Config_001_Hint#0,"""록온 중에<br><%RStick>으로 대상을 전환하는 기능을<br>사용할지를 설정합니다."""
Config_002_Name#0,"""뒷면 팔레트 교체"""
Config_002_Hint#0,"""뒷면 팔레트 전환 조작으로<br>버튼이나 키를 누를 때마다 전환할지<br>누르고 있는 동안만 전환할지 선택합니다."""
Config_003_Name#0,"""회피 조작 이동 키 2회 누름 간격"""
Config_003_Choices_0#0,"""길게"""
Config_003_Choices_1#0,"""중간"""
Config_003_Choices_2#0,"""짧게"""
Config_003_Choices_3#0,"""2회 입력 무효"""
Config_003_Hint#0,"""키보드의 캐릭터 이동 키<br>(초기 설정 [W]/[A]/[S]/[D]키)를<br>2회 누르고 \""회피 액션\""을 할 때의<br>입력 받는 간격을 설정합니다."""
Config_004_Name#0,"""레이더 맵의 회전 방법"""
Config_004_Choices_0#0,"""회전하지 않음"""
Config_004_Choices_1#0,"""회전"""
Config_004_Hint#0,"""레이더 맵을 카메라의 방향에 맞춰<br>회전시킬지를 설정합니다."""
Config_005_Name#0,"""E트라이얼 발생 시 맵 전환"""
Config_005_Choices_0#0,"""광역 표시로 전환"""
Config_005_Choices_1#0,"""전환하지 않는다"""
Config_005_Hint#0,"""레이더 맵을 확대 표시할 때<br>E 트라이얼이 발생했을 때,<br>자동으로 일시적으로 레이더맵을 광역표시로<br>전환할지를 설정합니다."""
Config_006_Name#0,"""선택 중인 서브 팔레트 내용"""
Config_006_Choices_0#0,"""표시 안함"""
Config_006_Choices_1#0,"""전환 할때만 표시"""
Config_006_Choices_2#0,"""항상 표시"""
Config_006_Hint#0,"""선택중인 서브 팔레트 내용을 표시하는 방법을 설정합니다."""
Config_007_Name#0,"""펫의 파라미터 정보"""
Config_007_Choices_0#0,"""항상 표시"""
Config_007_Choices_1#0,"""표시 안함"""
Config_007_Hint#0,"""펫의 HP 바와 상태를 나타내는 아이콘을<br>표시할지 설정합니다."""
Config_008_Name#0,"""다른 파티의 캐릭터 이름 색상"""
Config_008_Choices_0#0,"""하얀색"""
Config_008_Choices_1#0,"""파란색"""
Config_008_Hint#0,"""다른 파티에 참석 중인 캐릭터 이름을<br>무슨 색으로 표시할지 설정합니다."""
Config_009_Name#0,"""공격 속성에 따른 HP 바의 컬러"""
Config_009_Choices_0#0,"""바꾸지 않는다"""
Config_009_Choices_1#0,"""속성에 따라 바꾼다"""
Config_009_Hint#0,"""데미지를 받았을 때 감소되는 HP 바 색상을<br>공격 속성에 의존해서 표시할지 설정합니다."""
Config_010_Name#0,"""복귀 플레이어 아이콘"""
Config_010_Hint#0,"""복귀 플레이어 아이콘을<br>표시할지 여부를 설정합니다.<br>※아이콘을 표시하지 않아도<br> 각 보너스는 받을 수 있습니다."""
Config_011_Name#0,"""창고의 초기 커서 위치"""
Config_011_Choices_0#0,"""모든 창고"""
Config_011_Choices_1#0,"""기본 창고"""
Config_011_Choices_2#0,"""캐릭터 창고"""
Config_011_Choices_3#0,"""프리미엄 창고"""
Config_011_Choices_4#0,"""ＯＴＰ 창고"""
Config_011_Choices_5#0,"""PSO2es 창고"""
Config_011_Hint#0,"""창고 단말 혹은 마이 샵 출품 시,<br>NPC샵에서 아이템을 판매할 때<br>창고UI가 표시되었을 때의<br>초기 커서 위치를 설정합니다."""
Config_012_Name#0,"""간이 개더링 정보"""
Config_012_Hint#0,"""메인메뉴를 표시할 때,<br>간이 개더링 정보를<br>표시할지 여부를 설정합니다."""
Config_013_Name#0,"""캐릭터 메뉴 표시 형식"""
Config_013_Choices_0#0,"""카테고리"""
Config_013_Choices_1#0,"""목록"""
Config_013_Hint#0,"""주위의 캐릭터를 선택했을 때 등 표시하는<br>캐릭터 메뉴의 형식을 설정합니다."""
Config_014_Name#0,"""퀘스트 카운터 표시 형식"""
Config_014_Hint#0,"""퀘스트 카운터의 표시 형식을 설정합니다."""
Config_015_Name#0,"""파티정보 입력메뉴 표시형식"""
Config_015_Choices_0#0,"""상세"""
Config_015_Choices_1#0,"""보통"""
Config_015_Hint#0,"""퀘스트를 수주했을 때 파티 정보 입력 메뉴의<br>표시 형식을 설정합니다."""
Config_016_Name#0,"""파티 설정 저장"""
Config_016_Choices_0#0,"""저장한다"""
Config_016_Choices_1#0,"""저장하지 않는다"""
Config_016_Hint#0,"""파티 설정을 저장해서 블록 이동이나<br>로그아웃을 해도 유지할지 설정합니다.<br>※게임을 종료하기 전까지 유효합니다."""
Config_017_Name#0,"""퀘스트 수주 시 파티명"""
Config_017_Choices_0#0,"""퀘스트 이름"""
Config_017_Choices_1#0,"""캐릭터 이름"""
Config_017_Hint#0,"""파티명을 입력하지 않고 퀘스트를 수주할 시<br>자동적으로 입력되는 파티명을 선택합니다.<br><br>【퀘스트 이름】<br>난이도의 약칭과 퀘스트 이름으로 설정합니다.<br><br>【캐릭터 이름】<br>수주한 캐릭터의 이름으로 설정합니다."""
Config_018_Name#0,"""퀘스트 수주 시 초기 커서 위치"""
Config_018_Choices_0#0,"""다수 블록 검색"""
Config_018_Choices_1#0,"""현재 블록으로 수주"""
Config_018_Hint#0,"""다수 블록 매칭이 가능한 퀘스트를 수주할 시<br>커서 위치를 어느 쪽으로 할지 설정합니다.<br>※일부 퀘스트는 제외됩니다."""
Config_019_Name#0,"""메세타 자동 획득"""
Config_019_Choices_0#0,"""사용 안함"""
Config_019_Choices_1#0,"""사용"""
Config_019_Hint#0,"""메세타를 자동으로 줍는 기능을<br>사용할지 여부를 설정합니다."""
Config_020_Name#0,"""무기の즉시 획득"""
Config_020_Choices_0#0,"""사용 안함"""
Config_020_Choices_1#0,"""★13 이상에서 사용"""
Config_020_Hint#0,"""레어리티가 높은 무기가 드랍되었을 때,<br>획득 실수를 피하기 위해 필드 드랍 없이<br>아이템팩에 즉시 획득할지 설정합니다."""
Config_021_Name#0,"""유닛 즉시 획득"""
Config_021_Choices_0#0,"""사용 안함"""
Config_021_Choices_1#0,"""★12 이상에서 사용"""
Config_021_Hint#0,"""레어리티가 높은 유닛이 드랍되었을 때,<br>획득 실수를 피하기 위해 필드 드랍 없이<br>아이템팩에 즉시 획득할지 설정합니다."""
Config_022_Name#0,"""소재 아이템 즉시 획득"""
Config_022_Hint#0,"""『오더 아이템／소재』 카테고리의<br>아이템이 드랍되었을 때,<br>획득 실수를 피하기 위해 필드 드랍 없이<br>아이템팩에 즉시 획득할지 설정합니다."""
Config_023_Name#0,"""기타 아이템의 즉시 획득"""
Config_023_Hint#0,"""무기, 유닛, 소재 이외의<br>레어리티가 높은 아이템이 드랍되었을 때,<br>획득 실수를 피하기 위해 필드 드랍 없이<br>아이템팩에 즉시 획득할지 설정합니다."""
Config_024_Name#0,"""레어 아이템 드랍 연출 표시"""
Config_024_Choices_0#0,"""★7 이상"""
Config_024_Choices_1#0,"""★10 이상"""
Config_024_Choices_2#0,"""★13 이상"""
Config_024_Hint#0,"""레어 아이템이 드랍되었을 때 표시되는 연출을<br>어느 레어리티부터 표시할지 설정합니다."""
Config_025_Name#0,"""이벤트 주목 기능"""
Config_025_Hint#0,"""이벤트 발생 시, 액세스 버튼을 길게 눌러<br>이벤트에 주목하는 기능을 사용할지 설정합니다."""
Config_026_Name#0,"""게임 내 모니터 영상 재생"""
Config_026_Choices_0#0,"""재생"""
Config_026_Choices_1#0,"""재생 안 함"""
Config_026_Hint#0,"""시티 등에 설치된 모니터에서<br>동영상을 재생할지 설정합니다."""
Config_027_Name#0,"""비기너 블록 우선 로그인"""
Config_027_Choices_0#0,"""우선"""
Config_027_Choices_1#0,"""우선 안 함"""
Config_027_Hint#0,"""레벨20 이하의 캐릭터로 로그인할 경우,<br>비기너 블록에 우선적으로 입장할지 선택합니다."""
Config_028_Name#0,"""포톤 블래스트 표시 수"""
Config_028_Choices_0_VITA#0,"""전원 표시"""
Config_028_Choices_1_VITA#0,"""내 것만 표시"""
Config_028_Hint_VITA#0,"""다른 플레이어의 포톤 블래스트를<br>표시할지 설정합니다."""
Config_029_Name#0,"""마우스 카메라조작"""
Config_029_Choices_0#0,"""카메라 조작을 우선"""
Config_029_Choices_1#0,"""커서 조작을 우선"""
Config_029_Hint#0,"""마우스로 조작할 때 카메라와 마우스 중<br>어느 것을 우선하여 조작할지 설정합니다."""
Config_030_Name#0,"""카메라 좌우 회전 방향"""
Config_030_Choices_0#0,"""일반"""
Config_030_Choices_1#0,"""반전"""
Config_030_Hint#0,"""카메라의 좌우 회전 방향을 설정합니다."""
Config_031_Name#0,"""카메라 상하 회전 방향"""
Config_031_Hint#0,"""카메라의 상하 회전 방향을 설정합니다."""
Config_032_Hint#0,"""카메라의 좌우 회전 속도를 설정합니다."""
Config_033_Hint#0,"""카메라의 상하 회전 속도를 설정합니다."""
Config_034_Name#0,"""마우스를 통한 카메라 조작"""
Config_035_Name#0,"""카메라 좌우 회전 방향"""
Config_036_Name#0,"""카메라 상하 회전 방향"""
Config_039_Name#0,"""플레이어 캐릭터"""
Config_039_Choices_0#0,"""크게 (표준)"""
Config_039_Choices_1#0,"""중간"""
Config_039_Choices_2#0,"""작게"""
Config_039_Choices_3#0,"""표시 안함"""
Config_039_Hint#0,"""플레이어가 데미지를 주었을 때<br>표시되는 연출의 크기를 설정합니다."""
Config_040_Name#0,"""파티 멤버"""
Config_041_Name#0,"""기타 캐릭터"""
Config_042_Name#0,"""플레이어 캐릭터"""
Config_042_Hint#0,"""회복 효과나 데미지를 받았을 때<br>표시되는 연출의 크기를 설정합니다."""
Config_043_Name#0,"""파티 멤버"""
Config_044_Name#0,"""기타 캐릭터"""
Config_045_Name#0,"""EXP／기타"""
Config_045_Hint#0,"""EXP를 획득했을 때 표시되는 크기를 설정합니다."""
Config_046_Name#0,"""아이템 획득"""
Config_046_Choices_0#0,"""캐릭터 옆에 표시"""
Config_046_Choices_1#0,"""아이템 위치에 표시"""
Config_046_Choices_2#0,"""표시 안함"""
Config_046_Hint#0,"""아이템 획득 시 표시되는<br>연출의 표시 위치를 설정합니다."""
Config_047_Name#0,"""파티 초대 알림"""
Config_047_Hint#0,"""파티에 초대되었을 때<br>새로운 알림창을 표시할지 설정합니다."""
Config_048_Name#0,"""프렌드 등록 알림"""
Config_048_Hint#0,"""프렌드 등록을 신청했을 때<br>새로운 알림창을 표시 설정합니다."""
Config_049_Name#0,"""팀 스카웃 알림"""
Config_049_Hint#0,"""팀에 스카웃되었을 때<br>새로운 알림창을 표시할지 설정합니다."""
Config_050_Name#0,"""그룹 채팅 초대"""
Config_050_Hint#0,"""그룹 채팅에 초대받았을 때<br>참가 선택창을 표시할지 설정합니다."""
Config_051_Name#0,"""트레이드 신청"""
Config_051_Hint#0,"""트레이드를 신청받았을 때<br>답변 선택창을 표시할지 설정합니다."""
Config_052_Name#0,"""추천 오더 알림"""
Config_052_Hint#0,"""추천 퀘스트를 수주했을 때<br>추천 오더의 수주 메뉴를<br>표시할지 설정합니다."""
Config_053_Name#0,"""복수 블록 매칭의 수주 확인"""
Config_053_Hint#0,"""파티 리더가 복수 블록 매칭으로<br>퀘스트를 수주했을 때, 수주 확인창을 <br>자동으로 열지 설정합니다."""
Config_054_Name#0,"""<%GamePad> 연결 알림"""
Config_054_Hint#0,"""<%GamePad> 설정으로<br>중요한 기능 할당에 문제가 있었을 때<br>할당 사항의 자동 복구 알림을<br>받을지 설정합니다."""
Config_055_Name#0,"""알림 메시지 표시건수"""
Config_055_Choices_0#0,"""1건"""
Config_055_Choices_1#0,"""3건"""
Config_055_Hint#0,"""알림 메시지를<br>동시에 최대 몇 건까지 표시할지 설정합니다."""
Config_056_Name#0,"""아이템 획득 시 로그 표시"""
Config_056_Hint#0,"""아이템을 얻었을 때<br>로그에 표시 할지 설정합니다."""
Config_057_Name#0,"""파티 내 레어 아이템 획득 알림"""
Config_057_Hint#0,"""파티 멤버가 레어 아이템을<br>획득했을 때 표시를 할지<br>설정합니다."""
Config_058_Name#0,"""프리미엄 세트 유효기간 만료 알림"""
Config_058_Hint#0,"""프리미엄 세트의<br>유효기간이 만료되기 1주 전<br>로그인 시 얼마나 남았는가<br>표시할지 설정합니다."""
Config_059_Name#0,"""로그인 콜 송신"""
Config_059_Choices_0#0,"""보내기"""
Config_059_Choices_1#0,"""보내지 않기"""
Config_059_Hint#0,"""내가 로그인했을 때 친구에게<br>로그인 콜을 보낼지 설정합니다."""
Config_060_Name#0,"""다른 플레이어의 전투 불능 알림"""
Config_060_Hint#0,"""파티 멤버를 포함해 다른 플레이어의<br>전투 불능 알림을<br>표시할지 설정합니다."""
Config_061_Name#0,"""나의 전투 불능 알림"""
Config_061_Hint#0,"""내가 전투 불능 상태가 되었을 때<br>주위의 플레이어에게 전투 불능<br>아이콘을 표시할지 설정합니다.<br><yellow>※상대방의 표시 설정이 OFF일 경우<br>상대에게 전투 불능 아이콘이 표시되지 않습니다.<c>"""
Config_062_Name#0,"""다이렉트 채팅"""
Config_062_Hint#0,"""「사용」을 선택하면, 키보드를<br>캐릭터의 이동 등의 액션이 아닌<br>직접 채팅입력이 되도록 설정됩니다."""
Config_063_Name#0,"""다이렉트 채팅 전환 키"""
Config_063_Hint#0,"""다이렉트 채팅 ON/OFF를<br>Scroll Lock 키로 전환할 수 있는 기능을<br>사용할지 설정합니다.<br><br>다이렉트 채팅이 올바르게작동하지 않는 경우<br>이 설정을 ON으로 하면 올바르게 움직이도록<br>될 가능성이 있습니다."""
Config_064_Name#0,"""메일 답변 시의 인용"""
Config_064_Choices_0#0,"""인용"""
Config_064_Choices_1#0,"""인용 안함"""
Config_064_Hint#0,"""메일 답변 시 인용할지 설정합니다."""
Config_065_Name#0,"""심볼 아트 발언 표시"""
Config_065_Hint#0,"""심볼 아트 발언을 표시할지 설정합니다."""
Config_066_Name#0,"""팀 채팅 말풍선 표시"""
Config_066_Choices_0#0,"""전부 표시"""
Config_066_Choices_1#0,"""같은 에리어 내 발언만"""
Config_066_Choices_2#0,"""표시 안 함"""
Config_066_Hint#0,"""다른 플레이어의 팀 채팅의 말풍선을<br>표시할지 설정합니다."""
Config_067_Name#0,"""그룹 채팅 말풍선 표시"""
Config_067_Hint#0,"""그룹 채팅 말풍선 표시 조건을<br>설정합니다."""
Config_068_Name#0,"""그룹, 팀, 귓속말의 발언자명"""
Config_068_Choices_0#0,"""플레이어 ID 네임"""
Config_068_Choices_1#0,"""캐릭터 이름"""
Config_068_Hint#0,"""그룹 채팅、팀チャット、<br>귓속말チャットの発言者名を<br>プレイヤーIDネームと캐릭터名<br>どちらで표시할 설정합니다."""
Config_069_Name#0,"""채팅 입력란의 배경색"""
Config_069_Choices_0#0,"""発言先の色にしない"""
Config_069_Choices_1#0,"""発言先の色にする"""
Config_069_Hint#0,"""チャット入力の背景の色を発言先にしたがって<br>変化するようにするか설정합니다."""
Config_070_Name#0,"""그룹 채팅 초대可否"""
Config_070_Choices_0#0,"""초대を받음"""
Config_070_Choices_1#0,"""초대を받지않음"""
Config_070_Hint#0,"""그룹 채팅 초대を받음か설정を行います。<br>받지않음설정にした場合、초대를 수신하지 않게 됩니다."""
Config_071_Name#0,"""오토 워드 사용"""
Config_071_Hint#0,"""오토 워드를 사용할지 설정합니다.<br><yellow>\""사용안함\""을 선택하면<br>오토워드를 설정해도<br>말하지 않게 됩니다."""
Config_072_Name#0,"""오토ワードをログに표시"""
Config_072_Hint#0,"""오토 워드를 로그에 표시할지 설정합니다."""
Config_073_Name#0,"""로그 윈도우표시順"""
Config_073_Choices_0_VITA#0,"""最新を上から표시하기"""
Config_073_Choices_1_VITA#0,"""最新を下から표시하기"""
Config_073_Hint_VITA#0,"""ログを표시하는 順序を설정합니다."""
Config_074_Name#0,"""이벤트"""
Config_074_Hint#0,"""画面に표시하할 他者の오토ワードカテゴリーを<br>설정합니다."""
Config_075_Name#0,"""멤버"""
Config_076_Name#0,"""액션"""
Config_077_Name#0,"""주변"""
Config_077_Hint#0,"""로그 윈도우의 「전체 표시」タブに<br>표시할 内容を選択합니다."""
Config_078_Name#0,"""파티"""
Config_079_Name#0,"""팀"""
Config_080_Name#0,"""귓속말"""
Config_081_Name#0,"""시스템"""
Config_082_Name#0,"""캐릭터"""
Config_083_Name#0,"""그룹 채팅"""
Config_084_Name#0,"""スクリーンショット保存 형식"""
Config_084_Choices_0#0,"""JPEG"""
Config_084_Choices_1#0,"""PNG"""
Config_084_Choices_2#0,"""BMP"""
Config_084_Hint#0,"""スクリーンショットを保存する際の<br>保存 형식を選択합니다."""
Config_085_Name#0,"""스크린샷 촬영시 UI 표시 설정"""
Config_085_Choices_0#0,"""전체 표시"""
Config_085_Choices_1#0,"""フキダシのみ표시"""
Config_085_Choices_2#0,"""표시なし"""
Config_085_Hint#0,"""スクリーンショット撮影時に、<br>UI( ウィンドウなどのインターフェイス）を<br>표시할지 설정합니다.<br>※ゲーム内の撮影機能を利用時のみ有効。"""
Config_085_Choices_0_Switch#0,"""ウィンドウ표시あり"""
Config_085_Choices_1_Switch#0,"""ウィンドウ표시なし"""
Config_085_Hint_Switch#0,"""スクリーンショット撮影時に、<br>UI( ウィンドウなどのインターフェイス）を<br>표시할지 설정합니다.<br>※ゲーム内の撮影機能を利用時のみ有効。"""
Config_086_Name#0,"""에스테 체형 변경 동기 설정 1"""
