MySpaceCommonLabel_EditMode#0,"""편집 모드"""
SendRandam4#0,"""랜덤 송신할 송신지의 커넥트ID 지정 4"""
SendRandam5#0,"""랜덤 송신할 송신지의 커넥트ID 지정 5"""
SendPlaySE#0,"""SE 재생하기"""
SendCountOverValue#0,"""커넥트를 지정 횟수 이상 수신하기"""
SendReceiveChannel#0,"""송신조건 1과 2를 수신하기"""
SendByReceiveChannel#0,"""지정한 시간 경과 후 송신하기"""
ReceiveChannel1#0,"""수신처의 커넥트ID 지정 1"""
ReceiveChannel2#0,"""수신처의 커넥트ID 지정 2"""
ResetReceiveChannel#0,"""수신 내용 리셋하기"""
CountToByReceiveChannel#0,"""카운트 수 1 증가"""
CountResetByReceiveChannel#0,"""카운트 수 재설정하기"""
ActiveConnect#0,"""기능 사용/커넥트ID"""
ActiveCollision#0,"""빌드 파츠의 접촉 판정을 유효로 하기"""
InactiveCollision#0,"""빌드 파츠의 접촉 판정을 무효로 하기"""
ActiveAccess#0,"""빌드 파츠의 액세스 판정 유효로 하기"""
InactiveAccess#0,"""빌드 파츠의 액세스 판정을 무효로 하기"""
ActiveTransLock#0,"""커넥트 송수신을 무효로 하기"""
InactiveTransLock#0,"""커넥트 송수신 유효로 하기"""
ActiveChannel#0,"""기능 사용/커넥트ID"""
GraphicsAppear#0,"""빌드 파츠를 표시"""
GraphicsDisappear#0,"""빌드 파츠를 숨기기"""
MessageAppear#0,"""메시지를 표시"""
DesplayCountBySpeechBubble#0,"""현재 카운트 수 표시"""
ConfigInit#0,"""기본 설정"""
ConfigSend#0,"""커넥트 송신 조건"""
ConfigRecieve#0,"""커넥트 수신 후 동작"""
LabelCapacityGauge#0,"""설치 용량"""
DelayUntilSend#0,"""다음 빌드 파츠에 송신까지의 시간"""
IncrementalTimerValueByReceiveChannel#0,"""커넥트 수신 시 타이머의 초 수 증가"""
DecrementalTimerValueByReceiveChannel#0,"""커넥트 수신 시 타이머의 초 수 감소"""
TimerValueSended#0,"""커넥트를 송신하는 초 수"""
CountValueSended#0,"""다음 빌드 파츠에 송신할 때까지의 커넥트 수신 횟수"""
StartCountUp#0,"""카운트 업 시작하기"""
StopCountUp#0,"""카운트 업 중지하기"""
IncrementTimer#0,"""타이머 초 수 증가"""
DecrementTimer#0,"""타이머의 초 수 줄이기"""
ResetTimer#0,"""타이머 리셋하기"""
DesplayTimeBySpeechBubble#0,"""시간을 표시"""
StartCountDown#0,"""카운트 다운 시작하기"""
StopCountDown#0,"""카운트 다운 중지하기"""
SEPlayingByReceiveChannel#0,"""재생할 SE"""
PlaySEByReceiveChannel#0,"""SE 재생하기"""
DefaultTimer#0,"""타이머의 초기 초 수"""
SwitchState#0,"""스위치 초기 상태"""
MySpaceObjectSE_000#0,"""재생 안 함"""
MySpaceObjectSE_001#0,"""정답"""
MySpaceObjectSE_002#0,"""꽝"""
MySpaceObjectSE_003#0,"""퀘스트 클리어"""
MySpaceObjectSE_004#0,"""환호"""
MySpaceObjectSE_005#0,"""박수"""
MySpaceObjectSE_006#0,"""야유"""
MessagePack_Cancel#0,"""다른 플레이어가 빌드 파츠를 편집했기 때문에 입력을 취소했습니다."""
MessagePack_Title#0,"""메시지 편집"""
MessagePack_Headline_Message#0,"""메시지 설정"""
MessagePack_Headline_Balloon#0,"""말풍선 설정"""
MessagePack_Headline_Symbol#0,"""만화표시 설정"""
MySpaceSettingForm_Title#0,"""빌드 파츠설정"""
MessagePack_NGWord_Title#0,"""메시지"""
MessagePack_NGWord#0,"""메시지에 사용할 수 없는 단어가 포함되어 있습니다."""
MessagePack_Confirm_Title#0,"""입력 내용 확인"""
MessagePack_Confirm#0,"""입력한 내용을 반영하시겠습니까?"""
PlayingCutin#0,"""재생할 텍스트 연출"""
SendPlayCutin#0,"""텍스트 연출 재생하기"""
PlayCutinReceiveChannel#0,"""텍스트 연출 재생하기"""
MySpaceObjectCutin_000#0,"""재생 안 함"""
MySpaceObjectCutin_001#0,"""GOAL!"""
MySpaceObjectCutin_002#0,"""CLEAR!"""
MySpaceObjectCutin_003#0,"""GAME OVER"""
MySpaceObjectCutin_004#0,"""SUCCESS!"""
MySpaceObjectCutin_005#0,"""FAILURE"""
MySpaceObjectCutin_006#0,"""START!"""
MySpaceObjectCutin_007#0,"""TIME UP!"""
MoveType#0,"""오브젝트 이동"""
MoveType_01#0,"""이동 안 함"""
MoveType_02#0,"""왼쪽에서 오른쪽으로 이동하기"""
MoveType_03#0,"""오른쪽에서 왼쪽으로 이동하기"""
MoveType_04#0,"""아래에서 위로 이동하기"""
MoveType_05#0,"""위에서 아래로 이동하기"""
MoveTime#0,"""이동 시 원위치로 돌아갈 때까지의 시간"""
MoveRange#0,"""이동 거리"""
SendTouchBomb#0,"""접촉"""
Teleporter_NotFound#0,"""같은 번호의 텔레포터를 찾을 수 없습니다."""
Teleporter_TimeOut#0,"""통신 오류로 인해 전송되지 않았습니다."""
Turnon_ConnectRecieved#0,"""켜기"""
Turnoff_ConnectRecieved#0,"""끄기"""
MessagePack_Headline_Username#0,"""이름 설정"""
SpeedUp_Time#0,"""이동 속도 상승 효과 시간"""
ActionTypeSended#0,"""송신 조건이 되는 액션"""
ActionType_01#0,"""설정 안 함"""
ActionType_02#0,"""점프"""
ActionType_03#0,"""공격"""
ActionType_04#0,"""스텝"""
SendAction#0,"""액션을 하기"""
SendHatchOpen#0,"""열기"""
SendHatchClose#0,"""닫기"""
OpenHatch#0,"""열기"""
CloseHatch#0,"""닫기"""
SendByReceiveRandomChannel#0,"""지정한 커넥트 ID 중 하나로 송신하기"""
TeamSpace_IndependentError#0,"""현 입실 중인 공간의 소유 팀에 가입되어 있지 않아 엑세스할 수 없습니다."""
EditPermission_Assignment#0,"""편집 권한이 부여되었습니다."""
EditPermission_Deprivation#0,"""편집 권한이 사라졌습니다."""
Guild_mag_level_up#0,"""팀 마그가 커졌습니다."""
Guild_mag_level_down#0,"""팀 마그가 작아졌습니다."""
DefaultBlueprintName#0,"""설계도"""
SlotSelect#0,"""저장 슬롯 선택"""
SlotSelectSaveGuideText#0,"""설계도를 저장할 슬롯을 선택해 주세요."""
SlotSelectPublishGuideText#0,"""설계도를 공개할 슬롯을 선택해 주세요."""
RegionSelect#0,"""설계도의 범위 지정"""
RegionView#0,"""범위 지정 확인"""
RegionSelectExitGuide#0,"""키 길게 누르기로 범위 지정 종료"""
RegionViewExitGuide#0,"""키 길게 누르기로 공개 범위 확인 완료"""
RegionSelectStartingPoint#0,"""기점"""
RegionSelectRight#0,"""오른쪽 폭"""
RegionSelectLeft#0,"""왼쪽 폭"""
RegionSelectHeight#0,"""높이"""
RegionSelectDepth#0,"""깊이"""
RegionSelectCaption1#0,"""설계도의 기점"""
RegionSelectCaption2#0,"""설계도의 범위"""
RegionSelect_FarAway#0,"""설계도 단말에서 일정 거리 이상 떨어져 있어 자동 전송되었습니다."""
LockFailed1#0,"""설계도의 범위 내에서 다른 플레이어가 편집을 하고 있어<br>메뉴를 열 수 없습니다."""
LockFailed2#0,"""범위 내에 빌드 파츠가 없습니다.<br>빌드 파츠가 있는 위치를 지정해 주세요."""
LockFailed3#0,"""범위 내의 빌드 파츠 수가<br>설계도 상한을 초과했습니다.<br><br>범위 내의 빌드 파츠 개수: $(0)개<br>설계도의 빌드 파츠 개수 상한: $(1)개"""
LockFailed4#0,"""아래의 빌드 파츠는<br>설계도에 포함할 수 없습니다.<br><br>$(0)"""
LockFailed5#0,"""이 설계도의 단말의 지정 범위가<br>다른 설계도 단말의 공개 범위와 중복됩니다.<br><br>어느 한 단말의 지정 범위를 변경해 주세요."""
LockFailed6#0,"""다른 설계도로 재현된 건물 등은,<br>이 설계도에 포함할 수 없습니다."""
ConfirmEdit_Title#0,"""편집 완료 확인"""
ConfirmEdit#0,"""저장 또는 공개하지 않고 종료한 경우,<br>편집 내용이 삭제됩니다.<br>괜찮으시겠습니까?"""
LockFailedConfirm_Title#0,"""편집 내용 확인"""
LockFailedConfirm1#0,"""설계도 범위 내에서 다른 플레이어가 편집을 하고 있어<br>설정을 적용할 수 없습니다.<br><br>편집 내용을 파기하고,<br>편집 메뉴로 돌아가도 괜찮으시곘습니까?"""
LockFailedConfirm2#0,"""범위 내에 빌드 파츠가 없어<br>설정을 적용할 수 없습니다.<br><br>편집 내용을 파기하고,<br>편집 메뉴로 돌아가도 괜찮으시곘습니까?"""
LockFailedConfirm3#0,"""범위 내의 빌드 파츠 수가<br>설계도 상한선을 초과하여<br>설정을 적용할 수 없습니다.<br><br>범위 내의 빌드 파츠 개수: $(0)개<br>설계도의 빌드 파츠 개수 상한: $(1)개<br><br>편집 내용을 파기하고,<br>편집 메뉴로 돌아가도 괜찮으시곘습니까?"""
LockFailedConfirm4#0,"""설계도에 포함할 수 없는<br>빌드 파츠가 포함되어 있어<br>설정을 적용할 수 없습니다.<br><br>$(0)<br><br>편집 내용을 파기하고,<br>편집 메뉴로 돌아가도 괜찮으시곘습니까?"""
LockFailedConfirm5#0,"""다른 설계도 단말과 지정 범위가 겹쳐<br>설정을 적용할 수 없습니다.<br><br>편집 내용을 파기하고,<br>편집 메뉴로 돌아가도 괜찮으시곘습니까?"""
LockFailedConfirm6#0,"""다른 설계도로 재현된 건축물괴 지정 범위가 겹쳐<br>중복되기 때문에 설정을 적용할 수 없습니다.<br><br>편집 내용을 파기하고,<br>편집 메뉴로 돌아가도 괜찮으시곘습니까?"""
DownloadFailed_Title#0,"""메시지"""
DownloadFailed#0,"""설계도를 다운로드 할 수 없습니다."""
ConfirmDelete_Title#0,"""설계도 삭제 확인"""
ConfirmDelete1#0,"""이 설계도를 삭제합니다.<br>괜찮으시겠습니까?<br><br>삭제하면 이전 설계도 공개가 중단됩니다.<br><br><yellow>※공개를 중단하게 되면<br>\u3000\""주목받는 설계도\""의 집계가 초기화됩니다.<c>"""
ConfirmDelete2#0,"""이 설계도를 삭제합니다.<br>괜찮으시겠습니까?"""
ConfirmDelete3#0,"""이 설계도를 삭제합니다.<br>괜찮으시겠습니까?"""
NoticeLoseConnect#0,"""설계도 편집 및 저장, 공개가 가능합니다<br><yellow>※커넥트 설정은 설계도에 포함되지 않습니다.<c>"""
ConfirmOverwrite_Title#0,"""덮어쓰기 확인"""
ConfirmOverwrite1#0,"""설계도를 덮어씁니다.<br>괜찮으시겠습니까?<br><br>덮어쓰기를 하면 이전 설계도 공개가 중지됩니다.<br><br><yellow>※공개를 중단하게 되면<br>\u3000\""주목받는 설계도\""의 집계가 초기화됩니다.<c>"""
ConfirmOverwrite2#0,"""설계도를 덮어씁니다.<br>괜찮으시겠습니까?"""
ConfirmOverwrite3#0,"""설계도를 덮어씁니다.<br>괜찮으시겠습니까?"""
ConfirmPublish_Title#0,"""설계도 공개 확인"""
ConfirmPublish#0,"""설계도를 공개하면<br>다른 플레이어가 설계도 단말에서<br>해당 설계도를 다운로드할 수 있게 됩니다.<br><br>또한 공개 중에는 다음과 같은 편집이 불가능합니다.<br>・설계도의 범위 내의 빌드 파츠 편집<br>・설계도 정보 및 설계도 범위 설정 편집<br><br>공개해도 괜찮으시겠습니까?"""
ConfirmUnpublish_Title#0,"""설계도 공개 중지 확인"""
ConfirmUnpublish#0,"""이 설계도 공개를 중단하시겠습니까?<br><br><yellow>※공개를 중단하게 되면<br>\u3000\""주목받는 설계도\""의 집계가 초기화됩니다.<c>"""
ConfirmDownload_Title#0,"""덮어쓰기 확인"""
ConfirmDownload1#0,"""이 설계도에는<br>소지하지 않은 빌드 파츠가 포함되어 있습니다.<br>저장해도 괜찮으시겠습니까?"""
ConfirmDownload2#0,"""설계도를 덮어씁니다.<br>괜찮으시겠습니까?<br><br>덮어쓰기를 하면 이전 설계도 공개가 중지됩니다.<br><br><yellow>※공개를 중단하게 되면<br>\u3000\""주목받는 설계도\""의 집계가 초기화됩니다.<c>"""
ConfirmDownload3#0,"""설계도를 덮어씁니다.<br>괜찮으시겠습니까?"""
ConfirmDownload4#0,"""설계도를 덮어씁니다.<br>괜찮으시겠습니까?"""
SavedMessage_Text#0,"""메시지"""
SavedMessage#0,"""설계도를 저장했습니다."""
PublishedMessage_Text#0,"""메시지"""
PublishedMessage#0,"""설계도를 공개했습니다."""
PermissonChange_Title#0,"""메시지"""
PermissonChange_Text#0,"""크리에이티브 스페이스의 공개 정보가<br>비공개로 설정되어 있습니다.<br>입실 설정을 \""누구나 가능\""으로 변경하시겠습니까?<br><br><yellow>※\""C 스페이스 메뉴\""의 \""공개 정보 설정\""에서<br>\u3000더욱 세밀하게 입실 설정을 할 수 있습니다.<c>"""
PermissonChangeFix_Text#0,"""입실 설정을 변경했습니다."""
UnpublishedMessage_Text#0,"""메시지"""
UnpublishedMessage#0,"""설계도 공개를 중단했습니다."""
NoBlueprint_Text#0,"""설계도"""
NoBlueprint#0,"""설계도가 공개되어 있지 않습니다.<br><br>설계도 등록, 편집은 스페이스 오너만 할 수 있습니다."""
DownloadedMessage_Text#0,"""메시지"""
DownloadedMessage#0,"""설계도를 다운로드 했습니다."""
EditFormTitle#0,"""설계도 편집"""
DownloadFormTitle#0,"""설계도 다운로드"""
BlueprintInfo_Edit#0,"""설계도 정보 편집"""
SaveButtonText#0,"""저장"""
PublishButtonText#0,"""공개"""
DownloadButtonText#0,"""설계도 다운로드"""
UnpublishGuideText#0,"""설계도가 공개되어 있습니다.<br>편집하려면 공개를 중지해 주세요."""
UnpublishButtonText#0,"""공개 중지"""
MySpace_Notice_NoReplaceBlueprintEditing#0,"""설계도의 범위 내에 있어 편집할 수 없습니다."""
MySpace_Notice_NoReplaceBlueprintPublic#0,"""설계도의 범위 내에 있어 편집할 수 없습니다."""
MySpace_Notice_NoEditBlueprintEditing#0,"""설계도의 범위 내에 있어 편집할 수 없습니다."""
MySpace_Notice_NoEditBlueprintPublic#0,"""설계도의 범위 내에 있어 편집할 수 없습니다."""
Guide_Brueprint_RangeSet#0,"""이동: <swguidetype ActionLStick>\u3000\u3000점프: <%Jump>\u3000\u3000줌 아웃: <%Function>\u3000\u3000줌 인: <%NextWidget>\u3000\u3000범위 표시 전환: <%TabForward>\u3000\u3000범위 지정 종료: <%MainMenu>"""
Guide_Brueprint_RangeView#0,"""이동: <swguidetype ActionLStick>\u3000\u3000점프: <%Jump>\u3000\u3000줌 아웃: <%Function>\u3000\u3000줌 인: <%NextWidget>\u3000\u3000범위 표시 전환: <%TabForward>\u3000\u3000공개 범위 확인 완료: <%MainMenu>"""
Guide_Brueprint_Save#0,"""결정: <%Decide>\u3000\u3000삭제: <%Exception>\u3000\u3000취소: <%Cancel>\u3000\u3000조작 항목의 이동: <%NextWidget>\u3000\u3000조작 윈도우 전환: <%ChangeCtrlWindowForward>"""
MySpaceBlueprintError_InvalidSlotNumber#0,"""설계도가 저장되어 있지 않습니다."""
MySpaceBlueprintError_ObjectListEmpty#0,"""빌드 파츠를 불러오는 중에 문제가 발생했습니다."""
MySpaceBlueprintError_BlueprintIsPSOnly#0,"""이 설계도는 현재 크리에이티브 스페이스 설정으로 인해 사용할 수 없습니다."""
MySpaceBlueprintError_BlueprintIsBan_Title#0,"""메시지"""
MySpaceBlueprintError_BlueprintIsBan#0,"""이 설계도는 현재 사용할 수 없습니다."""
MySpaceBlueprintError_DisableBlueprint_Title#0,"""메시지"""
MySpaceBlueprintError_DisableBlueprint#0,"""이 설계도는 현재 사용할 수 없습니다.<br>설계도를 삭제하시겠습니까?"""
MySpaceBlueprintError_ErrorOther#0,"""이 설계도를 이용하는 중에 문제가 발생했습니다."""
MySpaceBlueprintError_PartsNumberOver#0,"""設置制限数を超えるため、これ以上は設置できません。"""
MagMenuTitle#0,"""팀 마그"""
MagMenu_Item_Boost#0,"""팀 마그 부스트 받기<pict 4space><pict myspace_point>"""
MagMenu_Item_Energy#0,"""팀 마그 부스트 레벨 업<pict 4space><pict reb_team>"""
MagMenu_Item_Appearance#0,"""팀 마그 포름 변경<pict 4space><pict reb_team>"""
MagMenu_SupEnergy_Title#0,"""팀 마그 부스트"""
MagMenu_SupEnergy_Info#0,"""지원 레벨은 매일 아침 $(1)시레 레벨이 1단계 낮아집니다.<br>(최소 지원 레벨 1)<br><br>효과를 선택하고, 효과 하나당 제네시스 포인트를<br>$(0)pt 소비하여 플레이어를 강화할 수 있습니다."""
MagMenu_buff_LV#0,"""부스트 $(0)"""
MagMenu_buff_info#0,"""부스트 효과"""
MagMenu_Reward_Title#0,"""부스트 부여 보상"""
MagMenu_Reward_Info_Saving#0,"""플레이어 중 한 명이 부스트 효과를 받으면<br>게이지가 증가하여 최대로 올라갔을 때 보상을 받을 수 있습니다."""
MagMenu_Reward_Info_Received#0,"""보상은 이미 받았습니다.<br>다음 갱신까지: 앞으로 $(0)"""
MagMenu_Reward_Info_Stop#0,"""팀에 합류한 주에에는,<br>보상을 받을 수 없습니다."""
MagMenu_Reward_Info_Joining#0,"""보상은 이미 받았습니다.<br>다음 갱신까지: 앞으로 $(0)"""
MagMenu_Reward_to#0,"""보상 획득까지 앞으로: """
MagMenu_UnusedBoost#0,"""없음"""
MagMenu_PossessInfo_Title#0,"""소지 포인트"""
MagMenu_PossessInfo_GeneratePoint#0,"""제네시스 포인트"""
MagMenu_Boost_Title#0,"""팀 마그 부스트 선택"""
MagMenu_Boost_Info#0,"""받고 싶은 팀 마그 부스트를 선택하세요.<br>효과마다 $(0)pt를 소비합니다."""
MagMenu_UseGeneratePoint_Title#0,"""메시지"""
MagMenu_UseGeneratePoint_Info#0,"""$(1)GP를 소비하여, <br>팀 마그 부스트의 효과를 받습니다.<br>괜찮으시겠습니까?<br><br>(소지 GP：$(0))<br><br><yellow>※발생 중인 동일한 효과의 부스트는 덮어씌워집니다.<c>"""
MagMenu_Mag_Title#0,"""팀 마그 부스트 레벨 업"""
MagMenu_Give_Title#0,"""레벨 결정"""
MagMenu_Give_Info#0,"""N-팀 포인트를 소비하여,<br>팀 마그 부스트 레벨을 올립니다."""
MagMenu_Give_LV#0,"""부스트 Lv."""
MagMenu_Give_Buff#0,"""부스트 효과"""
MagMenu_NTeamPoint#0,"""N-팀 포인트"""
MagMenu_Give_TeamPoint#0,"""필요 N-팀 포인트"""
MagMenu_Give_Confirm#0,"""N-팀 포인트를 $(2)포인트 소비하여,<br>부스트 효과를 $(1)까지 강화합니다.<br>괜찮으시겠습니까?<br><br>（소지 N-팀 포인트：$(0)）"""
MagMenu_Appearance_Title#0,"""팀 마그 포름 변경"""
MagMenu_Appearance_SubTitle_L#0,"""마그 포름"""
MagMenu_Appearance_SubTitle_R#0,"""필요 N-팀 포인트"""
MagMenu_Appearance_Preview_Title#0,"""변경 후의 포름"""
MagMenu_Appearance_Confirm#0,"""마그의 외형을 $(1)<pict 4space><pict reb_team>TP로 변경합니다.<br>괜찮으시겠습니까?<br><br>(소지 N-팀 포인트：$(0)<pict 4space><pict reb_team>TP)<br><br><yellow>※변경할 때마다, N-팀 포인트를 소비합니다.<c>"""
MagMenu_Message_Loading#0,"""불러오는 중…"""
MagMenu_Message_Busy#0,"""통신 중…"""
MagMenu_Success_Boost#0,"""팀 마그 부스트 효과가 발생했습니다."""
MagMenu_Success_Give#0,"""팀 마그 부스트가 레벨 업 했습니다."""
MagMenu_Success_Appearance#0,"""팀 마그의 포름을 변경했습니다."""
MagMenu_Success_Reward#0,"""부스트 부여 보상을 받았습니다."""
MagMenu_Failed_Reward#0,"""부스트 부여 보상을 받지 못했습니다."""
MagMenu_Error_Generic#0,"""팀 마그의 처리 실패."""
MagMenu_Error_Generic_Error#0,"""오류가 발생하여 실행할 수 없습니다."""
MagMenu_Error_Generic_Authority#0,"""권한이 없어 사용할 수 없습니다."""
MagMenu_Error_Boost#0,"""팀 마그 부스트를 받지 못했습니다."""
MagMenu_Error_UseGeneratePoint#0,"""제네시스 포인트가 부족하여 실행할 수 없습니다."""
MagMenu_Error_Diff#0,"""다른 플레이어가 팀 마그 부스트의 레벨을 변경했기 때문에 취소했습니다."""
MagMenu_Error_Appearance#0,"""팀 마그의 포름을 변경할 수 없었습니다."""
MagMenu_Error_Appearance_TP#0,"""N-팀 포인트가 부족하여 변경이 불가능합니다."""
MagMenu_Error_Appearance_Equal#0,"""현재 설정중인 포름입니다."""
MagMenu_Error_Appearance_Simultaneous#0,"""다른 플레이어에 의해 팀 마그의 포름이 변경되었기 때문에 취소했습니다."""
MagMenu_Error_Give#0,"""팀 마그 부스트 레벨 업에 실패했습니다."""
MagMenu_Error_Give_Full#0,"""레벨이 최대에 도달하여 더 이상 레벨을 올릴 수 없습니다."""
MagMenu_Error_Give_Diff#0,"""다른 플레이어가 팀 마그 부스트의 레벨을 변경했기 때문에 취소했습니다."""
0000#0,"""팀 마그"""
0001#0,"""팀 마그CV"""
0002#0,"""팀 마그CV2"""
0003#0,"""팀 마그CV3"""
0004#0,"""팀 마그UC"""
0005#0,"""팀 마그UC2"""
0006#0,"""팀 마그UC3"""
