CorrectionAssignMapTitle#0,"""การกู้คืนการตั้งค่าปุ่ม"""
Config_009_Name#0,"""แสดงสีดาเมจตามธาตุ"""
Config_009_Choices_0#0,"""เปิดใช้งาน"""
Config_009_Choices_1#0,"""ปิดใช้งาน"""
Config_009_Hint#0,"""สีที่แสดงบนหลอด HP เมื่อได้รับดาเมจประเภท Strike, Ranged หรือ Tech"""
Config_010_Name#0,"""เปิด/ปิดไอคอนผู้เล่นหมดสภาพ"""
Config_010_Hint#0,"""ตั้งค่าว่าจะให้แสดงไอคอนสำหรับผู้เล่นที่ต้องการการชุบชีวิตหรือไม่<br>※คุณจะยังคงได้รับโบนัสแม้ว่าจะไม่แสดงไอคอนก็ตาม"""
Config_011_Name#0,"""ตำแหน่งเคอร์เซอร์ Storage"""
Config_011_Choices_0#0,"""Storage ทั้งหมด"""
Config_011_Choices_1#0,"""คลังพื้นฐาน"""
Config_011_Choices_2#0,"""คลังตัวละคร"""
Config_011_Choices_3#0,"""คลังพรีเมียม"""
Config_011_Choices_4#0,"""คลัง OTP"""
Config_011_Choices_5#0,"""คลัง PSO2es"""
Config_011_Hint#0,"""ตั้งค่าตำแหน่งเริ่มต้นของเคอร์เซอร์เมื่อหน้าต่าง Storage แสดงขึ้น มีผลทั้งตอนเปิด Storage, วางขายไอเทมใน My Shop และตอนซื้อขายไอเทมกับร้านค้า NPC"""
Config_012_Name#0,"""รายละเอียด Gathering แบบย่อ"""
Config_012_Hint#0,"""ตั้งค่าว่าจะให้แสดงข้อมูล Gathering แบบย่อในเมนูหลักหรือไม่"""
Config_013_Name#0,"""ตั้งค่าการแสดงผลเมนูตัวละคร"""
Config_013_Choices_0#0,"""รูปแบบหมวดหมู่"""
Config_013_Choices_1#0,"""รูปแบบรายการ"""
Config_013_Hint#0,"""เปลี่ยนรูปแบบการแสดงผลของเมนูตัวละครเมื่อเลือกผู้เล่นอื่น"""
Config_014_Name#0,"""ตั้งค่า Quest Counter"""
Config_014_Hint#0,"""ตั้งค่าการแสดงผลของ Quest Counter"""
Config_015_Name#0,"""รูปแบบเมนูใส่ข้อมูลปาร์ตี้"""
Config_015_Choices_0#0,"""รูปแบบละเอียด"""
Config_015_Choices_1#0,"""รูปแบบปกติ"""
Config_015_Hint#0,"""ตั้งค่ารูปแบบการแสดงผลของเมนูปาร์ตี้"""
Config_016_Name#0,"""บันทึกการตั้งค่าปาร์ตี้"""
Config_016_Choices_0#0,"""บันทึก"""
Config_016_Choices_1#0,"""ไม่บันทึก"""
Config_016_Hint#0,"""ตั้งค่าว่าจะให้บันทึกการตั้งค่าปาร์ตี้หรือไม่ แม้จะล็อกเอาต์และเปลี่ยนบล็อกแล้วก็ตาม<br>การตั้งค่าปาร์ตี้จะถูกบันทึกไว้จนกว่าคุณจะออกจากเกม"""
Config_017_Name#0,"""ตั้งชื่อปาร์ตี้อัตโนมัติ"""
Config_017_Choices_0#0,"""ชื่อเควสต์"""
Config_017_Choices_1#0,"""ชื่อตัวละคร"""
Config_017_Hint#0,"""ตั้งชื่อปาร์ตี้เริ่มต้น (หากไม่ได้ตั้งชื่อปาร์ตี้ไว้)<br>สามารถตั้งให้เป็นชื่อตัวละครของหัวหน้าปาร์ตี้ หรือชื่อเควสต์ได้"""
Config_018_Name#0,"""ตำแหน่งที่เลือกเป็นค่าเริ่มต้น"""
Config_018_Choices_0#0,"""ค้นหา Multi-Block"""
Config_018_Choices_1#0,"""บล็อกปัจจุบัน"""
Config_018_Hint#0,"""ตั้งค่าตำแหน่งเริ่มต้นของเคอร์เซอร์เมื่อเลือกระหว่างการจับคู่ในบล็อกเดียวกันและ Multi-Block<br>※ไม่รวมเควสต์บางรายการ"""
Config_019_Name#0,"""เก็บ Meseta อัตโนมัติ"""
Config_019_Choices_0#0,"""ปิดใช้งาน"""
Config_019_Choices_1#0,"""เปิดใช้งาน"""
Config_019_Hint#0,"""ตั้งค่าว่าจะให้เก็บ Meseta อัตโนมัติหรือไม่เมื่ออยู่ใกล้ๆ"""
Config_020_Name#0,"""เก็บอาวุธอัตโนมัติ"""
Config_020_Choices_0#0,"""ปิดใช้งาน"""
Config_020_Choices_1#0,"""★13 ขึ้นไป"""
Config_020_Hint#0,"""เมื่อมีไอเทม 13★ ขึ้นไปดรอป การตั้งค่านี้จะนำไอเทมเข้าสู่ Inventory ของคุณโดยตรงแทนที่จะตกอยู่บนพื้น เพื่อป้องกันการลืมเก็บ"""
Config_021_Name#0,"""เก็บ Unit อัตโนมัติ"""
Config_021_Choices_0#0,"""ปิดใช้งาน"""
Config_021_Choices_1#0,"""Unit ★12 ขึ้นไป"""
Config_021_Hint#0,"""เมื่อมี Unit 12★ ขึ้นไปดรอป การตั้งค่านี้จะนำไอเทมเข้าสู่ Inventory ของคุณโดยตรงแทนที่จะตกอยู่บนพื้น เพื่อป้องกันการลืมเก็บ"""
Config_022_Name#0,"""เก็บไอเทมวัตถุดิบอัตโนมัติ"""
Config_022_Hint#0,"""เมื่อมี Items/ไอเทมวัตถุดิบดรอป การตั้งค่านี้จะนำไอเทมเข้าสู่ Material Storage ของคุณโดยตรงแทนที่จะตกอยู่บนพื้น"""
Config_023_Name#0,"""เก็บไอเทมอื่นๆ อัตโนมัติ"""
Config_023_Hint#0,"""เมื่อมีไอเทมอื่นๆ นอกเหนือจากอาวุธ, Unit และวัตถุดิบดรอป การตั้งค่านี้จะนำไอเทมเข้าสู่ Inventory ของคุณโดยตรงแทนที่จะตกอยู่บนพื้น เพื่อป้องกันการลืมเก็บ"""
Config_024_Name#0,"""การแสดงผลแจ้งเตือนแรร์ดรอป"""
Config_024_Choices_0#0,"""ไอเทม ★7 ขึ้นไป"""
Config_024_Choices_1#0,"""ไอเทม ★10 ขึ้นไป"""
Config_024_Choices_2#0,"""ไอเทม ★13 ขึ้นไป"""
Config_024_Hint#0,"""เลือกระดับความแรร์ที่จะให้แสดงการแจ้งเตือนเมื่อมีแรร์ไอเทมดรอป"""
Config_025_Name#0,"""โฟกัสกล้องตอนมีอีเวนต์"""
Config_025_Hint#0,"""ตั้งค่าว่าจะให้ดึงความสนใจไปยังอีเวนต์โดยการแจ้งให้คุณกด <%Access> ค้างไว้หรือไม่"""
Config_026_Name#0,"""จอภาพในล็อบบี้"""
Config_026_Choices_0#0,"""เปิดเสียง"""
Config_026_Choices_1#0,"""ปิดเสียง"""
Config_026_Hint#0,"""เปิดหรือปิดการเล่นวิดีโอในเกม (เช่น บนจอภาพใน ARKS Lobby)<br>※ต้องรีสตาร์ทเกมเพื่อให้การตั้งค่ามีผล"""
Config_027_Name#0,"""ลำดับความสำคัญของบล็อกตอนล็อกอิน"""
Config_027_Choices_0#0,"""เน้นบล็อกผู้เล่นใหม่"""
Config_027_Choices_1#0,"""ไม่เน้นบล็อกผู้เล่นใหม่"""
Config_027_Hint#0,"""เลือกบล็อกผู้เล่นใหม่หรือสุ่มบล็อกอัตโนมัติเมื่อใช้ตัวละครเลเวล 20 ลงมา"""
Config_028_Name#0,"""จำนวนการแสดงผล Photon Blast"""
Config_028_Choices_0_VITA#0,"""แสดงทั้งหมด"""
Config_028_Choices_1_VITA#0,"""แสดงเฉพาะของคุณ"""
Config_028_Hint_VITA#0,"""ตั้งค่าจำนวน Photon Blast ที่จะแสดงผล<br>การแสดงผลให้น้อยลงจะช่วยลดภาระการทำงานของเครื่อง"""
Config_029_Name#0,"""ลำดับความสำคัญของการควบคุมกล้องด้วยเมาส์"""
Config_029_Choices_0#0,"""ควบคุมกล้อง"""
Config_029_Choices_1#0,"""ควบคุมเคอร์เซอร์"""
Config_029_Hint#0,"""เมื่อใช้เมาส์ ให้เลือกว่าจะให้ความสำคัญกับมุมกล้องหรือเคอร์เซอร์เมาส์"""
Config_030_Name#0,"""การหมุนกล้อง"""
Config_030_Choices_0#0,"""ปกติ"""
Config_030_Choices_1#0,"""กลับด้าน"""
Config_030_Hint#0,"""ตั้งค่าทิศทางการหมุนกล้องแนวนอน"""
Config_031_Name#0,"""ตั้งค่ากล้องแนวตั้ง"""
Config_031_Hint#0,"""ตั้งค่าทิศทางการหมุนกล้องแนวตั้ง"""
Config_032_Hint#0,"""ตั้งค่าความเร็วการหมุนกล้องแนวนอน"""
Config_033_Hint#0,"""ตั้งค่าความเร็วการหมุนกล้องแนวตั้ง"""
Config_034_Name#0,"""ลำดับความสำคัญของการควบคุมกล้องด้วยเมาส์"""
Config_035_Name#0,"""ตั้งค่ากล้องแนวนอน"""
Config_036_Name#0,"""ตั้งค่ากล้องแนวตั้ง"""
Config_039_Name#0,"""ตัวละครผู้เล่น"""
Config_039_Choices_0#0,"""ใหญ่ (ค่าเริ่มต้น)"""
Config_039_Choices_1#0,"""กลาง"""
Config_039_Choices_2#0,"""เล็ก"""
Config_039_Choices_3#0,"""ไม่แสดง"""
Config_039_Hint#0,"""ตั้งค่ารูปแบบการแสดงผลตัวเลข EXP และดาเมจ"""
Config_040_Name#0,"""สมาชิกปาร์ตี้"""
Config_041_Name#0,"""ตัวละครอื่นๆ"""
Config_042_Name#0,"""ตัวละครผู้เล่น"""
Config_042_Hint#0,"""ตั้งค่ารูปแบบการแสดงผลตัวเลขการฟื้นฟู HP และการได้รับดาเมจ"""
Config_043_Name#0,"""สมาชิกปาร์ตี้"""
Config_044_Name#0,"""ตัวละครอื่นๆ"""
Config_045_Name#0,"""EXP/อื่นๆ"""
Config_045_Hint#0,"""ตั้งค่าขนาดข้อความที่จะแสดงเมื่อคุณได้รับ EXP"""
Config_046_Name#0,"""การได้รับไอเทม"""
Config_046_Choices_0#0,"""แสดงข้างตัวละคร"""
Config_046_Choices_1#0,"""แสดงข้างไอเทม"""
Config_046_Choices_2#0,"""ไม่แสดง"""
Config_046_Hint#0,"""เปลี่ยนรูปแบบการแสดงผลแจ้งเตือนดรอปไอเทม"""
Config_047_Name#0,"""คำเชิญปาร์ตี้"""
Config_047_Hint#0,"""เปิดหรือปิดหน้าต่างเมื่อได้รับคำเชิญปาร์ตี้"""
Config_048_Name#0,"""ตั้งค่าเพื่อน"""
Config_048_Hint#0,"""เปิดหรือปิดหน้าต่างเมื่อได้รับคำขอเป็นเพื่อน"""
Config_049_Name#0,"""เชิญเข้าทีม"""
Config_049_Hint#0,"""เปิดหรือปิดหน้าต่างเมื่อได้รับคำเชิญเข้าทีม"""
Config_050_Name#0,"""เชิญเข้าแชทกลุ่ม"""
Config_050_Hint#0,"""เปิดหรือปิดหน้าต่างเมื่อได้รับคำเชิญเข้าแชทกลุ่ม"""
Config_051_Name#0,"""คำขอแลกเปลี่ยน"""
Config_051_Hint#0,"""เปิดหรือปิดหน้าต่างเมื่อได้รับคำขอแลกเปลี่ยน"""
Config_052_Name#0,"""ออเดอร์แนะนำ"""
Config_052_Hint#0,"""ตั้งค่าว่าจะให้แสดงหน้าต่าง Recommended Order เมื่อเริ่ม Featured Quest หรือไม่"""
Config_053_Name#0,"""ยืนยันการจับคู่ Multi-Block"""
Config_053_Hint#0,"""เปิดหรือปิดหน้าต่างยืนยันเมื่อหัวหน้าปาร์ตี้เริ่มเควสต์แบบ Multi-Block"""
Config_054_Name#0,"""การแจ้งเตือนการกำหนดปุ่ม <%GamePad>"""
Config_054_Hint#0,"""ตั้งค่าว่าจะให้เสนอการแก้ไขการกำหนดปุ่มที่สำคัญหรือไม่ หากตรวจพบปัญหา"""
Config_055_Name#0,"""ตั้งค่าข้อความข้อมูล"""
Config_055_Choices_0#0,"""แสดงข้อความล่าสุดเท่านั้น"""
Config_055_Choices_1#0,"""แสดง 3 ข้อความล่าสุด"""
Config_055_Hint#0,"""ตั้งค่าว่าจะให้แสดงข้อความแจ้งเตือนหลายข้อความ หรือเพียงข้อความเดียว"""
Config_056_Name#0,"""บันทึกชื่อไอเทมที่เก็บได้"""
Config_056_Hint#0,"""ตั้งค่าว่าจะให้บันทึกการแจ้งเตือนเมื่อได้รับไอเทมหรือไม่"""
Config_057_Name#0,"""แจ้งเตือนแรร์ดรอปในปาร์ตี้"""
Config_057_Hint#0,"""ตั้งค่าว่าจะให้แสดงการแจ้งเตือนหรือไม่ เมื่อสมาชิกปาร์ตี้เก็บแรร์ไอเทมได้"""
Config_058_Name#0,"""แจ้งเตือน Premium หมดอายุ"""
Config_058_Hint#0,"""ตั้งค่าว่าจะให้แสดงการแจ้งเตือนตอนล็อกอินเมื่อ Premium Set ของคุณเหลือเวลาอีก 7 วันจะหมดอายุหรือไม่"""
Config_059_Name#0,"""อนุญาต Login Call จากเพื่อน"""
Config_059_Choices_0#0,"""อนุญาต"""
Config_059_Choices_1#0,"""ไม่อนุญาต"""
Config_059_Hint#0,"""ตั้งค่าว่าจะให้ส่ง Login Call ไปหาเพื่อนตอนที่คุณล็อกอินหรือไม่"""
Config_060_Name#0,"""ไอคอนสมาชิกปาร์ตี้หมดสภาพ"""
Config_060_Hint#0,"""เลือกได้ว่าจะให้แสดงไอคอนสำหรับสมาชิกปาร์ตี้ที่หมดสภาพหรือไม่<br>ไม่มีผลกับ Friend/Support/Free Partner"""
Config_061_Name#0,"""ไอคอนผู้เล่นอื่นหมดสภาพ"""
Config_061_Hint#0,"""เลือกได้ว่าจะอนุญาตให้ผู้เล่นอื่นเห็นไอคอนของคุณเมื่อคุณหมดสภาพหรือไม่<br>หากผู้เล่นปิดการตั้งค่านี้ คุณจะไม่เห็นไอคอนของพวกเขาเช่นกัน"""
Config_062_Name#0,"""แชทตรง"""
Config_062_Hint#0,"""หากเปิดใช้งาน ปุ่มบนคีย์บอร์ดทั้งหมดจะถูกใช้สำหรับการแชทเท่านั้น<br><yellow>※ปุ่ม [ScrollLock] จะสามารถเปลี่ยนการตั้งค่านี้ได้ตลอดเวลา<c>"""
Config_063_Name#0,"""ปุ่ม Direct Chat"""
Config_063_Hint#0,"""ปิดการใช้งานปุ่ม Scroll Lock ในการสลับเปิด/ปิด Direct Chat<br><br>หาก Direct Chat ทำงานไม่ถูกต้อง ให้ลองเปิดการตั้งค่านี้ - อาจช่วยแก้ไขปัญหาได้"""
Config_064_Name#0,"""อ้างอิงจดหมายเมื่อตอบกลับ"""
Config_064_Choices_0#0,"""อ้างอิง"""
Config_064_Choices_1#0,"""ไม่อ้างอิง"""
Config_064_Hint#0,"""ตั้งค่าว่าจะให้อ้างอิงข้อความจดหมายในการตอบกลับหรือไม่"""
Config_065_Name#0,"""ตั้งค่า Symbol Art"""
Config_065_Hint#0,"""เลือกว่าจะแสดงหรือซ่อน Symbol Art"""
Config_066_Name#0,"""การแสดงแชททีม"""
Config_066_Choices_0#0,"""แสดงทั้งหมด"""
Config_066_Choices_1#0,"""พื้นที่เดียวกัน"""
Config_066_Choices_2#0,"""ไม่แสดง"""
Config_066_Hint#0,"""ตั้งค่าว่าจะให้แสดงแชททีมจากผู้เล่นอื่นหรือไม่"""
Config_067_Name#0,"""การแสดงบอลลูนแชทกลุ่ม"""
Config_067_Hint#0,"""เปลี่ยนรูปแบบการแสดงผลของบอลลูนแชทกลุ่ม"""
Config_068_Name#0,"""การแสดงผลทีม, Whisper, กลุ่ม"""
Config_068_Choices_0#0,"""ชื่อ Player ID"""
Config_068_Choices_1#0,"""ชื่อตัวละคร"""
Config_068_Hint#0,"""ตั้งค่าว่าจะให้แสดงชื่อ Player ID หรือชื่อตัวละครในแชทกลุ่ม, แชททีม และ Whisper"""
Config_069_Name#0,"""การแสดงสีพื้นหลังแชท"""
Config_069_Choices_0#0,"""ไม่เปลี่ยนสี"""
Config_069_Choices_1#0,"""เปลี่ยนสี"""
Config_069_Hint#0,"""ตั้งค่าว่าจะให้สีพื้นหลังแชทเปลี่ยนไปตามบุคคลที่คุณกำลังคุยด้วยหรือไม่"""
Config_070_Name#0,"""ตั้งค่าคำเชิญเข้าแชทกลุ่ม"""
Config_070_Choices_0#0,"""อนุญาตคำเชิญ"""
Config_070_Choices_1#0,"""ไม่อนุญาตคำเชิญ"""
Config_070_Hint#0,"""ตั้งค่าว่าจะให้บล็อกคำเชิญเข้าแชทกลุ่มโดยอัตโนมัติหรือไม่"""
Config_071_Name#0,"""ตั้งค่า Autoword"""
Config_071_Hint#0,"""หากคุณตั้งค่า Autoword ไว้ การเลือก 【 ปิดใช้งาน' 】 จะระงับไม่ให้ข้อความทำงาน"""
Config_072_Name#0,"""แสดง Autoword ในบันทึกแชท"""
Config_072_Hint#0,"""ตั้งค่าว่าจะให้แสดง Autoword ในบันทึกแชทหรือไม่"""
Config_073_Name#0,"""ลำดับการแสดงผลหน้าต่างบันทึก"""
Config_073_Choices_0_VITA#0,"""แสดงข้อความใหม่สุดจากด้านบน"""
Config_073_Choices_1_VITA#0,"""แสดงข้อความใหม่สุดจากด้านล่าง"""
Config_073_Hint_VITA#0,"""ตั้งค่าลำดับการแสดงผลของประวัติแชท"""
Config_074_Name#0,"""อีเวนต์"""
Config_074_Hint#0,"""กรองประเภทของ Autoword ที่อนุญาตให้แสดงบนหน้าจอ"""
Config_075_Name#0,"""สมาชิก"""
Config_076_Name#0,"""แอ็กชัน"""
Config_077_Name#0,"""สาธารณะ"""
Config_077_Hint#0,"""กรองประเภทของแชทที่อนุญาตให้แสดงในแท็บ 'แสดงทั้งหมด' ของหน้าต่างบันทึก"""
Config_078_Name#0,"""ปาร์ตี้"""
Config_079_Name#0,"""ทีม"""
Config_080_Name#0,"""กระซิบ"""
Config_081_Name#0,"""ระบบ"""
Config_082_Name#0,"""ตัวละคร"""
Config_083_Name#0,"""แชทกลุ่ม"""
Config_084_Name#0,"""ประเภทไฟล์สกรีนช็อต"""
Config_084_Choices_0#0,"""JPEG"""
Config_084_Choices_1#0,"""PNG"""
Config_084_Choices_2#0,"""BMP"""
Config_084_Hint#0,"""เลือกรูปแบบไฟล์ที่จะใช้สำหรับสกรีนช็อต"""
Config_085_Name#0,"""แสดง UI ระหว่างถ่ายสกรีนช็อต"""
Config_085_Choices_0#0,"""แสดงทั้งหมด"""
Config_085_Choices_1#0,"""แสดงเฉพาะบอลลูน"""
Config_085_Choices_2#0,"""ไม่แสดง"""
Config_085_Hint#0,"""ตั้งค่าว่าจะให้แสดงอินเทอร์เฟซ (รวมถึงหน้าต่างต่างๆ) ในสกรีนช็อตหรือไม่<br>※มีผลเฉพาะกับฟังก์ชันในเกมเท่านั้น"""
Config_085_Choices_0_Switch#0,"""แสดงหน้าต่าง"""
Config_085_Choices_1_Switch#0,"""ซ่อนหน้าต่าง"""
Config_085_Hint_Switch#0,"""ตั้งค่าว่าจะให้แสดงอินเทอร์เฟซ (รวมถึงหน้าต่างต่างๆ) ในสกรีนช็อตหรือไม่<br>※มีผลเฉพาะกับฟังก์ชันในเกมเท่านั้น"""
Config_086_Name#0,"""ตั้งค่าการปรับสรีระแบบซิงค์กัน"""
Config_086_Choices_0#0,"""ปรับสรีระแบบซิงค์กัน"""
Config_086_Choices_1#0,"""แยกการปรับรูปร่าง"""
Config_086_Hint#0,"""ตั้งค่าว่าคุณต้องการให้ร่างมนุษย์และร่างหุ่นยนต์ของ Cast ใช้สัดส่วนร่างกายเดียวกัน หรือต้องการปรับแต่งแยกกัน<br><br>โดยค่าเริ่มต้น ร่าง Humanoid และร่าง Cast จะซิงค์กัน อย่างไรก็ตาม คุณสามารถปรับแต่งแยกกันได้โดยเลือก 'ปรับสรีระแยกกัน'"""
Config_087_Name#0,"""ตั้งค่าการควบคุม"""
Config_087_Choices_0#0,"""แบบแมนนวล"""
Config_087_Choices_1#0,"""แบบอัตโนมัติ"""
Config_087_Hint#0,"""เลือกการตั้งค่า Rideroid ของคุณ<br><br>แบบแมนนวล: ขับเคลื่อนแบบแมนนวลเต็มรูปแบบ<br>แบบอัตโนมัติ: ขับอัตโนมัติเต็มรูปแบบ<br><br>※คุณสามารถปรับการตั้งค่ากล้อง Rideroid เป็น [มุมมองปกติ] หรือ [มุมมองข้ามไหล่] ได้<br>※ค่าเริ่มต้นของกล้อง Rideroid คือ [<yellow>มุมมองข้ามไหล่<c>]"""
Config_088_Name#0,"""มุมมองปกติ: การหมุนกล้อง"""
Config_088_Hint#0,"""ตั้งค่าทิศทางการหมุนกล้องแนวนอนเมื่อขับขี่ Rideroid"""
Config_089_Name#0,"""มุมมองปกติ: การหมุนกล้องแนวตั้ง"""
Config_089_Hint#0,"""ตั้งค่าทิศทางการหมุนกล้องแนวตั้งเมื่อขับขี่ Rideroid"""
Config_090_Name#0,"""มุมมองปกติ: การหันกล้องแนวนอน"""
Config_090_Hint#0,"""ตั้งค่าทิศทางการเลี้ยวแนวนอนของ Rideroid"""
Config_091_Name#0,"""มุมมองปกติ: การเคลื่อนที่แนวตั้ง"""
Config_091_Hint#0,"""ตั้งค่าทิศทางการเคลื่อนที่แนวตั้งของ Rideroid"""
Config_092_Name#0,"""มุมมองบุคคลที่สาม: การหมุนกล้อง"""
Config_093_Name#0,"""มุมมองบุคคลที่สาม: การหมุนกล้องแนวตั้ง"""
Config_094_Name#0,"""มุมมองบุคคลที่สาม: การหมุนกล้องแนวนอน"""
Config_095_Name#0,"""มุมมองบุคคลที่สาม: การเคลื่อนที่แนวตั้ง"""
Config_096_Name#0,"""เสียงพากย์ Dark Blast"""
Config_096_Hint#0,"""คุณสามารถตั้งค่าเสียงพากย์เฉพาะในระหว่างที่ใช้งาน Dark Blast ได้"""
Config_097_Name#0,"""รูปแบบการแสดงผล Dark Blast ของผู้อื่น"""
Config_097_Choices_0#0,"""ตามที่ผู้เล่นอื่นเลือก"""
Config_097_Choices_1#0,"""แสดงเป็นรูปแบบออร่าเสมอ"""
Config_097_Choices_2#0,"""แสดงเฉพาะตัวละคร"""
Config_097_Hint#0,"""เปลี่ยนรูปแบบการแสดงผล Dark Blast ของผู้เล่นอื่น<br><br>[ตามที่ผู้เล่นอื่นเลือก]<br>ซิงค์การตั้งค่า Dark Blast ตามที่ผู้เล่นคนนั้นๆ ตั้งไว้<br><br>[แสดงเป็นรูปแบบออร่าเสมอ]<br>Dark Blast ของผู้เล่นอื่นจะแสดงผลเป็นออร่า Dark Blast เสมอ<br><br>[แสดงเฉพาะตัวละคร]<br>แสดงเฉพาะโมเดลตัวละครแทนร่าง Dark Blast<br><br>มีผลเฉพาะเมื่อตั้งค่า 【 Drawing/Shader Quality 】เป็น 【 High Quality 】."""
Config_097_Hint_PS4#0,"""ตั้งค่ารูปลักษณ์เมื่อผู้เล่นอื่นใช้งาน Dark Blast<br><br>【 อิงตามการตั้งค่าของผู้เล่นอื่น 】<br>แสดงผลตามที่ผู้เล่นคนนั้นตั้งค่าไว้<br><br>【 แสดงผลแบบออร่า 】<br>แสดง Dark Blast เป็นเพียงออร่า<br>โดยความโปร่งใสจะอิงตามการตั้งค่าของผู้เล่นนั้น<br><br>【 แสดงผลแบบตัวละคร 】<br>ไม่แสดงร่าง Dark Blast<br>แต่จะแสดงเป็นตัวละครปกติเสมอ"""
Config_097_Hint_Switch#0,"""ตั้งค่ารูปลักษณ์เมื่อผู้เล่นอื่นใช้งาน Dark Blast<br><br>【 อิงตามการตั้งค่าของผู้เล่นอื่น 】<br>แสดงผลตามที่ผู้เล่นคนนั้นตั้งค่าไว้<br><br>【 แสดงผลแบบออร่า 】<br>แสดง Dark Blast เป็นเพียงออร่า<br>โดยความโปร่งใสจะอิงตามการตั้งค่าของผู้เล่นนั้น<br><br>【 แสดงผลแบบตัวละคร 】<br>ไม่แสดงร่าง Dark Blast<br>แต่จะแสดงเป็นตัวละครปกติเสมอ"""
Config_097_Hint_PCCloud#0,"""ตั้งค่ารูปลักษณ์เมื่อผู้เล่นอื่นใช้งาน Dark Blast<br><br>【 อิงตามการตั้งค่าของผู้เล่นอื่น 】<br>แสดงผลตามที่ผู้เล่นคนนั้นตั้งค่าไว้<br><br>【 แสดงผลแบบออร่า 】<br>แสดง Dark Blast เป็นเพียงออร่า<br>โดยความโปร่งใสจะอิงตามการตั้งค่าของผู้เล่นนั้น<br><br>【 แสดงผลแบบตัวละคร 】<br>ไม่แสดงร่าง Dark Blast<br>แต่จะแสดงเป็นตัวละครปกติเสมอ"""
Config_098_Hint#0,"""ตั้งค่าระดับเสียง BGM"""
Config_099_Hint#0,"""ตั้งค่าระดับเสียงเอฟเฟกต์"""
Config_100_Hint#0,"""ตั้งค่าระดับเสียงพากย์"""
Config_101_Hint#0,"""ตั้งค่าระดับเสียงของวิดีโอที่แสดงบนจอภาพ ARKS ในล็อบบี้ รวมถึงคัตซีนบางส่วนด้วย"""
Config_102_Name#0,"""เสียงรอบทิศทาง"""
Config_102_Choices_0#0,"""เปิด"""
Config_102_Choices_1#0,"""ปิด"""
Config_102_Hint#0,"""สลับเปิด/ปิดเอฟเฟกต์เสียงรอบทิศทาง"""
Config_103_Name#0,"""เสียงเมื่อหน้าต่างไม่ทำงาน"""
Config_103_Hint#0,"""งค่าว่าจะให้เล่นเสียงหรือไม่เมื่อหน้าต่างเกมไม่ได้เปิดใช้งานอยู่"""
Config_104_Name#0,"""แหล่งกำเนิดแสงจากเอฟเฟกต์"""
Config_104_Hint#0,"""เปิดหรือปิดแสงสว่างจากเอฟเฟกต์<br>การปิดใช้งานจะช่วยเพิ่มประสิทธิภาพของเครื่องขึ้นเล็กน้อย"""
Config_105_Name#0,"""แสงสว่างของสภาพแวดล้อม"""
Config_105_Hint#0,"""เปิดหรือปิดเอฟเฟกต์แสงสว่างของสภาพแวดล้อม<br>การปิดใช้งานจะช่วยเพิ่มประสิทธิภาพของเครื่องขึ้นเล็กน้อย"""
Config_105_Hint_PS4#0,"""เปิด/ปิด เอฟเฟกต์แสงที่เกี่ยวข้องกับภูมิประเทศ<br><br>การปิดการตั้งค่านี้จะช่วยเพิ่มประสิทธิภาพของเกม"""
Config_105_Hint_Switch#0,"""เปิด/ปิด เอฟเฟกต์แสงที่เกี่ยวข้องกับภูมิประเทศ"""
Config_105_Hint_PCCloud#0,"""เปิด/ปิด เอฟเฟกต์แสงที่เกี่ยวข้องกับภูมิประเทศ"""
Config_106_Name#0,"""ตั้งค่า Bloom"""
Config_106_Hint#0,"""สร้างเอฟเฟกต์บนหน้าจอเมื่อมองวัตถุที่สว่างมาก<br>การปิดใช้งานจะช่วยเพิ่มประสิทธิภาพของเครื่องขึ้นเล็กน้อย"""
Config_106_Hint_PS4#0,"""เอฟเฟกต์ใส่ฟิลเตอร์ให้กับส่วนที่สว่าง<br>ช่วยให้ภาพรวมของหน้าจอสวยงามยิ่งขึ้น<br><br>การปิดการตั้งค่านี้จะช่วยเพิ่มประสิทธิภาพของเกม"""
Config_107_Name#0,"""Depth of Field"""
Config_107_Hint#0,"""จำลองการเบลอตามธรรมชาติของชั้นบรรยากาศสำหรับวัตถุที่อยู่ไกล<br>การปิดใช้งานจะช่วยเพิ่มประสิทธิภาพของเครื่องขึ้นเล็กน้อย<br><br>มีผลเฉพาะเมื่อตั้งค่า 【 Drawing/Shader Quality 】 เป็น 【 High Quality 】."""
Config_107_Hint_PS4#0,"""เบลอทิวทัศน์ที่อยู่ไกลออกไป<br>เพื่อให้บรรยากาศดูเป็นธรรมชาติ<br>จะมีผลเฉพาะในบางอีเวนต์เท่านั้น<br><br>การปิดการตั้งค่านี้จะช่วยเพิ่มประสิทธิภาพของเกม"""
Config_108_Name#0,"""เบลอ"""
Config_108_Hint#0,"""เปิดหรือปิดเอฟเฟกต์เบลอภาพ<br>การปิดใช้งานจะช่วยเพิ่มประสิทธิภาพของเครื่องขึ้นเล็กน้อย"""
Config_109_Name#0,"""เอฟเฟกต์ลำแสง"""
Config_109_Hint#0,"""เปิดหรือปิดการแสดงผลของลำแสงอาทิตย์<br>การปิดใช้งานจะช่วยเพิ่มประสิทธิภาพของเครื่องขึ้นเล็กน้อย"""
