MenuTitle#0,"""ร้านแลกเปลี่ยน"""
NoItemMessageDish#0,"""ไม่พบไอเทม"""
NoWeaponMessageDish#0,"""ไม่สามารถฝากอาวุธไว้ที่นี่ได้"""
NoAddonMessageDish#0,"""ไม่สามารถฝากชุดเกราะไว้ที่นี่ได้"""
NoAddonRingMessageDish#0,"""ไม่สามารถฝาก Units / Skill Rings ได้"""
NoCostumeMessageDish#0,"""ไม่สามารถฝาก Costumes / Parts / Weapon Camos<br>ไว้ที่นี่ได้"""
NoStackMessageDish#0,"""ไม่สามารถฝากไอเทมใช้งานไว้ที่นี่ได้"""
NoDiskMessageDish#0,"""ไม่สามารถฝาก Discs ได้"""
NoGoodsMessageDish#0,"""ไม่สามารถฝาก Room Goods ได้"""
NoQuestitemMessageDish#0,"""ไม่พบไอเทมวัตถุดิบ"""
NoOtherMessageDish#0,"""ไม่สามารถฝากไอเทมอื่นๆ ไว้ที่นี่ได้"""
Empty_NoData_Favorite#0,"""กด <%Decide> เพื่อโหลด $(0)<br>Storage นี้ถูกตั้งค่าเป็น Favorite Storage เรียบร้อยแล้ว"""
Empty_NoData_FavoriteSettable#0,"""กด <%Decide> เพื่อโหลด $(0)<br>กด <%Function> เพื่อตั้งค่าเป็น Favorite Storage<br><br><yellow>※Extended Storage ที่ถูกตั้งเป็น Favorite Storage จะรวมอยู่ในรายการของ All Storage<c>"""
Empty_NoData_FavoriteSettable_Loaded#0,"""โหลด $(0) เรียบร้อยแล้ว<br>กด <%Function> เพื่อตั้งค่าเป็น Favorite Storage<br><br><yellow>※Extended Storage ที่ถูกตั้งเป็น Favorite Storage จะรวมอยู่ในรายการของ All Storage<c>"""
Empty_NoData#0,"""กด $(0) เพื่อโหลด $(1)"""
Empty_Unreadable_Favorite#0,"""ไม่สามารถโหลด $(0) ได้ในขณะนี้<br>Storage นี้ถูกตั้งค่าเป็น Favorite Storage เรียบร้อยแล้ว"""
Empty_Unreadable_FavoriteSettable#0,"""ไม่สามารถโหลด $(1) ได้ในขณะนี้<br>กด $(0) เพื่อตั้งค่าเป็น Favorite Storage"""
Empty_Unreadable#0,"""ไม่สามารถโหลด $(0) ได้ในขณะนี้"""
Empty_WaitData_Favorite#0,"""กำลังโหลด $(0)<br>Storage นี้ถูกตั้งค่าเป็น Favorite Storage เรียบร้อยแล้ว"""
Empty_WaitData_FavoriteSettable#0,"""กำลังโหลด $(1)<br>กด $(0) เพื่อตั้งค่าเป็น Favorite Storage"""
Empty_WaitData#0,"""กำลังโหลด $(0)"""
MenuSendWarehouseCharacter#0,"""ฝากใน Character Storage ($(1)/$(0))"""
MenuSendWarehouseEs#0,"""ฝากใน PSO2es Storage ($(1)/$(0))"""
MenuSendWarehouseDish#0,"""ฝากใน Material Storage <pict StarGem> ($(1)/$(0))"""
MenuMoveWarehouseCharacter#0,"""<pict wh_chara_icon>ฝากใน Character Storage ($(1)/$(0))"""
MenuMoveWarehouseEs#0,"""<pict wh_es_icon>ฝากใน PSO2es Storage ($(1)/$(0))"""
MenuMoveWarehouseDish#0,"""<pict wh_dish_icon>ฝากใน Material Storage <pict StarGem> ($(1)/$(0))"""
MenuPetAbility#0,"""Personality"""
MenuSetEffect#0,"""ดู Set Effects"""
MenuRingSkill#0,"""Ring Skills"""
MenuLockMulti#0,"""ล็อกทั้งหมด ($(1)/$(0))"""
MenuUnlockMulti#0,"""ปลดล็อกทั้งหมด ($(1)/$(0))"""
MenuPutMulti#0,"""ทิ้งลงพื้นทั้งหมด"""
MenuBonusElementConfirm#0,"""ยืนยัน Special Ability Factor"""
MenuSearchMarketPriceItem#0,"""ตรวจสอบราคาไอเทม"""
MenuSearchMarketPriceElement#0,"""ค้นหา Special Ability / Preset Ability"""
MenuSEPreview#0,"""เล่นเสียง SFX / Voice"""
PutMultiMessage#0,"""จะทำการฝากไอเทมดังต่อไปนี้ ดำเนินการต่อหรือไม่?"""
PutSuccessMessage#0,"""ฝากไอเทมแล้ว"""
PutErrorMessage5#0,"""ไม่สามารถวางไอเทมในพื้นที่นี้ได้"""
PutNoticeMessage1#0,"""มีไอเทมอย่างน้อยหนึ่งชิ้นที่ไม่ได้ถูกฝาก"""
SendWarehouseErrorMessage11#0,"""ไม่สามารถย้ายไอเทมได้<br>เนื่องจากไม่สามารถยืนยันการเชื่อมโยงกับ PSO2es ได้<br><br>PSO2es Storage จะสามารถใช้งานได้<br>ก็ต่อเมื่อทำการเชื่อมโยงกับแอป PSO2es เท่านั้น"""
SendWarehouseErrorMessage12#0,"""Expansion Storage ปลายทางยังไม่ได้ถูกโหลด<br>กรุณาโหลด Expansion Storage ปลายทาง<br>ก่อนทำการย้าย"""
SendWarehouseErrorMessage13#0,"""ไม่สามารถย้ายไอเทมระหว่าง Expansion Storage ได้<br>กรุณาย้ายไอเทมผ่าน Inventory<br>หรือ Storage อื่นแทน"""
SendWarehouseErrorMessage14#0,"""ไม่สามารถฝากไอเทมเหล่านี้ลงใน Material Storage ได้"""
AllSendWarehouseDishErrorMessage#0,"""Material Storage ยังไม่สามารถใช้งานได้<br>กรุณาใช้ Material Storage Ticket เพื่อเปิดใช้งาน"""
MoveWarehouseErrorMessage7#0,"""คุณไม่สามารถย้ายไอเทมนี้ไปยัง Material Storage ได้"""
MoveWarehouseErrorMessage8#0,"""ไม่สามารถย้ายไอเทมโดยตรงจาก Material Storage<br>ไปยัง Storage อื่นได้<br>กรุณานำออกมาไว้ที่ Inventory ก่อน<br>แล้วจึงค่อยทำการย้าย<br><yellow>※จะมีการรองรับในอนาคต<c>"""
MoveWarehouseErrorMessage9#0,"""ไม่สามารถย้ายไอเทมโดยตรงจาก Storage อื่น<br>ไปยัง Material Storage ได้<br>กรุณานำออกมาไว้ที่ Inventory ก่อน<br>แล้วจึงค่อยทำการย้าย<br><yellow>※จะมีการรองรับในอนาคต<c>"""
MoveWarehouseNoticeMessage2#0,"""ไม่มีไอเทมใดที่สามารถย้ายไปยัง Material Storage ได้"""
MoveWarehouseNoticeMessage3#0,"""Material Storage ของคุณมีไอเทมเหล่านี้อย่างน้อยหนึ่งชิ้นถึงจำนวนสูงสุดแล้ว"""
RequestActionNoExpire#0,"""หมดอายุ; ไม่สามารถใช้งานได้"""
RequestActionUnlimitedAMCoinErrorTitle#0,"""ข้อความ (Message)"""
RequestActionUnlimitedAMCoinErrorMessage#0,"""เนื่องจาก \""การยกเลิกขีดจำกัดการนำออก CC\""<br>ไอเทม \""ยกเลิกขีดจำกัดนำออก CC $(0) วัน\""<br>จึงไม่สามารถใช้งานได้อีกต่อไป<br><br><yellow>ไอเทม \""ยกเลิกขีดจำกัดนำออก CC $(0) วัน\"" ที่คุณมีอยู่<br>สามารถนำไปแลกเปลี่ยนเป็นไอเทมเป้าหมาย<br>ได้ที่ Recycle Shop<c>"""
UsePetEggTitle#0,"""ยืนยันการใช้ไอเทม"""
UsePetEggMessage1#0,"""จะทำการใช้ 『$(0)』<br>ดำเนินการต่อหรือไม่?"""
UsePetEggMessage2#0,"""จะทำการใช้ 『$(0)』<br>ดำเนินการต่อหรือไม่?<br><br><yellow>ไอเทมที่เลือกอยู่ในสถานะถูกล็อก<c>"""
UseHatchedPetEgg#0,"""ลงทะเบียนสัตว์เลี้ยงแล้ว<br>สามารถติดตั้งลงในอาวุธ \""Takt\"" ได้<br><br><yellow>※เนื่องจากเป็นสัตว์เลี้ยงที่ถูกลงทะเบียนใหม่<br>\u3000จำนวนครั้งที่สามารถผสม (Synthesize) ได้จะเป็น 0<c>"""
GrindNumAwardBackpackMessage#0,"""ส่งรางวัลตีบวก +$(0) 「$(1)」 ไปยัง Inventory แล้ว"""
GrindNumAwardStorageMessage#0,"""ส่งรางวัลตีบวก +$(0) 「$(1)」 ไปยัง Storage แล้ว"""
GrindNumAwardPostMessage#0,"""ส่งรางวัลตีบวก +$(0) 「$(1)」 ไปยัง Temporary Storage แล้ว"""
UseCraftEnchantTimeExtensionItemMessage#0,"""จะทำการเพิ่มเอฟเฟกต์ $(0) ให้กับ Unit ต่อไปนี้<br><br><yellow>$(1)<c><br><br>※ระยะเวลาเอฟเฟกต์จะเริ่มนับถอยหลังหลังจากใช้งาน"""
CraftEnchantItemUseErrorTimeMax#0,"""ไม่สามารถใช้งานได้เนื่องจากระยะเวลาเอฟเฟกต์จะเกิน 90 วัน"""
LockMultiErrorMessage#0,"""มีไอเทมบางชิ้นที่ไม่สามารถล็อกได้ จำกัดสูงสุด $(0) ชิ้นต่อครั้ง"""
UnlockMultiErrorMessage#0,"""มีไอเทมบางชิ้นที่ไม่สามารถปลดล็อกได้ จำกัดสูงสุด $(0) ชิ้นต่อครั้ง"""
UnlockDialogMessage#0,"""ดำเนินการปลดล็อกไอเทมที่เลือกหรือไม่?"""
PetAbility#0,"""$(0)<br>【เอฟเฟกต์】<br>$(1)"""
RingSkill#0,"""$(1) Lv.$(0)<br>【เอฟเฟกต์】<br>$(2)"""
RingSkill_2#0,"""$(1)<br>【เอฟเฟกต์】<br>$(2)<br><br>$(0)"""
ItemAutoPickUpRarityOn#0,"""ได้รับ <yellow>$(0) $(1)★<c>"""
ItemAutoPickUpRarityOff#0,"""ได้รับ <yellow>$(0)<c>"""
ConsumeTicketErrorAllRegisted#0,"""ไม่สามารถใช้ Ticket นั้นได้<br>เนื่องจากได้ทำการลงทะเบียนไว้กับ<br>ทุกตัวละครของคุณเรียบร้อยแล้ว"""
TicketItemUseErrorServerBug#0,"""การใช้งาน [$(0)] ถูกปิดใช้งานแล้ว"""
TicketItemUseErrorServerBug_2#0,"""ไม่สามารถใช้ไอเทมได้"""
UseTicketMessage1#0,"""จะทำการใช้ [$(0)]<br>ดำเนินการต่อหรือไม่?<br><br><yellow>※หลังจากใช้ Ticket นี้ หากคุณใช้ Ticket เดียวกันนี้อีกครั้ง จะทำให้เปิดใช้งานได้กับทุกตัวละครของคุณ<c>"""
UseTicketMessage2#0,"""จะทำการใช้ [$(0)]<br>ดำเนินการต่อหรือไม่?<br><br><yellow>※การใช้ Ticket นี้จะทำให้สามารถ<br>ใช้งานได้กับทุกตัวละครของคุณ<c>"""
UseTicketMessage3#0,"""จะทำการใช้ 『$(0)』<br>ดำเนินการต่อหรือไม่?<br><br><yellow>※หากใช้ไอเทมนี้ จะทำให้สามารถใช้งานได้กับ<br>\u3000ทุกตัวละครใน Ship ปัจจุบัน<c>"""
UseTicketForSPMessage2#0,"""เนื่องจากข้อจำกัดด้านประเภท<br>จึงไม่สามารถใช้ Ticket นี้กับ<br>ตัวละครนี้ได้<br><br>จะทำการลงทะเบียน Ticket<br>[$(0)] ให้กับตัวละครสนับสนุนของคุณ<br>ดำเนินการต่อหรือไม่?<br><br><yellow>※การใช้ Ticket นี้จะปลดล็อก<br>เครื่องประดับนี้ให้กับทุกตัวละครของคุณ<c>"""
FlagTicketAllRegistedTitle#0,"""จำนวนตั๋วที่ลงทะเบียน"""
FlagTicketAllRegisted#0,"""ตั๋วต่อไปนี้<red>ถูกใช้งานไปแล้ว<c><br>กับตัวละครนี้<br><yellow>หากคุณใช้งานอีกครั้ง มันจะถูกปลดล็อก<br>ให้กับทุกตัวละครในบัญชีนี้<c><br><br>ดำเนินการต่อหรือไม่?"""
UseTraceItemTitle#0,"""ยืนยันไอเทม"""
UseTraceItemMessage#0,"""คุณเลือกไอเทมที่เปลี่ยนรูปแบบอาวุธ (Weapon Form) ไปแล้ว<br>แน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?"""
FloatTextItem_1#0,"""$(2)$(0)$(1)"""
FloatTextItem_2#0,"""$(3)$(0)$(1) x$(2)"""
FloatTextItem_3#0,"""\u3000\u3000$(0)$(1)"""
FloatTextItem_4#0,"""\u3000\u3000$(0)$(1) x$(2)"""
FloatTextItemUnidentified_1#0,"""<pict rarity_unk>$(0)<c 00ffff>$(1)<c>"""
FloatTextItemUnidentified_2#0,"""<pict rarity_unk>$(0)<c 00ffff>$(1)<c> x$(2)"""
FloatTextMeseta#0,"""<pict reb_meseta>$(0)"""
FloatTextSeasonPoint#0,"""<pict event_point>$(0)"""
UseDiskError_ForChallenge#0,"""คลาสสืบทอด (Successor Class) ไม่สามารถใช้ใน Quest นี้ได้"""
UseTicketUpgrade_UsedNormal_UsePlus#0,"""กำลังอัปเกรด \""$(0)\"" เป็น \""$(1)\""<br><br><yellow>※คุณสามารถใช้เวอร์ชันปกติ (Normal version) ต่อไปได้โดยทำตามวิธีดังต่อไปนี้:<c><br>- คำสั่งแชต (Chat Commands)<br>- คีย์ลัด (Keyboard Shortcut)<br><br>ดำเนินการอัปเกรดต่อหรือไม่?"""
UseTicketUpgrade_UsedPlus_UseNormal#0,"""เนื่องจากได้ลงทะเบียน \""$(1)\"" ไปแล้ว <br><yellow>คุณสามารถใช้<c> \""$(0)\""<br><yellow>โดยใช้วิธีการด้านล่างเท่านั้น:<c><br><br>- คำสั่งแชต (Chat Commands)<br>- คีย์ลัด (Keyboard Shortcuts)<br><br>แน่ใจหรือไม่ว่าต้องการใช้งาน?"""
CostumeRemoveError#0,"""ไม่สามารถถอดไอเทมแฟชั่นได้<br>เนื่องจากพื้นที่ใน Inventory ของคุณไม่เพียงพอ"""
MoveWarehouseErrorMessage10#0,"""ไม่สามารถย้ายไอเทมไปยัง PSO2 Inventory ของคุณได้ เนื่องจากพื้นที่ว่างไม่เพียงพอ หรือคุณมีไอเทมเหล่านั้นชิ้นใดชิ้นหนึ่งเกินขีดจำกัดที่สามารถครอบครองได้"""
Missionpass_ReceiveMessage1#0,"""มีรางวัลที่ยังไม่ได้รับอยู่ใน<br>Mission Pass"""
BoostCaveatMessage1#0,"""ใช้ Boost Item หรือไม่?<br><br><yellow>※เมื่อใช้ Boost Item ที่มีเอฟเฟกต์เหมือนกัน<br>จะขยายเฉพาะระยะเวลาของเอฟเฟกต์เท่านั้น<br>ชื่อที่แสดงจะไม่เปลี่ยนแปลง<c>"""
Use_StorySkip_Message#0,"""คุณต้องการใช้ <yellow>\""$(0)\""<c> หรือไม่?<br>เมื่อใช้ไอเทมนี้ เนื้อเรื่องหลัก (Main Story) จะข้ามไปยัง <yellow>\""บทล่าสุด\""<c> ที่ถูกปล่อยออกมา<br><br><scarlet>※คุณจะถูกล็อกเอาต์โดยอัตโนมัติเพื่อทำขั้นตอนนี้ให้เสร็จสมบูรณ์<c><br><br><yellow>※เมื่อล็อกอินกลับเข้ามา คุณจะได้รับค่าประสบการณ์ (Experience Points) ที่ควรจะได้รับตามปกติจากการดำเนินเนื้อเรื่องหลัก<c><br><yellow>※รายละเอียดเหล่านี้อาจมีการเปลี่ยนแปลงตามความเหมาะสม<c>"""
Use_Ticket_Logout#0,"""การใช้ไอเทมเสร็จสมบูรณ์<br>คุณจะถูกล็อกเอาต์เพื่อทำขั้นตอนนี้ให้เสร็จสมบูรณ์"""
Error_Use_Ticket_OutsideCity#0,"""ไอเทมนี้สามารถใช้ได้เฉพาะใน ARKS Bases เช่น Central City เท่านั้น"""
Error_Use_Ticket_NotSolo#0,"""ไม่สามารถใช้งานได้เนื่องจากคุณอยู่ใน Party, กำลัง Matchmaking หรือกำลังใช้งานฟังก์ชันที่เกี่ยวกับ Party"""
Error_Use_Ticket_Passed#0,"""ไม่สามารถใช้งานได้เนื่องจากคุณได้ดำเนินเนื้อเรื่องหลักไปจนถึงบทล่าสุดแล้ว"""
NoObjectMessage#0,"""ไม่มีไอเทม"""
RingEquip_Error#0,"""Skill Rings สามารถเปลี่ยนได้เฉพาะที่ ARKS bases เท่านั้น"""
Param_Value#0,"""$(0)"""
Param_Percent#0,"""$(0)%"""
Param_MaxValue#0,"""(สูงสุด $(0))"""
Param_MaxValue_Limit#0,"""<bright_orange>(สูงสุด $(0))<c>"""
Param_MaximumValue#0,"""(สูงสุด $(0))"""
Param_MaximumValue_Limit#0,"""<bright_orange>(สูงสุด $(0))<c>"""
Param_ComparePlus#0,"""<light_orange2>+$(0)<c>"""
Param_ComparePlus_Percent#0,"""<light_orange2>+$(0)%<c>"""
Param_CompareMinus#0,"""<vivid_cyan2>－$(0)<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>-$(0)%<c>"""
Label_Slash#0,"""/"""
Label_Hyphen#0,"""-"""
Label_WavyLine#0,"""~"""
Label_Rarity#0,"""ระดับความหายาก (Rarity)"""
Label_AttackPower#0,"""ATP"""
Label_Defense#0,"""DFP"""
Label_HP#0,"""HP"""
Label_PP#0,"""PP"""
Label_AttackElement#0,"""ธาตุ (Attribute)"""
Label_Resist_Damage#0,"""กันดาเมจ (%)"""
Label_Resist_Element#0,"""ต้านทานธาตุ (Attribute Resist)"""
Label_Resist_Fire#0,"""ต้านทานไฟ (Flame Resist)"""
Label_Resist_Ice#0,"""ต้านทานน้ำแข็ง (Ice Resist)"""
Label_Resist_Thunder#0,"""ต้านทานสายฟ้า (Lightning Resist)"""
Label_Resist_Wind#0,"""ต้านทานลม (Wind Resist)"""
Label_Resist_Light#0,"""ต้านทานแสง (Light Resist)"""
Label_Resist_Dark#0,"""ต้านทานความมืด (Dark Resist)"""
Label_EquipClass#0,"""คลาสที่สวมใส่ได้"""
Label_EquipNeed#0,"""เงื่อนไขการสวมใส่"""
Param_Level_Need#0,"""Lv.$(0)"""
Param_Level_Now#0,"""(Lv. ปัจจุบัน $(0))"""
Label_Trade#0,"""แลกเปลี่ยน"""
Label_Trade_OK#0,"""แลกเปลี่ยนได้"""
Label_Trade_NG#0,"""<pict unavailable_t>แลกเปลี่ยนไม่ได้"""
Label_Trade_Ownered#0,"""<pict register_owner>ลงทะเบียนเจ้าของแล้ว"""
Label_Grind#0,"""ระดับการตีบวก"""
Label_Element#0,"""ความสามารถพิเศษ (Special Ability)"""
Label_BonusElement#0,"""Special Ability Factor"""
Label_SpecialElement#0,"""S-Class Special Ability"""
Label_SpecialElement_Supported#0,"""ประเภทที่รองรับ"""
Label_Potential#0,"""Potential Ability"""
Label_Potential_1#0,"""Potential Lv.1"""
Label_Potential_2#0,"""Potential Lv.2"""
Label_Potential_3#0,"""Potential Lv.3"""
Label_DamageBlur#0,"""ความแปรปรวน (%)"""
Label_DamageBlur_Under#0,"""ความแปรปรวนความเสียหายขั้นต่ำ"""
Label_DamageBlur_Limit#0,"""ความแปรปรวนความเสียหายขั้นสูงสุด"""
Label_AttackSpeed#0,"""ความเร็วโจมตี (ATK Speed)"""
Label_AttackRange#0,"""ระยะโจมตี (ATK Range)"""
Label_SetEffect#0,"""เซ็ตเอฟเฟกต์ (Set Effect)"""
Label_SetEffect_1#0,"""เซ็ตเอฟเฟกต์ 1"""
Label_SetEffect_2#0,"""เซ็ตเอฟเฟกต์ 2"""
Label_SetEffect_3#0,"""เซ็ตเอฟเฟกต์ 3"""
Label_TraceItem#0,"""รูปแบบอาวุธ (Weapon Form)"""
Label_MultiWeapon#0,"""Multi-weapon"""
Label_Lowest_ListingAmount#0,"""ราคาลงขายขั้นต่ำ"""
Label_Add_HpPp#0,"""โบนัส HP/PP"""
Label_RaceSex#0,"""เผ่าพันธุ์ (ประเภท)"""
Label_CostumeColor#0,"""สี"""
Label_CostumeGauge#0,"""ความผูกพัน (Affection)"""
Label_SG_Received#0,"""SG ที่ได้รับ"""
Label_EffectTime#0,"""ระยะเวลาของเอฟเฟกต์"""
Label_ExpirationDate#0,"""วันหมดอายุ"""
Label_FreeGiftExchangeDate#0,"""กำหนดส่ง"""
DateLimitOver#0,"""<scarlet>$(0)<c>"""
Label_UndecidedExpirationDate#0,"""กำหนดเมื่อได้รับ"""
Label_ConsumptionPP#0,"""PP ที่ใช้"""
Label_Power#0,"""ความเสียหาย (Damage)"""
Label_CostumeFixityColor#0,"""สีคงที่"""
Label_WeaponRise#0,"""Weapon Boost (%)"""
Labal_Resist_Condition#0,"""ต้านทานสถานะผิดปกติ (%)"""
Labal_Others_Condition#0,"""ต้านทานสภาพแวดล้อม (%)"""
Grind#0,"""$(1)($(0)%)"""
GrindUnidentified#0,"""?"""
Rarity#0,"""ระดับความหายาก (Rarity)"""
ReviseParameter#0,"""ตัวคูณสถานะ (Stat Modifier)"""
Element#0,"""ความสามารถพิเศษ (Special Abilities)"""
Potential#0,"""Potential"""
Element_Potential#0,"""Special Abilities/Potentials"""
Element_LimitAbility#0,"""Special/Timed Abilities"""
Skill#0,"""Skill"""
RaceSex#0,"""เผ่าพันธุ์ (ประเภท)"""
Class#0,"""คลาส (Class)"""
KindWeapon#0,"""Weapons"""
KindCostume#0,"""Costumes"""
KindParts#0,"""Parts"""
KindAddon#0,"""Units"""
KindStack#0,"""ไอเทมที่ซ้อนทับได้ (Stackable Items)"""
Sword#0,"""Swords"""
Lance#0,"""Wired Lances"""
Partisan#0,"""Partizans"""
Tdagger#0,"""Twin Daggers"""
Wsaber#0,"""Double Sabers"""
Knuckle#0,"""Knuckles"""
Saber#0,"""Gunslashes"""
Rifle#0,"""Assault Rifles"""
Launcher#0,"""Launchers"""
Tmachinegun#0,"""Twin Machineguns"""
Rod#0,"""Rods"""
Talis#0,"""Talises"""
Wand#0,"""Wands"""
Katana#0,"""Katanas"""
CompoundBow#0,"""Bullet Bows"""
Costume#0,"""Costume"""
BodyParts#0,"""Body Parts"""
ArmParts#0,"""Arm Parts"""
LegParts#0,"""Leg Parts"""
Avatar#0,"""-"""
AddonBack#0,"""Rear Units"""
AddonArm#0,"""Arm Units"""
AddonLeg#0,"""Leg Units"""
AddonUnit#0,"""Sub Units"""
StackHeal#0,"""ไอเทมฟื้นฟู (Recovery Item)"""
StackBoost#0,"""Boost Item"""
StackDisk#0,"""Disk"""
StackOrderitem#0,"""ไอเทมคำสั่ง/วัตถุดิบคราฟต์"""
StackKeyitem#0,"""Key Item"""
GoodsRoom#0,"""Room Goods"""
GoodsReform#0,"""ตั๋วรีโมเดล (Remodeling Ticket)"""
DiskPhotonarts#0,"""Photon Art Disk"""
DiskTechnique#0,"""Technique Disk"""
DiskTechniqueCustomize#0,"""Customization Disks"""
Tool#0,"""เครื่องมือ (Tool)"""
Device#0,"""Mag Device"""
MusicDisk#0,"""Music Disc"""
Pass#0,"""Pass"""
Ticket#0,"""Ticket"""
Other#0,"""-----"""
NoSkill#0,"""ไม่มี"""
SkillUnidentified#0,"""???"""
WeaponAvatar#0,"""Weapon Camo"""
Craft#0,"""วัตถุดิบคราฟต์ (Crafting Materials)"""
NeedStrike#0,"""ต้องการ S-ATK"""
NeedFirearm#0,"""ต้องการ R-ATK"""
NeedTechinic#0,"""ต้องการ T-ATK"""
NeedEquipStrike#0,"""ต้องการ S-ATK"""
NeedEquipFirearm#0,"""ต้องการ R-ATK"""
NeedEquipTechnic#0,"""ต้องการ T-ATK"""
NeedEquipDex#0,"""ต้องการ DEX"""
NeedEquipDfpStrike#0,"""ต้องการ S-DEF"""
NeedEquipDfpFirearm#0,"""ต้องการ R-DEF"""
NeedEquipDfpTechnic#0,"""ต้องการ T-DEF"""
NeedEquipUnidentified#0,"""ต้องการสถานะ"""
ValuePlusOnly#0,"""<c ff9c70>(+$(0))<c>"""
ValueMinusOnly#0,"""<c 32cdff>(-$(0))<c>"""
CompareValuePlus#0,"""$(1)<c ff9c70>(+$(0))<c>"""
CompareValueMinus#0,"""$(1)<c 32cdff>(-$(0))<c>"""
CompareValueEqual#0,"""$(0)(+0)"""
Value#0,"""$(0)"""
NameMaxLimitBreak#0,"""$(0)<pict 4space><bright_orange>/สูงสุด $(1)<c>"""
NameMaxGrindAndLimitBreak#0,"""<bright_orange>$(0)<c>"""
NameNotMaxGrindAndLimitBreak#0,"""$(0)<pict 4space>/สูงสุด $(1)"""
NameUnidentified#0,"""<c 00ffff>$(0)<c>"""
ValueUnidentified#0,"""?"""
NeedNumber#0,"""$(0)\u3000(ปัจจุบัน $(1))"""
NeedNumberUnidentified#0,"""?"""
ElementNum#0,"""x$(0)"""
ElementNumUnidentified#0,"""x?"""
ElementNameUnidentified#0,"""???"""
ElementEtc#0,"""...และอื่นๆ อีก 2"""
ElementExplanationUnidentified#0,"""???"""
PotentialName#0,"""<c ffff00>$(0)<c>"""
PotentialNameUnidentified#0,"""<c ffff00>???<c>"""
ReviseParameterUnidentified#0,"""?"""
DiskLevel#0,"""Lv.$(0)\u3000(Lv. ปัจจุบัน $(1))"""
GoodsCost#0,"""ค่าติดตั้ง (Install Cost)"""
GoodsSizeHead#0,"""ขนาด"""
GoodsSize#0,"""$(0)x$(1)"""
GoodsTypeHead#0,"""ประเภท"""
GoodsTypeGround#0,"""ประเภทพื้น"""
GoodsTypeWall#0,"""ประเภทผนัง"""
GoodsTypeCeilling#0,"""ประเภทเพดาน"""
GoodsLimitHead#0,"""สถานที่"""
GoodsLimitNone#0,"""ทุกที่"""
GoodsLimitRoom#0,"""ห้อง"""
GoodsLimitBalcony#0,"""ระเบียง"""
GoodsNumMaxHead#0,"""จำนวนสูงสุดที่อนุญาต"""
GoodsNumMaxNone#0,"""ไม่มีขีดจำกัด"""
NeedDiskNumber#0,"""ค่าใช้จ่าย (Cost)"""
WeaponAvatarCategory#0,"""ประเภท Camo"""
AttributeUnidentified#0,"""ธาตุ (Attribute)"""
AttributeValue#0,"""$(0)"""
AttributeValueUnidentified#0,"""?"""
RaceUnidentified#0,"""???"""
SexUnidentified#0,"""???"""
EffectTime#0,"""ระยะเวลา"""
cos_color#0,"""สี"""
GrindTitle#0,"""ระดับการตีบวก"""
Unidentified#0,"""ยังไม่ได้ประเมิน (Untekked)"""
NoTrade#0,"""แลกเปลี่ยนไม่ได้"""
NoMyShop#0,"""ไม่สามารถขายใน My Shop ได้"""
Registered#0,"""ผูกมัดกับเจ้าของ (Bound to owner)"""
ExtendTitle#0,"""Extend"""
ExtendLevel#0,"""ExLv."""
NoItem_00#0,"""ไม่มีไอเทม"""
NoItem_01#0,"""ไม่มีรายละเอียด"""
NoItem_02#0,"""ไม่มีการปรับแต่ง"""
NoItem_03#0,"""ไม่มี"""
Explanation#0,"""รายละเอียด"""
ChipEfficiency#0,"""สถานะ Timed Ability"""
ChipEffect01#0,"""เอฟเฟกต์หลัก"""
ChipEffect02#0,"""เอฟเฟกต์รอง"""
ChipEffect03#0,"""โบนัสเอฟเฟกต์"""
ChipArea#0,"""เงื่อนไข"""
ChipDays#0,"""ระยะเวลา"""
CraftEnchantEffectTime#0,"""เวลาที่เหลือ: $(0)"""
CraftEnchantEffectTimeLess#0,"""น้อยกว่า 1 นาที"""
CraftEnchantEffectTimeExpire#0,"""<red>หมดอายุ<c>"""
TimeLimitAbility#0,"""Timed Ability"""
TimeLimitAbilityNameInvalid#0,"""<red>$(0)<c>"""
ReviseParameter_v#0,"""ตัวคูณสถานะ (รวม)"""
Jboots#0,"""Jet Boots"""
Dblade#0,"""Dual Blades"""
Takt#0,"""Takts"""
OuterWear#0,"""Outerwear"""
BaseWear#0,"""Basewear"""
InnerWear#0,"""Innerwear"""
DiskPaCustomize#0,"""Customization Disks"""
DiskClassSkill#0,"""Class Skill Disk"""
Enemy#0,"""Enemy Trigger"""
QuestTrigger#0,"""Quest Trigger"""
Candy#0,"""Candy"""
PetEgg#0,"""Egg"""
TimeLimit#0,"""Quest Start Key"""
CatGatBoost#0,"""รวบรวมวัตถุดิบสำหรับทำอาหาร"""
CatGatMaterial#0,"""วัตถุดิบ Gathering"""
Gadget#0,"""Skill Rings"""
ExchangePass#0,"""ตั๋วแลกของรางวัล Scratch"""
ValuePlusOnlyNoKakko#0,"""<c ff9c70>+$(0)<c>"""
ValueMinusOnlyNoKakko#0,"""<c 32cdff>-$(0)<c>"""
ElementEtc2#0,"""...และอื่นๆ อีก $(0)"""
GammaLimitGrindTitle#0,"""ขีดจำกัด Grind"""
Expiration_date#0,"""วันหมดอายุ"""
UndecidedExpirationDate#0,"""กำหนดหลังจากซื้อ"""
GatBoost#0,"""อาหาร"""
