ActiveStatus_Title#0,"""เปลี่ยนข้อความแสดงในรายชื่อเพื่อน"""
QuickMenu_ListTab_Text5#0,"""แชท"""
QuickMenu_ListTab_Text6#0,"""ส่วนตัว"""
QuickMenu_ListTab_Text7#0,"""ร้านค้า"""
QuickMenu_ListTab_Text8#0,"""ระบบ"""
QuickMenu_ListTab_Text9#0,"""เปลี่ยนหน้าคำทางลัด"""
QuickMenu_ListTab_Text10#0,"""ดำเนินการคำทางลัด"""
QuickMenu_ListTab_Text11#0,"""สลับกล้อง/แสง"""
QuickMenu_ListTab_Text12#0,"""การเคลื่อนไหว"""
QuickMenu_ListTab_Text13#0,"""หมวดหมู่"""
Caption15#0,"""เมนูอุปกรณ์"""
Caption16#0,"""เมนูส่วนตัว"""
Caption17#0,"""เมนูแสตมป์"""
Caption18#0,"""เมนูชุดคำสั่ง"""
Caption19#0,"""เมนูแชท"""
Caption20#0,"""เมนูร้านค้า"""
Caption21#0,"""เมนูแสดงผล"""
Caption22#0,"""เมนูแพล็คฟอร์ม"""
Caption23#0,"""เมนู"""
EditSave#0,"""บันทึก"""
EditCancel#0,"""ยกเลิก"""
EditTitle#0,"""การเปลี่ยนเซตเมนูเร่งด่วน"""
LobbyActionText#0,"""<%NextTabDetails><yellow>Toggle Favorite<c>"""
VITA_LobbyActionText#0,"""<pict Sign_select><yellow>Add/Edit Favorites<c>"""
VITA_FavoritesSwitching#0,"""<pict Sign_select>Togggle All/Favorite"""
LobbyAction_TypeA#0,"""<pict Key_SHIFT>+Enter <yellow>Do opposite gender action<c>"""
LobbyAction_TypeB#0,"""<%Function>+<%Decide><yellow>Do opposite gender action<c>"""
LobbyAction_TypeC#0,"""<pict Sign_TRIANGLE>+<pict Sign_CIRCLE><yellow>Do opposite gender action<c>"""
MapCommand_Item2_1#0,"""ซ่อนพื้นที่แผนที่"""
MapCommand_Item2_2#0,"""แสดงพื้นที่แผนที่"""
Installation#0,"""ติดตั้งรับสมัครปาร์ตี้"""
Removal#0,"""ถอนการรับสมัครปาร์ตี้"""
PresetName0#0,"""ประเภทพื้นฐาน"""
PresetName1#0,"""01. เบ็ดเตล็ด"""
PresetName2#0,"""02. สื่อสาร"""
PresetName3#0,"""03. เล่นคนเดียว"""
PresetName4#0,"""04. เล่นหลายคน"""
PresetName5#0,"""05. การเคลื่อนไหว"""
PresetName6#0,"""06. ไอเทม"""
PresetName7#0,"""07. กิจกรรม"""
PresetName8#0,"""08. ฝึกซ้อม"""
PresetName9#0,"""09. เมนูส่งมอบ"""
PresetName10#0,"""10. ภาพถ่าย"""
PresetName11#0,"""ประเภทสื่อสาร"""
QuickMenu_PatternDefaultName#0,"""แก้ไขเซต $(0)"""
QuickMenu_PatternDefaultName1#0,"""แก้ไขเซต 1"""
QuickMenu_PatternDefaultName2#0,"""แก้ไขเซต 2"""
QuickMenu_PatternDefaultName3#0,"""แก้ไขเซต 3"""
QuickMenu_PatternDefaultName4#0,"""แก้ไขเซต 4"""
VITA_Shortcut_Title#0,"""ショートカット一覧"""
VITA_Tab_Symbol#0,"""シンボルアート"""
VITA_Tab_Chat#0,"""チャット"""
SubWindowChange1#0,"""<pict Sign_TRIANGLE>Change"""
VITA_Target#0,"""発言先："""
SubWindowChange2#0,"""<%Function>Change"""
StartChat#0,"""เริ่มสนทนา"""
UserCommand_Item1#0,"""เปลี่ยนการแสดงเหนือหัวตัวละคร"""
UserCommand_Item2#0,"""เปลี่ยนสถานะออนไลน์"""
UserCommand_Item4#0,"""เปลี่ยนระยะมุมกล้อง"""
OverheadDisplay_NoSENID#0,"""ไม่มีอะไรเลย"""
OverheadDisplay_Item1#0,"""ไม่แสดงอะไรเลย"""
OverheadDisplay_Item2#0,"""ชื่อตัวละคร"""
OverheadDisplay_Item3#0,"""คลาส เลเวล/ชื่อตัวละคร"""
OverheadDisplay_Item4#0,"""ID ของ PlayStation Network"""
OverheadDisplay_Item5#0,"""ชื่อ ID ผู้เล่น"""
OverheadDisplay_Item6#0,"""ชื่อ ID ผู้เล่น/ชื่อตัวละคร"""
OverheadDisplay_Item7#0,"""ID ผู้เล่น"""
OverheadDisplay_Item8#0,"""ชื่อตัวละคร/หลอดเลือด"""
OverheadDisplay_Item9#0,"""ชื่อฉายา/ชื่อตัวละคร"""
OverheadDisplay_Item10#0,"""ขื่อทีม/ยศทีม"""
OverheadDisplay_Item11#0,"""ชื่อทีม/ชื่อตัวละคร"""
OverheadDisplay_Item12#0,"""ชื่อผู้เล่นอื่น (ยกเว้นตัวเอง)"""
Camera_Item1#0,"""ซูมเข้าหาตัวละคร"""
Camera_Item2#0,"""ซูมห่างจากตัวละคร"""
TagName#0,""": $(0)"""
TitleNon#0,"""ไม่มีฉายา"""
GuildNon#0,"""ไม่มีทีม"""
OverheadDisplay_Item13#0,"""ชื่อตัวละคร/HP-PP"""
OverheadDisplay_Item14#0,"""ชื่อยาน/ชื่อตัวละคร"""
