Title_Partyselect#0,"""เลือกปาร์ตี้"""
Challenge_Buff_TotalBonus3#0,"""<yellow>ตัวคูณความยากในการเคลียร์รวม: <c>"""
Challenge_Buff_TotalBonus4#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_TotalBonus4_Minus#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_Attainable_Rank1#0,"""<yellow>Rank การเคลียร์เควสต์ที่สามารถบรรลุได้: <c>"""
Challenge_Buff_Attainable_Rank2#0,"""<yellow>$(0)<c>"""
Challenge_Buff_Attainable_Rank_S#0,"""S"""
Challenge_Buff_Attainable_Rank_A#0,"""A"""
Challenge_Buff_Attainable_Rank_B#0,"""B"""
Challenge_Buff_Attainable_Rank_C#0,"""C"""
Window_Main_Button_Add1#0,"""เพิ่ม Challenge"""
Window_Main_Button_Add2#0,"""(สามารถเพิ่มได้อีก $(0))"""
Window_Main_Button_Clear#0,"""รีเซ็ตเป็นค่าเริ่มต้น"""
Window_Main_Button_Load#0,"""โหลดการตั้งค่าก่อนหน้า"""
Dialog_Reset_Title#0,"""ยืนยันการรีเซ็ต"""
Dialog_Reset_Message#0,"""รีเซ็ตการตั้งค่า Challenge กลับเป็นค่าเริ่มต้นหรือไม่?"""
Window_Load_Menu1#0,"""โหลดการตั้งค่าก่อนหน้า"""
Window_Load_Menu2#0,"""โหลดการตั้งค่า High Score (Solo)"""
Window_Load_Menu3#0,"""โหลดการตั้งค่า High Score (Party)"""
Dialog_Load_Title#0,"""ยืนยันการตั้งค่า"""
Dialog_Load_Message#0,"""เปลี่ยนแปลง & เขียนทับการตั้งค่าที่บันทึกไว้หรือไม่?"""
Challenge_Buff_Error1#0,"""ไม่สามารถเลือก Challenge ที่คล้ายกันหลายอันได้"""
Challenge_Buff_Error2#0,"""ข้อผิดพลาด: เอฟเฟกต์รวมเกิน $(0)"""
Window_Guide_Message#0,"""การเปลี่ยนแปลงค่าสถานะของศัตรู & ผู้เล่นจะส่งผลต่อระดับความยากของเควสต์<br><br><yellow>ยิ่งความยากสูงขึ้น ตัวคูณที่จะนำไปคิดคะแนนก็จะสูงขึ้นตามไปด้วย<br><br>คะแนนของคุณจะมีผลกับ Rank เมื่อคุณเคลียร์เควสต์ & ของรางวัลที่คุณได้รับ<c>"""
Window_Guide_Message2#0,"""คุณสามารถเพิ่มความยากของเควสต์ได้โดยการปรับค่าสถานะของศัตรูและ/หรือผู้เล่น"""
Window_List_Tab_Popup_All#0,"""Challenge ทั้งหมด"""
Window_List_Tab_Popup_1#0,"""HP ศัตรูเพิ่มขึ้น"""
Window_List_Tab_Popup_2#0,"""ATP ศัตรูเพิ่มขึ้น"""
Window_List_Tab_Popup_3#0,"""ความสามารถผู้เล่นลดลง"""
Window_List_Tab_Popup_4#0,"""อื่นๆ"""
Window_List_Tab_Popup_5#0,"""ความสามารถผู้เล่นเพิ่มขึ้น"""
Window_Titletelop#1,"""Quest Counter"""
Window_TwolineGuide#1,"""เลือกเควสต์ที่คุณต้องการรับ"""
Window_Main_Title#1,"""เมนูเควสต์"""
Exit_NpcCounter#0,"""ออกจาก Quest Counter"""
NpcCounter_Category1#0,"""เควสต์จำกัดเวลา"""
NpcCounter_Category2#0,"""ARKS History: เนื้อเรื่องหลัก"""
NpcCounter_Category3#0,"""Standing Quests"""
NpcCounter_Category4#0,"""ARKS History: อื่นๆ"""
NpcCounter_Category_0#0,"""เควสต์จำกัดเวลา"""
NpcCounter_Category_1#0,"""Trigger Quests"""
NpcCounter_Category_2#0,"""ARKS History: เนื้อเรื่องหลัก"""
NpcCounter_Category_3#0,"""ARKS History: อื่นๆ"""
NpcCounter_Category_4#0,"""Standard Duel"""
NpcCounter_Category_5#0,"""Leciel Exploration"""
NpcCounter_Category_6#0,"""Time Extension Quests"""
NpcCounter_Category_7#0,"""Nameless City Exploration"""
NpcCounter_Category_10#0,"""Duel Quests"""
NpcCounter_Category_20#0,"""อื่นๆ"""
NpcCounter_Category_11#0,"""Extra Duel: Rays of an Imagined Light"""
NpcCounter_Category_12#0,"""เควสต์ต่างๆ"""
NpcCounter_Category_13#0,"""Altered Realm Exploration"""
NpcCounter_Category_30#0,"""Altered Realm Exploration"""
NpcCounter_Category_14#0,"""Interception Section"""
NpcCounter_Category_15#0,"""Combat Section"""
NpcCounter_Category_18#0,"""虚塔制圧戦"""
NpcCounter_Category_17#0,"""Realm Investigation"""
NpcCounter_Error1#0,"""ไม่มีเควสต์ที่สามารถรับได้"""
Arkshistory_TwolineGuide#0,"""เล่น Story Quests ที่เคลียร์แล้วซ้ำได้"""
Window_QuestSelect_Title#0,"""เลือกเควสต์"""
Window_QuestSelect_Chapter#0,"""Ch. $(0)"""
Window_QuestSelect_FirstChapter#0,"""บทนำ"""
Window_QuestSelect_FilterMenu#0,"""$(1). $(0)"""
Filter_Category_All#0,"""แสดงทั้งหมด"""
Filter_Category_1#0,"""Story Quests"""
Filter_Category_2#0,"""Side Stories"""
Filter_Category_3#0,"""เลือกฉาก"""
Filter_Category_4#0,"""Seasonal Quests"""
Filter_Category_5#0,"""Limited Time Trigger Quests"""
Filter_Category_6#0,"""Trigger Quests"""
Filter_Category_7#0,"""Emergency Quests"""
Filter_Category_8#0,"""Trainia"""
Filter_Category_9#0,"""Normal Quests"""
Filter_Trigger_Category_Prize#0,"""Battledia: Yellow"""
Filter_Trigger_Category_Colosseo#0,"""Battledia: Purple"""
Filter_Trigger_Category_Region_111#0,"""Simulation: Aelio"""
Filter_Trigger_Category_Region_112#0,"""Simulation: Retem"""
Filter_Trigger_Category_Region_113#0,"""Simulation: Kvaris"""
Filter_Trigger_Category_Region_114#0,"""Simulation: Stia"""
Dialog_Play_Scene_Title#0,"""ยืนยันการเลือกฉาก"""
Dialog_Play_Scene_Text#0,"""การดำเนินการนี้จะเป็นการเล่นฉากซ้ำ<br>คุณแน่ใจหรือไม่?"""
Category_AddText#0,"""Short Episode"""
Category_Misc#0,"""อื่นๆ"""
NpcCounter_BoostOccurrence#0,"""Boost Effect ทำงานอยู่"""
NpcCounter_Category_16#0,"""Extra Duel: Onslaught of the Star Breakers"""
