TitleLogo_Enter#0,"""按ENTER鍵開始"""
CharaSelectMenu_Transport#0,"""讓角色移動至別的艦船<pict 4space><pict Arcscash>"""
CharaSelectMenu_ChangeName#0,"""角色名稱變更<pict 4space><pict Arcscash>"""
CharaSelectMenu_DeleteRequest#0,"""角色刪除申請中"""
CharaSelectMenu_DeleteConfirm#0,"""<yellow>【關於刪除角色的注意事項】<c><br><br>・進行本操作後將會申請刪除角色。<br>\u3000在申請刪除後經過24小時，<br>\u3000登入進申請刪除的角色所在的艦船後，<br>\u3000角色就將會被刪除。<br>\u3000只要未經過24小時就還可以<yellow>取消刪除申請<c><br>\u3000能夠重置刪除所需的等待時間，並撤銷刪除申請。  <br><br>\u3000<yellow>※在定期、臨時維護中無法取消刪除申請，還請注意。<c><br><br>・即便刪除了角色，「角色創立權」也不會返還。<br>\u3000若在刪除後要創立新角色，<br>\u3000需要再次使用AC購買「角色創立權」，還請注意。<br>\u3000創立3個以內的角色不需要「角色創立權」。<br><br>・將會失去該角色與支援夥伴的<br>\u3000<yellow>持有道具<c>（包含使用AC購買的未使用道具），<br>\u3000以及使用AC購買的<yellow>依存於角色擴展功能<c>。<br>\u3000<br>・「申請在定期維護時轉船」會在申請刪除角色後被撤銷。<br><br><yellow>若要申請刪除角色<br>請按住鍵盤的[Ctrl]鍵，再點選「是」按鈕。<c>"""
CharaSelectMenu_DeleteConfirm_v#0,"""<yellow>【關於刪除角色的注意事項】<c><br>・進行本操作後將會申請刪除角色。<br>\u3000在申請刪除後經過24小時，<br>\u3000登入進申請刪除的角色所在的艦船後，<br>\u3000角色就將會被刪除。<br>\u3000只要未經過24小時就還可以<yellow>取消刪除申請<c><br>\u3000能夠重置刪除所需的等待時間，並撤銷刪除申請。 <br><br>\u3000<yellow>※在定期、臨時維護中無法取消刪除申請，還請注意。<c><br><br>・即便刪除了角色，「角色創立權」也不會返還。<br>\u3000若在刪除後要創立新角色，<br>\u3000需要再次使用AC購買「角色創立權」，還請注意。<br>\u3000創立3個以內的角色不需要「角色創立權」。<br><br>・將會失去該角色與支援夥伴的<br>\u3000<yellow>持有道具<c>（包含使用AC購買的未使用道具），<br>\u3000以及使用AC購買的<yellow>依存於角色擴展功能<c>。<br><br>・「申請在定期維護時轉船」會在申請刪除角色後被撤銷。<br><br><yellow>若要申請刪除角色<c><br><yellow>請同時按住<c><%TabBack><%TabForward><yellow>再點選「是」按鈕。<c>"""
CharaSelectMenu_Empty#0,"""創立新角色"""
CharaSelectItem_Name#0,"""角色名稱"""
CharaSelectItem_Class#0,"""職業"""
CharaSelectItem_PlayTime#0,"""遊玩時間"""
CharaSelectItem_PlayLimit#0,"""-"""
CharaDeleteTitle#0,"""角色刪除確認"""
CharaSelectItem_MobileText_Vita#0,"""『PSO2 es』連動角色"""
CharaSelectItem_MobileText#0,"""『夢幻之星ONLINE2 es』<br>連動角色"""
CharaDeleteTime#0,"""刪除結束時間"""
CharaDeleteCancelTitle#0,"""角色刪除申請取消"""
CharaSelectMenu_DeleteCancel#0,"""<yellow>【取消角色刪除申請】<c><br><br>・若是取消了角色刪除申請，<br>\u3000刪除所需的等待時間將會被重置，<br>\u3000刪除申請也會被取消。<br><br><red>刪除完成時間：$(0)<c><br><br><yellow>若要取消角色刪除申請<br>請按住鍵盤的[Ctrl]鍵，<br>再點選「是」按鈕。<c>"""
CharaSelectMenu_DeleteCancel_v#0,"""<yellow>【取消角色刪除申請】<c><br>・若是取消了角色刪除申請，<br>\u3000刪除所需的等待時間將會被重置，<br>\u3000刪除申請也會被取消。<br><br><red>刪除完成時間：$(0)<c><br><br><yellow>若要取消角色刪除申請<c><br><yellow>請同時按住<c><%TabBack><%TabForward><yellow>再點選「是」按鈕。<c>"""
CharaSelectMenu_DeleteCancel_f#0,"""角色刪除申請取消失敗。<br><br>已刪除角色。"""
CharaSelectMenu_EpisodeItem1#0,"""EP１～３"""
CharaSelectMenu_EpisodeItem2#0,"""EP４～５"""
CharaSelectMenu_DecideItem#0,"""遊戲開始【$(0)】"""
CharaSelectMenu_Transport_Delay#0,"""申請在定期維護時轉船<pict 4space><pict Arcscash>"""
CharaSelectMenu_Transport_Delay_Please_Wait_Or_Cancel#0,"""取消定期維護時的轉船申請<yellow>(向$(0)移動申請中)<c>"""
CharaSelectItem_Transport_Delay_Please_Wait#0,"""<yellow>申請轉船中<c>"""
CharaSelec_ShipName#0,"""艦船名稱"""
CharaSelec_Num#0,"""角色數量"""
CharaSelec_NotCharacter#0,"""沒找到自己創建的角色？"""
CharaSelec_LoginIn#0,"""現在登入中"""
CharaCheck_Num#0,"""$(0)人"""
CharaCheck_Message#0,"""下面是擁有1個或以上「角色數量」的艦船。<br><br>想要選擇其他艦船的話，<br>下一歩選擇<yellow>「登出」<c>按鈕<br>再選擇艦船。"""
CharaCheck_Message_VITA#0,"""下面是擁有1個或以上「角色數量」的艦船。<br><br>想要選擇其他艦船的話，<br>下一歩選擇<yellow>「返回標題」<c>按鈕<br>再選擇艦船。"""
CharaCheck_NoShipInfo#0,"""沒有艦船信息"""
PlayGo_CharaSelect_Title#0,"""訊息"""
PlayGo_CharaSelect_Message#0,"""<yellow>現在正在安裝數據。<c><br><br>到安裝完成為止<br>不能選擇角色以及移動到特定地點。<br><br>請安裝結束後再嘗試。"""
CharaUndeletable_Title#0,"""確認持有道具"""
CharaUndeletable_Message#0,"""由於持有不可刪除的道具<br>因此無法申請刪除角色。<br><br>請在將不可刪除的道具移動至下列位置之外，<br>或是若在裝備中的話，在卸下裝備後<br>再申請刪除角色。<br><br>\u3000・道具背包<br>\u3000・角色倉庫<br>\u3000・被申請刪除的角色或是其支援夥伴所裝備"""
EP1_3_CloseIntroduction#0,"""自2021年6月9日起<br><yellow>推出了全新的故事『PSO2:NGS』。<c><br><br>推進『PSO2:NGS』的主線劇情後，<br>便也可自由穿梭至過去的『PSO2』世界。"""
CharaSelectItem_Class_NotStartedNGS#0,"""尚未開始遊玩『PSO2:NGS』"""
CharaCheck_BodyShape_Title#0,"""通知"""
CharaCheck_BodyShape_Message#0,"""由於已更新至全新的圖形引擎，<br>在特定條件下，<br>有可能在過去『PSO2』中所創立角色的外觀會發生較大變化。<br>還請根據您的需要，<br>在開始遊戲時的“創立角色”<br>或是在主線劇情“序章”後可以使用的<br>“美容院”中，對角色進行編輯。"""
CharaSelectMenu_Decide#1,"""使用此角色進行遊戲"""
CharaSelectMenu_Create#1,"""重新創立角色"""
CharaSelectMenu_Delete#1,"""刪除此角色"""
CharaSelectMenu_Cancel#1,"""回到上一個菜單"""
CharaSelectMenu_ChangeName#1,"""角色名稱變更"""
CharaNumMax#0,"""角色創立數量達到上限。<br>若欲創立新角色<br>請先刪除現有的角色。"""
SystemError#0,"""系統錯誤。<br>請稍待片刻，再重新嘗試。<br><br>[No.2301]"""
ShipMaxError#0,"""現在這艘艦船因為過度擁擠<br>已暫停新註冊。<br><br>請利用其它艦船。"""
ConsumeCheck#1,"""<pict Arcscash><pict 4space><c ff4f3f>AC消費內容<c><br>若欲創立追加角色，必須使用「角色創立權」。<br><yellow>※若刪除追加角色，則需重新購買，請特別留意！<c><br><br><yellow>・角色以「艦船」為單位進行保存。<c><br><br>・因此若欲使用創立的角色進行遊戲<br>\u3000下次也必須在同一艘艦船上登入。<br><br>確定要以$(0)AC購買「角色創立權」麼？<br><br><yellow>持有AC：$(1)<c><br><yellow>可創立數：還有 $(2)個<c> （全艦船合計最多$(3)個）"""
ChangeNameConfirm#0,"""<pict Arcscash><pict 4space><c ff4f3f>AC消費内容<c><br>變更角色名稱需要<br>「角色名稱變更權」。<br><br><yellow>・角色名稱的變更，<br>變更過後 $(0)天内 不能再次變更。<c><br><br><yellow>・已購買的變更權，只要是確定變更前，<br>還是可以給購買變更權的角色以外的角色使用。<c><br><br>是否使用$(1)AC購買「角色名稱變更權」？<br><br><yellow>持有AC：$(2)<c>"""
ChargeTitle#1,"""確認AC充值"""
ChargeMessage#1,"""AC不足。<br>要充值AC麼？"""
ChargeMessage_v#1,"""AC不足。<br>要充值AC麼？<br><br><yellow>※將起動瀏覽器，並移動至網頁。<br>遊戲將被中斷並登出。<c>"""
TimeOutMessage#1,"""沒有回應。<br><br>[No.2302]"""
ShortageAC#1,"""AC不足，購買失敗。"""
ErrorTime1#0,"""自上次變更角色名稱起還未經過<br>$(0)天，<br>未能購買角色名稱變更權。"""
ErrorTime2#0,"""自上次變更角色名稱起還未經過<br>$(0)天，<br>未能購買角色名稱變更權。<br><br>離可再次變更時間剩：$(1)"""
BuySuccess#1,"""購買成功。"""
ErrorDone#2,"""角色名稱變更已停止，<br>購買失敗。"""
ErrorOther#2,"""發生系統錯誤。<br>請稍待片刻，再重新嘗試。<br><br>[No.2301]"""
ErrorHas#1,"""已持有「玩家ID名稱變更權」，<br>不需要再購買。"""
BuyFailure#1,"""購買失敗。"""
InfoCaptionPossible#0,"""可創立數量"""
InfoCaptionAc#0,"""持有AC"""
InfoCaptionMax#0,"""總角色數"""
PlayTime_Day#0,"""$(0)天$(1)小時$(2)分$(3)秒"""
PlayTime#0,"""$(0)小時$(1)分$(2)秒"""
MobileWrongShip#0,"""與<yellow>『夢幻之星ONLINE2 es』<c><br>連動的角色<br>登録於以下艦船。<br><br>\u3000<yellow>・$(0)<c><br><br><yellow>想選擇連動角色時，<br>須按「返回」鍵回到艦船選擇畫面<br>再重新登録。<c>"""
NameError_Include#0,"""玩家ID名稱可能包含無法使用<br>的記號，<br>或玩家ID名稱的前後<br>包含了半角或全角空白符號。"""
NameError_NGword#0,"""玩家ID名稱<br>包含無法使用的語句。"""
NameError_Unchanged#1,"""由於角色名稱沒有變更，<br>因此取消了操作。"""
FormName#4,"""角色名稱確認"""
Notice_Change#1,"""角色名稱變更為<br>$(0)<br>確定麼？<br><br><yellow>・角色名稱變更後<br>$(1)天内無法再次進行變更。<c><br><br><yellow>・所購買的變更權，在確定變更之前，<br>既使不是購買變更權的角色也可以使用。<c><br><br><yellow>・變更權在毎次確定變更角色名稱時都會消耗一個。<br>要變更數個角色的名稱時，<br>須購買與欲變更的角色人數相同數量的變更權。<c>"""
Success_Change#1,"""角色名稱變更成功。"""
Failure_Change#1,"""角色名稱變更失敗。"""
ErrorNoTicket#1,"""未持有角色名稱變更權，<br>未能變更名稱。"""
ErrorName#1,"""無法使用這個角色名稱。<br>請輸入其他名稱。"""
ErrorDone#3,"""角色名稱變更已停止，<br>購買失敗。"""
ErrorTime#2,"""自上次變更角色名稱起<br>還未經過30天，<br>未能變更名稱。"""
ErrorUnchanged#1,"""由於角色名稱沒有變更，<br>因此取消了操作。"""
ErrorOther#3,"""發生系統錯誤，<br>未能變更名稱。"""
ParamError#0,"""因為角色資料的問題，<br>新建創立失敗。<br><br>[No.2303]"""
CharaNumMax#1,"""角色創立數量達到上限。<br>若欲創立新角色<br>請先刪除現有的角色。"""
SystemError#1,"""系統錯誤。<br>請稍待片刻，再重新嘗試。<br><br>[No.2304]"""
ConsumeCheck#2,"""<pict Arcscash><c ff4f3f>AC消費內容<c><br>創立新角色時需要$(0)AC。<br>要購買麼？"""
ShortageAC#2,"""AC數量不足，創立失敗。"""
Spec#0,"""OS：$(0)<br>CPU：$(1)<br>Memory：$(2)<br>GPU：$(3)<br>顯伽驅動程序：$(4)"""
Level4#0,"""團隊合作也沒問題。<br>12個人應該有點勉強。<br>2級的話應該能執行。"""
Level5#0,"""沒問題可以玩。依設定内容而會變的流暢<br>3級可以執行。"""
Level6#0,"""可以遊玩的很順暢。<br>3級可以執行。"""
Level7#0,"""沒問題可以玩。提高分辨率也許不錯。<br>4級可以執行。"""
Level8#0,"""高分辨率也沒問題。<br>5級沒有問題。"""
RebVersion#0,"""Benchmark NGS Ver.$(0)"""
UseAgreement_Title#2,"""使用條款"""
UseAgreement_Message#2,"""本ソフトウェアをご利用頂くためには、<br>ソフトウェア使用許諾契約書（以下「本使用許諾契約書」といいます）の<br>ほか、別途弊社がインターネット上の公式サイト内に掲示する注意事項、<br>ガイドライン等（以下「ガイドライン等」といいます）に<br>同意・承諾して頂く必要があります。<br>本ソフトウェアの使用開始前にガイドライン等もご確認下さい。<br>なお、本ソフトウェアを無償で取得された（有償の雑誌等に<br>付録等として添付されていた場合を含みます）お客様については、<br>本ソフトウェアの使用開始をもって、<br>ガイドライン等に同意・承諾頂いたものとさせて頂きます。<br><br>株式会社セガ"""
Menu_Title#0,"""跑分測試菜單"""
Menu_1#0,"""開始跑分測試"""
Menu_2#0,"""創立角色"""
Menu_3#0,"""授權許可"""
Menu_4#0,"""設置"""
Menu_5#0,"""遊戲結束"""
Level1#0,"""根據處理負荷，運行可能會變得不流暢，<br>因此還請嘗試降低設定中的「簡易畫質設置」。<br>但若是已設置為了1，<br>則無法保證可以流暢運行『PSO2：NGS』。"""
Level2#0,"""預計遊戲會標準運行。<br>若設定中的「簡易畫質設置」在5以下，<br>可以嘗試再調高一些。"""
Level3#0,"""預計遊戲會流暢運行<br>若設定中的「簡易畫質設置」在5以下，<br>可以嘗試再調高一些。"""
UseAgreementURL#2,"""https://new-gen.pso2.jp/benchmark/download/"""
YesText#0,"""是"""
NoText#0,"""否"""
CloseText#0,"""關閉"""
OpenText#0,"""打開"""
MaxText#0,"""最大化"""
MinText#0,"""最小化"""
Sort#0,"""排序"""
Fun#0,"""獲得了$(0)FUN。"""
Error_Time#0,"""由於距離上次的艦船移動尚未達$(0)小時<br>因此無法進行艦船移動。"""
Error_Leader#0,"""公會會長無法進行艦船移動。"""
Error_GroupLeader#0,"""公會會長無法進行艦船移動。"""
Error_Param#0,"""參數不正確。<br>艦船間移動結束。"""
Error_System#0,"""未能進行艦船間移動。<br>請稍待片刻，再重新嘗試。"""
Error_Ban#0,"""因為連線状態受限<br>無法進行。"""
Error_NoMoney#0,"""AC數量不足。<br>無法購買「立刻轉船權」。"""
Error_NoTicket#0,"""因為沒有「立刻轉船權」<br>無法進行。"""
SelectTitle#0,"""選擇欲前往的艦船"""
SelectMessage#0,"""請選擇欲前往艦船。<br>※右列顯示現在的擁擠情形。<br>※未運作之艦船無法顯示。"""
SelectDisable#0,"""現在這個角色所在的艦船。<br>無法將此選為目的地。"""
ConfirmTitle#0,"""立刻轉船確認"""
ConfirmMessage#0,"""使用已購買的「立刻轉船權」<br>移動至別的艦船。<br>確定麼？<br>　<br>※要再次轉船，必須經過$(0)小時。"""
ComfirmBuyMessage#0,"""<pict Arcscash><c ff4f3f>AC消費內容<c><br>角色若欲移動至別的艦船，<br>須使用「立刻轉船權」。<br><br>・此角色身上的持有物品將會一同移動至目的地<br>\u3000保存於艦船内倉庫内道具，好友列表，<br>\u3000信件等，均會留在原本的艦船中。<br>・<yellow>詳情請參考官網説明。<c><br><br>・艦船的再次移動需要等24小時。<br><br>確定要以$(0)AC購買「立刻轉船權」麼？<br><br><yellow>持有AC：$(1)<c>"""
Wait#0,"""艦船移動中...<br><br>請稍候。"""
FinishTitle#0,"""艦船移動完成"""
FinishMessage#0,"""艦船移動完成。<br>返回遊戲標題界面。"""
Error_CraftOrder#0,"""轉船時、<br>要取消或完成鍛造<br>申請・依賴清單中的所有内容。<br><br>請確認。"""
RegularConfirmTitle#0,"""定期維護時轉船"""
RegularConfirmMessage#0,"""<pict Arcscash><c ff4f3f>AC消費内容<c><br>將要進行定期維護時轉船的申請。<br>轉船在定期維護時進行，<br>轉船時消耗$(1)AC。<br><br>・只會帶著道具背包裏的道具。<br>\u3000原艦船的倉庫内容、好友列表、信件等<br>\u3000都會留在原來的艦船。<br>\u3000<yellow>詳情請參考官網説明。<c><br><br>目標艦船：<yellow>$(2)<c><br>要申請「定期維護時轉船」麼？<br><br><yellow>現有AC：$(0)<c>"""
RegularWait#0,"""正在申請定期维护时轉船・・・<br><br>請稍等。"""
RegularFinishTitle#0,"""定期維護時轉船"""
RegularFinishMessage#0,"""完成了定期維護時轉船申請。<br><br><yellow>※申請人數多或運營原因，<br>　申請有時會順延到下一週。<c><br><br>將移動時，如果現有的AC不足$(0)<br>將會取消申請，<br>還請注意。<br>返回遊戲標題界面。"""
RequestNum1#0,"""<green>較少<c>"""
RequestNum2#0,"""<green>普通<c>"""
RequestNum3#0,"""<red>很多<c>"""
RequestNum4#0,"""<red>非常多<c>"""
CancelRegularConfirmTitle#0,"""定期維護時轉船"""
CancelRegularConfirmMessage#0,"""現在申請向 <yellow>$(0)<c> 移動。<br><br>將要撤銷定期維護時轉船的申請。<br>確定麼？"""
CancelRegularWait#0,"""正在取消定期維護時轉船申請・・・<br><br>請稍等。"""
CancelRegularFinishTitle#0,"""定期維護時轉船"""
CancelRegularFinishMessage#0,"""撤銷成功。<br>返回遊戲標題界面。"""
Enquete_Title#0,"""登入問卷"""
Enquete_mes01#0,"""該問題面向一定時間未登入的玩家。<br>　您再一次想要遊玩「PSO2」，是因為什麼契機呢？"""
Enquete_Answer00#0,"""■請從下方的列表中，選擇最符合的選項。"""
Enquete_Answer01#0,"""1. 官方Twitter情報"""
Enquete_Answer02#0,"""2. 官方Web節目(YouTube等)"""
Enquete_Answer03#0,"""3. 官方漫画・動畫"""
Enquete_Answer04#0,"""4. 官方認定主播的直播"""
Enquete_Answer05#0,"""5. 普通玩家的社交平台投稿"""
Enquete_Answer06#0,"""6. 普通玩家的直播或視頻"""
Enquete_Answer07#0,"""7. 遊戲情報網站上的新聞文章"""
Enquete_Answer08#0,"""8.  橫幅廣告・視頻廣告(YouTube等)"""
Enquete_Answer09#0,"""9. PS Store與Nintendo Switch™的情報"""
Enquete_Answer10#0,"""10. 其他"""
Enquete_Thanks_Title#0,"""登入問卷"""
Enquete_Thanks_mes#0,"""感謝您的回答。<br>作為贈禮，贈送給了您10SG。<br><br>還請繼續享受『PSO2：NGS』的樂趣。"""
Comeback_Thanks_Title#0,"""訊息"""
Comeback_Thanks_mes#0,"""作為回歸的贈禮，贈送給您$(0)。<br><br>還請繼續享受『PSO2』的樂趣。"""
Comeback_IconConfig_Title#0,"""確認圖標的顯示"""
Comeback_IconConfig_mes#0,"""要對周圍的玩家顯示“回歸玩家圖標<pict Comeback>”<br>表示自己是回歸玩家麼？<br>該圖標將顯示在角色名的左側。<br><br><yellow>※可在設置的“遊戲設置”中<br>　切換顯示/不顯示圖標。"""
ButtonReset_Title#0,"""確認操作設置"""
ButtonReset_Text#0,"""由於遊戲手柄的操作設置中的<br>“確定”與“取消”等重要功能的分配存在問題，<br>可能會有無法進行正常操作的情況出現。<br><br>要自動修復分配麼？<br><br><yellow>※若未回答，則將於10秒後自動修復。<c>"""
ButtonReset_Check#0,"""以後不再顯示此視窗"""
ButtonReset_Yes#0,"""是"""
ButtonReset_No#0,"""否"""
PrivacyCheckTitle#0,"""關於隱私情報的獲取"""
PrivacyCheckMessage#0,"""プライバシー情報を取得することに関する許可を得るメッセージ（仮）"""
PrivacyCheckDenial#0,"""若不許可獲取隱私情報<br>則無法開始遊戲。<br>將返回標題界面。"""
DobCheckTitle#0,"""確認出生年月日"""
DobCheckMessage#0,"""為了提供適合您的內容<br>請輸入出生年月日。"""
DobCheckMonth#0,"""月"""
DobCheckDay#0,"""日"""
DobCheckYear#0,"""年"""
PrivacyDelTitle#0,"""關於個人情報"""
PrivacyDelMessage#0,"""個人情報についてのメッセージ（仮）"""
WindowSetting#0,"""窗口/文字尺寸設置"""
WindowSetting_Text#0,"""請設置在遊戲中顯示的<br>窗口與文字的大小。<br>※『PSO2』線路專用"""
WindowSetting_Button_S#0,"""小"""
WindowSetting_Button_M#0,"""中"""
WindowSetting_Button_L#0,"""4K-小"""
WindowSetting_Button_4KS#0,"""4K-中"""
WindowSetting_Button_4KM#0,"""4K-大"""
