Title_DeadMenu#0,"""Incapacitation Menu"""
FighterPhotonFlood#1,"""フォトンフラッド"""
FighterUnFlatBonus#1,"""アンフラット<br>ボーナス"""
FighterTecArtsJABonus#1,"""テックアーツボーナス"""
FighterPPSlayer#1,"""PPスレイヤー"""
FighterKnuckleSwayCounter#1,"""Knuckle Sway <br>Counter"""
FighterChaseAdvance#1,"""Defeated <br>Advantage"""
FighterChaseAdvancePPRecovery#1,"""Defeated <br>PP Recovery"""
FighterTecArtsSkipAttack#1,"""Another Art <br>Skip Attack Fi"""
FighterSameArtsSkipAttack#1,"""Same Art <br>Skip Attack Fi"""
FighterSkipArts#1,"""Fighter <br>Skip Arts"""
FighterTDAnotherDerive#1,"""Accelerator Drive"""
FighterTDSpinCounter#1,"""Dagger Spin <br>Counter"""
FighterTDAttackExtra#1,"""Dagger Attack <br>Extra"""
FighterDSDodgeWindCounter#1,"""Saber Parry <br>Counter"""
FighterDSDodgeWindWACounter#1,"""Saber Parry <br>Another Counter"""
FighterDSDeadlyArcher#1,"""Deadly Archer"""
FighterDSEnhanceAttack#1,"""Spiral Drive"""
GunnerChainTrigger#1,"""Chain Trigger"""
GunnerChainFinish#1,"""チェインフィニッシュ"""
GunnerChainFinishTimeBonus#1,"""Chain Trigger <br>Quick Reload"""
GunnerSRollArts#1,"""Stylish Roll <br>Arts"""
GunnerCounterPABurst#1,"""Stylish Roll <br>Strike Back"""
GunnerChainBoost#1,"""Chain Boost"""
GunnerNeutralDeadApproach#1,"""Stylish <br>Onslaught"""
GunnerPerfectKeeper#1,"""パーフェクト<br>キーパー"""
GunnerChainFinishBonus#1,"""チェインフィニッシュ<br>ボーナス"""
GunnerNeoTime#1,"""ネオタイム"""
GunnerNeoTimeBlastBonus#1,"""ネオタイム<br>ブラストボーナス"""
GunnerNeoTimePPRefresh#1,"""ネオタイム<br>PPリフレッシュ"""
GunnerAirAttackBonus#1,"""エアアタック<br>ボーナス"""
GunnerReactionWeak#1,"""リアクションウィーク"""
GunnerFallSlowAttack#1,"""Slow Landing <br>Attack Gu"""
GunnerFallSlowCharge#1,"""Slow Landing <br>Charge Gu"""
GunnerGaugeShotGun#1,"""Spread Shot"""
GunnerGaugeShotGunAway#1,"""Spread Shot <br>Quick Escape"""
GunnerAttackPPRestraint#1,"""Attack <br>PP Recovery"""
GunnerOverWhelm#1,"""Overwhelm"""
TechterShiftaDeband#1,"""Shifta-Deband"""
TechterPartyAssist#1,"""Shifta-Deband <br>Party Share"""
TechterWandElementChange#1,"""Wand Element <br>Change"""
TechterWandElementDiscard#1,"""Wand Element <br>Revoke"""
TechterHeal#1,"""Resta Field Te"""
TechterWandGuardCounter#1,"""Wand Parry <br>Counter"""
TechterAssistField#1,"""シフタ・デバンド<br>フィールド"""
TechterWandLovers#1,"""Wand Lovers"""
TechterWandCounterReflection#1,"""Wand Guard <br>Reflection"""
TechterShiftaStrike#1,"""Shifta Effect <br>Amplify"""
TechterShiftaAdvance#1,"""Shifta Effect <br>Advantage"""
TechterDebandCut#1,"""Deband Resist <br>Bad Condition"""
TechterDebandPpReStraight#1,"""Deband <br>PP Recovery Up"""
TechterExtendAssist#1,"""Shifta-Deband <br>Extend"""
TechterElementWeakBonus#1,"""Weak Element <br>Amplify"""
TechterAwakeYell#1,"""Awake Yell"""
TechterReverseBonus#1,"""Reverser Bounty"""
TechterWandGuardCounterEdge#1,"""Wand Parry <br>Counter Advance"""
TechterFallSlowCharge#1,"""Slow Landing <br>Charge Te"""
TechterBartaBlot#1,"""Barta Blot"""
TechterZondeClad#1,"""Zonde Clad"""
ForceTalisTecBurst#1,"""Tricky Capacitor"""
TechterTalisTecBurst#1,"""Tricky Capacitor"""
TechterTalisQuickMarkShot#1,"""Float Pillbox <br>Multi-Lock"""
TechterTalisSetRevok#1,"""Talis Bloom <br>Revoke"""
YesText#0,"""Yes"""
NoText#0,"""No"""
CloseText#0,"""Close"""
OpenText#0,"""Open"""
MaxText#0,"""Max."""
MinText#0,"""Min."""
Sort#0,"""Sort"""
Copy#0,"""Copy"""
Peaste#0,"""Paste"""
NextText#0,"""Next"""
PrevText#0,"""Prev."""
DecideText#0,"""Accept"""
CancelText#0,"""Cancel"""
OKText#0,"""OK"""
ReturnText#0,"""Return"""
TitleText#0,"""Message"""
CheckText#0,"""Don't open again"""
NoneText#0,"""None"""
Preview#0,"""Preview"""
SimplePreview#0,"""簡易プレビュー"""
Skip#0,"""次に表示される選択肢、または終了まで<br>イベントシーンをスキップします。<br><br>よろしいですか？"""
SkipMovie#0,"""動画再生を終了します。<br><br>よろしいですか？"""
SymbolArt_BANtext#0,"""そのシンボルアートは、現在保存することができません。"""
TimeText#0,"""$(0)分$(1)秒$(2)"""
NumItem#0,"""$(0)を$(1)個"""
NumItem2#0,"""$(0)×$(1)"""
Bracket#0,"""（$(0)）"""
SquareBracket#0,"""「$(0)」"""
SkipNaviKey#0,"""<yellow>【[Esc]キー】<c>でスキップ"""
SkipNaviButton#0,"""<yellow>【<c><%AllWindowClose><yellow>ボタン】<c>でスキップ"""
PreviewZoom#0,"""<%Exception><pict 4space>モード切替（<c cfcfcf>回転拡大<c>/<yellow>平行移動<c>）"""
PreviewZoom_mouse#0,"""<pict mouse_right><pict 4space>モード切替（<c cfcfcf>回転拡大<c>/<yellow>平行移動<c>）"""
PreviewMove#0,"""<%Exception><pict 4space>モード切替（<yellow>回転拡大<c>/<c cfcfcf>平行移動<c>）"""
PreviewMove_mouse#0,"""<pict mouse_right><pict 4space>モード切替（<yellow>回転拡大<c>/<c cfcfcf>平行移動<c>）"""
CBT_BillingRestrictions#0,"""クローズドベータテストでは、<br>ACを購入できません。"""
TargetInfo_Level#0,"""Lv.$(0)"""
TargetInfo_Name#0,"""$(0) $(1)"""
TargetInfo_WeekAndResist#0,"""$(0)"""
TargetInfo_WeakPoint#0,"""Weakness"""
TargetInfo_Resist#0,"""Resistance"""
Title#0,"""Simple Status"""
StatusLabePower#0,"""Power Level"""
StatusLabeJob#0,"""$(0) """
StatusLabelLevel#0,"""Lv."""
StatusLabelExp#0,"""Experience Points"""
MainStatusLabelExp#0,"""EXP"""
StatusLabelNextExp#0,"""Until Next Level"""
MainStatusLabelNextExp#0,"""Next Level"""
SubStatusLabelNextExp#0,"""Next Level (Sub Class)"""
StatusLabelMeseta#0,"""<pict reb_meseta> Meseta"""
StatusLabelSeasonPoint#0,"""9周年シーズナルポイント"""
StatusLabelSeasonPointValue#0,"""$(1) /$(0)"""
StatusLabelFun#0,"""FUN"""
StatusLabelAc#0,"""AC"""
StatusLabelTicket#0,"""Premium Status"""
StatusLabeMainClass#0,"""Main Class"""
StatusLabelSubClass#0,"""Sub Class"""
MiKakin#0,"""Unused"""
IsPremium#0,"""<yellow>Premium Duration<c>"""
NonPremium#0,"""<red>Premium Expired<c>"""
KakinGire#0,"""<red>Expired<c>"""
NetCafe#0,"""<green>Net Cafe Premium<c>"""
NoJob#0,"""None"""
Excube#0,"""Excube Status"""
MainExcube#0,"""Until Next Cube"""
SubExcube#0,"""Until Next Cube (Sub Class)"""
ExpBlank#0,"""－"""
StatusLabelSg#0,"""Star Gems (SG)"""
LevelMax#0,"""($(0))"""
LevelMaxHide#0,"""(-)"""
RemainingDaysUp#0,"""$(0) day(s) remaining"""
RemainingDays#0,"""$(0) day(s) left"""
RemainingHour#0,"""$(0) hour(s) left"""
RemainingHourLess#0,"""Less than $(0) hour(s) left"""
StatusLabePowerAndMaxPower#0,"""Power Level"""
StatusLabePowerAndMaxPowerNumber#0,"""$(0)"""
GoToTask#0,"""View Tasks with <%Function>"""
RemainingDayHourMin#0,"""Days: $(0) Hours: $(1) Minutes: $(2)"""
StatusLabelSeasonPointPossession#0,"""Points Total"""
StatusLabelSeasonPointWeeklyLimit#0,"""Weekly Points Earned"""
HateTime#0,"""Effect Duration"""
HateEffectValue#0,"""Effect Amount"""
HealRate#0,"""Recovery Amount"""
DownRateAll#0,"""Damage Reduction Rate"""
AtpDownRate#0,"""ATP Reduction Rate"""
PpUseUpRate#0,"""PP Consumption Rate"""
PpUseDownRate#0,"""PP Consumption Reduction Rate"""
CriticalRate#0,"""会心距離時ゲージ蓄積量"""
AtpAndDownRate#0,"""威力・ダウン値上昇率"""
Range#0,"""Effect Range"""
AtpRateLow#0,"""HP75％以上時威力"""
DownRateLow#0,"""HP75％以上時ダウン値"""
AtpRateHigh#0,"""HP100％時威力"""
DownRateHigh#0,"""HP100％時ダウン値"""
AtpRateProper#0,"""会心距離クリティカル威力"""
AtpRateMiss#0,"""非適正距離クリティカル威力"""
CriticalInstantProper#0,"""会心距離クリティカル率"""
CriticalInstantMiss#0,"""非適正距離クリティカル率"""
AttackSpeedRateLv1#0,"""Attack Speed Boost (up to 50 Chain)"""
AttackSpeedRateLv2#0,"""Attack Speed Boost (up to 80 Chain)"""
AttackSpeedRateLv3#0,"""Attack Speed Boost (81 Chain or more)"""
AttackSpeedRateMax#0,"""Maximum Attack Speed Boost"""
AddPpMax#0,"""Added PP"""
MulMaxHpRate#0,"""Max HP Reduction Rate"""
PpRate#0,"""Base PP"""
RecoveryEffectRateOther#0,"""Recovery Power Rate"""
RecoveryEffectRateSelf#0,"""Recovery Power Rate"""
AtpRateDown#0,"""ATP Reduction Rate"""
DownRateDown#0,"""ダウン値低下率"""
DfpRate#0,"""被ダメージ低下率"""
MaxTime#0,"""最大効果時間"""
CriticalInstantNeoTimeM#0,"""75～99%時クリティカル率"""
PpHealRateNeoTimeM#0,"""75～99%時PP自動回復量"""
CriticalInstantNeoTimeH#0,"""100%時クリティカル率"""
PpHealRateNeoTimeH#0,"""100%時PP自動回復量"""
DamageRate#0,"""Damage Rate"""
BasePoint#0,"""Base Value"""
PlusHealRate#0,"""Add. Recovery Amount"""
SkillPpRate#0,"""Base PP"""
AttackDownRate#0,"""物理ダウン時威力"""
Count#0,"""最大ストック数"""
PhotonBlastGaugeAddValue#0,"""フォトンブラストゲージ上昇率"""
PreCount#0,"""初期ストック数"""
AddRate#0,"""Weak Bullet強化率"""
AddTime#0,"""Weak Bullet延長時間"""
PbBonus#0,"""Photon Blast Gauge Boost Rate"""
PPRecover#0,"""PP Recovery Amount"""
GrenadeAtpRate#0,"""Grenade Damage"""
TrapAtpRate#0,"""Trap Attack Damage"""
ForcePhotonFlareTecShortChargeRate#0,"""チャージ時間短縮率"""
StatusEffectValueMain#0,"""状態異常蓄積値(メイン)"""
StatusEffectValueSub#0,"""状態異常蓄積値(サブ)"""
StatusEffectDurationMain#0,"""状態異常時間(メイン)"""
StatusEffectDurationSub#0,"""状態異常時間(サブ)"""
DecreaseHP#0,"""消費HP"""
PPRecoverRateMain#0,"""PP回復速度(メイン)"""
PPRecoverRateSub#0,"""PP回復速度(サブ)"""
ChargeDuration#0,"""チャージ時間"""
PPRecoverRate#0,"""PP回復率"""
MaxPPRecover#0,"""最大PP回復量"""
KillingPPRecover#0,"""撃破時PP回復量"""
DownPPRecover#0,"""ダウン時PP回復量"""
EffectRange#0,"""効果範囲"""
PPRecoverValue#0,"""PP Recovery"""
DurationDecreaseRate#0,"""持続時間減少率"""
PPRecoverValueMain#0,"""PP回復量(メイン)"""
PPRecoverValueSub#0,"""PP回復量(サブ)"""
PhysicalDownAtpRateMain#0,"""物理ダウン時威力(メイン)"""
PhysicalDownAtpRateSub#0,"""物理ダウン時威力(サブ)"""
ElementDownAtpRateMain#0,"""属性ダウン時威力(メイン)"""
ElementDownAtpRateSub#0,"""属性ダウン時威力(サブ)"""
PhysicalDownPPRecoverRateMain#0,"""物理ダウン時PP回復(メイン)"""
PhysicalDownPPRecoverRateSub#0,"""物理ダウン時PP回復(サブ)"""
ElementDownPPRecoverRateMain#0,"""属性ダウン時PP回復(メイン)"""
ElementDownPPRecoverRateSub#0,"""属性ダウン時PP回復(サブ)"""
DamageRateMain#0,"""Damage Taken (Main)"""
DamageRateSub#0,"""Damage Taken (Sub)"""
DamageStoreRate#0,"""ダメージ蓄積率"""
DownRate#0,"""ダウン値増加"""
ElementDownRate#0,"""属性ダウン値増加"""
DonwAtpRate#0,"""ダウン時威力"""
StatusEffectValue#0,"""状態異常蓄積値"""
PPRecoverSpeed#0,"""PP自然回復速度"""
MaxDuration#0,"""最大効果時間"""
EffectTime#0,"""効果時間"""
PBRateMain#0,"""PBゲージ上昇量(メイン)"""
PBRateSub#0,"""PBゲージ上昇量(サブ)"""
DecreaseTime#0,"""減少時間"""
ReduceRecast#0,"""Cooldown Reduction"""
DamageReductionMainRate#0,"""ダメージ軽減率(メイン)"""
DamageReductionSubRate#0,"""ダメージ軽減率(サブ)"""
PPHealPoint#0,"""PP Recovery"""
AddPP#0,"""PP Recovery"""
AttackDownSubRate#0,"""物理ダウン時威力(サブ)"""
ElementDownSubRate#0,"""属性ダウン時威力(サブ)"""
AttackDownPPRate#0,"""物理ダウン時PP回復率"""
ElementDownPPRate#0,"""属性ダウン時PP回復率"""
AttackDownPPSubRate#0,"""物理ダウン時PP回復率(サブ)"""
ElementDownPPSubRate#0,"""属性ダウン時PP回復率(サブ)"""
GuardRateMain#0,"""状態異常蓄積率(メイン)"""
GuardRateSub#0,"""状態異常蓄積率(サブ)"""
GuardRate#0,"""状態異常蓄積率"""
EaseRateMain#0,"""状態異常時間(メイン)"""
EaseRateSub#0,"""状態異常時間(サブ)"""
ForceTalisConcentrateRate#0,"""持続時間"""
ActionPpRate#0,"""PP消費低下率"""
PpActionRateAccumulation#0,"""消費PP変換率"""
PpHealMaxVolume#0,"""PP Recovery"""
PpHealValue#0,"""PP Recovery"""
PpRecoveryDeathState#0,"""エネミー撃破時PP回復量"""
MainRecoveryRate#0,"""PP自然回復量(メイン)"""
SubRecoveryRate#0,"""PP自然回復量(サブ)"""
Stock#0,"""Maximum Stocks"""
PpHealVal#0,"""PP Recovery"""
PpRecoveryRateMain#0,"""PP自然回復量(メイン)"""
PpRecoveryRateSub#0,"""PP自然回復量(サブ)"""
PBGaugeAddValueMain#0,"""PBゲージ上昇量(メイン)"""
PBGaugeAddValueSub#0,"""PBゲージ上昇量(サブ)"""
NumberRequired#0,"""No. Required"""
PhysicalDownRate#0,"""物理ダウン値増加"""
ElementDownAtpRate#0,"""属性ダウン時威力"""
AttackDownRateMain#0,"""物理ダウン時威力(メイン)"""
AttackDownPPRateMain#0,"""物理ダウン時PP回復率(メイン)"""
ElementDownPPRateMain#0,"""属性ダウン時PP回復率(メイン)"""
PpUse#0,"""PP消費量"""
PATitle#0,"""Photon Art Details"""
TechnicTitle#0,"""Technique Details"""
OverloadTitle#0,"""Compound Tech Details"""
SkillTitle#0,"""Skill Details"""
NoSelectPAMessage#0,"""フォトンアーツが選択されていません"""
NoSelectTechnicMessage#0,"""テクニックが選択されていません"""
NoSelectOverloadMessage#0,"""複合テクニックが選択されていません"""
Power#0,"""Power"""
Dex#0,"""Dexterity"""
NeedPp#0,"""PP Cost"""
PowerValue#0,"""$(0)"""
DexValue#0,"""$(0)％"""
EffectValue#0,"""$(0)％"""
Burn#0,"""Burn"""
Shock#0,"""Shock"""
Freeze#0,"""Freeze"""
Bind#0,"""Bind"""
Silence#0,"""Silence"""
Poison#0,"""Poison"""
Break#0,"""Break"""
Injury#0,"""Injury"""
Curse#0,"""Curse"""
Stun#0,"""Stun"""
Panic#0,"""Panic"""
Mirage#0,"""Mirage"""
TechnicCustomize#0,"""Customization Performance"""
Merit#0,"""Merit"""
Demerit#0,"""Demerit"""
Special#0,"""Special Effects"""
Custom1#0,"""Custom Type 1"""
Custom2#0,"""Custom Type 2"""
ActionChange#0,"""Change Behavior"""
PetTitle#0,"""Pet Details"""
NeedGauge#0,"""Stock Cost"""
NeedGaugeValue#0,"""$(0) (Max Stock: $(1))"""
NotFoundGaugeValue#0,"""現在装備している武器では<br>解式PAは使用できません。"""
MyshopTitle#0,"""出品確認"""
MyshopMessage#0,"""スタージェムを入手していない服を<br>登録しようとしています。<br>よろしいですか？"""
TradeTitle#0,"""登録確認"""
TradeMessage#0,"""スタージェムを入手していない服を<br>登録しようとしています。<br>よろしいですか？"""
TeamWarehouseTitle#0,"""Message"""
TeamWarehouseMessage#0,"""スタージェムを入手していない服を<br>チーム倉庫に預けようとしています。<br><br>チーム倉庫に預けた服の愛着度ゲージは<br>リセットされます。<br><br>よろしいですか？"""
TeamWarehouseTitle2#0,"""Message"""
TeamWarehouseMessage2#0,"""このアイテムをチーム倉庫に移動します。<br>よろしいですか？<br><br>チーム倉庫に預けた服の愛着度ゲージは<br>リセットされます。<br><br><yellow>※チーム倉庫は他プレイヤーも利用するので<br>\u3000ご利用の際はご注意ください。<c>"""
PresentBoxTitle#0,"""Message"""
PresentBoxMessage#0,"""スタージェムを入手していない服を<br>プレゼントボックスに入れようとしています。<br>よろしいですか？"""
GachaTitle#0,"""Message"""
GachaMessage#0,"""スタージェムを入手していない服を<br>フォトガチャンに入れようとしています。<br>よろしいですか？"""
RecycleTitle#0,"""確認"""
RecycleMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>と、選択したアイテムを交換します。<br><yellow>※以下のアイテム以外は消費されません。<c><br><red>※選択したアイテムにスタージェムを<br>入手していない服が含まれています。<c><br>よろしいですか？"""
RecycleMessageVita#0,"""<c f0df60>$(0)<c>×$(1)<br>と、選択したアイテムを交換します。<br><yellow>※以下のアイテム以外は消費されません。<c><br><red>※選択したアイテムにスタージェムを<br>入手していない服が含まれています。<c><br>よろしいですか？"""
RewardPopupMenu#0,"""スタージェムを入手する"""
RewardTitle#0,"""スタージェム入手確認"""
RewardMessage#0,"""愛着度ゲージが最大になったため、<br>この服からスタージェムを入手できます。<br><br>スタージェムを入手しますか？"""
RewardGetFailed#0,"""スタージェムを入手できませんでした。"""
CharaMenu_Party00#0,"""Party"""
CharaMenu_Party01#0,"""Invite to Party"""
CharaMenu_Party02#0,"""Change Party Leader"""
CharaMenu_Party03#0,"""Remove from Party"""
CharaMenu_Party04#0,"""Join Party"""
CharaMenu_Bl01#0,"""Block Player"""
CharaMenu_Bl02#0,"""Unblock Player"""
CharaMenu_Guild00#0,"""Team"""
CharaMenu_Guild01#0,"""Scout into Team"""
CharaMenu_Guild02#0,"""Concede Team Master"""
CharaMenu_Guild03#0,"""Kick from Team"""
CharaMenu_Guild04#0,"""Promote to Manager"""
CharaMenu_Guild05#0,"""Promote to Common Member"""
CharaMenu_Guild06#0,"""Demote to Common Member"""
CharaMenu_Guild07#0,"""Demote to Visitor"""
CharaMenu_Guild08#0,"""Team Merger Application"""
CharaMenu_Chat01#0,"""Send a Whisper"""
CharaMenu_Chat02#0,"""-"""
CharaMenu_Mail01#0,"""Send Mail"""
CharaMenu_Item01#0,"""-"""
CharaMenu_Item02#0,"""Trade <pict Arcscash>"""
CharaMenu_Friend01#0,"""Add as Friend"""
CharaMenu_Friend02#0,"""Remove from Friend"""
CharaMenu_Friend03#0,"""Receive Login Calls"""
CharaMenu_Friend04#0,"""Don't Receive Login Calls"""
CharaMenu_Friend05#0,"""Move to Block"""
CharaMenu_Friend06#0,"""View ARKS Card"""
CharaMenu_Friend07#0,"""Display Priority Setting"""
CharaMenu_Friend08#0,"""Group Settings"""
CharaMenu_MyRoom01#0,"""Remove from Room"""
CharaMenu_MyRoom02#0,"""Visit Room"""
CharaMenu_Chara01#0,"""Send a Good Job"""
CharaMenu_Chara02#0,"""View Character Information"""
CharaMenu_Chara03#0,"""View Fashion Information"""
CharaMenu_Chara04#0,"""View Fashion Catalog"""
CharaMenu_Chara05#0,"""Register Fashion"""
CharaMenu_Apc01#0,"""Remove from Party"""
CharaMenu_Action01#0,"""Mimic"""
CharaMenu_Action02#0,"""React"""
ClickCharaName#0,"""Selected $(0)."""
CharaMenu_Error01#0,"""自分のアカウントは選択することはできません。"""
CharaMenu_Message_Delete01#0,"""Delete Message"""
CharaMenu_GuildRoom01#0,"""Visit Team Room"""
CharaMenu_GuildRoom02#0,"""Remove from Team Room"""
CharaMenu_moralskeeper_category#0,"""Personal Commands"""
CharaMenu_moralskeeper_menu#0,"""Report Player"""
CharaMenu_category00#0,"""Character"""
CharaMenu_category01#0,"""Communication"""
CharaMenu_category02#0,"""Friend"""
CharaMenu_category03#0,"""Other"""
CharaMenu_Error02#0,"""This character cannot be selected."""
CharaMenu_TypeChange#0,"""Swap Display Format"""
CharaMenu_ToastType1#0,"""Swapped to Category Display."""
CharaMenu_ToastType2#0,"""Swapped to List Display."""
CharaMenu_GroupChat#0,"""Group"""
CharaMenu_GroupChatChange#0,"""Change Group Leader"""
CharaMenu_GroupChatDelete#0,"""Remove from Group"""
CharaMenu_Gamertag#0,"""-"""
OperationGuide#0,"""<%Decide> Select\u3000<%Cancel> Back"""
Title#1,"""Class Counter"""
MainClass#0,"""Main Class"""
SubClass#0,"""Sub Class"""
Class#0,"""Class"""
MainClassSelect#0,"""Select a Main Class"""
SubClassSelect#0,"""Select a Sub Class"""
ClassSelect#0,"""Select a Class"""
SkillTree#0,"""Skill Tree"""
SkillTreeConfig#0,"""Obtain Class Skills"""
SkillTreeSelect#0,"""Select a Skill Tree"""
ClassChangeTitle#0,"""Change Class"""
AutoSkillTreeConfig#0,"""Recommended Skill Tree"""
ClassLevel#0,"""Lv.(MAX)"""
SkillTreeConfirmTitle#0,"""Skill Confirmation"""
MainClassChangeMessage#0,"""$(0) Lv.$(1)にメインクラスを変更します。<br>よろしいですか？"""
MainClassChangeSuccess#0,"""Main Class has been changed."""
SubClassChangeMessage#0,"""$(0) Lv.$(1)をサブクラスに選択します。<br>サブクラスに選択すると、そのクラスの……<br> <br>\u3000・ステータスの能力値が少し加算されます。<br>\u3000・スキルが使用可能になります。<br>\u3000・ＰＡ／テクニックが使用可能になります。<br><br>よろしいですか？"""
SubClassChangeMessageVillain#0,"""$(0) Lv.$(1)をサブクラスに選択します。<br>サブクラスに選択すると、そのクラスの……<br> <br>\u3000・ステータスの能力値が少し加算されます。<br>\u3000・スキルが使用可能になります。<br>\u3000・テクニックが使用可能になります。<br>\u3000<yellow>※$(0)のPAは使用できません。<c><br><br>よろしいですか？"""
SubClassChangeMessageMaster#0,"""$(0) Lv.$(1)をサブクラスに選択します。<br>サブクラスに選択すると、そのクラスの……<br> <br>\u3000・ステータスの能力値が少し加算されます。<br>\u3000・スキルが使用可能になります。<br>\u3000<yellow>※$(0)のPAは使用できません。<c><br><br>よろしいですか？"""
SubClassChangeMessageSlayer#0,"""$(0) Lv.$(1)をサブクラスに選択します。<br>サブクラスに選択すると、そのクラスの……<br> <br>\u3000・ステータスの能力値が少し加算されます。<br>\u3000・スキルが使用可能になります。<br>\u3000<yellow>※$(0)のPAは使用できません。<c><br><br>よろしいですか？"""
SubClassChangeSuccess#0,"""Sub Class has been changed."""
ClassChangeMessage#0,"""$(0) Lv.$(1)にクラスを変更します。<br>よろしいですか？"""
ClassChangeSuccess#0,"""Changed class successfully."""
ClassChangeFailed#0,"""現在クラスを変更することはできません。"""
ClassChangeFailMessage#0,"""$(0)は現在のクラスです。<br>変更の必要はありません。"""
MainClassChangeFailMessage#0,"""$(0)は現在のメインクラスです。"""
SubClassChangeFailMessage#0,"""$(0)は現在のサブクラスです。"""
SubClassChangeWpnmanFailMessage#0,"""$(0)はサブクラスを選択できません。"""
MainClassChangeWpnmanMessage#0,"""<yellow>※$(0)を選択すると、サブクラスが外れます。<c>"""
MainClassChangeWpnmanFailMessage#0,"""$(0)を選択するには<br>以下の条件を達成する必要があります。<br><br>・コフィーのクライアントオーダー<br>「$(0)クラス解放試験」のクリア<br><yellow>\u3000※いずれかのクラスレベルを７５にすると発生します。<br>\u3000※一度クライアントオーダーをクリアした場合、<br>\u3000\u3000以降のキャラクターは<br>\u3000\u3000レベル７５にする必要はありません。<c>"""
MainClassChangeVillainFailMessage#0,"""$(0)を選択するには<br>以下の条件を達成する必要があります。<br><br>・コフィーのクライアントオーダー<br>「$(0)クラス解放試験」のクリア<br><yellow>\u3000※いずれかのクラスレベルを７５にすると発生します。<br>\u3000※一度クライアントオーダーをクリアした場合、<br>\u3000\u3000以降のキャラクターは<br>\u3000\u3000レベル７５にする必要はありません。<c>"""
MainClassChangeEtoileFailMessage#0,"""$(0)を選択するには<br>以下の条件を達成する必要があります。<br><br>・コフィーのクライアントオーダー<br>「$(0)クラス解放試験」のクリア<br><yellow>\u3000※いずれかのクラスレベルを７５にすると発生します。<br>\u3000※一度クライアントオーダーをクリアした場合、<br>\u3000\u3000以降のキャラクターは<br>\u3000\u3000レベル７５にする必要はありません。<c>"""
MainClassChangeSlayerFailMessage#0,"""$(0)を選択するには<br>以下の条件を達成する必要があります。<br><br>・コフィーのクライアントオーダー<br>「$(0)クラス解放試験」のクリア<br><yellow>\u3000※いずれかのクラスレベルを７５にすると発生します。<br>\u3000※一度クライアントオーダーをクリアした場合、<br>\u3000\u3000以降のキャラクターは<br>\u3000\u3000レベル７５にする必要はありません。<c>"""
SkillTreeAdd#0,"""Add Skill Tree <pict Arcscash>"""
SkillTreeReset#0,"""Reset Skill Tree <pict Arcscash>"""
SkillTreeResetSG#0,"""Reset Skill Tree <pict StarGem>"""
SkillTreeResetAll#0,"""Reset All Skill Trees"""
SkillTreeGet#0,"""Learn Class Skills"""
SkillTreeReturn#0,"""Leave the Class Counter"""
ClassList#0,"""Class List"""
SkillTreeList#0,"""セットしたいスキルツリーリスト"""
SkillTreeAddAsk#0,"""スキルツリーを追加します。<br>よろしいですか？"""
SkillTreeAddSuccess#0,"""スキルツリーを追加しました。"""
SkillTreeAddFailed#0,"""スキルツリーの追加に失敗しました。"""
SkillTreeAddFailedFull#0,"""これ以上追加できません。"""
SkillTreeApplyAsk#0,"""このスキルツリーをセットします。<br>よろしいですか？"""
SkillTreeApplySuccess#0,"""スキルツリーをセットしました。"""
SkillTreeApplyFailed#0,"""スキルツリーのセットに失敗しました。"""
SkillTreeApplyFailedCurrent#0,"""すでにこのスキルツリーをセットしています。"""
SkillTreeApplyFailedQuest#0,"""クエスト受注中はクラスを変更することが<br>できません。"""
SkillTreeResetAsk#0,"""このスキルツリーを振り替えます。<br>よろしいですか？"""
SkillTreeResetSuccess#0,"""スキルツリーを振り替えました。"""
SkillTreeResetFailed#0,"""スキルツリーの振り替えに失敗しました。"""
SkillTreeResetFailedCurrent#0,"""セット中のスキルツリーは振り替えができません。"""
SkillTreeResetAllAsk#0,"""“N-全スキルツリー初期化”を消費して<br>所持している全てのスキルツリーを<br>初期化し、SPを振り直しできるようにします。<br><br>よろしいですか？"""
SkillTreeResetAllSuccess#0,"""すべてのスキルツリーを初期化しました。<br>再度、SPの割り振りを忘れず行ってください。"""
SkillTreeResetAllFailed#0,"""すべてのスキルツリーの初期化に失敗しました。<br>時間をおいて再度実行してください。"""
SkillTreeResetAllFailedNG#0,"""“N-全スキルツリー初期化”を<br>所持していないため、<br>初期化することはできません。"""
ClassSelectExplain#0,"""<c f0df60>「クラス選択」で現在のクラスを変更できます。\u3000「スキルツリー選択」は複数のスキルツリー所有時にセットするものを選択できます。<c>"""
ClassSelectExplain_v#0,"""<c f0df61>「クラス選択」でクラスを変更、\u3000「スキルツリー選択」でスキルツリー複数所有時に選択を行います。<c>"""
SkillTreeAddPath#0,"""<pict Arcscash><pict 4space><c ff4f3f>AC消費コンテンツ<c><br>$(0)用のスキルツリーを追加します。<br><yellow>“N-スキルツリー追加”<c>の購入確認画面に<br>進みますか？<br><br>（所持数：$(1)）"""
SkillTreeAddTicket#0,"""<pict Arcscash><pict 4space><c 5fdf00>購入済アイテムの使用<c><br><yellow>“N-スキルツリー追加”<c>を使用し、<br>$(0)用のスキルツリーを追加しますか？<br><br>（所持数：$(1)）"""
