01_MainLobby_001#0,"""在使用「VIP服務」的期間，委託最多可以同時接受40件。"""
15_ChallengeCommon_100#0,"""チャレンジクエスト専用クラス「チャレンジャー」は<br>あらゆる武器・ユニット・PA・テクニックを使用することができる。"""
15_ChallengeCommon_101#0,"""チャレンジクエスト専用クラス「チャレンジャー」は<br>種族・タイプによるパラメーターの違いがない。"""
15_ChallengeCommon_102#0,"""チャレンジクエスト専用クラス「チャレンジャー」は<br>別のクラスのスタンススキルを２つまで同時に発動できる。"""
15_ChallengeCommon_200#0,"""チャレンジ・ロビーに移動すると、<br>一時的にアイテム、メセタ、カジノコインを預けた状態になる。"""
15_ChallengeCommon_201#0,"""チャレンジ・ロビーではメインメニューの「ファッション編集」が利用できない。"""
15_ChallengeCommon_202#0,"""チャレンジ・ロビーでも、公認ネットカフェからの接続で<br>カフェポイントの時間毎特典は有効となる。"""
15_ChallengeCommon_203#0,"""チャレンジ・ロビーに移動すると、「ブースト＆予告イベント情報！」による<br>獲得経験値やレアドロップ倍率、レアエネミー出現率は無効となる。"""
15_ChallengeCommon_205#0,"""チャレンジ・ロビーに移動すると、ログインスタンプが行われない。<br>通常ブロックに戻ることで、スタンプが押される。"""
15_ChallengeCommon_206#0,"""所属シップと共通シップそれぞれで「グッジョブ」を送ることができる。<br>なお、FUNを得られる回数はあわせて10回である。"""
15_ChallengeCommon_207#0,"""チャレンジ・ロビーに移動すると、<br>アイテムパックの最大所持数が一時的に100個まで拡張される。"""
15_ChallengeCommon_208#0,"""チャレンジ・ロビーに移動すると、<br>武器パレットおよびサブパレットの最大数は一時的に6個となる。"""
15_ChallengeCommon_209#0,"""チャレンジクエストでは、デイリーブースト効果、支援フォトン効果、<br>時限効果、ステージライブ効果、クエスト達成ブースト効果は無効となる。"""
15_ChallengeCommon_210#0,"""チャレンジクエストでは、各種ブーストアイテムは無効となる。<br>また、使用による効果時間のカウントも行われない。"""
15_ChallengeCommon_211#0,"""所属シップと共通シップでは、アークスカードの内容を別々に保存できる。"""
15_ChallengeCommon_212#0,"""所属シップと共通シップでは、<br>「コミュニケーション履歴」の内容が、それぞれ別の履歴として記録される。"""
15_ChallengeCommon_213#0,"""自己最高記録タグはチャレンジクエストごとに最高到達位置が保存される。"""
15_ChallengeCommon_214#0,"""チャレンジクエストでは獲得マイルにボーナスが付与される。<br>また、ボーナスが付与されるクエストは一定の周期で変更される。"""
15_ChallengeCommon_215#0,"""チャレンジ・ロビーではメインメニューの「納刀位置調整」が利用できない。"""
16_ChallengeBlock_001#0,"""所属シップのチャレンジブロックでは、<br>フレンド・メール・シンボルアートは普段のものを使用できる。"""
16_ChallengeBlock_002#0,"""所属シップのチャレンジブロックでは、<br>公認ネットカフェからの接続でチームポイントの時間毎特典は有効である。"""
16_ChallengeBlock_003#0,"""所属シップのチャレンジブロックでは、<br>緊急警報は発せられるが、クエストカウンターからの受注はできない。"""
16_ChallengeBlock_004#0,"""所属シップのチャレンジブロックでは、<br>チームチャット以外のチーム機能の利用ができない。"""
17_ChallengeShip_001#0,"""共通シップでは所属していたシップの<br>フレンド・メール・シンボルアートとは別のリストを使用する。"""
17_ChallengeShip_002#0,"""共通シップでは、チームアクセサリーが一時的に外れた状態になる。"""
17_ChallengeShip_003#0,"""共通シップでは、所属シップで発生中の緊急警報が発令されない。"""
17_ChallengeShip_004#0,"""共通シップでは、チームを組むことができない。<br>また、所属シップのチームと連絡が一時的に不通になる。"""
17_ChallengeShip_005#0,"""共通シップでは、クイックメニューの「キャラクター頭上表示切り替え」から<br>どこの所属シップであるかを知ることができる。"""
17_ChallengeShip_006#0,"""共通シップでは、公認ネットカフェからの接続でも<br>チームポイントの時間毎特典が加算されない。"""
18_PokaShip_001#0,"""ランクマッチの勝利で獲得できる「アリーナポイント」で、<br>ランクがD5からLEGENDまで順に上昇する。"""
18_PokaShip_002#0,"""ランクマッチで獲得できる「バトルコイン」を集めたら、<br>所属シップの「バトルコイン交換ショップ」でアイテムを入手しよう。"""
18_PokaShip_003#0,"""ルール「エンブレム争奪戦」では、<br>チャット発言は味方ユニオンにしか届かない。"""
18_PokaShip_004#0,"""相手の背後を取れば有利に戦える。<br>通路などを活用して、相手の背後を取ろう！"""
18_PokaShip_005#0,"""「ライジングエッジ」\u3000（バトルアリーナ版）<br>前方範囲を切り上げるソード用ＰＡ！"""
18_PokaShip_006#0,"""「ノヴァストライク」\u3000（バトルアリーナ版）<br>瞬時に周囲を攻撃できるソード用ＰＡ！"""
18_PokaShip_007#0,"""「ピアッシングシェル」\u3000（バトルアリーナ版）<br>最大HP低下の状態異常を与えるアサルトライフル用ＰＡ！"""
18_PokaShip_008#0,"""「ワンポイント」\u3000（バトルアリーナ版）<br>移動しながら射撃できるアサルトライフル用ＰＡ！"""
18_PokaShip_009#0,"""「フォイエ」\u3000（バトルアリーナ版）<br>火球を飛ばして攻撃する高火力テクニック！"""
18_PokaShip_010#0,"""「ゾンデ」\u3000（バトルアリーナ版）<br>上空から攻撃できるため居場所がバレづらいテクニック！"""
18_PokaShip_011#0,"""「メギド」\u3000（バトルアリーナ版）<br>追尾弾がゆっくりと相手を追い詰めるテクニック！"""
18_PokaShip_012#0,"""「エンブレム争奪戦」では、復活した直後は<br>しばらくの間、受けるダメージ量が軽減される。"""
18_PokaShip_013#0,"""「エンブレム争奪戦」では、エンブレムポイントが１位～３位のキャラクターは<br>頭上にマークがつく。積極的に狙ってポイントを奪おう。"""
18_PokaShip_014#0,"""「虹色のエンブレム」を取ると、大量のポイントをゲット！<br>出現したら急いで取りにいこう！"""
18_PokaShip_015#0,"""「ピックアップスポット」で武器を入手できる。<br>敵ユニオンのピックアップスポットを減らす戦略も！"""
18_PokaShip_016#0,"""バトルアリーナでは、すべてのバトルブロックを対象に<br>マッチングが行われるので、どのブロックにいてもよい。"""
18_PokaShip_017#0,"""バトルアリーナの対戦中は、<br>ロビーアクションを実行することはできない。"""
18_PokaShip_018#0,"""「ＶＲアリーナ（森林）」は、シンプルな地形で<br>もっとも戦いやすく、中央が激戦区となるのが特徴。"""
18_PokaShip_019#0,"""「ＶＲアリーナ（火山）」は、時間経過で溶岩が上昇する地形。<br>溶岩に落ちると即ダウンとなるので、注意が必要だ。"""
18_PokaShip_020#0,"""「ＶＲアリーナ（東京）」は、複雑な立体構造の地形だ。<br>思わぬ方向から攻撃されることもあり、注意が必要。"""
18_PokaShip_021#0,"""バトルアリーナ専用クラス「バトルウォリアー」は<br>種族・タイプによる能力差がなく、公平な条件で対戦できる。"""
18_PokaShip_022#0,"""「エンブレム争奪戦」では、敵ユニオンのキャラクターを倒すと<br>相手が持っているポイントの一部を奪うことができる。"""
18_PokaShip_023#0,"""バトルロビーにいるバトルアリーナ管理官「ラベルナ」に<br>話しかけると、バトルアリーナのことを色々教えてくれる。"""
19_PokaBlock_001#0,"""ランクマッチの勝利で獲得できる「アリーナポイント」で、<br>ランクがD5からLEGENDまで順に上昇する。"""
19_PokaBlock_002#0,"""ランクマッチで獲得できる「バトルコイン」を集めたら、<br>所属シップの「バトルコイン交換ショップ」でアイテムを入手しよう。"""
19_PokaBlock_003#0,"""ルール「エンブレム争奪戦」では、<br>チャット発言は味方ユニオンにしか届かない。"""
01_MainLobby_032#1,"""ビジフォンの「ポートレート用データ保存」でデータを保存すると、<br>「キャラクターポートレート」で保存したキャラクターを呼び出せる。"""
01_MainLobby_040#1,"""武器パレットをタッチすると、「武器アクション」、<br>または「裏パレット切り替え」を実行することができる。"""
01_MainLobby_043#1,"""チャットアイコンは、タッチでショートカットワード選択、<br>ロングタッチでチャット入力画面の呼び出しが実行される。"""
01_MainLobby_044#1,"""メインメニューのシステムにある「インフォメーション」では、<br>チュートリアルやメニューヘルプを確認することができる。"""
01_MainLobby_045#1,"""チャット入力画面の「ログ」を選択すると、<br>過去に受信したメッセージログが表示される。"""
01_MainLobby_046#1,"""画面上にいる他プレイヤーをタッチすると<br>そのプレイヤーに行えるメニューが表示される。"""
01_MainLobby_047#1,"""“PC”、“PS Vita”の共用ブロックでは、<br>“PC”でプレイしているプレイヤーと一緒に遊ぶことができる。"""
01_MainLobby_048#1,"""ゲーム内で特定の条件を満たすと、<br>“PlayStation Network”に対応するトロフィーを獲得できる。"""
01_MainLobby_067#1,"""メインメニューのシステムにあるインフォメーションの「メニューヘルプ」から、<br>「はじめに」を選択すると、便利なチャット代入コマンドの紹介がある。"""
01_MainLobby_100#1,"""武器、ユニットのメニューにある「能力確認」で、<br>付与されている潜在能力や特殊能力を確認できる。"""
01_MainLobby_111#1,"""ロビーでマップをロングタッチするとNPCやショップを確認することができる。"""
01_MainLobby_114#1,"""クエスト選択で<%MultiSelect>を押すとクエストブースト内容を確認できる。"""
01_MainLobby_116#1,"""オプションで背面タッチパッドに武器切り替えや<br>回避アクションを割り当てられる。"""
01_MainLobby_121#1,"""“PS Vita”専用ブロックでウィークリータイムアタックに挑戦すると<br>“PS Vita”専用のランキングにエントリーされる。"""
01_MainLobby_133#1,"""クイックメニューの表示内容は、<br><pict Sign_TRIANGLE>でパターンを変更できる。"""
01_MainLobby_163#1,"""自分のキャラクターをタッチすると<br>ショートログの表示を切り替えることができる。"""
01_MainLobby_164#1,"""オフラインキャラメイクで作成されたキャラクターは、<br>エステの「クリエイトデータ読み込み」で使用できる。"""
Dead_BigBeastA_001#0,"""岩石熊的頭部是一大弱點。<br>有空隙的話就積極瞄準攻擊吧。"""
Dead_BigBeastA_002#0,"""生氣的岩石熊會連續進行飛身撲撃。<br>就算躲過一次也千萬不能大意。"""
Dead_BigBeastA_003#0,"""雖然岩石熊的抓撃很強大，<br>但可以連續輸入移動鍵來進行掙脱。"""
Dead_BigBeastA_004#0,"""雖然到岩石熊背後就可以對背後進行攻擊，<br>但要注意他抬高脚就是要反撃。"""
Dead_MammothA_001#0,"""巨型猛瑪象抬起脚發出聲音時就是要進行衝撃波攻擊的信號。<br>可以保持一點距離，在適當的時機跳躍閃避。"""
Dead_MammothA_002#0,"""和猛瑪象一樣，巨型猛瑪象的弱點是背上的突塊。<br>將猛瑪象和突塊作為立足地，騎到背上去吧。"""
Dead_MammothA_003#0,"""巨型猛瑪象的鼻子攻擊範圍很廣，<br>但是如果緊貼在側面就可以輕易閃避。"""
Dead_MammothA_004#0,"""對巨型猛瑪象一撃的異常状態是有效的。"""
Dead_PantherA_001#0,"""將牙之暴君男巫的爪全部破壞的話，<br>在突進攻擊後就會讓平衡大崩毀。"""
Dead_PantherA_002#0,"""生氣的牙之暴君男巫的突進攻擊難以迅速閃避。<br>閃避動作就用跳躍時的防禦來對應吧。"""
Dead_PantherA_003#0,"""牙之暴君男巫如果停下將前脚右、左踩踏的話，<br>就是咆嘯的信號。如果可以順利迴避的話就會産生大好攻擊機會。"""
Dead_PantherA_004#0,"""對牙之暴君男巫一撃的異常状態是有效的。<br>即使逃到樹上，也有可能降到地面上來。"""
Dead_PantherB_001#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherB_002#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherB_003#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherB_004#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherBRare_001#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherBRare_002#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherBRare_003#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherBRare_004#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowA_001#0,"""將雪之暴君男巫的爪全部破壞的話，<br>在突進攻擊後就會讓平衡大崩毀。"""
Dead_PantherSnowA_002#0,"""生氣的雪之暴君男巫的突進攻擊難以迅速閃避。<br>閃避動作就用跳躍時的防禦來對應吧。"""
Dead_PantherSnowA_003#0,"""雪之暴君男巫如果停下將前脚右、左踩踏的話，<br>就是咆嘯的信號。如果可以順利迴避的話就會産生大好攻擊機會。"""
Dead_PantherSnowA_004#0,"""對雪之暴君男巫一撃的異常状態是有效的。<br>尤其是頭髮燃燒的時候，就會産生大的縫隙。"""
Dead_PantherSnowB_001#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowB_002#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowB_003#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowB_004#0,"""如果有報喪女妖專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowBRare_001#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowBRare_002#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowBRare_003#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_PantherSnowBRare_004#0,"""如果有稀有專用的TIPS，會寫上後再更新lua資料"""
Dead_DragonWorm_001#0,"""磁穿龍的身體如果彎曲成U字形，就會進行激烈攻擊。<br>如果趕快移動到尾巴那邊就可以閃避攻擊。"""
Dead_DragonWorm_002#0,"""磁穿龍的弱點就是脊椎部分。<br>此外，如果破壞尾巴了水晶，就可以讓它變成弱點部位。"""
Dead_DragonWorm_003#0,"""生氣的磁穿龍用頭部攻撃和尾巴攻擊的次數會變化。<br>在突撃後會讓身體迴轉再進行一次攻擊。"""
Dead_DragonWorm_004#0,"""中毒状態對磁穿龍是有效的。<br>用暗系法術和特殊能力的有毒武器去攻擊。"""
Dead_DragonWorm_005#0,"""破壞結晶磁穿龍的尾巴就會成為牠的弱點。<br>從側面進行攻擊去破壞吧。"""
Dead_DragonWormB_001#0,"""藍磁穿龍如果彎曲成U字形，就會進行激烈攻擊。<br>如果趕快移動到尾巴那邊就可以閃避攻擊。"""
Dead_DragonWormB_002#0,"""藍磁穿龍的弱點就是脊椎部分。<br>此外，如果破壞尾巴了水晶，就可以讓它變成弱點部位。"""
Dead_DragonWormB_003#0,"""生氣的藍磁穿龍用頭部攻撃和尾巴攻擊的次數會變化。<br>在突撃後會讓身體迴轉再進行一次攻擊。"""
Dead_DragonWormB_004#0,"""中毒状態對藍磁穿龍是有效的。"""
Dead_DragonWormB_005#0,"""破壞結晶藍磁穿龍的尾巴就會成為牠的弱點。<br>從側面進行攻擊去破壞吧。"""
Dead_DragonWormRare_001#0,"""伽塔德拉爾如果彎曲成U字形，就會進行激烈攻擊。<br>如果趕快移動到尾巴那邊就可以閃避攻擊。"""
Dead_DragonWormRare_002#0,"""伽塔德拉爾的弱點就是脊椎部分。<br>此外如果破壞尾巴的水晶，就可以讓它變成弱點部位。"""
Dead_DragonWormRare_003#0,"""生氣的伽塔德拉爾用頭部攻撃和尾巴攻擊的次數會變化。<br>在突撃後會讓身體迴轉再進行一次攻擊。"""
Dead_DragonWormRare_004#0,"""中毒状態對伽塔德拉爾是有效的。如果在水晶的部份<br>加上中毒，此部位就會變弱。"""
Dead_DragonWormRare_005#0,"""破壞伽塔德拉爾的尾巴就會成為牠的弱點。<br>從側面進行攻擊去破壞吧。"""
Dead_DragonMagma_001#0,"""磁炎龍的尾巴攻擊是廣範圍的。<br>靠近他的本體就可以閃避攻擊。"""
Dead_DragonMagma_002#0,"""強化到第3階段的磁炎龍會從空中進行火球攻擊，<br>移動到他的正下方就可以閃避。"""
Dead_DragonMagma_003#0,"""如果破壞了磁炎龍尾巴的水晶，<br>就可以讓它從強化階段回到原本的樣子。"""
Dead_DragonMagma_004#0,"""凍結的状態對磁炎龍是有效的。<br>如果在脚的地方加上凍結的話，就可以暫時停止動作。"""
Dead_DragonMagma_005#0,"""磁炎龍的弱點就是臉、頭上的角、背上的角、尾巴的水晶。"""
Dead_DragonMagmaUniq_001#0,"""如果有希羅伽專用TIPS，會寫上後再更新lua資料"""
Dead_DragonMagmaUniq_002#0,"""如果有希羅伽專用TIPS，會寫上後再更新lua資料"""
Dead_DragonMagmaUniq_003#0,"""如果有希羅伽專用TIPS，會寫上後再更新lua資料"""
Dead_DragonMagmaUniq_004#0,"""如果有希羅伽專用TIPS，會寫上後再更新lua資料"""
Dead_DragonCrystal_001#0,"""生氣的磁晶龍會從空中進行2次急速下降攻擊。<br>可以左右移動進行閃避。"""
Dead_DragonCrystal_002#0,"""磁晶龍的攻擊常常會引起混亂。<br>先準備恢復異常状態的道具和法術吧。"""
Dead_DragonCrystal_003#0,"""翅膀被破壞的磁晶龍在進行長距離的突撃後<br>會著地失敗而産生大空隙。"""
Dead_DragonCrystal_004#0,"""中毒状態對磁晶龍的是有效的。<br>如果在水晶的部份加上中毒，此部位就會變弱。"""
Dead_DragonCrystal_005#0,"""生氣状態的磁晶龍在當下若發出高聲鳴叫，就是想作<br>周圍雷射攻擊。立刻保持距離迴避掉吧。"""
Dead_DragonCrystalUniq_001#0,"""如果有克雷拉專用TIPS，會寫上後再更新lua資料"""
Dead_DragonCrystalUniq_002#0,"""如果有克雷拉專用TIPS，會寫上後再更新lua資料"""
Dead_DragonCrystalUniq_003#0,"""如果有克雷拉專用TIPS，會寫上後再更新lua資料"""
Dead_DragonCrystalUniq_004#0,"""如果有克雷拉專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkA_001#0,"""骸龍會捕食黑暗種來強化自己。<br>事先打倒黑暗種，或是立刻破壞強化的部位吧。"""
Dead_DragonBerserkA_002#0,"""手腕強化的骸龍，他的投石攻擊<br>有時會連續發生3次。向左方閃避吧。"""
Dead_DragonBerserkA_003#0,"""腹部強化的骸龍，他的飛撲攻擊<br>威力非常的高。要趕快轉向側面閃避。"""
Dead_DragonBerserkA_004#0,"""背部強化的骸龍，會從空中攻擊。<br>這時如果破壞背部就可以讓它落到地面。"""
Dead_DragonBerserkA_005#0,"""生出翅膀的骸龍從空中飛射出黑色結晶進行攻擊。<br>在骸龍的周圍閃躲來迴避攻擊。"""
Dead_DragonBerserkAUniq1_001#0,"""如果有哈德烈（無部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkAUniq1_002#0,"""如果有哈德烈（無部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkAUniq1_003#0,"""如果有哈德烈（無部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkAUniq1_004#0,"""如果有哈德烈（無部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkAUniq2_001#0,"""如果有哈德烈（完整部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkAUniq2_002#0,"""如果有哈德烈（完整部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkAUniq2_003#0,"""如果有哈德烈（完整部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonBerserkAUniq2_004#0,"""如果有哈德烈（完整部件）專用TIPS，會寫上後再更新lua資料"""
Dead_DragonSummoner_001#0,"""在磁喚龍周圍擴散能量彈的攻擊，<br>可以透過靠近磁喚龍來閃避。"""
Dead_DragonSummoner_002#0,"""磁喚龍召喚的磁炎龍有時會進行突撃。<br>因為尾隨性能高，要善用閃避動作。"""
Dead_DragonSummoner_003#0,"""磁喚龍召喚的磁炎龍會從空中連射火球。<br>可以透過移動到磁炎龍的正下方來閃避。"""
Dead_DragonSummoner_004#0,"""中毒状態對磁炎龍是有效的。<br>如果對周圍的水晶加上毒藥，就會發生弱化。"""
Dead_DragonSummoner_005#0,"""在磁喚龍周圍的水晶「上毒」是有效的。<br>加上了毒，就會變得更容易破壞水晶。"""
Dead_DragonGladiator_001#0,"""鬥龍若高舉雙手，<br>就是即將進行強力攻擊的暗示，<br>移動到鬥龍的側面來迴避吧。"""
Dead_DragonGladiator_002#0,"""如果鬥龍將劍刺入地面，<br>就會發生從地面來的攻擊。<br>持續的移動就可以閃避。"""
Dead_DragonGladiator_003#0,"""可以破壞鬥龍左右盾形的手腕。<br>破壞的話使用手腕的攻擊就會發生滯留。"""
Dead_DragonGladiator_004#0,"""中毒状態對鬥龍是有效的。<br>如果對周圍的水晶施毒，就會發生弱化。"""
Dead_TransformMechaA_001#0,"""變形機甲曼沙如果用雙手敲撃的話，<br>就會在飛彈攻擊後進行核心的冷卻。"""
Dead_TransformMechaA_002#0,"""變形機甲曼沙的飛彈攻擊有非常高的誘導性能。<br>不要攻擊，移動到旁邊進行閃避。"""
Dead_TransformMechaA_003#0,"""變形機甲曼沙如果瞬間到後方的話，<br>就是要突撃的信號。以迴避動作或閃避來對應。"""
Dead_TransformMechaA_004#0,"""變形機甲曼沙的機械槍攻擊如果撃中一次的話，<br>就可能會撃中多次。移動到左右方來閃避。"""
Dead_BossMechaA_001#0,"""大型戰艦旺達在發射雷射砲時，就是攻擊主砲的機會。"""
Dead_BossMechaA_002#0,"""大型戰艦旺達上半部的火焰發射器，<br>可以從左右進行破壞。"""
Dead_BossMechaA_003#0,"""破壞大型戰艦旺達的後半部和中間的飛彈器，<br>就可以安全的和大型戰艦旺達戰鬥。"""
Dead_BossMechaA_004#0,"""破壞大型戰艦旺達前面的雷射炮在發射攻擊後會有可破壞的機會。"""
Dead_MachineLittleBoss_001#0,"""大型戰艦旺達在發射雷射砲時，就是攻擊主砲的機會。"""
Dead_MachineLittleBoss_002#0,"""大型戰艦旺達上半部的火焰發射器可以從左右進行破壞。"""
Dead_MachineLittleBoss_003#0,"""破壞大型戰艦旺達的後半部和中間的飛彈器，<br>就可以安全的和大型戰艦旺達戰鬥。"""
Dead_MachineLittleBoss_004#0,"""破壞大型戰艦旺達前面的雷射炮在發射攻擊後會有可破壞的機會。"""
Dead_Cougar_001#0,"""用庫伽NX的劍進行突撃時，攻擊範圍很廣。<br>要在適當的時機做閃避動作。"""
Dead_Cougar_002#0,"""庫伽NX使用追蹤炮進行攻擊時，<br>可以事先破壞誘導系統來阻止發生。"""
Dead_Cougar_003#0,"""庫伽NX的機械槍攻擊是難以閃避的。<br>不要攻擊、專心移動到左右方閃避吧。"""
Dead_Cougar_004#0,"""麻痺對庫伽NX是有效的。<br>只要讓它麻痺，就可停止他一段時間的動作。"""
Dead_MarineOrca_001#0,"""狂浪獸用雙手進行的攻擊，<br>雖然攻擊力很高但是空隙也很大。"""
Dead_MarineOrca_002#0,"""狂浪獸的腹部是弱點。如果注意雙手及跳躍攻擊的話，<br>可以不用擔心他的腹部進行戰鬥。"""
Dead_MarineOrca_003#0,"""狂浪獸從地下進行的撲撃，攻擊範圍很廣。<br>狂浪獸在地下的時候不要保持太短的距離。"""
Dead_MarineOrca_004#0,"""對潛伏在地下的狂浪獸造成一定的破壞，<br>就可以將他拉出地面。"""
Dead_MarineOarfish_001#0,"""海龍・羅德斯的背部會発射水泡攻擊，<br>如果在著地前用槍撃攻擊的話就可以破壞他。"""
Dead_MarineOarfish_002#0,"""如果海龍・羅德斯的頭部受到拘束用銃座攻擊的話，<br>就可以將海龍拉到船上。"""
Dead_MarineOarfish_003#0,"""破壞海龍・羅德斯的身體裝甲，就會出現弱點部位。"""
Dead_MarineOarfish_004#0,"""當海龍・羅德斯接近船並左右飛行時，<br>是要利用咬攻擊的意圖。左右移動並回避吧。"""
Dead_MarineOarfish_005#0,"""海龍・羅德斯會從口射出巨大的能量子彈，用槍座射撃它<br>就可破壞。需在船中彈前將它破壞。"""
Dead_AbyssFlower_001#0,"""當幻法師・梅迪納的触手被破壊時，會將触手刺向地面<br>以固定身體。從其身體背面上去、直接攻擊頭部弱点吧。"""
Dead_AbyssFlower_002#0,"""當幻法師・梅迪納的巨大的剪刀發光時就是激光攻擊的信號。<br>正面是危險的,所以左右移動大幅迴避吧。"""
Dead_AbyssFlower_003#0,"""當幻法師・梅迪納收緊触手輕輕地抬起來時，<br>這是發出旋轉攻擊的信號。趕緊離開，或者使用迴避動作迴避吧。"""
Dead_AbyssFlower_004#0,"""「凍結」對幻法師・梅迪納的触手是有効的<br>當触手凍結時、就可停止他一段時間的動作。"""
Dead_Spider_001#0,"""黑暗蟲王・拉格涅如果全部的脚部被破壞，<br>就會變成長時間的停在地面状態。"""
Dead_Spider_002#0,"""黑暗蟲王・拉格涅發射的真空攻擊，雖然攻擊範圍很廣，<br>但可以用跳躍來閃避。"""
Dead_Spider_003#0,"""黑暗蟲王・拉格涅在匯集紅黑色電撃時就是要做放電攻擊的信號。<br>他的周圍會發生攻擊，要抓好距離。"""
Dead_Spider_004#0,"""黑暗蟲王・拉格涅的雷電攻擊部分，如果注意地面上的預兆就可以閃避。"""
Dead_Doodlebug_001#0,"""打倒全部的黑暗沙蟲・彼特，<br>就可以將黑暗沙蟲全部引出地面。"""
Dead_Doodlebug_002#0,"""黑暗沙蟲・彼特的弱點是前端的紅色核心部分。"""
Dead_Doodlebug_003#0,"""黑暗沙蟲的吸入攻擊雖然威力很高，但是跳躍移動後可以閃避掉。"""
Dead_Doodlebug_004#0,"""黑暗沙蟲的突撃可以用跳躍來閃避。"""
Dead_BirdStacked_001#0,"""圖騰鳥・瑪利達發射的水泡攻擊，<br>如果在著地前用槍撃攻擊的話就可以破壞他。"""
Dead_BirdStacked_002#0,"""如果圖騰鳥・瑪利達<br>頭部的固定槍座受到攻擊的話，<br>就可以將圖騰鳥・瑪利達拉到船上。"""
Dead_BirdStacked_003#0,"""破壞圖騰鳥・瑪利達身體的裝甲，<br>就會出現弱點部位。"""
Dead_BirdStacked_004#0,"""當圖騰鳥・瑪利達飛到左右方接近船的時候，<br>就是要進行咬下攻擊的信號。咬了之後會産生空隙。"""
Dead_BirdCentaur_001#0,"""海龍發射的水泡攻擊，<br>如果在著地前用槍撃攻擊的話<br>就可以破壞他。"""
Dead_BirdCentaur_002#0,"""如果海龍頭部的固定槍座受到攻擊的話，<br>就可以將海龍拉到船上。"""
Dead_BirdCentaur_003#0,"""破壞半人馬身體的裝甲，<br>就會出現弱點部位。"""
Dead_BirdCentaur_004#0,"""當半人馬飛到左右方接近船的時候，<br>就是要進行咬下攻擊的信號。<br>咬了之後會産生空隙。"""
Dead_BirdDpHuman_001#0,"""當法爾斯・熾翼天使在空中展翅時，即為要使用冰柱進行攻擊的暗號。<br>面對高速落下的冰柱，就以不間斷移動來迴避吧。"""
Dead_BirdDpHuman_002#0,"""處於憤怒状態的法爾斯・熾翼天使會連續進行突進攻擊。<br>看準時機使用迴避動作來閃躲吧。"""
Dead_BirdDpHuman_003#0,"""處於憤怒状態的法爾斯・熾翼天使若是使用了空間跳躍，則為要發動連續雷射攻擊的暗號。<br>橫向的雷射以跳躍、縱向的雷射則是在看見預兆後回避吧。"""
Dead_BirdDpHuman_004#0,"""法爾斯・熾翼天使的弱點為身體正面的紅色核心。<br>盡量避開正面攻擊，瞄準間隙攻擊核心吧。"""
Dead_BirdOwl_001#0,"""「混亂」對愚昧者・學識謀士是有效的。<br>施加混亂的話能使敵人陷入混亂，並且在一定時間無法行動。"""
Dead_BirdOwl_002#0,"""愚昧者・學識謀士若是叫出四根柱子的話，就是要蓄存能量彈的暗號。<br>若破壞了所有柱子，便能使能量彈爆炸進而讓阿波斯・朵莉歐斯翻倒。"""
Dead_BirdOwl_003#0,"""雖然愚昧者・學識謀士的弱點為腹部，但使用一般的攻擊是無法破壞的。<br>可以透過妨礙某種攻擊的蓄力動作來進行破壞。"""
Dead_BirdOwl_004#0,"""使愚昧者・學識謀士翻倒後，就可以乘上牠的身體。<br>從肩膀的部分乘入，攻擊腹部的弱點吧。"""
Dead_DpBird_001#0,"""破壞了黑暗法爾斯・盧瑟的手腕，便會在上手臂出現可以破壞的部分。<br>在一定時間内破壞了上手臂的話，機會將大大增加。"""
Dead_DpBird_002#0,"""「幻覺」對黑暗法爾斯・盧瑟的腹部是有效的。<br>對腹部施加幻覺的話，便會出現可以破壞的弱點部位。"""
