YesText#0,"""是"""
ra_010830_date#0,"""A.P.238/3/28"""
ra_010640_title#0,"""少女的誘惑"""
ra_010640_date#0,"""A.P.238/3/29"""
ra_010650_title#0,"""暗殺未遂的理由"""
ra_010650_date#0,"""A.P.238/3/29"""
ra_010660_title#0,"""巨驅不會滅亡"""
ra_010660_date#0,"""A.P.238/3/30"""
ra_010670_title#0,"""羅傑歐的推測"""
ra_010670_date#0,"""A.P.238/3/31"""
ra_010730_title#0,"""緊繃的氣氛"""
ra_010730_date#0,"""A.P.238/3/30"""
ra_010300_title#0,"""注意到蠢蠢欲動的氣息"""
ra_010300_date#0,"""A.P.238/3/30"""
ra_010160_title#0,"""克拉麗莎的盜難"""
ra_010160_date#0,"""A.P.238/3/31"""
st_010660_title#0,"""ARKS的警戒巡邏"""
st_010660_date#0,"""A.P.238/3/31/10:30"""
st_010690_title#0,"""隱藏之物"""
st_010690_date#0,"""A.P.238/3/31/10:30"""
st_010670_title#0,"""嬌小又煩人的傢伙"""
st_010670_date#0,"""A.P.238/3/31/11:00"""
st_010700_title#0,"""温柔的謊言"""
st_010700_date#0,"""A.P.238/3/31/11:00"""
st_010680_title#0,"""不適合的哥德哈特"""
st_010680_date#0,"""A.P.238/3/31/11:30"""
st_010710_title#0,"""傑諾的預感"""
st_010710_date#0,"""A.P.238/4/1/10:00"""
st_010720_title#0,"""響起的鳴動"""
st_010720_date#0,"""A.P.238/4/1/10:30"""
st_010730_title#0,"""過去的原罪"""
st_010730_date#0,"""A.P.238/4/1/11:00"""
st_010740_title#0,"""追尋力量的目標處"""
st_010740_date#0,"""A.P.238/4/1/11:30"""
st_010750_title#0,"""巨躯的覺醒"""
st_010750_date#0,"""A.P.238/4/1/11:40"""
st_010760_title#0,"""一定會回來"""
st_010760_date#0,"""A.P.238/4/1/12:00"""
mv_010080_title#0,"""黑暗法爾斯【巨躯】復活"""
mv_010080_date#0,"""A.P.238/4/1"""
st_010770_title#0,"""絕望的開始"""
st_010770_date#0,"""A.P.238/4/1/13:00"""
mv_010090_title#0,"""黑暗法爾斯【巨躯】撃破"""
mv_010090_date#0,"""A.P.238/4/1"""
ra_012000_title#0,"""結束徽章"""
ra_012000_date#0,"""A.P.238/4/1"""
un_012000_title#0,"""影子搜索者"""
un_012000_date#0,"""A.P.238/2/23"""
un_012010_title#0,"""影子使者"""
un_012010_date#0,"""A.P.238/2/25"""
un_012020_title#0,"""無聲的探求"""
un_012020_date#0,"""A.P.238/2/27"""
un_012030_title#0,"""空虚的跡象"""
un_012030_date#0,"""A.P.238/3/1"""
un_012040_title#0,"""太過敏銳的感覺"""
un_012040_date#0,"""A.P.238/3/7"""
un_012250_title#0,"""邂逅"""
un_012250_date#0,"""A.P.238/3/8"""
un_012050_title#0,"""那個龍在何處"""
un_012050_date#0,"""A.P.238/3/15"""
un_012060_title#0,"""不收拾的話"""
un_012060_date#0,"""A.P.238/3/26"""
un_012260_title#0,"""鄉愁"""
un_012260_date#0,"""A.P.238/3/26"""
un_012080_title#0,"""如果黑暗種的跡象很明顯"""
un_012080_date#0,"""A.P.238/3/30"""
ra_012010_title#0,"""一個成就、一個失去"""
ra_012010_date#0,"""A.P.238/4/2"""
un_012170_title#0,"""微服出巡的偶像"""
un_012170_date#0,"""A.P.238/4/2"""
un_012180_title#0,"""和偶像的交流"""
un_012180_date#0,"""A.P.238/4/2"""
un_012190_title#0,"""偶像提出的難題"""
un_012190_date#0,"""A.P.238/4/3"""
un_012470_title#0,"""傑諾的消息"""
un_012470_date#0,"""A.P.238/4/3"""
un_012200_title#0,"""偶像的煩惱"""
un_012200_date#0,"""A.P.238/4/4"""
un_012210_title#0,"""偶像提出的無理要求"""
un_012210_date#0,"""A.P.238/4/5"""
un_012070_title#0,"""是監視還是觀察"""
un_012070_date#0,"""A.P.238/4/5"""
un_012090_title#0,"""因為聽説是背叛者"""
un_012090_date#0,"""A.P.238/4/8"""
un_012360_title#0,"""全都消滅掉"""
un_012360_date#0,"""A.P.238/4/8"""
un_012100_title#0,"""她與哈德烈"""
un_012100_date#0,"""A.P.238/4/10"""
un_012110_title#0,"""表與裡"""
un_012110_date#0,"""A.P.238/4/10"""
un_012160_title#0,"""哈德烈的想法"""
un_012160_date#0,"""A.P.238/4/14"""
st_012010_title#0,"""為了做個了斷"""
st_012010_date#0,"""A.P.238/4/15/10:00"""
st_012020_title#0,"""難以理解的行動"""
st_012020_date#0,"""A.P.238/4/15/10:30"""
st_012030_title#0,"""失控的理由"""
st_012030_date#0,"""A.P.238/4/15/11:00"""
st_012035_title#0,"""為姐著想的弟弟"""
st_012035_date#0,"""A.P.238/4/15/11:00"""
st_012040_title#0,"""無法回答的哈德烈"""
st_012040_date#0,"""A.P.238/4/15/11:30"""
st_012045_title#0,"""悲痛的獨白"""
st_012045_date#0,"""A.P.238/4/15/11:20"""
st_012050_title#0,"""尋求真相所在"""
st_012050_date#0,"""A.P.238/4/15/12:00"""
st_012055_title#0,"""消逝於虚空"""
st_012055_date#0,"""A.P.238/4/15/12:00"""
un_012270_title#0,"""搖籃曲"""
un_012270_date#0,"""A.P.238/4/14"""
ra_012020_title#0,"""悲劇還是解放"""
ra_012020_date#0,"""A.P.238/4/16"""
un_012130_title#0,"""因為就是命令"""
un_012130_date#0,"""A.P.238/4/16"""
un_012220_title#0,"""就是所謂[偶像]"""
un_012220_date#0,"""A.P.238/4/16"""
un_012140_title#0,"""強者的兩難"""
un_012140_date#0,"""A.P.238/4/17"""
un_012230_title#0,"""曾喜歡唱歌"""
un_012230_date#0,"""A.P.238/4/17"""
un_012120_title#0,"""扮演好角色的方法"""
un_012120_date#0,"""A.P.238/4/18"""
un_012150_title#0,"""那傢伙和我的關係"""
un_012150_date#0,"""A.P.238/4/19"""
un_012155_title#0,"""情報者失去資格"""
un_012155_date#0,"""A.P.238/4/20"""
un_012350_title#0,"""到泰利奧特那邊去"""
un_012350_date#0,"""A.P.238/4/21"""
un_012240_title#0,"""最後的道別"""
un_012240_date#0,"""A.P.238/4/22"""
st_012090_title#0,"""既遠又近的距離"""
st_012090_date#0,"""A.P.238/4/23/13:30"""
st_012100_title#0,"""初次的姐弟吵架"""
st_012100_date#0,"""A.P.238/4/23/14:00"""
st_012110_title#0,"""最後的安可"""
st_012110_date#0,"""A.P.238/4/23/14:30"""
st_012120_title#0,"""無法忘記意志"""
st_012120_date#0,"""A.P.238/4/25/10:00"""
ra_013000_title#0,"""追尋道路的交錯"""
ra_013000_date#0,"""A.P.238/4/2"""
ra_013030_title#0,"""黑暗法爾斯的存在"""
ra_013030_date#0,"""A.P.238/4/2"""
un_013000_title#0,"""活動預告!我們的祭典!"""
un_013000_date#0,"""A.P.238/4/4"""
un_013010_title#0,"""如果是傑諾的話一定……"""
un_013010_date#0,"""A.P.238/4/5"""
un_013020_title#0,"""為什麼她會……"""
un_013020_date#0,"""A.P.238/4/7"""
un_013210_title#0,"""非常好奇"""
un_013210_date#0,"""A.P.238/4/8"""
un_013150_title#0,"""戰技大會就要到了"""
un_013150_date#0,"""A.P.238/4/8"""
un_013160_title#0,"""雖然戰技大會就要到了"""
un_013160_date#0,"""A.P.238/4/8"""
un_013170_title#0,"""祭典就好好狂歡一場吧"""
un_013170_date#0,"""A.P.238/4/8"""
un_013190_title#0,"""偶爾會想站上前台"""
un_013190_date#0,"""A.P.238/4/8"""
st_013000_title#0,"""要和誰一起前進呢"""
st_013000_date#0,"""A.P.238/4/9/10:50"""
st_013100_title#0,"""一起加油吧"""
st_013100_date#0,"""A.P.238/4/9/10:55"""
st_013200_title#0,"""一起加油吧"""
st_013200_date#0,"""A.P.238/4/9/10:55"""
st_013300_title#0,"""一起好好地加油吧"""
st_013300_date#0,"""A.P.238/4/9/10:55"""
st_013500_title#0,"""讓大家看看姐妹的羈絆吧!"""
st_013500_date#0,"""A.P.238/4/9/10:55"""
st_013010_title#0,"""戰技大會，開始!"""
st_013010_date#0,"""A.P.238/4/9/11:00"""
st_013120_title#0,"""穩定的成長速度"""
st_013120_date#0,"""A.P.238/4/9/11:30"""
st_013220_title#0,"""令人安心的成長速度"""
st_013220_date#0,"""A.P.238/4/9/11:30"""
st_013320_title#0,"""看人的眼光沒有錯"""
st_013320_date#0,"""A.P.238/4/9/11:30"""
st_013520_title#0,"""沒有選錯呢!"""
st_013520_date#0,"""A.P.238/4/9/11:30"""
st_013130_title#0,"""有價値的共同戰鬥"""
st_013130_date#0,"""A.P.238/4/9/12:00"""
st_013230_title#0,"""有意義的共同戰鬥"""
st_013230_date#0,"""A.P.238/4/9/12:00"""
st_013330_title#0,"""因為不了解，所以有趣"""
st_013330_date#0,"""A.P.238/4/9/12:00"""
st_013530_title#0,"""直覺告訴我的! 前面就是最後了!"""
st_013530_date#0,"""A.P.238/4/9/12:00"""
st_013040_title#0,"""開心又害羞的結果發表!"""
st_013040_date#0,"""A.P.238/4/9/12:30"""
st_013050_title#0,"""戰技大會到這邊結束！"""
st_013050_date#0,"""A.P.238/4/9/13:00"""
st_013051_title#0,"""戰技大會到這邊結束！ (失敗)"""
st_013051_date#0,"""A.P.238/4/9/13:00"""
st_013160_title#0,"""感謝邀請"""
st_013160_date#0,"""A.P.238/4/9/13:10"""
st_013260_title#0,"""謝謝你邀請我"""
st_013260_date#0,"""A.P.238/4/9/13:10"""
st_013360_title#0,"""因為打到爽整個大滿足"""
st_013360_date#0,"""A.P.238/4/9/13:10"""
st_013560_title#0,"""不會白忙的包打聽"""
st_013560_date#0,"""A.P.238/4/9/13:10"""
st_013070_title#0,"""嘲笑的黑暗"""
st_013070_date#0,"""A.P.238/4/9/13:30"""
st_013080_title#0,"""你的確認"""
st_013080_date#0,"""A.P.238/4/9/15:00"""
un_013200_title#0,"""要好好記住規則"""
un_013200_date#0,"""A.P.238/4/8"""
un_013180_title#0,"""雖然也有在意的事"""
un_013180_date#0,"""A.P.238/4/8"""
st_013600_title#0,"""沒轍了就陪你吧"""
st_013600_date#0,"""A.P.238/4/9/10:55"""
st_013400_title#0,"""如果和夥伴一起"""
st_013400_date#0,"""A.P.238/4/9/10:55"""
st_013620_title#0,"""超出預期的成長"""
st_013620_date#0,"""A.P.238/4/9/11:30"""
st_013420_title#0,"""抹去不安感"""
st_013420_date#0,"""A.P.238/4/9/11:30"""
st_013630_title#0,"""真正的雞婆"""
st_013630_date#0,"""A.P.238/4/9/12:00"""
st_013430_title#0,"""曾經歴過的氛圍"""
st_013430_date#0,"""A.P.238/4/9/12:00"""
st_013640_title#0,"""發表風雲急的結果!"""
st_013640_date#0,"""A.P.238/4/9/12:30"""
st_013440_title#0,"""等待的人要來"""
st_013440_date#0,"""A.P.238/4/9/12:30"""
st_013650_title#0,"""執行正義"""
st_013650_date#0,"""A.P.238/4/9/13:00"""
st_013651_title#0,"""執行正義（失敗）"""
st_013651_date#0,"""A.P.238/4/9/13:00"""
un_010010_title#0,"""探索中的傑諾"""
un_010020_title#0,"""和朋友一起漫歩"""
un_010030_title#0,"""好像有見過……"""
un_010040_title#0,"""好管閒事的理由"""
un_010050_title#0,"""最終的和平"""
un_011470_title#0,"""令人盼望的未來"""
un_010060_title#0,"""真是冤家路窄"""
un_010070_title#0,"""成為ARKS的動機"""
un_010080_title#0,"""累贅的意義"""
un_010090_title#0,"""誰比較麻煩?"""
un_010100_title#0,"""黑暗種增加了"""
un_010110_title#0,"""前進的人與瘋子"""
un_010120_title#0,"""大事發生時"""
un_010010_a_title#0,"""捜索中のゼノ(A)"""
un_010010_b_title#0,"""捜索中のゼノ(B)"""
un_010140_title#0,"""其實很緊張"""
un_010150_title#0,"""最可怕的事"""
un_010160_title#0,"""遏制力"""
un_010170_title#0,"""無力感"""
un_012480_title#0,"""作為外出中的替身"""
un_010130_a_title#0,"""暴走中のエコー(A)"""
un_010130_b_title#0,"""暴走中のエコー(B)"""
un_010320_title#0,"""行動中的亞方"""
un_010340_title#0,"""黑暗種到底是什麼呢"""
un_010350_title#0,"""ARKS到底是什麼呢"""
un_010330_title#0,"""盡可能自己行動"""
un_010360_title#0,"""為何什麼都能用?"""
un_011490_title#0,"""亞方在尋找的是……"""
un_010390_title#0,"""對黑暗種的不滿"""
un_011510_title#0,"""莉莉芭族在找尋什麼"""
un_011480_title#0,"""亞方的探尋"""
un_010380_title#0,"""龍族真是太棒了"""
un_010370_title#0,"""相當重要的探索"""
un_012600_title#0,"""説沒問題就是騙人的"""
un_013030_title#0,"""變動的契機是?"""
un_013040_title#0,"""令人在意的氣氛"""
un_011230_title#0,"""該説什麼好呢"""
un_011240_title#0,"""別太勉強"""
un_011250_title#0,"""不知道的事情好多"""
un_011260_title#0,"""不和其他人説話"""
un_011330_title#0,"""火山洞窟好像很熱"""
un_011380_title#0,"""有好多人啊"""
un_011270_title#0,"""其他人是這種感覺"""
un_011280_title#0,"""共鳴・有點頭痛"""
un_011310_title#0,"""沙漠是怎樣的地方？"""
un_011390_title#0,"""新奇的事物，俯拾即是"""
un_011320_title#0,"""坑道是怎樣的地方？"""
un_011400_title#0,"""ARKS戰艦很大麼?"""
un_011340_title#0,"""浮游大陸不可怕麼?"""
un_011290_title#0,"""共鳴・偶爾會頭痛"""
un_011370_title#0,"""和平是什麼呢"""
un_011300_title#0,"""共鳴・現在頭很痛"""
un_012380_title#0,"""暴走龍的目的是什麼呢?"""
un_012390_title#0,"""在歌曲中的感情"""
un_013220_title#0,"""有活力是一件好事"""
un_013230_title#0,"""好像發生了什麼事"""
un_010180_title#0,"""意外的遭遇"""
un_010190_title#0,"""弱者沒有價値"""
un_010200_title#0,"""誘餌或獵物"""
un_010210_title#0,"""把黑暗種全都滅了"""
un_010220_title#0,"""不成熟的戰鬥方式"""
un_010230_title#0,"""憎恨的流露"""
un_010240_title#0,"""哥德哈特與梅爾馮希娜"""
un_010250_title#0,"""別人是棋子"""
un_010260_title#0,"""哥德哈特和傑諾"""
un_010270_title#0,"""傑諾與你"""
un_010280_title#0,"""找死麼"""
un_010290_title#0,"""只會造成不幸"""
un_010300_title#0,"""沉默之子"""
un_011440_title#0,"""令人不解的關係"""
un_010310_title#0,"""沒有人能救我"""
un_012490_title#0,"""いつもわたしは残される"""
un_012500_title#0,"""不要妨礙我"""
un_011520_title#0,"""莉莉芭族的語言"""
un_010870_title#0,"""沒有興趣耶"""
un_010880_title#0,"""現在還不到講話的時機"""
un_010900_title#0,"""安杜斯奇亞的魅力"""
un_010910_title#0,"""休息是很重要的吧?"""
un_010920_title#0,"""芸芸眾生"""
un_012320_title#0,"""傳説中的暴走龍"""
un_012340_title#0,"""不自然的生命"""
un_012330_title#0,"""異文化交流"""
un_010640_title#0,"""調査中！"""
un_010650_title#0,"""你知道六芒均衡麼？"""
un_010660_title#0,"""你知道三英雄麼？"""
un_010670_title#0,"""神秘不可思議的光子之力"""
un_010680_title#0,"""職業和光子的關係為何?"""
un_010690_title#0,"""正在收集情報中"""
un_010700_title#0,"""黑暗種的性質"""
un_010710_title#0,"""很久很久以前的ARKS"""
un_010720_title#0,"""黑暗種真的很強！"""
un_010730_title#0,"""迷失了手段與目的"""
un_012280_title#0,"""研究部的大事件!"""
un_012290_title#0,"""其實可怕的是情報者!"""
un_012300_title#0,"""調査就交給我了！"""
un_012310_title#0,"""等待委託情報!"""
un_013120_title#0,"""祭典!休息!大鬧一場!"""
un_012650_title#0,"""要加油適才適所!"""
un_011420_title#0,"""被什麼東西吸引了?"""
un_011500_title#0,"""龍族的習性"""
un_010860_title#0,"""與我無關"""
un_011530_title#0,"""對納貝流士的警告"""
un_012550_title#0,"""不要絶望"""
un_012560_title#0,"""對你來説ARKS是……"""
un_013110_title#0,"""是吵的時候麼"""
un_011210_title#0,"""關於瑪托依"""
un_011220_title#0,"""失去記憶是幸福的事?"""
un_010780_title#0,"""黑暗種是很危險的喔"""
un_010790_title#0,"""黑暗種增加了呢"""
un_011410_title#0,"""知名公會的全滅"""
un_010820_title#0,"""我不擅長應付較熱的地方"""
un_010830_title#0,"""我不擅長應付較冷的地方"""
un_010800_title#0,"""變殘暴的原因?"""
un_010810_title#0,"""警戒心太高了麼?"""
un_012370_title#0,"""指使的會是誰呢"""
un_013050_title#0,"""樂觀與悲觀都要適度"""
un_013060_title#0,"""組織的秘密"""
un_013070_title#0,"""秘密的秘密哥哥"""
un_010400_title#0,"""ARKS的存在"""
un_010410_title#0,"""獵人至上主義"""
un_010420_title#0,"""法師什麼的最討厭了"""
un_010430_title#0,"""對獵人來説很辛苦的事"""
un_010440_title#0,"""各方面均衡的隊伍"""
un_010450_title#0,"""要小心法師"""
un_010460_title#0,"""隱藏不了的憤概"""
un_012580_title#0,"""被隱藏的理由"""
un_012630_title#0,"""現在開始的戰鬥方法"""
un_013080_title#0,"""不只是單純的祭典吧"""
un_010470_title#0,"""當ARKS這件事"""
un_010480_title#0,"""法師至上主義"""
un_010490_title#0,"""獵人什麼的最討厭了"""
un_010500_title#0,"""對法師來説很辛苦的事"""
un_010510_title#0,"""各方面均衡的隊伍"""
un_010520_title#0,"""和獵人組隊很累人"""
un_010530_title#0,"""這不是蠻橫不講理麼"""
un_012570_title#0,"""隱藏祕密的理由"""
un_012620_title#0,"""接下來的戰鬥方法"""
un_013090_title#0,"""應該不只是單純的祭典喔"""
un_010930_title#0,"""當ARKS的心得"""
un_010940_title#0,"""要注意黑暗種唷"""
un_010950_title#0,"""很懷舊"""
un_010960_title#0,"""例外的存在"""
un_010740_title#0,"""是謠傳?還是理所當然的?"""
un_010760_title#0,"""是很強的人影啊!"""
un_010770_title#0,"""技能超強"""
un_010750_title#0,"""ARKS好厲害啊!"""
un_010540_title#0,"""狙撃手莉莎"""
un_010550_title#0,"""槍就是一切"""
un_010560_title#0,"""人的反應會怎樣呢"""
un_010570_title#0,"""如果沒有這一切的苦難"""
un_010590_title#0,"""你找死麼？"""
un_010600_title#0,"""比人更加令人討厭"""
un_010610_title#0,"""沉默的印象"""
un_010620_title#0,"""不要逃避"""
un_010630_title#0,"""侵蝕者襲撃的理由?"""
un_012590_title#0,"""贖罪的山羊"""
un_012640_title#0,"""愉悅中的違和感"""
un_013100_title#0,"""攻撃跳舞阿呆的阿呆"""
un_010840_title#0,"""愛出鋒頭的六芒均衡"""
un_010850_title#0,"""可商談煩惱的六芒均衡"""
un_011610_title#0,"""迷失的六芒均衡"""
un_011620_title#0,"""自由行動的六芒均衡"""
un_011630_title#0,"""孤獨的六芒均衡"""
un_011640_title#0,"""不努力的六芒均衡"""
un_011650_title#0,"""火力全開六芒均衡"""
un_012400_title#0,"""六芒均衡警戒中"""
un_012410_title#0,"""太過不講理的六芒均衡"""
un_013140_title#0,"""不甘心的六芒均衡"""
un_011540_title#0,"""有名的ARKS，找人中"""
un_012440_title#0,"""透過使喚他人"""
un_012450_title#0,"""麻煩的擦屁股"""
un_012460_title#0,"""我常聽到你的謠言"""
un_011550_title#0,"""我叫修伊!"""
un_011560_title#0,"""六芒均衡是在做什麼?"""
un_011570_title#0,"""震撼聲!"""
un_011580_title#0,"""全部都是命運?"""
un_011600_title#0,"""顯著的負面影響"""
un_011590_title#0,"""雷吉亞斯生氣了"""
un_012420_title#0,"""有火藥味的預感!"""
un_012430_title#0,"""相信自己的正義!"""
un_013130_title#0,"""強打起精神也會有活力的!"""
un_012510_title#0,"""坦蕩蕩的前進吧!"""
un_012520_title#0,"""開心的玩喔!"""
un_011180_title#0,"""放棄的理由"""
un_011190_title#0,"""讓他們上一課吧"""
un_011200_title#0,"""信譽的支柱"""
ra_020010_title#0,"""第12張的交付"""
ra_020010_date#0,"""A.P.238/5/1"""
ra_020060_title#0,"""為了代替傑諾"""
ra_020060_date#0,"""A.P.238/5/2"""
ra_020090_title#0,"""流浪中的提歐德爾"""
ra_020090_date#0,"""A.P.238/5/6"""
ra_020070_title#0,"""噁心的原住民"""
ra_020070_date#0,"""A.P.238/5/7"""
ra_020075_title#0,"""不做作的温柔"""
ra_020075_date#0,"""A.P.238/5/8"""
ra_020080_title#0,"""還可以溝通就算慶幸了"""
ra_020080_date#0,"""A.P.238/5/9"""
ra_020095_title#0,"""奇怪的跡象"""
ra_020095_date#0,"""A.P.238/5/9"""
st_020010_title#0,"""徴求尋找之人"""
st_020010_date#0,"""A.P.238/5/10/13:00"""
st_020020_title#0,"""很相似的好管閒事"""
st_020020_date#0,"""A.P.238/5/10/14:00"""
st_020050_title#0,"""把黑暗種全都滅了吧"""
st_020050_date#0,"""A.P.238/5/10/14:00"""
st_020030_title#0,"""互相信賴"""
st_020030_date#0,"""A.P.238/5/10/15:00"""
st_020040_title#0,"""非做不可的時候"""
st_020040_date#0,"""A.P.238/5/10/16:00"""
st_020045_title#0,"""不坦率的感謝"""
st_020045_date#0,"""A.P.238/5/10/17:00"""
st_020060_title#0,"""為什麼無法見到她呢"""
st_020060_date#0,"""A.P.238/5/10/18:00"""
st_020070_title#0,"""因為是ARKS的使命"""
st_020070_date#0,"""A.P.238/5/10/19:00"""
st_020080_title#0,"""思念她的笑容"""
st_020080_date#0,"""A.P.238/5/10/20:00"""
ra_020020_title#0,"""第13張的交付"""
ra_020020_date#0,"""A.P.238/5/11"""
ra_020100_title#0,"""為雜事東奔西走"""
ra_020100_date#0,"""A.P.238/5/13"""
ra_020110_title#0,"""一個人的亞琪"""
ra_020110_date#0,"""A.P.238/5/15"""
ra_020120_title#0,"""肉體之死、靈魂之循環"""
ra_020120_date#0,"""A.P.238/5/17"""
ra_020130_title#0,"""最新的靈魂!"""
ra_020130_date#0,"""A.P.238/5/19"""
ra_020140_title#0,"""單方面的請求"""
ra_020140_date#0,"""A.P.238/5/19"""
ra_020150_title#0,"""到龍祭壇之路同行的請求"""
ra_020150_date#0,"""A.P.238/5/22"""
st_020105_title#0,"""模糊的感覺"""
st_020105_date#0,"""A.P.238/5/25"""
st_020170_title#0,"""莎拉的嚮導"""
st_020170_date#0,"""A.P.238/5/25/10:00"""
st_020180_title#0,"""等待的人的真實身分"""
st_020180_date#0,"""A.P.238/5/25/10:30"""
st_020190_title#0,"""莎拉的惡作劇"""
st_020190_date#0,"""A.P.238/5/25/11:00"""
st_020110_title#0,"""蕾拉的邀請"""
st_020110_date#0,"""A.P.238/5/25/11:30"""
st_020195_title#0,"""夏歐"""
st_020195_date#0,"""A.P.238/5/25/11:30"""
st_020120_title#0,"""亞琪和庫娜的關係"""
st_020120_date#0,"""A.P.238/5/25/12:00"""
st_020130_title#0,"""也無法贖罪"""
st_020130_date#0,"""A.P.238/5/25/12:30"""
st_020140_title#0,"""不要別開視線!"""
st_020140_date#0,"""A.P.238/5/25/13:00"""
st_020150_title#0,"""輪迴的中心"""
st_020150_date#0,"""A.P.238/5/25/13:30"""
st_020160_title#0,"""笑著活下去"""
st_020160_date#0,"""A.P.238/5/25/14:00"""
st_020198_title#0,"""開始改變吧"""
st_020198_date#0,"""A.P.238/4/1"""
st_020200_title#0,"""為了改變歴史而來"""
st_020200_date#0,"""A.P.238/4/1/12:10"""
st_020210_title#0,"""目的的整理"""
st_020210_date#0,"""A.P.238/4/1/12:20"""
st_020220_title#0,"""睽違40年的殺意"""
st_020220_date#0,"""A.P.238/4/1/12:30"""
st_020230_title#0,"""【巨躯】的衰減"""
st_020230_date#0,"""A.P.238/4/1/12:50"""
st_020240_title#0,"""和傑諾的約定"""
st_020240_date#0,"""A.P.238/4/1/13:10"""
ra_020030_title#0,"""第14張的交付"""
ra_020030_date#0,"""A.P.238/5/27"""
ra_020300_title#0,"""莉莉芭族的住處"""
ra_020300_date#0,"""A.P.238/6/1"""
ra_020310_title#0,"""警戒的瑪麗亞"""
ra_020310_date#0,"""A.P.238/6/2"""
ra_020340_title#0,"""正確的標本"""
ra_020340_date#0,"""A.P.238/6/3"""
ra_020350_title#0,"""因為覺得很奇怪……"""
ra_020350_date#0,"""A.P.238/6/3"""
ra_020320_title#0,"""芙莉葉的邀請"""
ra_020320_date#0,"""A.P.238/6/4"""
ra_020330_title#0,"""亞方的煩惱"""
ra_020330_date#0,"""A.P.238/6/5"""
st_020300_title#0,"""走在前方的人影"""
st_020300_date#0,"""A.P.238/6/10"""
st_020310_title#0,"""和芙莉葉警戒巡邏"""
st_020310_date#0,"""A.P.238/6/10/10:00"""
st_020360_title#0,"""尋找中的亞方"""
st_020360_date#0,"""A.P.238/6/10/10:10"""
st_020320_title#0,"""旅行就是要旅伴同行"""
st_020320_date#0,"""A.P.238/6/10/10:20"""
st_020330_title#0,"""瑪麗亞的預感"""
st_020330_date#0,"""A.P.238/6/10/10:40"""
st_020370_title#0,"""沒有人記得"""
st_020370_date#0,"""A.P.238/6/10/10:40"""
st_020340_title#0,"""不可能互相理解"""
st_020340_date#0,"""A.P.238/6/10/11:00"""
st_020380_title#0,"""亞方與【若人】"""
st_020380_date#0,"""A.P.238/6/10/11:10"""
st_020350_title#0,"""要決定自己的事情的就是自己"""
st_020350_date#0,"""A.P.238/6/10/11:30"""
st_020390_title#0,"""雖然沒有想放棄"""
st_020390_date#0,"""A.P.238/6/10/11:30"""
ra_020340_a_title#0,"""正しさの見本として（A）"""
ra_020340_a_date#0,"""A.P.238/6/3"""
ra_020340_b_title#0,"""正しさの見本として（B）"""
ra_020340_b_date#0,"""A.P.238/6/3"""
st_020250_title#0,"""隨便的梅爾馮希娜"""
st_020250_date#0,"""A.P.238/6/13/10:00"""
st_020260_title#0,"""毀壞的是我"""
st_020260_date#0,"""A.P.238/6/13/10:30"""
st_020270_title#0,"""像姐姐一樣"""
st_020270_date#0,"""A.P.238/6/13/11:00"""
st_020280_title#0,"""已經無法再呼叫名字"""
st_020280_date#0,"""A.P.238/6/13/11:30"""
st_020290_title#0,"""把那個人還來"""
st_020290_date#0,"""A.P.238/6/13/12:00"""
st_020293_title#0,"""如果要尋找就要奪取"""
st_020293_date#0,"""A.P.238/6/13/12:30"""
st_020296_title#0,"""我真正的名字"""
st_020296_date#0,"""A.P.238/6/13/12:40"""
ra_020040_title#0,"""第15張的交付"""
ra_020040_date#0,"""A.P.238/6/12"""
ra_020400_title#0,"""越是吵架"""
ra_020400_date#0,"""A.P.238/6/15"""
ra_020440_title#0,"""這是機密麼？"""
ra_020440_date#0,"""A.P.238/6/20"""
ra_020420_title#0,"""想起他"""
ra_020420_date#0,"""A.P.238/6/23"""
ra_020410_title#0,"""在這裡還無法抓住"""
ra_020410_date#0,"""A.P.238/6/24"""
ra_020430_title#0,"""真心話與客套話"""
ra_020430_date#0,"""A.P.238/6/26"""
st_020400_title#0,"""要和誰會合"""
st_020400_date#0,"""A.P.238/6/28"""
st_020450_title#0,"""真是個大好人"""
st_020450_date#0,"""A.P.238/6/28/9:30"""
st_020460_title#0,"""錯愕的莎拉"""
st_020460_date#0,"""A.P.238/6/28/10:00"""
st_020470_title#0,"""不擅長溝通？"""
st_020470_date#0,"""A.P.238/6/28/10:30"""
st_020480_title#0,"""無法裡解的研究"""
st_020480_date#0,"""A.P.238/6/28/11:00"""
st_020490_title#0,"""接觸的差異"""
st_020490_date#0,"""A.P.238/6/28/11:30"""
st_020410_title#0,"""伽布拉岡的道路介紹"""
st_020410_date#0,"""A.P.238/6/28/11:30"""
st_020420_title#0,"""不負責任的記憶"""
st_020420_date#0,"""A.P.238/6/28/12:00"""
st_020430_title#0,"""早説了你不聽"""
st_020430_date#0,"""A.P.238/6/28/12:30"""
st_020440_title#0,"""不會停止的顫抖"""
st_020440_date#0,"""A.P.238/6/28/13:00"""
ra_020050_title#0,"""第16張的交付"""
ra_020050_date#0,"""A.P.238/6/29"""
ra_020500_title#0,"""無法掌握的情報"""
ra_020500_date#0,"""A.P.238/7/1"""
ra_020510_title#0,"""情報封鎖的經過"""
ra_020510_date#0,"""A.P.238/7/2"""
ra_020520_title#0,"""可以説與不能説的事"""
ra_020520_date#0,"""A.P.238/7/3"""
st_020510_title#0,"""有意識的改變歴史"""
