Category_All#0,"""全部"""
Label_Green#0,"""G"""
Label_Blue#0,"""B"""
Button_Slider_Left#0,"""<%ChangeCtrlWindowForward>"""
Button_Slider_Right#0,"""<%MultiSelect>"""
Label_Preference#0,"""設置場景"""
Label_Field#0,"""場景"""
Label_Weather#0,"""天氣"""
Label_TimePreference#0,"""設置時間"""
Label_TimeCount#0,"""$(0):$(1)"""
Label_TimeGuide#0,"""以1小時為單位進行變更：按住<%Decide>再按←/→"""
Esthe#0,"""美容院畫面"""
CentralCity#0,"""中央都市"""
AelioGrassland#0,"""哈爾法娜平原"""
AelioMarshland#0,"""哈爾法娜湿原"""
RetemCentral#0,"""中央黎泰姆"""
Fine#0,"""晴"""
Cloudy#0,"""陰"""
Rainy#0,"""雨"""
Fog#0,"""霧"""
Title_VoiceSelect#0,"""選擇語音"""
Label_NowVoice#0,"""$(0)"""
Label_PlayVoice#0,"""$(0)<pict 4space>播放"""
Label_Pitch#0,"""音調変更"""
Label_Effect#0,"""語音效果"""
Tag_Voice1#0,"""人型類型1"""
Tag_Voice2#0,"""人型類型2"""
Tag_Voice3#0,"""機器人類型1"""
Tag_Voice4#0,"""機器人類型2"""
Operation_Decide#0,"""選擇：<%Decide>"""
Operation_Decide_Cancel#0,"""選擇：<%Decide>　返回：<%Cancel>"""
Operation_Default#0,"""選擇：<%Decide>　返回：<%Cancel>　標記項目：<swguidetype Pinned>"""
Operation_Pantograph#0,"""選擇/解除：<%Decide>　返回：<%Cancel>　標記項目：<swguidetype Pinned>"""
Operation_CheckBox#0,"""選擇：<%Decide>　返回：<%Cancel>　標記項目：<swguidetype Pinned>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_Slider#0,"""10移動階段：<%Decide>＋左右　返回：<%Cancel>　標記項目：<swguidetype Pinned>"""
Operation_FaceCustom#0,"""選擇：<%Decide>　10移動階段：<%Decide>＋左右　返回：<%Cancel>"""
Help_FaceVariation#0,"""面部類型説明"""
Help_AdjustFaceOutline#0,"""輪郭調整"""
Help_AdjustFaceParts#0,"""臉部調整"""
Help_HairAndHeadparts#0,"""髮型・頭部部件"""
Help_HairArrange#0,"""整理髮型"""
Help_HairColor#0,"""髮色設定"""
Help_EyePattern_Right#0,"""右瞳類型"""
Help_EyePattern_Left#0,"""左瞳類型"""
Help_SyncEye#0,"""右眼和左眼同步變動"""
Help_SyncEyeText#0,"""將右瞳的顔色和左瞳的顔色同步"""
Help_EyeColor#0,"""設定瞳色"""
Help_AdjustEye#0,"""調整眼部"""
Help_Eyebrows#0,"""選擇眉毛"""
Help_SyncEyebrows#0,"""同時設定眉毛的顔色"""
Help_SyncEyebrowsText#0,"""和髮色1的顔色同步"""
Help_EyebrowsColor#0,"""設定眉色"""
Help_EyebrowsAlpha#0,"""眉毛的濃淡"""
Help_EyeLashes#0,"""選擇睫毛"""
Help_SyncEyeLashes#0,"""同時設定睫毛的顔色"""
Help_SyncEyeLashesText#0,"""和髮色1的顔色同步"""
Help_EyeLashesColor#0,"""設定睫毛的顔色"""
Help_AdjustNoseSize#0,"""調整鼻子的尺寸"""
Help_AdjustNoseHeight#0,"""調整鼻梁的高低"""
Help_Tooth#0,"""選擇牙齒"""
Help_Mouth#0,"""調整口部"""
Help_Ear#0,"""選擇耳朵"""
Help_AdjustEar#0,"""調整耳朵的形狀"""
Help_Horn#0,"""選擇角"""
Help_AdjustHorn#0,"""調整角的形狀"""
Help_MakePattern1#0,"""選擇妝容種類1"""
Help_MakePattern2#0,"""選擇妝容種類2"""
Help_AdjustLineOfSight#0,"""調整視線"""
Help_AdjustEyeSize#0,"""調整黑眼珠的尺寸"""
Help_AdjustEyePosition#0,"""調整黑眼珠的位置"""
Help_AdjustNeckAngle#0,"""調整頸部的角度"""
Help_AdjustBody#0,"""調整體型"""
Help_AdjustNeck#0,"""調整頸部"""
Help_AdjustBust#0,"""調整胸部"""
Help_UpperArm#0,"""肩部的體積"""
Help_AdjustArm#0,"""調整手臂"""
Help_AdjustHand#0,"""調整手部"""
Help_AdjustWaist#0,"""調整腰部"""
Help_AdjustLeg#0,"""調整脚部"""
Help_Skin#0,"""選擇皮膚"""
Help_SkinColor#0,"""設定皮膚顔色"""
Help_SSS#0,"""皮膚輔助色的強弱"""
Help_SkinGloss#0,"""調整皮膚光澤"""
Help_Muscle#0,"""調整肌肉量"""
Help_BodyPaint1#0,"""選擇身體彩繪1"""
Help_BodyPaint2#0,"""選擇身體彩繪2"""
Help_BodyPaintLayer#0,"""改變選擇身體彩繪的顯示順序"""
Help_LayerPriority1#0,"""優先度1"""
Help_LayerPriority2#0,"""優先度2"""
Help_LayerPriority3#0,"""優先度3"""
Help_DropdownItem_BodyPaint1#0,"""身體彩繪1"""
Help_DropdownItem_BodyPaint2#0,"""身體彩繪2"""
Help_DropdownItem_Inner#0,"""内衣"""
Help_Costume#0,"""選擇服裝"""
Help_CostumeColor#0,"""設定服裝顔色"""
Help_OuterWear#0,"""選擇外套"""
Help_OuterWearColor#0,"""設定外套顔色"""
Help_BaseWear#0,"""選擇底衣"""
Help_BaseWearColor#0,"""設定底衣顔色"""
Help_InnerWear#0,"""選擇内衣"""
Help_InnerWearColor#0,"""設定内衣顔色"""
Help_BodyParts#0,"""選擇身體部件"""
Help_ArmParts#0,"""選擇手臂部件"""
Help_LegParts#0,"""選擇腿部部件"""
Help_PartsColor#0,"""設定部件顔色"""
Help_Sticker#0,"""選擇貼紙"""
Operation_DropDown#0,"""選擇：<%Decide>　返回：<%Cancel>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>　角色旋轉：<swguidetype CharaTurn>"""
Operation_BodyPaint#0,"""選擇：<%Decide>　返回：<%Cancel>　標記項目：<swguidetype Pinned>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_SideSlider#0,"""10調整階段：<%Decide>＋左右　返回：<%Cancel>　標記項目：<swguidetype Pinned>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_DiamondSlider#0,"""選擇/解除：<%Decide>　返回：<%Cancel>　標記項目：<swguidetype Pinned>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_Morphing#0,"""選擇/解除：<%Decide>　返回：<%Cancel>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_ItemSelect#0,"""選擇：<%Decide>　返回：<%Cancel>　標記項目：<swguidetype Pinned>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_ItemWindow#0,"""選擇：<%Decide>　返回：<%Cancel>　移動操作項目：<%NextWidget>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_ColorPicker#0,"""選擇：<%Decide>　返回：<%Cancel>　標記項目：<swguidetype Pinned>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Operation_ColorPickerWindow#0,"""選擇/解除：<%Decide>　返回：<%Cancel>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　重置鏡頭：<swguidetype CameraReset>"""
Operation_BodyType#0,"""選擇：<%Decide>　返回：<%Cancel>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>　角色旋轉：<swguidetype CharaTurn>"""
Operation_ColorPickerAll#0,"""選擇：<%Decide>　返回：<%Cancel>　鏡頭距離：<swguidetype CameraLength>　鏡頭旋轉：<swguidetype CameraTurn>　鏡頭上下移動：<swguidetype CameraUpDown>　重置鏡頭：<swguidetype CameraReset>"""
Disable_Reason_Synchronized#0,"""$(0)　<yellow>※同步中<c>"""
Disable_Reason_Unsupported#0,"""$(0)　<yellow>※不適用<c>"""
Message_Face_Variation_Unsupported#0,"""該編輯項目不適用於當前所選擇的面部類型"""
Message_Base_Wear_Unsupported#0,"""該編輯項目不適用於當前所選擇的底衣"""
ChangeToRebootBody#0,"""因為體型類型發生了變更，一部分編輯項目也隨之發生了變更。"""
ChangeToClassicBody#0,"""因為體型類型發生了變更，一部分編輯項目也隨之發生了變更。"""
ChangeToFigureType#0,"""因為體型類型發生了變更，一部分編輯項目也隨之發生了變更。"""
ChangeToSetWear#0,"""切換了是否顯示套服。"""
ChangeToLayeringWear#0,"""切換了是否顯示分層服裝。"""
Erro_Message_FaceType#0,"""該編輯項目不適用於當前所選擇的面部類型。"""
Erro_Message_HairStyle#0,"""該編輯項目不適用於當前所選擇的髮型。"""
Erro_Message_HairParts#0,"""該編輯項目不適用於當前所選擇的頭部部件。"""
Erro_Message_BodyType#0,"""該編輯項目不適用於當前所選擇的體型。"""
Erro_Message_BaseWear#0,"""該編輯項目不適用於當前所選擇的底衣・套服。"""
Erro_Message_OuterWear#0,"""該編輯項目不適用於當前所選擇的外套。"""
Erro_Message_InnerWear#0,"""該編輯項目不適用於當前所選擇的内衣。"""
Erro_Message_CastParts#0,"""該編輯項目不適用於當前所選擇的機器人部件。"""
Erro_Message_Costume#0,"""該編輯項目不適用於當前所選擇的服裝。"""
Change_To_Edit_items#0,"""因為有與指定的項目發生關聯的項目，相應的編輯内容也發生了變化。"""
Title_CheckHasEsthePass#0,"""確認所持的必須道具"""
Error_CheckHasEsthePass#0,"""沒有變更色彩的道具。<br>因此需要取消色彩編輯。"""
Error_ChangeInvalidParts#0,"""因為體型類型發生了變化，選擇的項目不再適用。"""
Error_AccessoryCost#0,"""因為飾品的用度超過了上限，所以不能繼續裝備飾品。"""
Error_MotionCost#0,"""因為行動方式的用度超過了上限，所以不能繼續裝備動作。"""
Error_ChangeColor#0,"""由於不同服裝等處於顏色聯動的狀態，所以不能適用。"""
ChangeColorInner1#0,"""變更了內衣顏色1。"""
ChangeColorInner2#0,"""變更了內衣顏色2。"""
ChangeColorBasewear1#0,"""變更了底衣顏色1。"""
ChangeColorBasewear2#0,"""變更了底衣顏色2。"""
ChangeColorSetwear1#0,"""變更了套服顏色1。"""
ChangeColorSetwear2#0,"""變更了套服顏色2。"""
ChangeColorOuter1#0,"""變更了外套顏色1。"""
ChangeColorOuter2#0,"""變更了外套顏色2。"""
ChangeColorSkin1#0,"""變更了皮膚顏色。"""
ChangeColorSkin2#0,"""變更了皮膚血色。"""
Label_Wait#0,"""待機"""
Label_Run#0,"""移動"""
Label_Jump#0,"""跳躍"""
Label_Dush#0,"""衝刺"""
Label_Glide#0,"""滑翔"""
Label_Swim#0,"""游泳"""
Label_SubTitle#0,"""變更行動方式"""
Label_Landing#0,"""落地"""
Label_SelectedMotion#0,"""現在的設置"""
Label_Cost#1,"""用度"""
Button_ResetDefault#0,"""返回初期狀態"""
Label_Title#0,"""設為隨機"""
Label_Race#0,"""種族"""
Label_Type#0,"""類型"""
Label_Make#0,"""<pict random_box_1><pict 4space>生成"""
Selection_Human#0,"""人型"""
Selection_Cast#0,"""機器人"""
Selection_Male#0,"""類型１"""
Selection_Female#0,"""類型２"""
Message_SaveFailed#0,"""角色創建數據保存失敗。"""
Message_SaveSuccess#0,"""保存了角色創建數據。"""
Message_Confirmation#0,"""有同名稱的角色創建數據。要覆蓋保存麼？"""
Message_Title#0,"""確定覆蓋保存"""
Message_LoadFailed#0,"""讀取角色創建數據失敗。"""
Tag_HumanMale#0,"""人類類型1"""
Tag_HumanFemale#0,"""人類類型2"""
Tag_NewmanMale#0,"""新人類類型1"""
Tag_NewmanFemale#0,"""新人類類型2"""
Tag_CastMale#0,"""機器人類型1"""
Tag_CastFemale#0,"""機器人類型2"""
Tag_DewmanMale#0,"""魔人類型1"""
Tag_DewmanFemale#0,"""魔人類型2"""
Label_TestButton#1,"""確認行動方式"""
Label_Pause#1,"""停止"""
Message#0,"""要從<yellow>主線劇情“1章”<c>開始麼？<br><br>若主線劇情“序章”（教程劇情）<br>已由其他角色通過，則可以從<br><yellow>主線委託“最初的試煉”<c>起<br>開始游戲。<yellow>※跳過的委託將不會獲得報酬。<c>"""
Message_Playgo#0,"""要從<yellow>主線劇情“1章”<c>開始麼？<br><br>若主線劇情“序章”（教程劇情）<br>已由其他角色通過，則可以從<br><yellow>主線委託“最初的試煉”<c>起<br>開始游戲。<yellow>※跳過的委託將不會獲得報酬。<br>※若尚未完成下載，<br>　將返回標題界面。<c>"""
Message_No#0,"""要從<yellow>主線劇情“序章”<c>（教程劇情）開始麼？"""
Message_1#0,"""要從<yellow>主線劇情“2章”<c>開始麼？<br><br>若主線劇情“1章”（艾亞利奧地區劇情）<br>已由其他角色通過，則可以從<br><yellow>主線委託“新的任務”<c>起<br>開始游戲。<yellow>※跳過的委託將不會獲得報酬。<c>"""
Message_1_Playgo#0,"""要從<yellow>主線劇情“2章”<c>開始麼？<br><br>若主線劇情“1章”（艾亞利奧地區劇情）<br>已由其他角色通過，則可以從<br><yellow>主線委託“新的任務”<c>起<br>開始游戲。<yellow>※跳過的委託將不會獲得報酬。<br>※若尚未完成下載，<br>　將返回標題界面。<c>"""
SkipCheck_Title#0,"""確認跳過主線劇情"""
SkipCheck_MainText#0,"""可以跳過<yellow>已由其他角色通關的主線劇情<c>。<br>請選擇劇情的開始地點。"""
SkipCheck_Text#0,"""從序章開始"""
SkipCheck_Text1#0,"""從１章開始"""
SkipCheck_Text2#0,"""從２章開始"""
Label_Type1#0,"""類型１優先"""
Label_Type2#0,"""類型２優先"""
Label_Notice#2,"""進行大廳動作和行動方式、<br>類型1與類型2<br>優先播放的選擇。<br><br><yellow>※全部的大廳動作<br>通常動作的優先度都會變化。<c>"""
Popup_Remove#1,"""取下"""
Popup_RemoveBodyPaint#0,"""取下身體彩繪"""
Popup_ChangeColorInner1#0,"""變更[In]顏色1"""
Popup_ChangeColorInner2#0,"""變更[In]顏色2"""
Popup_ChangeColorBasewear1#0,"""變更[Ba]顏色1"""
Popup_ChangeColorBasewear2#0,"""變更[Ba]顏色2"""
Popup_ChangeColorSetwear1#0,"""變更[Se]顏色1"""
Popup_ChangeColorSetwear2#0,"""變更[Se]顏色2"""
Popup_ChangeColorOuter1#0,"""變更[Ou]顏色1"""
Popup_ChangeColorOuter2#0,"""變更[Ou]顏色2"""
Popup_ChangeColorSkin1#0,"""變更皮膚顏色"""
Popup_ChangeColorSkin2#0,"""變更皮膚血色"""
Title_ChangeColorInner1#0,"""內衣顏色1"""
Title_ChangeColorInner2#0,"""內衣顏色2"""
Title_ChangeColorBasewear1#0,"""底衣顏色1"""
Title_ChangeColorBasewear2#0,"""底衣顏色2"""
Title_ChangeColorSetwear1#0,"""套服顏色1"""
Title_ChangeColorSetwear2#0,"""套服顏色2"""
Title_ChangeColorOuter1#0,"""外套顏色1"""
Title_ChangeColorOuter2#0,"""外套顏色2"""
Title_ChangeColorSkin1#0,"""皮膚顏色"""
Title_ChangeColorSkin2#0,"""皮膚血色"""
