OrderList#0,"""毎日製作清單"""
PAExplanation#0,"""挙動説明文"""
CraftAnalyzeSelect#0,"""選擇分解道具"""
CraftAnalyzeGet#0,"""分解後可獲得之道具"""
CraftAnalyzeSuccess#0,"""結果為 <green>成功<c> 時"""
CraftAnalyzeHugeSuccess#0,"""結果為 <c ff007f>大成功！<c> 時"""
CraftAnalyzeResult#0,"""道具分解的最終確認"""
CraftAnalyze#0,"""道具分解"""
CraftAnalyzeExplain#0,"""<c f0df60>分解★7或以上的裝備或是LV.11或以上的光盤，可以獲得鍛造所需的素材道具。<c>"""
CraftAnalyzeConfirm#0,"""確定要分解「$(0)」麼。<br><br>※分解後道具會<c ff0000>消失<c><br>　請注意。<c>"""
CraftSuccess#0,"""道具分解 <green>成功<c> 。<br>獲得了下列道具。"""
CraftBigSuccess#0,"""道具分解 <c ff007f>大成功！<c> <br>獲得了下列道具。"""
CraftAnalyzeDisable#0,"""可能因道具背包空間不足，<br>或超過持有數上限，<br>因此未能分解。"""
CraftAnalyzeLock#0,"""這個道具尚未解鎖，<br>無法分解。"""
CraftAnalyzeEquip#0,"""此道具已裝備，<br>無法分解。"""
CraftAnalyzeComError#0,"""因通訊錯誤，<br>未能分解。"""
CraftAnalyzeNoItem#0,"""未選擇道具"""
CraftAnalyzeItemInfo#0,"""　× $(0)"""
CraftAnalyzeTogetherSelectItem#0,"""選択中のアイテム数"""
CraftAnalyzeTogetherSlash#0,"""/"""
CraftAnalyzeTogetherDenominator#0,"""10"""
CraftAnalyzeTogetherAnalyze#0,"""分解する"""
CraftAnalyzeTogetherConfirm#0,"""以下の$(0)個のアイテムを分解します。<br>よろしいですか？<br><br>※分解したアイテムは<c ff0000>消滅します<c>ので<br>\u3000ご注意ください。<c>"""
CraftAnalyzeTogetherDisable#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超える可能性があるため<br>分解できません。"""
CraftAnalyzeTogetherToast#0,"""ロック中のアイテムは分解できません。"""
CraftAnalyzeTogetherSuccess#0,"""アイテム分解が完了しました。<br> \u3000<green>成功$(0)回<c><br>以下のアイテムを入手しました。"""
CraftAnalyzeTogetherBigSuccess#0,"""アイテム分解が完了しました。<br> \u3000<c ff007f>大成功$(0)回<c><br>以下のアイテムを入手しました。"""
CraftAnalyzeTogetherSuccessAndBigSuccess#0,"""アイテム分解が完了しました。<br> \u3000<green>成功$(0)回<c><br> \u3000<c ff007f>大成功$(1)回<c><br>以下のアイテムを入手しました。"""
CraftAnalyzeTogetherFailedListMessage#0,"""以下のアイテムは通信状態により<br>分解が実行されませんでした。<br><br><c ff0000>※分解されていないため<br>アイテムは消滅していません。<c>"""
TechnicSelect#0,"""法術選擇"""
CustomizeContent#0,"""自定義内容"""
MakeMaterial#0,"""製作所須素材"""
TechnicCustomizeResult#0,"""法術自定義結果"""
TechnicDetail#0,"""法術詳情"""
LearnCheck#0,"""客製光盤的最終確認"""
CustomizeAbility#0,"""自定義性能"""
Level#1,"""Lv."""
Power#0,"""威力"""
Cost#0,"""消費PP"""
ExplainTechnicSelect#0,"""<c f0df60>請選擇想要改造的法術。<c>"""
ExplainCustomizeTypeSelect#0,"""<c f0df60>請從鍛造清單，選擇想要改造的法術類型。<c>"""
ExplainTechnicCustomizeConfirm#0,"""<c f0df60>這是法術自定義的最終確認界面。<c>"""
TechnicCustomizeConfirmMessage#0,"""實行法術自定義。<br>實行後會製作客製光盤。<br>（從道具背包選擇「使用」即可執行）<br>確定麼？<br><br>冷卻時間：$(0)"""
TechnicCustomizeSuccessMessage#0,"""法術自定義 <green>成功<c> 。"""
TechnicCustomizeSpecialSuccessMessage#0,"""法術自定義 <c ff007f>大成功<c>。"""
AchieveAll#1,"""屬性無條件"""
AchieveAttrFire#0,"""屬性： 炎屬性法術"""
AchieveAttrIce#0,"""屬性： 冰屬性法術"""
AchieveAttrThunder#0,"""屬性： 雷屬性法術"""
AchieveAttrWind#0,"""屬性： 風屬性法術"""
AchieveAttrLight#0,"""屬性： 光屬性法術"""
AchieveAttrDark#0,"""屬性： 暗屬性法術"""
AchieveRecipeNoLevel#1,"""無條件"""
AchieveRecipeLevel#1,"""製作等級$(0)或以上可解放的製作清單"""
AchieveCustomNoRank#0,"""無條件"""
AchieveCustomRank1#0,"""製作清單級別： 製作清單1"""
AchieveCustomRank2#0,"""製作清單級別： 製作清單2"""
AchieveCustomRank3#0,"""製作清單級別： 製作清單3"""
AchieveResultAll#1,"""無條件"""
AchieveResultSuccess#1,"""結果條件： 必須為 大成功！ """
AchieveMakeAll#1,"""無條件"""
AchieveMakeReceive#1,"""從委託中選擇製作"""
AchieveNumber#1,""" $(0)/ $(1)"""
AchieveTec_00#0,"""對象： 火焰術"""
AchieveTec_01#0,"""對象： 凝・焚身焰環"""
AchieveTec_02#0,"""對象： 勢・壓縮爆破"""
AchieveTec_03#0,"""對象： 導・焰浪侵襲"""
AchieveTec_04#0,"""對象： 攻撃結界"""
AchieveTec_05#0,"""對象： 御・熾焰煉獄"""
AchieveTec_06#0,"""對象： 極致・天火隕石"""
AchieveTec_07#0,"""對象： 冰牙術"""
AchieveTec_08#0,"""對象： 凝・寒冰波動"""
AchieveTec_09#0,"""對象： 勢・冰霜風暴"""
AchieveTec_10#0,"""對象： 導・冰牙埋葬"""
AchieveTec_11#0,"""對象： 防禦結界"""
AchieveTec_12#0,"""對象： 御・冰凌壓制"""
AchieveTec_13#0,"""對象： 極致・終霜之刻"""
AchieveTec_14#0,"""對象： 雷迅術"""
AchieveTec_15#0,"""對象： 凝・連鎖閃電"""
AchieveTec_16#0,"""對象： 勢・雷芯牢獄"""
AchieveTec_17#0,"""對象： 導・雷蓄之球"""
AchieveTec_18#0,"""對象： 雷迅磁場"""
AchieveTec_19#0,"""對象： 御・雷暴連襲"""
AchieveTec_20#0,"""對象： 極致・雷鳥衝擊"""
AchieveTec_21#0,"""對象： 風斬術"""
AchieveTec_22#0,"""對象： 凝・環風舞刃"""
AchieveTec_23#0,"""對象： 勢・旋風龍捲"""
AchieveTec_24#0,"""對象： 導・風捲旋渦"""
AchieveTec_25#0,"""對象： 御・烈風爆擊"""
AchieveTec_26#0,"""對象： 風斬結界"""
AchieveTec_27#0,"""對象： 極致・暴風龍捲"""
AchieveTec_28#0,"""對象： 閃光術"""
AchieveTec_29#0,"""對象： 凝・逆旋光劍"""
AchieveTec_30#0,"""對象： 勢・閃耀之槍"""
AchieveTec_31#0,"""對象： 治療結界"""
AchieveTec_32#0,"""對象： 淨化結界"""
AchieveTec_33#0,"""對象： 御・閃光力場"""
AchieveTec_34#0,"""對象： 極致・霞光軌跡"""
AchieveTec_35#0,"""對象： 深暗術"""
AchieveTec_36#0,"""對象： 凝・暗影天陣"""
AchieveTec_37#0,"""對象： 勢・暗影之痕"""
AchieveTec_38#0,"""對象： 導・暗影追跡"""
AchieveTec_39#0,"""對象： 深暗結界"""
AchieveTec_40#0,"""對象： 御・湮滅漫延"""
AchieveTec_41#0,"""對象： 極致・汲魂魔爪"""
TechnicCustomizeDisable#0,"""因道具背包剩餘空間不足<br>無法進行法術自定義。"""
CraftErrorTitle#0,"""鍛造"""
CraftErrorServerBug#0,"""未能取得製作資料。<br>[No.2400]"""
CraftErrorClientBug#0,"""未能進行製作。<br>請稍後再試。<br>[No.2401]"""
CraftErrorCraftTypeInvalid#0,"""未能進行製作。<br>請稍後再試。<br>[No.2402]"""
CraftErrorNotInMyRoom#0,"""未能進行製作。<br>請稍後再試。<br>[No.2403]"""
CraftErrorBatteryInvalid#0,"""未能進行製作。<br>請稍後再試。<br>[No.2404]"""
CraftErrorBatteryNotReleased#0,"""因所選擇的生產線尚未被解放，<br>無法使用。"""
CraftErrorBatteryNotPremium#0,"""因所選擇的生產線為VIP專用，<br>無法使用。"""
CraftErrorBatteryNotPaid#0,"""因所選擇的生產線尚未購買，<br>無法使用。"""
CraftErrorBatteryNotCharged#0,"""因所選擇的生產線仍在冷卻中，<br>無法使用。"""
CraftErrorBatteryNotForSale#0,"""所選擇的生產線<br>無法購買。"""
CraftErrorBatteryAlreadyPaid#0,"""因所選擇的生產線<br>已經購買。"""
CraftErrorBatteryAlreadyCharged#0,"""因所選擇的産線的冷卻時間已經結束，<br>無法縮短冷卻時間。"""
CraftErrorRecipeInvalid#0,"""選擇的製作清單不正確。"""
CraftErrorRecipeNotLearned#0,"""選擇的製作清單尚未習得。"""
CraftErrorMaterialInvalid#0,"""必要素材不正確。"""
CraftErrorMaterialLack#0,"""所須素材不足。"""
CraftErrorMaterialInpossibleAdd#0,"""必要素材無法追加刪除。"""
CraftErrorSupportInvalid#0,"""補助道具不正確。"""
CraftErrorSupportLack#0,"""補助道具不足。"""
CraftErrorMesetaLack#0,"""美賽達不足。"""
CraftErrorArksCashLack#0,"""AC不足。"""
CraftErrorPaidItemNotFound#0,"""選擇的道具找不到。"""
CraftErrorPaidItemInvalid#0,"""該道具無法使用。"""
CraftErrorExtendInvalid#0,"""未能執行擴張。<br>請稍後再試。<br>[No.2405]"""
CraftErrorExtendTargetNon#0,"""沒有對象道具。"""
CraftErrorExtendTargetInvalid#0,"""該道具無法擴張。"""
CraftErrorExtendParameterInvalid#0,"""擴張數值不正確。"""
CraftErrorTechnicInvalid#0,"""法術自定義發生錯誤。"""
CraftErrorTechnicParameterInvalid#0,"""法術自定義數值不正確。"""
CraftErrorOrderBlack#0,"""未能委託製作。<br>請稍後再試。<br>[No.2406]"""
CraftErrorOrderNotMyRoom#0,"""因不在個人小屋，<br>未能執行。"""
CraftErrorOrderSlotNotEmpty#0,"""選擇的訂單已在使用中。"""
CraftErrorOrderSlotNotFound#0,"""因訂單状態被變更，<br>操作中斷。"""
CraftErrorOrderSlotInvalidState#0,"""未能受理委託。<br>請稍後再試。<br>[No.2407]"""
CraftErrorOrderDBAccess#0,"""未能受理委託。<br>請稍後再試。<br>[No.2408]"""
CraftErrorOrderReceiveMax#0,"""已達可受理訂單件數上限，<br>取消委託。"""
CraftErrorOrderBackpackFull#0,"""可能因道具背包空間不足，<br>或超過持有數量上限，<br>故無法領取。"""
CraftErrorGeneral#0,"""未能進行鍛造。<br>請稍後再試。<br>[No.2409]"""
CraftErrorNoData#0,"""未能進行鍛造。<br>請稍後再試。<br>[No.2410]"""
CraftErrorMesetaExceedMax#0,"""因超過美賽達持有數上限，<br>未能受理委託。"""
CraftErrorParameter#0,"""未能取得成就情報。<br>請稍後再試。"""
CraftErrorExecuteParamCheck#0,"""未能進行鍛造。<br>請稍後再試。<br>[No.2411]"""
CraftErrorNpcOrderExpire#0,"""因選擇的委託的委託期限已過，<br>未能執行。"""
CraftErrorNpcOrderInvalidOrderId#0,"""未能接受委託。<br>[No.2412]"""
CraftErrorNpcOrderAlreadyCrafted#0,"""選擇的委託已經達成。"""
CraftErrorNpcOrderBackpackFull#0,"""可能因道具背包空間不足，<br>或超過持有數量上限，<br>無法執行。"""
CraftErrorEnchantInvalid#0,"""未能進行鍛造。<br>[No.2413]"""
CraftErrorEnchantParameterInvalid#0,"""未能進行鍛造。<br>請稍後再試。<br>[No.2414]"""
CraftErrorEnchantNoStamp#0,"""找不到資料盤。"""
CraftErrorEnchantTemporaryStampExists#0,"""由於有保留存檔的時限能力資料盤，<br>故無法製作新的時限能力資料盤。"""
CraftErrorEnchantNoTemporaryStamp#0,"""沒有保留存檔的時限能力資料盤。"""
CraftErrorEnchantExpire#0,"""由於「容易被選中主效果」更新之故，<br>未能更新資料盤。"""
CraftErrorPaCustomizeInvalid#0,"""PAカスタマイズでエラーが発生しました。"""
CraftErrorPaCustomizeParameterInvalid#0,"""PAカスタマイズパラメータが正しくありません。"""
YesText#0,"""是"""
NoText#0,"""否"""
CloseText#0,"""關閉"""
OpenText#0,"""打開"""
Sort#0,"""排序"""
Copy#0,"""複製"""
Peaste#0,"""粘貼"""
NextText#0,"""下一頁"""
PrevText#0,"""上一頁"""
DecideText#0,"""確定"""
CancelText#0,"""取消"""
OKText#0,"""OK"""
ReturnText#0,"""返回"""
Switch_Vita#0,"""<pict Sign_TRIANGLE>切換"""
Undistribution#0,"""未發布"""
BuyChargeAll#0,"""リリパリウムオール（極大）を購入して使用<pict Arcscash>"""
EnchantDetails#1,"""製作清單情報（時限能力安裝）"""
TodayEffect#0,"""容易被選中主效果"""
EnchantRecipeMake#0,"""更新資料盤"""
EnchantResult#0,"""時限能力安裝結果"""
EnchantSavedMenu#0,"""可受理的製作清單登録菜單"""
Recipe#1,"""製作清單内容"""
RecipeResult#0,"""資料盤更新結果"""
RecipeSave#0,"""確認資料盤存檔"""
UnitType#0,"""資料盤選擇"""
ChipMake#0,"""製作時限能力資料"""
ChipSupport#0,"""補助道具使用確認"""
ChipResult#0,"""製作時限能力資料結果"""
EnchantSaved01#0,"""存檔的資料盤1"""
EnchantSaved02#0,"""存檔的資料盤2"""
EnchantSaved03#0,"""存檔的資料盤3"""
Item#1,"""項目"""
Before#1,"""現在的資料盤"""
After#1,"""新的資料盤"""
TypeRear#0,"""背部資料製作清單"""
TypeArm#0,"""手臂資料製作清單"""
TypeLeg#0,"""腿部資料製作清單"""
TypeAddon#0,"""對應位置"""
Effect01#0,"""主要效果"""
Effect02#0,"""副效果"""
Effect03#0,"""追加效果"""
Effect01_Announce#0,"""右邊任一個"""
EffectScope#0,"""效果發揮條件"""
EffectUpData#0,"""更新時間"""
Rise#0,"""上升値"""
Area#0,"""效果發揮條件"""
Days#0,"""效果時間"""
EnchantSaved#0,"""儲存"""
Save#0,"""存檔"""
Destroy#0,"""放棄"""
Return#0,"""回到生產線選擇"""
ReturnMenu#0,"""返回"""
ReturnRecipeRegister#0,"""返回製作清單種類選擇"""
ExplainEnchantMenu#0,"""<c f0df60>將會建立資料盤和時限能力資料，和確認所擁有的資料盤。<c>"""
ExplainRecipeSelect#0,"""<c f0df60>請選擇想使用來更新資料盤的製作清單。<c>"""
ExplainEnchantStampConfirm#0,"""<c f0df60>這是資料盤更新的最終確認畫面。使用輔助道具可以穩定各式各樣的效果。<c>"""
ExplainStampSelect#0,"""<c f0df60>請選擇想要用來製作時限能力資料的資料盤。<c>"""
ExplainEnchantStampItemConfirm#0,"""<c f0df60>這是製作時限能力資料的最終確認界面。使用輔助道具可以延長持續時間。<c>"""
TabItemAll#0,"""全防具"""
TabItemRear#0,"""背部"""
TabItemArm#0,"""手臂"""
TabItemLeg#0,"""腿部"""
EffectRateUpdateText#0,"""毎天<utc>4:00</utc>點更新"""
CompareItemRandom#0,"""隨機"""
CompareItemRandomLevel#0,"""隨機（Lv.$(0)）"""
CompareItemRate#0,"""依機率賦予"""
RecipeParam#0,"""$(0)$(1)"""
RecipeParamRange#0,"""$(0)$(1)～$(2)"""
StampConfirmMessage#0,"""更新資料盤。確定麼？<br>冷卻時間：$(0)"""
StampItemConfirmMessage#0,"""製作時限能力資料。確定麼？<br>冷卻時間：$(0)"""
EnchantStampSuccessMessage#0,"""資料盤更新 <green>成功<c> 。"""
EnchantStampSpecialSuccessMessage#0,"""資料盤更新 <c ff007f>大成功<c>。"""
StampNoData#0,"""資料盤未存檔"""
StampSaveConfirmWindowMessage#0,"""存檔已更新的資料盤。<br>確定麼？"""
StampSaveConfirmMessage#0,"""存檔已更新的資料盤。<br>真的確定麼？"""
StampSaveCancelConfirmMessage#0,"""放棄已更新的資料盤。<br>真的確定麼？"""
StampSaveResultTitle#0,"""資料盤存檔結果"""
StampSaveResultMessage#0,"""資料盤存檔。"""
StampSaveCancelResultMessage#0,"""放棄資料盤。"""
EnchantStampItemSuccessMessage#0,"""製作時限能力資料 <green>成功<c> 。"""
EnchantStampItemSpecialSuccessMessage#0,"""製作時限能力資料 <c ff007f>大成功！<c> <br>産生了下列效果。"""
StampGreatSuccessSubParamMax#0,"""副效果値最大化"""
StampGreatSuccessAddEffect#0,"""賦予追加效果"""
ItemGreatSuccessAddTime#0,"""效果時間增加"""
CreateStampItemDisable#0,"""因道具背包剩餘空間不足<br>製作時限能力資料無法進行。"""
RecipeSelectItemErrorMessage#1,"""所需的材料不足。<br><br>素材道具可以使用「道具分解」<br>分解★7或以上的配件取得，<br>或是打倒各行星出現的敵人會掉落。"""
StampSelectItemErrorMessage#0,"""所需的材料不足。<br><br>素材道具可以使用「道具分解」<br>分解★7或以上的配件取得，<br>或是打倒各行星出現的敵人會掉落。"""
StampSaveSignboardUpdateMessage#0,"""將看板設定更新為最新的資料盤。"""
AchieveEnchantTypeAll#0,"""無條件"""
AchieveEnchantTypeStampCreate#0,"""作成種別： 更新資料盤"""
AchieveEnchantTypeItemCreate#0,"""作成種別： 製作時限能力資料"""
AchieveEnchantEffectLevel#0,"""主效果等級： $(0)或以上"""
AchieveEnchantEffectRange#0,"""效果發揮條件： $(0)"""
AchieveEnchantEffectQuestTypeStory#0,"""劇情任務【EP1~3】"""
StampSwapNo#0,"""$(0).$(1)"""
StampSwapNew#0,"""新規保存"""
StampSwapConfirmTitle#0,"""バックアップデータドライブに保存"""
StampSwapConfirmTitle2#0,"""バックアップデータドライブから呼び出す"""
StampSwapConfirmMessage#0,"""バックアップデータドライブに保存します。<br>よろしいですか？<br><br><yellow>※上書きされたバックアップデータドライブ内のデータは消滅します。<br>\u3000ご注意ください。<c>"""
StampSwapConfirmMessage2#0,"""レシピにセットされているデータドライブを変更します。<br>よろしいですか？<br><br><yellow>※現在レシピにセットされているデータドライブがバックアップデータドライブに<br>\u3000保存されていない場合は変更後のデータドライブに上書きされ、<br>\u3000消滅しますのでご注意ください。<c>"""
StampSwapConfirmDecide#0,"""是"""
StampSwapConfirmCancel#0,"""否"""
StampSwapBefore#0,"""現在の保存情報"""
StampSwapBefore2#0,"""現在的資料盤"""
StampSwapAfter#0,"""上書き後の保存情報"""
StampSwapAfter2#0,"""変更後のデータドライブ"""
StampSwapSuccessTitle#0,"""保存完了"""
StampSwapSuccessTitle2#0,"""呼び出し完了"""
StampSwapSuccess#0,"""バックアップデータドライブに保存しました。<br>「バックアップデータドライブから呼び出す」から<br>保存したデータドライブを呼び出し<br>データレシピを上書きすることができます。"""
StampSwapBack#0,"""リアデータレシピの<br>データドライブを入れ替えました。"""
StampSwapArm#0,"""アームデータレシピの<br>データドライブを入れ替えました。"""
StampSwapLeg#0,"""レッグデータレシピの<br>データドライブを入れ替えました。"""
StampSwapFailed#0,"""データドライブの保存に失敗しました。<br>時間をおいて再度アクセスしてください。"""
StampSwapFailed2#0,"""データドライブの呼び出しに失敗しました。<br>時間をおいて再度アクセスしてください。"""
Fullsize_StampSwapTitle#0,"""データドライブ保存"""
Fullsize_StampSwapTitle2#0,"""データドライブ呼び出し"""
Fullsize_StampSwapSrc#0,"""<c f0df60>レシピにセットしているデータをバックアップデータドライブに残しておくことができます。<c>"""
Fullsize_StampSwapDst#0,"""<c f0df60>保存するデータドライブを選択してください。<c>"""
Fullsize_StampSwapDst2#0,"""<c f0df60>バックアップデータドライブにあるデータをレシピにセットすることができます。<c>"""
PaSelect#0,"""光子技能選擇"""
CustomizeContent#1,"""自定義内容"""
MakeMaterial#1,"""製作所須素材"""
PaCustomizeResult#0,"""PA自定義結果"""
PaDetail#0,"""光子技能詳情"""
LearnCheck#1,"""PA自定義光盤的使用最終確認"""
CustomizeAbility#1,"""自定義性能"""
Level#2,"""Lv."""
Power#1,"""威力"""
Cost#1,"""消費PP"""
ExplainPaSelect#0,"""<c f0df60>カスタマイズしたいフォトンアーツを選択してください。<c>"""
ExplainCustomizeTypeSelect#1,"""<c f0df60>クラフトレシピから、フォトンアーツをどのタイプにカスタマイズするか選んでください。<c>"""
ExplainPaCustomizeConfirm#0,"""<c f0df60>這是自定義PA的最終確認界面。<c>"""
PaCustomizeConfirmMessage#0,"""PAカスタマイズを実行します。<br>よろしいですか？<br><br>実行後は、カスタムディスクが作成されます。<br>（アイテムパックから「使う」で適用できます）<br><br>発生クールタイム： <yellow>$(0)<c>"""
PaCustomizeSuccessMessage#0,"""PAカスタマイズに <green>成功<c> しました。"""
PaCustomizeSpecialSuccessMessage#0,"""PAカスタマイズに <c ff007f>大成功<c> しました。"""
AchieveAll#2,"""無條件"""
AchievePaType#0,"""条件： $(0)"""
AchievePaWeaponType#0,"""条件： $(0)系フォトンアーツ"""
AchieveRecipeNoLevel#2,"""無條件"""
AchieveRecipeLevel#2,"""製作等級$(0)或以上可解放的製作清單"""
AchieveCustomNoRank#1,"""無條件"""
AchieveCustomRank1#1,"""製作清單級別： 製作清單1"""
AchieveCustomRank2#1,"""製作清單級別： 製作清單2"""
AchieveCustomRank3#1,"""製作清單級別： 製作清單3"""
AchieveResultAll#2,"""無條件"""
AchieveResultSuccess#2,"""結果條件： 必須為 大成功！ """
AchieveMakeAll#2,"""無條件"""
AchieveMakeReceive#2,"""從委託中選擇製作"""
AchieveNumber#2,""" $(0)/ $(1)"""
PaCustomizeDisable#0,"""アイテムパックの空き容量不足のため<br>PAカスタマイズを行えません。"""
