Title#0,"""任務成果"""
R_Event006_MES#0,"""現在，撃倒敵人排行進行中。對象是「<%TSE_Kill_Enamy_Name> <%TSE_Kill_Enamy_Level>～」。統計到<%TSE_EndTime>為止。所有等級的對象敵人的稀有道具掉落率都會有加成！"""
T_Event001_MES#0,"""開始統計本月的隊伍排行。直到發表為止，請大家耐心等候。"""
T_Event002_MES#0,"""隊伍排行已更新。可於附近的通訊裝置確認。本月的第一名分別是「<%TSE_AllTopPlayer_Name>」、「<%TSE_AllTopCharactor_Name>」。恭喜！"""
R_Event007_MES#0,"""現在、タイムアタックランキング開催中です。対象は「<%TSE_TA_Quset_Name> <%TSE_TA_Quset_Difficulty>」。<%TSE_EndTime>までの集計です。対象のクエストはすべての難度でクリア報酬メセタにボーナスがつきます！"""
P_Event001_MES#0,"""馬上競技場排行榜就要結束統計了。入選了的話，請前往所屬戰艦的AL管理官美美處領取報酬。"""
P_Event002_MES#0,"""現在競技排行正在統計。請耐心等待統計結束。"""
P_Event003_MES#0,"""新的競技排行統計開始了。請從主菜單打開確認競技排行的情報。"""
TimeBomb_Title#0,"""定時炸彈解除"""
TimeBomb_Message#0,"""選擇連接到起爆裝置的光點，<br>請停止他的活動。"""
TimeBomb_1#0,"""連到上面的光點"""
TimeBomb_2#0,"""連到中間的光點"""
TimeBomb_3#0,"""連到下面的光點"""
TimeBomb_Cancel#0,"""取消"""
PartyMakerMessage1#0,"""已設置了可設置最大數的隊伍招募器。<br>因此無法再放置隊伍招募器。"""
PartyMakerMessage2#0,"""撤去隊伍招募器。<br><br>確認麼？"""
PartyMakerMessageTitle1#0,"""隊伍招募器撤去確認"""
ClearTime#0,"""完成時間  $(0)：$(1).$(2)"""
Totalorb#0,"""合計獲得競技場幣"""
KillMvp#0,"""最多擊敗MVP"""
AtkDamageMvp#0,"""最多給予傷害MVP"""
DefDamageMvp#0,"""最多受到傷害MVP"""
CrystalMvp#0,"""最多徽章取得MVP"""
DeathMvp#0,"""最少倒地次數MVP"""
PlayerName#0,"""$(0)"""
KillScore#0,"""$(0)人"""
DamageScore#0,"""$(0)"""
CrystalScore#0,"""$(0)個"""
DeathScore#0,"""$(0)次"""
MvpNone#0,"""<c c0c0c0>無達成者<c>"""
OtherPlayerNum#0,"""其他$(0)名"""
BattleCoinDetail#0,"""競技場幣明細"""
BattleCoin#0,"""競技場幣"""
BattleResult#0,"""對戰結果"""
Task#0,"""競技場成就"""
Win#0,"""Win"""
Lose#0,"""Lose"""
Draw#0,"""Draw"""
GetMvp#0,"""MVP獲得"""
GetMvpSupport#0,"""MVP支援"""
RareWeaponPickup#0,"""----"""
RareWeaponPickup_Num#0,"""----"""
AtkDamage100Over_Repdigit#0,"""与ダメージがゾロ目（3桁以上）"""
DefDamage100Over_Repdigit#0,"""被ダメージがゾロ目（3桁以上）"""
FightAlone#0,"""----"""
FightAlone_Num#0,"""----"""
ManyKillWeapon#0,"""$(0)で最多撃破"""
ManyDeathWeapon#0,"""$(0)により最多ダウン"""
WeaponType_Sword#0,"""大劍"""
WeaponType_WiredLance#0,"""自在槍"""
WeaponType_Partisan#0,"""長槍"""
WeaponType_TwinDagger#0,"""雙小劍"""
WeaponType_DoubleSaber#0,"""雙頭劍"""
WeaponType_Knuckle#0,"""鋼拳"""
WeaponType_Saber#0,"""槍刃"""
WeaponType_AssaultRifle#0,"""步槍"""
WeaponType_Launcher#0,"""大炮"""
WeaponType_TwinMachinegun#0,"""雙機槍"""
WeaponType_Rod#0,"""長杖"""
WeaponType_Talis#0,"""導具"""
WeaponType_Wand#0,"""短杖"""
WeaponType_Katana#0,"""拔劍"""
WeaponType_CompoundBow#0,"""強弓"""
WeaponType_JetBoots#0,"""魔装脚"""
WeaponType_DualBlade#0,"""飛翔劍"""
WeaponType_Takt#0,"""奏具"""
Kill_Num#0,"""$(0)回、撃破"""
RainbowCrystal_Num#0,"""虹エンブレムを$(0)個以上GET"""
EnemyCrystal_Num#0,"""敵エンブレムを$(0)個以上GET"""
KillBeforeOneDie_Num#0,"""ダウンまで$(0)回、連続撃破"""
GetOrb_Num#0,"""$(0)<pict poka_btl_coin>"""
Arp#0,"""アリーナポイント情報"""
Rank#0,"""ランク"""
GetArp#0,"""獲得アリーナポイント"""
TotalArp#0,"""所持アリーナポイント"""
OrbInfo#0,"""バトルコイン情報"""
GetOrbBase#0,"""基本獲得バトルコイン"""
QuestBonus#0,"""イベントボーナス"""
ClearBonus#0,"""報酬ボーナス"""
TotalBonus#0,"""合計ボーナス"""
GetArpNum#0,"""$(0)ARP"""
BonusPoint#0,"""+$(0)%"""
GetOrbBase_Num#0,"""$(0)<pict poka_btl_coin>"""
Ranking#0,"""LEGENDランキング"""
Place#0,"""位"""
OtherClearTaskNum#0,"""ほか$(0)件"""
MvpPlayerName#0,"""プレイヤー名"""
MvpScore#0,"""記録"""
MvpCoin#0,"""獲得量"""
TotalTaskOrb#0,"""バトル実績獲得バトルコイン"""
ClearTaskNone#0,"""達成したバトル実績はありません"""
NextRankPoint#0,"""次のランクまで"""
WinLose#0,"""勝敗結果"""
MvpScoreNone#0,"""無"""
ResultTitle#0,"""バトルリザルト"""
OldResultTitle#0,"""前回のバトルリザルト"""
MultiDeathInfo#0,"""無法戰鬥次數"""
MackAssortChoice_Title#0,"""ルート選択"""
MackAssortChoice_Help#0,"""<c f0df60>次ステップのルートを選択してください。決定はパーティーリーダーのみ行えます。"""
MackAssortChoice_WindowTitle#0,"""次のステップ"""
MackAssortChoice_AssortType#0,"""テーマタイプ"""
MackAssortChoice_AssortType_Lp#0,"""<pict mack_life>ライフルート（クリア時：最大$(0)ライフ回復）"""
MackAssortChoice_AssortType_Sp#0,"""<pict mack_point>ポイントルート（クリア時：最大$(0)pt獲得）"""
MackAssortChoice_AssortType_Lp_Value#0,"""(<pict mack_life>+0 ～ $(0))"""
MackAssortChoice_AssortType_Sp_Value#0,"""(<pict mack_point>+0 ～ $(0) Pt)"""
MackAssortChoice_AssortType_Both#0,"""共通ルート"""
MackAssortChoice_AssortGoal#0,"""目標"""
MackAssortChoice_AssortEffect#0,"""サプライズ効果"""
MackAssortChoice_AssortMap#0,"""ステップ全体図"""
MackAssortChoice_AllAssortEffect#0,"""レギュレーション確認"""
MackAssortChoice_Chat#0,"""チャットする"""
MackAssortChoice_NowLp#0,"""<pict mack_life>："""
MackAssortChoice_NowSp#0,"""<pict mack_point>："""
MackAssortChoice_Floor#0,"""ステップ<br>$(0)"""
MackFloorText_Short1#0,"""UH"""
MackFloorText_Short2#0,"""ST$(0)～$(1)"""
MackAssortChoice_AllAssortEffectTitle#0,"""効果名"""
MackAssortChoice_AllAssortEffectName#0,"""効果量"""
MackAssortChoice_AssortCheckTitle#0,"""ルート選択確認"""
MackAssortChoice_AssortCheck#0,"""このルートに進んでもよろしいですか？"""
MackAssortChoice_StartAssortChoice#0,"""パーティーリーダーがテーマ選択中です"""
MackAssortChoice_AssortCheck_block1#0,"""複数ブロック検索で進む"""
MackAssortChoice_AssortCheck_block2#0,"""現在のブロックで進む"""
MackResult_RankS#0,"""<c f8de79>Rank.S"""
MackResult_RankA#0,"""Rank.A"""
MackResult_RankB#0,"""Rank.B"""
MackResult_RankC#0,"""Rank.C"""
MackResult_RankD#0,"""Rank.D"""
MackAssortChoice_GoodEffectText#0,"""$(0)"""
MackAssortChoice_BadEffectText#0,"""$(0)"""
MackAssortChoice_NomalEffectText#0,"""$(0)"""
MackHpUp#0,"""<pict mack_icon_up>プレイヤーのHP<lime_green3> ＋30%<white>"""
MackHpDown#0,"""<pict mack_icon_dw>プレイヤーのHP<pure_red> ー20%<white>"""
MackPpUp#0,"""<pict mack_icon_up>プレイヤーのPP<lime_green3> ＋60<white>"""
MackPpDown#0,"""<pict mack_icon_dw>プレイヤーのPP<pure_red> ー20<white>"""
MackAttackUp#0,"""<pict mack_icon_up>プレイヤーの攻撃力<lime_green3> ＋20%<white>"""
MackAttackDown#0,"""<pict mack_icon_dw>プレイヤーの攻撃力<pure_red> ー20%<white>"""
MackEnemyHpDown#0,"""<pict mack_icon_up>エネミーのHP<lime_green3> ー20%<white>"""
MackEnemyHpUp#0,"""<pict mack_icon_dw>エネミーのHP<pure_red> ＋10%<white>"""
MackEnemyAttackDown#0,"""<pict mack_icon_up>エネミーの攻撃力<lime_green3> ー20%<white>"""
MackEnemyAttackUp#0,"""<pict mack_icon_dw>エネミーの攻撃力<pure_red> ＋10%<white>"""
MackHealUp#0,"""<pict mack_icon_up>プレイヤーのHP回復力<lime_green3> ＋30%<white>"""
MackHealDown#0,"""<pict mack_icon_dw>プレイヤーのHP回復力<pure_red> ー50%<white>"""
MackPpRegenerateRateUp#0,"""<pict mack_icon_up>プレイヤーのPP自然回復力<lime_green3> ＋20%<white>"""
MackPpRegenerateRateDown#0,"""<pict mack_icon_up>プレイヤーのPP自然回復力<lime_green3> ー20%<white>"""
MackActionPpDown#0,"""<pict mack_icon_up>プレイヤーのPP消費量<lime_green3> ー20%<white>"""
MackActionPpUp#0,"""<pict mack_icon_dw>プレイヤーのPP消費量<pure_red> ＋20%<white>"""
MackLifeDamageDown#0,"""<pict mack_icon_up>ライフダメージ<lime_green3> 無効<white>"""
MackLifeDamageUp#0,"""<pict mack_icon_dw>ライフダメージ<pure_red> 増加<white>"""
MackPaGaugeHealUp#0,"""<pict mack_icon_up>解式ゲージ増加率<lime_green3> アップ<white>"""
MackPaGaugeHealDown#0,"""<pict mack_icon_dw>解式ゲージ増加率<pure_red> ダウン<white>"""
MackDarkerBlastGaugeHealUp#0,"""<pict mack_icon_up>ダークブラストゲージ増加率<lime_green3> アップ<white>"""
MackDarkerBlastGaugeHealDown#0,"""<pict mack_icon_dw>ダークブラストゲージ増加率<pure_red> ダウン<white>"""
MackOverloadGaugeHealUp#0,"""<pict mack_icon_up>複合テクニック増加率<lime_green3> アップ<white>"""
MackOverloadGaugeHealDown#0,"""<pict mack_icon_dw>複合テクニック増加率<pure_red> ダウン<white>"""
MackInvincible#0,"""<pict mack_icon_up>クエスト開始から30秒間<lime_green3> 無敵<white>"""
MackAssortChoice_RankS#0,"""<c f8de79>Rank.S"""
MackAssortChoice_RankA#0,"""Rank.A"""
MackAssortChoice_RankB#0,"""Rank.B"""
MackAssortChoice_RankC#0,"""Rank.C"""
MackAssortChoice_AssortCheckError#0,"""ルートの選択はパーティーリーダーのみが行えます。"""
MackAssortChoice_AssortCheckError2#0,"""パーティーメンバー全員が<br>キャンプシップもしくはクエストエリアにいないため<br>先へ進めません。"""
MackAssortChoice_AllAssortEffectSubTitle1#0,"""レギュレーション"""
MackAssortChoice_AllAssortEffectSubTitle2#0,"""ルートボーナス詳細"""
MackDesignEnemyAtkUp#0,"""エネミーの攻撃力"""
MackDesignEnemyAtkUp_Value#0,"""+$(0)%"""
MackDesignEnemyDefUp#0,"""エネミーの防御力"""
MackDesignEnemyDefUp_Value#0,"""+$(0)%"""
MackDesignEnemyHpUp#0,"""エネミーのＨＰ"""
MackDesignEnemyHpUp_Value#0,"""+$(0)%"""
QuestLevel#0,"""エネミーレベル"""
QuestLevel_Value#0,"""+$(0)"""
RareDropRaram#0,"""レアドロップ倍率"""
RareDropRaram_Value#0,"""+$(0)%"""
MackPointParam#0,"""獲得ポイント倍率"""
MackPointParam_Value#0,"""+$(0)%"""
LifeDamage_Time#0,"""<pict mack_life>ライフダメージが行われる経過時間"""
LifeDamage_Time_Value#0,"""$(0)秒毎"""
LifeDamage_Damage#0,"""<pict mack_life>経過時間によるライフダメージ量"""
LifeDamage_Damage_Value#0,"""$(0)"""
LifeRouteBonus#0,"""<pict mack_life>ライフルートのボーナス"""
LifeRouteBonus_Value#0,"""+0 ～ $(0)"""
PointRouteBonus#0,"""<pict mack_point>ポイントルートのボーナス"""
PointRouteBonus_Value#0,"""+0 ～ $(0) Pt"""
MackDesignEnemyDamageCut#0,"""エネミーのダメージカット率"""
MackDesignEnemyDamageCut_Value#0,"""+$(0)％"""
MackGaugeText1#0,"""エリア\u3000調査率"""
MackGaugeText2#0,"""エネルギーポッド\u3000補充率"""
MackGaugeText3#0,"""全エネミー\u3000撃破率"""
MackGaugeText4#0,"""大型エネミー\u3000損傷率"""
MackGaugeText5#0,"""大型エネミー\u3000損傷率"""
MackBuff#0,"""参加人数確定！ 人数に応じたバフをこのエリアのみプレイヤーに付与！"""
MackSpeedUp#0,"""<pict mack_icon_up>プレイヤーの移動速度<lime_green3> ＋60%<white>"""
Quest_event_410030#0,"""このエリア限定で、人数に応じた攻撃力ボーナス発生！"""
