MySpaceCommonLabel_EditMode#0,"""Edit Mode"""
MySpaceUpdateInfo_Label#0,"""ชื่อ Player ID ที่อัปเดตล่าสุด"""
MySpaceUpdateInfo_PlayerIDName#0,"""$(0)"""
MySpace_Label_DisallowChangeConfig#0,"""ไม่สามารถเปลี่ยนการตั้งค่าของ Build Part ชิ้นนี้ได้"""
MySpace_Notice_DisallowChangeColor#0,"""ไม่สามารถเปลี่ยนสีของ Build Part ชิ้นนี้ได้"""
MySpace_Notice_NoGeoChangePlace#0,"""ไม่สามารถแก้ไขสภาพพื้นที่ในบริเวณนี้ได้"""
MySpace_Notice_GeoUpperLimit#0,"""ไม่สามารถยกสภาพพื้นที่นี้ให้สูงขึ้นไปกว่านี้ได้แล้ว"""
MySpace_Notice_GeoLowerLimit#0,"""ไม่สามารถลดสภาพพื้นที่นี้ให้ต่ำลงไปกว่านี้ได้แล้ว"""
MySpace_SwitchInstallation_Title#0,"""การติดตั้ง Build Part"""
MySpace_SwitchEditBuildPart_Title#0,"""การแก้ไข Build Part"""
MySpace_SwitchEditTerrain_Title#0,"""การแก้ไขสภาพพื้นที่"""
MySpace_SwitchInstallation_RotateGuide#0,"""หมุน: <swguidetype ActionLStick>\u3000\u3000เปลี่ยนแกน: <swguidetype ActionUpDown>\u3000\u3000รีเซ็ตการหมุน: <%Jump>"""
MySpace_SwitchInstallation_RotateGuide_Key#0,"""หมุน: <swguidetype ActionLStick>\u3000\u3000เปลี่ยนแกน: <swguidetype ActionUpDownKey>\u3000\u3000รีเซ็ตการหมุน: <%Jump>"""
MySpace_SwitchInstallation_ScaleGuide#0,"""ปรับขนาด: <swguidetype ActionLStick>\u3000\u3000เปลี่ยนแกน: <swguidetype ActionUpDown>\u3000\u3000รีเซ็ตขนาด: <%Jump>"""
MySpace_SwitchInstallation_ScaleGuide_Key#0,"""ปรับขนาด: <swguidetype ActionLStick>\u3000\u3000เปลี่ยนแกน: <swguidetype ActionUpDownKey>\u3000\u3000รีเซ็ตขนาด: <%Jump>"""
MySpace_SwitchInstallation_DistanceGuide#0,"""เปลี่ยนระยะการติดตั้งสูงสุด: <swguidetype ActionLStick>\u3000\u3000รีเซ็ตระยะการติดตั้งสูงสุด: <%Jump>"""
MySpace_SwitchEditBuildPart_Guide_Hold#0,"""ตัวเลือก Edit Mode: <%WeaponAction_2>"""
MySpace_SwitchEditBuildPart_Guide_OnePush#0,"""ตัวเลือก Edit Mode: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_Hold#0,"""ขนาด Scope: <swguidetype ActionUpDown>\u3000\u3000ตัวเลือก Edit Mode: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_Hold_Key#0,"""ขนาด Scope: <swguidetype ActionUpDownKey>\u3000\u3000ตัวเลือก Edit Mode: ปล่อย <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_OnePush#0,"""ขนาด Scope: <swguidetype ActionUpDown>\u3000\u3000ตัวเลือก Edit Mode: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_OnePush_Key#0,"""ขนาด Scope: <swguidetype ActionUpDownKey>\u3000\u3000ตัวเลือก Edit Mode: <%WeaponAction_2>"""
MySpace_Switch_Right#0,"""<swguidetype ActionRight>"""
MySpace_Switch_Right_Key#0,"""<swguidetype ActionRightKey>"""
MySpace_Switch_Left#0,"""<swguidetype ActionLeft>"""
MySpace_Switch_Left_Key#0,"""<swguidetype ActionLeftKey>"""
MySpaceJournalInstallation#0,"""ติดตั้ง"""
MySpaceJournalInstallationInformation#0,"""ข้อมูลการติดตั้ง"""
MySpaceJournalBuildPartsInformation#0,"""ข้อมูล Parts"""
MySpaceJournalEditTerrainInformation#0,"""ข้อมูลสภาพพื้นที่"""
MySpaceJournalRotate#0,"""หมุน"""
MySpaceJournalXAxis#0,"""X: """
MySpaceJournalYAxis#0,"""Y: """
MySpaceJournalZAxis#0,"""Z: """
MySpaceJournalXYZAxis#0,"""ทั้งหมด"""
MySpaceJournalScale#0,"""ปรับขนาด"""
MySpaceJournalMaxDistance#0,"""ระยะสูงสุด"""
MySpaceJournalTerrainScope#0,"""Scope"""
MySpaceJournalOperation#0,"""ไกด์"""
MySpaceJournalInst_Icon_Action1#0,"""<%NormalAttack>"""
MySpaceJournalInst_Icon_Action2#0,"""<%PhotonArts>"""
MySpaceJournalInst_Icon_Action3#0,"""<%MainPaletteC>"""
MySpaceJournalInst_Icon_Action1or2#0,"""<%NormalAttack>/<%PhotonArts>"""
MySpaceJournalInst_Icon_BP#0,"""<%WeaponAction_2>"""
MySpaceJournalInst_Icon_Space#0,"""<pict 4space>"""
MySpaceJournalTextInst_MoveObject_Move#0,"""ย้าย"""
MySpaceJournalTextInst_MoveObject_MoveAdjustment#0,"""การปรับแบบละเอียด"""
MySpaceJournalTextInst_ObjectConfig_Config#0,"""การตั้งค่า"""
MySpaceJournalTextInst_ObjectColor_ColorChange#0,"""แก้ไขสี"""
MySpaceJournalTextInst_ObjectColor_ColorApply#0,"""ใช้งานสี"""
MySpaceJournalTextInst_DeleteObject_Delete#0,"""ลบ"""
MySpaceJournalTextInst_EditTerrain_Uplift#0,"""ยกพื้นที่ขึ้น"""
MySpaceJournalTextInst_EditTerrain_Downlift#0,"""ลดระดับพื้นที่"""
MySpaceJournalTextInst_EditTerrain_LandLeveling#0,"""ปรับระดับพื้นที่"""
MySpaceJournalTextInst_Installation#0,"""ติดตั้ง"""
MySpaceJournalTextInst_Sub_SwitchingFunction#0,"""เมนูแก้ไข Parts"""
MySpaceJournalTextInst_Sub_SwitchingGeneralControl#0,"""\u3000ออกจาก Edit Mode"""
MySpaceJournalTextInst_Sub_SwitchingAux#0,"""เมนูติดตั้ง Parts"""
MySpaceJournalTextInst_Sub_ExitInstallation#0,"""ยกเลิก"""
MySpaceJournalTextInst_Sub_ExitInstallation_Space#0,"""\u3000เสร็จสิ้นการติดตั้ง Parts"""
MySpaceJournalTextInst_Sub_CraftMenu#0,"""Build Menu"""
MySpaceJournalTextInst_Sub_SwitchingEditTerrainFunction#0,"""เมนูแก้ไขสภาพพื้นที่"""
MySpaceJournalTextInst_Sub_ExitEditTerrain#0,"""\u3000ออกจากการแก้ไขสภาพพื้นที่"""
MySpaceJournalTextInst_Sub_InstConfig#0,"""\u3000ตัวเลือกการสร้าง"""
MySpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000เมนู C-Space"""
TeamSpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000เมนู T-Space"""
MySpaceJournalTextInst_SubTitle_Aux#0,"""แสดงเมนู: <%WeaponAction_2>"""
MySpaceJournalTextInst_SubTitle_Function#0,"""แสดงเมนู: <%WeaponAction_2>"""
MySpaceJournalTextInst_SubTitle_TerrainFunction#0,"""แสดงเมนู: <%WeaponAction_2>"""
InstallationNumber#0,"""หมายเลข Teleporter ที่เชื่อมโยง"""
Active#0,"""เปิดใช้งาน"""
Inactive#0,"""ปิดใช้งาน"""
Collision_Active#0,"""เปิดใช้งาน"""
Collision_Inactive#0,"""ปิดใช้งาน"""
Connect_Active#0,"""ส่ง/รับ"""
Connect_Inactive#0,"""ปิดใช้งาน"""
Appear#0,"""แสดง"""
Disappear#0,"""ซ่อน"""
OpenDoor#0,"""เปิด"""
CloseDoor#0,"""ปิด"""
On#0,"""เปิด"""
Off#0,"""ปิด"""
Graphics#0,"""แสดง/ซ่อน"""
Collision#0,"""เปิด/ปิดใช้งานการชน"""
Access#0,"""เปิด/ปิดใช้งานฟังก์ชันการเข้าถึง"""
TransLock#0,"""ส่ง/รับสัญญาณ"""
SendContainerBreak#0,"""เมื่อถูกทำลาย"""
SendSwitchOn#0,"""สวิตช์เปิด"""
SendSwitchOff#0,"""สวิตช์ปิด"""
SendDoorOpen#0,"""เมื่อเปิด"""
SendDoorClose#0,"""เมื่อปิด"""
SendSit#0,"""เมื่อนั่ง"""
SendGet#0,"""เมื่อเก็บรวบรวม"""
SendTakeShower#0,"""เมื่ออาบน้ำ (ฝักบัว)"""
SendTouch#0,"""เมื่อสัมผัส"""
SendLeave#0,"""เมื่อออกจากพื้นที่"""
SendLiedown#0,"""เมื่อนอนลง"""
SendTakeBath#0,"""เมื่อแช่น้ำ"""
SendAccess#0,"""เมื่อเข้าถึง"""
SendTeleport#0,"""เมื่อเทเลพอร์ต"""
SendTouchFence#0,"""เมื่อปะทะ"""
SendUpDrift#0,"""เมื่อขี่ Updrafter"""
SendAfterDelay#0,"""หลังจากหมดเวลาหน่วง"""
SendTimerOverValue#0,"""เมื่อตัวจับเวลาถึงขีดจำกัด"""
SendTimerUnderValue#0,"""เมื่อตัวจับเวลาถึง 0"""
SendRandam1#0,"""โอกาสสุ่ม 1"""
SendRandam2#0,"""โอกาสสุ่ม 2"""
SendRandam3#0,"""โอกาสสุ่ม 3"""
SendRandam4#0,"""โอกาสสุ่ม 4"""
SendRandam5#0,"""โอกาสสุ่ม 5"""
SendPlaySE#0,"""เมื่อเล่นเอฟเฟกต์เสียง"""
SendCountOverValue#0,"""เมื่อได้รับสัญญาณครบตามจำนวนครั้งที่กำหนด"""
SendReceiveChannel#0,"""เมื่อได้รับสัญญาณทั้งสอง"""
SendByReceiveChannel#0,"""เริ่มนับถอยหลังเวลาหน่วง"""
ReceiveChannel1#0,"""ช่องรับฟัง 1"""
ReceiveChannel2#0,"""ช่องรับฟัง 2"""
ResetReceiveChannel#0,"""รีเซ็ตช่องสัญญาณ"""
CountToByReceiveChannel#0,"""เพิ่มจำนวนนับ"""
CountResetByReceiveChannel#0,"""รีเซ็ตจำนวนนับ"""
ActiveConnect#0,"""เปิดใช้งาน: Channel ID"""
ActiveCollision#0,"""เปิดใช้งานการตรวจจับการชน"""
InactiveCollision#0,"""ปิดใช้งานการตรวจจับการชน"""
ActiveAccess#0,"""เปิดใช้งานฟังก์ชันการเข้าถึง Build Parts"""
InactiveAccess#0,"""ปิดใช้งานฟังก์ชันการเข้าถึง Build Parts"""
ActiveTransLock#0,"""ปิดใช้งานการส่ง/รับสัญญาณ"""
InactiveTransLock#0,"""เปิดใช้งานการส่ง/รับสัญญาณ"""
ActiveChannel#0,"""เปิดใช้งาน: Channel ID"""
GraphicsAppear#0,"""ทำให้มองเห็นได้"""
GraphicsDisappear#0,"""ทำให้ล่องหน"""
MessageAppear#0,"""แสดงข้อความ"""
DesplayCountBySpeechBubble#0,"""พูดค่าจำนวนนับปัจจุบัน"""
ConfigInit#0,"""การตั้งค่าพื้นฐาน"""
ConfigSend#0,"""เงื่อนไขการส่งสัญญาณ"""
ConfigRecieve#0,"""เอฟเฟกต์ทริกเกอร์เมื่อได้รับสัญญาณ"""
LabelCapacityGauge#0,"""ความจุในการจัดวาง"""
DelayUntilSend#0,"""เวลาหน่วง ก่อนส่งสัญญาณ"""
IncrementalTimerValueByReceiveChannel#0,"""เพิ่มตัวจับเวลาเมื่อได้รับสัญญาณ"""
DecrementalTimerValueByReceiveChannel#0,"""ลดตัวจับเวลาเมื่อได้รับสัญญาณ"""
TimerValueSended#0,"""ค่าตัวจับเวลาที่จะส่งสัญญาณ"""
CountValueSended#0,"""จำนวนนับที่จะส่งสัญญาณ"""
StartCountUp#0,"""เริ่มนับเวลาเดินหน้า"""
StopCountUp#0,"""หยุดนับเวลาเดินหน้า"""
IncrementTimer#0,"""เพิ่มตัวจับเวลาตามจำนวนที่กำหนด"""
DecrementTimer#0,"""ลดตัวจับเวลาตามจำนวนที่กำหนด"""
ResetTimer#0,"""รีเซ็ตตัวจับเวลา"""
DesplayTimeBySpeechBubble#0,"""พูดค่าตัวจับเวลา"""
StartCountDown#0,"""เริ่มนับถอยหลังตัวจับเวลา"""
StopCountDown#0,"""หยุดนับถอยหลังตัวจับเวลา"""
SEPlayingByReceiveChannel#0,"""SFX ที่จะเล่น"""
PlaySEByReceiveChannel#0,"""เล่น SFX"""
DefaultTimer#0,"""ค่าตัวจับเวลาเริ่มต้น"""
SwitchState#0,"""สถานะสวิตช์"""
MySpaceObjectSE_000#0,"""ไม่มี SFX"""
MySpaceObjectSE_001#0,"""คำตอบที่ถูกต้อง"""
MySpaceObjectSE_002#0,"""ไม่ถูกต้อง"""
MySpaceObjectSE_003#0,"""เคลียร์เควสต์"""
MySpaceObjectSE_004#0,"""เสียงไชโย"""
MySpaceObjectSE_005#0,"""เสียงปรบมือ"""
MySpaceObjectSE_006#0,"""เสียงโห่"""
MessagePack_Cancel#0,"""Build Part ชิ้นนี้ถูกแก้ไขโดยผู้เล่นอื่น การป้อนข้อมูลถูกยกเลิก"""
MessagePack_Title#0,"""แก้ไขข้อความ"""
MessagePack_Headline_Message#0,"""ตั้งค่าข้อความ"""
MessagePack_Headline_Balloon#0,"""ตั้งค่าบอลลูนข้อความ"""
MessagePack_Headline_Symbol#0,"""ตั้งค่าสัญลักษณ์"""
MessagePack_Headline_ModelSetting#0,"""ตั้งค่าโมเดล"""
MessagePack_CheckBox_Model#0,"""อัปเดตโมเดลด้วยตัวละครปัจจุบัน"""
MessagePack_CheckBox_Weapon#0,"""แสดงอาวุธ"""
MessagePack_Headline_GazeSetting#0,"""การตั้งค่าการติดตามใบหน้า"""
MessagePack_CheckBox_Face#0,"""หันหน้าเข้าหาตัวละครของคุณ"""
MessagePack_CheckBox_Gaze#0,"""การติดตามสายตา"""
MessagePack_Headline_FacialSetting#0,"""การแสดงออกทางสีหน้า"""
MoveLeft#0,"""เคลื่อนที่ไปทางซ้าย"""
MoveRight#0,"""เคลื่อนที่ไปทางขวา"""
MoveStop#0,"""หยุด"""
MySpaceSettingForm_Title#0,"""การตั้งค่า Build Parts"""
MessagePack_NGWord_Title#0,"""ข้อความ"""
MessagePack_NGWord#0,"""ข้อความนี้มีคำที่ไม่ได้รับอนุญาตให้ใช้งาน"""
MessagePack_Confirm_Title#0,"""ยืนยันเนื้อหาที่ป้อน"""
MessagePack_Confirm#0,"""คุณแน่ใจหรือไม่ว่าต้องการแบ่งปันเนื้อหานี้?"""
MessagePack_Confirm_Decoy#0,"""คุณแน่ใจหรือไม่ว่าต้องการแบ่งปันเนื้อหานี้?<br><br>※ในการตั้งค่าครั้งแรก การตั้งค่าบางอย่าง<br>\u3000จะยังมีผลอยู่แม้ว่าคุณจะกดยกเลิกก็ตาม"""
PlayingCutin#0,"""แอนิเมชันข้อความแทรก (Text Cut-in)"""
SendPlayCutin#0,"""เมื่อเล่นแอนิเมชันข้อความแทรก"""
PlayCutinReceiveChannel#0,"""เล่นแอนิเมชันข้อความแทรก"""
MySpaceObjectCutin_000#0,"""ไม่มีข้อความ"""
MySpaceObjectCutin_001#0,"""GOAL!"""
MySpaceObjectCutin_002#0,"""CLEAR!"""
MySpaceObjectCutin_003#0,"""GAME OVER"""
MySpaceObjectCutin_004#0,"""SUCCESS!"""
MySpaceObjectCutin_005#0,"""FAILURE"""
MySpaceObjectCutin_006#0,"""START!"""
MySpaceObjectCutin_007#0,"""TIME UP!"""
MoveType#0,"""การเคลื่อนที่ของออบเจกต์"""
MoveType_01#0,"""ไม่เคลื่อนที่"""
MoveType_02#0,"""เคลื่อนที่จากซ้ายไปขวา"""
MoveType_03#0,"""เคลื่อนที่จากขวาไปซ้าย"""
MoveType_04#0,"""เคลื่อนที่จากล่างขึ้นบน"""
MoveType_05#0,"""เคลื่อนที่จากบนลงล่าง"""
MoveTime#0,"""เวลาที่ใช้ในการกลับสู่ตำแหน่งเดิม"""
MoveRange#0,"""ระยะทางที่เคลื่อนที่"""
SendTouchBomb#0,"""การสัมผัส"""
Teleporter_NotFound#0,"""ไม่พบ Teleporter ที่มี ID ตรงกัน"""
Teleporter_TimeOut#0,"""การเคลื่อนย้ายล้มเหลวเนื่องจากข้อผิดพลาดในการสื่อสาร"""
Turnon_ConnectRecieved#0,"""เปิดใช้งาน"""
Turnoff_ConnectRecieved#0,"""ปิดใช้งาน"""
MessagePack_Headline_Username#0,"""ตั้งชื่อ"""
SpeedUp_Time#0,"""ระยะเวลาบัฟเพิ่มความเร็ว"""
ActionTypeSended#0,"""แอ็กชันที่จะตรวจจับ"""
ActionType_01#0,"""ไม่ได้ตั้งค่า"""
ActionType_02#0,"""กระโดด"""
ActionType_03#0,"""โจมตี"""
ActionType_04#0,"""สเต็ป"""
SendAction#0,"""ตรวจพบแอ็กชัน"""
SendHatchOpen#0,"""เปิด"""
SendHatchClose#0,"""ปิด"""
OpenHatch#0,"""เปิด"""
CloseHatch#0,"""ปิด"""
SendByReceiveRandomChannel#0,"""ส่งไปยังช่องที่ระบุแบบสุ่ม"""
TeamSpace_IndependentError#0,"""คุณไม่สามารถเข้าถึงสิ่งนี้ได้เนื่องจากคุณไม่ใช่สมาชิกทีมของ Space นี้"""
EditPermission_Assignment#0,"""มอบสิทธิ์การแก้ไขเรียบร้อยแล้ว"""
EditPermission_Deprivation#0,"""เพิกถอนสิทธิ์การแก้ไขเรียบร้อยแล้ว"""
Guild_mag_level_up#0,"""Team Mag มีขนาดใหญ่ขึ้นแล้ว"""
Guild_mag_level_down#0,"""Team Mag มีขนาดเล็กลงแล้ว"""
GPTree_GetPoint_Title#0,"""GP ที่ได้รับในวันนี้"""
GPTree_GetPoint_Caption#0,"""GP ที่ได้รับในวันนี้"""
GPTree_GetPoint#0,"""$(0)/$(1)"""
GPTree_GetPointMax#0,"""<yellow>$(0)/$(1)<c>"""
GPTree_Menu_Title#0,"""เมนู GP Tree"""
GPTree_Menu_SendGJ#0,"""ส่ง Good Job"""
GPTree_Menu_Favorite#0,"""เพิ่มลงในรายการโปรด"""
GPTree_Info_Title#0,"""ข้อมูล GP Tree"""
GPTree_Info_Title_Caption#0,"""ระดับการเบ่งบาน"""
GPTree_Info_Advice#0,"""<yellow>ได้รับ Genesis Point ของวันนี้ไปแล้ว<c>"""
GPTree_Info_Lv1#0,"""Rank.1"""
GPTree_Info_Lv2#0,"""Rank.2"""
GPTree_Info_Lv3#0,"""Rank.3"""
GPTree_Info_Lv4#0,"""Rank.4"""
GPTree_Info_Lv5#0,"""Rank.5"""
GPTree_Info_Lv6#0,"""Rank.MAX"""
GPTree_Error_Myself#0,"""ฟีเจอร์นี้ไม่สามารถใช้งานได้เมื่อคุณอยู่ใน Creative Space ของคุณเอง"""
GPTree_Error_NoMenuOpen#0,"""ไม่สามารถเข้าถึง GP Tree ได้ในขณะนี้"""
GPTree_Error_Common#0,"""ฟีเจอร์นี้ยังไม่พร้อมใช้งานในขณะนี้"""
GPTree_Error_GJ#0,"""ไม่สามารถส่ง Good Job ได้"""
GPTree_Error_Favorite#0,"""Creative Space นี้ถูกลงทะเบียนไปแล้ว หรือไม่สามารถลงทะเบียนได้"""
Casual_Table_Message#0,"""หากมีผู้เล่นนั่งที่นั่งฝั่งตรงข้าม Free Battle จะเริ่มต้นขึ้น"""
Casual_Table_Reject#0,"""Line Strike ยังไม่พร้อมใช้งานในขณะนี้"""
DefaultBlueprintName#0,"""Blueprint"""
SlotSelect#0,"""เลือกช่องบันทึก"""
SlotSelectSaveGuideText#0,"""เลือกช่องที่จะบันทึก Blueprint ของคุณ"""
SlotSelectPublishGuideText#0,"""เลือกช่องที่จะเผยแพร่ Blueprint ของคุณ"""
RegionSelect#0,"""การกำหนดพื้นที่ Blueprint"""
RegionView#0,"""ดูระยะครอบคลุม"""
RegionSelectExitGuide#0,"""กดค้างเพื่อออก"""
RegionViewExitGuide#0,"""กดค้างเพื่อเสร็จสิ้น"""
RegionSelectStartingPoint#0,"""จุดเริ่มต้น"""
RegionSelectRight#0,"""ขอบขวา"""
RegionSelectLeft#0,"""ขอบซ้าย"""
RegionSelectHeight#0,"""ความสูง"""
RegionSelectDepth#0,"""ความลึก"""
RegionSelectFraction#0,"""$(0) (ขีดจำกัดการเลือก: $(1))"""
RegionSelectCaption1#0,"""จุดเริ่มต้น Blueprint"""
RegionSelectCaption2#0,"""ระยะครอบคลุม Blueprint"""
RegionSelect_FarAway#0,"""คุณถูกย้ายกลับโดยอัตโนมัติเนื่องจากคุณอยู่ห่างจาก Blueprint Terminal มากเกินไป"""
LockFailed1#0,"""ไม่สามารถเปิดเมนูได้เนื่องจากมีผู้เล่นอื่นกำลังแก้ไขงานอยู่ในระยะของ Blueprint นี้"""
LockFailed2#0,"""ไม่มี Build Parts ในระยะที่กำหนด กรุณาเลือกตำแหน่งที่มี Build Parts"""
LockFailed3#0,"""จำนวน Build Parts ในระยะเกินขีดจำกัดสูงสุดสำหรับ Blueprints<br><br>จำนวน Build Parts ในระยะ: $(0)<br>ขีดจำกัด Build Parts ของ Blueprint: $(1)"""
LockFailed4#0,"""Build Parts ต่อไปนี้ไม่สามารถนำมารวมไว้ใน Blueprint ได้:<br><br>$(0)"""
LockFailed5#0,"""ระยะที่ระบุสำหรับ Blueprint Terminal นี้ซ้อนทับกับระยะของ Blueprint Terminal อื่น<br><br>กรุณาแก้ไขระยะของ Blueprint Terminal ใดเทอร์มินัลหนึ่ง"""
LockFailed6#0,"""สิ่งปลูกสร้างหรืออื่นๆ ที่ถูกสร้างโดย Blueprint อื่นไม่สามารถนำมารวมไว้ใน Blueprint นี้ได้"""
ConfirmEdit_Title#0,"""ยืนยันการยกเลิกการแก้ไข"""
ConfirmEdit#0,"""หากคุณออกโดยไม่บันทึกหรือเผยแพร่ Blueprint นี้ การเปลี่ยนแปลงของคุณจะสูญหาย<br>ต้องการดำเนินการต่อหรือไม่?"""
LockFailedConfirm_Title#0,"""ยืนยันการแก้ไข"""
LockFailedConfirm1#0,"""ไม่สามารถปรับใช้การตั้งค่าได้เนื่องจากมีผู้เล่นอื่นกำลังแก้ไขงานอยู่ในระยะของ Blueprint นี้<br><br>ต้องการละทิ้งการแก้ไขของคุณและกลับสู่เมนูแก้ไขหรือไม่?"""
LockFailedConfirm2#0,"""ไม่สามารถปรับใช้การตั้งค่าได้เนื่องจากไม่มี Build Parts ในระยะ<br><br>ต้องการละทิ้งการแก้ไขของคุณและกลับสู่เมนูแก้ไขหรือไม่?"""
LockFailedConfirm3#0,"""ไม่สามารถปรับใช้การตั้งค่าได้เนื่องจากจำนวน Build Parts ในระยะเกินขีดจำกัดสูงสุดสำหรับ Blueprints<br><br>จำนวน Build Parts ในระยะ: $(0)<br>ขีดจำกัด Build Parts ของ Blueprint: $(1)<br><br>ต้องการละทิ้งการแก้ไขของคุณและกลับสู่เมนูแก้ไขหรือไม่?"""
LockFailedConfirm4#0,"""ไม่สามารถปรับใช้การตั้งค่าได้เนื่องจากระยะที่กำหนดมี Build Parts ที่ไม่สามารถรวมอยู่ใน Blueprint ได้<br><br>$(0)<br><br>ต้องการละทิ้งการแก้ไขของคุณและกลับสู่เมนูแก้ไขหรือไม่?"""
LockFailedConfirm5#0,"""ไม่สามารถปรับใช้การตั้งค่าได้เนื่องจากระยะซ้อนทับกับระยะของ Blueprint Terminal อื่น<br><br>ต้องการละทิ้งการแก้ไขของคุณและกลับสู่เมนูแก้ไขหรือไม่?"""
LockFailedConfirm6#0,"""ไม่สามารถปรับใช้การตั้งค่าได้เนื่องจากระยะซ้อนทับกับสิ่งที่ถูกสร้างโดย Blueprint อื่น<br><br>ต้องการละทิ้งการแก้ไขของคุณและกลับสู่เมนูแก้ไขหรือไม่?"""
DownloadFailed_Title#0,"""ข้อความ"""
DownloadFailed#0,"""ไม่สามารถดาวน์โหลด Blueprint ได้"""
ConfirmDelete_Title#0,"""ยืนยันการลบ Blueprint"""
ConfirmDelete1#0,"""การกระทำนี้จะลบ Blueprint<br>ต้องการดำเนินการต่อหรือไม่?<br><br>การลบ Blueprint จะเป็นการยกเลิกการเผยแพร่ด้วยเช่นกัน<br><br><yellow>※การยกเลิกการเผยแพร่จะรีเซ็ตจำนวน 【 Featured Blueprint 】 ของคุณ<c>"""
ConfirmDelete2#0,"""การกระทำนี้จะลบ Blueprint<br>ต้องการดำเนินการต่อหรือไม่?"""
ConfirmDelete3#0,"""การกระทำนี้จะลบ Blueprint<br>ต้องการดำเนินการต่อหรือไม่?"""
NoticeLoseConnect#0,"""ที่นี่ คุณสามารถแก้ไข, บันทึก และเผยแพร่ Blueprints ได้<br><yellow>※การตั้งค่าการเชื่อมต่อจะไม่ถูกบันทึกรวม<br>เป็นส่วนหนึ่งของ Blueprint<c>"""
ConfirmOverwrite_Title#0,"""ยืนยันการบันทึก/เขียนทับ"""
ConfirmOverwrite1#0,"""การกระทำนี้จะเขียนทับและบันทึก Blueprint<br>ต้องการดำเนินการต่อหรือไม่?<br><br>การเขียนทับ Blueprint นี้จะยกเลิกการเผยแพร่ Blueprint ที่เคยอยู่ในช่องนี้ก่อนหน้า<br><br><yellow>※การยกเลิกการเผยแพร่จะรีเซ็ตจำนวน 【 Featured Blueprint 】 ของคุณ<c>"""
ConfirmOverwrite2#0,"""การกระทำนี้จะเขียนทับและบันทึก Blueprint<br>ต้องการดำเนินการต่อหรือไม่?"""
ConfirmOverwrite3#0,"""การกระทำนี้จะเขียนทับและบันทึก Blueprint<br>ต้องการดำเนินการต่อหรือไม่?"""
ConfirmPublish_Title#0,"""ยืนยันการเผยแพร่ Blueprint"""
ConfirmPublish#0,"""การเผยแพร่ Blueprint จะอนุญาตให้ผู้เล่นอื่นสามารถดาวน์โหลดได้จาก Blueprint Device ของพวกเขา<br><br>นอกจากนี้ คุณจะไม่สามารถแก้ไขสิ่งต่อไปนี้ได้ในขณะที่ Blueprint ถูกเผยแพร่อยู่<br>・การตั้งค่าของ Build Parts ภายในระยะของ Blueprint<br>・ระยะขอบเขตของ Blueprint<br><br>คุณแน่ใจหรือไม่ว่าต้องการเผยแพร่?"""
ConfirmUnpublish_Title#0,"""ยืนยันการยกเลิกการเผยแพร่ Blueprint"""
ConfirmUnpublish#0,"""ต้องการยกเลิกการเผยแพร่ Blueprint นี้หรือไม่?<br><br><yellow>※การยกเลิกการเผยแพร่จะรีเซ็ตจำนวน 【 Featured Blueprint 】 ของคุณ<c>"""
ConfirmDownload_Title#0,"""ยืนยันการบันทึก/เขียนทับ"""
ConfirmDownload1#0,"""Blueprint นี้มี Build Parts ที่คุณไม่ได้ครอบครอง<br>คุณแน่ใจหรือไม่ว่าต้องการบันทึก?"""
ConfirmDownload2#0,"""การกระทำนี้จะเขียนทับและบันทึก Blueprint<br>ต้องการดำเนินการต่อหรือไม่?<br><br>การเขียนทับ Blueprint นี้จะยกเลิกการเผยแพร่ Blueprint ที่เคยอยู่ในช่องนี้ก่อนหน้า<br><br><yellow>※การยกเลิกการเผยแพร่จะรีเซ็ตจำนวน 【 Featured Blueprint 】 ของคุณ<c>"""
ConfirmDownload3#0,"""การกระทำนี้จะเขียนทับและบันทึก Blueprint<br>ต้องการดำเนินการต่อหรือไม่?"""
ConfirmDownload4#0,"""การกระทำนี้จะเขียนทับและบันทึก Blueprint<br>ต้องการดำเนินการต่อหรือไม่?"""
SavedMessage_Text#0,"""ข้อความ"""
SavedMessage#0,"""บันทึก Blueprint เรียบร้อยแล้ว"""
PublishedMessage_Text#0,"""ข้อความ"""
PublishedMessage#0,"""เผยแพร่ Blueprint เรียบร้อยแล้ว"""
PermissonChange_Title#0,"""ข้อความ"""
PermissonChange_Text#0,"""Creative Space นี้ยังไม่ได้เปิดเป็นสาธารณะ คุณต้องการตั้งค่าการเข้าถึงเป็น 【 ทุกคน 】 หรือไม่?<br><br><yellow>※คุณสามารถตั้งค่าการเข้าถึงโดยละเอียดได้ที่ 【 การตั้งค่าความเป็นสาธารณะ 】 ในเมนู Creative Space<c>"""
PermissonChangeFix_Text#0,"""เปลี่ยนสิทธิ์การมองเห็นห้องเรียบร้อยแล้ว"""
UnpublishedMessage_Text#0,"""ข้อความ"""
UnpublishedMessage#0,"""ยกเลิกการเผยแพร่ Blueprint เรียบร้อยแล้ว"""
NoBlueprint_Text#0,"""Blueprint"""
