MYROOM#0,"""個人小屋"""
Menu_Craft#0,"""<c f0df60>可以確認委託的清單和設定招牌。<c>"""
Menu_EventChronicle#0,"""<c f0df60>進行活動的確認。<c>"""
Menu_Tanzaku#0,"""<c f0df60>短冊の願い事を編集します<c>"""
Menu_PosterBoard#0,"""<c f0df60>ポスター類のルームグッズを設置することができます。ルームグッズを選択してください。<c>"""
Menu_PosterBoard_v#0,"""<c f0df60>ポスター類のルームグッズを設置することができます。ルームグッズを選択してください。<c>"""
Title#3,"""設定時間"""
Menu_Select01#0,"""一分鐘"""
Menu_Select02#0,"""3分鐘"""
Menu_Select03#0,"""5分鐘"""
Menu_Cancel#0,"""取消"""
Info_SetTimer#0,"""設定服務器時間 $(0)點 $(1)分$(2)秒。"""
Info_TimeUp#0,"""已經過 $(0) 分鐘！"""
Info_ClockPickUp#0,"""現在$(0)點。"""
Cancel#0,"""返回"""
ItemAdd#0,"""新增道具"""
ItemDelete#0,"""取下道具"""
MesetaEdit#0,"""設定價格"""
PlayInfo_Title#0,"""旋轉轉蛋"""
PlayInfo#0,"""轉一次轉蛋要花費$(0)美賽達<br>是否確認進行？<br>你現在的持有金額為<br>$(1)美賽達。"""
GetItem#0,"""獲得了$(0)。"""
ErrorItemMax#0,"""倉庫已滿，無可存放空間。"""
AddSetItem#0,"""增加了$(0)。"""
DeleteSetItem#0,"""取下了$(0)。"""
EditMesetaInfo#0,"""請設定轉蛋一次的價格。<br>※無法變更為低於最低上架價格的數值。<br>（含稅價格： $(1)$(0)）"""
Title_Check#1,"""確認"""
Check_Title#0,"""確認"""
EmptyItem#0,"""尚未登録"""
Check_AddItem_Message#0,"""將$(0)<br>放入轉蛋。<br>是否確定？"""
Check_Delete_Message#0,"""將$(0)<br>取下轉蛋。<br>是否確定？"""
AddIten_ResultMessage#0,"""增加了$(0)。<br><br>相片轉蛋機的銷售額<br>可從通訊裝置和個人商店<br>個人商店管理＞銷售額確認<br>接受。"""
DeleteIten_ResultMessage#0,"""取下了$(0)。"""
GetIten_ResultTtile#0,"""相片轉蛋機的結果"""
GetIten_ResultMessage#0,"""獲得了$(0)。"""
MoveItem_Title#1,"""報告"""
MoveItem_Message#1,"""因道具背包空間不足，<br>或道具超過可持有數，<br>已將獲得的道具寄放在倉庫。"""
Title#4,"""設置房間天花板飾品"""
Title_Left#0,"""點數"""
Title_Right#0,"""房間飾品"""
MenuPoint1#0,"""設置點數1"""
MenuPoint2#0,"""設置點數2"""
MenuPoint3#0,"""設置點數3"""
MenuPoint4#0,"""設置點數4"""
None#0,"""無"""
Select_Set#0,"""設置飾品"""
Select_Delete#0,"""撤除"""
Adaptive_Tune0#0,"""曲調A"""
Adaptive_Tune1#0,"""曲調B"""
Adaptive_Tune2#0,"""曲調C"""
Adaptive_Tune3#0,"""曲調D"""
Adaptive_Tune4#0,"""曲調E"""
Adaptive_Tune5#0,"""曲調F"""
Adaptive_Tune6#0,"""曲調G"""
Adaptive_Tune7#0,"""曲調H"""
Adaptive_Tune8#0,"""曲調I"""
Adaptive_Tune9#0,"""曲調J"""
Adaptive_Tune10#0,"""曲調K"""
Adaptive_Tune11#0,"""曲調L"""
Adaptive_Tune12#0,"""曲調M"""
Adaptive_Tune13#0,"""曲調N"""
Adaptive_Tune14#0,"""曲調O"""
Adaptive_Tune15#0,"""曲調P"""
Adaptive_Tune16#0,"""曲調Q"""
Adaptive_Tune17#0,"""曲調R"""
Adaptive_Tune18#0,"""曲調S"""
Adaptive_Tune19#0,"""曲調T"""
Adaptive_Tune20#0,"""曲調U"""
Adaptive_Tune21#0,"""曲調V"""
Adaptive_Tune22#0,"""曲調W"""
Adaptive_Tune23#0,"""曲調X"""
Adaptive_Tune24#0,"""曲調Y"""
Adaptive_Tune25#0,"""曲調Z"""
Entry_BGM#0,"""已進行登錄。"""
Empty_BGM#0,"""沒有已登錄的BGM"""
Tab_Category_0#0,"""０・全部"""
Tab_Category_1#0,"""１・『PSO』系列"""
Tab_Category_2#0,"""２・『夢幻之星』系列"""
Tab_Category_3#0,"""３・SEGA聯動"""
Tab_Category_4#0,"""４・聯動"""
Tab_Category_5#0,"""５・『NGS』系列"""
Mag_Jukebox_Play_019#0,"""選擇的音樂光盤，僅可在『NGS』線路播放"""
LayoutChangeCheckTitle#0,"""變更使用小屋"""
LayoutChecge_MenuBase#0,"""縮小$(0)<pict Arcscash>"""
LayoutChecge_MenuBase2#0,"""個人小屋$(0)"""
LayoutChecge_Pattern_0#0,"""MINI小屋"""
LayoutChecge_Pattern_1#0,"""A"""
LayoutChecge_Pattern_2#0,"""B"""
LayoutChecge_CheckInfo#0,"""變換成個人小屋$(0)模式。<br>是否確定？"""
LayoutChecge_IfMyRoom#0,"""在「個人小屋使用」有效期間内。（用個人小屋裝置可進行「變更使用小屋」）"""
Info_Weight#0,"""$(0)的體重$(1)。"""
StrongBox_Input#0,"""請輸入密碼。"""
StrongBox_PinCode#0,"""密碼已設定為$(0)。"""
StrongBox_PinCodeTitle#0,"""密碼確認"""
CashBox_Num4#0,"""4行"""
CashBox_Num5#0,"""5行"""
CashBox_Num6#0,"""6行"""
CashBox_Num7#0,"""7行"""
CashBox_Num8#0,"""8行"""
CashBox_Num9#0,"""9行"""
CashBox_InputNum#0,"""請輸入正確密碼。"""
CashBox_ChangeDigit#0,"""設定已變更。"""
SelectSP_Title#0,"""選擇設置的夥伴"""
SelectSP_Cancel#0,"""返回"""
SetSP#0,"""喚出了$(0)。"""
Error_NotSP#0,"""因為沒有取得支援夥伴，<br>無法叫出。"""
Dice_Text_Title#0,"""編輯文字"""
Enter#1,"""確定"""
Cancel#1,"""取消"""
DiceMenu_Title#0,"""骰子首頁清單"""
DiceMenu_Play#0,"""甩賽克羅"""
DiceMenu_Edit#0,"""編輯文字"""
DiceMenu_Move#0,"""移動飾品"""
DiceMenu_Remove#0,"""撤除"""
DiceMenu_Back#0,"""返回"""
Shower_1_1#0,"""水量設定少一點"""
Shower_1_2#0,"""水量設定為普通"""
Shower_1_3#0,"""水量設定多一點"""
Shower_2_1#0,"""水温設定低一點"""
Shower_2_2#0,"""水温設定為普通"""
Shower_2_3#0,"""水温設定高一點"""
ShowerTitle_1#0,"""水量調節"""
ShowerTitle_2#0,"""水温調節"""
Timer_1#0,"""立刻拍攝"""
Timer_2#0,"""5秒後拍攝"""
Timer_3#0,"""10秒後拍攝"""
Timer_4#0,"""15秒後拍攝"""
Back#0,"""返回"""
ErrorShootTitle#0,"""拍攝ERROR"""
ErrorShootMessage#0,"""已在拍攝中。"""
ErrorSettingTitle#0,"""拍攝ERROR"""
ErrorSettingMessage#0,"""因為在拍攝中，<br>未能變更設定。"""
TimerTitle#0,"""攝影菜單"""
OrgelOn#0,"""音樂盒在響。"""
OrgelOff#0,"""音樂盒停止了。"""
KeyAssign#0,"""<%NormalAttack>でアタック"""
PlayResult#0,"""貴方の飛距離は$(0)"""
PlayResultRecord#0,"""/toge 最高飛距離が更新されました。<br>貴方の飛距離は$(0)"""
PlayResultFailed#0,"""/moya 只今の飛距離は失敗の為<br>計測できませんでした。"""
HighScoreExistRecord#0,"""現在の最高飛距離：$(0)<br>現在の最高飛距離保持者：<br>$(1)"""
HighScoreEmptyRecord#0,"""現在の最高飛距離の記録はありません"""
HitEarly#0,"""ちょっと早いよ"""
HitLate#0,"""ちょっと遅いよ"""
Paper_Strips_Text_Title#0,"""短冊の願い事を編集する"""
Enter#2,"""確定"""
Cancel#2,"""取消"""
ColorPickerTitle#0,"""カラー調整"""
